ᆜ	jɯ
판검사가	pʰankʌmsaga
판결	pʰankjʌl
판결	pʰa̠ngjʌ̹ɭ
판결을	pʰankjʌɾɯl
판결이	pʰankjʌɾi
판공실	pʰa̠ngo̞ŋɕʰiɭ
판관기	pʰa̠ngwa̠ngi
판권	pʰa̠nk͈wʌ̹n
판다	pʰa̠nda̠
판다고	pʰantago
판단	pʰantan
판단	pʰa̠nda̠n
판단아래	pʰantanaɾɛ
판단을	pʰantanɯl
판단이	pʰantani
판단하다	pʰa̠nda̠nɦa̠da̠
판단할	pʰantanha
판단해	pʰantanhɛ
판단해서	pʰantanhɛsʌ
판도	pʰa̠ndo̞
판도라	pʰa̠ndo̞ɾa̠
판매	pʰanmɛ
판매가	pʰanmɛga
판매까지	pʰanmɛk͈adʑi
판매된	pʰanmɛdwɛn
판매량은	pʰanmɛɾjaŋɯn
판매로	pʰanmɛɾo
판매를	pʰanmɛɾɯ
판매사원이었지만	pʰanmɛsawʌniʌt̚tɕ͈imal
판매하기도	pʰanmɛhagido
판매하는	pʰanmɛhanɯ
판매하며	pʰanmɛhamjʌ
판문점	pʰa̠nmuɲdʑʌ̹m
판문점을	pʰanmuntɕʌmɯl
판사	pʰansa
판사	pʰa̠nsʰa̠
판세를	pʰansɛɾɯl
판소리	pʰa̠ns͈o̞ɾi
판에	pʰanɛ
판옥선	pʰa̠no̞ks͈ʌ̹n
판정	pʰa̠ɲdʑʌ̹ŋ
판정까지	pʰantɕʌŋk͈adʑi
판정을	pʰantɕʌŋɯl
판지	pʰa̠ɲdʑi
판촉활동에	pʰantɕʰokʰwaltoŋɛ
판치라	pʰa̠ɲtɕʰiɾa̠
판타지	pʰa̠ntʰa̠dʑi
판판하다	pʰa̠npʰa̠nɦa̠da̠
판후이	pʰanhui
팔	pʰa
팔	pʰal
팔	pʰa̠ɭ
팔각	pʰa̠ɭga̠k̚
팔걸이	pʰa̠ɭgʌ̹ɾi
팔겠다는	pʰalkɛt̚t͈anɯn
팔고	pʰalko
팔고	pʰa̠ɭgo̞
팔극권	pʰa̠ɭgɯk̚k͈wʌ̹n
팔꿈치	pʰa̠ɭk͈umtɕʰi
팔다	pʰa̠ɭda̠
팔다리	pʰa̠ɭda̠ɾi
팔다리는	pʰaltaɾinɯn
팔던	pʰaltʌn
팔도	pʰa̠ɭt͈o̞
팔도는	pʰaltonɯ
팔딱	pʰa̠ɭt͈a̠k̚
팔뚝	pʰa̠ɭt͈uk̚
팔뚝시계	pʰa̠ɭt͈ukɕ͈igje̞
팔라듐	pʰa̠ɭɭa̠djum
팔라우	pʰa̠ɭɭa̠u
팔레스타인	pʰa̠ɭɭe̞sʰɯtʰa̠in
팔레스타인국	pʰa̠ɭɭe̞sʰɯtʰa̠inguk̚
팔레스티나	pʰa̠ɭɭe̞sʰɯtʰina̠
팔려서	pʰalljʌsʌ
팔로우하다	pʰa̠ɭɭo̞uɦa̠da̠
팔리는	pʰallinɯl
팔리다	pʰa̠ʎʎida̠
팔린	pʰallin
팔릴	pʰallil
팔면육비	pʰa̠ɭmjʌ̹ɲuk̚p͈i
팔목	pʰa̠ɭmo̞k̚
팔미트산	pʰa̠ɭmitʰɯsʰa̠n
팔방	pʰa̠ɭba̠ŋ
팔방미인	pʰa̠ɭba̠ŋmiin
팔백	pʰalpɛ
팔백	pʰalpɛk
팔백	pʰalpɛŋ
팔불용	pʰa̠ɭbuɾjoŋ
팔순	pʰa̠ɭsʰun
팔순노인	pʰa̠ɭsʰunno̞in
팔식	pʰa̠ɭɕʰik̚
팔십	pʰalsi
팔십	pʰalsip
팔십	pʰa̠ɭɕ͈ip̚
팔아	pʰaɾa
팔월	pʰa̠ɾwʌ̹ɭ
팔을	pʰaɾɯl
팔자	pʰa̠ʎdʑa̠
팔자	pʰa̠ʎtɕ͈a̠
팔자니	pʰaltɕani
팔정도	pʰa̠ʎdʑʌ̹ŋdo̞
팔지	pʰaltɕi
팔찌	pʰa̠ʎtɕ͈i
팔천	pʰaltɕʰʌ
팔천	pʰaltɕʰʌn
팔촌	pʰa̠ʎtɕʰo̞n
팔팔십	pʰa̠ɭpʰa̠ɭɕʰip̚
팔팔하다	pʰa̠ɭpʰa̠ɾɦa̠da̠
팜유	pʰa̠mju
팜쥐	pʰa̠mdʑɥi
팜플렛의	pʰampʰɯllɛsɰi
팝	pʰa̠p̚
팝송	pʰa̠ps͈o̞ŋ
팝스타	pʰa̠ps͈ɯtʰa̠
팝콘	pʰa̠p̚kʰo̞n
팟타이	pʰa̠t̚tʰa̠i
팡구	pʰa̠ŋgu
팡이	pʰa̠ŋi
팡이무리	pʰa̠ŋimuɾi
팡주	pʰa̠ŋdʑu
팥	pʰa̠t̚
팥밥	pʰa̠t̚p͈a̠p̚
팥빙수	pʰa̠t̚p͈iŋsʰu
팥죽	pʰa̠t̚tɕ͈uk̚
패	pʰɛː
패기	pʰɛːgi
패기에	pʰɛgiɛ
패러디한	pʰɛɾʌdihan
패류	pʰɛːɾju
패배를	pʰɛbɛɾɯl
패배의	pʰɛbɛɰi
패션	pʰɛsjʌ
패션	pʰɛsjʌn
패션사업에	pʰɛsjʌnsaʌbɛ
패스트푸드의	pʰɛsɯtʰɯpʰudɯɰi
패자	pʰɛːdʑa̠
패전하다	pʰɛːdʑʌ̹nɦa̠da̠
패전한지	pʰɛdʑʌnhantɕi
패터슨	pʰɛtʰʌsɯn
팩트와	pʰɛk̚tʰɯwa
팬인데	pʰɛnintɛ
팰리스에	pʰɛllisɯɛ
팽창한	pʰɛŋtɕʰaŋhan
팽팽한	pʰɛŋpʰɛŋhan
퍅	pʰja̠k̚
퍼드덕	pʰʌ̹dɯdʌ̹k̚
퍼뜨렸다고	pʰʌt͈ɯɾjʌt̚t͈ago
퍼뜨리다	pʰʌ̹t͈ɯɾida̠
퍼레이드	pʰʌ̹ɾe̞idɯ
퍼부었다며	pʰʌbuʌt̚t͈amjʌ
퍼브	pʰʌ̹bɯ
퍼서석	pʰʌ̹sʰʌ̹sʰʌ̹k̚
퍼석	pʰʌ̹sʰʌ̹k̚
퍼석퍼석	pʰʌ̹sʰʌ̹k̚pʰʌ̹sʰʌ̹k̚
퍼센트	pʰʌsɛntʰɯ
퍼센트	pʰʌ̹sʰe̞ntʰɯ
퍼센트가	pʰʌsɛntʰɯga
퍼센트가량	pʰʌsɛntʰɯgaɾjaŋ
퍼센트가량을	pʰʌsɛntʰɯgaɾjaŋɯl
퍼센트까지	pʰʌsɛntʰɯk͈adʑi
퍼센트나	pʰʌsɛntʰɯna
퍼센트는	pʰʌsɛntʰɯnɯ
퍼센트는	pʰʌsɛntʰɯnɯn
퍼센트대를	pʰʌsɛntʰɯdɛɾɯl
퍼센트도	pʰʌsɛntʰɯdo
퍼센트로	pʰʌsɛntʰɯɾo
퍼센트를	pʰʌsɛntʰɯɾɯl
퍼센트에	pʰʌsɛntʰɯɛ
퍼센트에서	pʰʌsɛntʰɯɛsʌ
퍼센트였던	pʰʌsɛntʰɯjʌt̚t͈ʌn
퍼센트의	pʰʌsɛntʰɯɰi
퍼센트인	pʰʌsɛntʰɯin
퍼센트포인트	pʰʌsɛntʰɯpʰointʰɯ
퍼센트포인트만	pʰʌsɛntʰɯpʰointʰɯman
퍼스트	pʰʌsɯtʰɯ
퍼슬퍼슬	pʰʌ̹sʰɯɭpʰʌ̹sʰɯɭ
퍼오다	pʰʌ̹o̞da̠
퍼져	pʰʌdʑʌ
퍼졌고	pʰʌdʑʌt̚k͈o
퍼졌으면	pʰʌdʑʌs͈ɯmjʌn
퍼즐	pʰʌ̹dʑɯɭ
퍼지다	pʰɘːdʑida̠
퍽	pʰʌ̹k̚
펄	pʰʌ̹ɭ
펄떡	pʰʌ̹ɭt͈ʌ̹k̚
펄럭펄럭	pʰʌ̹ɭɭʌ̹k̚pʰʌ̹ɭɭʌ̹k̚
펄사	pʰʌ̹ɭsʰa̠
펄서	pʰʌ̹ɭsʰʌ̹
펄쩍	pʰʌ̹ʎtɕ͈ʌ̹k̚
펌	pʰʌ̹m
펌웨어	pʰʌ̹mwe̞ʌ̹
펌프	pʰʌmpʰɯ
펌프	pʰʌ̹mpʰɯ
펑	pʰʌ̹ŋ
펑크	pʰʌ̹ŋkxɯ
페나진	pʰe̞na̠dʑin
페난트리딘	pʰe̞na̠ntʰɯɾidin
페놀	pʰe̞no̞ɭ
페니	pʰe̞ni
페니키아에	pʰɛnikʰiaɛ
페달	pʰe̞da̠ɭ
페더럴웨이	pʰe̞dʌ̹ɾʌ̹ɾwe̞i
페럿	pʰe̞ɾʌ̹t̚
페레스트로이카	pʰe̞ɾe̞sʰɯtʰɯɾo̞ikʰa̠
페루	pʰe̞ɾu
페르뮴	pʰe̞ɾɯmjum
페르샤어	pʰe̞ɾɯɕʰa̠ʌ̹
페르세포네	pʰe̞ɾɯsʰe̞pʰo̞ne̞
페르시아	pʰe̞ɾɯɕʰia̠
페르시아어	pʰe̞ɾɯɕʰia̠ʌ̹
페미니스트	pʰe̞minisʰɯtʰɯ
페미니즘	pʰe̞minidʑɯm
페샤와르	pʰe̞ɕʰa̠wa̠ɾɯ
페스트	pʰe̞sʰɯtʰɯ
페어	pʰe̞ʌ̹
페어리	pʰe̞ʌ̹ɾi
페이스북	pʰe̞is͈ɯbuk̚
페이스북	pʰɛisɯbuk
페이스북과	pʰɛisɯbuk̚k͈wa
페이스북안녕하세요라고	pʰɛisɯbugannjʌŋhasɛjoɾago
페이지	pʰe̞idʑi
페이지도	pʰɛidʑido
페이지에	pʰɛidʑiɛ
페인트	pʰe̞intʰɯ
페인트를	pʰɛintʰɯɾɯl
페지	pʰe̞dʑi
페지	pʰe̞ːdʑi
페치카	pʰe̞tɕʰikʰa̠
페투치네	pʰe̞tʰutɕʰine̞
페티시즘	pʰe̞tʰiɕʰidʑɯm
펜	pʰe̞n
펜션	pʰe̞nɕʰʌ̹n
펜실베니아	pʰe̞nɕʰiɭbe̞nia̠
펜실베이니아	pʰe̞nɕʰiɭbe̞inia̠
펜싱	pʰe̞nɕ͈iŋ
펜치	pʰe̞ɲtɕʰi
펜타곤	pʰe̞ntʰa̠go̞n
펜테인	pʰe̞ntʰe̞in
펜팔	pʰe̞npʰa̠ɭ
펠라티오	pʰe̞ɭɭa̠tʰio̞
펠리페	pʰɛllipʰɛ
펠메니	pʰe̞ɭme̞ni
펩타이드	pʰe̞p̚tʰa̠idɯ
펩티드	pʰe̞p̚tʰidɯ
펭귄	pʰe̞ŋgɥin
펴낸	pʰjʌnɛ
펴는	pʰjʌnɯn
펴다	pʰjʌ̹da̠
펴지	pʰjʌdʑi
편	pʰjʌn
편	pʰjʌ̹n
편가르기	pʰjʌ̹nga̠ɾɯgi
편견	pʰjʌnkjʌn
편견	pʰjʌ̹ngjʌ̹n
편견을	pʰjʌnkjʌnɯl
편경	pʰjʌ̹ngjʌ̹ŋ
편도	pʰjʌ̹ndo̞
편도선	pʰjʌntosʌn
편도선	pʰjʌ̹ndo̞sʰʌ̹n
편도염	pʰjʌ̹ndo̞jʌ̹m
편모	pʰjʌ̹nmo̞
편법	pʰjʌnpʌp
편복	pʰjʌ̹nbo̞k̚
편성	pʰjʌnsʌŋ
편성	pʰjʌ̹nsʰʌ̹ŋ
편성하기	pʰjʌnsʌŋhagi
편성해	pʰjʌnsʌŋhɛ
편수	pʰjʌ̹nsʰu
편식	pʰjʌ̹nɕʰik̚
편씩	pʰjʌns͈ik
편안	pʰjʌ̹na̠n
편안하다	pʰjʌ̹na̠nɦa̠da̠
편안한	pʰjʌnanha
편안한	pʰjʌnanhan
편암	pʰjʌ̹na̠m
편육	pʰjʌ̹ɲuk̚
편의	pʰjʌ̹nɰi
편의점	pʰjʌnɰidʑʌm
편의점	pʰjʌ̹nɰidʑʌ̹m
편의점에서	pʰjʌnɰidʑʌmɛsʌ
편의점이	pʰjʌnɰidʑʌmi
편입으로	pʰjʌnibɯɾo
편입을	pʰjʌnibɯl
편자	pʰjʌ̹ɲdʑa̠
편작	pʰjʌ̹ɲdʑa̠k̚
편제방식과	pʰjʌntɕɛbaŋsik̚k͈wa
편종	pʰjʌ̹ɲdʑo̞ŋ
편지를	pʰjʌntɕiɾɯl
편지에서	pʰjʌntɕiɛsʌ
편집	pʰjʌ̹ɲdʑip̚
편집기	pʰjʌ̹ɲdʑip̚k͈i
편집병	pʰjʌ̹ɲdʑip̚p͈jʌ̹ŋ
편집인	pʰjʌ̹ɲdʑibin
편집자	pʰjʌ̹ɲdʑip̚tɕ͈a̠
편집자주	pʰjʌntɕip̚tɕ͈adʑu
편집장	pʰjʌ̹ɲdʑip̚tɕ͈a̠ŋ
편집증	pʰjʌ̹ɲdʑip̚tɕ͈ɯŋ
편집하다	pʰjʌ̹ɲdʑipʰa̠da̠
편차가	pʰjʌntɕʰaga
편찮다	pʰjʌ̹ɲtɕʰa̠ntʰa̠
편찮으시다	pʰjʌ̹ɲtɕʰa̠nɯɕʰida̠
편편하다	pʰjʌ̹npʰjʌ̹nɦa̠da̠
편하게	pʰjʌnhagɛ
편하다	pʰjʌ̹nɦa̠da̠
편향적으로	pʰjʌnhjaŋtɕʌgɯɾo
편협하다	pʰjʌ̹nʝʌ̹pʰa̠da̠
편히	pʰjʌ̹nʝi
펼쳐	pʰjʌltɕʰʌ
펼쳐놓고	pʰjʌltɕʰʌnokʰo
펼쳐지다	pʰjʌ̹ʎtɕʰʌ̹dʑida̠
펼쳐진	pʰjʌltɕʰʌdʑi
펼쳐질	pʰjʌltɕʰʌdʑil
펼치기도	pʰjʌltɕʰigido
펼칠	pʰjʌltɕʰi
펼칠	pʰjʌltɕʰil
폄	pʰjʌ̹m
폄하	pʰjɘːmɦa̠
폄하	pʰjʌmha
폄훼	pʰjɘːmβwe̞
평가	pʰjɘːŋk͈a̠
평가	pʰjʌŋka
평가가	pʰjʌŋkaga
평가를	pʰjʌŋkaɾɯl
평가에	pʰjʌŋkaɛ
평가와	pʰjʌŋkawa
평가자	pʰjʌŋkadʑa
평가하는	pʰjʌŋkahanɯn
평가하다	pʰjɘːŋk͈a̠ɦa̠da̠
평가한	pʰjʌŋkahan
평가해	pʰjʌŋkahɛ
평결	pʰjʌ̹ŋgjʌ̹ɭ
평균	pʰjʌ̹ŋgjun
평균기온은	pʰjʌŋkjunkionɯn
평균적으로	pʰjʌŋkjuntɕʌgɯɾo
평당	pʰjʌŋtaŋ
평등	pʰjʌ̹ŋdɯŋ
평등해지고	pʰjʌŋtɯŋhɛdʑigo
평론가	pʰjʌ̹ŋno̞nga̠
평면	pʰjʌ̹ŋmjʌ̹n
평민	pʰjʌ̹ŋmin
평민들	pʰjʌŋmintɯl
평방	pʰjʌ̹ŋba̠ŋ
평범	pʰjʌ̹ŋbʌ̹m
평범하다	pʰjʌ̹ŋbʌ̹mɦa̠da̠
평상	pʰjʌ̹ŋsʰa̠ŋ
평생교육원에서	pʰjʌŋsɛŋkjojugwʌnɛsʌ
평성	pʰjʌ̹ŋsʰʌ̹ŋ
평소	pʰjʌŋso
평소	pʰjʌ̹ŋsʰo̞
평수	pʰjʌ̹ŋs͈u
평수를	pʰjʌŋsuɾɯl
평시	pʰjʌ̹ŋɕʰi
평안	pʰjʌ̹ŋa̠n
평안남도	pʰjʌ̹ŋa̠nna̠mdo̞
평안도	pʰjʌ̹ŋa̠ndo̞
평안북도	pʰjʌ̹ŋa̠nbuk̚t͈o̞
평야	pʰjʌ̹ŋja̠
평양	pʰjʌŋjaŋ
평양	pʰjʌ̹ŋja̠ŋ
평양에	pʰjʌŋjaŋɛ
평양에서	pʰjʌŋjaŋɛsʌ
평양을	pʰjʌŋjaŋɯl
평양의	pʰjʌŋjaŋɰi
평온	pʰjʌ̹ŋo̞n
평원	pʰjʌ̹ŋwʌ̹n
평의회	pʰjɘːŋɰiβwe̞
평이	pʰjʌŋi
평이	pʰjʌ̹ŋi
평이하다	pʰjʌ̹ŋiɦa̠da̠
평전	pʰjɘːŋdʑʌ̹n
평정	pʰjʌ̹ŋdʑʌ̹ŋ
평정심	pʰjʌ̹ŋdʑʌ̹ŋɕʰim
평정하다	pʰjʌ̹ŋdʑʌ̹ŋɦa̠da̠
평지	pʰjʌ̹ŋdʑi
평창	pʰjʌ̹ŋtɕʰa̠ŋ
평창나들목	pʰjʌŋtɕʰaŋnadɯlmok
평창휴게소	pʰjʌŋtɕʰaŋhjugɛso
평택	pʰjʌŋtʰɛk
평판	pʰjɘːŋpʰa̠n
평평한	pʰjʌŋpʰjʌŋhan
평행봉에	pʰjʌŋhɛŋpoŋɛ
평형	pʰjʌ̹ŋʝʌ̹ŋ
평화	pʰjʌ̹ŋβwa̠
평화롭다	pʰjʌ̹ŋβwa̠ɾo̞p̚t͈a̠
평화를	pʰjʌŋhwaɾɯ
평화를	pʰjʌŋhwaɾɯl
평화시위의	pʰjʌŋhwasiwiɰi
평화와	pʰjʌŋhwawa
평화유지	pʰjʌ̹ŋβwa̠judʑi
평화적	pʰjʌ̹ŋβwa̠dʑʌ̹k̚
평화주의	pʰjʌ̹ŋβwa̠dʑuɰi
평화협정으로	pʰjʌŋhwahjʌp̚tɕ͈ʌŋɯɾo
폐	pʰje̞ː
폐경기	pʰje̞ːgjʌ̹ŋgi
폐공	pʰje̞ːgo̞ŋ
폐급	pʰje̞ːk͈ɯp̚
폐기종	pʰje̞ːgidʑo̞ŋ
폐기해야	pʰjɛgihɛja
폐단	pʰje̞ːda̠n
폐렴	pʰje̞ːɾjʌ̹m
폐로작업을	pʰjɛɾodʑagʌbɯl
폐막식	pʰje̞ːma̠kɕ͈ik̚
폐쇄성으로	pʰjɛswɛsʌŋɯɾo
폐수	pʰjɛsu
폐암	pʰje̞ːa̠m
폐인	pʰje̞ːin
폐지	pʰje̞ːdʑi
폐지되다	pʰje̞ːdʑidwe̞da̠
폐지되지	pʰjɛdʑidwɛdʑi
폐지될	pʰjɛdʑidwɛl
폐지하다	pʰje̞ːdʑiɦa̠da̠
폐차	pʰje̞tɕʰa̠
폐품	pʰje̞pʰum
폐하	pʰje̞ːɦa̠
폐허	pʰje̞ːɦʌ̹
폐회식	pʰje̞ːβwe̞ɕʰik̚
포	pʰo̞
포가	pʰo̞ga̠
포경	pʰo̞ːgjʌ̹ŋ
포경수술	pʰo̞ːgjʌ̹ŋsʰusʰuɭ
포고	pʰo̞go̞
포괄임금제는	pʰogwaɾimkɯmtɕɛnɯn
포괄적으로	pʰogwaltɕʌgɯɾo
포교	pʰo̞gjo
포교	pʰo̞ːgjo
포구	pʰo̞ːgu
포기	pʰo̞ːgi
포기하고	pʰogihago
포기하다	pʰo̞ːgiɦa̠da̠
포기하신	pʰogihasin
포기한	pʰogihan
포대	pʰodɛ
포대의	pʰodɛɰi
포도	pʰo̞do̞
포도당	pʰo̞do̞da̠ŋ
포도아	pʰo̞do̞a̠
포도주	pʰo̞do̞dʑu
포도탄	pʰo̞do̞tʰa̠n
포동포동	pʰo̞do̞ŋpʰo̞do̞ŋ
포드고리차	pʰo̞dɯgo̞ɾitɕʰa̠
포럼	pʰo̞ɾʌ̹m
포로	pʰo̞ːɾo̞
포로들을	pʰoɾodɯɾɯl
포로로	pʰoɾolo
포르노	pʰoɾɯno
포르투갈	pʰo̞ɾɯtʰuga̠ɭ
포르핀	pʰo̞ɾɯpʰin
포름알데히드	pʰo̞ɾɯma̠ɭde̞ʝidɯ
포리	pʰo̞ɾi
포리지	pʰo̞ɾidʑi
포마드	pʰo̞ma̠dɯ
포마레	pʰomaɾɛ
포말	pʰomal
포말을	pʰomaɾɯl
포물선	pʰo̞ːmuɭs͈ʌ̹n
포백	pʰobɛ
포병	pʰo̞bjʌ̹ŋ
포볼	pʰo̞bo̞ɭ
포부	pʰo̞ːbu
포사삭	pʰo̞sʰa̠sʰa̠k̚
포사삭포사삭	pʰo̞sʰa̠sʰa̠k̚pʰo̞sʰa̠sʰa̠k̚
포삭	pʰo̞sʰa̠k̚
포삭포삭	pʰo̞sʰa̠k̚pʰo̞sʰa̠k̚
포상	pʰo̞sʰa̠ŋ
포상금	pʰo̞sʰa̠ŋgɯm
포상을	pʰosaŋɯl
포석이었지만	pʰosʌgiʌt̚tɕ͈iman
포세이돈	pʰo̞sʰe̞ido̞n
포수	pʰo̞ːsʰu
포스터	pʰosɯtʰʌ
포스터	pʰo̞sʰɯtʰʌ̹
포스터는	pʰosɯtʰʌnɯn
포스트잇에	pʰosɯtʰɯisɛ
포슬포슬	pʰo̞sʰɯɭpʰo̞sʰɯɭ
포시즌스호텔	pʰosidʑɯnsɯhotʰɛl
포악	pʰo̞ːa̠k̚
포연	pʰo̞jʌ̹n
포옹	pʰo̞ːo̞ŋ
포옹하다	pʰo̞ːo̞ŋɦa̠da̠
포위	pʰo̞ːɥi
포유류	pʰo̞ːjuɾju
포인터	pʰo̞intʰʌ̹
포인트	pʰo̞intʰɯ
포인트도	pʰointʰɯdo
포인트를	pʰointʰɯɾɯl
포자	pʰo̞dʑa̠
포장	pʰo̞dʑa̠ŋ
포장마차	pʰo̞dʑa̠ŋma̠tɕʰa̠
포장재를	pʰodʑaŋtɕɛɾɯl
포장지	pʰo̞dʑa̠ŋdʑi
포주	pʰo̞dʑu
포주	pʰo̞ːdʑu
포즈	pʰo̞dʑɯ
포즈디쇼브체	pʰodʑɯdisjobɯtɕʰɛ
포즈로	pʰodʑɯɾo
포지션	pʰo̞dʑiɕʰʌ̹n
포진	pʰodʑin
포차	pʰo̞tɕʰa̠
포착되고	pʰotɕʰak̚t͈wɛgo
포천이	pʰotɕʰʌni
포치	pʰo̞tɕʰi
포커	pʰo̞kʰʌ̹
포켓	pʰo̞kʰe̞t̚
포켓몬스터	pʰo̞kʰe̞nmo̞nsʰɯtʰʌ̹
포크질을	pʰokʰɯdʑiɾɯl
포탄	pʰotʰa
포탄	pʰo̞tʰa̠n
포탈	pʰo̞tʰa̠ɭ
포탈을	pʰotʰaɾɯl
포탑	pʰo̞tʰa̠p̚
포털	pʰo̞tʰʌ̹ɭ
포트	pʰo̞tʰɯ
포트루이스	pʰo̞tʰɯɾuisʰɯ
포트모르즈비	pʰo̞tʰɯmo̞ɾɯdʑɯbi
포트오브스페인	pʰo̞tʰɯo̞bɯsʰɯpʰe̞in
포피	pʰo̞pʰi
포학	pʰo̞ːɦa̠k̚
포함	pʰoham
포함	pʰo̞ɦa̠m
포함돼	pʰohamtwɛ
포함되다	pʰo̞ɦa̠mdwe̞da̠
포함되어	pʰohamtwɛʌ
포함되지	pʰohamtwɛdʑi
포함된	pʰohamtwɛn
포함될지	pʰohamtwɛltɕi
포함하다	pʰo̞ɦa̠mɦa̠da̠
포함한	pʰohamha
포함한	pʰohamhan
포함해	pʰohamhɛ
포항시	pʰohaŋsi
포화	pʰo̞ːβwa̠
포화상태에	pʰohwasaŋtʰɛɛ
포화지방	pʰo̞βwa̠dʑiba̠ŋ
포환	pʰo̞βwa̠n
포희미아	pʰo̞ʝimia̠
폭	pʰok
폭	pʰo̞k̚
폭격	pʰo̞k̚k͈jʌ̹k̚
폭격기	pʰo̞k̚k͈jʌ̹k̚k͈i
폭격기들로	pʰok̚k͈jʌk̚k͈idɯllo
폭격으로	pʰok̚k͈jʌgɯɾo
폭격이	pʰok̚k͈jʌgi
폭군	pʰo̞k̚k͈un
폭넓다	pʰo̞ŋnʌ̹ɭt͈a̠
폭도	pʰo̞k̚t͈o̞
폭동	pʰo̞k̚t͈o̞ŋ
폭동으로	pʰok̚t͈oŋɯɾo
폭등기	pʰok̚t͈ɯŋki
폭등하고	pʰok̚t͈ɯŋhago
폭락한	pʰoŋnakʰa
폭력	pʰoŋnjʌk
폭력적인	pʰoŋnjʌk̚tɕ͈ʌgin
폭발	pʰok̚p͈al
폭발	pʰo̞k̚pʰa̠ɭ
폭발	pʰo̞k̚p͈a̠ɭ
폭발로	pʰok̚p͈allo
폭발물	pʰo̞k̚p͈a̠ɭmuɭ
폭발적으로	pʰok̚p͈altɕʌgɯɾo
폭발하는	pʰok̚p͈alhanɯn
폭발하다	pʰo̞k̚pʰa̠ɾɦa̠da̠
폭발하다	pʰo̞k̚p͈a̠ɾɦa̠da̠
폭발해	pʰok̚p͈alhɛ
폭설	pʰo̞ks͈ʌ̹ɭ
폭소	pʰo̞ks͈o̞
폭스뉴스가	pʰok̚s͈ɯnjusɯga
폭언에	pʰogʌnɛ
폭염	pʰo̞gjʌ̹m
폭염으로	pʰogjʌmɯɾo
폭우	pʰo̞gu
폭우가	pʰoguka
폭이	pʰogi
폭정	pʰo̞k̚tɕ͈ʌ̹ŋ
폭주	pʰo̞k̚tɕ͈u
폭죽	pʰo̞k̚tɕ͈uk̚
폭탄	pʰok̚tʰan
폭탄	pʰo̞k̚tʰa̠n
폭탄주	pʰo̞k̚tʰa̠ɲdʑu
폭투	pʰo̞k̚tʰu
폭파	pʰo̞k̚pʰa̠
폭파하다	pʰo̞k̚pʰa̠ɦa̠da̠
폭포	pʰo̞k̚pʰo̞
폭풍	pʰo̞k̚pʰuŋ
폭풍우	pʰo̞k̚pʰuŋu
폭풍을	pʰok̚pʰuŋɯl
폭풍이	pʰok̚pʰuŋi
폭풍이나	pʰok̚pʰuŋina
폭행	pʰokʰɛŋ
폭행시비에	pʰokʰɛŋsibiɛ
폭행을	pʰokʰɛŋɯl
폭행이었다며	pʰokʰɛŋiʌt̚t͈amjʌ
폭행해	pʰokʰɛŋhɛ
폭행했으며	pʰokʰɛŋhɛs͈ɯmjʌ
폰	pʰol
폰	pʰo̞n
폰페이에	pʰonpʰɛiɛ
폴	pʰol
폴다	pʰo̞ɭda̠
폴더	pʰo̞ɭdʌ̹
폴란드	pʰollantɯ
폴란드	pʰo̞ɭɭa̠ndɯ
폴란드어	pʰo̞ɭɭa̠ndɯʌ̹
폴란드인	pʰo̞ɭɭa̠ndɯin
폴로	pʰo̞ɭɭo̞
폴리네시아	pʰo̞ʎʎine̞ɕʰia̠
폴리스라인을	pʰollisɯɾainɯl
폴터가이스트	pʰo̞ɭtʰʌ̹ga̠isʰɯtʰɯ
폼알데하이드	pʰo̞ma̠ɭde̞ɦa̠idɯ
퐁당퐁당	pʰo̞ŋda̠ŋpʰo̞ŋda̠ŋ
퐁뒤	pʰo̞ŋdɥi
퐁퐁남	pʰo̞ŋpʰo̞ŋna̠m
표	pʰjo
표결	pʰjogjʌ̹ɭ
표결만으로	pʰjogjʌlmanɯɾo
표고	pʰjogo̞
표기	pʰjogi
표기돼	pʰjogidwɛ
표기법	pʰjogip͈ʌ̹p̚
표기하다	pʰjogiɦa̠da̠
표를	pʰjoɾɯl
표면	pʰjomjʌ
표면을	pʰjomjʌnɯl
표면장력	pʰjomjʌ̹ɲdʑa̠ŋɲʌ̹k̚
표면적으로는	pʰjomjʌntɕʌgɯɾonɯn
표명	pʰjomjʌŋ
표명과	pʰjomjʌŋkwa
표명된	pʰjomjʌŋtwɛn
표명하기도	pʰjomjʌŋhagido
표명한	pʰjomjʌŋha
표명한	pʰjomjʌŋhan
표명했지만	pʰjomjʌŋhɛt̚tɕ͈ima
표믕롬	pʰjomɯŋno̞m
표범	pʰjobʌ̹m
표범상어	pʰjobʌ̹msʰa̠ŋʌ̹
표범피부	pʰjobʌ̹mpʰibu
표본	pʰjobo̞n
표시된	pʰjosidwɛn
표시판	pʰjosipʰan
표시하고	pʰjosihago
표시하다	pʰjoɕʰiɦa̠da̠
표식	pʰjoɕʰik̚
표어	pʰjoʌ̹
표어문자	pʰjoʌ̹muɲdʑa̠
표음	pʰjoɯm
표의	pʰjoɰi
표의문자	pʰjoɰimuɲtɕ͈a̠
표적	pʰjodʑʌ̹k̚
표적으로	pʰjodʑʌgɯɾo
표절	pʰjodʑʌ̹ɭ
표정	pʰjodʑʌ̹ŋ
표정으로	pʰjodʑʌŋɯɾo
