-อืม--	ʔɯ̌ːm
ฮาๆๆ	ha˥ha˥ha˥
ฮิ	hi˥
ฮิกส์	hɪkʰ˥
ฮิคกี้	ɦik̚kiː
ฮิคคัพ	ɦik̚kʰáp
ฮิคารุ	hi˨ka˥ru˩
ฮิงาชิ	hiŋaʔsi
ฮิญาบ	hi˨˩jaːp̚˨˩
ฮิตเลอร์	ʔítlɛ̀ː
ฮินดี	hin˧diː˧
ฮินดู	hin˧duː˧
ฮินาตะ	hɪnàːtá
ฮินาโกะ	˥i˧na˥ko˧
ฮิบรู	hip̚˦˥ruː˧
ฮิบิกิ	hi˥bi˧ki˥
ฮิป	ɦɪp˧
ฮิปปี้	hipʰiː˥
ฮิปโปโปเตมัส	hip̚˦˥poː˧poː˧teː˧mas˦˥
ฮิระงะนะ	hi˦˥ra˦˥ŋa˦˥naʔ˦˥
ฮิระอิ	hi˥ra˩ʔi˥
ฮิรากิ	hi˥ra˩ki˥
ฮิรางานะ	hi˦˥raː˧ŋaː˧naʔ˦˥
ฮิล	hi˥l
ฮิลดี้	hi˥li˩di˨
ฮิลด้า	ɦi˨la˥da˧
ฮิลตัน	hi˥l˩tɔn˥
ฮิลลี่	hi˥li˩li˧
ฮิลล์	hi˥l˧
ฮิลส์	hɪl˥
ฮิว	hiw˥
ฮิวจ์	ɦɪ̂wk
ฮิวส์	hɯ̀ːw
ฮิวแมน	hiw˥mɛːn˧
ฮิวโก้	hiwkoː
ฮิสทีเรีย	his˦˥tʰiː˧ria̯˧
ฮิเดโยชิคุง	˥hi˧de˥yo˧ʔʃi˥kuŋ
ฮิเดโอะ	hi˥de˩o˧
ฮิโตมิ	hi˥to˧mi˥
ฮิโร	hɪrɔ̄
ฮิโรชิมะ	hi˦˥roː˧tɕʰi˦˥maʔ˦˥
ฮิโรมิ	hiː˨roː˧miː˥
ฮิโระ	hi˥ro˩
ฮิโรเซะ	hi˥ro˩se˧
ฮิโรเสะ	hi˥ro˩se˧
ฮิโรโตะ	hi˥ro˩to˧
ฮิโร่	hiː˥roː˧
ฮี	˥i
ฮีจุง	hi˥tɕuŋ˥
ฮีจู	ʰiːtɕuː˥
ฮีชอล	hiːtɕɔːl
ฮีซุง	hiːsuŋ
ฮีซู	hɪsú
ฮีท	ʰiːt˥
ฮีทเธอร์	i˥tʰe˧
ฮีธคลิฟฟ์	hɪːtʰkʰlɪf
ฮีบรู	hiː˧bruː˧
ฮีวอน	hiwɔ̄n
ฮีเทอร์	hiːtʰɛ̀ː
ฮีเลียม	hiː˧lia̯m˥˩
ฮีเลียส	hiːliːa̰s
ฮีโร	hiː˥roː˧
ฮีโร่ส์	hiː˥roː˧
ฮี่	ʔi˥
ฮี้	hiː˥
ฮึด	hɯt̚˦˥
ฮึ่ย	ɦɯ̀j
ฮืม	ʰɯ̆m˨
ฮืมม	hɯmː˥
ฮืมมม	ʔɯmː
ฮืมมมม	ʔɯmːː
ฮืมม์	ʔɯm˧
ฮือ	ʔɯ˥
ฮื้อ	ɦɯ̀ː
ฮุ	˥hu
ฮุก	ʔùk
ฮุค	hʊk˥
ฮุนซู	hʊnsuː
ฮุนโซ	hoʔnsoʔ
ฮุบ	hup̚˦˥
ฮุยซู	ɦuʔsuː
ฮุสตัน	hu˥s˦t˨a˧n˥
ฮุ่ยเจี๋ย	hɯ̀jdʑià
ฮู	hu˥
ฮูก	huːk̚˥˩
ฮูฟาน	huːfan
ฮูมู	huːmú
ฮูว	hu˥u˩
ฮูสตัน	hu˥ston˩
ฮูหยิน	huː˧jin˩˩˦
ฮูเปอร์	hu˥pe˧ː
ฮูเร่	hu˥re˧
ฮูเวอร์	huɛ̀w
ฮู้ด	ʰuːt˥
ฮู้ว	hɯ̀w
ฮเย	hiɛ˥
ฮเยนา	hi˥je˩na˥
ฮโย	ɦɔ̀j
ฮโยจอง	ɦɔ̀jɔ̂ːŋ
ฮโยริ	ɦɨ̀ɔ̀rɨ̀
ฮโยรี	hɔ̀jɔ̂ːrì
ฮ็อบบ์	hɔ̀p
ฮ่อ	hɔː˥˩
ฮ่องกง	hɔŋ˥˩koŋ˧
ฮ่องกงฟุต	hɔŋ˥˩koŋ˧fut̚˦˥
ฮ่องเต้	hɔŋ˥˩teː˥˩
ฮ่ะ	ha˥
ฮ่ะๆ	ha˥sa˥
ฮ่าา	haː˥
ฮ่าๆ	haː˥haː˥
ฮ่าๆๆๆ	haː˥haː˥haː˥haː˥
ฮ้ลโหล	ʔɔ̀ːlɔ̀ː
ฮ้ะ	ha˥
ฮ้า	ha˥
ฮ้าา	haː˥
ฮ๊า	ha˥
ฮ๋า	˥ɦaː
ฯ	ʔ
ฯพณฯ	pʰa˦˥na˦˥tʰan˥˩
ฯลฯ	laʔ˦˥
ฯลฯ	la˦˥tʰɯŋ˩˩˦
ะฐbะพut	˨˩ba˥˧t
ะฐm	ʔɛːm˥
ะฐnd	ʔɛ̀ːn
ะฐny	ʔɛn
ะฐnั	˥nɑː˨
ะฐrะต	ʔɑ̀ːt
ะฐั	ʔɛ̀
ะตd	aʔt
ะตn	aʔtɔn
ะตr	aʔt
ะตั	a˥tɑ˨
ะพmะตthั	ʔaʔpʰɔ̀mpʰáttʰɑ̀
ะพmั	ʔɑ̀ːpʰa
ะพr	ʔɑ̀ʔpʰɤ̀
ะพrั	ʔaʔpʰɛ̀
ะพuั	ʔapʰuʔ
า	a˥
าหมาย	˥ʰmɑːj˨
เก	ke˥
เกคิ	kɛkʰi˧
เกชา	keː˧tɕʰaː˧
เกณฑ์	keːn˧
เกด	keːt̚˨˩
เกตส์	kɛtʰ˥
เกตุ	keːt̚˨˩
เกตุ	keː˧tu˨˩
เกทส์	kɛ̀t
เกนจิ	kɛntɕi
เกนส์	ken˥s
เกบ	kep
เกม	kem˧
เกม	keːm˧
เกมจบแล้ว	kɛm˥tɕɔn˧lɛːw˥
เกมที่	keːmtʰiː
เกมนี้	kemniː
เกมส์	kem˥
เกมส์	keːm˧
เกมส์จบแล้ว	kɛm˥tɕɔp˩lɛ̄w˥
เกมเริ่มแล้ว	kɛːm˥rɤːm˧lɛːw˥
เกมเศรษฐี	kem˥ʃeː˧˥tʰiː˥
เกมเหรอ	kɛːmʰrɛ̀
เกมโชว์	keːm˧tɕʰoː˧
เกย	kɤːj˧
เกย์	keː˧
เกย์ไพรด์	keː˧pʰraj˦˥
เกรก	krɛk
เกรกอรี่	krɛkɔ̀ːrì
เกรง	kreːŋ˧
เกรงว่า	kɛ̀ːŋwâ
เกรงใจ	kreːŋ˧tɕaj˧
เกรตบริเตน	kreːt̚˦˥bri˨˩teːn˧
เกรต้า	kɛ̀ːtáː
เกรท	krɛːt
เกรทเชน	kɛ̀ːtʃʰɛ̂ːn
เกรทเช่น	kɛ̀ːtʃɛ̂n
เกรทเซ่น	kɛ̀ːt̂seːn
เกรน	krɛn˥
เกรปฟรุต	kreːp̚˦˥frut̚˦˥
เกรปฟรูต	kreːp̚˦˥fruːt̚˦˥
เกรมลิน	krɛm˥lin˧
เกรย์สัน	kɛ̀rɛ̂ːsɔ̄ːn
เกรวี	kreː˧wiː˥˩
เกรสัน	krɛ̀ːsɔ̂ːn
เกราะ	krɔʔ˨˩
เกราะ	kɛ̀rɔ̀
เกริก	krɤːk̚˨˩
เกรียง	kria̯ŋ˧
เกรียงไกร	kria̯ŋ˧kraj˧
เกรียน	kria̯n˧
เกรียนเทพ	krɛːn˥tʰɛːp˥
เกรียม	kria̯m˧
เกรียร์	krɪ̀a̯
เกรี้ยว	kria̯w˥˩
เกรี้ยวกราด	kria̯w˥˩kraːt̚˨˩
เกรเกอร์	kɛ̀ːkrɛ̂ː
เกรเนดา	kreː˧naː˧daː˥˩
เกรเยอร์	kɛ̀rɛ̄ː
เกรแมน	kɛ̀ːmɛ̄ːn
เกรแฮม	kɛ̀ː˥rɛ̄ː˧˥hɛːm˥
เกร็ก	krɛk
เกร็กกอรี่	krɛ̀kkɔ̀rî
เกร็ง	kreŋ˧
เกร็ด	kret̚˨˩
เกร็น	krɛn˥
เกร๊ก	krɛ́k
เกล	kɛ̀l
เกลน	kɛ̄n
เกลนด้า	kɛn˥da˥
เกลนน์	kɛn˥
เกลอ	kɛ̀lɔ̀
เกลา	klaw˧
เกลียด	klia̯t̚˨˩
เกลียด	kɛlìat
เกลียดชัง	klia̯t̚˨˩tɕʰaŋ˧
เกลียดตัวกินไข่	klia̯t̚˨˩tua̯˧kin˧kʰaj˨˩
เกลียว	klia̯w˧
เกลี้ยง	klia̯ŋ˥˩
เกลือ	klɯa
เกลือ	klɯa̯˧
เกลือก	klɯa̯k̚˨˩
เกลือหิน	klɯa̯˧hin˩˩˦
เกลือเป็นหนอน	klɯa̯˧pen˧nɔːn˩˩˦
เกลือแร่	klɯa̯˧rɛː˥˩
เกล็ด	klet̚˨˩
เกล็ดหิมะ	klet̚˨˩hi˨˩maʔ˦˥
เกล็ดเลือด	klet̚˨˩lɯa̯t̚˥˩
เกล็ดเลือดน้อย	kret̚˨˩lɯa̯t̚˥˩nɔːj˦˥
เกล็น	klɛn˥
เกล้ากระหม่อม	klaːw˥˩kra˨˩mɔm˨˩
เกวน	kwɛn˥
เกวนนิเวียร์	kwɛnníwɛ̄ː
เกวิน	kɛwɪn˥
เกวียน	kwia̯n˧
เกว็น	kwɛn˥
เกว็นเนเวียร์	kew⁴nɛw⁵wɛː⁵
เกษียณ	ka˨˩sia̯n˩˩˦
เกษียณ	kɛ̀sǐàn
เกษียร	ka˨˩sia̯n˩˩˦
เกษียรสมุทร	ka˨˩sia̯n˩˩˦sa˨˩mut̚˨˩
เกอดะฮ์	kɤː˧daʔ˨˩
เกอดา	keː˧daː˥
เกอว	kɤːw˧
เกอิชา	keː˧ʔi˨˩tɕʰaː˧
เกฮวา	keʔwaː
เกา	kaw
เกา	kaw˧
เกาลัด	kaw˧lat̚˦˥
เกาหลี	kaw˥li˧
เกาหลีใต้	kaw˥li˧taɪ˧
เกาหี	kaw˧hiː˩˩˦
เกาะกลุ่มกันไว้	ko˥klaːm˧kan˩wai˥
เกาะชายกระโปรง	kɔʔ˨˩tɕʰaːj˧kra˨˩proːŋ˧
เกาะปริ่มน้ำ	kɔʔ˨˩prim˨˩naːm˦˥
เกาะหินโด่ง	kɔʔ˨˩hin˩˩˦doːŋ˨˩
เกาะเล็กรอบนอกของสหรัฐ	kɔʔ˨˩lek̚˦˥rɔːp̚˥˩nɔːk̚˥˩kʰɔːŋ˩˩˦sa˨˩ha˨˩rat̚˦˥
เกาะแน่นๆ	ko˥naen˩
เกาะแน่นๆนะ	ko˥nɛn˥na˥
เกาะไว้นะ	koːwajná
เกิด	kɤːt̚˨˩
เกิดขึ้น	gə̀jkʰɯ̂n
เกิดปี	˥˨˩
เกิดอะไร	gə̀j˥ʔàj˥
เกิดอะไรขึ้น	gə̀jʔaːjkʰɯ̄n
เกิดอะไรขึ้นตอนนี้	gə̀jʔaːjkʰɯ̂ntɔnniː
เกิดอะไรขึ้นที่นี่	gə̀jʔaːjkʰɯ̂ntʰiniː
เกิดอะไรขึ้นน่ะ	gə̀jʔaːjkʰɯ̂nnâ
เกิดอะไรขึ้นวะ	gə̀jʔaːjkʰɯ̄nwá
เกิดอะไรขึ้นวะเนี่ย	gə̀jʔaːjkʰɯ̂nwániâ
เกิดอะไรขึ้นในนั้น	gə̀jʔaːjkʰɯ̂ndīnnā
เกิดอะไรชึ้น	gə̀jʔaːjʃɯ̂n
เกิดอะไรเหรอ	gə̀jʔaːjlɛ̀w
เกิดเรื่องบ้าอะไรขึ้น	gə̀jgɤ̀jɓaːʔaːjgɯ̀ŋ
เกิดเรื่องอะไร	˥gə̀j˨rɯ̄à˥
เกิดเรื่องแล้ว	˥gə̀j˨rɯ̄ân˥lɛ̀w˥
เกิน	kɤːn˧
เกินกว่า	kʰeːn˥kʰwǎː˥
เกินไป	kiːnpʰɑj
เกินไป	kɤːn˧paj˧
เกินไปแล้วนะ	kiːnpajlɛːwanna
เกิร์ล	gɯ̂ːl
เกียจคร้าน	kia̯t̚˨˩kʰraːn˦˥
เกียจคร้าน	kiːatkʰrɑːn
เกียด	kia̯t̚˨˩
เกียน	kian
เกียน	kia̯n˧
เกียนวู	kiːanwú
เกียรติ	kia̯t̚˨˩
เกียรติ	kia̯t̚˨˩ti˨˩
เกียรติภูมิ	kia̯t̚˨˩ti˨˩pʰuːm˧
เกียรติยศ	kīa̯ttʰīa̯t
เกียร์	kiː˥
เกียวโต	kia̯w˧toː˧
เกียวโต	kīàwkʰwɔ̄ːt
เกี่ยง	kia̯ŋ˨˩
เกี่ยว	kia̯w˨˩
เกี่ยวกับ	kia̯w˨˩kap̚˨˩
เกี่ยวกับ	kīaʔwɑk
เกี่ยวกับมัน	kīaʔwʰap̚man
เกี่ยวกับเขา	kīaʔwɑkʰɔ̄ː
เกี่ยวกับเรื่องอะไร	kīaʔwɑprɯ̄aʔaʔrai
เกี่ยวข้อง	kia̯w˨˩kʰɔŋ˥˩
เกี่ยวสิ	kɛ̀wsì
เกี้ยมอี๋	kia̯m˥˩ʔiː˩˩˦
เกี้ยว	kia̯w˥˩
เกี๊ยว	kia̯w˦˥
เกี๊ยะ	kia̯ʔ˦˥
เกือก	kɨːək
เกือก	kɯa̯k̚˨˩
เกือกม้า	kɯa̯k̚˨˩maː˦˥
เกือกแตะ	kɯa̯k̚˨˩tɛʔ˨˩
เกือบ	kɯa̯p̚˨˩
เกือบละ	kiwɛːplā
เกือบแล้ว	kiwɛː˥lɛː˧
เกือบไป	kɯ̀ɛppʰaj
เกือบไปแล้ว	kiwɛːppɑjlɛːw
เกือบๆ	kiwɛp
เกื้อ	kɯa̯˥˩
เกื้อกูล	kɯa̯˥˩kuːn˧
เกเบรียล	keʔbreːjɛ̄ːl
เกเบิ้ล	keː˥bɛː˧lɛː˥
เกเบียล	keːɓia̯l
เกเร	keː˧reː˧
เก็ง	keŋ˧
เก็ต	ket̚˦˥
เก็นจิ	kentɕʰi
เก็นโนะซึเกะ	kenoːsuke
เก็บ	kep
เก็บกระเป๋า	kepkrapʰɛ̀ʔ
เก็บของ	kepkʰɔ̀ŋ
เก็บของซะ	kep̚kʰɔ̀ŋsa
เก็บของได้แล้ว	kep̚kʰɔ̀ŋdâjlɛ̂w
เก็บข้าวของ	kepkʰɑːwkʰɔ̄ːŋ
เก็บงำ	kep̚˨˩ŋam˧
เก็บดอกไม้	kep̚˨˩dɔːk̚˨˩maːj˦˥
เก็บนี่ไว้	kepnîːwáj
เก็บปืนซะ	kep̚pʰɯ̀nsa
เก็บมันซะ	kep̚man˥sa
เก็บมันไว้	kepmanwai
เก็บมันไว้เถอะ	kepmanwajthɛʔ
เก่งจัง	keŋ˧tɕaŋ˥
เก่งนี่	keŋ˥ni˥
เก่า	kaː˥
เก้ง	keŋ˥˩
เก้ง	keːŋ˥˩
เก้าอี้	kaw˥˩ʔiː˥˩
เก้าอี้	kɛ́ːʔiː
เก๊	keː˦˥
เก๊ก	kek̚˦˥
เก๊กซิม	kek̚˦˥sim˧
เก๊กฮวย	keːk̚˦˥hua̯j˧
เก๊ะ	keʔ˦˥
เก๋ากี้	kaw˩˩˦kiː˥˩
เขตบริหารพิเศษฮ่องกง	kʰeːt̚˨˩bɔː˧ri˦˥haːn˩˩˦pʰi˦˥seːt̚˨˩hɔŋ˥˩koŋ˧
เขนย	kʰa˨˩nɤːj˩˩˦
เขมร	kʰa˨˩meːn˩˩˦
เขย	kʰɤːj˩˩˦
เขยิบไป	kʰɤjippaɪ˩
เขย่ง	kʰa˨˩jeŋ˨˩
เขย่า	kʰa˨˩jaw˨˩
เขลา	kʰlaw˩˩˦
เขวี้ยง	kʰwia̯ŋ˥˩
เขา	kʰɔ̀
เขา-	kʰɔ̀
เขากล่าวว่า	kʰɑw˥klaw˩wa˥
เขากำลังออกมา	kʰɑw˥kɑm˧laŋ˧ʔɔːk˥mɑ˥
เขาก็	kʰɑw˥kɔ˩
เขาก็หายตัวไป	kʰɑw˥kɔ˩haj˧tua˥paɪ˥
เขาก็หายไปแล้ว	kʰɑw˥kɔ˩haj˧paj˩lɛw˥
เขาคง	kʰɔ̄ːkʰɔ̌ŋ
เขาคิดว่า	kʰɑːkʰɪtʰwɑː
เขาคิดอะไรอยู่	kʰɑːkʰɪtʰʰaʔrajjuː
เขาคือ	kʰɑː˥kʰɯ̄˧
เขาคือคนแรกของโลก	kʰɑːkʰɯ̀kʰɤ̄ːkɔ̄ːŋwɔ̄ːk
เขาคือใคร	kʰɑːkʰɯ̀ʔkʰrɑ̀i
เขาฆ่าเธอ	kʰɑ̀ːkʰâːtʰɤ̀
เขาจะตาย	kʰɑːʔtʰáj
เขาจะต้อง	kʰɑːʔtɤ̄ːŋ
เขาจะทำ	kʰɑːtɕaːtʰam
เขาจะทำทุกอย่าง	kʰɑːtɕaːtʰamtʰɯkʰɑːŋ
เขาจะทำอะไร	kʰɑːtɕʰaːtʰamʔaːrai
เขาจะบอกว่า	kʰɑːtɕʰaːbɔ̀ːkʰwɑː
เขาจะไม่	kʰɑːʔtɕʰaːmɑɑʔ
เขาจากไปแล้ว	kʰɑː˥tɕaː˧kʰɑː˥lɑːw˥
เขาฉลาด	kʰɛːtɕʰlàːt
เขาฉลาดมาก	kʰɛːtɕʰlàːtmaːk
เขาชอบ	kʰɑː˨ʃɔː˧˥
เขาชื่อ	kʰɑː˥tɕʰɯ̄˧
เขาช่วยชีวิตฉันไว้	kʰɑːʔtɕʰɯ̂jtɕʰiːwittɕʰʰanwɑ̀j
เขาช่าง	kʰɑːʔʃɑ̀ːŋ
เขาดู	kʰɑːduː
เขาดูเหมือน	kʰɑːdûːmɯ̄an
เขาดูแลตัวเองได้	kʰawduːlatɯaʔŋdaj
เขาตาย	kʰɑːtɑːj˥
เขาตายยังไง	kʰɑːtɑ̀jjaŋ
เขาตายรึเปล่า	kʰɑːtɑ̀jlɯ̄ːa
เขาตายหรือยัง	kʰɑːtɑ̀jlɯ̄aŋ
เขาตายเมื่อไหร่	kʰɑːtɑːjʔmɛ̄ːʔ
เขาตายไปแล้ว	kʰɑːtʰɑːjpɑːjlɛ̀w
เขาตื่นแล้ว	kʰɑw˥tɯ̄n˩lɛw˥
เขาต่างหาก	kʰɑːtɑ̀ːŋhɑ̀ːk
เขาต้อง	kʰɑːtʰɤŋ˥
เขาต้องกลับมา	kʰɑːtʰɤŋklap̚maː
เขาต้องการ	kʰɑːtʰɤŋkɑːr
เขาต้องการคุณ	kʰɑːtʰɤŋkɑːrkʰʉn
เขาต้องการอะไร	kʰɑːtʰɤŋkɑːɑrʔaɑi
เขาต้องไป	kʰɑːtʰɤŋpaj
เขาทำ	kʰɑː˥tʰam˧
เขาทำงาน	kʰɛ̀ːtʰamŋɛ̀ː
เขาทำงานที่	kʰɑːtʰamŋæ̀tʰiː
เขาทำงานที่นี่	kʰɑːtʰamŋæ̀tʰīnī
เขาทำงานอะไร	kʰɑːtʰamŋɑːʔrai
เขาทำงานให้	kʰɑːtʰamŋæ̀ːʔ
เขาทำอะไร	kʰɑːtʰɑ̀ːmʔɑ̀ːrɑ̀ː
เขาทำอะไรนะ	kʰɑːtʰɑːmʔaːnɑː
เขาทำอะไรน่ะ	kʰɑːtʰɑ̀ːmʔáʔraj
เขาทำอะไรอยู่	kʰɑːtʰɑ̄ːmʔɑ̄ːjɯ̄ː
เขาทำอะไรเหรอ	kʰɑːtʰɑːmʔaːjɑːjɛ̀w
เขาทิ้งฉันไป	kʰɑːtʰiːŋtɕʰanpaj
เขานั่นล่ะ	kʰɑːnánlâ
เขานั่นเอง	kʰɑːnánʔɛŋ
เขาน่ะ	kʰɑ̀nâ
เขาน่าจะ	kʰɑ̀ːnɑ̂ːtɕʰá
เขาน่ารัก	kʰɑːnɑ̀ːrák
เขาน่ารักจริงๆ	kʰɑːnɑ̀ːrákʰtɕìŋ
เขาน่ารักดีนะ	kʰɑ̀ːnâːrákdīnâ
เขาพูด	kʰɤ˥pʰuːd˧
เขาพูดกันว่า	kʰɤʔpʰuːt̚kɑːnwɑː
เขาพูดถูก	kʰɛ̀ːpʰuːtʰɯ̀k
เขาพูดถูกแล้ว	kʰɤʔpʰuːttʰɯ̀klɛ̀w
เขาพูดว่า	kʰɛ̀pʰûːt̪wɑ̀
เขาพูดว่าอะไรนะ	kʰɔ̀ːpʰûːt̪wâːʔɑ̀jráːn
เขาพูดว่าไง	kʰɔ̀ːpʰuːt̪wâːnâːj
เขามอ	kʰaw˩˩˦mɔː˧
เขามันบ้า	kʰɑːmɑ̀ːbâː
เขามา	kʰɑː˥mɑː˥
เขามาจาก	kʰɑː˥mɑː˥tɕɑːk˥
เขามาจากไหน	kʰɑːmɑːtɕɑːkʰɑːn
เขามาถึงแล้ว	kʰɑːmɑːtʰɯŋlɛ̄ːw
เขามาที่นี่	kʰɑː˥mɑː˨tʰɪʔ˧nîi˥
เขามาหาฉัน	kʰɑːmɑːhɑːtɕɑ̀n
เขามาแล้ว	kʰɑː˥mɑː˧˥lɛ̄ːw˥
เขายังอยู่	kʰɛ̄ːjaŋjûː
เขายังอยู่ที่นี่	kʰɛ̄ːjaŋʔuːtʰiːnî
เขายังเด็ก	kʰɛːjaŋdɛ̀k
เขายังไม่พร้อม	kʰɛːjɑŋmɔɔm
เขารักคุณ	kʰɑːrákkʰʉ̂n
เขารู้	kʰɑːruː˥
เขารู้ดี	kʰɑːrɯːdiː
เขารู้แล้ว	kʰɑːrɯːlɛ̀w
เขารู้ได้ยังไง	kʰɑːrɔːdajŋaj
เขาล่ะ	kʰɑ̀lâ
เขาล้อเล่น	kʰɑːlɔːlɛ̀ːn
เขาว่า	kʰǎwǎː
เขาว่ากันว่า	kʰɑwɑːkɑnwɑː
เขาว่ายังไงบ้าง	kʰɑwɑjɑŋɑjbɑːŋ
เขาว่าไง	kʰɑwɑːŋ
เขาสารภาพ	kʰɑːsɑːrpʰâːp
เขาสูง	kʰɔ̀ːsɯ̂ŋ
เขาหนีไป	kʰɑ̀wniːpaj
เขาหน้าตาเป็นยังไง	kʰɑw˥nâː˩tʰaː˧bɛn˥yaŋ˧
เขาหมดสติ	kʰɑ̀ːmɔ̀ːtsì
เขาหมายความว่ายังไง	kʰɑw̄ːmʰajkʰwɑːjaj
เขาหมายถึง	kʰɑ̀ːmʰájtʰɯ̄̀
เขาหล่อ	kʰɑw˨lɔ˧
เขาหล่อมาก	kʰɑw˥lɔː˧mɑk˥
เขาหายไปไหน	kʰɑwʰaɪpɑɪn
เขาอยู่ข้างนอก	kʰǎwjɔ̄ːkʰâːŋnɔ̀k
เขาอยู่ข้างนอกนั่น	kʰǎwjɔ̄ːkʰaŋnɔ̂knaːn
เขาอยู่คนเดียว	kʰǎwjkɔ̄ndìaw
เขาอยู่ที่	kʰɑːjɯ̄ːtʰiː
เขาอยู่ที่นั่น	kʰǎwjûːtʰinân
เขาอยู่ที่นี่	kʰǎwjûːtʰinî
เขาอยู่ที่นี่แล้ว	kʰǎwjûːtʰīnîːlɛ̀w
เขาอยู่ที่ไหน	kʰǎwjûːtʰǐn
เขาอยู่นั่นไง	kʰǎwjuːnnaj
เขาอยู่นี่	kʰǎwjûːnî
เขาอยู่นี่เหรอ	kʰǎwjuːnîːwɛ̀
เขาอยู่นี่ไง	kʰǎwjuːnniːŋ
เขาอยู่ในนั้น	kʰǎwjûːnâːn
เขาอยู่ไหน	kʰǎwjûːn
เขาอยู่ไหนล่ะ	kʰǎwjûːnla
เขาอันตราย	kʰǎwʔʔantʰaraj
เขาอาจ	kʰɑː˥ʔaː˨
เขาอ้างว่า	kʰɑ̀ːʔâːŋwɑ̀ː
เขาเกลียดฉัน	kʰɔ̀ːkɛlìatɕǎn
เขาเข้าไปแล้ว	kʰɔːkʰɔ̂ːpajlɛ̂ː
เขาเคยเป็น	kʰɔːkʰɛːjpʰɛːn
เขาเจ็บ	kʰɔ̄ːtɕɛ̀p
เขาเชื่อว่า	kʰɔ̀ːtɕʰɯ̂wɑ̀
เขาเป็น	kʰɔ̄ːbɛ̄n
เขาเป็นคนดีจริงๆ	kʰɔ̄ːpʰɛːnkhɔ̄ːndiːtɕìŋ
เขาเป็นคนเดียว	kʰɔ̀ːpʰɛ̄ːnkhɔ̄n˥di̯a̯w
เขาเป็นคนเลว	kʰɔ̄ːpʰɛnkʰɔnleːw
เขาเป็นนักธุรกิจ	kʰɔ̀ːpʰɛːnák̚tʰurákiːt
เขาเป็นบ้า	kʰɔ̀ːpʰɛ̄ːnbaː
เขาเป็นผู้ชาย	kʰɔ̄ːbɛ̄ːpʰūːtɕʰāːi
เขาเป็นพ่อของฉัน	kʰɔ̄ːbɛ̄ːkʰɔ̄ːŋtɕʰān
เขาเป็นลูกของฉัน	kʰɔ̀ːbɛːnluːkkʰɔ̄ːŋtɕʰǎŋ
เขาเป็นหมอ	kʰɔ̄ːpʰɛ̄ːnmoː
เขาเป็นอย่างนั้น	kʰɔ̄ːbɛ̄ːnʔlaŋnān
เขาเป็นอย่างไรบ้าง	kʰɔ̄ːpʰɛ̄ːnʔaːŋraiʔ
เขาเป็นอะไรของเขา	kʰɔ̄ːpʰɛnʔaːkʰɔ̄ː
เขาเป็นอะไรมั้ย	kʰɔ̀ːpʰɛ̄ːnʔaːjʔ
เขาเป็นเกย์	kʰɔ̄ːpʰɛnkɛː
เขาเป็นเด็ก	kʰɔ̄ːpɛːndɛ̀k
เขาเป็นเด็กดี	kʰɔ̄ːpɛːndɛ̀kdiː
เขาเป็นเพื่อน	kʰɔ̄ːbɛ̄npʰɯ̄a̯n
เขาเป็นแค่เด็ก	kʰɔ̄ːpʰɛ̄ːkɛ̄ːdɛ̀k
เขาเป็นใคร	kʰɔ̄ːpʰɛ̄ːnʔkʰrāi
เขาเป็นไง	kʰɔ̀ːpʰɛ̄ːŋ
เขาเพียง	kʰɔ̄ːpīaŋ
เขาเมา	kʰǎwmaw
เขาเยี่ยมมาก	kʰɔ̄˥jɛ̂m˧mâk˥
เขาเรียก	kʰɔ̀ːrɪ̂ak
เขาเรียกกันว่า	kʰɔ̄ːrɪ̂akkạnwā
เขาเรียกตัวเองว่า	kʰɔ̄ːrɨ̄aktûa̯wâː
เขาเรียกมันว่า	kʰɔ̀ːrɪ̂akmǎnwɑ̀
เขาเรียกว่า	kʰɔ̀ːrɪ̂akwɑ̀ː
เขาเลย	kʰɔ̀ːlɛ̄ː
เขาเสียเลือดมาก	kʰɔ̄ːsɪ̂ːlɯ̄ːàk
เขาเห็น	kʰɔ̄ːhɛ̀n
เขาเห็นเรา	kʰɔ̄ːhɛ̄nrɛ̄ː
เขาเอง	kʰɔ̄ː˥əŋ˧
เขาแค่	kʰɔ̄ːkʰɛ̄ː
เขาแต่งงานแล้ว	kʰɔ̄ːtɛ̄ŋwaːnlɛ̄ːw
เขาโกรธ	kʰɔ̀ːkɔ̄ːt
เขาโกหกฉัน	kʰǎwkɔ̀ːhɔ̀kʈʰán
เขาโดด	kʰaw˩˩˦doːt̚˨˩
เขาโทรหาฉัน	kʰɔ̀ːtɔ̂ːhɑ̀n
เขาใจดี	kʰɔ̄ːjtɕajdiː
เขาใช้	kʰǎwtɕʰaj
เขาให้	kʰǎwhâj
เขาไง	kʰɔ̄ːj
เขาได้	kʰɔ̄ːdaj
เขาไปทางไหน	kʰɔ̀ːpajtaːŋhǎːn
เขาไปทำอะไร	kʰɔ̄ːpajtʰamʔaːrai
เขาไปที่ไหน	kʰɔ̄ːpajtʰajnà
เขาไปแล้วเหรอ	kʰɔ̄ːpajlɛ̄ːwɛ̄ː
เขาไปไหน	kʰɔ̄ːpajnaj
เขาไปไหนนะ	kʰɔ̄ːpajnà
เขาไปไหนแล้ว	kʰɔ̀ːpajnai̯lɛ̀w
