ԱԱ	ɑɑ́
նոթի	notʰí
նոխազ	noχɑ́z
նողկալ	noχkɑ́l
նողկալի	noχkɑlí
նոճ	notʃ
նոճի	notʃí
նոյեմբեր	nojembéɾ
նոյեմբերյան	nojembeɾjɑ́n
նոպա	nopɑ́
նոսր	nósəɾ
նոտար	notɑ́ɾ
նոր	noɾ
նորաբնակ	noɾɑbənɑ́k
նորածին	noɾɑtsín
նորահարուստ	noɾɑhɑɾúst
նորահարս	noɾɑhɑ́ɾs
նորաձևություն	noɾɑdzevutsʰjún
նորաոճ	noɾɑvótʃ
նորապսակ	noɾɑpəsɑ́k
նորարարություն	noɾɑɾɑɾutsʰjún
նորեկ	noɾék
նորընտիր	noɾəntíɾ
նորից	noɾítsʰ
նորհարս	noɾhɑ́ɾs
նորման	noɾmɑ́n
նորմանական	noɾmɑnɑkɑ́n
նորմանդացի	noɾmɑndɑtsʰí
նորմատիվ	noɾmɑtív
նորոգ	noɾókʰ
նորոգել	noɾokʰél
նորություն	noɾutsʰjún
նորություններ	noɾutsʰjunːéɾ
նորույթ	noɾújtʰ
նորվեգական	noɾveɡɑkɑ́n
նորվեգերեն	noɾveɡeɾén
նու	nu
նուդիզմ	nudízm
նուկլոն	nuklón
նույն	nujn
նույնականացման	nujnɑkɑnɑtsʰmɑ́n
նույնանալ	nujnɑnɑ́l
նույնիսկ	nújnisk
նույնպես	nújnpes
նույնքան	nujŋkʰɑ́n
նույնքան	nújŋkʰɑn
նունուֆար	nunufɑ́ɾ
նուշ	nuʃ
նուռ	nur
նուրբ	nuɾpʰ
նոքար	nokʰɑ́ɾ
նպաստ	nəpɑ́st
նպաստավոր	nəpɑstɑvóɾ
նպաստել	nəpɑstél
նպատակ	nəpɑtɑ́k
նպար	nəpɑ́ɾ
նպարավաճառ	nəpɑɾɑvɑtʃɑ́r
նռնակ	nərnɑ́k
նռնականետ	nərnɑkɑnét
նռնաքար	nərnɑkʰɑ́ɾ
նռնենի	nərnení
նստադուլ	nəstɑdúl
նստարան	nəstɑɾɑ́n
նստել	nəstél
նվագ	nəvɑ́kʰ
նվագ	nəvɑ́ɡ
նվագախումբ	nəvɑɡɑχúmb
նվագածու	nəvɑɡɑtsʰú
նվագել	nəvɑɡél
նվագերգություն	nəvɑɡeɾɡutsʰjún
նվազ	nəvɑ́z
նվալ	nəvɑ́l
նվաղել	nəvɑʁél
նվաճել	nəvɑtʃél
նվաճող	nəvɑtʃóʁ
նվաճում	nəvɑtʃúm
նվաստացնել	nəvɑstɑtsʰnél
նվարտան	nəvɑɾtɑ́n
նվեր	nəvéɾ
նվիրակ	nəviɾɑ́k
նվիրել	nəviɾél
նվիրում	nəviɾúm
նրա	nəɾɑ́
նրան	nəɾɑ́n
նրանից	nəɾɑnítsʰ
նրանից	nɾɑnítsʰ
նրանով	nəɾɑnóv
նրանով	nɾɑnóv
նրանում	nəɾɑnúm
նրանց	nəɾɑ́ntsʰ
նրանք	nəɾɑ́ŋkʰ
նրբաթիթեղ	nəɾpʰɑtʰitʰéʁ
նրբանցք	nəɾpʰɑ́ntsʰkʰ
նրբատախտակ	nəɾpʰɑtɑχtɑ́k
նրբերշիկ	nəɾpʰeɾʃík
նքողել	nəkʰoʁél
շ	ʃə
շա	ʃɑ
շաբաթ	ʃɑpʰɑ́t
շաբաթ	ʃɑpʰɑ́tʰ
շաբաթավերջ	ʃɑpʰɑtʰɑvéɾtʃʰ
շաբաթվա	ʃɑpʰɑtʰvɑ́
շաբաշ	ʃɑbɑ́ʃ
շագանակ	ʃɑɡɑnɑ́k
շագանակագեղձ	ʃɑɡɑnɑkɑɡéʁdz
շագանակագույն	ʃɑɡɑnɑkɑɡújn
շագանակենի	ʃɑɡɑnɑkení
շալ	ʃɑl
շալակ	ʃɑlɑ́k
շալվար	ʃɑlvɑ́ɾ
շախ	ʃɑχ
շախմատ	ʃɑχmɑ́t
շախմատի	ʃɑχmɑtí
շախմատիստ	ʃɑχmɑtíst
շախմատիստուհի	ʃɑχmɑtistuhí
շակալ	ʃɑkɑ́l
շահ	ʃɑh
շահաբաժին	ʃɑhɑbɑʒín
շահագործական	ʃɑhɑɡoɾtsɑkɑ́n
շահագործել	ʃɑhɑɡoɾtsél
շահագործում	ʃɑhɑɡoɾtsúm
շահախարդախ	ʃɑhɑχɑɾdɑ́χ
շահաստան	ʃɑhɑstɑ́n
շահավետ	ʃɑhɑvét
շահարկել	ʃɑhɑɾkél
շահել	ʃɑhél
շահեկան	ʃɑhekɑ́n
շահեն	ʃɑhén
շահնշահ	ʃɑhənʃɑ́h
շահույթ	ʃɑhújtʰ
շաղ	ʃɑʁ
շաղախ	ʃɑʁɑ́χ
շաղգամ	ʃɑχkɑ́m
շաղկապ	ʃɑχkɑ́p
շամամ	ʃɑmɑ́m
շամայի	ʃɑmɑjí
շամբ	ʃɑmb
շամբալա	ʃɑmbɑlɑ́
շամբուտ	ʃɑmbút
շամպայն	ʃɑmpɑ́jn
շամպույն	ʃɑmpújn
շամպուն	ʃɑmpún
շամփուր	ʃɑmpʰúɾ
շայբա	ʃɑjbɑ́
շայբա	ʃɑ́jbɑ
շանթ	ʃɑntʰ
շանթահար	ʃɑntʰɑhɑ́ɾ
շանթամբոխ	ʃɑntʰɑmbóχ
շանթարգել	ʃɑntʰɑɾkʰél
շանսոնյե	ʃɑnsonjé
շանտաժ	ʃɑntɑ́ʒ
շաշ	ʃɑʃ
շաշկի	ʃɑʃkí
շաուրմա	ʃɑuɾmɑ́
շաչել	ʃɑtʃʰél
շաչյուն	ʃɑtʃʰjún
շապիկ	ʃɑpík
շապկա	ʃɑpkɑ́
շառ	ʃɑr
շառաչ	ʃɑrɑ́tʃʰ
շառաչել	ʃɑrɑtʃʰél
շառաչյուն	ʃɑrɑtʃʰjún
շառավիղ	ʃɑrɑvíʁ
շառլատան	ʃɑrlɑtɑ́n
շառլատանություն	ʃɑrlɑtɑnutsʰjún
շավիղ	ʃɑvíʁ
շատ	ʃɑt
շատախոս	ʃɑtɑχós
շատակերիկ	ʃɑtɑkeɾík
շատանալ	ʃɑtɑnɑ́l
շատրվան	ʃɑtəɾvɑ́n
շար	ʃɑɾ
շարադրանք	ʃɑɾɑdɾɑ́ŋkʰ
շարադրություն	ʃɑɾɑdɾutsʰjún
շարական	ʃɑɾɑkɑ́n
շարահյուսել	ʃɑɾɑhjusél
շարահյուսություն	ʃɑɾɑhjusutsʰjún
շարել	ʃɑɾél
շարժ	ʃɑɾʒ
շարժական	ʃɑɾʒɑkɑ́n
շարժանկար	ʃɑɾʒɑnəkɑ́ɾ
շարժապատկեր	ʃɑɾʒɑpɑtkéɾ
շարժասանդուղք	ʃɑɾʒɑsɑndúχkʰ
շարժել	ʃɑɾʒél
շարժիչ	ʃɑɾʒítʃʰ
շարժում	ʃɑɾʒúm
շարժուն	ʃɑɾʒún
շարժվել	ʃɑɾʒvél
շարունակել	ʃɑɾnɑkél
շարունակել	ʃɑɾunɑkél
շարունակություն	ʃɑɾnɑkutsʰjún
շարունակություն	ʃɑɾunɑkutsʰjún
շարք	ʃɑɾkʰ
շարքային	ʃɑɾkʰɑjín
շափյուղա	ʃɑpʰjuʁɑ́
շաքար	ʃɑkʰɑ́ɾ
շաքարախտ	ʃɑkʰɑɾɑ́χt
շաքարավազ	ʃɑkʰɑɾɑvɑ́z
շաքարաքլոր	ʃɑkʰɑɾɑkʰlóɾ
շաքարեղեգ	ʃɑkʰɑɾeʁéɡ
շեկ	ʃek
շեկել	ʃekél
շեկել	ʃékel
շեղ	ʃeʁ
շեղանկյուն	ʃeʁɑŋkjún
շեղբ	ʃeʁb
շեղել	ʃeʁél
շեղջ	ʃeʁdʒ
շեմ	ʃem
շեմք	ʃemkʰ
շեյեն	ʃején
շեյթան	ʃejtʰɑ́n
շեյրել	ʃejəɾél
շեն	ʃen
շենլիկ	ʃenlík
շենլիք	ʃenlíkʰ
շենք	ʃeŋkʰ
շեշտ	ʃeʃt
շեշտել	ʃeʃtél
շեռ	ʃer
շերեփ	ʃeɾépʰ
շերեփուկ	ʃeɾepʰúk
շերտ	ʃeɾt
շեփոր	ʃepʰóɾ
շեփորահար	ʃepʰoɾɑhɑ́ɾ
շեք	ʃekʰ
շեֆ	ʃef
շթաքար	ʃətʰɑkʰɑ́ɾ
շիզիկ	ʃizík
շիզոֆրենիա	ʃizofɾenijɑ́
շիզոֆրենիկ	ʃizofɾeník
շիթ	ʃitʰ
շիլ	ʃil
շիլա	ʃilɑ́
շիկամուկ	ʃikɑmúk
շիկանալ	ʃikɑnɑ́l
շիկնել	ʃiknél
շիճուկ	ʃitʃúk
շիմպանզե	ʃimpɑnzé
շինական	ʃinɑkɑ́n
շինանյութ	ʃinɑnjútʰ
շինարար	ʃinɑɾɑ́ɾ
շինել	ʃinél
շինծու	ʃintsú
շինվածք	ʃinvɑ́tskʰ
շիշ	ʃiʃ
շիջել	ʃidʒél
շիջուցանել	ʃidʒutsʰɑnél
շիվ	ʃiv
շիվան	ʃivɑ́n
շիտակ	ʃitɑ́k
շիրիմ	ʃiɾím
շլագբաում	ʃlɑɡbɑ́um
շլանգ	ʃəlɑ́ŋɡ
շլդիկ	ʃəldík
շլինք	ʃəlíŋkʰ
շլոր	ʃəlóɾ
շղթա	ʃəχtʰɑ́
շղթայական	ʃəχtʰɑjɑkɑ́n
շյուղ	ʃjuʁ
շնագայլ	ʃənɑɡɑ́jl
շնաձուկ	ʃənɑdzúk
շնավարդ	ʃənɑvɑ́ɾtʰ
շնդեղ	ʃəndéʁ
շներ	ʃənéɾ
շնիկ	ʃəník
շնորհ	ʃənóɾ
շնորհաբաշխ	ʃənoɾɑbɑ́ʃχ
շնորհակալ	ʃənoɾɑkɑ́l
շնորհակալություն	ʃənoɾɑkɑlutsʰjún
շնորհավոր	ʃənoɾɑvóɾ
շնորհավորական	ʃnoɾɑvoɾɑkɑ́n
շնորհավորանք	ʃnoɾɑvoɾɑ́ŋkʰ
շնորհավորել	ʃnoɾɑvoɾél
շնորհավորություն	ʃnoɾɑvoɾutsʰjún
շնորհավորում	ʃnoɾɑvoɾúm
շնորհել	ʃənoɾél
շնորհիվ	ʃənoɾív
շնորհք	ʃənóɾkʰ
շնություն	ʃənutsʰjún
շնչառություն	ʃəntʃʰɑrutsʰjún
շնչավոր	ʃəntʃʰɑvóɾ
շնչարգելություն	ʃəntʃʰɑɾkʰelutsʰjún
շնչափող	ʃəntʃʰɑpʰóʁ
շնչել	ʃəntʃʰél
շշմել	ʃəʃmél
շշնջալ	ʃəʃəndʒɑ́l
շշուկ	ʃəʃúk
շոգ	ʃokʰ
շոգեկառք	ʃokʰekɑ́rkʰ
շոգենավ	ʃokʰenɑ́v
շոգեշարժ	ʃokʰeʃɑ́ɾʒ
շոգեքարշ	ʃokʰekʰɑ́ɾʃ
շոգի	ʃokʰí
շոլտի	ʃoltí
շոկոլադ	ʃokolɑ́d
շող	ʃoʁ
շողալ	ʃoʁɑ́l
շողիք	ʃoʁíkʰ
շողշողալ	ʃoχʃoʁɑ́l
շողոտ	ʃoʁót
շողուկ	ʃoʁúk
շողպար	ʃoχpɑ́ɾ
շոյված	ʃojvɑ́ts
շոյվել	ʃojvél
շոնա	ʃónɑ
շոշ	ʃoʃ
շոշափել	ʃoʃɑpʰél
շոսսե	ʃosːé
շոտլանդերեն	ʃotlɑndeɾén
շոր	ʃoɾ
շորթել	ʃoɾtʰél
շորթում	ʃoɾtʰúm
շուլուխ	ʃulúχ
շուկա	ʃukɑ́
շուն	ʃun
շունիկ	ʃuník
շունչ	ʃuntʃʰ
շուշա	ʃuʃɑ́
շուշան	ʃuʃɑ́n
շուշմա	ʃuʃmɑ́
շուշուտ	ʃuʃút
շուշտ	ʃuʃt
շուստրի	ʃustɾí
շուտ	ʃut
շուտափույթ	ʃutɑpʰújtʰ
շուտով	ʃutóv
շուրթ	ʃuɾtʰ
շուրջ	ʃuɾdʒ
շուրջը	ʃúɾdʒə
շուրջպար	ʃuɾdʒpɑ́ɾ
շուք	ʃukʰ
շոքոլա	ʃokʰolɑ́
շոֆեռ	ʃofér
շոֆեր	ʃoféɾ
շչակ	ʃətʃʰɑ́k
շպար	ʃpɑɾ
շպարանյութ	ʃpɑɾɑnjútʰ
շպիլկա	ʃpílkɑ
շպռտել	ʃəpərtél
շպրից	ʃpɾitsʰ
շպրտել	ʃəpəɾtél
շռայլ	ʃərɑ́jl
շռել	ʃərél
շվեդ	ʃəvéd
շվեդական	ʃvedɑkɑ́n
շվեդերեն	ʃvedeɾén
շվեյցար	ʃvejtsʰɑ́ɾ
շվի	ʃəví
շտաբ	ʃtɑb
շտանգա	ʃtɑŋɡɑ́
շտանգա	ʃtɑ́ŋɡɑ
շտանգիստ	ʃtɑŋɡíst
շտապ	ʃtɑp
շտապել	ʃtɑpél
շտապօգնություն	ʃtɑpokʰnutsʰjún
շտեմարան	ʃtemɑɾɑ́n
շտկել	ʃətkél
շրթնաետնալեզվային	ʃəɾtʰnɑjetnɑlezvɑjín
շրթնային	ʃəɾtʰnɑjín
շրթներկ	ʃəɾtʰnéɾk
շրթունք	ʃəɾtʰúŋkʰ
շրջազգեստ	ʃəɾdʒɑzɡést
շրջակայք	ʃəɾdʒɑkɑ́jkʰ
շրջահայաց	ʃəɾdʒɑhɑjɑ́tsʰ
շրջան	ʃəɾdʒɑ́n
շրջանագիծ	ʃəɾdʒɑnɑɡíts
շրջանակ	ʃəɾdʒɑnɑ́k
շրջանակում	ʃəɾdʒɑnɑkúm
շրջանառություն	ʃəɾdʒɑnɑrutsʰjún
շրջանավարտ	ʃəɾdʒɑnɑvɑ́ɾt
շրջարկ	ʃəɾdʒɑ́ɾk
շրջափակել	ʃəɾdʒɑpʰɑkél
շրջափակում	ʃəɾdʒɑpʰɑkúm
շրջել	ʃəɾdʒél
շրջիկ	ʃəɾdʒík
շրջում	ʃəɾdʒúm
շրջվել	ʃəɾdʒvél
շրվանդ	ʃəɾvɑ́nd
շփագետ	ʃəpʰɑɡét
շփագիտական	ʃəpʰɑɡitɑkɑ́n
շփագիտություն	ʃəpʰɑɡitutsʰjún
շփական	ʃəpʰɑkɑ́n
շփել	ʃəpʰél
շփշփել	ʃəpʰʃəpʰél
շփոթ	ʃəpʰótʰ
շփոթել	ʃəpʰotʰél
շփոթեցնել	ʃəpʰotʰetsʰnél
շփոթմունք	ʃəpʰotʰmúŋkʰ
շփոթություն	ʃəpʰotʰutsʰjún
շփոթվածություն	ʃəpʰotʰvɑtsutsʰjún
շփոթվել	ʃəpʰotʰvél
շփում	ʃəpʰúm
շփվել	ʃəpʰvél
շքախումբ	ʃəkʰɑχúmb
շքահանդես	ʃəkʰɑhɑndés
շքամուտք	ʃəkʰɑmútkʰ
շքանշան	ʃəkʰɑnəʃɑ́n
շքասրահ	ʃəkʰɑsəɾɑ́h
շքեղ	ʃəkʰéʁ
շքեղություն	ʃəkʰeʁutsʰjún
շքերթ	ʃəkʰéɾtʰ
ո	o
ո	vo
ո̈ւ	ʏ
ոգել	vokʰél
ոգելից	vokʰelítsʰ
ոգեշնչել	vokʰeʃəntʃʰél
ոգեշնչում	vokʰeʃəntʃʰúm
ոգի	vokʰí
ոգորել	voɡoɾél
ոգևորել	vokʰevoɾél
ոգևորություն	vokʰevoɾutsʰjún
ոգևորվել	vokʰevoɾvél
ոզնախոտ	voznɑχót
ոզնի	vozní
ոլոռ	volór
ոլոր	volóɾ
ոլորագիծ	voloɾɑɡíts
ոլորակ	voloɾɑ́k
ոլորակել	voloɾɑkél
ոլորան	voloɾɑ́n
ոլորապտույտ	voloɾɑpətújt
ոլորել	voloɾél
ոլործուն	voloɾtsún
ոլորուն	voloɾún
ոլորտ	volóɾt
ոլորք	volóɾkʰ
ոլոք	volókʰ
ոխ	voχ
ոխանալ	voχɑnɑ́l
ոխերիմ	voχeɾím
ոհ	voh
ոհմակ	vohmɑ́k
ող	voʁ
ողբ	voχp
ողբալ	voχpɑ́l
ողբերգական	voχpeɾɡɑkɑ́n
ողբերգակատակերգական	voχpeɾɡɑkɑtɑkeɾɡɑkɑ́n
ողբերգակատակերգություն	voχpeɾɡɑkɑtɑkeɾɡutsʰjún
ողբերգություն	voχpeɾɡutsʰjún
ողկույզ	voχkújz
ողնաշար	voʁnɑʃɑ́ɾ
ողնաշարավոր	voʁnɑʃɑɾɑvóɾ
ողնուղեղ	voʁnuʁéʁ
ողողել	voʁoʁél
ողողվել	voʁoʁvél
ողորկ	voʁóɾk
ողորկություն	voʁoɾkutsʰjún
ողորմածիկ	voʁoɾmɑtsík
ողորմել	voʁoɾmél
ողորմություն	voʁoɾmutsʰjún
ողջ	voχtʃʰ
ողջագուրել	voχtʃʰɑɡuɾél
ողջախոհ	voχtʃʰɑχóh
ողջախոհություն	voχtʃʰɑχohutsʰjún
ողջակիզում	voχtʃʰɑkizúm
ողջամիտ	voχtʃʰɑmít
ողջույն	voχtʃʰújn
ողջունել	voχtʃʰunél
ոճ	votʃ
ոմանք	vomɑ́ŋkʰ
ոմն	vómən
ոյժ	uʒ
ոնց	vontsʰ
ոչ	votʃʰ
ոչինչ	votʃʰíntʃʰ
ոչխար	votʃʰχɑ́ɾ
ոչմիթիզական	votʃʰmitʰizɑkɑ́n
ոչնչանալ	votʃʰəntʃʰɑnɑ́l
ոչնչացման	votʃʰəntʃʰɑtsʰmɑ́n
ոչնչացնել	votʃʰəntʃʰɑtsʰnél
ոչնչացում	votʃʰəntʃʰɑtsʰúm
ոջիլ	votʃʰíl
ոռ	vor
ոռնալ	vornɑ́l
ոռոգել	vorokʰél
ոսի	vosí
ոսկե	voské
ոսկեդրամ	voskedɾɑ́m
ոսկեզօծ	voskezóts
ոսկեծաղիկ	vosketsɑʁík
ոսկեհուռ	voskehúr
ոսկեղեն	voskeʁén
ոսկեպատ	voskepɑ́t
ոսկերիչ	voskeɾítʃʰ
ոսկերչություն	voskeɾtʃʰutsʰjún
ոսկեքար	voskekʰɑ́ɾ
ոսկի	voskí
ոսկյա	voskjɑ́
ոսկոր	voskóɾ
ոսկու	voskú
ոսկր	vóskəɾ
ոսկրաբան	voskɾɑbɑ́n
ոսկրածուծ	voskɾɑtsúts
ոսոխ	vosóχ
ոսոխություն	vosoχutsʰjún
ոսպ	vosp
ոսպապուր	vospɑpúɾ
ոսպնյակ	vospənjɑ́k
ոստ	vost
ոստայն	vostɑ́jn
ոստայնանկ	vostɑjnɑ́ŋk
ոստան	vostɑ́n
ոստանիկ	vostɑník
ոստիկան	vostikɑ́n
ոստիկանապետ	vostikɑnɑpét
ոստիկանություն	vostikɑnutsʰjún
ոստնել	vostnél
ոստրե	vostɾé
ով	ov
ովասիս	ovɑsís
ովքեր	ofkʰéɾ
ոտ	vot
ոտանավոր	votɑnɑvóɾ
ոտնակ	votnɑ́k
ոտնակապ	votnɑkɑ́p
ոտնաձայն	votnɑdzɑ́jn
ոտնաման	votnɑmɑ́n
ոտնամատ	votnɑmɑ́t
ոտնամուտ	votnɑmút
ոտնաշավիղ	votnɑʃɑvíʁ
ոտնաշրջիկ	votnɑʃəɾdʒík
ոտնաչափ	votnɑtʃʰɑ́pʰ
ոտնապինդ	votnɑpínd
ոտնապտույտ	votnɑpətújt
ոտնառում	votnɑrúm
ոտնացուպ	votnɑtsʰúp
ոտք	votkʰ
որ	voɾ
որակ	voɾɑ́k
որակական	voɾɑkɑkɑ́n
որակյալ	voɾɑkjɑ́l
որբ	voɾpʰ
որբահավաք	voɾpʰɑhɑvɑ́kʰ
որբանալ	voɾpʰɑnɑ́l
որբանոց	voɾpʰɑnótsʰ
որբություն	voɾpʰutsʰjún
որդ	voɾtʰ
որդեգրել	voɾtʰeɡəɾél
որդեգրություն	voɾtʰeɡəɾutsʰjún
որդեգրում	voɾtʰeɡəɾúm
որդեսեր	voɾtʰeséɾ
որդի	voɾtʰí
որդյակ	voɾtʰjɑ́k
որթ	voɾtʰ
որի	voɾí
ործկալ	voɾtskɑ́l
որկոր	voɾkóɾ
որկրամոլ	voɾkɾɑmól
որկրամոլություն	voɾkɾɑmolutsʰjún
որձ	voɾtsʰ
որձակ	voɾtsʰɑ́k
որձաքար	voɾtsʰɑkʰɑ́ɾ
որմ	voɾm
որմզդեղն	voɾməzdéʁən
որմնադիր	voɾmnɑdíɾ
որմնախորշ	voɾmnɑχóɾʃ
որմնանկար	voɾmnɑnəkɑ́ɾ
որյար	voɾjɑ́ɾ
որոգայթ	voɾoɡɑ́jtʰ
որոճ	voɾótʃ
որոճալ	voɾotʃɑ́l
որոճել	voɾotʃél
որոմ	voɾóm
որոնել	voɾonél
որոնում	voɾonúm
որոնք	voɾóŋkʰ
որոշ	voɾóʃ
որոշակի	voɾoʃɑkí
որոշել	voɾoʃél
որոշում	voɾoʃúm
որոջ	voɾódʒ
որովայն	voɾovɑ́jn
որովհետև	voɾofhetév
որովհետև	voɾovetév
որոտ	voɾót
որոր	voɾóɾ
որչափ	voɾtʃʰɑ́pʰ
որպես	voɾpés
որպեսզի	voɾpészi
որպիսի	voɾpisí
որջ	voɾtʃʰ
որս	voɾs
որսագող	voɾsɑɡóʁ
որսագողություն	voɾsɑɡoʁutsʰjún
որսալ	voɾsɑ́l
որսկան	voɾskɑ́n
որսորդ	voɾsóɾtʰ
որտեղ	voɾtéʁ
որտև	voɾtév
որքան	voɾkʰɑ́n
որքին	voɾkʰín
որևէ	vóɾeve
որևիցե	vóɾevitsʰe
ու	u
ուդ	ud
ուդմուրտ	udmúɾt
ուդոն	udón
ուելսերեն	uelseɾén
ուզբեկ	uzbék
ուզբեկերեն	uzbekeɾén
ուզել	uzél
ուզենալ	uzenɑ́l
ութ	utʰ
ութանասուն	utʰɑnɑsún
ութեակ	utsʰjɑ́k
ութերորդ	útʰeɾoɾtʰ
ությակ	utsʰjɑ́k
ութնեակ	utʰnjɑ́k
ութնյակ	utʰnjɑ́k
ութոտնուկ	utʰotnúk
ութսուն	utʰsún
ութսուն	utsʰún
ուժ	uʒ
ուժային	uʒɑjín
ուժգին	uʒɡín
ուժեղ	uʒéʁ
ուժեղանալ	uʒeʁɑnɑ́l
ուժեր	uʒéɾ
ուլ	ul
ուլենի	ulení
ուլից	ulítsʰ
ուլունք	ulúŋkʰ
ուխտ	uχt
ուխտագնաց	uχtɑɡənɑ́tsʰ
ուխտագնացություն	uχtɑɡənɑtsʰutsʰjún
ուկրաինական	ukɾɑjinɑkɑ́n
ուկրաինացի	ukɾɑjinɑtsʰí
ուկրաիներեն	ukɾɑjineɾén
ուղարկել	uʁɑɾkél
ուղեբեռ	uʁebér
ուղեծիր	uʁetsíɾ
ուղեկից	uʁekítsʰ
ուղեկցել	uʁektsʰél
ուղեկցորդ	uʁektsʰóɾtʰ
ուղեկցորդուհի	uʁektsʰoɾtʰuhí
ուղեկցվել	uʁektsʰvél
ուղեղ	uʁéʁ
ուղեղաբուն	uʁeʁɑbún
ուղեղային	uʁeʁɑjín
ուղեղիկ	uʁeʁík
ուղեղների	uʁeʁneɾí
ուղեպարկ	uʁepɑ́ɾk
ուղերձ	uʁéɾdz
ուղեփակոց	uʁepʰɑkótsʰ
ուղի	uʁí
ուղիղ	uʁíʁ
ուղղագրություն	uʁːɑɡɾutsʰjún
ուղղաթիռ	uʁːɑtʰír
ուղղախոսություն	uʁːɑχosutsʰjún
ուղղական	uʁːɑkɑ́n
ուղղակի	uʁːɑkí
ուղղահայաց	uʁːɑhɑjɑ́tsʰ
ուղղանկյուն	uʁːɑŋkjún
ուղղարկել	uʁːɑɾkél
ուղղափառ	uʁːɑpʰɑ́r
ուղղափառություն	uʁːɑpʰɑrutsʰjún
ուղղել	uʁːél
ուղղություն	uʁːutsʰjún
ուղղում	uʁːúm
ուղտ	uχt
ուղտիկ	uχtík
ուղևոր	uʁevóɾ
ուղևորություն	uʁevoɾutsʰjún
ում	um
ումբրերեն	umbɾeɾén
ումպ	ump
ույծք	ujtskʰ
ույղուր	ujʁúɾ
ույղուրերեն	ujʁuɾeɾén
ունաբ	unɑ́b
ունակ	unɑ́k
ունակություն	unɑkutsʰjún
ունայն	unɑ́jn
ունայնություն	unɑjnutsʰjún
ունդ	und
ունեզրկում	unezəɾkúm
ունեի	unejí
ունեին	unejín
ունեինք	unejíŋkʰ
ունեիր	unejíɾ
ունեիք	unejíkʰ
ունեմ	uném
ունեն	unén
ունենալ	unenɑ́l
ունենք	unéŋkʰ
ունես	unés
ուներ	unéɾ
ունեք	unékʰ
ունի	uní
ունիկալ	unikɑ́l
ունիվերմագ	univeɾmɑ́ɡ
ունկ	uŋk
ունկնդիր	uŋkəndíɾ
ունկնդրել	uŋkəndɾél
ունչ	untʃʰ
ունչատ	untʃʰɑ́t
ունք	uŋkʰ
ուշ	uʃ
ուշադիր	uʃɑdíɾ
ուշադրություն	uʃɑdɾutsʰjún
ուշանալ	uʃɑnɑ́l
ուշաստիկ	uʃɑstík
ուշիմ	uʃím
ուշունց	uʃúntsʰ
ուշք	uʃkʰ
ուռ	ur
ուռել	urél
ուռենի	urení
ուռթանալ	urtʰɑnɑ́l
ուռթել	urtʰél
ուռի	urí
ուռույց	urújtsʰ
ուռույցք	urújtsʰkʰ
ուռուց	urútsʰ
ուռուցք	urútsʰkʰ
ուռուցքաբան	urutsʰkʰɑbɑ́n
ուռուցքաբանական	urutsʰkʰɑbɑnɑkɑ́n
ուռուցքաբանություն	urutsʰkʰɑbɑnutsʰjún
ուռչել	urtʃʰél
ուս	us
ուսադիր	usɑdíɾ
ուսանել	usɑnél
ուսանող	usɑnóʁ
ուսապարկ	usɑpɑ́ɾk
ուսնոց	usnótsʰ
ուսողություն	usoʁutsʰjún
ուսում	usúm
ուսումնասիրել	usumnɑsiɾél
ուսումնասիրություն	usumnɑsiɾutsʰjún
ուսուցանել	usutsʰɑnél
ուսուցիչ	usutsʰítʃʰ
ուսուցչուհի	usutsʰtʃʰuhí
ուստի	ustí
ուստիև	ustijév
ուստր	ústəɾ
ուտել	utél
ուտելիք	utelíkʰ
ուտեստ	utést
ուտի	utí
ուտիերեն	utijeɾén
ուտիճ	utítʃ
ուր	uɾ
ուրագ	uɾɑ́kʰ
ուրախ	uɾɑ́χ
ուրախակից	uɾɑχɑkítsʰ
ուրախանալ	uɾɑχɑnɑ́l
ուրախավետ	uɾɑχɑvét
ուրախացնել	uɾɑχɑtsʰnél
ուրախություն	uɾɑχutsʰjún
ուրան	uɾɑ́n
ուրանալ	uɾɑnɑ́l
ուրարտական	uɾɑɾtɑkɑ́n
ուրարտացի	uɾɑɾtɑtsʰí
ուրարտերեն	uɾɑɾteɾén
ուրբաթ	uɾpʰɑ́tʰ
ուրդու	uɾdú
ուրեմն	uɾémən
ուրիշ	uɾíʃ
ուրու	uɾú
ուրուկ	uɾúk
ուրուր	uɾúɾ
ուրվական	uɾvɑkɑ́n
ուրց	uɾtsʰ
ոք	vokʰ
չ	tʃʰ
չա	tʃʰɑ
չագուճ	tʃʰɑɡútʃ
չագուչ	tʃʰɑɡútʃʰ
չաթլախ	tʃʰɑtʰlɑ́χ
չաթլաղ	tʃʰɑtʰlɑ́ʁ
չալաղաջ	tʃʰɑlɑʁɑ́dʒ
չախմախ	tʃʰɑχmɑ́χ
չախու	tʃʰɑχú
չակերտ	tʃʰɑkéɾt
չաղ	tʃʰɑʁ
չաղանալ	tʃʰɑʁɑnɑ́l
չաղո	tʃʰɑʁó
չաղություն	tʃʰɑʁutsʰjún
չամադան	tʃʰɑmɑdɑ́n
չաման	tʃʰɑmɑ́n
չամիչ	tʃʰɑmítʃʰ
չայ	tʃʰɑj
չայնիկ	tʃʰɑjník
չանա	tʃʰɑnɑ́
չանգալ	tʃʰɑŋɡɑ́l
չանգյալ	tʃʰɑŋɡjɑ́l
չանչ	tʃʰɑntʃʰ
