অ	a
মাছি	masiˑ
মাছি	matʃʰiˑ
মাজা	madʑaˑ
মাজা	madʒaˑ
মাজার	madʑaɹ
মাজার	madʒaɾ
মাঝ	madʑ
মাঝ	madʒ
মাঝে	madʑʱeˑ
মাঝে	madʒʱeˑ
মাটি	maʈ̟i
মাঠ	maʈ̟ʰ
মাড়	maɽ
মাড়ি	maɽi
মাত	mat̪
মাতা	mata
মাতা	mat̪aˑ
মাতাল	matal
মাতুল	matul
মাতৃ	mät̪ːɾiˑ
মাতৃভাষা	mät̪ːɾibʱäs̠äˑ
মাত্র	mat̪ːɹoˑ
মাত্র	mat̪ːɾoˑ
মাদল	mad̪ɔl
মাধ্যম	mɑd̪ʱoːm
মাধ্যমে	mad̪ʱːɔmeˑ
মানবজাতি	manobdʑat̪iˑ
মানবজাতি	manobdʒat̪iˑ
মানবিক	manobik
মানা	manaˑ
মানানসই	mananʃoi
মানানো	mananˈo
মানুষ	manuʃ
মানুষ।	manuʃ
মানে	maneˑ
মাপা	mapa
মাফ	maf
মাফ	maːf
মামড়ি	mamɹiˑ
মামড়ি	mamɽiˑ
মামড়ি	mamɾiˑ
মামলা	mamlaˑ
মামলাবাজ	mamlaβ̞ajɣ̞
মামলাবাজি	mamlabazi
মামা	mama
মামীমা	mɑmɪmɑ
মামুলী	mamuliˑ
মায়া	mae̯aˑ
মারুফ	maɾuf
মার্কসবাদ	maɹksbad̪
মার্কসবাদ	maɹkʃbad̪
মার্কসবাদ	maɾksbad̪
মার্কসবাদ	maɾkʃbad̪
মার্কা	marka
মার্কা	maɹkaˑ
মার্কা	maɾkaˑ
মার্কিন	maɹkin
মার্কিন	maɾkin
মার্চ	maɹtɕ
মার্চ	maɾtʃ
মাল	mal
মাল	maːl
মালদহ	malˈdɔ
মালদা	mal̪d̪a
মালদা	mal̪d̪aˑ
মালদ্বীপ	mal̪d̪ip
মালা	mala
মালাউন	malau̯n
মালিক	malik
মালিকানা	malikanaˑ
মাশাআল্লাহ	maʃalːaˑ
মাস	maʃ
মাস	maːʃ
মাস	mˈaʃ
মাসকালাই	maskalai̯
মাসি	maʃiˑ
মাসুদ	masud̪
মাস্টার	mastaɹ
মাস্টার	masʈaɾ
মাস্টার	maʂʈaɾ
মাস্টারমশাই	mastaɹɔmʃai̯
মাস্টারমশাই	masʈaɾɔmʃai̯
মাস্টারমশাই	maʂʈaɾɔmʃai̯
মাহতাব	maɦt̪ab
মাহদি	maɦad̪iˑ
মাহদি	maɦd̪iˑ
মাহদি	meɦd̪iˑ
মাহদি	meɦed̪iˑ
মাহফিল	maɦfil
মাহফুজ	maɦfuz
মাহমূদ	maɦmud̪
মাহির	maɦiɹ
মাহির	maɦiɾ
মাহীন	maɦin
মাহুত	maɦut̪
মিউনিখ	miun̪ikʰ
মিছিল	mitɕʰil
মিছিল	mitʃʰil
মিজান	midʑan
মিজান	midʒan
মিঞা	mi̯aˑ
মিঞা	mi̯ãˑ
মিটা	mitaˑ
মিটা	miʈaˑ
মিঠা	mitʰaˑ
মিঠা	miʈʰaˑ
মিতা	mit̪äˑ
মিত্র	mit̪ːɹoˑ
মিত্র	mit̪ːɾoˑ
মিথেন	mit̪ʰen
মিথ্যুক	mit̪ʰːuk
মিনার	minaɹ
মিনার	minaɾ
মিনিট	minit
মিনিট	miniʈ
মিয়ানমার	mijanmal
মিল	mˈil
মিলিয়ন	milˈion
মিশর	miʃoɹ
মিশর	miʃɔɹ
মিশর	miʃɔɾ
মিশরীয়	miʃɔɾioˑ
মিষ্টি	mistiˑ
মিষ্টি	miʂʈiˑ
মিষ্টি	miʃtiˑ
মিসকিন	miskin
মিস্ত্রী	mist̪ːɹiˑ
মিস্ত্রী	mist̪ːɾiˑ
মিয়ানমারের	mianmaɾen
মীর	miɹ
মীর	miɾ
মীর	miːɾ
মীরা	miɹaˑ
মীরা	miɾaˑ
মুকেরি	mukeɾiˑ
মুকেরি	mukɛɾiˑ
মুক্ত	mukt̪oˑ
মুক্তা	mukt̪aˑ
মুক্তি	mukt̪iˑ
মুক্তিযুদ্ধ	mukt̪idʑud̪ʱːoˑ
মুক্তিযুদ্ধ	mukt̪idʒud̪ʱːoˑ
মুক্তো	mukt̪oˑ
মুখপাত্র	mukʰopat̪ːɹoˑ
মুখপাত্র	mukʰopat̪ːɾoˑ
মুখপাত্র	mukʰopät̪ːɾo
মুখর	mukʰɔɹ
মুখর	mukʰɔɾ
মুখস্থ	mukost̪ʰoˑ
মুখস্থ	mukʰost̪oˑ
মুখস্থ	mukʰost̪ʰoˑ
মুখার্জি	mukʰaɹdʑiˑ
মুখার্জি	mukʰaɾdʒiˑ
মুখুজ্জে	mukʰudʑːeˑ
মুখুজ্জে	mukʰudʒːeˑ
মুখোপাধ্যায়	mukʰopad̪ʱːae̯
মুখোশ	mukʰoʃ
মুঘল	mugʱol
মুচি	mukʃi
মুচি	mutɕiˑ
মুচি	mutʃiˑ
মুজিব	mudʑib
মুজিব	mudʒib
মুড়ি	muɹiˑ
মুড়ি	muɽiˑ
মুড়ি	muɾiˑ
মুত	muːt̪
মুতা	mut̪äˑ
মুতাজ	mut̪adʑ
মুতাজ	mut̪adʒ
মুদি	mud̪iˑ
মুন্ডা	mundaˑ
মুন্ডা	muɳɖaˑ
মুন্সীগঞ্জ	munʃigɔndʒ
মুবাশশির	mubaʃːiɹ
মুবাশশির	mubaʃːiɾ
মুভি	mubʱiˑ
মুভি	muviˑ
মুম্বই	mumboi̯
মুরগি	muɹgiˑ
মুরগি	muɾgiˑ
মুরগী	muɹgiˑ
মুরগী	muɾgiˑ
মুরুব্বি	muɹubːiˑ
মুরুব্বি	muɾubːiˑ
মুর্শিদ	muɹʃid̪
মুর্শিদ	muɾʃid̪
মুর্শিদাবাদ	muɹʃid̪abad̪
মুর্শিদাবাদ	muɾʃid̪abad̪
মুশকিল	muʃkil
মুষল	muʃol
মুষলধার	muʃol̪d̪ʱaɹ
মুষলধার	muʃol̪d̪ʱaɾ
মুসলমান	musolman
মুসলিম	muslim
মুসল্লি	musolːiˑ
মুসা	musa
মুসাফির	musafiɹ
মুসাফির	musafiɾ
মুসিবত	musibɔt̪
মুহাম্মদ	muɦamːɔd̪
মুহূর্তগুলো	muˈɦurt̪oˈgulo
মূঢ়	muɹoˑ
মূঢ়	muɽoˑ
মূঢ়	muɽʱoˑ
মূঢ়	muɾɦoˑ
মূত্র	mut̪ːɾɔ̝ˑ
মূত্রনালি	mut̪ːɾɔ̝näliˑ
মূর্খ	murkʰo
মূর্ধন্য	muɹd̪ʱɔnːoˑ
মূর্ধন্য	muɾd̪ʱɔnːoˑ
মূল	mul
মূল	muːl
মূল	mˈʊl
মূল্য	mulːɔ̝
মৃত	mɹit̪oˑ
মৃত	mɾit̪oˑ
মৃত্যু	mɹit̪ːuˑ
মৃত্যু	mɾit̪ːuˑ
মৃত্যুঞ্জয়	mɹit̪ːundʑɔe̯
মৃত্যুঞ্জয়	mɾit̪ːundʒɔe̯
মৃদু	mɹid̪uˑ
মৃদু	mɾid̪uˑ
মে	meː
মে	meˑ
মেকুর	mɛkuˑɾ
মেঘ	meg
মেঘ	mɛg
মেঘনা	megʱɔn̪a
মেঘনা	mjɛgna
মেঘালয়	megʱalɔe̯
মেচ	metɕ
মেচ	metʃ
মেজ	medʑoˑ
মেজ	medʒoˑ
মেজ	mez
মেজ	meːz
মেজদা	mez̪̪d̪aˑ
মেজবান	medʑban
মেজবান	medʒban
মেজবান	mezban
মেজাজ	medʑadʑ
মেজাজ	medʒadʒ
মেঝে	medʒʱe
মেনে	ene
মেম	mem
মেম	meːm
মেম	mæm
মেম	mæːm
মেম	mɛm
মেম	mɛːm
মেয়াদ	mead̪
মেয়ে	meː
মেয়ে	meˑ
মেয়েমানুষ	mee̯emanuʃ
মেরা	meɹaˑ
মেরা	meɾaˑ
মেরামত	meɹamɔt̪
মেরামত	meɾamɔt̪
মেরু	meɹuˑ
মেরু	meɾuˑ
মেলানেশিয়া	melaneʃi̯aˑ
মেলামেশা	mælameʃaˑ
মেলামেশা	mɛlameʃaˑ
মেশা	mesa
মেষ	meʃ
মেষ	meːʃ
মেষশাবক	meʃːabɔk
মেস	meːs̠
মেহজাবিন	maɦdʑabin
মেহজাবিন	maɦdʒabin
মেহজাবিন	maɦzabin
মেহজাবিন	meɦdʑabin
মেহজাবিন	meɦdʒabin
মেহজাবিন	meɦzabin
মেহমান	mæɦman
মেহমান	mɛɦman
মেহমানী	mæɦmaniˑ
মেহমানী	mɛɦmaniˑ
মেহেরবানি	meɦeɹbaniˑ
মেহেরবানি	meɦeɾbaniˑ
মেহেরুন্নেসা	meɦeɹunːesaˑ
মেহেরুন্নেসা	meɦeɾunːesaˑ
মেহেরুন্নেসা	meɦɹunːesaˑ
মেহেরুন্নেসা	meɦɾunːesaˑ
মোংলা	monla
মোগল	mogol
মোজা	modʑaˑ
মোজা	modʒa
মোজা	modʒaˑ
মোজা	mod̪zaˑ
মোজা	mozaˑ
মোজেজা	modʑezaˑ
মোজেজা	modʒezaˑ
মোড়	moɹ
মোড়	moɽ
মোড়	moɾ
মোড়ল	moɹol
মোড়ল	moɽol
মোড়ল	moɾol
মোতা	mot̪äˑ
মোতি	mot̪iˑ
মোনাজাত	monadʑat̪
মোনাজাত	monadʒat̪
মোবাইল	mobai̯l
মোম	mom
মোর	mˈɔɹ
মোরগ	moɹog
মোরগ	moɾog
মোরব্বা	moɹɔbːaˑ
মোরব্বা	moɾɔbːaˑ
মোরা	mula
মোলাকাত	molakat̪
মোলায়েম	moläeˑm
মোল্লা	molːaˑ
মোল্লা	mulːaˑ
মোহর	moɦɔɹ
মোহর	moɦɔɾ
মৌ	mou̯
মৌঁসুমী	mou̯ʃumˈi
মৌত	mou̯t̪
মৌন	mono
মৌলবী	mou̯lobiˑ
মৌসুম	mou̯ʃum
মৌসুমি	mou̯ʃumiˑ
ম্যাকিন্টোশ	mkintos
ম্যাডাম	mæɖam
ম্যাডাম	mɛdam
ম্যানিলা	manila
ম্লেচ্ছ	mletɕʰːoˑ
ম্লেচ্ছ	mletʃʰːoˑ
ময়না	mojna
য	dʑɔː
য	dʑɔˑ
য	dʒɔˑ
য	zɔˑ
যক্ষ্মা	dʑɔkʰːaˑ
যক্ষ্মা	dʒɔkʰːaˑ
যখন	dʑɔkʰɔn
যখন	dʒɔkʰɔn
যথেষ্ট	dʑɔt̪ʰestoˑ
যথেষ্ট	dʑɔt̪ʰeʃtoˑ
যথেষ্ট	dʒɔt̪ʰeʂʈoˑ
যদি	dʑod̪iˑ
যদি	dʒod̪iˑ
যদিও	dʑod̪i̯oˑ
যদিও	dʒod̪i̯oˑ
যদ্দিন	dʑɔd̪ːin
যদ্দিন	dʒɔd̪ːin
যবন	dʑɔbon
যবন	dʒɔbon
যম	dʑɔm
যম	dʑɔːm
যম	dʒɔm
যমজ	dʑɔmodʑ
যমজ	dʒɔmodʒ
যমজ	dʒɔmɔdʒi
যমুনা	dʒomuna
যশোর	dʑɔʃoɹ
যশোর	dʒoʃoɾ
যশোর	dʒɔʃoɾ
যশোর	d̪zɔʃoɾ
যশোর	zɔʃoɹ
যা	dʑaː
যা	dʑaˑ
যা	dʒa
যা	dʒaˑ
যাওয়া	dʑao̯aˑ
যাওয়া	dʒao̯aˑ
যাওয়া	dʒawa
যাচ্ছেতাই	dʑatɕʰːet̪ai̯
যাচ্ছেতাই	dʒatʃʰːet̪ai̯
যাত্রা	dʑat̪ːɹaˑ
যাত্রা	dʒat̪ːɾaˑ
যানবাহন	anbaˈhʊn
যাবি	dʒɑbi
যাবে	dʒabe
যাবো	dʒabo
যিনা	dʑinaˑ
যিনা	dʒinaˑ
যিশু	dʑiʃuˑ
যিশু	dʒiʃuˑ
যুক্তরাজ্য	dʑukt̪ɔɹadʑːoˑ
যুক্তরাজ্য	dʒukt̪ɔɾadʒːoˑ
যুক্তরাষ্ট্র	dʑukt̪ɔɹastːɹoˑ
যুক্তরাষ্ট্র	dʑukt̪ɔɹaʃtːɹoˑ
যুক্তরাষ্ট্র	dʒukt̪ɔɾaʂʈːɾoˑ
যুগল	dʑugɔl
যুগল	dʒugɔl
যুদ্ধ	dʑud̪ʱːoˑ
যুদ্ধ	dʒud̪ʱːoˑ
যুবতী	dʒubo̞t̪i
যুযু	dʑudʑuˑ
যুযু	dʒudʒuˑ
যুলফিকার	dʑulfikaɾ
যুলফিকার	dʒulfikaɾ
যুলফিকার	zulfikaɾ
যে	dʒe
যেই	dʒeɪ
যেকোনও	dʒekono
যেখান	dʑekʰan
যেখান	dʒekʰan
যেগুলো	dʒegulo
যেন	dʑɛnoˑ
যেন	dʒænoˑ
যেমন	dʑemɔn
যেমন	dʒemɔn
যোগ	dʑog
যোগ	dʒog
যোগ	dʒoːk
যোগানো	dʒoɣano
যোগিনী	dʑoginiˑ
যোগিনী	dʒoginiˑ
যোগী	dʑogiˑ
যোগী	dʒogiˑ
যোনি	dʑoniˑ
যোনি	dʒoniˑ
যৌক্তিক	dʒukt̪ik
র	rɔ
রং	rɔŋ
রংধনু	rɔŋd̪ʱonuˑ
রংধনু	ɹɔŋd̪ʱonuˑ
রংপুর	rɔŋpuɾ
রংপুর	ɹɔŋpuɹ
রংপুরী	rɔŋpuɾiˑ
রংপুরী	ɹɔŋpuɹiˑ
রইদ	rɔid̪
রইদ	ɹɔid̪
রওনা	rɔo̯naˑ
রওনা	ɹɔo̯naˑ
রওয়া	rɔo̯aˑ
রওয়া	ɹɔo̯aˑ
রওয়ানা	rɔo̯anaˑ
রওয়ানা	ɹɔo̯anaˑ
রওশন	rɔo̯ʃɔn
রওশন	ɹɔo̯ʃɔn
রকম	rɔkom
রকম	ɹɔkom
রক্ষা	rokʰːaˑ
রক্ষা	ɹokʰːaˑ
রচনা	rɔtʃonaˑ
রচনা	rɔtʃɔnaː
রচনা	ɹɔtɕonaˑ
রজত	rɔdʒot̪
রজত	ɹɔdʑot̪
রজনীগন্ধা	rɔdʒonigɔnd̪ʱaˑ
রজনীগন্ধা	ɹɔdʑonigɔnd̪ʱaˑ
রতন	rɔt̪on
রতন	ɹɔt̪on
রত্ন	rɔt̪noˑ
রত্ন	ɹɔt̪noˑ
রপ্তানি	ɾɔt̪ani
রফা	rɔfa
রব	rɔb
রব	rɔːb
রব	ɹɔb
রবি	robiˑ
রবি	ɹobiˑ
রবিবার	robibaɾ
রবিবার	ɹobibaɹ
রবীন্দ্র	robind̪ːɾoˑ
রবীন্দ্র	ɹobind̪ːɹoˑ
রবীন্দ্রনাথ	ɾobind̪ɾonäːt̪ʰ
রবীন্দ্রনাথ	ɾobind̪ːɾonät̪
রম	rɔm
রম	rɔːm
রম	ɹɔm
রমজান	rɔmdʒan
রমজান	rɔmzan
রমজান	ɹɔmdʑan
রমজান	ɹɔmzan
রশিদ	roʃid̪
রশিদ	ɹoʃid̪
রস	rɔs
রস	rɔːs
রস	ɹɔs
রসগোল্লা	rɔʃogolːaˑ
রসগোল্লা	ɹɔʃogolːaˑ
রসম	rɔʃom
রসম	ɹɔʃom
রসায়ন	rɔʃae̯ɔn
রসায়ন	ɹɔʃae̯ɔn
রসুন	ɾʃuŋ
রসুল	rosul
রসুল	ɹosul
রহমত	rɔɦmot̪
রহমত	ɹɔɦmot̪
রহমান	rɔɦman
রহমান	ɹɔɦman
রহস্য	rɔɦoʃːoˑ
রহস্য	ɹɔɦoʃːoˑ
রহস্যজনকভাবে	rɦoʂoˑdʑnɔkbʱaˑbe
রহিম	rohem
রহিম	roɦim
রহিম	ɹoɦim
রহিমা	roɦimaˑ
রহিমা	ɹoɦimaˑ
রা	la˥˥
রাঁধা	rãd̪ʱaˑ
রাঁধা	ɹad̪ʱaˑ
রাঁধুনি	rãd̪ʱuniˑ
রাঁধুনি	ɹad̪ʱuniˑ
রাও	rao̯
রাও	ɹao̯
রাক্ষস	rakʰːɔʃ
রাক্ষস	ɹakʰːɔʃ
রাক্ষস	ɾakːɑʃ
রাখা	rakʰaˑ
রাখা	ɹakʰaˑ
রাখাল	rakʰal
রাখাল	ɹakʰal
রাগানো	raganu
রাগি	ɾəgi
রাগিণী	raːgini
রাগী	ragiˑ
রাগী	ɹagiˑ
রাঙা	raŋaˑ
রাঙা	ɹaŋaˑ
রাঙ্গামাটি	ɾaŋgamaʈːi
রাজকীয়	radʒɔki̯oˑ
রাজকীয়	ɹadʑɔki̯oˑ
রাজকীয়	radʒoˑkiˑoˑ
রাজকুমার	radʒkumaɾ
রাজকুমার	ɹadʑkumaɹ
রাজপুত	radʒput̪
রাজপুত	ɹadʑput̪
রাজস্থান	radʒɔst̪ʰan
রাজস্থান	ɹadʑɔst̪ʰan
রাজা	radʒaˑ
রাজা	ɹadʑaˑ
রাজি	radʒiˑ
রাজি	ɹadʑiˑ
রাজিয়া	radʒi̯aˑ
রাজিয়া	ɹadʑi̯aˑ
রাজ্য	radʒːoˑ
রাজ্য	ɹadʑːoˑ
রাঢ়	rad
রাঢ়	raɽ
রাঢ়	raɽʱ
রাঢ়	raɾɦ
রাঢ়	ɹaɹ
রাণা	ranaˑ
রাণা	ɹanaˑ
রাণী	raniˑ
রাণী	ɹaniˑ
রাত	rat̪
রাত	ɹat̪
রাত	ɾat
রাধা	rad̪ʱaˑ
রাধা	ɹad̪ʱaˑ
রান্না	ranːaˑ
রান্না	ɹanːaˑ
রান্নাঘর	ranːagʱɔɾ
রান্নাঘর	ɹanːagʱɔɹ
রান্নাপাক	rnnːapak
রাবণ	rabon
রাবণ	ɹabon
রামচন্দ্র	ramtʃɔnd̪ːɾoˑ
রামচন্দ্র	ɹamtɕɔnd̪ːɹoˑ
রামধনু	ramd̪ʱonuˑ
রামধনু	ɹamd̪ʱonuˑ
রায়	rae̯
রায়	ɹae̯
রাশি	ɾasi
রাশিয়া	raʃi̯aˑ
রাশিয়া	ɹaʃi̯aˑ
রাশেদ	raʃed̪
রাশেদ	ɹaʃed̪
রাষ্ট্র	raʂʈːɾoˑ
রাষ্ট্র	ɹastːɹoˑ
রাষ্ট্র	ɹaʃtːɹoˑ
রাসায়নিক	ɾaʃaˑjonik
রাস্তা	ɾɐst̪ɑ
রাস্তা	ɾɐs̪t̪ɑː
রাহুল	raɦul
রাহুল	ɹaɦul
রিকশা	rikʃaˑ
রিকশা	ɹikʃaˑ
রিজিক	ridʒik
রিজিক	rizik
রিজিক	ɹidʑik
রিজিক	ɹizik
রিমঝিম	rimdʒʱim
রিমঝিম	ɹimdʑʱim
রিশকা	riʃkaˑ
রিশকা	ɹiʃkaˑ
রীতি	riti
রীতি	rit̪iˑ
রীতি	ɹit̪iˑ
রুজি	rudʒiˑ
রুজি	ɹudʑiˑ
রুট	ruʈ
রুট	ruːʈ
রুট	ɹut
রুটি	ruʈiˑ
রুটি	ɹutiˑ
রুদ্র	rud̪ːɾoˑ
রুদ্র	ɹud̪ːɹoˑ
রুদ্রাক্ষ	rud̪ːɾakʰːoˑ
রুদ্রাক্ষ	ɹud̪ːɹakʰːoˑ
রুপা	rupaˑ
রুপা	ɹupaˑ
রুমাল	rumal
রুমাল	ɹumal
রুশ	ruʃ
রুশ	ruːʃ
রুশ	ɹuʃ
রূপ	rup
রূপ	ruːp
রূপ	ɹup
রূপকথা	rupkɔt̪ʰaˑ
রূপকথা	ɹupkɔt̪ʰaˑ
রূমী	rumiˑ
রূমী	ɹumiˑ
রে	ɾɪ
রেওয়াজ	reo̯adʒ
রেওয়াজ	ɹeo̯adʑ
রেজোয়ান	ɾedʒoo̯an
রেজোয়ান	ɾezoo̯an
রেটিনা	reʈinaˑ
রেটিনা	ɹetinaˑ
রেদোয়ান	red̪o̯an
রেদোয়ান	ɹed̪o̯an
রেনেসাঁ	reneʃãˑ
রেনেসাঁ	ɹeneʃaˑ
রেবেকা	rebekaˑ
রেবেকা	ɹebekaˑ
রেল	ɾɛl
রেশম	reʃom
রেশম	ɹeʃom
রেস্টুরেন্ট	resʈuɾeɳʈ
রেস্টুরেন্ট	reʂʈuɾeɳʈ
রেস্টুরেন্ট	ɹestuɹent
রেস্তোরাঁ	rest̪oɾãˑ
রেস্তোরাঁ	ɹest̪oɹaˑ
রেহাই	rejai
রেহাই	reɦai̯
রেহাই	ɹeɦai̯
রোকসানা	roksanaˑ
রোকসানা	ɹoksanaˑ
রোগা	ɾɔga
রোজ	rodʒ
রোজ	ɹodʑ
রোজগার	rodʒgaɾ
রোজগার	rod̪zgaɾ
রোজগার	ɹodʑgaɹ
রোজগার	ɹozgaɹ
রোজনামা	rodʒnamaˑ
রোজনামা	ɹodʑnamaˑ
রোজা	rodʒaˑ
রোজা	ɹodʑaˑ
রোদ	rod̪
রোদ	ɹod̪
রোববার	ɾubbaɾ
রোম	rom
রোম	roːm
রোম	ɹom
রোমান	roman
রোমান	ɹoman
রোয়াইঙ্গা	ro̯ai̯ŋgaˑ
রোয়াইঙ্গা	ɹo̯ai̯ŋgaˑ
রোষ	roʃ
রৌশনী	rou̯ʃɔniˑ
রৌশনী	roːʃɔniˑ
রৌশনী	rɔuʃɔniˑ
রৌশনী	ɹou̯ʃɔniˑ
রৌশনী	ɹoːʃɔniˑ
রৌশনী	ɹɔuʃɔniˑ
লওয়া	lɔo̯aˑ
লক্ষ্মণ	lɔkʰːɔn
লক্ষ্মী	lɔkʰːiˑ
লক্ষ্মীপেঁচা	lɔkʰːipetɕaˑ
লক্ষ্মীপেঁচা	lɔkʰːipẽtʃaˑ
লগ্ন	lˈɔgnʊ
লড়া	lɔɹaˑ
লড়া	lɔɽaˑ
লড়া	lɔɾaˑ
লতা	lɔt̪aˑ
লতিফ	lot̪if
লন্ঠন	lɔntʰɔn
লন্ঠন	lɔɳʈʰɔn
লন্ডন	lɔndɔn
লন্ডন	lɔɳɖɔn
লফজ	lɔfzoˑ
লবডঙ্কা	lɔbodɔŋkaˑ
লবডঙ্কা	lɔboɖɔŋkaˑ
লবণ	lobon
লম্ব	lombo
ললাট	lɒlɒt
ললিতা	lolit̪aˑ
লস্যি	lɔsːiˑ
লহর	lɔɦoɹ
লহর	lɔɦoɾ
লাউ	lau̯
লাখান	läkä́n
লাখান	läɦä́n
লাগা	lɑgɑ
লাগানো	laganˈo
লাগাম	lagam
লাগিয়া	lagi̯aˑ
লাঙল	laŋol
লাঞ্চ	lantɕ
লাঞ্চ	lantʃ
লাট	laːʈ
লাঠি	laʈʰiˑ
লাথি	lati
লাথি	lat̪ʰi
লাফ	laf
লাফ	laːf
লাফানো	lafanˈɔ
লাফানো	lapʰano
লাফানো	laɸano
লাভ	lav
লাভ	laːb
লাভ	ˈlav
লাভজনক	labdʒonuk
লাভা	labʱaˑ
লাভা	lavaˑ
লাল	lal
লাল	laːl
লাল	lˈɑl
লালন	lalon
লালা	lalaˑ
লাশ	laʃ
লাশ	laːʃ
লায়লা	lajla
লি	li
লিখন	likˈɔn
লিখনকর্ম	likʰɔnkɔɾmɔ
লিঙ্গ	liŋgoˑ
লিচু	litɕuˑ
লিচু	litʃuˑ
লিপস্টিক	lipstik
লিপস্টিক	lipsʈik
লিপস্টিক	lipʂʈik
লিফট	lift
লিফট	lifʈ
লিসবন	lisbon
লীলা	lila
লুকোচুরি	lukotɕuɹiˑ
লুকোচুরি	lukotʃuɾiˑ
লুঙ্গি	luŋgiˑ
লুৎফুর	lut̪fuɹ
লুৎফুর	lut̪fuɾ
লেখা	lekʰaˑ
লেখা	lækʰaˑ
লেখা	lɛkʰaˑ
লেগ	leg
লেবু	lebu
লেমনেড	lemɔned
লেমনেড	lemɔneɖ
লোক	lok
লোকসান	lokʃan
লোচন	lotɕɔn
লোচন	lotʃɔn
লোপ	lop
লোপ	loːp
লোম	lom
লোমরাজি	lomoradʒi
লোমাবলি	lomaboni
লোহা	loɦaˑ
লোহার	loar
ল্যাজ	lædʒ
ল্যাজ	lɛdʑ
লয়	lˈɔj
লয়ে	loe
শ	ʃɔː
শ	ʃɔˑ
শওহর	ʃɔo̯ɦɔɹ
শওহর	ʃɔo̯ɦɔɾ
শক্ত	ʃɔkto
শক্ত	ʃɔkt̪oˑ
শক্তি	sokt̪i
শক্তি	ʃokt̪i
শখ	ʃɑk
শখ	ʃɔx
শখ	ʃɔːk
শঙ্খচূড়	ʃɔŋkʰɔtɕuɹ
শঙ্খচূড়	ʃɔŋkʰɔtʃuɽ
শঙ্খচূড়	ʃɔŋkʰɔtʃuɾ
শত	s̠ɔ̜t̪oˑ
শত	s̠ɔ̜t̪ɔ̝̜ˑ
শতরকম	s̠ɔ̜t̪oɾɔ̜koˑm
শত্রু	ʃot̪ːɹuˑ
শত্রু	ʃot̪ːɾuˑ
শত্রুতা	ʃɔt̪t̪ɾut̪ɐ
শনাক্ত	ʃɔnakt̪oˑ
শনি	ʃoniˑ
শনিবার	ʃonibaɹ
শনিবার	ʃonibaɾ
শব	ʃɒb
শবনম	ʃɔbnɔm
শব্দ	ʃɔbd̪oˑ
শয়তান	ʃɔet̪an
শরবত	ʃɔɹbot̪
শরবত	ʃɔɾbot̪
শরম	ʃɔɹom
শরম	ʃɔɾom
শরমানো	ʃɔɹmanoˑ
শরমানো	ʃɔɾmanoˑ
শরীফ	ʃoɾif
শরীর	ʃoɹil
শরীর	ʃoɹiɹ
শরীর	ʃoɾil
শরীর	ʃoɾiɾ
শর্করা	ʃɔɹkɔɹaˑ
শর্করা	ʃɔɾkɔɾaˑ
শর্করা	ʃɾkɹa
শর্তের	ʃɾteɾ
শর্মিষ্ঠা	ʃoɹmistʰaˑ
শর্মিষ্ঠা	ʃoɹmiʃtʰaˑ
শর্মিষ্ঠা	ʃoɾmiʂʈʰaˑ
শরৎ	ʃɔɹot̪
শরৎ	ʃɔɾot̪
শল্যচিকিৎসা	ʃɔlːotɕikit̪s̪aˑ
শল্যচিকিৎসা	ʃɔlːotʃikit̪s̪aˑ
শসা	ʃɔʃaˑ
শহর	ʃuɦoɾ
শহর	ʃɔɦoɹ
শহর	ʃɔɦoɾ
শহর	ʃɔɦɔɾ
শহীদ	ʃoɦid̪
শাঁস	ʃaʃ
শাক	ʃak
শাক	ʃaːk
শাগ	ʃag
শাড়ি	ʃaɹiˑ
শাড়ি	ʃaɽiˑ
শাড়ি	ʃaɾiˑ
শান্ত	ʃant̪oˑ
শান্তি	ʃant̪iˑ
শাফা	ʃafaˑ
শাবক	ʃabok
শাবাশ	ʃabaʃ
শাবাশ	ʃabːaʃ
শামা	ʃamaˑ
শামিয়ানা	ʃami̯anaˑ
শামুক	ʃamuk
শায়া	ʃae̯aˑ
শাল	ʃal
শাল	ʃaːl
শালা	ʃalaˑ
শালি	ʃaliˑ
শালিক	ʃalik
শালিক	ʃɑlik
শালী	ʃaliˑ
শাস্ত্র	ʃast̪ːɹoˑ
শাস্ত্র	ʃast̪ːɾoˑ
শাস্ত্রী	ʃast̪ːɹiˑ
শাস্ত্রী	ʃast̪ːɾiˑ
শাহ	ʃaː
শাহ	ʃaˑ
শাহজাহান	ʃaːdʒaːɦan
শাহতাজ	ʃaɦt̪adʑ
শাহতাজ	ʃaɦt̪adʒ
শাহতাজ	ʃeɦt̪adʑ
শাহতাজ	ʃeɦt̪adʒ
শাহরুখ	ʃaɦoɹuk
শাহরুখ	ʃaɦoɹux
শাহরুখ	ʃaɦoɾuk
শাহরুখ	ʃaɦoɾux
শাহাদাত	ʃaɦad̪at̪
শাহানা	ʃaɦanaˑ
শাহীন	ʃaɦin
শিং	ʃiŋ
শিউলি	ʃiu̯liˑ
শিকার	ʃikaɹ
শিকার	ʃikaɾ
শিক্ষক	s̠ikːʰɔ̜ˑk
শিক্ষিত	ʃikʰːit̪oˑ
শিখ	s̠iːkʰ
শিখর	ʃikɑr
শিগ্গির	ʃigːiɹ
শিগ্গির	ʃigːiɾ
শিফট	ʃɪft
শিম	ʃim˨˩
শিয়াল	ʃial
