a	ɑ
teengestaan	ˈtɪəŋgəˌstɑːn
teenkanting	tienkantəŋ
teenkom	tʰiŋˈkɔm
teenoor	tjenuɛr
teenoor	ˈtɪənʊr
teenoorgestelde	ˈtɪənʊrɣəˌstɛldə
teenparty	tʰiːn̪ˈpɑːrti
teenspoed	tiənspuːt
teenstaander	tiːnˈstɑːndər
teenstander	tiːnˈstɑndər
teenstelling	tiːnˈstɛlɪŋ
teenstrydig	tʰiːnstrɪdiχ
teenstrydighede	tiːnstrɪdiχəde
teenwoordig	tɛːnɔkˈrɛt
teenwoordigheid	tʰiːnʋɔːrˈhɛit
teer	tiːr
teerheid	tiːrˈɦit
teerpad	tiːɹpɑːt
teerpad	tʲirpat
tees	tsiː
tegaan	ˈtɛɣɑn
tegelikertyd	ˈtɛχəlɪkərtɪt
tegelyk	ˈtɛχələk
tegemoetkomend	ˈtɛχəˌmʊtkʏmənt
tegniek	tɛknik
tegniek	ˈtɛχnik
tegnieke	ˈtɛχniːkə
tegnies	tɑːxˈmis
tegnies	ˈtɛχnɪəs
tegniese	ˈtɛχnɪsə
tegnikon	ˈtɛɣinəkɔn
tegnologie	ˈtɛgnɔlɔgi
teheran	teːɦəˈɹɑːn
tehuis	teːˈɦœi̯s
teiken	tiːkəŋ
teiken	tˈeɪkən
teiken-operasies	tiːkənɔpəˈreɪsi̯s
teikens	tiːkəns
teister	tiːstər
teistering	tiːstəɹɪŋ
teken	ˈtɛkən
tekeninge	ˈtɛkəŋə
tekens	ˈtɛkəns
tekere	ˈtɛkəˌrɛ
tekort	təkɔːst
tekort	ˈtɛkɔrt
teks	lɛks
teks	tɛks
teksboodskap	tɛksˈbʊə̯skɑp
teksboodskappe	ˈtɛksbʊtskəpə
tekste	ˈtɛkstə
tel	tɛl
tel	tɛu̯
tel	tɛ̞ːl
tele	ˈtɛlə
telefonies	ˈtɛləfʊniəs
telefoon	ˈtɛləfuːn
telefoondata	ˈtɛləfuːnˌdɑtə
telefoonoproepe	ˈtɛləfuːnɔpɹuəpə
telegraafkantoor	teːləgrafkɑnˈtuːr
telegrafeer	ˈtɛləɣrɑfeːr
telegrafis	ˈtɛləɣrafɪs
telegram	tɑlˈħram
telegram	ˈtɛləgrɑm
telekommunikasie	ˈtɛləkʏmɪnɪˌkɑːsiə
teleskoop	ˈtɛləskoːp
teleur	ˈtɛlœr
teleurgestel	ˈtɛləʊ̯rgəˌstɛl
teleurgesteld	ˈtɛləʊ̯rgəˌstɛlt
teleurstel	ˈtɛlʏrstəl
teleurstelling	teːˈlœrstəlɪŋ
televisie	teːləviˈsi
televisie-dame	teːləviˈsiːdɑːmə
televisieprogram	ˌteləˈvisiəprɔxrɑm
televisiestel	tɾɛnɛvisistɛl
telkens	ˈtɛl̪kəns
tell	ˈtɛl
tellings	ˈtɛlɪŋs
tema	ˈtɛmə
tempel	ˈtɛmpəl
tempels	ˈtɛmpəls
tempo	ˈtɛmpo
ten	tɛn
teneergedruk	teniːrxˈɪdrɪk
tenk	ˈtɛŋk
tenk-korps	ˈtɛŋkɔrps
tenkaanval	ˈtɛŋkɑːnvɑl
tenkafweer	ˈtɛŋkɑfʋɪr
tenkkorps	ˈtɛŋkɔrps
tenks	ˈtɛŋks
tennisbane	ˈtɛnisbɑːnə
tenoor	ˈtɛnʊr
tensy	teŋsai
tensy	ˈtɛnsə
tent	tenʈ
teologie	teːoˈlɔχiə
teoloog	ˈtɪʊ̯ɔɣ
teoreties	teːɔrətiəs
teoretiese	teːɔrɪəˈtɪsə
teorie	ˈtɔːriə
teorië	ˈtɔːriə
tequila	ˈtɛkəla
ter	ˈtɛr
terapie	ˈtɛɾəpi
terasse	ˈtɛrɑsə
tere	ˈtɛrə
tereggestel	ˈtɛrɛɣəstəl
teregstel	ˈtɛrɛχstəl
teregstelling	ˈtɛrɛkstəlɪŋ
terence	ˈtɛrəns
teresa	ˈtɛrɛsə
tereurdade	ˈtɛrɪrdaːdə
tereurgroep	ˈtɛrɪrχrup
terg	tɛrχ
terg	tʃarx
tering	ˈtɛrɪŋ
terloops	tɛrluɔps
terloops	ˈtɛrɫʊəp
terme	ˈtɛrmə
termesson	tɛrməˈsɒn
termodinamika	tɛrmudɪnɔmɪka
terneergedruk	ˈtɛrnɛːrɣəˌdrʏk
terneuzen	ˈtɛrnøːsə
terpentyn	tɛrˈpɛntən
terras	ˈtɛrəs
terravorming	ˈtɛrɑːvɔrmɪŋ
terrein	ˈtɛrɪn
terreur	ˈtɛrœr
terreuraanval	ˈtɛrʊrɑːnvɑːl
terreuraanvallen	ˈtɛrʏrɑːnˌfɑlən
terreurbeweging	ˈtɛrœrβəˌβɛiəŋ
terreurdade	ˈtɛrœrdaːdə
terreurgroep	ˈtɛrəʀgrup
terroris	ˈtɛroːris
terrorisme	ˈtɛroːrismə
terrorisme-groep	ˈtɛroːrɪsəmegɹup
terrorist	ˈtɛroːrɪst
terroriste	ˈtɛroːrɪstə
terroriste-aanval	ˈtɛroːrɪstəˌɑːnvɑl
terry	tɛri
terselfdertyd	ˈtɛrsfəlˌdɛrtɪt
tert	tɑːɾt
tert	tɛrt
terug	trɔx
terug	təˈrɯχ
terugaan	təˈrʌχaːn
terugbesorg	ˈtɛrʏgbəsɔrχ
terugbetaal	ˈtɛrʏkβəˌtɑːl
terugbring	ˈtɛrʏkˌbrɪŋ
terugdink	tɛɾʏχdɪŋk
teruggaan	təˈrʌχgaːn
teruggebel	ˈtɛrʏχɣəbəl
teruggebring	ˈtɛrʏχəˌbrɪŋ
teruggee	ˈtɛrʏχɣeː
teruggegaan	tɛrʏkχəgɑːn
teruggegee	tɛrʏkχəɣe
teruggekeer	tɛrʏkəˈkɪə̯
teruggekom	tɛrʏkəˈkɔm
teruggekoop	ˈtɛrʏkəˌkʰup
teruggekry	təˈrʌχkərə
teruggeskryf	təˈrʌχskrəf
teruggestuur	ˈtɛrʏkstʏr
teruggetrek	ˈtɛrʏχˌtrɛk
teruggetrokke	təˈrʌχkətroʊkə
teruggeveg	tɛɾʏχɣəˈvɛχ
teruggevlieg	ˈtɛrʏxəˌfliχ
terughou	ˈtɛrəχou̯
terughoudend	ˈtɛːryˌɦɔʏ̯dən
terughê	təˈrɦɛ
terugkeer	təˈrʏkˌkɪə̯
terugkerende	ˈtɛrʏkχəˌrɛndə
terugkerendes	təˈrʌχkərəntəs
terugkom	təˈrʌkʰɔm
terugkoms	ˈtɛrʏkɔms
terugkoop	ˈtɛrʏkʰup
terugkry	təˈrʌkχrai̯
terugkyk	tɛruχkəɪk
terugneem	təˈrʌχnɛm
terugpak	ˈtɛrʏkpɑk
terugreik	təˈrʌχrɛik
terugroep	təˈrʌχrœp
terugry	ˈtɛrʏχrɪ
terugsit	təˈrɪχsɪt
terugskou	təˈrʌxsku
terugslag	ˈtɛrʏχsɫɑχ
terugstap	təˈrɜχˌstɑp
terugsturen	təˈrʌχstyːn
terugtog	ˈtɛrʏχtɔχ
terugtrek	ˈtɛrʏkˌtrɛk
terugtrekke	təˈrʌχtrɛkə
terugtrekking	ˈtɛrʏkˌtrɛkɪŋ
terugval	təˈrɜχfɑl
terugvat	təˈrʌχfɑt
terugveg	təˈrʌχfɛχ
terugvlieg	tɛɾʏkflɪəχ
terugvoer	tˈrɛxfˌur
terugwen	ˈtɛruχʍən
terugwerkt	ˈtɛrʏkʋɛrkt
terugzien	təˈrʏksin
terukeer	təˈrʏkɪə̯
teruste	tɛruˈstə
terwyl	ˈtɛrʍəl
tesame	ˈtɛsəme
tesis	ˈtɛsɪs
tesselschade	ˈtɛsəlˌʃɑːdə
testament	ˈtɛsəˌment
testamente	tɛsəˈmentə
teuels	ˈtœʏ̯əls
teug	tøːk
teug	tʲːɛ
teutone	ˈtøːtəne
teveel	ˈtɛvəl
tevergeefs	teːvərɣefs
tevore	ˈtɛvɔrɛ
tevrede	təfrədə
tevrede	ˈtɛːfrɛdə
tevredenheid	ˈtɛːvrəˌdɛnɦəɪ̯t
teë	teː
teël	teːl
teëls	teːls
teënkom	teːŋkɔm
teëparty	teːˈpɑːrti
teëstand	teːˈstɑnt
tf1	θɛf
thalers	θɑːləʃ
than	θæn
thank	θæŋk
thankful	θæŋkful
thanks	θæŋks
that	θæt
the	θeː
thebus	θəˈbʌs
thee	θiː
their	θɛː
them	ðəm
theme	θiːmə
then	θən
theo	θuː
there	θɛː
thermopilae	θɛrmɔpɪlɑː
they	θaɪ
thierry	θiːri
think	θɪŋk
thinking	θɪŋk
this	θɪs
thomas	tˈoməs
thomas	ˈtɔməʃ
those	θuː
thou	θu
thought	θoʊt
through	θruː
thunder	θʌndər
thurn	θurn
thy	θiː
thübingen	θyβənʃən
ti	ti
tien	tiən
tien-sent	tiənˈsɛnt
tiende	tiŋdɛ
tiende	tiːndə
tiendes	tiːˈdens
tienduisende	tiə̃dɪusə̃ndə
tiener	tiːə̯nər
tienerjare	tiːə̯rjɑːrə
tienermeisie	tiːə̯rmeɪ̯siə̯
tienmaal	tiə̃mɑːl
tiepolo	tiə́polo
tier	tiːr
tier	tˈiɾ
tiete	tiə́tə
tik	tiːk
tik	tɨk
tikkie	ˈtɪkə
tikmasjien	ˈtɪkməʃiən
tikster	tˈɛkstɛr
tim	tiːm
time	tiːmə
times	taɪmz
timesharing	ˈtiməˌʃɑːrɪŋ
timmerman	tɛmmɛrman
timmy	ˈtɪmi
timothy	tiˈmɔɪti
tinette	ˈtinəˌtɛ
tipe	tɪpə
tipes	tipə
tipies	tipis
tipies	tiˈpiəs
tipiese	tiˈpiːsə
tiran	tiˈrɑn
tiranniseer	tiranesiːr
tirol	tiˈrɔl
titanic	titəˈnik
titel	tiko
titel	ˈtɪləl
titels	ˈtɪtəls
titta	ˈtɪtə
titus	titʊs
tjalie	ʃaːli
tjank	tʃɑŋk
tjankend	ʈʃɑŋkənt
tjek	tʃek
tjeks	ʈʃɛks
tjello	ʃɛloː
tjello-eienaar	tʃɛlóʔɛnɑːr
tjello-sonata	tʃɛloˈsɔnə
tjello-suites	ʃɛloˈsœi̯ts
tjello-verkoper	tʃɛloʋɛrˈkɔpər
to	tʊ
tobias	təʊbiəs
tockay	ˈtɔkɑi̯
toe	tsˈoː
toe	tʊ
toe--geef--lik	tʊi̯ˈɣiːfˌlik
toe-geeeef-likheid	ˈtʊəχɪəfləkəit
toe-geef-lik	tʊi̯ɣəɪ̯fəlɪk
toebedeel	tʊə̯bɛˈdiːl
toebroodjie	ˈtuːbrudʒi
toebroodjies	ˈtʊəbrʊəɪ̯s
toedoen	ˈtœʊ̯dən
toedraai	tˈɪdrˈaɪn
toegang	ˈtʊə̯χɑŋ
toegangskodes	ˈtʊə̯ɣɑŋskɔdəs
toeganklik	ˈtœygɑŋklɪk
toegebind	tʊəɣəˈbint
toegedien	ˈtuχəˌdiən
toegee	tʊχi
toegeeflik	tʊəχɪfəlɪk
toegeeflikheid	ˈtuːχəflɪkɦɛit
toegegee	ˈtʊχəɣə
toegejuig	ˈtʊəχʏχ
toegeken	tʊəɣəken
toegekyk	ˈtʊəɣəkəx
toegelaat	ˈtʊəɣəˌlɑːt
toegemaak	ˈtʊəχəˌmɑːk
toegemessel	tʊəχəˈmɛsəl
toegeneendheid	ˈtuːχəˌnɛnthɪt
toegeprop	tʊχəprɔp
toegerus	ˈtuːgərʌs
toegesluit	tʊəɣəˈslœi̯t
toegesneeude	ˈtʊəɣəˌsneːu̯də
toegestaan	ˈtœygəˌstɑːn
toegevou	tʊəχəfu
toegewy	ˈtʊə̯ɣəi̯
toegewyd	tʊə̯ɣəˈvəi̯t
toegewyde	tʊə̯ˈɣʋiːdə
toegewydheid	ˈtʊə̯ɣəˌvəi̯təi̯t
toegooi	ˈtœygʊi
toehou	tʊəˈɦuː
toehy	ˈtʊəɪ
toeken	ˈtʊkən
toekenning	ˈtʊə̯kəˌnɪŋ
toekennings	ˈtœkəˌnɪŋs
toekom	ˈtʊə̯kʏm
toekoms	ˈtʊə̯kɔms
toekomsgebeure	ˈtʊə̯kɔmsχəˌbœːrə
toekomsplanne	ˈtʊə̯kɔmsplɑnə
toekomstige	ˈtʊə̯kʊŋstə
toekouers	ˈtʊkœrs
toekyk	ˈtœkəʏk
toelaat	ˈtuːləɦt
toelatingskommissie	ˈtʊələtɪŋskɔmɪsi
toemaak	ˈtʊə̯mək
toemaar	ˈtʊə̯mɑːr
toen	tʊən
toenadering	tʊnədəˈrɪŋ
toename	tʊnɔmɛ
toename	ˈtuːə̯mə
toenemende	tʊnəˈmɛndə
toer	tʏɾ
toer	ʈœr
toere	ˈtœrə
toergroep	ˈtœrχrup
toeris	tʊɾɪss
toeriste	tʊɾɛstɪ
toernooi	ˈtʊə̯rni
toernooijie	ˈtʊə̯rnuːi
toertjie	ˈtœrtjə
toertjie-kunstenaar	ˈtuːərtjəˌkʰʊnstəˌraː
toerusting	ˈtœːrʏstɪŋ
toesien	tsuɪ̯ə̯n
toesig	tsuɪχ
toesighoudende	tʊəsiχˈɦʊə̯dənə
toesighouer	tsuɪχuːr
toeskietlikheid	ˈtœskitələkɪə̯t
toeskouers	ˈtuːskœrs
toeslaan	tuslɑːn
toeslag	tʊə̯sˈlɑχ
toesluit	tsuɪ̯lœi̯t
toespraak	ˈtœʏspraːk
toespreek	ˈtœʏspɹɛk
toestaan	ˈtœʊ̯stɑːn
toestand	ˈtœʊ̯stɑnt
toestande	tʊəˈstɑːndə
toestel	tsistav
toestel	tʊəˈstɛl
toestelle	tʊəˈstɛlə
toestelle	ˈtuəstɛlə
toestellen	tʊəˈstɛlən
toestem	tʊəˈstɛm
toestemming	tʊə̯ˈstɛmɪŋ
toestop	tʊəˈstɔp
toets	tøts
toets	tˈɪts
toetse	tøtsə
toetsiens	tsuətsiəns
toeval	tˈɪfˈɔl
toeval	ˈtʊəvəl
toevallig	ˈtʊə̯fɑləx
toevertrou	tˈufɛrtrˈˈo
toevertrou	ˈtœʋərtɹɔː
toewens	ˈtœʊ̯əns
toewy	ˈtʊəəi
toewyding	ˈtœʊ̯əɪ̯əŋ
toewys	ˈtʊə̯ə̯s
tof	tʊf
tog	tɔx
tog	ˈtɔχ
toilet	ˈtœylət
toiletmure	ˈtui̯ləmuːrə
toiletpapier	ˈtɔilpɑpɪr
toilette	tœjˈlɛtə
tokay	ˈtɔkɑːi
toki	tokʰi
tokkel	ˈtɔkəl
toksikologiese	ˈtɔksikɔləgiəsi
tokuma	ˈtʊkʊmə
tol	tɔːl
tolbos	toɫbos
toledo	tʊˈlɛːdo
tolerant	ˈtuləˌrɑːnt
tolgeld	ˈtɔlχɛlt
tolik	ˈtɔlək
tolk	tɔk
tollenaar	tˈolɛnaːɾ
tom	ˈtɔm
toma	ˈtoma
tomas	ˈtɔməs
tomaszewski	tʊməʃɛfski
tomaties	ˈtʊməˌtɪəs
tomato	ˈtɔmətoː
tomczyk	ˈtɔmtʃək
ton	tɔn
tone	tonə
toneel	ˈtunəl
toneelseel	tʊnəlsɛl
toneelspeel	ˈtunəlˌspɪə̯l
toneelspel	ˈtʊnəlspɛl
toneelspelers	ˈtunəlˌspɛləʃ
toneelstuk	ˈtunəlˌstyːk
toneeltjie	ˈtunəltʃi
toneeltjies	ˈtunəltjis
tonele	tonələ
toner	tʊˈnɛr
tong	tum
tong	ʈɔŋ
tonge	ˈtɔŋə
tonight	tonɪtʃ
tonnels	tɔnəls
tony	toni
too	tuː
tooi	tuːi
toom	tuːm
toon	tʊn
toonbank	tʊnˈbɑŋk
toonleer	tʊnˈlɪr
toonnaels	tʊnɑːl̪s
toor	tuə̯ɾ
toordery	ˈtʊə̯rdəri
toorn	tʊrn
toorn	tˈuɾum
toornigheid	ˈtœrŋɦəɪ̯t
toorpotloodjies	ˈtʊə̯rpɔtˌlœdiəs
top	tɔp
topografie	ˌtopograˈfi
toppe	ˈtɔpə
toppunt	ˈtɔppʏnt
torgau	ˈtɔrχɑʊ̯
torgny	ˈtɔrgni
toring	ˈtɔːrɪŋ
torn	tɔːrn
torpedo	ˈtɔːrpədeə
torso	ˈtɔrsə
tos	puls
toshio	tsɔʃiʊ
tosia	tsʊiə
tosiens	ˈtʊsiəns
tossels	tsɔsəls
tot	tɔt
totaal	ˈtɔtɑːl
totale	ˈtɔtələ
totdat	tʊtɑt
totdat	ˈtɔtdət
totsien	ˈtɔtsiən
totsiens	tutsiŋs
totsiens	ˈtɔtsiəns
tou	tuː
touch	tʊx
touché	tʃuːtʃeː
toue	tuə
toulouse	ˈtuləʊs
toulouse-kantoor	tuluskɑntʊr
toulouse-lautrec	tuləʊsˈlɔːtrɛk
toutjies	ˈtʌə̯tsiəs
tov	ˈtɔf
towenaar	ˈtʌʋəˌnɑːr
towenaars	tuəˈnɑːrs
tower-oopmaker	ˈtʊəɹʊpˌmɑːkər
towerbeeld	ˈtʌu̯ərbɛlt
towerdrank	ˈtʊəvəɹŋk
towerkrag	ˈtɔə̯rkrɑχ
traag	trɑːχ
traag	trˈɔx
traak	trɑːk
traak-my-nie-agtigheid	ˈtrɑːkmiˌniəχˌtʃɪəθ
traantjie	trɑːntʃi
traceerde	trɑːˈsɪːɾdə
tracker	trɑkər
tradisie	tradisi
tradisie	ˈtrɑːdiːsi
tradisies	ˈtrɑːdiːsiəs
tradisioneel	tradiʃunioau
tradisionele	tɹɑːdiʃʊnɛlə
tragedie	tʁɑdʒiː
tragedies	ˈtrɑːdʒədiəs
tragies	ˈtrɑːχis
tragiese	ˈtrɑːɣiəsə
train	tɹɛɪ̯n
trainer	ˈtrɛːnər
trakteer	tɹɑkˈtiːr
tralies	trɑˈlies
trane	trɑːnə
transaksie	ˈtrɑnsɑksi
transaksies	ˈtrɑnsɑksiə
transkei	tronsgaj
transliterasie	translɛtɛɾɔsi
transponders	ˈtrɑnspondərs
transvaal	transfɔːɫ
trap	trɑp
trap	tʃat
trapesium	tropiːziɛm
trapgang	ˈtrɑpχɑŋ
trappe	trɑpə
trapsgewys	ˈtrɑːpsəˌɣʋəɪ̯s
trapvormige	ˈtrɑːpfɔɹmiχə
trattoria	ˈtrɑtəɾiə
trauma	trɑʊ̯mə
traunspurger	trɑunspurχər
treatment	ˈtrɛtmənt
tree	trɪ
tree	tɹˈe
tref	trɛf
tref	t̪ɾes
treffend	tʁɛfɛnt
treffer	ˈtrɛfər
treffers	ˈtrɛfərs
trefslag	ˈtrɛfslɑχ
tregter	ˈtrɛχtər
trein	trajm
trein	tɾɛin
treinbesigheid	ˈtrɛɪ̯nbəˌsɪχˌɦɛit
treine	ˈtrɛi̯nə
treinkaartjies	ˈtrɛi̯nkaːrtʃis
treinspoor	trajnʃpulɛr
treintjie	trɛɪ̯ntʃi
treiter	ˈtrɛɪ̯tər
trek	trɛk
trekje	tʁɛkʲə
trekke	ˈtrɛkə
trekker	tɹɛkər
trekkertjie	ˈtrɛkərtʃi
trekklavier	ˈtrɛkklɑi̯fər
trekpas	tʁɛkˈpɑs
trekvoël	ˈtrɛkfuə̯l
trem	trɛn
trending	ˈtrɛndɪŋ
treptowpark-monument	tʁɛptɔfparkmɔnʊˈmɛnt
treur	trɪr
treurig	trɛːriχ
treurige	tʁœːriχə
treurigheid	trɛʊ̯rɪəxəi̯dʒ
treurspel	triːˈɾspau̯
treë	tria
tribunaal	ˈtrɪβunɑːl
trieste	tɹiːə̯stə
trigonometrie	trəɣənɔmɛtrəɪ
trio	trɪu̯
triomf	trʏɔmf
triomfeer	tɹiʊ̯mfɪə̯
trippel	trɪpəl
tristram	ˈtrɪstræm
tritt	trɪt
trivia	triːviə
trixie	trɪkʃi
troebel	tɹʊə́bəl
troef	trʊə̯f
troefkaart	trøːfˈkɑːrt
troepe	trʊə́pə
troepemag	ˈtrʊpəˌmɑχ
troetelnaampie	trʊtəlˈnɑːmpi
trois	tɹoɪ̯s
trok	trɔk
trokke	trɔkə
trol	trɔl
trolle	trɔlə
tromboon	ˈtrɔmbun
tromgerommel	trɔmχəˈrɔməɫ
tromme	trɔmə
trommel	tromau
tromp	trɔmp
trompet	trɔmˈpɛt
trompetspeler	ˈtrɔmpətəsplɪə
tronk	tʀɔŋk
tronkbewaarder	trɔŋkəbʋɑːrder
tronkdirekteur	tɹɔŋkdiɾɛktœːr
tronke	trɔŋkə
tronkstraf	tɹɔŋkstrɑːf
tronktoe	tʀɔŋktoː
tronkvoël	trɔŋkfœl
troon	truːɛn
troon	trʊːn
troonopvolger	tɹʊə̯nɔpˈfɔɫχər
troos	trʊə̯s
troos	tɾuːəs
troot	trʊt
trop	trɔp
trop	trˈɔp
troposfeer	tɾɔpʊsfiɾ
troppe	trɔpə
troskie	tɾɔski
trots	kɾots
trots	trɔts
trotse	tɹɔtsə
trotseer	ˈtrɔtsiːr
trotserend	trotsiɛrɛnt
trou	trau̯
trou	trʌu
troudag	tɹʊə̯ˈdɑχ
troue	truːə
troueloos	truːəloːs
trouelose	truːəlɔːsə
trouens	trʌuns
trouens	tɾau̯enʃ
troues	trʉə́s
troufotos	tɹɔu̯fɔts
trougeskenk	tɹɔʊ̯χsəŋk
trouklere	trʊɔklɛːrə
troupresent	truːprəˈsɛnt
trourok	trʊˈrɔk
trousse	trʊs
true	trʉː
trui	fɾɔj
truman	tɹʊˈmɑːn
trumanillo	tɹumɑːnɪʎoʊ
truspieël	tɹˈispˈil
trust	trʏst
trustbeampte	ˈtrʌstbɛmpte
truuk	tr̝ik
truuks	trʏks
très	tʁeː
tsaar	tsɑːr
tshwane	tʃoˈne
tsjeggies	tʃɛχis
tskż	tsɪkə
tsotsi	tsotsi
tsumeb	tsʊmɛp
tsunehiko	tsunəˈhiːkoː
tsyganova	tsiɣanova
tu	tuː
tuberkulose	tʏbɛrkuˈloːsə
tugtiging	tʏkˈtɪəχ
tuig	tɔjˈv
tuileries	tyːlɪəɾiəs
tuimelaar	tɥiːməˈlɑːr
tuin	tyːn
tuin	ɛ̃im
tuinbank	tyːnˈbɑŋk
tuine	tɥiːnə
tuinhuisies	ˈtœynˌɦœi̯sə
tuinier	tyːˈniːr
tuinstoele	tyːnˈstulə
tuinvurk	tyːnˈfʏrk
tuis	kəs
tuis	tsɥɪs
tuisgaan	tsɥiʃˈɦɑːn
tuisgekom	tsɪsχʊkʏm
tuisgemaak	tɪɪ̯sχəˈmɑːk
tuisgemaakte	tɪɪsχəˈmɑːktə
tuishawe	ˈtœy̯sɑːvə
tuiskom	ˈtœy̯skɔm
tuisland	tɪisˈlant
tuiste	ˈtœy̯stə
tulbagh	tʊɫbɑx
tulp	tɔp
tulp	ˈtʏlp
tunner	tʊnər
turbo	ˈtʊrboː
turk	tʏrk
turke	ˈtɜːrkə
turkeie	ˈtɜːrkiə
turn	tʏrn
turned	tʏrn̥d
turner	tʏrnər
tuskaan	ˈtʊskɑːn
tussen	tsʏsən
tussenin	ˈtʏsənɪn
tussenposes	ˈtʏsənˌpɔsəs
tussentyd	ˈtusəntɪə
tut	ʈʊt
tutti	ˈtʊti
tuwim	ˈtʃuβəm
tv	tf
tv-kykers	tfɪkəxər
tv-program	ˈtfeɪ̯proˌgɹɑm
tv-programme	tfprəˈgrɑːmə
tv-reekse	ˈtfuːrɪksə
tv-styl	ˈtfstil
twaalf	twˈɑlf
twaalf	ˈtwaːləf
twaalfjarige	ˈtwaːlfrəgə
twaalfstappen	ˈtwaːlfstapən
twaalfuur	tʋaːlfr̩ː
twak	tˈvɑk
twak	ˈtwɑk
twakpraat	ˈtʋɑkprɑːt
tweak	tʃʰɪk
twee	tʋeː
twee-en-twintig	propiaintuantax
tweede	tʋiːə
tweedehands	ˈtʋɪə̯dəˌhɑns
tweedeklas	tʋiːdəˈklɑs
tweedens	ˈtʋiːdəns
tweederangse	ˈtʋɪə̯ɾɑŋsə
tweegesig	ˈtʋiəɣəsɪχ
tweegeveg	ˈtʋɛːχɛf
tweegevegte	tʋeːɣəˈvɛχtə
tweegveg	tʋiəɣfɛχ
tweeling	tɨwɨjɛlɛm
tweeling	tʋɪə́lɪŋ
tweeling-sus	ˈtʋɪə̯ləŋˌsʏs
tweelingsussie	tʋɪəˈlɪŋsʏsi
tweelingsuster	ˈtʋɪə̯lɪŋsʏstər
tweemaal	ˈtʋaːmaːl
tweemal	ˈtʋiːmɑl
tweerigting	tʋiəˈrɪəŋ
tweestryd	ˈtʋɪə̯strəi̯t
tweet	tʰʋiːt
tweeting	tʋeɪ̯tɪŋ
tweetjes	tʋɪtʃəs
tweetjies	tʃɪə́i̯s
tweets	tʃuːts
tweeuur	tʋɪu̯r
tweezitter	ˈtʋeːzɪtər
twintig	tɛntɛr
twintig	tʋintəx
twis	tsʊɪ̯s
twis	twˈɪs
twister	ˈtʋɪstə
twitter	ˈtwitər
two	tuː
twyfel	tʋifəl
twyfelagtige	ˈtʋifəlɑxtiɣə
ty	tə̟i̯
tyd	tɪi̯
tydbomme	tɪdbɔmə
tydelik	tɪɪ̯ˈdeːlək
tydelike	tɪɪ̯ˈdeːlikə
tydelike-aanhoudingssentrum	tiˈɾɛlikəˌɑ̃ːˌɦuːntəˌsɛntrʏm
tydens	tiːdəns
tydig	tiːɣ
tyding	tʏɪŋ
tydjie	tɪi̯di
tydmors	tʏdmɔrs
tydperk	tɪdpɛrk
tydrekening	tɪi̯drəˈkɛəŋ
tydsberekening	tɪtsbəˈreːkəŋ
tydskrif	tʏi̯skrɪf
tydskrifte	tʏi̯tskrɪftə
tydverdryf	tɪi̯tˈfɛrt
tye	tɪə
typography	tipoxafˈi
télé	teːlə
tête-a-tête	ˈtɛtəˌtɛtə
tëespraak	ˈtɛəsprak
tübingen	tyˈβiŋən
tür	tʏr
u	ə
u	ʏ
udo	ʊdoː
ufo	ʔufu
uh	ə
ui	ɥiː
ui	ʊ̟i̯
ui	ˈɔj
uie	ɥi
uier	ɥiːr
uiesop	ɥiəˈsɔp
uil	pau̯
uit	œɪt
uit	ʊ̟i̯t
uitbars	œyt̪ˈbɑrs
uitbarsting	ʊit̪ˈbɑrstɪŋ
uitbarstings	œyt̪ˈbɑrstɪŋs
uitbasuin	œytbɑˈsœin
uitbeelding	ʌi̯tˈbɛɫəŋ
uitbeweeg	œytbəˈʋiχ
uitblaas	œytˈblɑːs
uitblink	œytˈblɪŋk
uitbolt	œytbolt
uitbraai	ʔuitbraːi
uitbraak	ʌɪtˈbrak
uitbrand	ʉi̯tˈbrɑnt
uitbreek	œytˈbreːk
uitbreekpoging	œytˈbreːkˌpɔχɪŋ
uitbrei	œytˈbɪi̯
uitbring	œytˈbrɪŋ
uitbroei	œytˈbrœi̯
uitbuit	œytˈbœit
uitbuiting	ʉi̯tby̥ʉ̯tʃəŋ
uitbundig	œytˈbʌntəx
uitdaging	ʉi̯tˈdɑχɪŋ
uitdeel	ʌɪtdeɪ̯l
uitdeel	ˈeɪdˈoːl
uitdink	œytˈdɪŋk
uitdoof	œyt̪dʊf
uitdra	œytˈdraː
uitdruk	œytˈdrʏk
uitdrukking	œytˈdrʏkɪŋ
uitdruklike	œytˈdrʏkliχə
uitdryf	œytˈdrɪf
uiteen	ˈœytin
uiteindelik	ˈœytəi̯ndələk
uiteindelike	ˈœytəi̯ndələkə
uiteraard	əjtərɑːrt
uiteraard	ʔui̯təˈrɑːrt
uiterlike	ʉi̯tərlikə
uitermate	ʊi̯tɪrmɑtə
uiters	ʊi̯tərs
uiterste	ʉi̯tərstə
uiterstes	ʊi̯tərstəs
uitgaan	œytˈχɑːn
uitgaan	ˈeɪkən
uitgang	œytˈχɑŋ
uitgawe	œytχaʊ̯ə
uitgawes	ʌi̯tχɑʊ̯s
uitgeblaker	œytχblɑkər
uitgeblus	œytχblʏs
uitgebou	œytbəˈɣoʊ̯
uitgebrand	œytχəˈbrɑnt
uitgebreek	ʌɪtχəˈbrek
uitgebreid	ʌɪtχˈbɾɛit
uitgebreide	œytχbrei̯de
