a	a˧˥
nhấp	ɲɤ̆p˦˥
nhập	ɲɤ̆p˨ˀ˩ʔ
nhát	ɲak˦˥
nhạt	ɲak˨ˀ˩ʔ
nhặt	ɲăk˨ˀ˩ʔ
nhất	ɲɤ̆k˦˥
nhật	ɲɤ̆k˨ˀ˩ʔ
nhau	ɲăw˧˥
nhàu	ɲăw˦˨
nhảu	ɲăw˧˩˨
nhâu	ɲɤ̆w˧˥
nhầu	ɲɤ̆w˦˨
nhậu	ɲɤ̆w˨ˀ˩ʔ
nhay	ɲăj˧˥
nháy	ɲăj˩˧
nhày	ɲăj˦˨
nhảy	ɲăj˧˩˨
nhạy	ɲăj˨ˀ˩ʔ
nhây	ɲɤ̆j˧˥
nhầy	ɲɤ̆j˦˨
nhẩy	ɲɤ̆j˧˩˨
nhếch	ɲet˦˥
nhem	ɲɛm˧˥
nhèm	ɲɛm˦˨
nhẻm	ɲɛm˧˩˨
nhênh	ɲen˧˥
nhện	ɲen˨ˀ˩ʔ
nhen	ɲɛŋ˧˥
nhèn	ɲɛŋ˦˨
nhễ	ɲe˧˩˨
nhe	ɲɛ˧˥
(nhè)	ɲɛ˦˨
nhè	ɲɛ˦˨
nhẽ	ɲɛ˧˩˨
nhẻ	ɲɛ˧˩˨
nhẹ	ɲɛ˨ˀ˩ʔ
nheo	ɲeo˧˥
nhèo	ɲeo˦˨
nhẽo	ɲeo˧˩˨
nhếu	ɲɛu˩˧
nhều	ɲɛu˦˨
nhệu	ɲɛu˨ˀ˩ʔ
nhiếc	ɲiək˦˥
nhiễm	ɲiəm˧˩˨
nhiệm	ɲiəm˨ˀ˩ʔ
nhiên	ɲiəŋ˧˥
nhiếp	ɲiəp˦˥
nhiệt	ɲiək˨ˀ˩ʔ
nhiêu	ɲiəw˧˥
nhiều	ɲiəw˦˨
nhiễu	ɲiəw˧˩˨
nhím	ɲim˩˧
nhinh	ɲin˧˥
nhìn	ɲin˦˨
nhịn	ɲin˨ˀ˩ʔ
nhi	ɲi˧˥
nhí	ɲi˩˧
nhì	ɲi˦˨
nhĩ	ɲi˧˩˨
nhị	ɲi˨ˀ˩ʔ
nhíp	ɲip˦˥
nhịp	ɲip˨ˀ˩ʔ
nhiu	ɲiw˧˥
nhịu	ɲiw˨ˀ˩ʔ
nhoang	ɲwaŋ˧˥
nhoáng	ɲwaŋ˩˧
nhoay	ɲwăj˧˥
nhóc	ɲɔkp˦˥
nhọc	ɲɔkp˨ˀ˩ʔ
nhoen	ɲwen˧˥
nhoẻn	ɲwen˧˩˨
nhoe	ɲwe˧˥
nhoè	ɲwe˦˨
nhòe	ɲwe˦˨
nhoét	ɲwet˦˥
nhời	ɲɤj˦˨
nhồi	ɲoj˦˨
nhoi	ɲɔj˧˥
nhơm	ɲɤm˧˥
nhôm	ɲom˧˥
nhồm	ɲom˦˨
nhom	ɲɔm˧˥
nhóm	ɲɔm˩˧
nhòm	ɲɔm˦˨
nhỏm	ɲɔm˧˩˨
nhông	ɲoŋm˧˥
nhộng	ɲoŋm˨ˀ˩ʔ
nhong	ɲɔŋm˧˥
nhóng	ɲɔŋm˩˧
nhõng	ɲɔŋm˧˩˨
nhỏng	ɲɔŋm˧˩˨
nhơn	ɲɤŋ˧˥
nhớn	ɲɤŋ˩˧
nhờn	ɲɤŋ˦˨
nhỡn	ɲɤŋ˧˩˨
nhởn	ɲɤŋ˧˩˨
nhôn	ɲoŋm˧˥
nhốn	ɲoŋm˩˧
nhồn	ɲoŋm˦˨
nhộn	ɲoŋm˨ˀ˩ʔ
nhon	ɲɔŋm˧˥
nhón	ɲɔŋm˩˧
nhỏn	ɲɔŋm˧˩˨
nhọn	ɲɔŋm˨ˀ˩ʔ
nhọn,	ɲɔŋm˨ˀ˩ʔ
nhơ	ɲɤ˧˥
nhớ	ɲɤ˩˧
nhờ	ɲɤ˦˨
nhỡ	ɲɤ˧˩˨
nhố	ɲo˩˧
nhổ	ɲo˧˩˨
nho	ɲɔ˧˥
nhỏ	ɲɔ˧˩˨
nhọ	ɲɔ˨ˀ˩ʔ
nhớp	ɲɤp˦˥
nhóp	ɲɔp˦˥
nhớt	ɲɤk˦˥
nhợt	ɲɤk˨ˀ˩ʔ
nhột	ɲokp˨ˀ˩ʔ
nhót	ɲɔkp˦˥
nhọt	ɲɔkp˨ˀ˩ʔ
nhuần	ɲwɤ̆ŋ˦˨
nhuận	ɲwɤ̆ŋ˨ˀ˩ʔ
nhựa	ɲɯə˨ˀ˩ʔ
nhúc	ɲukp˦˥
nhục	ɲukp˨ˀ˩ʔ
nhức	ɲɯk˦˥
nhuế	ɲwe˩˧
nhuệ	ɲwe˨ˀ˩ʔ
nhúm	ɲum˩˧
nhung	ɲuŋm˧˥
nhúng	ɲuŋm˩˧
nhùng	ɲuŋm˦˨
nhũng	ɲuŋm˧˩˨
nhủng	ɲuŋm˧˩˨
nhụng	ɲuŋm˨ˀ˩ʔ
nhưng	ɲɯŋ˧˥
những	ɲɯŋ˧˩˨
nhửng	ɲɯŋ˧˩˨
nhun	ɲuŋm˧˥
nhún	ɲuŋm˩˧
nhùn	ɲuŋm˦˨
nhũn	ɲuŋm˧˩˨
nhủn	ɲuŋm˧˩˨
nhu	ɲu˧˥
nhù	ɲu˦˨
nhũ	ɲu˧˩˨
nhủ	ɲu˧˩˨
như	ɲɯ˧˥
nhừ	ɲɯ˦˨
nhữ	ɲɯ˧˩˨
nhuốc	ɲuək˦˥
nhược	ɲɯək˨ˀ˩ʔ
nhuôm	ɲuəm˧˥
nhuốm	ɲuəm˩˧
nhuộm	ɲuəm˨ˀ˩ʔ
nhường	ɲɯəŋ˦˨
nhường;	ɲɯəŋ˦˨
nhưỡng	ɲɯəŋ˧˩˨
nhượng	ɲɯəŋ˨ˀ˩ʔ
nhút	ɲukp˦˥
nhụt	ɲukp˨ˀ˩ʔ
nhựt	ɲɯk˨ˀ˩ʔ
nhuyễn	ɲwiəŋ˧˩˨
ních	nit˦˥
nịch	nit˨ˀ˩ʔ
niêm	niəm˧˥
niềm	niəm˦˨
niệm	niəm˨ˀ˩ʔ
niềng	niəŋ˦˨
niên	niəŋ˧˥
niết	niək˦˥
niêu	niəw˧˥
niệu	niəw˨ˀ˩ʔ
ninh	nin˧˥
nình	nin˦˨
nịnh	nin˨ˀ˩ʔ
ni	ni˧˥
nì	ni˦˨
nỉ	ni˧˩˨
nin	nin˧˥
nín	nin˩˧
nịt	nit˨ˀ˩ʔ
niu	niw˧˥
níu	niw˩˧
noãn	nwaŋ˧˩˨
nốc	nokp˦˥
nóc	nɔkp˦˥
nóc,	nɔkp˦˥
nọc	nɔkp˨ˀ˩ʔ
nơi	nɤj˧˥
nơi,	nɤj˧˥
nới	nɤj˩˧
nối	noj˩˧
nồi	noj˦˨
nồi,	noj˦˨
nỗi	noj˧˩˨
nổi	noj˧˩˨
nội	noj˨ˀ˩ʔ
nội,	noj˨ˀ˩ʔ
noi	nɔj˧˥
nói	nɔj˩˧
nói,	nɔj˩˧
nòi	nɔj˦˨
nơm	nɤm˧˥
nờm	nɤm˦˨
nôm	nom˧˥
nơ	nɤ˧˥
nỡ	nɤ˧˩˨
nở	nɤ˧˩˨
nợ	nɤ˨ˀ˩ʔ
nợ,	nɤ˨ˀ˩ʔ
nông	noŋm˧˥
nông,	noŋm˧˥
nồng	noŋm˦˨
nong	nɔŋm˧˥
nóng	nɔŋm˩˧
nòng	nɔŋm˦˨
nôn	noŋm˧˥
nộn	noŋm˨ˀ˩ʔ
non	nɔŋm˧˥
nón	nɔŋm˩˧
nõn	nɔŋm˧˩˨
nô	no˧˥
nỗ	no˧˩˨
nổ	no˧˩˨
nộ	no˨ˀ˩ʔ
no	nɔ˧˥
no,	nɔ˧˥
no;	nɔ˧˥
nó	nɔ˩˧
nõ	nɔ˧˩˨
nỏ	nɔ˧˩˨
nọ	nɔ˨ˀ˩ʔ
nọ,	nɔ˨ˀ˩ʔ
noong	nɔŋm˧˥
nớp	nɤp˦˥
nộp	nop˨ˀ˩ʔ
nốt	nokp˦˥
nót	nɔkp˦˥
nua	nuə˧˥
núa	nuə˩˧
nứa	nɯə˩˧
nữa	nɯə˧˩˨
nữa;	nɯə˧˩˨
nửa	nɯə˧˩˨
núc	nukp˦˥
nục	nukp˨ˀ˩ʔ
nức	nɯk˦˥
nực	nɯk˨ˀ˩ʔ
núi	nuj˩˧
num	num˧˥
núm	num˩˧
nung	nuŋm˧˥
núng	nuŋm˩˧
nùng	nuŋm˦˨
nũng	nuŋm˧˩˨
nưng	nɯŋ˧˥
nựng	nɯŋ˨ˀ˩ʔ
nu	nu˧˥
nụ	nu˨ˀ˩ʔ
nữ	nɯ˧˩˨
nử	nɯ˧˩˨
nước	nɯək˦˥
nước,	nɯək˦˥
nuôi	nuəj˧˥
nuôi,	nuəj˧˥
nuối	nuəj˩˧
nườm	nɯəm˦˨
nuông	nuəŋ˧˥
nương	nɯəŋ˧˥
nướng	nɯəŋ˩˧
nuốt	nuək˦˥
nuột	nuək˨ˀ˩ʔ
núp	nup˦˥
nút	nukp˦˥
nứt	nɯk˦˥
oác	wak˦˥
oai	waj˧˥
oái	waj˩˧
oải	waj˧˩˨
oàm	wam˦˨
oang	waŋ˧˥
oàng	waŋ˦˨
oăng	wăŋ˧˥
oanh	wan˧˥
oành	wan˦˨
oan	waŋ˧˥
oán	waŋ˩˧
oăn	wăŋ˧˥
oằn	wăŋ˦˨
oẳn	wăŋ˧˩˨
oản	waŋ˧˩˨
oát	wak˦˥
oắt	wăk˦˥
oặt	wăk˨ˀ˩ʔ
oa	wa˧˥
ốc	okp˦˥
ốc,	okp˦˥
ộc	okp˨ˀ˩ʔ
óc	ɔkp˦˥
óc,	ɔkp˦˥
ọc	ɔkp˨ˀ˩ʔ
oeng	wen˧˥
oe	we˧˥
oé	we˩˧
oẻ	we˧˩˨
ỏe	we˧˩˨
ơ	ɤ˧˥
ớ	ɤ˩˧
ờ	ɤ˦˨
ở	ɤ˧˩˨
ở,	ɤ˧˩˨
ợ	ɤ˨ˀ˩ʔ
ơi	ɤj˧˥
ời	ɤj˦˨
ôi	oj˧˥
ối	oj˩˧
ồi	oj˦˨
ổi	oj˧˩˨
oi	ɔj˧˥
ói	ɔj˩˧
òi	ɔj˦˨
ỏi	ɔj˧˩˨
ỡm	ɤm˧˩˨
ôm	om˧˥
ốm	om˩˧
ồm	om˦˨
ổm	om˧˩˨
om	ɔm˧˥
òm	ɔm˦˨
ỏm	ɔm˧˩˨
ơn	ɤŋ˧˥
ớn	ɤŋ˩˧
ờn	ɤŋ˦˨
ông	oŋm˧˥
ống	oŋm˩˧
ồng	oŋm˦˨
ong	ɔŋm˧˥
óng	ɔŋm˩˧
òng	ɔŋm˦˨
õng	ɔŋm˧˩˨
ỏng	ɔŋm˧˩˨
ôn	oŋm˧˥
ồn	oŋm˦˨
ổn	oŋm˧˩˨
ộn	oŋm˨ˀ˩ʔ
ỏn	ɔŋm˧˩˨
ô	o˧˥
ô,	o˧˥
ố	o˩˧
ồ	o˦˨
ổ	o˧˩˨
oong	ɔŋm˧˥
ộ	o˨ˀ˩ʔ
o	ɔ˧˥
o,	ɔ˧˥
ó	ɔ˩˧
ò	ɔ˦˨
ọ	ɔ˨ˀ˩ʔ
ốp	op˦˥
ộp	op˨ˀ˩ʔ
óp	ɔp˦˥
ọp	ɔp˨ˀ˩ʔ
ớt	ɤk˦˥
ớt,	ɤk˦˥
ốt	okp˦˥
ô-tô	o˧˥-to˧˥
ót	ɔkp˦˥
ọt	ɔkp˨ˀ˩ʔ
o-xi	ɔ˧˥-si˧˥
o-xít	ɔ˧˥-sit˦˥
o-xy	ɔ˧˥-si˧˥
pác	pak˦˥
pa	pa˧˥
pà	pa˦˨
pát	pak˦˥
pâu	pɤ̆w˧˥
pe-man-ga-nát	pɛ˧˥-maŋ˧˥-ɣa˧˥-nak˦˥
pen	pɛŋ˧˥
pê	pe˧˥
phác	fak˦˥
phắc	făk˦˥
phách	fak˦˥
phạch	fak˨ˀ˩ʔ
pha	fa˧˥
phá	fa˩˧
phà	fa˦˨
phả	fa˧˩˨
phai	faj˧˥
phái	faj˩˧
phải	faj˧˩˨
phải,	faj˧˩˨
phàm	fam˦˨
phăm	făm˧˥
phạm	fam˨ˀ˩ʔ
phầm	fɤ̆m˦˨
phẩm	fɤ̆m˧˩˨
phán	faŋ˩˧
phàn	faŋ˦˨
phăn	făŋ˧˥
phản	faŋ˧˩˨
phạn	faŋ˨ˀ˩ʔ
phân	fɤ̆ŋ˧˥
phân,	fɤ̆ŋ˧˥
phấn	fɤ̆ŋ˩˧
phần	fɤ̆ŋ˦˨
phẫn	fɤ̆ŋ˧˩˨
phận	fɤ̆ŋ˨ˀ˩ʔ
phang	faŋ˧˥
phăng	făŋ˧˥
phẳng	făŋ˧˩˨
phảng	faŋ˧˩˨
phanh	fan˧˥
phành	fan˦˨
phao	faw˧˥
pháo	faw˩˧
pháp	fap˦˥
pháp;	fap˦˥
phấp	fɤ̆p˦˥
phập	fɤ̆p˨ˀ˩ʔ
phát	fak˦˥
phát,	fak˦˥
phắt	făk˦˥
phạt	fak˨ˀ˩ʔ
phất	fɤ̆k˦˥
phật	fɤ̆k˨ˀ˩ʔ
phau	făw˧˥
phẫu	fɤ̆w˧˩˨
phay	făj˧˥
phây	fɤ̆j˧˥
phẩy	fɤ̆j˧˩˨
phéc	fɛk˦˥
phê	fe˧˥
phế	fe˩˧
phề	fe˦˨
phệ	fe˨ˀ˩ʔ
phe	fɛ˧˥
phè	fɛ˦˨
phên	fen˧˥
phèn	fɛŋ˦˨
phèng	fɛŋ˦˨
phềnh	fen˦˨
phệnh	fen˨ˀ˩ʔ
phép	fɛp˦˥
phét	fɛk˦˥
phẹt	fɛk˨ˀ˩ʔ
phều	fɛu˦˨
phìa	fiə˦˨
phiếm	fiəm˩˧
phiên	fiəŋ˧˥
phiên,	fiəŋ˧˥
phiến	fiəŋ˩˧
phiền	fiəŋ˦˨
phiệt	fiək˨ˀ˩ʔ
phiêu	fiəw˧˥
phiếu	fiəw˩˧
phi	fi˧˥
phí	fi˩˧
phì	fi˦˨
phỉ	fi˧˩˨
phim	fim˧˥
phím	fim˩˧
phin	fin˧˥
phìn	fin˦˨
phinh	fin˧˥
phình	fin˦˨
phĩnh	fin˧˩˨
phỉnh	fin˧˩˨
phịu	fiw˨ˀ˩ʔ
phốc	fokp˦˥
phơ	fɤ˧˥
phờ	fɤ˦˨
phở	fɤ˧˩˨
phô	fo˧˥
phố	fo˩˧
phổ	fo˧˩˨
pho	fɔ˧˥
phó	fɔ˩˧
phò	fɔ˦˨
phơi	fɤj˧˥
phới	fɤj˩˧
phôi	foj˧˥
phối	foj˩˧
phổi	foj˧˩˨
phòi	fɔj˦˨
phôm	fom˧˥
phồm	fom˦˨
phơn	fɤŋ˧˥
phớn	fɤŋ˩˧
phởn	fɤŋ˧˩˨
phồn	foŋm˦˨
phông	foŋm˧˥
phồng	foŋm˦˨
phỗng	foŋm˧˩˨
phổng	foŋm˧˩˨
phộng;	foŋm˨ˀ˩ʔ
phong	fɔŋm˧˥
phóng	fɔŋm˩˧
phòng	fɔŋm˦˨
phỏng	fɔŋm˧˩˨
phọng,	fɔŋm˨ˀ˩ʔ
phoóc	fɔkp˦˥
phốp	fop˦˥
phớt	fɤk˦˥
phốt	fokp˦˥
phọt	fɔkp˨ˀ˩ʔ
phứa	fɯə˩˧
phúc	fukp˦˥
phúc,	fukp˦˥
phục	fukp˨ˀ˩ʔ
phức	fɯk˦˥
phu	fu˧˥
phú	fu˩˧
phù	fu˦˨
phũ	fu˧˩˨
phủ	fu˧˩˨
phủ;	fu˧˩˨
phụ	fu˨ˀ˩ʔ
phui	fuj˧˥
phủi	fuj˧˩˨
phun	fuŋm˧˥
phún	fuŋm˩˧
phùn	fuŋm˦˨
phừn	fɯŋ˦˨
phung	fuŋm˧˥
phúng	fuŋm˩˧
phùng	fuŋm˦˨
phụng	fuŋm˨ˀ˩ʔ
phưng	fɯŋ˧˥
phừng	fɯŋ˦˨
phước	fɯək˦˥
phướn	fɯəŋ˩˧
phương	fɯəŋ˧˥
phường	fɯəŋ˦˨
phượng	fɯəŋ˨ˀ˩ʔ
phút	fukp˦˥
pin	pin˧˥
pi	pi˧˥
pít	pit˦˥
pô-li-me	po˧˥-li˧˥-mɛ˧˥
pom	pɔm˧˥
pơ	pɤ˧˥
pô	po˧˥
puốc	puək˦˥
pu	pu˧˥
quách	wak˦˥
quác	wak˦˥
quắc	wăk˦˥
quạc	wak˨ˀ˩ʔ
quai	waj˧˥
quái	waj˩˧
quái,	waj˩˧
quài	waj˦˨
quải	waj˧˩˨
quăm	wăm˧˥
quằm	wăm˦˨
quặm	wăm˨ˀ˩ʔ
quang	waŋ˧˥
quáng	waŋ˩˧
quáng,	waŋ˩˧
quàng	waŋ˦˨
quăng	wăŋ˧˥
quẳng	wăŋ˧˩˨
quãng	waŋ˧˩˨
quảng	waŋ˧˩˨
quầng	wɤ̆ŋ˦˨
quẩng	wɤ̆ŋ˧˩˨
quanh	wan˧˥
quánh	wan˩˧
quành	wan˦˨
quạnh	wan˨ˀ˩ʔ
quan	waŋ˧˥
quán	waŋ˩˧
quăn	wăŋ˧˥
quằn	wăŋ˦˨
quản	waŋ˧˩˨
quặn	wăŋ˨ˀ˩ʔ
quân	wɤ̆ŋ˧˥
quấn	wɤ̆ŋ˩˧
quần	wɤ̆ŋ˦˨
quẫn	wɤ̆ŋ˧˩˨
quẩn	wɤ̆ŋ˧˩˨
quận	wɤ̆ŋ˨ˀ˩ʔ
quắp	wăp˦˥
quặp	wăp˨ˀ˩ʔ
quát	wak˦˥
quắt	wăk˦˥
quạt	wak˨ˀ˩ʔ
quặt	wăk˨ˀ˩ʔ
quất	wɤ̆k˦˥
quật	wɤ̆k˨ˀ˩ʔ
quau	wăw˧˥
quàu	wăw˦˨
quạu	wăw˨ˀ˩ʔ
qua	wa˧˥
qua,	wa˧˥
(quá	wa˩˧
quá	wa˩˧
quá,	wa˩˧
quà	wa˦˨
quả	wa˧˩˨
quạ	wa˨ˀ˩ʔ
quay	wăj˧˥
quày	wăj˦˨
quảy	wăj˧˩˨
quây	wɤ̆j˧˥
quấy	wɤ̆j˩˧
quầy	wɤ̆j˦˨
quậy	wɤ̆j˨ˀ˩ʔ
quếch	wet˦˥
quệch	wet˨ˀ˩ʔ
queng	wɛŋ˧˥
quếnh	wen˩˧
quềnh	wen˦˨
quệnh	wen˨ˀ˩ʔ
quên	wen˧˥
quến	wen˩˧
quen	wɛŋ˧˥
quèn	wɛŋ˦˨
queo	weo˧˥
quèo	weo˦˨
quẹo	weo˨ˀ˩ʔ
quết	wet˦˥
quét	wɛk˦˥
quẹt	wɛk˨ˀ˩ʔ
quếu	wɛu˩˧
quều	wɛu˦˨
quê	we˧˥
quế	we˩˧
quế,	we˩˧
quề	we˦˨
que	wɛ˧˥
què	wɛ˦˨
quẻ	wɛ˧˩˨
quình	win˦˨
quít	wit˦˥
qui	wi˧˥
quí	wi˩˧
quì	wi˦˨
quĩ	wi˧˩˨
quỉ	wi˧˩˨
quỉ,	wi˧˩˨
quị	wi˨ˀ˩ʔ
quốc	wokp˦˥
quới	wɤj˩˧
quờn	wɤŋ˦˨
quơ	wɤ˧˥
quờ	wɤ˦˨
quở	wɤ˧˩˨
quyên	wiɛŋ˧˥
quyến	wiɛŋ˩˧
quyền	wiɛŋ˦˨
quyển	wiɛŋ˧˩˨
quyết	wiɛk˦˥
quýnh	win˩˧
quỳnh	win˦˨
quýt	wit˦˥
quy	wi˧˥
quý	wi˩˧
quỳ	wi˦˨
quỹ	wi˧˩˨
quỷ	wi˧˩˨
quỵ	wi˨ˀ˩ʔ
rách	ʐak˦˥
rạch	ʐak˨ˀ˩ʔ
rác	ʐak˦˥
rắc	ʐăk˦˥
rạc	ʐak˨ˀ˩ʔ
ra-đi-ô	ʐa˧˥-di˧˥-o˧˥
rái	ʐaj˩˧
rãi	ʐaj˧˩˨
rải	ʐaj˧˩˨
ram	ʐam˧˥
rám	ʐam˩˧
răm	ʐăm˧˥
rắm	ʐăm˩˧
rằm	ʐăm˦˨
rặm	ʐăm˨ˀ˩ʔ
râm	ʐɤ̆m˧˥
rấm	ʐɤ̆m˩˧
rầm	ʐɤ̆m˦˨
rậm	ʐɤ̆m˨ˀ˩ʔ
rang	ʐaŋ˧˥
ráng	ʐaŋ˩˧
ràng	ʐaŋ˦˨
răng	ʐăŋ˧˥
răng,	ʐăŋ˧˥
rằng	ʐăŋ˦˨
rạng	ʐaŋ˨ˀ˩ʔ
ranh	ʐan˧˥
rành	ʐan˦˨
rãnh	ʐan˧˩˨
rảnh	ʐan˧˩˨
ran	ʐaŋ˧˥
rán	ʐaŋ˩˧
ràn	ʐaŋ˦˨
răn	ʐăŋ˧˥
rắn	ʐăŋ˩˧
rắn,	ʐăŋ˩˧
rằn	ʐăŋ˦˨
rạn	ʐaŋ˨ˀ˩ʔ
rân	ʐɤ̆ŋ˧˥
rấn	ʐɤ̆ŋ˩˧
rần	ʐɤ̆ŋ˦˨
rận	ʐɤ̆ŋ˨ˀ˩ʔ
rao	ʐaw˧˥
ráo	ʐaw˩˧
rào	ʐaw˦˨
rảo	ʐaw˧˩˨
rạo	ʐaw˨ˀ˩ʔ
ráp	ʐap˦˥
rắp	ʐăp˦˥
rạp	ʐap˨ˀ˩ʔ
rấp	ʐɤ̆p˦˥
rập	ʐɤ̆p˨ˀ˩ʔ
rát	ʐak˦˥
rặt	ʐăk˨ˀ˩ʔ
rất	ʐɤ̆k˦˥
rau	ʐăw˧˥
rau,	ʐăw˧˥
ráu	ʐăw˩˧
râu	ʐɤ̆w˧˥
râu,	ʐɤ̆w˧˥
rầu	ʐɤ̆w˦˨
ray	ʐăj˧˥
ráy	ʐăj˩˧
rày	ʐăj˦˨
rầy	ʐɤ̆j˦˨
rẫy	ʐɤ̆j˧˩˨
(ra)	ʐa˧˥
ra	ʐa˧˥
ra,	ʐa˧˥
rá	ʐa˩˧
rá,	ʐa˩˧
rà	ʐa˦˨
rã	ʐa˧˩˨
rả	ʐa˧˩˨
rạ	ʐa˨ˀ˩ʔ
rếch	ʐet˦˥
reng	ʐɛŋ˧˥
rềnh	ʐen˦˨
rểnh	ʐen˧˩˨
rên	ʐen˧˥
rền	ʐen˦˨
ren	ʐɛŋ˧˥
rén	ʐɛŋ˩˧
rèn	ʐɛŋ˦˨
reo	ʐeo˧˥
réo	ʐeo˩˧
rèo	ʐeo˦˨
rẻo	ʐeo˧˩˨
rẹo	ʐeo˨ˀ˩ʔ
rệp	ʐep˨ˀ˩ʔ
rết	ʐet˦˥
rét	ʐɛk˦˥
rêu	ʐɛu˧˥
rệu	ʐɛu˨ˀ˩ʔ
rế	ʐe˩˧
rề	ʐe˦˨
rề,	ʐe˦˨
rễ	ʐe˧˩˨
rể	ʐe˧˩˨
re	ʐɛ˧˥
ré	ʐɛ˩˧
rè	ʐɛ˦˨
rẽ	ʐɛ˧˩˨
rẻ	ʐɛ˧˩˨
rịa-vũng	ʐiə˨ˀ˩ʔ-juŋm˧˩˨
rìa	ʐiə˦˨
rỉa	ʐiə˧˩˨
rích	ʐit˦˥
rịch	ʐit˨ˀ˩ʔ
riêng	ʐiəŋ˧˥
riềng	ʐiəŋ˦˨
riết	ʐiək˦˥
riêu	ʐiəw˧˥
rinh	ʐin˧˥
rình	ʐin˦˨
rin	ʐin˧˥
rít	ʐit˦˥
riu	ʐiw˧˥
ríu	ʐiw˩˧
rìu	ʐiw˦˨
ri	ʐi˧˥
rí	ʐi˩˧
rì	ʐi˦˨
rĩ	ʐi˧˩˨
rỉ	ʐi˧˩˨
rị	ʐi˨ˀ˩ʔ
rốc	ʐokp˦˥
rộc	ʐokp˨ˀ˩ʔ
róc	ʐɔkp˦˥
rọc	ʐɔkp˨ˀ˩ʔ
rơi	ʐɤj˧˥
rơi,	ʐɤj˧˥
rời	ʐɤj˦˨
rối	ʐoj˩˧
rồi	ʐoj˦˨
rỗi	ʐoj˧˩˨
roi	ʐɔj˧˥
rơm	ʐɤm˧˥
rờm	ʐɤm˦˨
rởm	ʐɤm˧˩˨
rôm	ʐom˧˥
rồm	ʐom˦˨
ròm	ʐɔm˦˨
rông	ʐoŋm˧˥
rống	ʐoŋm˩˧
rồng	ʐoŋm˦˨
rỗng	ʐoŋm˧˩˨
rộng	ʐoŋm˨ˀ˩ʔ
rong	ʐɔŋm˧˥
ròng	ʐɔŋm˦˨
rơn	ʐɤŋ˧˥
rờn	ʐɤŋ˦˨
rởn	ʐɤŋ˧˩˨
rợn	ʐɤŋ˨ˀ˩ʔ
rôn	ʐoŋm˧˥
rốn	ʐoŋm˩˧
rồn	ʐoŋm˦˨
rổn	ʐoŋm˧˩˨
rộn	ʐoŋm˨ˀ˩ʔ
rón	ʐɔŋm˩˧
ròn	ʐɔŋm˦˨
rợp	ʐɤp˨ˀ˩ʔ
rớt	ʐɤk˦˥
rốt	ʐokp˦˥
rột	ʐokp˨ˀ˩ʔ
rót	ʐɔkp˦˥
rọt	ʐɔkp˨ˀ˩ʔ
rơ	ʐɤ˧˥
rờ	ʐɤ˦˨
rỡ	ʐɤ˧˩˨
rợ	ʐɤ˨ˀ˩ʔ
rô	ʐo˧˥
rồ	ʐo˦˨
rỗ	ʐo˧˩˨
rổ	ʐo˧˩˨
rộ	ʐo˨ˀ˩ʔ
ro	ʐɔ˧˥
ró	ʐɔ˩˧
rò	ʐɔ˦˨
rõ	ʐɔ˧˩˨
rỏ	ʐɔ˧˩˨
rọ	ʐɔ˨ˀ˩ʔ
rùa	ʐuə˦˨
rủa	ʐuə˧˩˨
rưa	ʐɯə˧˥
rữa	ʐɯə˧˩˨
rửa	ʐɯə˧˩˨
rựa	ʐɯə˨ˀ˩ʔ
rúc	ʐukp˦˥
rục	ʐukp˨ˀ˩ʔ
rực	ʐɯk˨ˀ˩ʔ
rúi	ʐuj˩˧
rủi	ʐuj˧˩˨
rúm	ʐum˩˧
rùm	ʐum˦˨
rung	ʐuŋm˧˥
rúng	ʐuŋm˩˧
rùng	ʐuŋm˦˨
rủng	ʐuŋm˧˩˨
rụng	ʐuŋm˨ˀ˩ʔ
rưng	ʐɯŋ˧˥
rừng	ʐɯŋ˦˨
rửng	ʐɯŋ˧˩˨
run	ʐuŋm˧˥
rún	ʐuŋm˩˧
rủn	ʐuŋm˧˩˨
ruốc	ʐuək˦˥
rước	ʐɯək˦˥
ruồi	ʐuəj˦˨
ruổi	ʐuəj˧˩˨
rươi	ʐɯəj˧˥
rười	ʐɯəj˦˨
rươm	ʐɯəm˧˥
rườm	ʐɯəm˦˨
ruồng	ʐuəŋ˦˨
ruỗng	ʐuəŋ˧˩˨
ruộng	ʐuəŋ˨ˀ˩ʔ
rương	ʐɯəŋ˧˥
rường	ʐɯəŋ˦˨
ruôn	ʐuəŋ˧˥
rướn	ʐɯəŋ˩˧
rườn	ʐɯəŋ˦˨
rượn	ʐɯəŋ˨ˀ˩ʔ
ruột	ʐuək˨ˀ˩ʔ
rượu	ʐɯəw˨ˀ˩ʔ
rụp	ʐup˨ˀ˩ʔ
rút	ʐukp˦˥
rụt	ʐukp˨ˀ˩ʔ
rứt	ʐɯk˦˥
ru	ʐu˧˥
rú	ʐu˩˧
rù	ʐu˦˨
rũ	ʐu˧˩˨
rủ	ʐu˧˩˨
rụ;	ʐu˨ˀ˩ʔ
sách	ʂak˦˥
sạch	ʂak˨ˀ˩ʔ
sạch,	ʂak˨ˀ˩ʔ
sắc	ʂăk˦˥
sặc	ʂăk˨ˀ˩ʔ
sai	ʂaj˧˥
sái	ʂaj˩˧
sài	ʂaj˦˨
sãi	ʂaj˧˩˨
sải	ʂaj˧˩˨
sam	ʂam˧˥
