oн	uŋ
кімсіңдер	kimˈsɪŋdɪr
кіндік	kəndɯ̞k
кінәлерді	kinælæɾˈdi
кінәлі	kinæli
кінәлісіз	kinælɪsɪz
кір	kir
кір	kɘr
кіргізгенімізді	kirgizʁeniˈmisdi
кіргізді	kirgɪsˈdi
кіргіңіз	kirgiŋiz
кірді	kirˈdi
кіре	kirɘ
кіретін	kiɾeˈtin
кірме	kirme
кірпіктер	kirpɪkˈtɪr
кірсін	kirˈsɪn
кіріп	kirɪp
кіріп	kɯ̞rɯ̞p
кіріпті	kirɪptɪ
кірісейік	kirisejɪk
кірісіңдер	kirisɪŋdɘr
кіріңдер	kirɪŋdɪr
кіріңіз	kirəˈnɪz
кісі	kiˈsi
кісі	kʰɘsɘ
кісіден	kiˈsɪdɪn
кісілерге	kiˈsɪlɪrge
кісіні	kiˈsini
кісінің	kiˈsɪniŋ
кітабы	kitɑbɯ
кітап	kitɑp
кітап	kɘ̥̆tæp
кітап	kɘ̥̆tɑ̝p
кітапнама	kɘtɑpnɑmɑ
кітаптап	kitɑptɑp
кітапхана	kʰtɑpχɑnɑ
кіш	kiʃ
кішкене	kiʃkɪnɛ
кішкенетайсың	kiʃkeneˈtajsɯŋ
кішкентай	kiʃkɘnˈtɑj
кішкентай	kɘʃkʲentɑj
күдіктенсең	gydɪktʲenˈseŋ
күдікті	gydɪtʃi
күдіктіге	gydɪtʃi
күдіктімін	gydɪktɪˈmɪn
күзет	gɛzɛt
күзетшілік	ˈkʏzɪtʃɪlɪk
күзетшілікке	ˈkʏzɪtʃɪlɪkːe
күйде	kujˈde
күйеді	kujɪˈdɪ
күйеуі	kujɘwɘ
күйеуім	kujewim
күйеуңіз	kujewŋiz
күйзелісті	kujzɪlɪsˈtɪ
күйсандық	kʏjsɑndɯq
күкірт	kʉkirt
күкіртті	kuːkɪrtːi
күлгін	kʏlgʏ̞n
күлкілі	gʏlgɪlɪ
күмбез	gʉ̞mbø̞z
күмбез	kʰʉ̞mbø̞z
күн	gʉ̞n
күн	kyn
күн	kʏ̞n
күн	kʰʉ̞n
күнбағыс	kʏnbɑɣɯs
күнде	qynde
күндегідей	qynd̪eɣidej
күндей	qynˈdej
күнделік	kʏndelɘk
күнді	qynˈdi
күннен	qynˈnɛn
күні	kuni
күніңдегі	kuˈnɯndeɣi
күнә	kene
күнәкар	kynækɑr
күнәсінен	qynæsinɘn
күнәңды	qynæŋdɯ
күнәһар	kynæhɑr
күректер	kuˈrɛktɛr
күрескем	kuɾesqem
күресуде	kyresuˈde
күресіп	ku̞ɾe̞ˈsip
күріш	kɯ̞rɯ̞ʂ
күте	gʉˈtɘ
күтем	kuˈtem
күтпеген	ˈkʏtpɘgɘn
күтуге	kutuɣe
күтіп	kuˈtɪp
күш	kuʃ
күшейтеміз	kuʃejteˈmiz
күшпен	kuʃˈpɛn
күштері	kuʃteˈri
күшті	kuʃti
күші	kuʃi
күшән	kʉʃæn
күңгірт	χʏ̞nkɪ̞rt
кәдімгі	ˈkædɪmɣɪ
кәзір	ˈkæzɪr
кәмпит	kampið
кәмпит	kæmpɘjt
кәне	qæne
кәріптасты	kerɪptɑstɯ
кәріс	karɛs
кәсіпкер	ˈkæsɪpkɪr
көбелек	tøbɛlɛk
көбеюде	kobejude
көбіне	kobine
көбірек	kobiˈrek
көгілдір	kʏ̞gʏldʏ̞r
көз	koz
көзге	koʒge
көздерді	koːzdɘrˈdiː
көздері	koːzderi
көзімді	koˈzɯmdɯ
көзімізді	koˈzɯmɯzdɯ
көзін	koˈzɪn
көзің	koˈziŋ
көзіңді	koziŋdi
көзіңізді	koziŋizˈdi
көзқарас	kozɟɑɾas
көйлек	køjløk
көк	koq
көк	køk
көке	kokˈe
көкек	køkøk
көкекшөп	køkøkʃøp
көктем	køktøm
көкшетау	kɵkʂʲetɑw
көл	røl
көлігім	koːliɣim
көлігіне	koːlɪgɪne
көлігіңде	koːlɪɣeːŋde
көлігіңді	koːliɣiŋdi
көлікте	koˈlɯktɛ
көліктегі	koliqteɣi
көлікті	koˈlɪkti
көмегімді	komɛɣɪmdi
көмегіңе	komeɣiŋe
көмегіңмен	komæɣiŋˈmen
көмегіңіз	komeɣiˈŋiz
көмегіңізге	komɛʁiŋizge
көмек	kømøk
көмектесе	koˈmektʲesæ
көмектеседі	komɛktɛsɛdi
көмектесемін	komɛktɛsɛmin
көмектесер	komɛktɛsɛr
көмектесесің	komɛktɛsɛˈsɪŋ
көмектесесіңдер	komɛktɛsɪˈsɪŋdɛr
көмектескен	komɛktɛskʲɪn
көмектеспекшісің	komɛktɛspɛkʃiˈsɪŋ
көмектессең	komɛktɛsɛŋ
көмектесуі	komɛktɛsʉj
көмектесіңдер	komɛktɛˈsɪŋdɛr
көмектесіңізші	komɛktɛsiŋɯʃ
көмекші	kømøkʃɘ
көмірге	komirɣe
көміртек	kʏ̞mɪ̞rtʲik
көн	køn
көндірді	koːndirɪr
көндіре	koːndiɾe
көндіру	ˈkøndiɾu
көнсең	koːnseŋ
көну	konˈu
көп	kop
көптеп	koˈptep
көпшілік	koepʃiˈlɪk
көпірге	kopirɣe
көр	koer
көргем	gøɾˈgem
көргенімді	gørgeɲimˈdi
көргенін	kørgɛnin
көргім	kʏrˈɣɪm
көргіміз	kʏ̞rgʏ̞mʏ̞z
көргісі	koerɣiˈsi
көрді	gørˈdi
көре	koˈre
көреді	koˈrɪdi
көрейік	koɾejik
көрейін	koɾejˈin
көреміз	koɾemiz
көресіз	ko̙ˈresɪz
көресің	koɾesiŋ
көресіңдер	koɾesɪŋdɛr
көркем	korkem
көркемдеуші	gøɾkɘmdɘwʃɘ
көрме	kørmø
көрмеген	gøɾmɛgøn
көрмегенсің	koːrmɪge̞nsɪŋ
көрмегені	ˈkørmɛgæni
көрмеймін	gørmɛjmin
көрмейсің	koɾmejˈsiŋ
көрсем	kórsem
көрсете	koɾsɛtɛ
көрсетеді	ˈkørsɘtɘdɘ
көрсетемін	koɾseˈtemʏn
көрсететінімді	ko̞ɾsetetimˈdi
көрсеткен	koɾsetˈken
көрсеткім	koɾˈsetkim
көрсетпедің	koɾsetpeˈdiŋ
көрсетпейін	koɾsetpeˈjin
көрсетсек	kʏrsɘtˈsɘk
көрсетуге	koɾsɛtʊɣe
көрсетіңіз	koersɛtiŋiz
көрсін	koɾˈsɪn
көру	koru
көруге	koruɣe
көруім	koruːm
көрші	koɾʃi
көрік	kurɯ̞k
көрінбеген	koˈrɪnbegen
көрінбейді	koˈrinbɛjdi
көрінген	koˈrɪŋɪn
көрінді	koˈrɪndɪ
көрінеді	koɾinedi
көрінетін	ko̞rinetʰin
көріністен	koɾiniˈstʰen
көріп	koˈrip
көріпкелдігі	koˈripkeldɪˌgɪ
көрісеміз	koˈɾisemiz
көріңіз	koɾiŋiz
көсемше	kɵsimʃa
көтерем	kotɛˈrɛm
көтерме	køtɛrmɛ
көтерсеңіздер	kotɘrsɘŋɯzdɘr
көтеру	kø'tɛrʊ
көтеру	køterʏw
көтерілген	koteriɫgen
көтеріліс	køtʲerɪlɪs
көтерілістер	koteɾiɫistər
көтерілісші	køtʲerɪlɪsʃɪ
көтеріп	kotɛˈɾip
көтеріңдер	koteriŋder
көшеге	koʃege
көшесінде	koʃesinde
көшірме	koʃɪrˈmɘ
көңілдеріңді	koŋɯldɪrɪŋdɪ
көңілді	koŋɪ̞ɫdɪ̞
көңілді	koŋɯldɯ
көңілді	qøŋilde
көңілдігіңді	koŋɯldɯʁɯŋdɯ
көңілі	koŋɯˈli
көңілімді	koŋiɫimdi
көңілін	koŋɯˈlɯn
көңілінен	koŋilɪnen
көңіліңді	koŋiɫiŋdi
лабораторияда	ɫɑbɒrɑɾɪjɑdɑ
лабораториясы	ɫɑbɒrɑtɔrʲɪjɑsɯ
лагуна	ɫɐgunə
лайық	ɫɑjɯq
лайықты	ɫɑjɯqˈtɯ
лампыша	ɫampoʃa
ландшафт	lɐnʃaft
лас	ɫɑs
ласпын	ɫɑsˈpɯn
лауазымның	ɫɑwɑzɯmˈnɯŋ
лашық	ɫɑʂɯ̞q
лақтырып	ɫɑqtɯˈɾɯp
лаңи	ɫɑˈŋɪ
лезде	leʐdɘ
лексикография	lʲɪksʲɪkɐgrafʲɪjə
лемниската	lʲɪmnʲɪskatə
лемур	lʲɪmur
леңгір	lɛngr
ли	ɫi
либерал	lʲɪbʲɪraɫ
либерализм	lʲɪbʲɪrɐlʲizm
либерализмге	ɫiβerɑlɪzmɣe
ливерморий	lʲɪvʲɪrmorʲɪj
ливияда	ɫɯβʲiˈjɑdɑ
ливияға	ɫɯβiˈjɑɣɑ
лизосомды	ɫɪzɔsɔmdɯ
ликёр	lʲɪkʲɵr
лимон	limon
лимон	lʲɪmon
лимонен	lʲɪmɐnɛn
лимфоцит	lʲɪmfɐtsɨt
линолеум	lʲɪnolʲɪʊm
липидті	ɫipɪtˈtɪ
лисаковск	lisakovsk
литосфера	lʲɪtɐsfʲerə
лифт	lif
лифтпен	ɫift̪pen
лихтенштейн	lʲɪxtɨnʃtɛjn
лицензия	lʲɪtsɛnʲzʲɪjə
лицензияны	ɫitsɛnzʲiˈjɑnɯ
логика	ɫogʲɪkə
логос	ɫogəs
лондонға	ɫɔndɔŋɑ
лори	ɫorʲɪ
люкс	lʲuks
люксембург	lʲʊksʲɪmburg
люмен	lʲʉmʲɪn
лютеций	lʲʊtɛtsɨj
лібә	ɫɪbæ
ләйлек	læjlɪk
ма	ma
мавритания	məvrʲɪtanʲɪjə
магма	magmə
магний	magnʲɪj
мадагаскар	mədəgɐskar
мазалайтын	mazɑɫɑjˈtɯn
мазам	mazam
мазар	mʌzɑr
мазақ	maˈzɑq
май	maj
маймыл	mɑjmɯɫ
маймылдар	majmɯɫdɑr
маймылдарға	majmɯɫdɑrʁɑ
маймылы	majmɯɫɯ
маймылға	majmɯɫʁɑ
майонез	mɐjɔnɛz
макака	mɐkakə
макерер	makeˈrɪr
макиндай	makɪndɑj
макияж	məkʲɪjaʒ
маккензиді	maˈkʲɛnzɪdɪ
макларен	maglɑˈrɛn
малай	malaj
малдер	maɫdɪr
малдерге	maɫdɪrge
малдермен	maɫdɪrˈmɪn
малдерсіз	maɫdɘrˈsɯz
малшы	mɑɫʂɯ
малшы	mɑɫʃɯ
малынған	maɯɫɯŋ
малып	maɫɯp
маляму	malamu
мама	mama
мама	mɑmɑ
маман	maːman
мамандар	maːmɑnˈdɑr
мамыр	mamor
мамыр	mamɯr
марафон	mərɐfon
маржан	mɑrʒɑn
марихуана	mərʲɪxʊanə
мария	marijɑ
мархабат	mɑrχʊ̞bɑt
маршал	marʃəɫ
марғау	maraw
масанга	masanɣa
масанганы	masaŋgaˈnɯ
масанганың	masaŋɣaˈnɯŋ
маскарад	məskɐrad
маскүнем	maʃkʉˈnæm
массачусетс	ˌmæsəˈtʃuːsɪts
мата	mata
мата	mɑtɑ
матай	mataj
матбуғат	mɑtbuʁɑt
математика	mətʲɪmatʲɪkə
материаландырған	mateɾialaːndɯɾʁɑn
материалдар	mateɾijɑɫˈdɑr
материализм	mətʲɪrʲɪɐlʲizm
мау	maʊ
мауға	maʊɣə
махаббат	maχɑbɑt
махаббаттың	maχɑββɑtˈtɯŋ
машинадан	maʃɯnaˈdɑn
машинаның	maʃɯnɑˈnɯŋ
машинасы	maʃɯnasɯ
машинаға	maʃɯnaʁə
маған	maɣan
мағлұмат	mɑɣɫumɑp
мағына	mɑʁənɑ
мағынасын	maɣɯnasɯn
мақала	maqala
мақаланы	maqalani
мақпалшер	mɑqpɑlʃɪ̞r
мақсат	maqsɑt
мақсат	mɑqsɑp
мақсатымызға	maqsɑtɯmɯzɣɑ
мақтан	maktɑm
мақтан	maʁˈtɑn
мақұлдау	mɑquɫdɑw
маңда	maɲdɑ
маңдай	mændæ
маңызды	maŋɯzdɯ
маңызды	mɑŋɯzdɯ
маңқа	mɑŋka
ме	me
медаль	mʲɪdalʲ
медецина	medetsɪnə
медииналық	mediːnalɯq
медицина	mʲɪdʲɪtsɨnə
медициналық	medʲitsɪnɑˈɫɯq
медиқалық	medʑɑˈɫɯq
мезон	mʲɪzon
мейман	majˈman
мейоз	mʲɪjɵs
мейрамхана	mʲejrɑmxɑnɑ
мейрімді	majˈrɪmˌdɪ
мейірбике	majɪrbɪkɪ
мейірімді	majɪˈrɪmdi
мектебің	ˈmɛktɘbiŋ
мектеп	mektip
мектеп	ˈmɛktɛp
мектепке	ˈmɛktɛpkɛ
мектептен	ˈmɛktɛptɛn
мектептер	ˈmɛktɛptɛr
мектептеріңіз	ˈmɛktɛptæɾɪŋɪz
мектептің	ˈmɛktɛptɪŋ
меланезия	mʲɪɫɐnʲezʲɪjə
мемелекеті	ˈmɛmɛlɪkʲɪtɪ
мен	men
мен	miː
менде	mende
менен	menen
менмін	menˈmin
меннен	menen
менсіз	menˈsɪz
менсінбеймін	mensɪnbejˈmɪn
мені	menʲi
менікіндей	menikɪndɛj
менімен	menimɪn
менің	menʲiŋ
менің	mʲenɪ̞ŋ
меніңше	meniŋʃe
мереке	meɾeki
мерит	merit
метафизика	mʲɪtɐfʲizʲɪkə
метеорология	mʲɪtʲɪərɐlogʲɪjə
метрдотель	mɛtrdotɛlʲ
метро	mʲɪtro
меірбике	miɪrbɪkʲe
ми	mi
ми	mˈi
мидан	midɑn
мидың	miˈdɯŋ
микроавтобус	mʲikrɐɐftobʊs
микроскоп	mʲɪkrɐskop
микрофон	mʲɪkrɐfon
миллион	mʲɪlʲɪon
минимализм	mʲɪnʲɪmɐlʲizm
министр	mʲɪnʲistr
министірлік	ministɪrˈlɪk
министірім	miniˈstiɾim
министірімін	miniˈstirimɪn
минут	minʊt
минут	miˈnut
минуттай	miˈnʊttɑj
миокардит	mʲɪəkɐrdʲit
митохондрия	mʲɪtɐxondrʲɪjə
могамбо	moɣɑmˈbo
модуль	modʊlʲ
мойнын	mojnɯn
мойнына	moɯnɯnɑ
мойнынан	moɯnɯnɑn
мойын	mojɯn
мойында	mojɯnda
молаларды	ˈmɔɫɑɫɑɹdɯ
молдова	mɐldovə
молекула	mɐlʲekʊlə
мольберт	mɐlʲbʲert
момындық	mʊ̞mʊ̞ndʊ̞q
монархия	mɐnarxʲɪɪ̯ə
монизм	mɐnʲizm
моника	ˈmɔnɪkə
мониканы	ˈmɔnɪkɑnɪ
монография	mənɐgrafʲɪjə
мономер	mənɐmʲer
морфология	mərfɐɫogʲɪɪ̯ə
моңғолия	monɣulia
мугишаның	muɣɪʃɑnɯŋ
музыка	muzɨkə
мулагода	mulaɣoda
мулагоға	muɫɑɣoʁɑ
мультимедиа	mʊlʲtʲɪmʲedʲɪə
мультипликация	mʊlʲtʲɪplʲɪkatsɨɪ̯ə
мультфильм	mʊlʲtfʲilʲm
муниципалитет	mʊnʲɪtsɨpəlʲɪtʲet
мутант	mʊtant
мылтық	moltɨx
мылтық	mɯɫtɯq
мыналар	mɯnɑlaːr
мыналар	ˈmɯnɑɫɑr
мыналарды	ˈmɯnɑɫɑɾdɯ
мынау	manau
мынау	ˈmɯnɑw
мындағы	ˈmɯndɑɣɯ
мыннан	mɯnˈnɑn
мырза	ˈmɯrzə
мырзамыз	ˈmɯrzɑmɯz
мырзаға	ˈmɯrzɑɣɑ
мырыш	maɾʊ̞ʂ
мыс	mˈɯs
мыстандар	ˈmɯstɑndɑr
мысыққа	ˈmɯsɯqˈqɑ
мықтап	ˈmɯqtɑp
мықты	ˈmɯqtɯ
мың	ˈmɯŋ
мыңдаған	ˈmɯŋdɑɣɑn
мюзикл	mʲʉzʲɪkɫ
мін	mæn
міндетті	miːndɪtːi
міне	mine
мінедіңіз	mineˈdiŋiz
мінейтін	minejˈtɪn
мінекей	minekej
мінеки	mineki
мүлдем	ˈmyldæm
мүлік	mʏlʏk
мүмкім	ˈmymkɪm
мүмкін	ˈmymkɪn
мүмкіндігің	ˈmymkɪndɪʁɪŋ
мүмкіндік	mʏmkʏndɘk
мүмкіндіктерге	ˈmymqɪndɪkˌtɪrʁe
мүмкіндікті	ˈmymkɪndɪktʰi
мүрде	mʉrdʲe
мүшелерін	ˈmʏʃelɪrɪn
мүшесі	ˈmʏʃɪsɪ
мүшесін	muʃesin
мұз	muz
мұз	mʊz
мұздатқыш	mʊzdɑtqɯʃ
мұздық	mʊzdʊq
мұздықаралық	mʊzdʊqɑrɑɫɯq
мұмкін	ˈmumqɪn
мұнда	ˈmʊndɑ
мұндай	mumtaj
мұндай	ˈmʊndɑj
мұндағы	muˈnɑɣɯ
мұны	muˈnɯ
мұның	muˈnɯŋ
мұражай	mʊrɑʒɑj
мұрағат	mʊrɑɣɑt
мұрағатшы	mʊrɑɣɑtʃɯ
мұрның	ˈmʊrnɯŋ
мұрныңды	ˈmʊrnɯŋdɯ
мұрын	moron
мұсылман	mʊsʊɫmɑn
мұсылмандар	musɯɫmɑndɑr
мұхит	mʊxɯjt
мұхит	ˈmʊxɪt
мұхтар	mʊ̞xtɑr
мұғалім	moʁɑliːm
мұғалімді	muɣɑˈlimdi
мұқашев	muqaʃif
мұқтаж	mʊqtɑʒ
мә	mæ
мәгәзін	mægæzin
мәдениетсіздік	mædenɘjːetsɘzdɘk
мәдениеттану	mædenɘjːetːɑnʊw
мәжбүр	maʒˈbyr
мәлдивтер	mæɫdʲɪvtʲer
мән	men
мәнінде	mænɪ̞ndʲɪ
мәнісінде	mänɪsɪndɛ
мәртебе	mærtʲebe
мәртебелі	maɾtebeˈli
мәселе	mæsʲele
мәселеге	ˈmæsɛleɣæ
мәскеу	mæskʲew
мәссаған	mæssɑʁˈɑn
мәссаған	ˈmæsːaɣɑn
мәсі	mɛsɨ
мөр	mør
мөрге	ˈmørgɛ
мөрде	ˈmørdɛ
мөрді	ˈmɵrdi
мөрі	ˈmɵɾi
мөрімді	ˈmøɾimdi
найза	mˈaɪzə
найза	najza
найза	nɑjzɑ
намаз	nɑ̝mɑ̝z
наразышылық	ˌnɑrɑzɯʃɯˈɫɯq
нарциссизм	nərtsɨsʲizm
натрий	natrʲɪj
натюрморт	nətʲʊrmort
нау	nɑu
науру	nɐurʊ
наурыз	nawrɯz
наутилус	nəʊtʲiɫʊs
нафталин	nəftɐlʲin
наша	nɑʃɑ
нашар	nasaɾ
нашар	naʃɑr
нашар	nɑʃɑr
нашарлап	naʃɑɾˈlɑp
нашарлатқан	naʃɑɫɑtqɑn
нашарлағанша	naʃɑɾɫɑʁaʃ
нағашы	naʁaʃɛ
нағыз	naɣɯz
нақұрыс	naqurs
нда	ndɑ
не	ne
не	nˈe
неге	nege
негізі	nɛɣɪˈzɪ
негізін	neɣiˈzɪn
негізінде	negiˈzində
недеген	nʲedʲegæn
неден	nedɪn
нейтрон	nʲɪjtron
неліктен	nɛlɪktɛn
немен	nʲemʲen
немене	nemene
немерем	nemɪrɪm
немерең	nemereŋ
немесе	nʲemʲeˈsʲe
немістер	nemɪstɪr
нені	neni
ненің	neˈniŋ
несие	ni˨˩˦ɕjɛ˥˩
несі	nɪˈsɪ
неткен	neˈtken
неше	neʃe
нешеде	neʃede
неғылған	neɣɯɫˈɣɑn
неғып	neɣɯp
неңе	neɣe
нигихаями	niɣɯxɑjɯmɯ
ник	nik
ники	niˈkɪ
николасым	nikoɫɑsɯm
ноколас	ˈnɔkɔlɑs
ноктюрн	nɐktʲurn
нора	ˈnɔrɑ
норвегия	nɐrvʲegʲɪjə
норматив	nərmɐtʲif
ноутбук	noʊdbʊk
нумизматика	nʊmʲɪzmatʲɪkə
нура	nuɾɑ
нурамын	nuɾamən
нуржан	nˈuɾʒɑn
нуси	nuˈsi
нутация	nʊtatsɨɪ̯ə
ньютон	nʲjʊton
нұр	nur
нұрай	naraj
нән	nen
нәрестесі	næɾestɛsɪ
нәрсе	nerˈsɛ
нәрсе	næɾsæt
нәрсеге	nersege
нәрселерді	nerseɫerdɪ
нәрселердің	nersɪlɪˈɾɪŋ
нәрсені	nersɪ
нәрсесі	nerˈsɛsɪ
нәрсеңді	nerˈsɘŋdɘ
нәскимен	ˈnæskɪˌmen
нәсілшіл	næsɘlʃɘl
нәсілшілдік	næsɘlʃɘldɘk
нәсіпқұмарларға	nasɪpqʊmɑɫɑrɑ
нәтижелерді	ˈnætiʒelɪrˈdi
нәтижелі	nætɘjʒelɘ
нәтижелілік	nætɘjʒelɘlɘk
нәтижесіз	nætɘjʒesɘz
нәтижесін	næˈtʲiʒesɪn
нөл	nɵl
нөл	nˈœl
о	ɔ
обалына	ɔbɑlɯnɑ
облигация	ɐblʲɪgatsɨjə
облыс	wo̞bləs
обот	ɔˈbot
оботтың	ɔβotˈtɯŋ
оботқа	ɔbɔtqɑ
объект	ɐbjekt
оганесон	ɐgənʲɪson
одан	ɔˈdɑn
оданда	ɔdɑndɑ
одиссея	ɐdʲɪsʲeɪ̯ə
одометр	ɐdomʲɪtr
озық	uzɯq
ой	ɔj
ойла	ɔjˈlɑ
ойладым	ɔjɑɫɯm
ойладыңыз	ɔjɯɫɯˈdɯŋɯz
ойлай	ɔjˈlɑj
ойлайды	ɔjlɑjdɯ
ойлаймыз	ɔjlɑjmɯz
ойлаймын	ɔjlajmɯn
ойлайсыз	ɔjlɑjsɯz
ойлайсың	ɔjlɑjsɯŋ
ойлайтын	ɔjlɑjtɯn
ойламайды	ɔjlɑmajˈdɯ
ойламаған	ɔjlɑmɑʁ
ойландым	ɔjlɑndɯm
ойландырды	ojlɑndɯrdɯ
ойландың	ɔjlɑndɯŋ
ойлап	ɔjˈlɑp
ойларың	ɔjɯɫɯɾɯŋ
ойлауың	ɔjlɑwɯŋ
ойлағам	ɔjlɑɣɑm
ойлағаның	ɔjlɑɣɑnɯŋ
ойна	ɔjˈnɑ
ойнаймын	ɔjnɑjmɯn
ойнағып	ɔjnɑɣɯp
ойым	ɔjɯm
ойымды	ojɯmˈdɯ
ойын	ɔjɯn
ойынан	ojɯnɑn
ойыншық	ɔjɯnʃɯq
ойыншықтарды	ojɯnʃɯqtaɾdɯ
ойыныңызды	ɔjɯnɯjɯzdɯ
ойыңа	ɔjɯˈŋɑ
ойыңда	ɔjɯŋdɑ
ойыңды	ɔjɯŋdɯ
ойыңыз	ɔjɯŋɯz
округ	okrʊg
ол	ɔɫ
олай	ɔˈlɑj
олар	ɑɫɑr
оларда	ɔɫɑɾdɑ
олардан	ɑɫɑɾˈdɑn
оларды	ulɑrdɑ
оларды	ɔɫɑɾdɯ
олардың	ɔɫɑɾˈdɯŋ
оларға	ɔɫɑrɣɑ
олигархия	ɐlʲɪgarxʲɪjə
ом	om
омбы	wombɯ
омоним	ɐmonʲɪm
он	on
онда	ɔnˈdɑ
ондай	onˈdɑj
ондаған	ɔndɑɣɑn
оникс	onʲɪks
онлайн	onlajn
ономастика	ɤnɐmastʲɪkə
онсыз	onˈsɯz
онша	onʃɑ
оны	ɔnɯ
оныда	ɔnɯdɑ
онымен	onɯˈmen
оның	ɔnɯɴ
оның	ɔ̙nɨm
ооған	ɔːˈɣɑn
операция	ɐpʲɪratsɨɪ̯ə
операция	ɔpʲɪrɑˈtsɪjə
опоссум	ɐposʊm
опреация	ɔprʲɛɑtsɪjɑ
опреацияны	ɔprʲɛɑtsʲɪɑnɯ
орал	goral
орал	ɔˈɾɑɫ
ораламын	ɔɾɑɫɑmɯn
оралма	ɔrɑlmɑ
оралмаған	ɔrɑlmɑˈʁɑn
оралуын	ɔrɑɫʊɯn
орамал	ogɾɑmɑɫ
орап	ɔˈrɑp
оратория	ɐrɐtorʲɪɪ̯ə
ордабасы	orˈdɑpɑsɑ
ордеріміз	ɔrdɪˈrɪmɪz
ориентация	orjɛntatsɨja
ориентациясы	orjentatsɨjasɨ
орман	wormɑn
орнатуға	ɔrnɑtʊʁɑ
орнатылған	ɔrnɑtɯɫɣɑn
орны	ɔrnɯ
орныма	ɔrnɯmɑ
орнын	ɔrnɯn
орнына	ɔrnɯnɑ
орнында	ɔrnɯnˈdɑ
орнықты	ɔrnɯqtɯ
орта	porta
орта	ɔrtɑ
ортада	ɔrtɑdɑ
орталығы	ɔrtɑˈɫɯ
орфография	ɐrfɐgrafʲɪɪ̯ə
орфографиялық	ɐrfɐgrafʲɪɪ̯ələq
орын	voɾən
орын	ɔˈrɯn
орынбасар	worʊnbɑsɑr
орында	ɔrɯnˈdɑ
орындалатын	ɔrɯndɑɫɯtɯn
орындалса	ɔrɯndɑɫsɑ
орындап	ɔrɯndɑp
орындасаңдар	ɔɾɯndɑsɑŋdɑɾ
орындаңдар	ɔrɯnɑɯŋdɑr
орынға	ɔrɯŋɑ
орыс	wo̙rʊs
орыс	ɔrɯs
осы	osso
осы	ɔsɯ
осыдан	ɑsɯˈdɑn
осылай	ɔsɯˈlɑj
осылар	ɔsɯˈlɑr
осымен	ɔsɯˈmɛn
осында	osɯmda
осында	ɔsɯnˈdɑ
осындай	osundaj
осындай	ɔsɯnˈdɑj
осындайда	ɔsɯndɑjˈdɑ
осындамын	ɔsɯnɑmɯn
осындасың	ɔsɯndɑsɯŋ
осындағы	ɔsɯnɑˈɣɯ
осынша	ɔsɯnʃɑ
осыны	ɒsɯˈnɯ
осыған	ɔsɯˈʁɑn
от	ot
ота	ɔta
отан	wo̞tɑn
отбасы	wotbɑsɯ
отбасынанмын	otbɑsɯnɑmɯn
отын	wotən
отыр	ɔtɯr
отырады	ɔtɯrɑdɯ
отырар	otrɑr
отырды	otɯrdɯ
отырдың	ɔtɯɾdɯŋ
отырмаймын	ɔtɯrmɑjmɯn
отырмасаң	ɔtɯrmɑsɑŋ
отырмын	ɔtɯɾmɯn
отырсаң	otɯrˈsɑŋ
отырсыз	otɯrˈsɯz
отырсың	ɔtɯrˈsɯŋ
отыру	otaru
отыру	otɯˈru
отыруымыз	ɔtɯɾʊymɯz
отыруыңа	otɯrujˈŋa
отырып	otɯˈrɯp
отырыңдар	ɔtɯɾəŋdɑɾ
отырыңыз	ɔtɯˈrɯŋɯz
отырыңызшы	otɯrɯŋɯʃ
отырған	otɯrˈʁɑn
отырғаным	ɔtɯɾʁɑnɯm
отқа	otqɑ
офисті	ɔfʲɪsˈtʲɪ
офисын	ɔfisɯn
оын	ɔɯn
оян	ɔjɑn
ояндың	ɔjɑndɯŋ
ояттырады	ojɑtɯrɑdɯ
оятқанды	ojɑtqɑnˈdɯ
оған	ɔˈɣɑn
оқ	ɔq
оқасы	ɔqɑsɯ
оқисың	ɔqɪsɯŋ
оқисыңдар	ɔqɯsɯŋdɑr
оқиға	ɔqɯɣɑ
оқиғалар	ɔqɯɣɑɫɑɾ
оқиғаларды	ɔqɯɣɑɫɯɾdɯ
оқиғаларға	ɔqɯɣɑɫɑɾɑ
оқудан	ɔqʊdɑn
оқушы	okʊʃˈe
оқушылар	ɔqʊʃɯɫɑɾ
оқушысы	ɔqʊʃɯsɯ
оқыдым	ɔqɯˈdɯm
оқыдың	ɔqɯˈdɯŋ
оқылған	ɔqɯɫɣɑn
оқып	ɔqɯp
оқытушы	okɨtuʂa
оңай	ɔŋɑj
оңбайсың	ɔŋbɑjsɯŋ
оңбаған	ɔŋbɑɣɑn
оңтүстік	woŋtstʉ̞k
оңтүстік	ɔŋtʏsˈtɪk
оңға	ɔŋɣɑ
па	pɑ
павлодар	pɑvɫədɑr
пайда	pɑjˈdɑ
пайдаланамын	pɑjdɑlɑnɑmɯn
пайдаланып	pɑjdɑlɑnɯp
пайдаң	paɪˈdɑŋ
пайызы	pajɯzɯ
пайғамбар	pajɣambar
палата	pɐɫatə
палеобиология	palʲɪəbʲɪɐɫogʲɪɪ̯ə
палеография	pəlʲɪɐgrafʲɪɪ̯ə
палеоклиматология	palʲɪəklʲɪmətɐɫogʲɪɪ̯ə
панк	pank
панорама	pənɐramə
папаны	pɑpɑnɯ
папирос	pəpʲɪros
парагвай	pərɐgvaj
