ഁ	ɐ̃
വിടുന്നില്ല	ʋiɖun̪nɪɭ̆
വിടുന്നു	ʋiɖɯɳɳu
വിടുന്നുമില്ല	ʋiɖun̪n̪umilːə
വിടുന്നോ	ʋiɖʊn̪n̪o
വിടുമെന്ന്	ʋiɖumɛnː
വിടുമോ	ʋiɖumɔ
വിടുമ്പോള്	ʋiɖum̆poːlɨ
വിടുവാ	ʋiɖuʋɑ
വിടുവായന്	ʋiɖuʋaːɲ
വിടൂ	ʋiɖuː
വിടെട	ʋiɖeɖə
വിടെടാ	ʋiɖeɖɑ
വിടെന്നെ	ʋiɖeːn̪n̪e
വിടേണ്ടി	ʋiɖeːɳɳi
വിട്	ʋiɖ
വിട്ട	ʋɪʈː
വിട്ടതാ	ʋɪɭːt̪ɑː
വിട്ടതാണ്	ʋɪɖːɐˈtɑːm
വിട്ടതിനു	ʋɪɖːɨt̪iŋu
വിട്ടതിന്	ʋɪɭːt̪iŋɨ̯
വിട്ടത്	ʋɪɭɭɐt̪
വിട്ടപ്പോള്	ʋit̪ːɐpːoːlɨ
വിട്ടയക്കൂ	ʋit̪ːəjɐkuː
വിട്ടയച്ചു	ʋɪɭɭəgɯ
വിട്ടാലോ	ʋɪt̪ːɑːlɔː
വിട്ടാല്	ʋɪɳɳɑːl
വിട്ടാൽ	ʋɪɭɭɑːl
വിട്ടിട്ടില്ല	ʋit̪ːiʈːilː
വിട്ടിട്ടു	ʋit̪ːiʈːu
വിട്ടിട്ടുണ്ട്	ʋit̪ːit̪ːuɳʈu
വിട്ടിട്ട്	ʋɪʈːɪʈː
വിട്ടിരിക്കുന്നു	ʋit̪ːiɾikkɑːɳɳɑː
വിട്ടിരുന്നെങ്കില്	ʋit̪ːɾiːn̪ŋeːgiɭ
വിട്ടില്	ʋiːɖɪl
വിട്ടില്ല	ʋit̪ːilːə
വിട്ടില്ലേ	ʋit̪ːɪɭːeː
വിട്ടു	ʋɪɭːu
വിട്ടുകള	ʋit̪ːogɐɭ
വിട്ടുകളഞ്ഞു	ʋɪɳɳogɐɲːu
വിട്ടുകളയാന്	ʋit̪ːogɐjɑːn̪
വിട്ടുകൂടെ	ʋɪt̪ːuguːɭe
വിട്ടുകൊടുക്കരുത്	ʋit̪ːugoɖugɐɾuʈ
വിട്ടുകൊടുക്കാന്	ʋit̪ːugoɖugɑːn̪
വിട്ടുകൊടുക്കില്ല	ʋɪɭːʈogoɖuʋɪɭː
വിട്ടുകൊടുത്തു	ʋɪɖːʊkoɖuʈːu
വിട്ടുതരാന്	ʋit̪ːut̪ɐɾɑːn̪
വിട്ടുതരുന്നു	ʋit̪ːut̪əɾɨɳɨ
വിട്ടുനില്	ʋit̪ːunil
വിട്ടുപോകണമെന്ന്	ʋɪɭːʊpoːkɐnɐmɛɳɳɐ
വിട്ടുപോകരുത്	ʋit̪ːupːoːkaɾud̪
വിട്ടുപോകല്ലേ	ʋɪt̪ːʊpoːkɐlleː
വിട്ടുപോകാന്	ʋɪt̪ːʊpɔkɑːn̪
വിട്ടുപോകില്ല	ʋɪt̪ːʊpoːkɪɭː
വിട്ടുപോകും	ʋɪt̪ːʊpoːgum
വിട്ടുപോകുന്നതിനെ	ʋɪʈːʊpoːkʊn̪d̪iŋge
വിട്ടുപോകുന്നത്	ʋɪʈːʊpoːkɐɳɳɛːd̪ː
വിട്ടുപോന്നു	ʋit̪ːupoːn̪n̪u
വിട്ടുപോയ	ʋɪʈːupoː
വിട്ടുപോയത്	ʋit̪ːupoːjɐt̪
വിട്ടുപോയി	ʋɪt̪ːupoːj
വിട്ടുപോയിട്ടില്ല	ʋit̪ːupoːjit̪ːilː
വിട്ടുപോരാൻ	ʋɪt̪ːuːpoːɾɑːn
വിട്ടുപോവാന്	ʋɪt̪ːupoʋaːn̪
വിട്ടുവീഴ്ച	ʋɪt̪ːuʋiːʐʌ
വിട്ടൂടെ	ʋɪɳɳuːd̪e
വിട്ടെക്ക്	ʋɪɭːeːkːɨ
വിട്ടെന്നാണ്	ʋit̪ːeːnɑː
വിട്ടെന്ന്	ʋɪɭːeɳː
വിട്ടേ	ʋɪɳɳeː
വിട്ടേക്കാം	ʋɪɳɳɛkɑːm
വിട്ടേക്കു	ʋɪɳɳɛːku
വിട്ടേക്കും	ʋit̪ːeːkum
വിട്ടേക്കുക	ʋɪɳɳɛkːu
വിട്ടേക്കൂ	ʋɪɳɳɛːkuː
വിട്ടേക്ക്	ʋɪɳɳɛːk
വിട്ടേയ്ക്കൂ	ʋɪɳɳɛːkːuː
വിട്ടേയ്ക്ക്	ʋɪɳɳɛːk
വിട്ടേരെ	ʋɪɭːeːɾe
വിട്ടേര്	ʋɪt̪ːeːɾə
വിട്ടോ	ʋɪt̪ːoː
വിട്ടോളൂ	ʋit̪ːoːɭuː
വിട്ട്	ʋit̪ː
വിഡ്	ʋɪɖ
വിഡ്ഡി	ʋiɖɖi
വിഡ്ഡിത്തം	ʋiɖɖit̪ːəm
വിഡ്ഢി	ʋiɖɖi
വിഡ്ഢികളാക്കി	ʋiɖɖɪkɐːkki
വിഡ്ഢികളാണ്	ʋiɖɖɪkɐːm
വിഡ്ഢികളായ	ʋiɖɖɪkɐɑːj
വിഡ്ഢികളെ	ʋiɖɖɪkɐle
വിഡ്ഢികളേ	ʋiɖɖɪkɐle
വിഡ്ഢികള്	ʋiɖɳɪkɐɭ
വിഡ്ഢികൾ	ʋiɖɖiɭe
വിഡ്ഢിത്തം	ʋiɖɖit̪t̪ʌm
വിഡ്ഢിത്തങ്ങള്	ʋiɖɖit̪ːəmɐɭɯ
വിഡ്ഢിത്തമാണ്	ʋiɖɖit̪ːɑːmː
വിഡ്ഢിത്തരം	ʋiɖɖit̪ːəɾəm
വിഡ്ഢിയല്ല	ʋiɖɖʲɪɐɭɭə
വിഡ്ഢിയാ	ʋiɖɳjɑː
വിഡ്ഢിയാക്കി	ʋiɖɳjɑːkki
വിഡ്ഢിയാണെന്ന്	ʋiɖɳjɑːnɛnːə
വിഡ്ഢിയാണോ	ʋiɖɖʲiɑːɳo
വിഡ്ഢിയാണ്	ʋiɖɳʌːm
വിഡ്ഢിയായ	ʋiɖɳjɑːjɑː
വിഡ്ഢിയെ	ʋiɖɳɪe
വിഡ്ഢിയെപ്പോലെ	ʋiɖɳjɛpːole
വിഡ്ഢീ	ʋiɖɳiː
വിഢിത്തമാണ്	ʋiɖit̪ːəːmːəː
വിഢ്ഡി	ʋɪɖɖi
വിഢ്ഢി	ʋɪɖɖi
വിഢ്ഢിത്തം	ʋɪɖɖit̪t̪əm
വിഢ്ഢിയല്ലാതെ	ʋɪɖɖʲɪɐllɐːt̪e
വിഢ്ഢീ	ʋɪɖɖiː
വിതച്ചു	ʋit̪ːɕu
വിതരണ	ʋɪtɑːɾɑːɳ
വിതരണം	ʋitɐɾɐɳɐ
വിതരണവും	ʋitɐɾɐɳɨm
വിതാ	ʋit̪aː
വിത്	ʋit̪
വിത്തുകളെ	ʋit̪ːoɭe
വിത്തുകള്	ʋit̪ːoːɭə
വിത്തുകൾ	ʋit̪ːuɭəgɛ
വിത്തൌട്ട്	ʋit̪ːɔːt̪ː
വിത്ത്	ʋit̪t̪
വിത്യ	ʋit̪jɨ
വിത്യാസം	ʋit̪jɑːsɐm
വിത്സണ്	ʋit̪sɐɳʊ
വിദഗ്	ʋiɖɐgʊ
വിദഗ്ദന്	ʋiɖɐgːɳɐ
വിദഗ്ദര്	ʋiɖɐgɖəɾə
വിദഗ്ദ്ധനാണ്	ʋiɖɐgɖːɳɑːm
വിദഗ്ദ്ധനെ	ʋid̪əgd̪d̪ʱən̪e
വിദഗ്ദ്ധന്	ʋiɖɐgd̪d̪ʒəɳə
വിദഗ്ദ്ധൻ	ʋiɖəgɖːəɳ
വിദഗ്ദ്ധർ	ʋiɖəgɖːəɾ
വിദഗ്ധ	ʋiɖɐgːɯ
വിദഗ്ധന്	ʋiɖɐgːɳə
വിദാൽ	ʋidaːl
വിദൂര	ʋiɖuːr
വിദൂരമായ	ʋiɖuːɾəmaɪə
വിദേശ	ʋɪɖɛʃɐ
വിദേശത്തു	ʋɪɖɐɖeːʃɐt̪ːu
വിദേശത്തേക്ക്	ʋɪɖɐʒɐt̪ːeːkːɨ
വിദേശത്ത്	ʋɪɖɐɖeʃɨʈː
വിദേശഭാഷയില്	ʋɪɖɛʃɐbɑːʃɐjɪl
വിദേശി	ʋɪɖɛʃi
വിദേശികളായ	ʋɪɖɛːʃiːgɑːjɑː
വിദേശികളുടെ	ʋɪɖɛʃiːgɐɽu
വിദേശികള്	ʋɪɖɛʃiːgɑːl
വിദേശിയുടെ	ʋɪɖɛʃijɪɳɪ
വിദ്ദേശ	ʋɪɖɐɖeːʃ
വിദ്യ	ʋid̪ːə
വിദ്യകളും	ʋid̪ːəɟɐɭuɱ
വിദ്യകള്	ʋid̪ːəɟɐɭ
വിദ്യക്ക്	ʋid̪ːəɳkːu
വിദ്യകൾ	ʋid̪ːjɐkuɭ
വിദ്യയാണ്	ʋid̪ːajɑːm
വിദ്യയും	ʋid̪ːəjəm
വിദ്യയുടെ	ʋid̪ːəɾɨjɨt̪ːʌ
വിദ്യയെ	ʋid̪ːajɛ
വിദ്യാഭ്യാസ	ʋid̪ːjɑːbʲjɑːs̪
വിദ്യാഭ്യാസം	ʋid̪ːjɑːbʲjɑːsɑːm
വിദ്യാഭ്യാസത്തിന്റെ	ʋid̪jɑːbʲɑːjɑːsɨt̪t̪i
വിദ്യാഭ്യാസമില്ലാത്ത	ʋid̪jɑːbʲjɑːsɑːmɪllɑːt̪ːʰ
വിദ്യാഭ്യാസമുള്ള	ʋid̪jɑːbʲjɑːsɑːmʊɭːɯ
വിദ്യാഭ്യാസവും	ʋid̪jɑːb̪jɑːsɐm
വിദ്യാര്	ʋid̪jɑːɾə
വിദ്യാലയം	ʋid̪ːjɑːlɑːm
വിദ്യാർത്ഥി	ʋid̪ːjɑːrt̪ʰːi
വിദ്യാർത്ഥികൾ	ʋid̪jɑːrt̪ʰiːleːs
വിദ്യാർത്ഥിയാണ്	ʋid̪jɑːrt̪ʰiʝɑːm
വിദ്യാർഥി	ʋid̪ːjɑːrt̪ʰi
വിദ്യാർഥികളും	ʋid̪jɑːrt̪ʰikɑːlʊm
വിദ്വേഷം	ʋid̪ʋeːʃɐm
വിധ	ʋɪɖʌ
വിധം	ʋid̪ʱəm
വിധത്തിലും	ʋid̪ʱətt̪iːlɛːm
വിധത്തിലുള്ള	ʋɪɖɐt̪ːuŋgəl
വിധത്തില്	ʋɪɖɐt̪ːil
വിധത്തിൽ	ʋid̪ɨʈt̪ɨl
വിധവ	ʋid̪ʱəʋə
വിധവയാണ്	ʋid̪ʱəʋəjaːm
വിധവയുടെ	ʋɪɖʌʋɐɟʉ
വിധവയെ	ʋɪɖʰɐʋɐjɛ
വിധി	ʋid̪ʱi
വിധിക്കപ്പെട്ട	ʋiɖikːoɭːə
വിധിക്കപ്പെട്ടത്	ʋiɖikːoɭːɖɐt̪ː
വിധിക്കപ്പെട്ടു	ʋiɖikːoɭɭət̪u
വിധിക്കാന്	ʋiɖɪkɑːnə
വിധിക്കും	ʋɪɖɪkːum
വിധിക്കുക	ʋiɖikːu
വിധിക്കുകയാണ്	ʋiɖikukɑːn
വിധിക്കുന്നത്	ʋid̪iɟiŋŋɐt̪
വിധിക്കുന്നു	ʋid̪ʱiːɳɳoː
വിധിച്ചിരിക്കുന്നു	ʋiɖiʧːiɾɐgɳoː
വിധിച്ചു	ʋiɖiʈu
വിധിന്യായം	ʋiɖiɲjaːm
വിധിയാണ്	ʋiɖiʝaːm
വിധിയായിരുന്നു	ʋid̪ʲiːjoːd̪ʱɑː
വിധിയില്	ʋɪɖʰijil
വിധിയിൽ	ʋɪɖɪjɛːl
വിധിയും	ʋiɖiʝum
വിധിയുടെ	ʋiɖɪhʊ
വിധിയെ	ʋiɖiʌ
വിധിയോട്	ʋiɖijoːʈ
വിധേനയും	ʋid̪eːnəjuːm
വിധേയത്വം	ʋiɖʱeːʔət̪ʋɐm
വിധേയമാണ്	ʋid̪ʱeːyamːɐːt̪ːam
വിധ്വംസക	ʋid̪ʋɐmsɐkɨ
വിനയം	ʋinɐjɐm
വിനയ്	ʋinɐj
വിനഷ്ടരായ	ʋinɐʂʈərɑːj
വിനാഗിരി	ʋin̪aːgiɾi
വിനാശകരമായ	ʋinɑːʃkɐɾɐmoːj
വിനിമയം	ʋinimɐjɐm
വിനിയോഗിക്കാന്	ʋiniːjoːgɪkɑːn
വിനീതമായി	ʋiɳiːtɐmaɪ
വിനു	ʋinu
വിനെ	ʋine
വിനോദ	ʋinoːd̪
വിനോദം	ʋinoːd̪əm
വിനോദയാത്ര	ʋinoːd̪əjɐːt̪ːɾɨ
വിനോദസഞ്ചാരം	ʋinoːd̪ɐsɐn̠ʲdʒaːɾɐm
വിന്	ʋin
വിന്നി	ʋiɳi
വിന്നീ	ʋiɳiː
വിപത്ത്	ʋipɐt̪ː
വിപരീതം	ʋipɐɾiːd̪ə̆m
വിപുലമായ	ʋipulamaɪ
വിപ്ലവ	ʋipɭəʋ
വിപ്ലവം	ʋipɭəʋəm
വിപ്ലവകരമായ	ʋipɭəʋəkaɾəmaɪʈə
വിപ്ലവകാരി	ʋɪpɭəʋɐkaːɾi
വിപ്ലവകാരികളായ	ʋipɭəʋgaːɾɨɭɑːjoː
വിപ്ലവകാരികളെ	ʋipɭəʋɐkaːɾiɭe
വിപ്ലവകാരികള്	ʋɪpɭəʋɐkaːɾɪɭə
വിപ്ലവകാരിയെ	ʋipɭəʋɐkaːɾiʌjɛ
വിപ്ലവത്തിനു്	ʋipɭəʋəɳɳu
വിപ്ലവത്തിന്	ʋipɭəɭəɭəɭəɭəɭəɭəɭəɭəɭəɭəɭəɭəɭəɭəɭəɭəɭəɭəɭə
വിപ്ലവത്തിന്റെ	ʋipɭəʋɨt̪t̪i
വിപ്ലവത്തെ	ʋipɭəʋət̪e
വിപ്ലവമാണ്	ʋipɭəʋəːmːɪt̪ː
വിഭജനം	ʋibɐɖənəm
വിഭജിക്കണം	ʋibɐdʒikkɑːnɑː
വിഭജിക്കപ്പെട്ട	ʋibɐdʒikkəɭəɭə
വിഭജിക്കാം	ʋibɐdʒikɐːm
വിഭജിക്കൂ	ʋibɐdʒikːuː
വിഭജിച്ചു	ʋibɐdʒid̪u
വിഭവ	ʋibɐʋə
വിഭവം	ʋibɐʋɐm
വിഭവങ്ങളും	ʋibɐʋɨmʋɨɭ
വിഭവങ്ങളുടെ	ʋibɐʋɐŋgɐɭuʈe
വിഭവങ്ങള്	ʋibɐʋɐŋgɐlː
വിഭവങ്ങൾ	ʋibɐʋɐŋgɐl
വിഭവാധിഷ്ഠിത	ʋibʰɐʋɐːɖiʂʈit̪
വിഭാഗം	ʋibɑːgɑːm
വിഭാഗങ്ങള്	ʋibɑːgɑːɲɭɨ
വിഭാഗത്തിന്	ʋibɑːgəɳ
വിഭാഗത്തിന്റെ	ʋibɑːgɑːt̪t̪i
വിഭാഗത്തിലുള്ള	ʋibɑːgɑːt̪ːuŋgɪl
വിഭാഗത്തിലെ	ʋibɑːguʈeː
വിഭാഗത്തിലേക്ക്	ʋibɑːgɑːt̪ːiːlekːu
വിഭാഗത്തില്	ʋibɑːgɑːt̪ːil
വിഭാഗത്തിൽ	ʋibɑːgɑːʈʈil
വിഭാഗത്തെ	ʋibɑːgɐt̪t̪e
വിഭാഗമാണ്	ʋibɑːgɑːmːɑː
വിഭാഗവും	ʋibɑːgɑːʋum
വിമത	ʋimɐd̪ə
വിമതന്	ʋimɐt̪ɐnə
വിമതന്മാര്	ʋimɐt̪ɐn̪maːɾɨ
വിമതരാണ്	ʋimɐd̪ɐɾɑːm
വിമതരുടെ	ʋimɐd̪ɐɾuɭi
വിമതര്	ʋimɐd̪ɐrɨ
വിമര്	ʋimɐr
വിമാന	ʋimɑːn̪
വിമാനം	ʋimɑːnɑː
വിമാനങ്ങളില്	ʋimɑːnɑɭil
വിമാനങ്ങള്	ʋimɑːnɑɭɭʉ
വിമാനങ്ങൾ	ʋimɑːnəŋgɑː
വിമാനത്താവളം	ʋimɑːnɑːt̪ːɑːʋɑɭəm
വിമാനത്താവളത്തില്	ʋimɑːnɑːt̪ːɑːʋɑːɭɑːt̪ːil
വിമാനത്താവളത്തിൽ	ʋimɑːnɐt̪ːɑːʋɑɭɨt̪ːɪl
വിമാനത്തിനു	ʋimɑːnɨkku
വിമാനത്തിന്	ʋimɑːnəɳɳu
വിമാനത്തിലാണ്	ʋimɑːnɨt̪ːilɑːm
വിമാനത്തിലും	ʋimɑːnɑt̪ːiɭɨm
വിമാനത്തില്	ʋimɑːnɨtːil
വിമാനത്തിൽ	ʋimɑːnɐt̪ːɪl
വിമാനത്തെ	ʋimɑːnət̪ːe
വിമാനയാത്ര	ʋimɑːnɑjɑːt̪ːɾɨ
വിമാനാക്രമണം	ʋimɑːnɑːkɾɑːməɳɑːm
വിമോചന	ʋimoːtʃən
വിയ	ʋiːə
വിയന്	ʋiːjɐn
വിയന്ത്രം	ʋijɐn̪d̪ɾɐm
വിയന്നയിലേക്ക്	ʋijɐnɐjilɛːk
വിയര്	ʋiɐɾə
വിയറ്റ്	ʋiəʈː
വിയറ്റ്നാം	ʋijɛʈɳɑːm
വിയറ്റ്നാമിലെ	ʋijɑːʈɳɑːmiːle
വിയറ്റ്നാമില്	ʋijɛʈɳɑːmiɭ
വിയറ്റ്നാമീസ്	ʋijɛːʈɳɑːmiːs
വിയിൽ	ʋɪɭ
വിയുടെ	ʋiːd̪ʌ
വിയെ	ʋije
വിയോജിക്കുന്നു	ʋijoːʈid̪d̪oː
വിയോജിപ്പ്	ʋijoːdʒipː
വിയോള	ʋijoːl
വിയർക്കും	ʋijɐrkum
വിര	ʋiɾɐ
വിരട്ടി	ʋɪɾɐʈːi
വിരണ്ടുപോയി	ʋiɾɑːɳɖuːpoːi
വിരമിക്കല്	ʋɪɾɐmikkɐlɨ
വിരമിക്കും	ʋiɾɐmikkɨm
വിരമിച്ച	ʋiɾɐmit̪t̪ʃɛ
വിരമിച്ചു	ʋiɾɐmiɖu
വിരലടയാളം	ʋɪɾɐɭəɳəɳgɐɭɐm
വിരലടയാളങ്ങള്	ʋɪɾɐlɐɖɐjoːɭɐŋgɐɭ
വിരലടയാളങ്ങൾ	ʋɪɾɐlɐɖɑːɳgɐl
വിരലിൽ	ʋɪɾɐlɪɭ
വിരലു	ʋɪɾɐlu
വിരലുകളും	ʋɪɾɐlogɐɭum
വിരലുകള്	ʋɪɾɐlogɐ
വിരലുകൾ	ʋɪɾɐlʊkkuʈɕɪ
വിരല്	ʋɪɾɐl
വിരളമാണ്	ʋiɾɐɭɐmːɐːn
വിരളമായ	ʋɪɾɐləmaɪə
വിരളമായി	ʋiɾɐɭɐmaɪ
വിരസം	ʋiɾɐsɐm
വിരസത	ʋiɾɐsət̪
വിരസമായ	ʋiɾɐsɐmaɪɐ
വിരസവും	ʋiɾɐsuʋ
വിരി	ʋiɾi
വിരിക്കും	ʋiɾiʋʋum
വിരിക്ക്	ʋiɾikː
വിരിഞ്ഞ	ʋiɾin̪ʈə
വിരിഞ്ഞു	ʋiɾin̪ɳu
വിരിപ്പ്	ʋiɾipː
വിരിയാന്	ʋiɾijaːn
വിരുതന്	ʋiɾud̪ən
വിരുദ്ധ	ʋiɾɯd̪ːʰ
വിരുദ്ധമാണ്	ʋiɾɯɳɳɑːm
വിരുദ്ധമായ	ʋiɾudd̪ːəmaɯ
വിരുദ്ധമായി	ʋiɾud̪ːɐmaɪ
വിരുന്നിനു	ʋɾiːɳɕinʊ
വിരുന്നിന്	ʋɾiːɳiɳ
വിരുന്നില്	ʋɨɳɕiɭ
വിരുന്നുകാര്	ʋiɳɳukɑːɾə
വിരുന്ന്	ʋiɳɳʈʰ
വിരോധം	ʋiɾoːɖʌm
വിരോധമില്ലല്ലോ	ʋiɾoːd̪ʱəmiɭːəɭːoː
വിരോധമില്ലെങ്കില്	ʋiɾoːd̪ʱəmiɭːeŋkil
വിരോധമില്ലെങ്കിൽ	ʋiɾoːd̪ʱəmiɭːeŋgiɭ̆
വിരോധമുണ്ടോ	ʋiɾoːd̪ʱəmoːn̪d̪oː
വിരോധമൊന്നും	ʋiɾoːd̪ʱəmoːn̪n̪ʌ
വിരോധവുമില്ല	ʋiɾoːd̪ʱəʋumiɭː
വിരോധാഭാസം	ʋiɾoːd̪ʱɑːbʱɑːsɑːm
വിര്	ʋiɾ
വിരൽ	ʋiɾɐl
വിറകു	ʋɪɾɐku
വിറക്	ʋɪɽək
വിറക്കുന്നത്	ʋɪɾɐkːɐɳɳɛːd̪ː
വിറക്കുന്നു	ʋɪɾɐkːuɳɳu
വിറച്ചാല്	ʋɪɾɐtʃɑːl
വിറച്ചിരുന്നു	ʋɪɾɒtːʋɪɳɳu
വിറച്ചു	ʋɪɾɐtɕu
വിറയല്	ʋɪɾɐjɐl
വിറയ്ക്കുന്ന	ʋɪɽɐkːun̪
വിറയ്ക്കുന്നുണ്ട്	ʋɪɽɐkːun̪d̪u
വിറ്റ	ʋit̪ː
വിറ്റതിന്	ʋit̪ːɪn̪u
വിറ്റത്	ʋit̪t̪ə
വിറ്റാല്	ʋɪt̪ɑːlɨ
വിറ്റിട്ട്	ʋiːʈːiʈː
വിറ്റിരുന്നത്	ʋit̪ːɾiːɳɕɐt̪ː
വിറ്റു	ʋit̪ːu
വിറ്റെന്ന്	ʋiːt̪eːn̪n̪ə
വിറ്റേക്ക്	ʋiːteːk
വിറ്റോ	ʋiːt̪oː
വിറ്റോറിനോ	ʋɪt̪ːoːɾiːnoː
വിറ്റോളാം	ʋiːt̪oːlɐːm
വിറ്റ്	ʋit̪
വിറ്റ്സില്	ʋit̪ːɕil
വിറ്റ്സ്	ʋit̪ːs̪
വില	ʋil
വിലകുറച്ചു	ʋilɐkɯɾɐtʃu
വിലകുറച്ച്	ʋiləkɯɾətʃː
വിലകുറഞ്ഞ	ʋilɐkuɾɐɲː
വിലകൂടിയ	ʋilɐkuːʈi
വിലകൂടിയതാണ്	ʋilɐkuːʈʲɐtɐːm
വിലകൊടുക്കേണ്ടി	ʋilakoɖuŋeːɳɖi
വിലകൊടുത്തു	ʋilakoɖuʈu
വിലകൊടുത്തും	ʋilɐkoɖuʈːuɱ
വിലകൊടുത്ത്	ʋilɐkoɖʊt̪ː
വിലക്കപ്പെട്ട	ʋilɐkːɐbːɛɖɨ
വിലക്കാണ്	ʋilɐkɐːm
വിലക്കി	ʋilɐkːi
വിലക്കിയിട്ടുണ്ട്	ʋilɐkːijɨt̪ːu
വിലക്ക്	ʋiləkː
വിലങ്ങനെ	ʋiləŋɳənɛ
വിലങ്ങിട്ട്	ʋilɐŋgit̪ː
വിലങ്ങു	ʋilɐŋgu
വിലങ്ങ്	ʋiləŋgʊ
വിലപിടിച്ച	ʋilɐpiɖit̪t̪ʃɛ
വിലപിടിപ്പുള്ള	ʋilapiɖipuɭː
വിലപിടിപ്പുള്ളതാണ്	ʋilapiɖipuɭːtɑːm
വിലപേശാം	ʋilɐpeːʃɑːm
വിലപേശാന്	ʋilɐpeːʃɑːn̪
വിലപേശാൻ	ʋilɐpeːʃɑːn
വിലപേശൽ	ʋilɐpeːʃɐl
വിലപ്പിടിപ്പുള്ളതാണ്	ʋilɐpːiɖipuɭːtɑːm
വിലപ്പെട്ട	ʋilɐppeʈːə
വിലപ്പെട്ടതാണ്	ʋilɐppɛʈːɐtɐːm
വിലപ്പെട്ടതും	ʋilɐpːeʈːət̪um
വിലപ്പെട്ടത്	ʋilɐpːeʈːɐt̪
വിലമതിക്കാനാവാത്ത	ʋiləmət̪ikɑːnɑːʋɑːt̪ː
വിലമതിക്കുന്ന	ʋiləmət̪ikkun̪n̪
വിലമതിക്കുന്നു	ʋiləmət̪iŋgoː
വിലയാ	ʋilaja
വിലയാണ്	ʋilajɑːm
വിലയിരുത്താന്	ʋilajɪruʈːɑːn
വിലയിരുത്താൻ	ʋilajiruʈːɑːn
വിലയിരുത്തൽ	ʋilajiruʈːəl
വിലയില്ല	ʋiləjiɭːə
വിലയിൽ	ʋilɐjɨl
വിലയും	ʋiləgʌm
വിലയുണ്ട്	ʋiləjoːɳʈ
വിലയുമില്ല	ʋilajumilːə
വിലയുള്ള	ʋiləjuɭːə
വിലയുള്ളതാണ്	ʋilajulːt̪ɑːm
വിലയുള്ളത്	ʋiləjuɭːɭəɖə
വിലയേറിയ	ʋiləjɛɾiə
വിലയേറിയത്	ʋiləjeːɾijɐt̪
വിലയ്ക്ക്	ʋilɐkːɨ
വിലാസം	ʋilɐːsɐm
വിലാസത്തില്	ʋilɐsɐt̪ːil
വിലാസവും	ʋilɐsuʋ
വിലുണയില്	ʋilɨɳajil
വിലെം	ʋilem
വിലെമിനെ	ʋileminɛ
വിലെമിന്റെ	ʋilemiːnʈe
വിലോ	ʋiloː
വില്	ʋil
വില്ക്കാൻ	ʋilkɑːn
വില്പത്രം	ʋilp̪t̪rɐm
വില്യം	ʋilːəm
വില്യംസ്	ʋiljɐ̃ːmʃ
വില്ല	ʋiɭː
വില്ലനാണ്	ʋɪɭːɭɐnaːm
വില്ലനായി	ʋɪɭɭɐnaɪ
വില്ലന്	ʋillən
വില്ലയിലേക്ക്	ʋɪɭːjɪleːkːu
വില്ലവെര്	ʋɪɭːʋeɾə
വില്ലാര്	ʋɪɭɭɑːr
വില്ലാളികള്	ʋɪɭɭɑːɭiɭɑː
വില്ലാസ്	ʋɪlːɑːs
വില്ലി	ʋiɭːi
വില്ലിനെ	ʋiɭːi̯n̪e
വില്ലീ	ʋiɭːiː
വില്ലും	ʋiɭɭum
വില്ലെ	ʋille
വില്ലെയില്	ʋɪɭːeːɭɪɭ
വില്ലേജില്	ʋɪɭːeːgɪɭ
വില്ലേജ്	ʋɪɭːeːdʒ
വില്ലോ	ʋɪɭːoː
വില്ല്	ʋiɭː
വില്ല്യം	ʋiʎːjɐm
വിളംബരം	ʋɪɭəmˈbɾɐm
വിളകളും	ʋɪɭəgɐɭum
വിളകള്	ʋɪɭəgɐɭ
വിളക്കുകളുടെ	ʋɪɭɐkːuɭuɭi
വിളക്കുകള്	ʋiɭɐkːoɭ
വിളക്കുകൾ	ʋɪɭɐkːuɭɛ
വിളക്ക്	ʋɪɭəkːɨ
വിളമ്പാൻ	ʋɪɭəmbaːn
വിളയാട്ടം	ʋɪɭɑjɑːɳɳ
വിളറിയ	ʋiɭɭəɾːi
വിളവ്	ʋɪɭɐʋʋ
വിളി	ʋiɭi
വിളികള്	ʋiɭigɐɭ
വിളിക്കട്ടെ	ʋiɭikːɐɭɪ
വിളിക്കണം	ʋiɭikːəɳɐm
വിളിക്കണമെന്ന്	ʋiɭikːəneːn̪
വിളിക്കണേ	ʋiɭiʋəɳe
വിളിക്കണോ	ʋiɭikːɐno
വിളിക്കണ്ട	ʋiɭikːɐɳɖ
വിളിക്കപ്പെടുന്ന	ʋiɭikːəpːəɳː
വിളിക്കരുതെന്ന്	ʋiɭikːəɾud̪eɳː
വിളിക്കരുത്	ʋiɭikːɐɾuʈ
വിളിക്കല്ലേ	ʋiɭikɐɭːe
വിളിക്കാം	ʋiɭikːɐm
വിളിക്കാഞ്ഞത്	ʋiɭikːɐɲɖɐt̪
വിളിക്കാതിരുന്നത്	ʋiɭikɐt̪ːɨɾɨɳːt̪ːɨ
വിളിക്കാതെ	ʋiɭikːɐt̪e
വിളിക്കാത്തത്	ʋiɭikɐt̪ːɐt̪
വിളിക്കാനാണ്	ʋiɭikɑːnɑːm
വിളിക്കാനും	ʋiɭikːaːn̪u
വിളിക്കാന്	ʋiɭikɑːn̪
വിളിക്കാമെന്ന്	ʋiɭikɐːmɛn̪n̪ə
