㔂	lan˨˦
耐用	nai˧˧ioŋ˧˧
耕莘安康院區	kiŋ˥˥sin˥˥an˥˥kʰoŋ˥˥ĩ˧˧kʰu˥˥
耙	pe˧˧
耙	pe˨˦
耙仔	pe˨˦a˥˧
耙柫	pe˨˦put˨
耞仔	kẽ˥˧a˥˧
耳	hĩ˧˧
耳	ni˥˧
耳仔	hĩ˧˧a˥˧
耳仔生兩葉	hĩ˧˧a˥˧sẽ˥˥nŋ˥˥hioʔ˨
耳屎	hĩ˧˧sai˥˧
耳扒仔	hĩ˧˧pe˨˦a˥˧
耳機	hĩ˧˧ki˥˥
耳珠	hĩ˧˧tsu˥˥
耳環	hĩ˧˧kʰuan˨˦
耳甕仔	hĩ˧˧aŋ˨˩a˥˧
耳目	ni˥˧bok˨
耳空	hĩ˧˧kʰaŋ˥˥
耳空輕	hĩ˧˧kʰaŋ˥˥kʰin˥˥
耳空重	hĩ˧˧kʰaŋ˥˥taŋ˧˧
耳空鬼仔	hĩ˧˧kʰaŋ˥˥kui˥˧a˥˧
耳鉤	hĩ˧˧kau˥˥
耳鏡	hĩ˧˧kĩã˨˩
耶穌	ia˨˦sɔ˥˥
耶誕	ia˨˦tan˨˩
聊聊仔	liau˨˦liau˨˦a˥˧
聖	sĩã˨˩
聖人	siŋ˨˩dzin˨˦
聖嬰	siŋ˨˩iŋ˥˥
聖戰	siŋ˨˩tsian˨˩
聖拄聖	sĩã˨˩tu˥˧sĩã˨˩
聖旨	siŋ˨˩tsi˥˧
聖母	siŋ˨˩bo˥˧
聖火	siŋ˨˩hue˥˧
聖經	siŋ˨˩kiŋ˥˥
聖誕	siŋ˨˩tan˨˩
聘	pʰiŋ˨˩
聘任	pʰiŋ˨˩dzim˧˧
聘書	pʰiŋ˨˩su˥˥
聘禮	pʰiŋ˨˩le˥˧
聘約	pʰiŋ˨˩iok˨
聘請	pʰiŋ˨˩tsʰĩã˥˧
聘金	pʰiŋ˨˩kim˥˥
聚會	tsu˧˧hue˧˧
聚集	tsu˧˧tsip˦
聞名	bun˨˦biŋ˨˦
聬儱	aŋ˥˧laŋ˥˧
聯	lian˨˦
聯合	lian˨˦hap˦
聯合醫院	lian˨˦hap˦pẽ˧˧ĩ˧˧
聯對	lian˨˦tui˨˩
聯席會	lian˨˦sik˦hue˧˧
聯想	lian˨˦sioŋ˥˧
聯手	lian˨˦tsʰiu˥˧
聯招	lian˨˦tsiau˥˥
聯招會	lian˨˦tsiau˥˥hue˧˧
聯播	lian˨˦pɔ˨˩
聯盟	lian˨˦biŋ˨˦
聯絡	lian˨˦lok˨
聯考	lian˨˦kʰo˥˧
聯誼	lian˨˦gi˨˦
聯軍	lian˨˦kun˥˥
聯邦	lian˨˦paŋ˥˥
聯隊	lian˨˦tui˧˧
聰明	tsʰoŋ˥˥biŋ˨˦
聲	siŋ˥˥
聲	sĩã˥˥
聲先到	sĩã˥˥siŋ˥˥kau˨˩
聲勢	sĩã˥˥se˨˩
聲嗽	sĩã˥˥sau˨˩
聲援	sĩã˥˥uan˧˧
聲明	siŋ˥˥biŋ˨˦
聲望	siŋ˥˥boŋ˧˧
聲浪	sĩã˥˥loŋ˧˧
聲稱	siŋ˥˥tsʰiŋ˥˥
聲聲句句	sĩã˥˥sĩã˥˥ku˨˩ku˨˩
聲說	sĩã˥˥sueʔ˨
聲調	sĩã˥˥tiau˧˧
聲音	sĩã˥˥im˥˥
聳	tsʰaŋ˨˩
聳勢	saŋ˥˧se˨˩
聳鬚	tsʰaŋ˨˩tsʰiu˥˥
職	tsit˨
職位	tsit˨ui˧˧
職務	tsit˨bu˧˧
職員	tsit˨uan˨˦
職業	tsit˨giap˦
職權	tsit˨kʰuan˨˦
職災	tsit˨tsai˥˥
職籃	tsit˨na˨˦
職缺	tsit˨kʰueʔ˨
職能	tsit˨liŋ˨˦
職訓	tsit˨hun˨˩
職責	tsit˨tsik˨
聽	tʰiŋ˨˩
聽	tʰĩã˥˥
聽候	tʰiŋ˨˩hau˧˧
聽力	tʰĩã˥˥lik˦
聽友	tʰĩã˥˥iu˥˧
聽喙	tʰĩã˥˥tsʰui˨˩
聽好	tʰiŋ˨˩ho˥˧
聽某喙	tʰĩã˥˥bɔ˥˧tsʰui˨˩
聽眾	tʰĩã˥˥tsioŋ˨˩
聽筒	tʰĩã˥˥taŋ˨˦
聽著	tʰĩã˥˥tioʔ˨
聽見	tʰĩã˥˥kĩ˨˩
聽話	tʰĩã˥˥ue˧˧
聽說	tʰĩã˥˥sueʔ˨
聽講	tʰĩã˥˥koŋ˥˧
聽講彼間厝有歹物	tʰĩã˥˥koŋ˥˧hit˨kiŋ˥˥tsʰu˨˩u˧˧pʰãĩ˥˧miʔ˦
聽講這款藥仔會當止嗽化痰兼顧肺管	tʰĩã˥˥koŋ˥˧tsit˨kʰuan˥˧ioʔ˨a˥˧e˧˧taŋ˨˩tsi˥˧sau˨˩hua˨˩tʰam˨˦kiam˥˥kɔ˨˩hi˨˩kńg1
聽香	tʰĩã˥˥hĩũ˥˥
聿	ut˦
肅貪	siok˨tʰam˥˥
肅靜	siok˨tsiŋ˧˧
肉	baʔ˨
肉	dziok˨
肉丸仔	baʔ˨uan˨˦a˥˧
肉乾	baʔ˨kũã˥˥
肉包	baʔ˨pau˥˥
肉品	baʔ˨pʰin˥˧
肉圓	baʔ˨uan˨˦
肉幼仔	baʔ˨iu˨˩a˥˧
肉感	baʔ˨kam˥˧
肉拊	baʔ˨hu˥˧
肉桂	dziok˨kui˨˩
肉燥	baʔ˨so˨˩
肉燥飯	baʔ˨so˨˩pŋ˥˥
肉瘤	baʔ˨liu˨˦
肉皮	baʔ˨pʰue˨˦
肉砧	baʔ˨tiam˥˥
肉粽	baʔ˨tsaŋ˨˩
肉粽節	baʔ˨tsaŋ˨˩tseʔ˨
肉粽角	baʔ˨tsaŋ˨˩kak˨
肉糋	baʔ˨tsĩ˨˩
肉絲	baʔ˨si˥˥
肉繭仔	baʔ˨kian˥˧a˥˧
肉羹	baʔ˨kẽ˥˥
肉脯	baʔ˨pɔ˥˧
肉色	baʔ˨sik˨
肉豆	baʔ˨tau˧˧
肉豉仔	baʔ˨sĩ˧˧a˥˧
肉質	baʔ˨tsit˨
肉跤仔	baʔ˨kʰa˥˥a˥˧
肉酥	baʔ˨sɔ˥˥
肉雞仔	baʔ˨ke˥˥a˥˧
肉類	baʔ˨lui˧˧
肉餅	baʔ˨pĩã˥˧
肉骨	baʔ˨kut˨
肉體	baʔ˨tʰe˥˧
肉魚仔	baʔ˨hi˨˦a˥˧
肉鯽仔	baʔ˨tsit˨a˥˧
肚	tɔ˥˧
肚	tɔ˧˧
肚大居財王	tɔ˥˧tua˧˧ki˥˥tsai˨˦oŋ˨˦
肚綰	tɔ˥˧kũã˧˧
肚胿仔	tɔ˧˧kuai˥˥a˥˧
肚脹	tɔ˥˧tioŋ˨˩
肚腸	tɔ˧˧tŋ˥˥
肚臍	tɔ˧˧tsai˨˦
肚臍空	tɔ˧˧tsai˨˦kʰaŋ˥˥
肝	kan˥˥
肝	kũã˥˥
肝炎	kũã˥˥iam˧˧
肝病	kũã˥˥pẽ˧˧
肝癌	kũã˥˥gam˨˦
肝𦟪	kũã˥˥lian˨˦
股	kɔ˥˧
股仔囝	kɔ˥˧a˥˧kĩã˥˧
股份	kɔ˥˧hun˧˧
股價	kɔ˥˧ke˨˩
股利	kɔ˥˧li˧˧
股市	kɔ˥˧tsʰi˧˧
股本	kɔ˥˧pun˥˧
股東	kɔ˥˧toŋ˥˥
股權	kɔ˥˧kʰuan˨˦
股票	kɔ˥˧pʰio˨˩
股票上市	kɔ˥˧pʰio˨˩tsĩũ˧˧tsʰi˧˧
股長	kɔ˥˧tĩũ˥˧
肢	ki˥˥
肢體	ki˥˥tʰe˥˧
肥	pui˨˦
肥底	pui˨˦te˥˧
肥料	pui˨˦liau˧˧
肥朒朒	pui˨˦tsut˨tsut˨
肥肉	pui˨˦baʔ˨
肥軟	pui˨˦nńg1
肨奶	haŋ˨˩liŋ˥˥
肩胛	kiŋ˥˥kaʔ˨
肩胛頭	kiŋ˥˥kaʔ˨tʰau˨˦
肩頭	kiŋ˥˥tʰau˨˦
肯	kʰiŋ˥˧
肯定	kʰiŋ˥˧tiŋ˧˧
育	io˥˥
育囝	io˥˥kĩã˥˧
育囡仔	io˥˥gin˥˧a˥˧
育囡仔歌	io˥˥gin˥˧a˥˧kua˥˥
育幼院	iok˨iu˨˩ĩ˧˧
育飼	io˥˥tsʰi˧˧
育𤆬	io˥˥tsʰua˧˧
肺	hi˨˩
肺炎	hi˨˩iam˧˧
肺癆	hi˨˩lo˨˦
肺癌	hi˨˩gam˨˦
肺管	hi˨˩kńg1
肺部	hi˨˩pɔ˧˧
胃	ui˧˧
胃下垂	ui˧˧ha˧˧sui˨˦
胃出血	ui˧˧tsʰut˨hueʔ˨
胃口	ui˧˧kʰau˥˧
胃慒慒	ui˧˧tso˥˥tso˥˥
胃潰瘍	ui˧˧kʰui˨˩ioŋ˨˦
胃病	ui˧˧pẽ˧˧
胃癌	ui˧˧gam˨˦
胃藥	ui˧˧ioʔ˨
背	pue˧˧
背冊	pue˧˧tsʰeʔ˨
背影	pue˧˧ĩã˥˧
背後	pue˧˧au˧˧
背景	pue˧˧kiŋ˥˧
背約	pue˧˧iok˨
背骨	pue˧˧kut˨
胎	tʰai˥˥
胎	tʰe˥˥
胎神	tʰai˥˥sin˨˦
胘	kian˧˧
胚	pʰue˥˥
胛心肉	kaʔ˨sim˥˥baʔ˨
胡椒	hɔ˨˦tsio˥˥
胡蠅	hɔ˨˦sin˨˦
胡蠅屎痣	hɔ˨˦sin˨˦sai˥˧ki˨˩
胡蠅拍仔	hɔ˨˦sin˨˦pʰaʔ˨a˥˧
胡蠅紙	hɔ˨˦sin˨˦tsua˥˧
胡蠅舞屎桮	hɔ˨˦sin˨˦bu˥˧sai˥˧pue˥˥
胡蠅虎	hɔ˨˦sin˨˦hɔ˥˧
胡蠅黐	hɔ˨˦sin˨˦tʰi˥˥
胭脂	ian˥˥tsi˥˥
胮	haŋ˨˩
胳下空	koʔ˨e˧˧kʰaŋ˥˥
胸	hiŋ˥˥
胸前	hiŋ˥˥tsiŋ˨˦
胸坎	hiŋ˥˥kʰam˥˧
胸坎若樓梯	hiŋ˥˥kʰam˥˧na˥˧lau˨˦tʰui˥˥
胸坎骨	hiŋ˥˥kʰam˥˧kut˨
胸掛骨	hiŋ˥˥kua˨˩kut˨
能	liŋ˨˦
能力	liŋ˨˦lik˦
能源	liŋ˨˦guan˨˦
能耐	liŋ˨˦nai˧˧
能量	liŋ˨˦lioŋ˧˧
胿	kui˥˥
脆	tsʰe˨˩
脆弱	tsʰui˨˩dziok˨
脆柿	tsʰe˨˩kʰi˧˧
脈	meʔ˦
脣	tun˨˦
脫	tʰuat˨
脫	tʰut˦
脫手	tʰuat˨tsʰiu˥˧
脫水	tʰuat˨tsui˥˧
脫種	tʰuat˨tsiŋ˥˧
脫箠	tʰut˨tsʰue˨˦
脫線	tʰuat˨sũã˨˩
脫衣舞	tʰuat˨i˥˥bu˥˧
脫走	tʰuat˨tsau˥˧
脫身	tʰuat˨sin˥˥
脫輪	tʰut˦lun˨˦
脫離	tʰuat˨li˧˧
脯	pɔ˥˧
脯脯	pɔ˥˧pɔ˥˧
脹	tioŋ˨˩
脹	tĩũ˨˩
脹氣	tĩũ˨˩kʰi˨˩
脹肚	tĩũ˨˩tɔ˧˧
脹胿	tĩũ˨˩kui˥˥
脹膿	tĩũ˨˩laŋ˨˦
脾	pi˨˦
脾土	pi˨˦tʰɔ˥˧
脾氣	pʰi˨˦kʰi˨˩
脾胃	pi˨˦ui˧˧
腌臢	a˥˥tsa˥˥
腎	sin˧˧
腐化	hu˥˧hua˨˩
腐敗	hu˥˧pai˧˧
腐爛	hu˥˧nua˧˧
腔	kʰĩũ˥˥
腔口	kʰĩũ˥˥kʰau˥˧
腡	le˨˦
腥	tsʰẽ˨˩
腥臊	tsʰẽ˥˥tsʰau˥˥
腦	nau˥˧
腦充血	nau˥˧tsʰioŋ˥˥hiat˨
腦力	nau˥˧lik˦
腦海	nau˥˧hai˥˧
腦筋	nau˥˧kin˥˥
腦膜炎	nau˥˧mɔʔ˨iam˧˧
腦貧血	nau˥˧pin˨˦hiat˨
腦部	nau˥˧pɔ˧˧
腦髓	nau˥˧tsʰue˥˧
腫	tsiŋ˥˧
腫頷	tsiŋ˥˧am˧˧
腰	io˥˥
腰內肉	io˥˥lai˧˧baʔ˨
腰子	io˥˥tsi˥˧
腰子病	io˥˥tsi˥˧pẽ˧˧
腰尺	io˥˥tsʰioʔ˨
腰帶	io˥˥tua˨˩
腰桶	io˥˥tʰaŋ˥˧
腰痠背疼	io˥˥sŋ˥˥pue˧˧tʰĩã˨˩
腰脊骨	io˥˥tsiaʔ˨kut˨
腰骨	io˥˥kut˨
腱子肉	kian˨˩tsi˥˧baʔ˨
腳數	kioʔ˨siau˨˩
腸	tŋ˥˥
腸仔	tŋ˥˥a˥˧
腸仔炎	tŋ˥˥a˥˧iam˧˧
腸仔熱	tŋ˥˥a˥˧dziat˦
腸仔𣻸	tŋ˥˥a˥˧sĩũ˨˦
腸病毒	tŋ˥˥pẽ˧˧tok˨
腸肚	tŋ˥˥tɔ˧˧
腹	pak˨
腹內	pak˨lai˧˧
腹肚	pak˨tɔ˥˧
腹肚做藥櫥	pak˨tɔ˥˧tso˨˩ioʔ˨tu˨˦
腹肚尾	pak˨tɔ˥˧bue˥˧
腹肚枵	pak˨tɔ˥˧iau˥˥
腹肚若水櫃	pak˨tɔ˥˧na˥˧tsui˥˧kui˧˧
腹腸	pak˨tŋ˥˥
腿	tʰui˥˧
腿庫	tʰui˥˧kʰɔ˨˩
膀胱	pʰoŋ˨˦koŋ˥˥
膁肚	liam˥˧tɔ˥˧
膎	ke˨˦
膏	ko˥˥
膏肓	kɔ˥˥boŋ˨˦
膏膏纏	ko˥˥ko˥˥tĩ˨˦
膏藥	kɔ˥˥ioʔ˨
膚	hu˥˥
膚質	hu˥˥tsit˨
膜	mɔʔ˨
膠	ka˥˥
膣	tsi˥˥
膣屄	tsi˥˥bai˥˥
膨	pʰoŋ˨˩
膨床	pʰoŋ˨˩tsʰŋ˥˥
膨椅	pʰoŋ˨˩i˥˧
膨獅獅	pʰoŋ˨˩sai˥˥sai˥˥
膨疱	pʰoŋ˨˩pʰa˧˧
膨皮	pʰoŋ˨˩pʰue˨˦
膨粉	pʰoŋ˨˩hun˥˧
膨紗	pʰoŋ˨˩se˥˥
膨紗衫	pʰoŋ˨˩se˥˥sã˥˥
膨肚短命	pʰoŋ˨˩tɔ˧˧te˥˧mia˧˧
膨風	pʰoŋ˨˩hoŋ˥˥
膨風水雞刣無肉	pʰoŋ˨˩hoŋ˥˥tsui˥˧ke˥˥tʰai˨˦bo˨˦baʔ˨
膨風龜	pʰoŋ˨˩hoŋ˥˥ku˥˥
膨餅	pʰoŋ˨˩pĩã˥˧
膨鼠	pʰoŋ˨˩tsʰi˥˧
膩瓤	dzi˧˧nŋ˥˥
膭	kui˧˧
膭水	kui˧˧tsui˥˧
膽	tam˥˧
膽	tã˥˧
膽肝	tam˥˧kũã˥˥
膽膽	tam˥˧tam˥˧
膽識	tam˥˧sik˨
膽量	tam˥˧lioŋ˧˧
膽頭	tã˥˧tʰau˨˦
膿	laŋ˨˦
臆	ioʔ˨
臆出出	ioʔ˨tsʰut˨tsʰut˨
臊	tsʰo˥˥
臊菜	tsʰo˥˥tsʰai˨˩
臍	tsai˨˦
臘肉	laʔ˦baʔ˨
臣	sin˨˦
臨	lim˥˧
臨	lim˨˦
臨床	lim˨˦tsʰŋ˥˥
臨急	lim˨˦kip˨
臨時	lim˨˦si˨˦
臨時臨曜	lim˨˦si˨˦lim˨˦iau˧˧
臨機應變	lim˨˦ki˥˥iŋ˨˩pian˨˩
臨檢	lim˨˦kiam˥˧
臨終	lim˨˦tsioŋ˥˥
臨臨仔	lim˥˧lim˥˧a˥˧
自	tsu˧˧
自主	tsu˧˧tsu˥˧
自作孽	tsu˧˧tsok˨giat˦
自作自受	tsu˧˧tsok˨tsu˧˧siu˧˧
自作自專	tsu˧˧tsok˨tsu˧˧tsuan˥˥
自來	tsu˧˧lai˨˦
自來水	tsu˧˧lai˨˦tsui˥˧
自保	tsu˧˧po˥˧
自信	tsu˧˧sin˨˩
自修	tsu˧˧siu˥˥
自傳	tsu˧˧tuan˧˧
自助	tsu˧˧tsɔ˧˧
自動	tsu˧˧toŋ˧˧
自動車	tsu˧˧toŋ˧˧tsʰia˥˥
自卑	tsu˧˧pi˥˥
自在	tsu˧˧tsai˧˧
自家用的	tsu˧˧ka˥˥ioŋ˧˧e˨˦
自尊心	tsu˧˧tsun˥˥sim˥˥
自己	tsu˧˧ki˥˧
自底	tsu˧˧te˥˧
自強	tsu˧˧kioŋ˨˦
自律	tsu˧˧lut˦
自從	tsu˧˧tsioŋ˨˦
自我	tsu˧˧ŋɔ˥˧
自排	tsu˧˧pai˨˦
自新	tsu˧˧sin˥˥
自早	tsu˧˧tsa˥˧
自本	tsu˧˧pun˥˧
自殺	tsu˧˧sat˨
自治	tsu˧˧ti˧˧
自然	tsu˧˧dzian˨˦
自用	tsu˧˧ioŋ˧˧
自由	tsu˧˧iu˨˦
自私	tsu˧˧su˥˥
自稱	tsu˧˧tsʰiŋ˥˥
自立	tsu˧˧lip˦
自細漢爸母就過身矣	tsu˧˧se˨˩han˨˩pe˧˧bu˥˧to˧˧kue˨˩sin˥˥aʔ˨
自衛	tsu˧˧ue˧˧
自覺	tsu˧˧kak˨
自認	tsu˧˧dzin˧˧
自謙	tsu˧˧kʰiam˥˥
自責	tsu˧˧tsik˨
自費	tsu˧˧hui˨˩
自身	tsu˧˧sin˥˥
自轉車	tsu˧˧tsuan˥˧tsʰia˥˥
自頭	tsu˧˧tʰau˨˦
自願	tsu˧˧guan˧˧
自首	tsu˧˧siu˥˧
臭	tsʰau˨˩
臭丸	tsʰau˨˩uan˨˦
臭人	tsʰau˨˩laŋ˨˦
臭喙角	tsʰau˨˩tsʰui˨˩kak˨
臭塗味	tsʰau˨˩tʰɔ˨˦bi˧˧
臭奶呆	tsʰau˨˩liŋ˥˥tai˥˥
臭奶羶	tsʰau˨˩liŋ˥˥hian˨˩
臭尿破味	tsʰau˨˩dzio˧˧pʰua˨˩bi˧˧
臭尿薟	tsʰau˨˩dzio˧˧hiam˥˥
臭屁	tsʰau˨˩pʰui˨˩
臭屁仙	tsʰau˨˩pʰui˨˩sian˥˥
臭彈	tsʰau˨˩tũã˧˧
臭柿仔	tsʰau˨˩kʰi˧˧a˥˧
臭殕	tsʰau˨˩pʰu˥˧
臭汗酸	tsʰau˨˩kũã˧˧sŋ˥˥
臭油	tsʰau˨˩iu˨˦
臭油垢	tsʰau˨˩iu˨˦kau˥˧
臭油餲	tsʰau˨˩iu˨˦ai˥˥
臭溝仔	tsʰau˨˩kau˥˥a˥˧
臭火焦	tsʰau˨˩hue˥˧ta˥˥
臭火燒	tsʰau˨˩hue˥˧sio˥˥
臭火薰	tsʰau˨˩hue˥˧hun˥˥
臭焦	tsʰau˨˩ta˥˥
臭煬	tsʰau˨˩iaŋ˧˧
臭礬	tsʰau˨˩huan˨˦
臭羶	tsʰau˨˩hian˨˩
臭老	tsʰau˨˩lau˧˧
臭老羶	tsʰau˨˩lau˧˧hian˨˩
臭耳甕仔	tsʰau˨˩hĩ˧˧aŋ˨˩a˥˧
臭耳聾	tsʰau˨˩hĩ˧˧laŋ˨˦
臭腥	tsʰau˨˩tsʰẽ˨˩
臭腥仔	tsʰau˨˩tsʰẽ˥˥a˥˧
臭腥公	tsʰau˨˩tsʰẽ˥˥koŋ˥˥
臭腥龜仔	tsʰau˨˩tsʰẽ˨˩ku˥˥a˥˧
臭臊	tsʰau˨˩tsʰo˥˥
臭薟薟	tsʰau˨˩hiam˥˥hiam˥˥
臭藥丸仔	tsʰau˨˩ioʔ˨uan˨˦a˥˧
臭豆腐	tsʰau˨˩tau˧˧hu˧˧
臭賤	tsʰau˨˩tsian˧˧
臭跤液	tsʰau˨˩kʰa˥˥sioʔ˨
臭跤鼻臁	tsʰau˨˩kʰa˥˥pʰĩ˧˧liam˨˦
臭酸	tsʰau˨˩sŋ˥˥
臭面	tsʰau˨˩bin˧˧
臭頭	tsʰau˨˩tʰau˨˦
臭頭仔嘛會做皇帝	tsʰau˨˩tʰau˨˦a˥˧ma˧˧e˧˧tso˨˩hoŋ˨˦te˨˩
臭頭雞仔	tsʰau˨˩tʰau˨˦ke˥˥a˥˧
臭風	tsʰau˨˩hoŋ˥˥
臭香	tsʰau˨˩hĩũ˥˥
至少	tsi˨˩tsio˥˧
至親	tsi˨˩tsʰin˥˥
致	ti˨˩
致使	ti˨˩su˥˧
致心	ti˨˩sim˥˥
致意	ti˨˩i˨˩
致病	ti˨˩pẽ˧˧
致著這款歹症頭真歹醫	ti˨˩tioʔ˨tsit˨kʰuan˥˧pʰãĩ˥˧tsiŋ˨˩tʰau˨˦tsin˥˥pʰãĩ˥˧i˥˥
致蔭	ti˨˩im˨˩
致詞	ti˨˩su˨˦
致謝	ti˨˩sia˧˧
致身命	ti˨˩sin˥˥mia˧˧
致辭	ti˨˩su˨˦
臺中	tai˨˦tioŋ˥˥
臺中港	tai˨˦tioŋ˥˥kaŋ˥˧
臺北	tai˨˦pak˨
臺北101	tai˨˦pak˨it˨kʰoŋ˨˩it˨
臺北小城	tai˨˦pak˨sio˥˧sĩã˨˦
臺北小巨蛋	tai˨˦pak˨sio˥˧ki˧˧tan˨˩
臺北是一个四通八達的大城市	tai˨˦pak˨si˧˧tsit˦e˨˦su˨˩tʰoŋ˥˥pat˨tat˦e˨˦tua˧˧sĩã˨˦tsʰi˧˧
臺北橋	tai˨˦pak˨kio˨˦
臺北海洋大學	tai˨˦pak˨hai˥˧ĩũ˨˦tai˧˧hak˦
臺北車站	tai˨˦pak˨tsʰia˥˥tsam˧˧
臺北車頭內面五路的人攏有	tai˨˦pak˨tsʰia˥˥tʰau˨˦lai˧˧bin˧˧ŋɔ˥˧lɔ˧˧e˨˦laŋ˨˦loŋ˥˧u˧˧
臺南	tai˨˦lam˨˦
臺商	tai˨˦sioŋ˥˥
臺大醫院	tai˨˦tai˧˧pẽ˧˧ĩ˧˧
臺東	tai˨˦taŋ˥˥
臺海	tai˨˦hai˥˧
臺灣現此時的人工真貴	tai˨˦uan˨˦hian˧˧tsʰu˥˧si˨˦e˨˦laŋ˨˦kaŋ˥˥tsin˥˥kui˨˩
臺灣錢	tai˨˦uan˨˦tsĩ˨˦
臺票	tai˨˦pʰio˨˩
臺胞	tai˨˦pau˥˥
臺鐵	tai˨˦tʰiʔ˨
臺鐵美術館	tai˨˦tʰiʔ˨bi˥˧sut˦kuan˥˧
臺電	tai˨˦tian˧˧
臺電大樓	tai˨˦tian˧˧tua˧˧lau˨˦
舀	ĩũ˥˧
舀水	ĩũ˥˧tsui˥˧
舀肥	ĩũ˥˧pui˨˦
舂	tsiŋ˥˥
舂破額	tsiŋ˥˥pʰua˨˩hiaʔ˦
舂米	tsiŋ˥˥bi˥˧
舂臼	tsiŋ˥˥kʰu˧˧
舅	ku˧˧
舅仔	ku˧˧a˥˧
舅仔探房	ku˧˧a˥˧tʰam˨˩paŋ˨˦
舅公	ku˧˧koŋ˥˥
與會	u˥˧hue˧˧
興	hiŋ˥˥
興	hiŋ˨˩
興南	hiŋ˥˥lam˨˦
興建	hiŋ˥˥kian˨˩
興旺	hiŋ˥˥oŋ˧˧
興衰	hiŋ˥˥sue˥˥
興趣	hiŋ˨˩tsʰu˨˩
興酒	hiŋ˨˩tsiu˥˧
興頭	hiŋ˨˩tʰau˨˦
舉例	ki˥˧le˧˧
舉出	ki˥˧tsʰut˨
舉動	ki˥˧toŋ˧˧
舉荐	ki˥˧tsian˨˩
舉行	ki˥˧hiŋ˨˦
舉辦	ki˥˧pan˧˧
舊	ku˧˧
舊囚食新囚	ku˧˧siu˨˦tsiaʔ˦sin˥˥siu˨˦
舊年	ku˧˧ni˨˦
舊年遮火燒山	ku˧˧ni˨˦tsia˥˥hue˥˧sio˥˥sũã˥˥
舊底	ku˧˧te˥˧
舊式	ku˧˧sik˨
舊數	ku˧˧siau˨˩
舊曆	ku˧˧lik˦
舊曆正月初九是天公生	ku˧˧lik˦tsĩã˥˥gueʔ˦tsʰe˥˥kau˥˧si˧˧tʰĩ˥˥koŋ˥˥sẽ˥˥
舊曆的小月干焦二十九工爾爾	ku˧˧lik˦e˨˦sio˥˧gueʔ˦kan˥˥na˥˥dzi˧˧tsap˦kau˥˧kaŋ˥˥nia˧˧nia˧˧
舊漚舊臭	ku˧˧au˨˩ku˧˧tsʰau˨˩
舊症頭	ku˧˧tsiŋ˨˩tʰau˨˦
舊社	ku˧˧sia˧˧
舊舊仔	ku˧˧ku˧˧a˥˧
舌	tsiʔ˦
舐	tsĩ˧˧
舒	tsʰu˥˥
舒被	tsʰu˥˥pʰue˧˧
舖	pʰɔ˨˩
舞	bu˥˧
舞動	bu˥˧toŋ˧˧
舞台	bu˥˧tai˨˦
舞團	bu˥˧tʰuan˨˦
舞女	bu˥˧li˥˧
舞廳	bu˥˧tʰĩã˥˥
舞曲	bu˥˧kʰik˨
舞會	bu˥˧hue˧˧
舞步	bu˥˧pɔ˧˧
舞池	bu˥˧ti˨˦
舞男	bu˥˧lam˨˦
舞蹈	bu˥˧to˧˧
舢舨仔	sam˥˥pan˥˧a˥˧
航權	haŋ˨˦kʰuan˨˦
航班	haŋ˨˦pan˥˥
航程	haŋ˨˦tiŋ˨˦
航空	haŋ˨˦kʰoŋ˥˥
航站	haŋ˨˦tsam˧˧
航線	haŋ˨˦sũã˨˩
航行	haŋ˨˦hiŋ˨˦
航運	haŋ˨˦un˧˧
舵公	tai˧˧koŋ˥˥
船	tsun˨˦
船主	tsun˨˦tsu˥˧
船仔	tsun˨˦a˥˧
船員	tsun˨˦uan˨˦
船尾	tsun˨˦bue˥˧
船廠	tsun˨˦tsʰĩũ˥˧
船期	tsun˨˦ki˨˦
船桮	tsun˨˦pue˥˥
船欲入港的時會霆水螺	tsun˨˦beʔ˨dzip˦kaŋ˥˧e˨˦si˨˦e˧˧tan˨˦tsui˥˧le˨˦
船艙	tsun˨˦tsʰŋ˥˥
船過水無痕	tsun˨˦kue˨˩tsui˥˧bo˨˦hun˨˦
船長	tsun˨˦tĩũ˥˧
船隻	tsun˨˦tsiaʔ˨
船頭	tsun˨˦tʰau˨˦
艦隊	lam˧˧tui˧˧
良好	lioŋ˨˦ho˥˧
良心	lioŋ˨˦sim˥˥
良性	lioŋ˨˦siŋ˨˩
良知	lioŋ˨˦ti˥˥
艱苦	kan˥˥kʰɔ˥˧
艱苦人	kan˥˥kʰɔ˥˧laŋ˨˦
艱苦罪過	kan˥˥kʰɔ˥˧tse˧˧kua˨˩
艱苦頭	kan˥˥kʰɔ˥˧tʰau˨˦
艱難	kan˥˥lan˨˦
色	sik˨
色彩	sik˨tsʰai˥˧
色情	sik˨tsiŋ˨˦
色水	sik˨tsui˥˧
色盲	sik˨boŋ˨˦
色素	sik˨sɔ˨˩
色緻	sik˨ti˧˧
艾	hĩã˧˧
艾	ŋai˧˧
芋	ɔ˧˧
芋仔	ɔ˧˧a˥˧
芋冰	ɔ˧˧piŋ˥˥
芋圓	ɔ˧˧ĩ˨˦
芋泥	ɔ˧˧ni˨˦
芋稈	ɔ˧˧kũãĩ˥˧
芋粿	ɔ˧˧kue˥˧
芋粿曲	ɔ˧˧kue˥˧kʰiau˥˥
芋莖	ɔ˧˧hũãĩ˨˦
芒種	boŋ˨˦tsiŋ˥˧
