a	aː
rōrulentus	roːrulentus
rōrō	roːroː
rōs	roːs
rōsa	roːsa
rōsa	roːsaː
rōscidus	roːskidus
rōse	roːse
rōsit	roːsit
rōsmarīnus	roːsmariːnus
rōssia	roːssia
rōstra	roːstra
rōstrum	roːstrum
rōstrātus	roːstraːtus
rōstrō	roːstroː
rōsī	roːsiː
rōsō	roːsoː
rōsōs	roːsoːs
rūbidus	ruːbidus
rūbīginō	ruːbiːɡinoː
rūbīginōsus	ruːbiːɡinoːsus
rūctus	ruːktus
rūctā	ruːktaː
rūctābundus	ruːktaːbundus
rūctō	ruːktoː
rūfa	ruːfa
rūfa	ruːfaː
rūficeps	ruːfikeps
rūfinus	ruːfinus
rūfius	ruːfius
rūfocaudātus	ruːfokau̯daːtus
rūfocānus	ruːfokaːnus
rūfulus	ruːfulus
rūfulō	ruːfuloː
rūfus	ruːfus
rūfās	ruːfaːs
rūfī	ruːfiː
rūfō	ruːfoː
rūfōs	ruːfoːs
rūga	ruːɡa
rūgulōsus	ruːɡuloːsus
rūgōsus	ruːɡoːsus
rūmen	ruːmen
rūmigō	ruːmiɡoː
rūminandus	ruːminandus
rūminor	ruːminor
rūminātūrus	ruːminaːtuːrus
rūmor	ruːmor
rūpestris	ruːpestris
rūpicola	ruːpikola
rūpicola	ruːpikolaː
rūpicolus	ruːpikolus
rūpēs	ruːpeːs
rūrestris	ruːrestris
rūricola	ruːrikola
rūrālis	ruːraːlis
rūrī	ruːriː
rūs	ruːs
rūscum	ruːskum
rūsicadē	ruːsikadeː
rūsticor	ruːstikor
rūsticule	ruːstikule
rūsticulus	ruːstikulus
rūsticus	ruːstikus
rūsticānus	ruːstikaːnus
rūta	ruːta
rȳxis	ryːksis
saba	saba
sabacēs	sabakeːs
sabaia	sabai̯i̯a
sabalingiī	sabalinɡiiː
sabana	sabana
sabanum	sabanum
sabanō	sabanoː
sabarbarēs	sabarbareːs
sabatus	sabatus
sabbaticus	sabbatikus
sabbaticī	sabbatikiː
sabbatismus	sabbatismus
sabbatizō	sabbatizzoː
sabbatum	sabbatum
sabbatārius	sabbataːrius
sabbatō	sabbatoː
sabdata	sabdata
sabellius	sabellius
sabidius	sabidius
sabis	sabis
sabora	sabora
sabrīnus	sabriːnus
sabucius	sabukius
sabulō	sabuloː
sabulōsus	sabuloːsus
sabura	sabura
saburra	saburra
saburrālis	saburraːlis
saburrō	saburroː
sabānus	sabaːnus
sabāria	sabaːria
sabīnius	sabiːnius
sabīnus	sabiːnus
sabīnī	sabiːniː
sabōcī	saboːkiː
sacassānī	sakassaːniː
sacatos	sakatos
saccellus	sakkellus
sacceus	sakkeus
saccharolyticus	sakkʰarolytikus
saccharum	sakkʰarum
saccharīnus	sakkʰariːnus
saccibuccis	sakkibukkis
saccipērium	sakkipeːrium
sacculus	sakkulus
sacculārius	sakkulaːrius
sacculī	sakkuliː
saccus	sakkus
saccārius	sakkaːrius
saccīnus	sakkiːnus
sacellum	sakellum
sacer	saker
sacerdōs	sakerdoːs
sacerdōtium	sakerdoːtium
sacerdōtula	sakerdoːtula
sacerdōtālis	sakerdoːtaːlis
sachalinēnsis	sakʰalinensis
sacricola	sakrikola
sacrifer	sakrifer
sacrificiolus	sakrifikiolus
sacrificium	sakrifikium
sacrificiālis	sakrifikiaːlis
sacrificulus	sakrifikulus
sacrificus	sakrifikus
sacrificālis	sakrifikaːlis
sacrificātiō	sakrifikaːtioː
sacrificātor	sakrifikaːtor
sacrificātus	sakrifikaːtus
sacrificō	sakrifikoː
sacrilegium	sakrileɡium
sacrilegus	sakrileɡus
sacrima	sakrima
sacristia	sakristia
sacrium	sakrium
sacrolumbālis	sakrolumbaːlis
sacruficō	sakrufikoː
sacrum	sakrum
sacrāmentum	sakraːmentum
sacrāmentālis	sakraːmentaːlis
sacrārium	sakraːrium
sacrārius	sakraːrius
sacrātiō	sakraːtioː
sacrātor	sakraːtor
sacrō	sakroː
sacrōsānctus	sakroːsaːnktus
sacēna	sakeːna
sadalēs	sadaleːs
sadamē	sadameː
saddarus	saddarus
saddūcaeus	sadduːkae̯us
sadocus	sadokus
sadyattēs	sadyatteːs
saeclum	sae̯klum
saeclāris	sae̯klaːris
saeculum	sae̯kulum
saeculāris	sae̯kulaːris
saenius	sae̯nius
saepe	sae̯pe
saepis	sae̯pis
saepiō	sae̯pioː
saeponē	sae̯poneː
saeprus	sae̯prus
saepserimus	sae̯pserimus
saepserimus	sae̯pseriːmus
saepseris	sae̯pseris
saepseris	sae̯pseriːs
saepseritis	sae̯pseritis
saepseritis	sae̯pseriːtis
saeptī	sae̯ptiː
saepēs	sae̯peːs
saepīs	sae̯piːs
saeta	sae̯ta
saetiger	sae̯tiɡer
saetās	sae̯taːs
saetōsus	sae̯toːsus
saevidicus	sae̯u̯idikus
saevitia	sae̯u̯itia
saevitās	sae̯u̯itaːs
saevitūdō	sae̯u̯ituːdoː
saevius	sae̯u̯ius
saeviō	sae̯u̯ioː
saevus	sae̯u̯us
saevē	sae̯u̯eː
saevīrimus	sae̯u̯iːrimus
saevīrimus	sae̯u̯iːriːmus
saevīris	sae̯u̯iːris
saevīris	sae̯u̯iːriːs
saevīritis	sae̯u̯iːritis
saevīritis	sae̯u̯iːriːtis
safinius	safinius
sagapēnum	saɡapeːnum
sagiatta	saɡiatta
sagis	saɡis
sagitta	saɡitta
sagittae	saɡittae̯
sagittifer	saɡittifer
sagittifolius	saɡittifolius
sagittiger	saɡittiɡer
sagittula	saɡittula
sagittālis	saɡittaːlis
sagittārius	saɡittaːrius
sagittō	saɡittoː
sagma	saɡma
sagmen	saɡmen
sagmārius	saɡmaːrius
sagochlamys	saɡokʰlamys
sagra	saɡra
sagrus	saɡrus
sagulum	saɡulum
sagulātus	saɡulaːtus
sagum	saɡum
sagum	saːɡum
sagus	saɡus
sagāciter	saɡaːkiter
sagātus	saɡaːtus
sagāx	saɡaːks
sagēna	saɡeːna
sagīna	saɡiːna
sagīnō	saɡiːnoː
sahāricus	sahaːrikus
saigonēnsis	sai̯ɡonensis
sais	sais
saiō	sai̯i̯oː
salacō	salakoː
salamandra	salamandra
salamīs	salamiːs
salapia	salapia
salassī	salassiː
saldae	saldae̯
salduba	salduba
salebra	salebra
saletiō	saletioː
salgama	salɡama
salia	salia
salicastrum	salikastrum
salicifolius	salikifolius
salictum	saliktum
salicīna	salikiːna
salicīna	salikiːnaː
salicīnus	salikiːnus
salient	salient
salientēs	salienteːs
salignus	saliɡnus
salisātor	salisaːtor
salix	saliks
saliēnus	salieːnus
sallustius	sallustius
salmantica	salmantika
salmānī	salmaːniː
salmō	salmoː
salmōna	salmoːna
salmōnēus	salmoːneːus
salobriasae	salobriasae̯
salodūrum	saloduːrum
salomonēnsis	salomonensis
salomōn	salomoːn
salopia	salopia
salopiēnsis	salopiensis
salor	salor
salpa	salpa
salpesa	salpesa
salpingopharyngeus	salpinɡopʰarynɡeus
salpingopharyngeī	salpinɡopʰarynɡeiː
salsilāgō	salsilaːɡoː
salsus	salsus
salsūgō	salsuːɡoː
saltiae	saltiae̯
saltius	saltius
saltābundus	saltaːbundus
saltātiō	saltaːtioː
saltātrīx	saltaːtriːks
saltātōrius	saltaːtoːrius
saltō	saltoː
saluerimus	saluerimus
saluerimus	salueriːmus
salueris	salueris
salueris	salueriːs
salueritis	salueritis
salueritis	salueriːtis
salum	salum
salventibus	salu̯entibus
salveō	salu̯eoː
salvia	salu̯ia
salvidiēnus	salu̯idieːnus
salvificus	salu̯ifikus
salvificātor	salu̯ifikaːtor
salvus	salu̯us
salvātor	salu̯aːtor
salvātrīx	salu̯aːtriːks
salvē	salu̯eː
salvēte	salu̯eːte
salvō	salu̯oː
salācia	salaːkia
salācitās	salaːkitaːs
salārium	salaːrium
salārius	salaːrius
salāriārius	salaːriaːrius
salāx	salaːks
salē	saleː
salēius	saleːi̯us
salēnī	saleːniː
salīllum	saliːllum
salīna	saliːna
salīnātor	saliːnaːtor
salītiō	saliːtioː
salīva	saliːu̯a
salīvārius	saliːu̯aːrius
salīvō	saliːu̯oː
salīvōsus	saliːu̯oːsus
salō	saloː
salōna	saloːna
salōnius	saloːnius
salōnīnus	saloːniːnus
salūber	saluːber
salūbritās	saluːbritaːs
salūbrēs	saluːbreːs
salūs	saluːs
salūtifer	saluːtifer
salūtificātor	saluːtifikaːtor
salūtiger	saluːtiɡer
salūtigerulus	saluːtiɡerulus
salūtābundus	saluːtaːbundus
salūtāre	saluːtaːre
salūtārem	saluːtaːrem
salūtāris	saluːtaːris
salūtārēs	saluːtaːreːs
salūtārī	saluːtaːriː
salūtātiō	saluːtaːtioː
salūtātor	saluːtaːtor
salūtātrīx	saluːtaːtriːks
salūtātīvus	saluːtaːtiːu̯us
salūtātōrius	saluːtaːtoːrius
salūtī	saluːtiː
salūtō	saluːtoː
samamyciī	samamykiiː
samarabriae	samarabriae̯
samarium	samarium
samarobrīva	samarobriːu̯a
samarēnsis	samarensis
samarīa	samariːa
samarītānus	samariːtaːnus
sambiranēnsis	sambiranensis
sambracēnī	sambrakeːniː
sambus	sambus
sambūca	sambuːka
sambūceus	sambuːkeus
sambūcina	sambuːkina
samicum	samikum
samicus	samikus
samius	samius
sammeī	sammeiː
samnium	samnium
samoiedicus	samoi̯i̯edikus
samos	samos
samosata	samosata
samothrācia	samotʰraːkia
samoēnsis	samoensis
sampsa	sampsa
sampsa	sampsaː
sampsae	sampsae̯
sampsam	sampsam
sampsiceramus	sampsikeramus
sampsārum	sampsaːrum
sampsās	sampsaːs
sampsīs	sampsiːs
samōnium	samoːnium
samūēl	samuːeːl
sanatrocēs	sanatrokeːs
sanatrīx	sanatriːks
sanciō	sankioː
sancus	sankus
sandakanēnsis	sandakanensis
sandaligerula	sandaliɡerula
sandaliārius	sandaliaːrius
sandapila	sandapila
sandaraca	sandaraka
sandarēsus	sandareːsus
sandix	sandiks
sandobanēs	sandobaneːs
sandocandae	sandokandae̯
sandvicēnsis	sandu̯ikensis
sandōnēs	sandoːneːs
sangala	sanɡala
sangarius	sanɡarius
sangirēnsis	sanɡirensis
sanguine	sanɡʷine
sanguineus	sanɡʷineus
sanguinitās	sanɡʷinitaːs
sanguinolentus	sanɡʷinolentus
sanguinārius	sanɡʷinaːrius
sanguinō	sanɡʷinoː
sanguinōsus	sanɡʷinoːsus
sanguisūga	sanɡʷisuːɡa
sanigae	saniɡae̯
sanisera	sanisera
sanjuanēnsis	sani̯uanensis
sannī	sanniː
sanquālis	sankʷaːlis
sanquīnius	sankʷiːnius
santaremēnsis	santaremensis
santicum	santikum
santonēs	santoneːs
sanē	saneː
saocorās	saokoraːs
sapaeī	sapae̯iː
sapere	sapere
saphrax	sapʰraks
saphōn	sapʰoːn
sapidus	sapidus
sapientia	sapientia
sapientissimus	sapientissimus
sapientium	sapientium
sapis	sapis
sapiēns	sapiens
sapiō	sapioː
sapor	sapor
sapphīrinus	sappʰiːrinus
sapphīrus	sappʰiːrus
sapphīrātus	sappʰiːraːtus
sapphō	sappʰoː
sappīnus	sappiːnus
sapsa	sapsa
sapse	sapse
sapōrus	sapoːrus
sapōrō	sapoːroː
sarabāra	sarabaːra
saracēnus	sarakeːnus
saracēnō	sarakeːnoː
sarangēs	saranɡeːs
saraparae	saraparae̯
saravus	sarau̯us
sarbacum	sarbakum
sarcasmus	sarkasmus
sarcina	sarkina
sarcinātus	sarkinaːtus
sarcinōsus	sarkinoːsus
sarciō	sarkioː
sarcophagus	sarkopʰaɡus
sarculum	sarkulum
sarcītēs	sarkiːteːs
sarda	sarda
sarda	sardaː
sardabal	sardabal
sarde	sarde
sardemīsus	sardemiːsus
sardius	sardius
sardiātēs	sardiaːteːs
sardonius	sardonius
sardonyx	sardonyks
sardus	sardus
sardās	sardaːs
sardī	sardiː
sardīna	sardiːna
sardīna	sardiːnaː
sardīnus	sardiːnus
sardīs	sardiːs
sardō	sardoː
sardōs	sardoːs
sarepta	sarepta
sarinum	sarinum
sariolēnus	sarioleːnus
sarius	sarius
sariō	sarioː
sarnus	sarnus
sarpō	sarpoː
sarriō	sarrioː
sars	sars
sarsina	sarsina
sarsūrius	sarsuːrius
sarta	sarta
sarus	sarus
sasima	sasima
saskatchewan	saskatkʰeu̯an
sassaeī	sassae̯iː
sassula	sassula
sasurī	sasuriː
sasō	sasoː
sata	sata
satagius	sataɡius
satagō	sataɡoː
satan	satan
satanās	satanaːs
satarchēī	satarkʰeːiː
satellicus	satellikus
satellite	satellite
satellius	satellius
satibarzanēs	satibarzaneːs
satira	satira
satiricus	satirikus
satis	satis
satisfaciō	satisfakioː
satisne	satisne
satispassiō	satispassioː
satiēs	satieːs
satnioeis	satnioe̯is
sator	sator
satrae	satrae̯
satrapa	satrapa
satraps	satraps
satrapēs	satrapeːs
satricum	satrikum
satrius	satrius
satriēnus	satrieːnus
satsumēnsis	satsumensis
satur	satur
satura	satura
saturam	saturam
saturandō	saturandoː
saturante	saturante
saturantī	saturantiː
saturantō	saturantoː
saturat	saturat
saturem	saturem
saturius	saturius
saturor	saturor
saturārem	saturaːrem
saturārās	saturaːraːs
saturārēs	saturaːreːs
saturās	saturaːs
saturāsse	saturaːsse
saturāssem	saturaːssem
saturāssēs	saturaːsseːs
saturāta	saturaːta
saturāta	saturaːtaː
saturāte	saturaːte
saturātī	saturaːtiː
saturātō	saturaːtoː
saturēs	satureːs
saturī	saturiː
saturīs	saturiːs
saturō	saturoː
saturōs	saturoːs
satyra	satyra
satyricus	satyrikus
satyrus	satyrus
satīs	satiːs
satīve	satiːu̯e
satīvus	satiːu̯us
satīvō	satiːu̯oː
satūrus	satuːrus
saucius	sau̯kius
sauconna	sau̯konna
saudō	sau̯doː
saufēius	sau̯feːi̯us
saunium	sau̯nium
sauromatēs	sau̯romateːs
saurītis	sau̯riːtis
saverriō	sau̯errioː
savus	sau̯us
savē	sau̯eː
savō	sau̯oː
saxeus	sakseus
saxicolor	saksikolor
saxicolus	saksikolus
saxifer	saksifer
saxificus	saksifikus
saxifragus	saksifraɡus
saxigenus	saksiɡenus
saxitās	saksitaːs
saxiālis	saksiaːlis
saxonicus	saksonikus
saxulum	saksulum
saxum	saksum
saxātilis	saksaːtilis
saxētum	sakseːtum
saxō	saksoː
saxōsitās	saksoːsitaːs
saxōsus	saksoːsus
scaber	skaber
scabiēs	skabieːs
scabrēdō	skabreːdoː
scabō	skaboː
scaccus	skakkus
scaccārium	skakkaːrium
scaccī	skakkiː
scaena	skae̯na
scaenicus	skae̯nikus
scaevius	skae̯u̯ius
scaevus	skae̯u̯us
scaldis	skaldis
scalmus	skalmus
scalpellifōrmis	skalpellifoːrmis
scalpō	skalpoː
scalēne	skaleːne
scalēnus	skaleːnus
scalēnī	skaleːniː
scambus	skambus
scammōnea	skammoːnea
scammōnea	skammoːneaː
scammōnia	skammoːnia
scammōnium	skammoːnium
scamnātus	skamnaːtus
scampis	skampis
scamōnea	skamoːnea
scamōnia	skamoːnia
scandalizō	skandalizzoː
scandila	skandila
scandilius	skandilius
scandināvia	skandinaːu̯ia
scandināvicus	skandinaːu̯ikus
scandium	skandium
scandius	skandius
scandulārius	skandulaːrius
scandō	skandoː
scaniēnsis	skaniensis
scantius	skantius
scantīnius	skantiːnius
scapha	skapʰa
scaptia	skaptia
scaptius	skaptius
scapula	skapula
scapulae	skapulae̯
scapulārus	skapulaːrus
scarabaeus	skarabae̯us
scarabantia	skarabantia
scardus	skardus
scardōna	skardoːna
scarphēa	skarpʰeːa
scarpinō	skarpinoː
scarpus	skarpus
scarus	skarus
scarīfō	skariːfoː
scarītis	skariːtis
scatebra	skatebra
scateō	skateoː
scaturrīgō	skaturriːɡoː
scatō	skatoː
scatūriō	skatuːrioː
scaugdae	skau̯ɡdae̯
scaurus	skau̯rus
scazōn	skazzoːn
scelerō	skeleroː
scelestus	skelestus
sceletus	skeletus
scelus	skelus
scepticus	skeptikus
scerdilaedus	skerdilae̯dus
schediasma	skʰediasma
schedula	skʰedula
scheria	skʰeria
schisma	skʰisma
schoenus	skʰoe̯nus
schola	skʰola
scholae	skʰolae̯
scholasticus	skʰolastikus
scholasticē	skʰolastikeː
scholāris	skʰolaːris
scholārus	skʰolaːrus
schēma	skʰeːma
schēmatometria	skʰeːmatometria
schēra	skʰeːra
schīnus	skʰiːnus
scia	skia
scia	skiaː
sciamhaevum	skiamhae̯u̯um
sciamhaevēnsis	skiamhae̯u̯ensis
sciathus	skiatʰus
scidrus	skidrus
sciendus	skiendus
scienter	skienter
scientia	skientia
scientificus	skientifikus
scientiola	skientiola
scientiālis	skientiaːlis
scilla	skilla
scillūs	skilluːs
scimpodion	skimpodion
scincos	skinkos
scindō	skindoː
scingomagus	skinɡomaɡus
scintilla	skintilla
scintillātiō	skintillaːtioː
scintillō	skintilloː
scioessa	skioessa
sciolus	skiolus
sciothērum	skiotʰeːrum
scirpus	skirpus
scirros	skirros
scirtarī	skirtariː
scirtonēs	skirtoneːs
scirtus	skirtus
scirī	skiriː
scisma	skisma
scissilis	skissilis
scissiō	skissioː
scissor	skissor
scissus	skissus
scius	skius
sciī	skiiː
sciō	skioː
sciōnē	skioːneː
sciūrus	skiuːrus
sciūrō	skiuːroː
sclavus	sklau̯us
sclingō	sklinɡoː
scobīna	skobiːna
scodra	skodra
scoedius	skoe̯dius
scolopax	skolopaks
scolopendra	skolopendra
scolops	skolops
scolymos	skolymos
scolymus	skolymus
scomber	skomber
scopiō	skopioː
scopulus	skopulus
scopus	skopus
scopē	skopeː
scordion	skordion
scordiscī	skordiskiː
scorpaena	skorpae̯na
scorpius	skorpius
scorpiō	skorpioː
scorpītis	skorpiːtis
scorteus	skorteus
scortillum	skortillum
scortor	skortor
scortum	skortum
scorylo	skorylo
scotia	skotia
scotūsa	skotuːsa
scrautum	skrau̯tum
screa	skrea
scrība	skriːba
scrībenda	skriːbenda
scrībenda	skriːbendaː
scrībendum	skriːbendum
scrīberis	skriːberis
scrīberis	skriːbeːris
scrībillō	skriːbilloː
scrībātus	skriːbaːtus
scrībō	skriːboː
scrībōnius	skriːboːnius
scrīniolum	skriːniolum
scrīnium	skriːnium
scrīniārius	skriːniaːrius
scrīpserimus	skriːpserimus
scrīpserimus	skriːpseriːmus
scrīpseris	skriːpseris
scrīpseris	skriːpseriːs
scrīpseritis	skriːpseritis
scrīpseritis	skriːpseriːtis
scrīpta	skriːpta
scrīpta	skriːptaː
scrīptilis	skriːptilis
scrīptitō	skriːptitoː
scrīptiuncula	skriːptiunkula
scrīptiō	skriːptioː
scrīptiōnālis	skriːptioːnaːlis
scrīptor	skriːptor
scrīptrīx	skriːptriːks
scrīptum	skriːptum
scrīpturiō	skriːptuːrioː
scrīptōrium	skriːptoːrium
scrīptōrius	skriːptoːrius
scrōfa	skroːfa
scrōfulae	skroːfulae̯
scrōfīnus	skroːfiːnus
scrōta	skroːta
scrōtum	skroːtum
scrōtī	skroːtiː
scrūpule	skruːpule
scrūpulus	skruːpulus
scrūpulōsus	skruːpuloːsus
scrūpus	skruːpus
scrūta	skruːta
scrūtor	skruːtor
sculna	skulna
sculptilis	skulptilis
sculptor	skulptor
sculptō	skulptoː
sculptūra	skulptuːra
sculptūrātus	skulptuːraːtus
sculpō	skulpoː
sculpōneae	skulpoːneae̯
scultenna	skultenna
scuma	skuma
scurra	skurra
scurrīlis	skurriːlis
scutella	skutella
scutellāris	skutellaːris
scutellātus	skutellaːtus
scutica	skutika
scutifer	skutifer
scutilus	skutilus
scutra	skutra
scutulātus	skutulaːtus
scydra	skydra
scylaceum	skylakeum
scylacē	skylakeː
scylax	skylaks
scylla	skylla
scyllae	skyllae̯
scyllaeum	skyllae̯um
scyphus	skypʰus
scyrās	skyraːs
scytalosagittipelliger	skytalosaɡittipelliɡer
scythia	skytʰia
scythicus	skytʰikus
scāla	skaːla
scālae	skaːlae̯
scālāris	skaːlaːris
scālārius	skaːlaːrius
scāriola	skaːriola
scēna	skeːna
scēnica	skeːnika
scēnica	skeːnikaː
scēnicī	skeːnikiː
scēnicō	skeːnikoː
scēnofactōrius	skeːnofaktoːrius
scēnopēgia	skeːnopeːɡia
scēnītae	skeːniːtae̯
scēpsis	skeːpsis
scēptos	skeːptos
scēptriger	skeːptriɡer
scēptrum	skeːptrum
scīlicet	skiːliket
scīn	skiːn
scīpiō	skiːpioː
scīre	skiːre
scīscitor	skiːskitor
scīscitātiō	skiːskitaːtioː
scīscitātor	skiːskitaːtor
scīscō	skiːskoː
scītor	skiːtor
scītulus	skiːtulus
scītum	skiːtum
scītus	skiːtus
scītāmenta	skiːtaːmenta
scītē	skiːteː
scīverimus	skiːu̯erimus
scīverimus	skiːu̯eriːmus
scīveris	skiːu̯eris
scīveris	skiːu̯eriːs
scīveritis	skiːu̯eritis
scīveritis	skiːu̯eriːtis
scōlus	skoːlus
scōmma	skomma
scōpa	skoːpa
scōpula	skoːpula
scōpēs	skoːpes
scōpēs	skoːpeːs
scōria	skoːria
scōtia	skoːtia
scōticus	skoːtikus
scōttī	skoːttiː
scōtī	skoːtiː
scūpī	skuːpiː
scūtum	skuːtum
scūtārius	skuːtaːrius
scūtātus	skuːtaːtus
scȳros	skyːros
seaborgium	seːborɡium
seattlum	seatlum
sebastē	sebasteː
sebboleth	sebboletʰ
sechellius	sekʰellius
sechellārus	sekʰellaːrus
secor	sekor
sectilis	sektilis
sectārius	sektaːrius
sectātor	sektaːtor
secuerimus	sekuerimus
secuerimus	sekueriːmus
secueris	sekueris
secueris	sekueriːs
secueritis	sekueritis
secueritis	sekueriːtis
secundum	sekundum
secundus	sekundus
secundārius	sekundaːrius
secundō	sekundoː
secus	sekus
secāle	sekaːle
secō	sekoː
secūre	sekuːre
secūricula	sekuːrikula
secūriger	sekuːriɡer
secūris	sekuːris
secūtulēia	sekuːtuleːi̯a
secūtulēius	sekuːtuleːi̯us
sed	sed
sedentārius	sedentaːrius
sedeō	sedeoː
sedigitus	sediɡitus
sedimentum	sedimentum
sedum	sedum
sedusiī	sedusiiː
sedēs	sedeːs
sedīle	sediːle
sedūnum	seduːnum
seepēnsis	seːpensis
seges	seɡes
segessera	seɡessera
segestēs	seɡesteːs
segida	seɡida
segimerus	seɡimerus
segisamō	seɡisamoː
segmen	seɡmen
segmentum	seɡmentum
segobriga	seɡobriɡa
segodūnum	seɡoduːnum
segovax	seɡou̯aks
segulius	seɡulius
segusterō	seɡusteroː
segutilum	seɡutilum
segōsa	seɡoːsa
segūsiāvī	seɡuːsiaːu̯iː
segūsiō	seɡuːsioː
seia	sei̯i̯a
selacosa	selakosa
selemnus	selemnus
seleucus	seleu̯kus
seleucō	seleu̯koː
selgovae	selɡou̯ae̯
selgē	selɡeː
sella	sella
sellasia	sellasia
selleis	selleis
sellium	sellium
sellius	sellius
sellātus	sellaːtus
selāgō	selaːɡoː
selās	selaːs
selēnium	seleːnium
selēnītēs	seleːniːteːs
selīnūs	seliːnuːs
semel	semel
semella	semella
semeïās	semeiaːs
semeī	semeiː
semirus	semirus
semiticus	semitikus
semper	semper
sempervirēns	semperu̯irens
sempiternus	sempiternus
semprōnius	semproːnius
semīramis	semiːramis
sene	sene
seneca	seneka
seneciō	senekioː
senecta	senekta
senectus	senektus
senectūs	senektuːs
senegalēnsis	seneɡalensis
senem	senem
senescalcus	seneskalkus
senex	seneks
senia	senia
senibus	senibus
senior	senior
seniorissa	seniorissa
senis	senis
seniscalcus	seneskalkus
seniō	senioː
sennius	sennius
sennātēs	sennaːteːs
sensuāliter	sensuaːliter
sensālis	sensaːlis
sensātē	sensaːteː
sententia	sententia
sententiola	sententiola
sententiālis	sententiaːlis
sententiāliter	sententiaːliter
sententiōsus	sententioːsus
sententiōsē	sententioːseː
senticētum	sentikeːtum
sentificō	sentifikoː
sentimentum	sentimentum
sentis	sentis
sentiscō	sentiskoː
sentius	sentius
sentiō	sentioː
sentus	sentus
sentīna	sentiːna
sentōsus	sentoːsus
senus	senus
senāculum	senaːkulum
senāpis	senaːpis
senāpis	senaːpiːs
senāpī	senaːpiː
senātor	senaːtor
senātrīx	senaːtriːks
senātus	senaːtus
senātōrius	senaːtoːrius
senēs	seneːs
senēscō	seneːskoː
senī	seniː
senīlis	seniːlis
senīliter	seniːliter
seorsus	seorsus
sepeliō	sepelioː
sepelībilis	sepeliːbilis
sepelīverimus	sepeliːu̯erimus
sepelīverimus	sepeliːu̯eriːmus
sepelīveris	sepeliːu̯eris
sepelīveris	sepeliːu̯eriːs
sepelīveritis	sepeliːu̯eritis
sepelīveritis	sepeliːu̯eriːtis
seppius	seppius
septangulus	septanɡulus
septem	septem
september	september
septemdecim	septendekim
septemgeminus	septenɡeminus
septemplex	septempleks
septemvir	septemu̯ir
septemvirālis	septemu̯iraːlis
septemvirātus	septemu̯iraːtus
septendecim	septendekim
septennis	septennis
septennium	septennium
septentriō	septentrioː
septentriōnālis	septentrioːnaːlis
septentriōnānus	septentrioːnaːnus
septicius	septikius
septimanca	septimanka
septimius	septimius
septimplex	septimpleks
septimplicibus	septimplikibus
septimulēius	septimuleːi̯us
septimus	septimus
septimāna	septimaːna
septimānus	septimaːnus
septingenta	septinɡenta
septingentae	septinɡentae̯
septingentēsimus	septinɡenteːsimus
septingentī	septinɡentiː
septipēs	septipeːs
septuennis	septuennis
septuennium	septuennium
septuāgintā	septuaːɡintaː
septuāgēsimus	septuaːɡeːsimus
septēnārius	septeːnaːrius
septēnī	septeːniː
septū̆nx	septunks
septū̆nx	septuːnks
sepulchrum	sepulkʰrum
sepulcrum	sepulkrum
sepulcrālis	sepulkraːlis
sepulcrētum	sepulkreːtum
sepullius	sepullius
sepultor	sepultor
sepultūra	sepultuːra
sepultūrārius	sepultuːraːrius
sequester	sekʷester
sequestrō	sekʷestroː
sequor	sekʷor
sequuntur	sekʷuntur
sequāx	sekʷaːks
sequēns	sekʷens
sera	sera
serante	serante
seraphica	serapʰika
seraphica	serapʰikaː
seraphicus	serapʰikus
seraphīm	serapʰiːm
serbicus	serbikus
serbocroaticus	serbokroatikus
serbī	serbiː
serdica	serdika
serestus	serestus
sergius	serɡius
seria	seria
seriem	seriem
serippō	serippoː
seriātus	seriaːtus
seriē	serieː
seriēs	serieːs
seriēī	serieːiː
sermylē	sermyleː
sermō	sermoː
sermōcinor	sermoːkinor
sermōne	sermoːne
sermōnor	sermoːnor
sermōnī	sermoːniː
serota	serota
serpa	serpa
serpentifōrmis	serpentifoːrmis
serpentifōrmēs	serpentifoːrmeːs
serpentigena	serpentiɡena
serpentipēs	serpentipeːs
serpentāria	serpentaːria
serpentīnus	serpentiːnus
serperastra	serperastra
serpirastra	serpirastra
serpula	serpula
serpēdō	serpeːdoː
serpēns	serpens
serpō	serpoː
serra	serra
serram	serram
serrandō	serrando
serrapillī	serrapilliː
serrem	serrem
serrhium	serrium
serrulātus	serrulaːtus
serrānus	serraːnus
serrāre	serraːre
serrārem	serraːrem
serrārās	serraːraːs
serrārēs	serraːreːs
serrās	serraːs
serrāsse	serraːsse
serrāssem	serraːssem
serrāssēs	serraːsseːs
serrātus	serraːtus
serrēs	serreːs
serrētēs	serreːteːs
serrī	serriː
serrō	serroː
serta	serta
sertōrius	sertoːrius
seruit	seruit
serum	serum
seruī	seruiː
serva	seru̯a
serviculus	seru̯ikulus
servit	seru̯it
servitium	seru̯itium
servitrītius	seru̯itriːtius
servitūdō	seru̯ituːdoː
servitūs	seru̯ituːs
serviō	seru̯ioː
servula	seru̯ula
servulicola	seru̯ulikola
servulus	seru̯ulus
servus	seru̯us
servā	seru̯aː
servāvit	seru̯aːu̯it
servī	seru̯iː
servīle	seru̯iːle
servīlis	seru̯iːlis
servīliter	seru̯iːliter
servīlius	seru̯iːlius
servīre	seru̯iːre
servītor	seru̯iːtor
servīverimus	seru̯iːu̯erimus
servīverimus	seru̯iːu̯eriːmus
servīveris	seru̯iːu̯eris
