"бацькаўшчына"	batsʲkau̯ʂtʂɨna
узышоў	uzɨʂou̯
узялі	uzalˈi
узяты	uzjate
узяты	uzʲatɨ
узятых	uzʲatɨx
узяць	uzʲatsʲ
узяў	uzjau̯
узімку	uzʲimku
уйгур	ujɣur
указ	ukaz
указа	ukaza
указу	ukazu
уклад	ukɫat
уключае	puklʲutʂaʲe
уключаецца	ukɫʲutʂaʲetstso
уключаць	uklʲutʂatsʲ
укол	ukol
украіна	ukrajina
украіна	ukraʲina
украіна	ukroʲina
украіна	ukrʌjina
украінец	ukrajinʲets
украінка	ukrajinka
украінская	ukrajinskaja
украінскі	ukrajinskʲi
украінскім	ukrajinskʲim
украінскіх	ukrajinskʲix
укрываў	ukrɨvaw
укрыта	ukrɨta
укінуўшы	ukʲinuu̯ʂɨ
улад	uɫad
улада	uɫada
уладай	uɫataj
уладальнік	uɫodaɫʲnʲik
уладзь	pɫatsʲ
уладзівасток	uɫodzʲevastok
уладзімер	uɫadzʲimʲer
уладзімір	uɫadzʲimʲer
уладзімір	uɫadzʲimʲir
уладзіслаў	uɫadzʲisɫau̯
уладкавана	uɫodkavanːa
уладны	uɫadnɨ
уладныя	uɫadnɨja
уласнабеларускі	uɫaznabʲeɫaruskʲi
уласнабеларускія	uɫaznɨbʲeɫaruskʲija
уласнапольскі	uɫaznapoɫʲskʲi
уласную	uɫasnuju
уласны	ulasnɨ
уласны	uɫasnɨ
уласных	uɫasnɨx
уласнікі	uɫasʲːikʲi
уласцівасць	uɫasʲtsʲivasʲtsʲ
улева	ulʲeɫa
улетку	ulʲetku
улетку	wulʲetku
улляна	ulʲːana
уломяць	uɫomʲatsʲ
улонне	uɫonʲːe
улучыцца	uɫtʂɨtstsa
улюбёны	ulʲubʲonɨ
улікам	uɫʲikom
улічваючы	ulʲitʂvojutʂɨ
улічыць	ulʲitʂɨtsʲ
уман	uman
умацаваў	umatsavau̯
умеем	umʲeʲem
умелі	umʲelʲi
умерана	umɛrana
умерана-	umɛrana
умераны	umʲeronɨ
умець	umʲetsʲ
умова	umova
умовах	umovox
умовы	umovɨ
умомант	umomant
умоўна	umou̯na
умывальнік	umɨvaɫʲnʲik
унаравіць	inaravʲitsʲ
уначы	unatʂɨ
уночы	unotʂɨ
унук	unuk
унука	unuka
унукам	unukam
унукі	unukʲi
унутраны	unutranɨ
унутраным	unutranɨm
унутраныя	unutranɨʲa
унутры	unutrɨ
унутрывідавых	unutrɨvʲidavɨx
унучак	unutʂak
унучка	unutʂka
унучку	unutʂku
унучкі	unutʂkʲi
унучцы	unutsɨ
унь	unʲ
унёсак	unʲosˈsak
універмаг	unʲivʲermax
універсітэт	unʲivʲersʲitɛt
унікальны	unʲigaɫʲnɨ
унікаць	unʲikatsʲ
унікнуць	unʲiknutsʲ
упадаць	upadatsʲ
упадзе	upadzʲe
упакоўцы	upakou̯tsɨ
упала	upaɫa
упарта	uparta
упарта	upoɾto
упарты	upartɨ
упартыя	upardɯja
упасці	upasʲtsʲi
упаў	umpau̯
упершыню	upʲerʂɨmju
упершыню	upʲerʂɨnʲu
уплывае	upɫɨvaʲe
уплывам	upɫɨvam
уплывовая	upɫɨvovaʲa
уплывовы	upɫɨvou̯ɨ
уплывовы	upɫɨvovɨ
уплывовых	upɫɨvovɨx
уплыву	upɫɨvu
уплывы	upɫɨvɨ
уплыў	upɫɨu̯
упор	upor
упоравень	uporɔvʲenʲ
упору	uporu
управы	upravɨ
упрыгожваць	puprɨɣoʐvatsʲ
упыну	upɨnu
упэўнены	ufɛu̯nʲenɨ
упякаць	upʲakatsʲ
упіраўся	upʲirau̯sja
урад	urat
урада	urado
урадавая	uradavaʲa
урадавых	uradavɨx
урадлівы	uradɫʲivɨ
ураду	uradu
уражальны	uraʐalʲnɨ
уражана	uraʐana
уражаная	uraʂanaja
уражанне	uraʐanʲːe
уражаную	uraʐanuju
уражаныя	uraʐanɨja
уражвае	uraʐvaʲe
уразіць	urazʲitsʲ
уранні	urannʲi
уратаваны	aratavanɨ
уратаваць	uratavatsʲ
урач	uratʂ
урачом	uratʂom
урачысты	uratʂɨʂdɨ
урду	urdu
урна	urna
урны	urnɨ
урод	urod
урок	urok
урок	urɔk
урока	uroka
урокамі	urokamʲi
урокаў	urokau̯
урокі	urokʲi
урон	uron
уругвай	uruɣvaj
уручаецца	urutʂaʲetstsa
уручылі	urutʂɨɫʲi
урэчнікам	urɛtʂnʲikam
урэшце	urɛʂtsʲe
урэшце	urɛʂtʲe
усвядоміць	usvʲadomʲetsʲ
усвядоміць	usʲvʲadomʲitsʲ
усе	usʲe
усе	u˨˩˦ɕjɛ˥˥
усеагульны	usʲeaɣulʲnɨ
усеяныя	usʲeʲanɨja
усеўкраінскі	usʲeukraʲinskʲi
ускатурхваць	uskaturxvasʲ
ускладаць	uskɫadatsʲ
ускрай	uzkrɑj
ускраінны	uskraʲennɨ
ускруціць	uskɾutsʲitsʲ
ускрыццё	uskrɨtsʲːo
услед	uzɫɛt
услых	usɫɨx
услых	usɫˈyx
усмак	usmak
усмаліць	usmalʲitsʲ
усмешка	usʲmʲeʂka
усмешліва	usmʲeʂɫʲiva
усмешлівасць	usmʲeʂɫʲivostsʲ
усмешлівы	usmʲeʂlʲivɨ
усміхацца	pusmixatsːa
усміхацца	usʲmʲixatsːa
усміхнуцца	usmʲiχnutsːa
усміхнуцца	usʲmʲixatsːa
усобіцы	usobjitsɨ
успамін	uspomʲin
успомняць	uspomnʲatsʲ
успрымаецца	usprɨmaʲetstsa
успрымаць	usprɨmatsʲ
уставаць	ustavatsʲ
усталявання	ustalʲavannʲa
усталяваць	usdavjavatsʲ
устане	ustonjɛ
установа	ustanovaja
установах	usdanovax
установаў	ustanovau̯
установы	ustonovɨ
устаць	ustatsʲ
устаўляла	ustawlʲaɫa
устойлівая	ustojlʲivaja
устроміліся	ustromʲiɫʲisja
усунуць	usunutsʲ
усхвалявана	usxvalʲavana
усход	sxot
усход	usxot
усходам	usxodam
усходнеславянскі	usxodnʲasɫavjanskʲi
усходнеславянскі	usxodnʲesɫavʲanskʲi
усходні	usxodnɨ
усходні	usxodnʲi
усходні	usxonˈi
усходнім	usxodnʲim
усходніх	usxodnʲix
усходу	usxodu
усходы	usxotɨ
усцешна	usʲtsʲeʂna
усцешны	usʲtsʲerʂnɨ
усю	usʲu
усюды	usʲudɨ
уся	usʲa
усяго	usjaɣo
усякай	usjakaj
усякі	usjakʲi
усяму	usjamu
усярэдзіне	usarɛdzʲinʲe
усё	usʲo
усёахопны	usʲeaxopnɨ
усёахопны	usʲoaxopnɨ
усёй	usʲoj
усёмагутны	usʲomaɣutnɨ
усёпераможны	usʲopʲeramoʐna
усёпранікальны	usʲoprɨnʲikoɫʲnɨ
усёсакрушальны	usʲosakruʂaɫʲenɨ
усёю	usʲoju
усім	usʲim
усіх	usʲix
утварае	utvaraʲe
утвараліся	udvaraɫʲisja
утвараць	utvaratsʲ
утвараюць	utvaraʲutsʲ
утварылі	udvarɨɫʲi
утворана	utvorana
утвораны	utvoranɨ
утрох	utrox
утрымаць	utrɨmatsʲ
ух	ux
ухапіць	uxapʲitsʲ
ухіляцца	uxʲilʲatsːa
ухіліцца	uxʲilʲitsːa
ухінаючыся	uxʲinajuˈtʂɨsja
уцякач	utsʲakatʂ
уцёк	utsʲok
уцёкі	utsʲokʲi
уціхамірваць	utsʲixomʲirvatsʲ
уціхамірыць	uʲtsʲixamʲiratsʲ
учапіўся	utʂɛpʲiu̯sja
участкі	utʂaʂdkʲi
учора	utʂora
учора	utʃora
учулі	utʂulʲi
учуць	utʂutsʲ
учынак	utʂɨnak
учынкам	utʂɨnkam
учынку	utʂɨnku
ушанаваць	uʂanavatsʲ
ушацкі	uʂatskj
уявіць	ujavʲitsʲ
уявіць	uʲavʲitsʲ
уязджаць	ujjaztʂatsʲ
уяўляецца	jau̯lʲaʲetsːo
уяўляць	jau̯lʲatsʲ
уяўляць	ujau̯lʲatsʲ
уяўляюць	uʲau̯lʲajutsː
ф	fɔɾ
фа	fa
фабрыка	fabrɨka
фабрыканты	fabrikantɨ
фаварыт	favarɨt
фаварыта	favarɨta
фаворы	favorɨ
фагам	vaɣam
фаз	fas
фазу	fazu
файна	fajna
файны	fajnɛ
файны	fajnɨ
факел	fakʲeɫ
факсіміле	faksʲimʲiɫʲi
факт	fakt
фактар	faktar
фактарам	faktaram
фактараў	foktarau̯
фактары	faktorɨ
фактах	faktax
фактурную	fakturnuju
факты	faktɨ
фактычна	faktɨtʂna
фактычным	faktɨtʂnɨm
факультэт	fakuɫʲtɛt
факультэты	fakulʲtɛtɨ
фальварковы	faɫʲvarkovɨ
фальклорны	falʲkɫornɨ
фанат	fonad
фанацкім	fanatskʲim
фанеру	fonʲeru
фантана	fantana
фантанам	fantanam
фантаны	fantanɨ
фантастычна	fantastɨtʂna
фантомны	fantomnɨ
фантомныя	fantomnɨja
фарай	faraj
фараон	faraon
фарба	farba
фарбавала	farbavaɫa
фарбавалі	farbavalʲi
фарбаваць	farbavatsʲ
фарбаваў	farbavau̯
фарбай	farbaj
фарбачкі	farbatʂkʲi
фарбу	farbu
фарбуе	farbuje
фарбуем	farbujem
фарбуеце	farbujetsʲe
фарбуеш	farbujeʂ
фарбуй	farbuj
фарбую	farbuju
фарбуюць	farbujutsʲ
фарбы	farbɨ
фармавання	farmavannʲa
фармальнага	farmaɫʲnoɣa
фармалізм	farmalʲizm
фармат	farmad
фармаце	farmatsʲe
фармацыі	farmatsɨji
фармуецца	farmuʲetstsa
фармуляваць	formulʲavatsʲ
фармуляр	farmulʲar
фармулёўка	farmulʲowka
фармуюць	farmuʲutsʲ
фарсі	farsʲi
фартуха	farduxa
фартухом	forduxom
фартэпіяна	fartɛpʲijana
фарш	fors
фары	farɨ
фарэрскі	farɛrskʲi
фасад	fosad
фасады	fasadɨ
фасоля	fosolʲa
фасфатных	fasvatnɨx
фасфаты	fasfadɨ
фатаграфія	fataɣrafʲija
фатаздымак	xatasdɨmak
фатальна	fataɫʲna
фатальная	fataɫʲnaja
фатальным	fataɫʲnɨm
фатону	fatonu
фатэль	fatɛlʲ
фах	fax
фашызм	faʂɨzm
фашысты	faʂɨstɨ
фашысцкі	faʂɨstskʲi
феадалы	fʲeadaɫɨ
феадальная	fʲeadalʲnaja
феадальных	fʲeadalʲnɨx
федарэнка	fʲedarɛnka
федэральная	fʲedɛraɫʲnaja
федэрацыя	fʲedɛratsɨja
фемінізм	fʲemʲinʲizm
ферзь	fʲersʲ
ферма	fʲerma
ферме	fʲermʲe
фермер	fʲermʲer
фермер	fʲɛrmʲer
фермерам	fʲermʲeram
ферму	fʲermu
фестываль	fɛstɨvaɫʲ
флагман	fɫaɣman
флагманам	fɫaɣmanom
флагману	fɫaɣmanu
флакона	fɫakona
фланг	fɫanɣ
флейта	flʲejta
флоры	vɫorɨ
флот	fɫod
фокусамі	fokusamɨ
фокусе	fokusʲe
фокусы	fokusɨ
фол	foɫ
фолк	folk
фолу	folu
фон	von
фонавым	fonovɨm
фонам	fonom
фонд	fond
фондавых	fondavɨx
фоне	fonʲe
форварду	forvortu
форм	form
форма	forma
формай	formaj
формам	formam
формамі	formamʲi
формах	formax
формаю	formaju
формаў	formau̯
форме	formʲa
форму	formu
формула	formula
формулу	formuɫu
формулы	formuɫɨ
формы	formɨ
форт	fort
фортку	fortku
форум	vorum
форумах	forumax
форуме	forumʲe
форуму	forumu
форумы	forumɨ
фосфар	fosfar
фосфар	fosfɔr
фосфару	fosvaru
фота	foda
фотаздымак	fotosdɨmak
фотаработы	fotarabotɨ
фотаробату	fotarobatu
фотаробаты	fotarobatɨ
фотка	fotka
фоткалася	fotkaɫasja
фоты	fotɨ
фраз	fraz
фраза	frasa
фразай	frazaj
фразу	frazu
фразы	frazɨ
фракцыя	fraktsɨja
франкафонны	frankafonnɨ
франкі	frankʲi
франтавыя	frantavɨja
франтальны	frantaɫʲnɨ
франтах	frantax
франтон	franton
франтона	frantona
франтоны	frantonɨ
франц	frants
францужанка	frantsuʐanka
француз	frantsus
француз	franθˈuz
французскі	frantsusːkʲi
францыск	frantsɨsk
францыя	frantsɨja
франціхай	frantsʲixaj
фронт	front
фронта	fronta
фруктовых	fruktovɨx
фрукты	fruktɨ
фры	frɨ
фрыдрых	frɨdrɨx
фрыз	frɨz
фрызскі	frɨsːkʲi
фрызы	frɨzɨ
фрыкам	frɨkam
фрыц	frɨts
фрыцюр	frɨtsʲur
фрыцюрніца	frɨtsʲurnʲitsa
фрэйдызму	frɛjdɨzmu
фрэнч	frɛntʂ
фрэсках	frɛskax
фрэскі	frɛskʲi
фу	fu
фуксія	fukseˈa
фундамент	fundamʲent
фундамента	fundamʲenta
функцый	funktsɨj
функцыя	funktsɨja
функцыі	funkʲtsɨʲi
фур	fur
фуражу	furaʂu
фургон	furɣon
фурман	furman
фурманка	furmanka
фурману	furmanu
фуршэт	fursɛt
фуры	furɨ
фут	fˈuːt
футбол	fudboɫ
футра	futːra
футра	fˈutɾa
футравы	fudrɔvɨ
футэрка	futɛrkɔ
фэйкам	fɛjkam
фэсту	vɛstu
фэсты	fɛstɨ
фядотава	fjadotava
фёдар	fʲodar
фёкла	fʲokɫa
фён	fʲon
фігура	fʲiɣura
фігуры	fjigurɨ
фігі	fʲixʲi
фізкультура	fʲiskulʲtura
фізіка	fʲizʲika
фізікай	fʲizʲikaj
фізіцы	fʲizʲitsɨ
фізічна	fʲizʲitʂna
фізічнага	fʲizʲitʂnaɣa
фізічных	fʲizʲitʂnɨx
фізічныя	fizitʃnɨja
фізічныя	fʲizʲitʂnɨja
фіксавацца	fʲiksavatsːa
філарэт	fʲiɫarɛt
філасофія	fʲiɫasofʲija
філасофія	fˈilˈosˈufˈɪia
філфаку	fʲilfaku
фільм	fʲilʲm
фільм	fˈilm
фільма	fʲilʲma
фільму	fʲiɫʲmu
фільмы	fʲilʲmɨ
фільтры	fʲiɫʲtrɨ
філя	fʲilʲa
філіжанка	fʲilʲiʐanka
філіп	fʲilʲip
філіповіч	fʲilʲipovʲitʂ
філіялы	fʲilɨjaɫɨ
фін	fʲin
фінале	fʲinalʲe
фінаў	fʲinau̯
фінвал	fʲinvaɫ
фінляндыя	fʲinlʲandɨja
фінскі	fʲinskʲi
фіны	fʲinɨ
фіньшампань	fʲinʲʂampanʲ
фінік	fʲinʲik
фірм	fʲirm
фірма	firmɑ
фірма	fʲirma
фірмай	fʲirmaj
фірмах	fʲirmax
фірме	fʲirmʲe
фірмовых	fʲirmovɨx
фірму	fismu
фірмы	firmɨ
фірмы	fjirmɨ
фішка	vjiʂka
фіялетавы	fʲijalʲetavɨ
фіялетавы	fʲijaʲːetovɨ
х	xɯ̞
ха	xa
хабар	xabar
хабарнікам	xabarnʲikam
хава	xava
хавае	xavaje
хаваем	xavaʲem
хавай	xavaj
хавалася	xavalasʲa
хавалі	xavaɫʲi
хаваліся	xavaɫʲisja
хавацца	xavatsːa
хаваць	xavatsʲ
хаваць	χavatsʲ
хаваю	xavˈaju
хаваюць	xavajutsʲ
хада	xada
хадака	xadaka
хаджу	xadʐu
хадзем	xadzʲim
хадзі	xadzʲi
хадзі	xadzʲim
хадзіла	ɣadzʲiɫa
хадзілі	xadzʲiɫʲi
хадзіць	xadzʲitsʲ
хадзіў	xadzʲiu̯
хадою	xadoju
хаду	xadu
хады	xadɨ
хай	xaj
хайку	hajku
хакей	xakʲej
хакейны	xakʲejnɨ
хакейным	xakʲejnɨm
хакею	xakʲeju
халадзільнік	xaɫadzʲilʲnʲik
халадней	xaɫodnʲej
халадовіч	paɫadovʲitʂ
халады	xaladɨ
халады	xaɫadɨ
халадэча	xaɫadɛtʂa
халакоста	xaɫakosta
халасцяк	xaɫasʲtsʲak
халера	xalʲera
халодна	xoɫodna
халоднай	xaɫodnoj
халодная	xaɫodnaja
халодную	xaɫodnuju
халодны	xaɫodnɨ
халодным	xaɫodnɨm
халодных	xaɫodnɨx
хам	xam
хамскім	xamskʲim
хамства	xamstva
хамствам	xamstvom
хамуйла	xamujɫa
хамут	xamut
хамы	xamɨ
хамяк	xamʲak
хамяк	xe̞mjak
хан	xan
ханам	xanam
хандра	xandra
ханжа	xanʐa
хапае	xopaʲe
хапальным	xapaɫʲnɨm
хапіла	xapʲiɫa
хапіць	xopʲitsʲ
харавы	xaravɨ
харавым	xaravɨm
характар	xoraktor
характарам	xoraktoram
характарныя	xaraktarnɨja
характару	xaraktaru
характары	xaraktarɨ
характэрнай	xaraktɛrnaj
характэрную	xaraktɛrnuju
характэрным	xaraktɛrnɨm
характэрных	xaraktɛrnɨx
хараство	xarastvo
харашуха	xarazuxa
харашэць	xaraʂatsʲ
харват	xarvat
харватка	xarvatka
харваты	xarvatɨ
харватыя	xarvatɨja
харвацкі	xarvatskʲi
хард-рок	xardrok
хардкор	xardkor
харкаць	xarkatsʲ
харкаў	xarkau̯
харобры	xarobrɨ
харошы	xaroʂɨ
харты	xartɨ
харугвы	xarugvɨ
харч	xartʂ
харчаванне	artʂavonːʲa
харчаванне	xartʂavonʲːe
харчавання	xortʂavannʲa
харчавацца	xartʂavatsːa
харчах	xartʂax
харчовай	xartʂovaj
харчовая	xartʂovaja
харчовы	xartʂovɨ
харчовым	xartʂovɨm
харчовых	xortʂovɨx
харчовыя	xartʂovɨja
харчу	xartʂu
харчуюцца	xartʂujutsːa
харчы	xartʂɨ
харчэўні	xartʂɛu̯nʲi
хары	xarɨ
харызмы	xarɨzmɨ
хат	xot
хата	xata
хата	xatə
хатай	xataj
хатамі	xadamji
хатка	xotka
хатку	xotku
хаткі	xatkʲi
хатняе	χatnʲaʲe
хатні	xatnʲi
хатніх	xadnʲix
хатнія	xadnʲija
хату	xatu
хаты	xatɨ
хаты	xatɪ
хахулям	xaxulʲam
хаце	xatsʲe
хацелася	xaʲːeɫosja
хацелі	xatsʲeɫʲi
хацець	xatsʲetsʲ
хаця	xatsʲa
хацін	xatsʲin
хацінах	xatsʲinax
хачапуры	xotʂapurɨ
хачу	xatʂu
хаўстовіч	xau̯stovʲitʂ
хаўстовіча	xau̯stovʲitʂa
хба	xiba
хвалю	xvalʲu
хвалюе	xvalʲuʲe
хвалюешся	xvalʲujesʲːa
хвалюйся	xvalʲujsʲa
хвалююся	xvalʲujusʲa
хваля	xvalʲa
хвалявала	xvalʲavaɫa
хваляваліся	xvalʲavalʲisja
хваляванне	xvalʲau̯vonʲːe
хваляванне	xvalʲavanʲːe
хваляваннем	xvalʲavannʲem
хваляванні	xvalʲavannʲi
хвалявацца	xvalʲavatsːa
хваляваць	xvalʲavatsʲ
хваляводы	xvalʲavodɨ
хваляй	xvalʲaj
хвалямі	xvalʲamji
хвалістым	xvalʲistɨm
хваліся	xvalʲisja
хваліцца	xvalʲitstsa
хваліць	xvolʲitsʲ
хваравітае	xvaravʲitaʲe
хваравітасць	xvarovʲidostsʲ
хвароб	xvarob
хвароба	xvaroba
хваробай	xvarobaj
хваробах	xvoropax
хваробе	xvarobʲe
хваробу	xvarobu
хваробы	xvorobɨ
хварэць	xvarɛtsʲ
хваста	xvasta
хваставой	xvastavoj
хвасты	xvazdɨ
хвацка	xvatska
хваёвых	xvaʲovɨx
хваёвыя	xvaʲovɨʲa
хведар	xvˈeder
хвойкі	xvojkʲi
хвойны	xvojnɨ
хвойных	xvojnɨx
хвойныя	xvojnɨja
хвойнік	xvojnʲik
хвойніку	xvojnʲiku
хвойнікі	xvojnʲikʲi
хворага	xvoraka
хворай	xvoraj
хвораму	xvoramu
хвораст	xvorast
хворая	xvoraja
хворую	xvoruju
хворы	xvorɨ
хворым	xvorɨm
хворых	xvorɨx
хвост	xvost
хвою	xvoju
хвоя	xvoja
хвояй	xvojaj
хвоях	xvojax
хвоі	xvoji
хвядук	xvʲaduk
хвіля	xvʲilʲa
хвілін	xvʲilʲin
хвіліна	xvʲilʲina
хвілінай	xvjilʲinaj
хвілінак	xvʲilʲinak
хвіліне	xvʲilʲinʲe
хвілінка	xvʲilʲinka
хвілінкай	xvʲilʲinkaj
хвілінкам	xvʲilʲinkam
хвілінкамі	xvʲilʲinkamʲi
хвілінках	xvʲilʲinkax
хвілінкаю	xvʲilʲinkaju
хвілінку	xvʲilʲinku
хвілінкі	xvʲilʲinkʲi
хвіліннай	xvʲilʲinnaj
хвіліну	xvʲilʲinu
хвілінцы	xvʲilʲintsɨ
хвіліны	xvʲilʲinɨ
хвіліп	xvʲilʲip
херувім	xʲeruvʲim
хлапец	xɫapʲets
хлапец	xɫapːets
хлапцом	xɫaptsom
хлапцу	xɫaptsu
хлапцы	xɫoptsɨ
хлапчук	xlaptʂuk
хлапчуком	xɫaptʂukom
хлапчукоў	xɫaptʂukow
хлапчына	xɫaptʂɨna
хларапласты	xɫarapɫastɨ
хларыдаў	xɫarɨdaw
хлеб	xlʲep
хлеба	xlʲeba
хлебе	xlʲebʲe
хлебу	xlʲebu
хлеў	xlʲau̯
хлеў	xlʲeu̯
хлопец	xɫopʲets
хлопец	xɫopˈets
хлопца	xɫoptsa
хлопцам	xɫoptsam
хлопцу	xɫoptsu
хлопцы	pɫoptsɨ
хлопцы	xɫoptsɨ
хлопчык	xɫoptʂɨk
хлопчыка	xɫoptʂɨka
хлопчыкам	xɫoptʂɨgam
хлопчыкаў	xɫoptʂɨkau̯
хлопчыку	xɫoptʂɨku
хлопчыкі	xloptʂɨkʲi
хлор	xɫor
хлорам	xɫoram
хлору	xɫoru
хлудам	xɫudam
хлусня	xɫusʲnʲa
хлусы	kɫusɨ
хлусім	xɫosim
хлусіць	xɫusʲitsʲ
хлусіш	xɫusiʂ
хлушу	xɫufu
хлынула	xɫɨnuɫa
хлябтаць	xlʲeptatsʲ
хлявах	xlʲavax
хлявец	xalʲavʲets
хлявок	xalʲavok
хлявом	xlʲavom
хлявы	xlʲavɨ
хлясцік	xlʲaztʲik
хляўчук	xalʲau̯tʂuk
хмар	xmar
хмара	xmara
хмарачос	xmaratʃos
хмарка	xmarka
хмарка	xmork
хмарка	xmɑrka
хмаркі	xmarkʲi
хмаркі	xmɑrkʲi
хмарна	xmarna
хмарнае	xmarnaʲe
хмарны	xmarnɨ
хмары	xmarɪ
хмарыцца	xmarɨtsːa
хмурны	xmurnɨ
хмыз	xmɨs
хмыззё	xmɨzʲːo
хмызняк	xmɨznʲak
хмызняковай	xmɨznʲakovaj
хмызняковых	xmɨznʲakovɨx
хмызняком	xmɨznʲakom
хмызняку	xmɨznʲaku
хмызнякі	xmɨznʲakʲi
хмяльком	xmjalʲkom
хны	xnɨ
хобі	xobʲi
хованках	xovankax
ход	xod
ходам	xodom
ходзе	xodzʲe
ходзячы	xodzʲatʂɨ
ходзікі	xotsʲikʲi
ходзім	xodzʲim
ходзіць	xodzʲitsʲ
ходзіш	xodzʲiʂ
ходнік	xˈodnik
ходніку	xodnʲiku
ходнікі	xodnʲikʲi
ходу	xodu
ходы	xodɨ
хойнікі	xojnʲikʲi
хол	xoɫ
хола	xoɫa
холад	xoɫat
холадам	xoɫadam
холадна	xoɫadna
холдынгу	xoɫdɨnɣu
холе	xoʲːe
холы	xoɫɨ
хомскі	xumsʲːi
хопіць	xopʲitsʲ
хор	xor
хорах	xorax
хорда	xorda
хордавых	xordavɨx
хору	xoru
хоры	xorɨ
хохме	xoxmʲe
хоць	xotsʲ
хоча	xotʂo
хочам	xotʂam
хочаце	kotʂatsʲe
хочаце	xotʂatsʲe
хочацца	xotʂatsːo
хочацца	xotʃatsːo
хочаш	xotʂaʂ
хочуць	xotʂuʲtsʲ
хочучы	xotʂutʂɨ
храбры	xrabrɨ
храбрым	xrabrɨm
храм	xram
храма	xrama
храмавай	xramovaj
храмавых	xramavɨx
храмавыя	xramavɨja
храматафоры	xramataforɨ
храматычнай	xramatɨtʂnaj
храмах	xramax
храму	xramu
храналагічнай	xranaɫagʲitʂnaj
хранічнага	xranʲitʂnaɣa
хранічныя	xranʲitʂnɨja
храп	xrap
храпай	xrapaj
храпе	xrapje
храпку	xrapku
храптовіч	xraptovʲitʂ
храпунца	xrapuntsa
храпці	xrapʲtsʲi
храснуўся	xrasnau̯sja
хром	xrom
хрому	xromu
хронік	xronʲik
хроніка	xronʲika
хроп	xrop
хросных	xrosnɨx
хрумсткі	xrumstkʲi
хрушч	xruʂtʂ
хрушчы	xruʂtʂɨ
хрыбет	xrɨbʲet
хрыбетнік	xrɨbʲetnʲig
хрыбта	xrɨpta
хрыбты	xrɨptɨ
хрыбце	xrɨptsʲe
хрып	xrɨp
хрыпам	xrɨpam
хрыпатым	xrɨpatɨm
хрыпела	xrɨpʲeɫa
хрыпкамі	xrɨpkamʲi
хрыпкі	xrɨpkʲi
хрыплаваты	xrɨplavatɨ
хрыплы	xrɨpɫɨ
хрыстос	xrɨstos
хрысціянін	xrɨsʲtsʲijanʲin
хрышчаны	xrɨʂtʂanɨ
хрэн	grɛn
хрэн	xrɛn
хрэнавуха	xrɛnawuxa
хрэсныя	xrɛʂnɨja
хрэсьбінаў	xrɛzʲbʲinau̯
хрэсьбіны	xrɛzʲbʲinɨ
хто	kto
хто	xto
хто-небудзь	xtoʲːebutsʲ
хтось	xtosʲ
хтосьці	xtosʲtsʲi
хударлявы	xudarlʲavɨ
худой	xudoj
худы	xudɨ
худымі	xudɨmʲi
худыя	xudɨja
хуй	xuj
хуйло	xujɫo
хукаць	xukatsʲ
хунты	xundɨ
хурал	xuraɫ
хурма	xurma
хурме	xurmʲe
хурмой	xurmoj
хурмою	xurmoju
хурму	xurmu
хурмы	xurmɨ
хустачка	xustatʂka
хустачкай	xustatʂkaj
хустка	xustka
хустка	xvustka
хустка-канаплянка	xustkakanaplʲanka
хусткаю	xustkaju
хусткі	xuʂtki
хутала	xutaɫa
хутар	xutar
хутарах	xutarax
хутарку	xutarku
хутары	xutorɨ
хутка	xutko
хуткасці	xutkazʲtsʲi
хуткасьць	xutkaztsʲ
хуткую	xutkuʲu
хуткі	xutkʲi
хуткі	xvˈutkˈi
хуткім	xutkʲim
хуткіх	xutkʲix
хціўцы	xtzʲiu̯tsɨ
хіба	xʲiba
хібы	sʲibɨ
хімчыстка	xʲimtʂɨstka
хімічны	xʲimʲitʂnɨ
хімія	xʲimʲija
хіндзі	xʲinʲdzʲi
хістаючыся	xʲistajuʲtʂɨsja
хісткі	xjistkʲi
хісткім	xʲiʂtkʲim
хісткіх	ʲistkʲix
хітры	xʲitrɨ
хітрык	xʲitrɨk
хітрыкі	xʲitrikʲi
хітрыя	xʲitrɨʲa
хіты	xʲitɨ
ц	tsʰɯ˥˩
цагляная	tsaɣlʲanaja
цагляны	zaxlʲanɨ
цалаваць	tsaɫavatsʲ
цалкам	tsaɫkam
цана	tsana
цаны	tsanɨ
цаню	tsanʲu
цапкала	tsapkaɫa
цар	tsar
цара	tsara
царква	tsarkva
царква	tsɛrkva
царкве	tsakvʲe
царкоўнаславянізм	tsarkou̯nosɫavjanːʲizm
царкоўны	tsarkou̯nɨ
царскім	tsarskʲim
царскія	tsarskʲija
царства	tsarstva
цары	tsarɨ
царыца	tsarɨtsa
цаца	tsatsa
цаца	tsatsɐ
цацак	tsatsak
цацарка	tsatsɑrka
цацка	tsatska
цацках	tsatskax
цацку	tsatsku
цацкі	tsaʲtskʲi
цвет	tsʲvʲet
цветабой	svˈetabˈoj
цвыркун	tsvɨrkun
цвярдзела	tsvʲordzʲeɫa
цвярозай	tsvʲarozaj
цвярозы	tsʲvʲarozɨ
цвёрда	tvorda
цвёрдая	tsvjordoja
цвёрды	tsʲvʲordɨ
цвёрды	tɕvʲordɨ
цвёрдыя	tsvjordɨja
цвік	tsʲvʲik
цвікі	tsvʲikʲi
цвірчалі	tsvʲertʂolʲi
цвісці	tsʲvʲisʲtsʲi
цвічок	tsvʲitʂok
цвіў	tsʋiu̯
