a	a˧˧
rrrggh	ɹːɹɣ
rr	ɹ
rrts	rɯːʔ
r	ɹ
rsa	ɹa˧
rso	ɹəw˧
rsvp	ɹɛʔ˥˨˥˨
rsvp	ɹ˧ʔs˨ʋ˥p˧
rtacus	r˧tɑ˥kɯ˧
rta	r˧t˨a˥
rt	ɹʔ
rũa	rɨ̆a
rửa	rɨə˧
rua	rua˧
rủa	˥ru˧a
rủa	ruə
rữa	ruə˨
rửa	˥ruə
rứa	rɯə˧
rựa	rɯə˧
rùa	˥ɹɨa
rữa	ɹɨə˨
rùa	˨u˩a
rubber	˥ɓʊk
rubbing	rʊp˧
rubek	rʊ˨˩bɛk˧˥
rubella	˥ɓɯ˧˥
ruben	˨ɾɯɓɛn
rubens	rʊɲ˧˥
rubicon	˥ɾu˨˧ɓi˥kɔn
rubik	˥ɓɨk
rubin	˨ɹʊ˥bɪn
rubinstein	˥ɾu˨βiɲ˧˥tɛɲ
rubio	˨ɾu˨˧ɓi˨
rublo	ɹʊ˧˥bɹɔ˧˥
rub	rʊp
ruby	˨ɹʊ˥βi
ruchowski	ru˧˥kɔ˨˩sɔ˧˥
rực	rɨk˧
rục	rɨ̆k
rúc	rúc˧
rức	rɯ̆k
rực	rɯ̰̆k
rudder	ɹʊt˨
ruddiger	ɹʊɟ˧ɟʲ˨
rude	˥ɹʊj˧˥dɛ˩
rudetsky	rʊw˨˧tʃkɪ˧
rudi	ru˨di˨
rudolfensis	ɹu˧˥do˧˨lɛ˧˥fɛ˧˥n
rudolf	ˈruːɗɔɭ
rudolph	˨u˧˥do˩˧lʌf
rud	˨ʊt
rudy	˥ɹu˨˩ɗi
rueben	˥ɹɯː˨˩bɛn
rue	˥u˨
rufe	rufe˧
ruffer	ruːf˧
ruffnut	ɹɨ̄ːf˥nʊt˧
ruff	ruːf˧
rufie	ɹu˨˩fi˧
rufo	rufo
ruf	ruf
rufus	ruːfɨ̄
rugal	ru˧ga˥l˩
rugaru	ru˧ga˨ru˧
rugby	ɹʊ˧˥ɣɪ˧˥
rugelach	˥ru˧ge˩laʈ
ruger	˨u˧gɛ˥
rugged	˥ru˧gɛt
rugman	ru˧ma˨n˥
rugops	ru˧gop˨
rugrat	˨ɹʊ˧˥gaːt
rug	rʊk
ruhe	˥hu˧
ruhr	rɨ̆
ruidoso	ɹɨj˩˧dɔ˨˩sɔ˥
ruined	rɨj˥n
ruining	ruɪŋ˧
ruin	ruɲ˧
ruins	˨ruɪn˧
rủi	rɨ̀
rụi	rɨ̄
rùi	rɨ̆i
rũi	rɨ̆i
rủi	˥ru˧i˩
rụi	˩ruj
rui	˥ruʔi
rưi	ɹɨ˨
rửi	ɹɨ˨
ruiza	ruj˧a
ruiz	ɹuɪʔ˥
rule	ɹuːl
rules	ɣɯl
ru-lét	ru˨˧lɛ˧˥t
rulfo	ɹu˧˥lɔ˨˩fɔ˧˥
rumancek	rʊ˨˩maː˧˥nɛk˥
rumanceks	rʊmɑːn˧˥ʔsɛk
ru-ma-ni	rʊ˨ma˨ni˧
rumani	˨u˨ma˧ni
rumba	rʊm˧˥bɑ˨
rumbles	rʌm˧˥lɛ˧˥
rumble	˨ʐum˧˥
rumbling	rʊm˧˥
rumbllng	rʌm˧˥lɪŋ˧˥
rumina	rúmĭnă
rumlow	rum˧˥low˧˥
rummy	ɹʊm˧˥
rumor	rʊ˧˥mʊ˨˩
rumpelstiltskin	˥rʌm˩pɛl˧ʈɪl˥ʈɪn
rumple	rum˧pəl˨
rumplestiltskin	˨ʐum˨˨lɛt˧ʂin
rump	rʌm
rumpus	rʌm˧puː˨
rum	rum˧
rúm	rúm
rùm	rùm
rumsfeld	rʊm˧˥sɛt˨
rumspringa	rʊm˧ʂprɪŋ˧ga
rúm	˥u˧m
runcorn	˨ɹʊn˧kɔɹn
rundstedt	rʊn˧˥dɛt˨
rune	˥ruːn˨
runes	˥ruːn˥˧
runflat	˥ɹʊn˧˥fɛt
rưng	rɤŋ˧
rùng	˩rɨŋ
rừng	rɨ̆ŋ
rửng	rɨ̆ŋ
rụng	rɨŋ˧
rừng	rɯŋ˧
rung	rʊŋ˧
rúng	rʊŋ˧
rủng	˨ɹʊŋ
rùng	˨ʐʊŋ
runner	˨˧nɨ˥
running	rʊ̄ŋ
runnin	ɹʊn˧˥
runnymede	ɹʊn˧˥mi˧˥de
run	rʊn˨
rủn	r̩w̄n
runs	rʊn˧
runway	˨ɾun˥waːj
runyon	rʊn˧jɔn˥
rước	˨ɹɯəʔ
rược	˨uək
rưởi	rɨ̄
ruỡi	rɨ̄j
rưới	rɨ̄j˥
rưỡi	rɨ̄j
rưới	rɨ̀w
ruồi	ruoʊ˧
ruồi	ruɔ̀i
ruổi	˥ruɔj˧
rưởi	˨ɹɨəj
rượi	ɹɨəj˧
rưỡi	˥ɹɨəʔ˨
rườm	rɨə̌m
rướm	˨ɹɐm
ruộng	ruŋ˧
ruồng	ruoŋ˧
rương	˨ɹɨəŋ
ruỗng	˨uɔ̰ŋ
ruộng	˨uɔŋ
rướn	rɨə̰n˧
ruột	ruŏ̆t
ruốt	˨ɹuət
rượt	˥ɹɯəʔ˧
ruột	˩uə˧ʔ
rượt	˨u˥t
rươu	rɨ̄u
ruợu	ruɤ˧
rựou	ɹɨəʊ˧
rượu	ɹɨəw
rượu	ɹɨ̄ʊ
rupal	rʊw˧˥pɑː˧˥l˧˥
ruparel	rʊpɑː˧˥l
rupee	˥ruː˨˩piː
rupees	ɹu˨pe˧jɛ˥
rupert	˨u˧ɛ˥t
rupe	ru˧pe˩
rupi	ruːʔ˧
ruprecht	ɹɨ˧˥prɛt
rúp	rúːp
rupture	ru˧ʔtɨ˩
rũ	r̩
rura	ɹɨ̄
ruri	ɹu˨˩i˨
rừ	rɨ˧
rurouni	ru˧ro˨u˩ni˧
ru	ru˨
rú	˥ru
rù	rù
rü	r̥u
rũ	rũ
rủ	˩ru
ruruka	r̩w̩kɐ
rủ	r̩w
ruseckas	rɨ˧˥sɛk˨˩
ruselsky	˨ru˧˥se˧˥l˨skʲ˥
rushdie	ɹɯʔ˥ɕɟe
rushing	ɹɨ˧˥
rushman	ɹɯʔmaːn
rushmore	ɹɨʔ˥
rush	ɹɨʔ˥
ruski	ɹʊʔ˥kɪ˧
ruskov	ɹʊʔkɔʊ˧
rusk	rʊk
rus	rɨ̆
russeks	rɨ˧˥sɛk˦
russell	ɹɨ˧˥sɨ˧˥
russellville	ɹʊsɛl˥˩vi˧˥
russel	ɹu˧˥sɛ˧˥l
russert	ɹʊ˨˩sɛ˧˥t
russian	ɹɨ˧˥sɨn˧˥
russia	ɹɯ˧ʔsiə˧
russick	ɹʊ˨˩sɪk˥
russki	ɹʊ˨˩k˥
russo	rɨ˧˥
russoti	ɹu˨˩ʂo˨˧ti˨˧
russ	ɹɨʔ
rust-eze	˥ɹʊ˧˥t˨˩e˧˥
rustin	˥rɨ˧ʔtɪn
rustling	˨˧ʈuː˨˩
rust	rʊt˥
rusty	˥ɹʊ˨˧ʈi
rutenberg	˥ru˨te˧n˥bɛk
rutgers	ɹʊʔ˧˥gɛ˧˥
rutherford	ˈrʊtʰɛɹ˧fɔɹ˥
ruthie	rʊθi˧
ruth	rʊθ˧
rutland	˨ʐʊ˨t˥lɑn˨
rutledge	˥ru˧t˦lɛdʒ
rụt	rɨ̆t
rút	rʊt˧
rứt	rʊt˨
rutt	rʊt˥
rút	˨ʈʊt
rừu	rɨ̆u
rựu	˥ɹɨ
ruvé	ru˧˥
ruxton	ruxton
ruy-băng	ɹɨʔ˥ɓaŋ˧
ruybăng	ɹɨʔ˥ɓaŋ˧
ruy	ruɨ˨
rv	rɯʔ
rwanda	˥ɾɥaː˨˧ŋ
rworksorg	ɾʊk˨kɔk˧
rwo	rɔ˧
rx	r˧x˥
ryan	ri˧a˨n
ryback	ɹiʔɑːk
rycart	rɨ˧kɑː˥t
rydell	ɹi˧˥dɛ˧˥lɛ˧˥
ryder	ɹi˧de˨
rye	rɨ
ryer	rɨə
ryerson	ɹi˨ə˧sɤn˥
ryeson	ɹi˧jə˨sɔn˥
ryetown	ɹiə˧˥tɔn
ryles	rɨ̄l
rym	rɨm
rymus	rɨ̄m
ryoko	ɹiəʊ˧kɔ˥
ryo	rjo
ryota	ɹiə˧˥tɑː˥
ryouko	ɹiəʊko
rỷ	rɨ̆
ry	ɹi
ryu-hwan	ɹiʊ˧hwaːn˨
ryu	rɨ
ryuseikai	ɹi˨wɛ˧kʰai˥
ryusei	ɹi˧˥sɛj˨
rþt	r˧ʔt
rеy	rɛ˧
s01e01	sɔ˩˨lɛ˧˥
s01e02	sɔ˩˨lɛ˧˥
s01e03	sɔ˧˥lɛ˧˥
s01e04	sɔ˩˨lɛ˧˥
s01e05	sɔ˩lə˨ɛ˧wə˥
s01e06	sɔ˩˨lɛ˧˥
s01e07	sɔ˧ʔlɛ˧ʔ
s01e08	sɔ˩˨lɛ˧˥
s01e09	sɔ˧ʔlɛ˧ʔnɛʊ˧˥
s01e10	sɔ˩˨lɛ˧˥
s01e13	sɔ˩ʔlɛ˧˥
s01e14	sɔ˩ʔlɛ˧˥
s02e01	sɔ˨ʔʔeʊ˨˦
s02e02	sɔ˩ʔɛ˩ʔ
s02e03	sɔ˩ʔeʊ˧
s02e04	sɔ˥ʔɛ˩˨
s02e05	sɔ˨ʔʔeʊ˨˦
s02e06	sɔ˨ʔo˨˩
s02e07	sɔ˨ʔʔeʊ˨˧
s02e08	sɔ˩ʔwe˧˥
s02e10	sɔ˨ʔʔe˧˥˧
s02e11	sɔ˨ʔʔe˨ʔ˥
s02e12	sɔ˥ʔe˩˧wɛɪ˧˥
s02e18	sɔ˨ʔe˧˥i˧˥aː˧˥
s02	sɔ˧˥
s03e01	sɔ˨ʔxeʊ˨˦i˥
s03e03	sɔ˨˩ʔeʊ˨˧
s04e04	sɔ˨˩ʔʌ˨˩
s05e07	sɔʊ˧˥ʔsɛʊ˧˥
s05e08	sɔ˩˨ʔxe˧˥
s05e11	sɔʊ˨ʔe˧˥e˧˥˥
s05e14	sɔ˩˧ʔe˧˥
s06e11	sɔ˩˨ʔe˧˥
s06e12	sɔ˩˨ɣi˧˥en˧˥
s06e16	sɔ˥kɛ˧˥i˩˧
s06	sɔ˥˧
s0847	sɔ˨ʔsɔ˨ʔ
s16	sɨ˧˥
s1	s˥
s4	sɤ˧
saabir	sɑː˨˩bi˨˧
saab	saː˧
saal	saːl˧
saanj	sɑ̄ːn
saan	saːn˧
saaremaa	saː˧˥reː˧˥maː˧˥
saaton	saːtɔ̀n
saavik	saː˨˩vik
sabah	sa˧˥ba˧˥
sabara	sa˧ba˨ra˧
saba	sa˧ba˨
sabatin	sa˧˥ba˧˨tin˧˥
sabatoni	sabatoni
sa-bát	sa˧˥bát˨
sabbath	sɑb˧˥bɑt
saberhawk	sa˧˥bɛ˧˥hawk
sabertooth	sə˧˥bɛ˧˥tʰoː˧˥
sabian	sa˧˥bi˧˥ən˧˥
sabia	sa˧biə˨
sabina	sa˨bi˧na˥
sabinas	sa˨bi˧na˥sa˥
sabine	sa˨˩bin˧
sabinus	sa˧bi˨n˨us˧
sable	sɑː˧˥lɛ˧˥
sabotage	sabɔ˨˧taʒ
sabra	s˧a˥b˧a˥
sabrina	sa˨˩bri˧˥na˥
sabrosito	səbɾɔsito
sacha	sa˧cha˥
sachiko	sa˨chi˧ko˥
sachin	saʔtʃǐn
sachkov	sɑ̰tʰkɔ̰ʔ
sách	sa˧˥
sạch	sa˧˥
sach	sɑ̰
sạch	sɑ̰̀
sách	sɑ̰̆k
sachsenhausen	sɑːtʃən˧˦hɑːu˥˧n
såch	sɔ̀
sachs	sɑːʔ
sacks	sɑːk
sack	ʂak˧
sackville	sɑːkʰvɨ̄
sacramento	sɑːk˧˥sɛ˧˥˩mɛ˧˥˥n˧˥˥t˨˩o
sacrament	sa˧kɐm˧˥
sacred	ʂaːk˥
sacrifice	sɑːk˧ʂi˨˦
sacrifices	sə˧kɨ˨˦fi˧tʃe˧
sacro	sa˧˥kɔ˧˥
sac	s˧
sạc	s˧˥ak
sặc	s˩ɐc
sắc	˥sɐk
sặc	sɐ̰k˧
sắc	s˩ɑ˧
sãc	sɑ̰̀
săc	s˩ɑk
sác	s˧˥k
sắc	s˧˥k
sắc-xy	səkʰj
sadako	sa˧da˥ko˩
saddam	sɑ˧˥hɑm˧˥
saddle	˥sɛ˧˥
sadd	sɑːt
sadducee	sɑ˧˥dɨ˨˩kwe˧˥
sade	sa˧de˥
sadie	saː˧˥diː˨˩
sadig	sa˧di˨˩k
sadik	sa˧˥dik˨
sa-đin	sa˧di˧n˥
sadiq	sa˧di˧kɨ˥
sadler-benelux	saːɫɛɹ˨benɛɬuː˨
sadler	sɛːl
sadly	θaː˨˩dɨ˨˩
sadness	ʂaʔ˥t
sadovaya	sadəvɑjə
sad	ʂat˧
sadusky	sa˧du˨ky˧
saeed	saːj˧
saeki	saɛk˧
saenz-diaz	sɛɲ˥ɗiə˧
sæ	sa˧
sae	sae˧
safari	sa˧fa˧ri˧
safar	ʂa˨fa˧
safehold	sea˧fe˥hoːl˧
safely	sæfəli
safer	saː˨fɛ˧
safe	ʃæːp
safety	˨sæ˥tɛj˩
saffron	ʂaː˨˩fɔn˨˧
safiye	ʃa˨fi˧je˥
saf	sɑf˧
ság	˧˥
sagami	sa˧ga˨mi˩
sagan	sa˧ga˥n˨
sagar	sa˧ga˥
saga	sa˧ga˧
saget	sa˧˥gɛ˧˥t
saginaw	sa˧˥gi˨˩na˧˥
saginowski	sa˧gi˨˩no˧˥ski
sag	sa˧˥
sahaffi	sa˧ha˨fi˧
sahara	sa˧ha˨ra˧
sahar	sah˧a˧ʔ
saha	sa˧ha˥
sahastrabudhe	sa˧ha˨tra˧bu˨de˧
saheed	ʂaː˨˩jət
sa-her	sa˧ha˧˥
sah-fer	sa˧˥fe˧˥
sah-him	sa˧him˨
sahib	sa˧hi˨p
sahx	saʔ
said	saɪt˧
saiga	saː˧˥ɣaː˧˥
saigon	saː˨˩i˧˥ŋ
saikat	saɪk˧˥kət˨
saiki	saɪ˧˥ki˨
sailboat	θai˥law˩
sail	ɬaj˥
sailor	ʃaːj˧˥
sails	sai˧˥l
sainbury	saɪn˨˩bu˨˦ri˧
sain	sɐj˧˥
sainsbury	ʃɛːn˧˥zɨ˨˩
saintanne	ʂaɪn˧˥t˩˧aː˧˥n˧˥
saint-clair	ʃɛːn˥kʰlaːj˧
saint-cloud	ʂaɲtklɨj
sainte-mère-eglise	ʃɛːn˥˩mɛː˧˥ʔeː˥˩kɛː˧˥
saint-emilion	saɪnt˨e˧mi˧ljɔn˥
sainte	ʃaj˥t
saint-gervais	saɪn˥tɛ˧vɛ˧˥
saint-jacques	ʃɛːn˥dʒɑːk
saint-lô	saɪn˧˥lɔ˩
saint-lo	ʂaɪn˥˩lɔ˧
saints	ʂaɪn˥t
saint	ʂaɪn˧
saint-tropez	ʃɛntɹɔ̄˥bɛt
saipan	saɪ˧paɪ˧
sài	sa˧
sải	sa˥
sai	sai˧
sái	sai˧
sài	sài˧
sãi	˥˧sai
sải	sai˧
saison	saɪ˧˥son
sais	saɪ˨
saisyu	sai˧ʃɨ˥
saitama	sa˨ʔi˧ta˨ma˧
saiteta	saɪ˨˩te˧˥ta˥
saito	saɪ˧˥tɔ˨
saiyan	saːj˧˥jɛn˧˥
saizou	saɪ˧˥zoʊ˧˥
saj	sɑj˧
sa-jung	sa˧˥jung˧˥
sakaar	sa˨kaː˧˥
sakaarson	sa˨ka˧aː˥son˧
sakagami	saka˧ga˨mi˧
sakai	sa˧ka˥i˩
sakakura	sa˧ka˥ku˧ra˧
sakamichi	sa˧ka˨mi˧tʃi˥
sakamoto	sɑ˧˥kɑ˧˥mɑ˧˥tɔ˧˥
sakana	sa˧ka˨na˧
sake	saːk
sa-kê	sa˧kɛ˥
sakê	sɛ˧
sakes	sɛk˧
sakharine	sa˨kʰa˧ri˦nɛ˥
sakhik	sa˧ki˨
sakir	sɑki
saki	sa˧ki˨
saks	sɑk˧
sakuramiya	sə˨kɨ˨˩miə˨
sakura	sa˨kɨ˧ra˥
saku	sa˧kɨ˥
sakutaro	sa˨kʰu˦ta˧ro˥
salaad	sa˧laː˥t
salaam	saː˨˩laː˨˩m
saladin	sa˧la˧di˧n˥
salad	sa˧˥lad˨˩
salamanca	sa˧la˧ma˧ka˧
salama	sɑ˧la˨ma˧
salameh	sa˩la˧me˥
salami	sa˧la˥mi˩
salamis	sa˨la˧mi˨si˧
salam	salam
salander	sa˧la˧nɛ˧ʔ
sala	sa˧la˧
salát	sa˥laː˨ʔ
salat	sa˧la˥t˩
sa-lát	sa˧lá˧˥t˥
sàlát	sa˧˥lat˨
salazar	sa˧la˧za˧
salazen	sɑ˧la˨˩zɛn˥
saldua	sɑl˧˥dɨə˩
sale	˨ɑː˧˥lɛ˩
saleem	sa˧˥le˧˥m
saleen	sa˨˩le˧˥n
salem	sa˧˥lem˧˥
salerno	sə˧˥lɛ˧˥nɔ˧˥
salesman	saːl˧˥mən
sales	saːl
salih	sa˧li˩
salim	sa˧li˨˩m˧
salina	sa˧li˨na˥
salinas	sa˧li˥na˧˥
saline	sɑ˧˥lɪ˧˥n
salinger	ɬaː˨˩liŋ˧˥
salisbury	ˈsælɪz˨bʌɹi
salisbuty	sa˧˥li˧˥su˧˥ti
salish	sa˨liʃ˥
salk	sɑːk
salladhor	sɑl˧˥lɑ˧˥t
sallahnhẹ	ɬa˧˥la˨˩ɲɛ˧
sallah	sɑ˧˥la˧˥
salluste	sa˧˥lu˨˩˦ste˧˥
sally	sa˧˥li˨
salman	ɬaːl˧˥man
salma	sɑl˧˥mɑ˨
salminen	ʃaːlmiːn
salmonella	˨ɑ˥l˩mo˧n˥e˧l˧a˥
salmon	ˈsaːm˨˩lɔn˧
salome	sa˧lo˧me˧
sa-lô-môn	sa˧lo˨mo˧n˥
salomon	sɑlɔmɔn˧
salonga	sa˧lo˨ŋa˧
salonicus	sɑlɔnɪkɨ
salon	sɑlɔn˨
salouha	sa˧lo˨u˩ha˧
salsa	sɑː˧˥lɑː˧˥
sal	sɑl˧
salta	ɬa˧˥la˨˩
salter	ɬaː˧˥t
salters	ʃaːt˥
saltgrass	ʃaɲ˥t˩kɛ˧˥
saltillo	ʃaːl˧˥ti˧˥lo˧˥
salt	muŋ˧
salton	sɑl˧˥tɔn˨
salty	ʂaː˨˩lɔ˨˩
saltzburg	˨˧sɑːl˨˧tʃɯ˥˩
saltzman	ʃɑːlʔmaːn
saluda	sa˧lu˥da˧
salud	sa˧˥lu˧˥t˨
salute	ʃa˨˩lu˧˥tɛ˥
salut	sa˧˥lut˨
salvador	ʃaː˨˩laː˨˩vɑː˨˩do˥
salvation	sɑlʋɑː˧˥tʰɔŋ
salvatore	ˈsaː˨˩laː˨˧vɑː˨˩to˧˥
salvatores	sɑːlʋɑːtɔː˧˥
salvator	ʃaː˧˥lɑː˧˥vɑː˧˥tɔ˧˥
salve	sɑːl˧˥vɛ˩
salvesen	ɬaː˨˩vɛ˨˧sɛn˥
salviati	sɑlviəj˧
salvio	sɑlvi˧˥
salvo	sɑl˧ʔvo
salzburg	ˈsɑl˨ɣʊt˥
samandriel	sama˧nɗi˨ɛl
samantha	sa˧ma˧n˦θa
samara	sama˧ra˥
samaria	sa˧ma˨li˧a˧
samari	sa˧ma˨ri˧
samaritan	sama˧ri˨ta˧n
samarium	səma˧˥ʐiəw˧˥
samarra	sa˧ma˨ra˧
samar	sa˧ma˨ra˧
sama	sa˧ma˧
sâm-banh	sam˧baɲ˥
sâmbanh	sɑm˧˥bɑŋ˧
samba	samba:sɑm˧˥bɑ˧˥
samba-tapas	ɕaː˥ma˧taː˧paː˧
sambora	sambora
sambo	sam˧˥bo˨
sambuca	ɬə̰m˧˥bukə̰
samburu	samburu
samchuk	sɑmʨʊk
samedi	˨˧ma˥˧de
sameen	sɛː˧˥mɛn˩
sameer	saː˨˩meː˨˧
same	sam˧
samhain	sam˧hɑj˨˩
sami	ɕa˨˩mi˨
samir	sə˧mɪ˨
sammael	ʃa˨ma˩˧əl˥
sammi	sam˧˥mi˩
sammler	ʃam˧˥lɛ˩
sammy	sɑm˧
samno	sɑm˧nɔ˥
samoan	səːmwɑ̀ːn
samoa	sa˧˥mo˨
samovar	sa˧mo˨va˧
sâm-panh	sam˧paɲ˥
sâmpanh	sɑːm˧paɲ˨
sam-panh	sɑm˧pɑɲ˥
sampanh	ʂam˧˥paɲ˧
sampler	sæm˧˥lɛː˧˥
sample	sam˧pəl˦
sampson	sampsonsɐm˨˩˦pɔn
sam	sam˧
sám	sa˥m
sám	sám˧
sắm	sám
sắm	sám
sầm	sảm
sẫm	sảm
sảm	sảm˧
sạm	sảm
sậm	sḁm
sẩm	sɐm˧
sàm	sɑm˧
săm	sɑm˧
sâm	sɑm˧
sấm	sɑm˧
sấm	sɑm˧
samseongyo	sam˧səŋ˥jo˧
samsky	sɑm˧skɨ˥
samsonite	ˈsaːmsonitɛ
samson	sɑm˧˥sɔn˨
sam-sôn	sɑm˧sɔn˥
samsung	saːm˧˥suŋ˧˥
samsun	sɑm˧˥sʊn˧˥
samuel	sæm˧wɛl˨
samuels	ˈsaːmɯl
sa-mu-en	sɑ˧mɨə˧˥n
samui	sə˧˥mɨ˩
samurai	ˈsaːmwai
samura	sa˧mu˨ra˥
samwell	sɑmʋɛl
samwise	sɑm˧ʔwi˧˥
samyaza	sa˧mya˧za˥
samy	saːm˧
sanaa	saː˧˥naː˧˥
sanada	sa˧na˥da˧
sana	sa˧na˥
sanbridge	sɑːn˧˥bɹiːj˧˥
sancerre	sɑ̰n˧˥kɛ̰˧˥
sanchez	saːnʨeː
sancho	san˧ʔ
sancia	saːɲ˧˥ʈaː˨˩
sancorp	sɑn˧ʔkɔp
sancti	ʂaŋ˧˥tʰi˧
sanctuary	ʂaŋ˧˥kɨ˩˧ʔteɪ˧˥
sanctus	san˧kɯ˥tɯ˩
sandai	sɑːn˧˥dɑːj˧˥
sandal	sɐn˧ɗɐl˨
san-đan	san˧daːn˥
sandbox	sæ̃ːmbɔ̀x
sandeford	sɑːn˧˥dɛf˨˩ɔː˧˥
sanderman	saːn˧deː˨maːn˥
sanderson	sɐːn˧ʔdeː˨˩
sanders	sɐːn˧ʔdɛ˨
sander	ʂan˧˥
sandesh	saːn˧˥dɛ˧˥
sandhurst	sɑːn˧tʰəɹ˨
sandia	ʂaː˨˩ɲiə˨˩
sandin	sɑn˧ʔdin˧
sandler	sɑːn˨˩lɛː˧˥
sandman	sɑːn˨ʔmɑːn˨
sandora	sɑ̰n˧˥do˧˥ra˧˥
sandor	sɑ̰n˧˥dɔ̰˧˥
sandoval	ʃaːn˧˥do˨˩vaːl
sandovsky	sɑːn˧˥dɔ˨˩ksɨ˥
sandpiper	ʂɑːn˩˧dɨ˨˩piː˧˥
sandra	ɕaːn˨˩ɗaː˨˧
sandrene	sɑːn˧˥drɛn˧˥
sandrine	saːn˧ʔdriːn˨˩
sandringham	ɕaːn˥˩dʐiŋ˧˥hɑːm
sandrin	sɐn˧ʔdriŋ
sandro	sɑːn˧ɗɹɔ˥
sands	ʂɑːn˥
sand	ʂan˧
sandusky	sa˧nɗu˨kɪ˧
sandveg	sɑ̰n˥dɛ̰v˧
sandwiche	ɕan˥ɗwit˦ɕe˧
sandwiches	sɑ̄n˧ʔdɨ˨ʔ
sandwich	ʂan˥˧dɨk˨˩
sandy	sɑːn˧˥
sanemon	sɛn˧˥mɔn˧˥
sanford	san˧˥fɔː˨˩
sàng	˨˧
sanga	saŋ˧˥a˧
sáng	˨˧ɑŋ
sang-bae	ʂaːŋ˧˥baː˧˥
sangchun	sɑŋ˧tɕun˨
sàngcòn	˩sɑŋ˧˩kɔn˥
sang-du	sɑŋ˧du˨
sangeras	saŋ˧˥era˨sa˧
sanger	sɑŋ˧˥
sang-goo	sɑŋ˧goʊ˥
sanghoon	saŋ˧hoːn˨
sangiema	sɑŋ˧jɛ˥mɑ˩
sang-kook	saŋ˧kōk˨
sang-mo	saŋ˧˥mo˧˥
sangnok	saŋ˧nɔk˨
sang-ok	sɑŋ˧ɔk˨
sangok	sɑŋ˧ɔk˨
sango	saŋ˧˥go˨
sang-pal	saŋ˧paːl˥
sangreal	sɑŋ˧ʁɛː˥
sangre	ʂaŋ˧˥
sangria	saŋ˧˥gi˨ə˧
sàng	sàng
sáng	sa˧ŋ
sáng	sa˧ŋ
sãng	saŋ˧
sẵng	sɐŋ˧
sang	sɑŋ˧
sáng	sɑ̄ŋ
sảng	sɑ̀ŋ
sạng	sɑ̆ŋ
sắng	sɛ̀
sang-shik	sɑŋ˧ʃɪk˨
sằng	s˧ŋ
sẳng	s˧ŋʔ
sangster	ʂaŋ˧˥tɛ˧˥
sáng-thế	saːŋ˧˥tʰe˧˥
sanguinem	sɑŋ˧ɣwɪ˧˥nɛm
sanguinis	sɑŋ˧ɣwɪ˧˥ni˧
sanh	˨ɑ̰ŋ
sánh	sánh
sành	sành
sảnh	sảnh
sảnh	sɑ̄̀
sánh	sɑ̄ŋ
sành	ʂâi˧
sanim	sɑː˧˥nim˨
sanjar	san˧ʔ
sanjay	ʃaːn˧˥jaː˨˩
sankara	saŋ˧ka˧ra˧
sanka	saŋ˧˥ka˧˥
sanking	sɑŋ˧kɪŋ˥
sanktos	sɑ̰ŋ˧kto˨
san-ku	san˧ku˨
sạnl	san˧˥l˩
sanman	san˧man˨
sano	sɑːn˧
sanosuke	sa˧no˨˩sɯ˥kɛ˧
sanpo	san˧po˨
sàn	sa˨
sản	sa˥
sạn	sa˥
san	san˧
sán	s˩an˨
sàn	sǎn
sản	sǎn
sạn	san˧
sansa	sɑ̰̆n˧
sẫn	sɐn˧
săn	˨˧sɑn
sắn	˨˧sɑn
sắn	s˩ɑn
sẵn	s˩ɑn
sẳn	s˩ɑn
sẳn	sɑ̄n
sân	sɑn˧
sấn	sɑn˧
sãn	sɑn˧
sản	sɑ̄n˧
sằn	sɑ̆ʔ
sẵn	˩sɛn
sần	sɛ̌n
sanskrit	ˈsɑːnskɪt
sanso	sɑ̰n˧˥so̰˧˥
sans	sɑ̄n
santalises	sa˧˥n˩˧ta˧˥li˧˥s
santamaria	santamariasɑn˧˥ta˨˩ma˧˥li˧˥a
santana	sa˧˥n˨˩ta˧˥na˧˥
santanico	sa˨tan˧ni˨ko˥
santa	sa˧˥n˨˩ta˧˥
sante	sa˧n˨˦tɛ˥
santiago	ʃaː˨˩ti˧˥aː˨˩w
santini	sɑn˧˥tɪn˧˥
santino	ʂaː˨˩˦tɪn˨˩˦
santi	sɑ̰̆ː˧˥
santorini	sa˧n˨to˧ri˧ni
santoro	sɑ̰̆n˨˩tɔ˧˥rɔ˧˥
santos	sɑ̰̆n˨˧tɔ̰̆˨˧
santo	ʂaː˨˩to˧
santouri	sɑ̰n˧˥tou˨˩
sant	sɑ̰̆n
sanuk	sanuk˧
sanus	sa˧˥n˧˥
san-uých	san˧ʔuj˧
sanwa-kai	san˧wa˨kai˥
sanwich	ʂanʋit
sanya	sa˧nya˥
sao-lẻo	sɑw˧lɛw˥
saooo	sɑw˥
saori	sɑw˧˥
saor	saʊ˧
sáo	sa˧
sao-sao	sɑw˧sɑw˧
sao	sɑu˧
são	sɑu˧
sao	sɑw˧
sáo	sɑw˧
sào	sɑw˧
sảo	sɑw˧
sạo	sɑw˧
saoul	sɑu˧˥l
sapelli	sa˧˥pɛ˧˥li˧˥
sa-phia	sa˧˦phia˧˥
sapiens	saː˨˩piən˨˧
sapien	ʂa˨˩pi˨˧ən˧
sapienti	səpjen˧˥ti
sapna	sɑp˧˥naː˧˥
sapori	səpɔ˧˥ʐi
sapo	sɑp˧
sapphire	ʃəp˧˥
