11-a	ɨˈa
urcam	urkam
urcare	urkare
urcare	urˈkare
urcarea	urkaˈre̯a
urcară	urkarə
urcase	urkase
urcat	urkat
urcat	urˈkat
urcati	urˈkati
urcaţi	urkatsʲ
urcaţi-vă	urkatsivə
urce	urtʃe
urceol	urtʃeol
urceolat	urtʃeolat
urci	urtʃʲ
urcior	urtʃ̩or
urcioraș	urtʃ̩oraʃ
urcioruș	urtʃ̩oruʃ
urcuș	urkuʃ
urcând	urkɑːnd
urcă	urkə
urcă-te	urkəte
urcăm	urkəm
urcător	urkətor
urdar	urdar
urdea	urdĕa
urderean	urderĕan
urdeș	urdeʃ
urdina	urdina
urdinare	urdinare
urdiniș	urdiniʃ
urdoare	urdŏare
urdoi	urdoj
urdu	urdu
urduban	urduban
urduca	urduka
urducare	urdukare
urducat	urdukat
urducea	urdutʃ̩a
urduros	urduros
urdă	urdə
urdăreanu	urdərĕanu
urează	uɾe̯asə
urează-mi	ure̯azimi
ureche	ureke
ureche	uˈretʃe
urechea	urekʲ̩̩a
urechea	uˈretʃe̯a
urechelniță	urekelnitsə
urechere	urekere
urechi	urek
urechi	uˈreki
urechii	uˈreki
urechile	urekile
urechile	uˈrekile
uredinală	uredinalə
uredinofloră	uredinoflorə
uree	uree
uremic	uremik
uremie	uremije
ureometru	ureometru
uretan	uretan
ureter	ureter
ureteral	ureteral
ureterită	ureteritə
ureterografie	ureterografije
uretral	uretral
uretrită	uretritə
uretrotomie	uretrotomije
uretru	uretru
uretră	uretrə
urez	ureʃ
ureze	uɾeze
urezi	uˈrezi
urgent	urdʒent
urgent	urˈdʒent
urgenta	urdʒenta
urgenta	urˈgenta
urgentare	urdʒentare
urgentat	urdʒentat
urgente	urˈdʒente
urgenţe	urˈdʒentse
urgență	urgentsə
urgia	urdʒija
urgie	urdʒije
urgisire	urdʒisire
urgisit	urdʒisit
uri	urʲ
urias	uriˈas
uriasa	uraˈjasa
uriase	uriˈaʃe
uriasi	uriˈaʃi
uriasule	uriˈasulʲe
uriasă	uriˈasə
uriaş	uriˈaʃ
uriaşa	uriˈaʃə
uriaşe	uriˈaʃe
uriaşi	uriˈaʃʲ
uriaşii	uriˈaʃʲj
uriaşul	uriˈaʃul
uriaşule	uriaʃule
uriaşă	uriˈaʃə
uriaș	urijaʃ
uriaș	uriˈaʃ
uriașe	urijaʃe
uriași	urijaʃ
uriașă	urijaʃə
uriașă	uriˈaʃə
uric	urik
uricani	urikan
uricar	urikar
uricemie	uritʃemije
uriciune	uritʃ̩une
urii	uriː
urile	ur'ile
urina	urina
urina	uriˈna
urinal	urinal
urinar	urinar
urinare	urinare
urinare	uriˈnare
urinat	uriˈnat
urinează	uriˈne̯aʃe̯
urinez	uriˈneʃ
urineze	uriˈne̯ze
urinezi	uriˈnezi
urinifer	urinifer
urinos	urinos
urină	uriˈnə
urko	urkɔ
urla	urla
urlare	urlare
urlase	urlase
urlat	urlat
urlați	urlats
urle	urlɛ
urlet	urlet
urlet	urlɛt
urlete	urlete
urlete	urlɛtɛ
urletele	urletele
urletul	urletul
urli	urlʲ
urloi	urloj
urlu	urlu
urluială	urlujalə
urluire	urluire
urluit	urluit
urluitoare	urluitŏare
urlup	urlup
urlând	urlɨnd
urlă	urlə
urlătoare	urlətŏare
urlător	urlətor
urm	urm
urma	urma
urma	urmə
urmam	urmam
urmare	urmare
urmare	urmɑre
urmarea	urməˈre̯a
urmareasca	urməˈre̯aska
urmareste	urmaˈreʃte
urmaresti	urməˈresti
urmari	urmɑri
urmarim	urmɑˈrim
urmarind	urmaˈrinʲ
urmarire	urmɑrire
urmarirea	urmɑriˈe̯a
urmarit	urmaˈrit
urmarit-o	urmɑˈrit̪o
urmariti	urmaritʲ
urmară	urmarə
urmase	urmase
urmaseră	urmaserə
urmasii	urməˈsi
urmat	urmat
urmat	urˈmat
urmat-o	urˈmat̪o
urmate	urmate
urmati	urmɑtʲ
urmati-ma	urmətimə
urmati-mă	urmətimə
urmaticu	urmatiku
urmatoare	urmɑto̯are
urmatoarea	urmɑto̯ˈre̯a
urmatoarele	urmɑto̯aˈre̯le̯
urmator	urməˈtor
urmatorii	urmatoriː
urmatorul	urmatoɾul
urmată	urˈmatə
urmau	urmau
urmaş	urˈmaʃ
urmaşi	urmaʃʲ
urmaşii	urməˈʃi
urmaşul	urmaˈʃul
urmaţi	urmətsi
urmaţi-mă	urmətsimə
urmaș	urmaʃ
urmașii	urmaʃij
urmați	urmətsi
urmați-mă	urmətsimə
urme	urme
urmeaza	urme̯azə
urmeaza-ma	urme̯azamə
urmează	urme̯asə
urmează	urmĕazə
urmează-mi	urme̯asəmi
urmează-mă	urme̯asəmə
urmează-ţi	urme̯aʃtsʲ
urmei	urmej
urmele	urmele
urmelor	urmeˈlor
urmez	urmez
urmez	urˈmez
urmeze	urmeze
urmezi	urmezi
urmuliță	urmulitsə
urmuz	urmuz
urmuzache	urmuzake
urmuzescu	urmuzesku
urmușoară	urmuʃŏarə
urmuță	urmutsə
urmând	urmɨnd
urmã	urmə
urmă	urmə
urmăm	urmə
urmărea	urmərĕa
urmărea	urməˈre̯a
urmăreai	urməˈre̯aj
urmăream	urmərĕam
urmăream	urməˈre̯am
urmărească	urmərĕaskə
urmărească	urməˈre̯aʃka
urmăreau	urmərĕaw
urmăreau	urməˈre̯aʊ̯
urmăresc	urməresk
urmăresc	urməˈreʃk
urmăreste	urməˈreʃte
urmăresti	urməˈresti
urmăreşte	urməˈreʃte
urmăreşte-i	urməˈreʃtei
urmăreşte-l	urməˈreʃtel
urmăreşte-mă	urməˈreʃtemə
urmăreşte-o	urməˈreʃte̯o
urmăreşti	urməˈreʃtʲ
urmărește	urməˈreʃte
urmări	urmər
urmări	urməri
urmările	urmərile
urmările	urməˈre̯le̯
urmărim	urməˈrim
urmărind	urməˈrɨnd
urmărire	urmərire
urmărirea	urmərirĕa
urmărirea	urməˈre̯a
urmăriri	urməriri
urmăririi	urməririj
urmăririi	urməriˈriː
urmăriseră	urməriserə
urmărit	urmərit
urmărit	urməˈrit
urmărit-o	urməˈrito
urmărite	urmərite
urmărite	urməˈrite
urmăriti	urməritʲ
urmăritor	urməritor
urmăritori	urməritori
urmăritorul	urməritorol
urmărită	urməritə
urmăriţi	urməɾɨtsʲ
urmăriţi-l	urməɾɨtsʲl
urmăriți	urmərits
urmăriți	urməˈɾitsʲ
următoare	urmətore
următoare	urmətŏare
următoarea	urməto̯ara
următoarea	urmətŏarĕa
următoarei	urmətoˈre̯aj
următoarele	urməto'rele
următor	urmətor
următorii	urmətorij
următorii	urmətsjori
următorul	urmətorul
următorului	urmətsɨroluj
urna	urnə
urni	urni
urnire	urnire
urnit	urnit
urnă	urnə
urobacterie	urobakterije
urobilinogen	urobilinodʒen
urobilină	urobilinə
urocordat	urokordat
urocultură	urokulturə
urodel	urodel
urodinie	urodinije
urogastronă	urogastronə
urogenital	urodʒenital
urografie	urografije
urolog	urolog
urologic	urolodʒik
urologie	urolodʒije
urometru	urometru
urotropină	urotropinə
urquhart	urkuart
urs	urs
ursar	ursar
urseală	ursĕalə
urseanu	ursĕanu
ursi	ursi
ursidă	ursidə
ursii	ursiː
ursin	ursin
ursire	ursire
ursit	ursit
ursitor	ursitor
ursoaică	ursŏajkə
ursoaie	ursŏaje
urson	urson
ursu	ursu
ursul	ursul
ursula	ursula
ursule	ursule
ursuleac	ursulĕak
ursulescu	ursulesku
ursulet	ursulet
ursuleţ	ursulets
ursuleţi	ursuletʃʲ
ursuleţul	ursuletsul
ursuleţule	ursuletʃule
ursuleț	ursulets
ursulină	ursulinə
ursului	ursuˈli
ursus	ursus
ursuz	ursus
ursuz	ursuz
ursuzenie	ursuzenije
ursuzlâc	ursuzlɨk
ursăreasă	ursərĕasə
ursăresc	ursəresk
ursărime	ursərime
ursăriță	ursəritsə
urticacee	urtikatʃee
urticant	urtikant
urticare	urtikare
urticarie	urtikarije
urticarie	urt̪ʃaˈrie
uruguay	uɾugwaj
uruială	urujalə
uruioc	urujok
uruire	uruire
uruit	uruit
uruitoare	uruitŏare
uruitură	uruiturə
urzeală	urzĕalə
urzi	urzi
urzica	urzika
urzicare	urzikare
urzicat	urzikat
urziceni	urzitʃen
urzicuță	urzikutsə
urzicător	urzikətor
urzicătură	urzikəturə
urzire	urzire
urzit	urzit
urzitoare	urzitŏare
urzitor	urzitor
urâcios	urɨtʃ̩os
urâm	urɑm
urând	urɨnd
urâre	urɨre
urât	uraːt
urât	urɨt
urât-o	uraːtə
urâta	ura'tɑ
urâte	uraˈte
urâte	urɨte
urâtescu	urɨtesku
urâtu	urɨtu
urâtule	ura'tule
urâtă	uraːtə
urâţenia	uratsenia
urâţi	uratsʲ
urâțel	urɨtsel
urâțenie	urɨtsenije
urâțire	urɨtsire
urâțit	urɨtsit
urî	uriː
urî	urɨ
ură	ura
urăm	uraːm
urăm	urəm
urări	uraɾʲ
urările	uraˈrile
urăsc	uraʃk
urăsc	urəsk
urăste	uraʃte
urăsti	uraʃti
urător	urətor
urătură	urəturə
urăşte	uraʃte
urăşti	uraʃti
urăște	uraʃte
urăști	uraʃtʃʲ
urşi	urʃʲ
urşii	urʃʲi
urşilor	urʃilor
urșii	urʃij
urșinic	urʃinik
us	us
usa	usa
usagi	us̪aʒʲ
usb	usb
usc	usk
usca	uska
uscare	uskare
uscat	uskat
uscat	usˈkat
uscata	usˈkɑt̪a
uscate	uskate
uscatul	uska'tul
uscată	uskatə
uscaţi	uskatsʲ
uscior	ustʃ̩or
uscăcios	uskətʃ̩os
uscăciune	uskətʃ̩une
uscătoare	uskətŏare
uscător	uskətor
uscătorie	uskətorije
uscătorul	uskətoˈrul
uscăturea	uskəturĕa
uscătură	uskəturə
uscățel	uskətsel
uscățiv	uskətsiv
use	uzɛ
usher	uʃər
usi	usʲ
usii	usʲ
usile	usile
uslaș	uslaʃ
usnă	usnə
usoara	usɔˈara
usoare	uˈso̯are
usoară	usɔˈarə
usor	usor
uss	ʊs
ustaș	ustaʃ
ustensile	uʃteˈnʲile
ustensilă	ustensilə
ustura	ustura
usturare	usturare
usturat	usturat
usturime	usturime
usturoi	usturoj
usturoi	ʊsturoj
usturoia	usturoja
usturoiat	usturojat
usturoiere	usturojere
usturoiul	usturojul
usturoiță	usturoitsə
ustură	ustura
usturător	usturətor
usturătură	usturəturə
usuc	usuk
usuce	usutʃe
usuci	usutʃʲ
usucă	usukə
usura	usura
usurare	usurare
usurat	usuraʈ
usurel	usurɛl
usurez	usurez
usurinta	usuri̯ntə
usă	usə
ut	ut
utah	utə
uter	uter
uter	ut̪er
uterin	uterin
uterin	uteˈrin
uterul	ut̪eˈrul
uterului	ut̪eˈrelu
uther	ut̪er
util	ut'il
util	util
utila	utila
utilaj	utilaʒ
utilaje	utiliˈaʒe
utilare	utilare
utilat	utilat
utile	utile
utile	utɨˈle
utili	utili
utilitar	utilitar
utilitarism	utilitarism
utilitarist	utilitarist
utilitate	utilitate
utilitatea	utilitatĕa
utilitatea	utiˈlite̯a
utilități	utilitəts
utilităților	utilitətsilor
utiliza	utiliza
utiliza	utiliˈza
utilizabil	utilizabil
utilizare	utilizare
utilizarea	utilizarĕa
utilizat	utilizat
utilizat	utiˈlizat
utilizate	utilizate
utilizate	utilizatʲ
utilizati	utiliˈzati
utilizator	utilizator
utilizator	utilizaˈtor
utilizatori	utilizaˈtorʲ
utilizatorului	utilizatoruluj
utilizaţi	utiliˈzatsʲ
utilizați	utilizats
utilizați	utiliˈzatsʲ
utilizez	utiliˈzets
utilizezi	utiliˈzɛzi
utilizând	utiliˈzɨnd
utilizăm	utilizəm
utilizăm	utiliˈzəm
utilizări	utilizər
utilă	utilə
utopia	utopijə
utopic	utopik
utopie	utopije
utopism	utopism
utopist	utopist
utrenie	utrenije
utrină	utrinə
uvarovit	uvarovit
uvertură	uverturə
uviol	uviol
uvografie	uvografije
uvologie	uvolodʒije
uvraj	uvraʒ
uvular	uvular
uvulă	uvulə
uz	uz
uza	uza
uzaj	uzaʒ
uzanță	uzantsə
uzare	uzare
uzat	uzat
uzate	uzate
uzată	uzəta
uzbec	uzbek
uzi	uzi
uzina	uzina
uzinabil	uzinabil
uzinaj	uzinaʒ
uzinal	uzinal
uzinare	uzinare
uzinat	uzinat
uzină	uzina
uzita	uzita
uzitabil	uzitabil
uzitare	uzitare
uzitat	uzitat
uzual	uzuwal
uzuale	uzwalə
uzucapiune	uzukapiune
uzufruct	uzufrukt
uzufructuar	uzufruktuwar
uzul	uzul
uzun	uzun
uzuneanu	uzunĕanu
uzura	uzura
uzurar	uzurar
uzurpa	uzurpa
uzurpare	uzurpare
uzurpat	uzurpat
uzurpator	uzurpator
uzurpațiune	uzurpatsiune
uzură	uzurə
uşa	uʃə
uşi	uʃʲ
uşii	uʃʲ
uşile	uʃiˈle
uşilor	uʃiˈlor
uşoare	uʃo̯are
uşoară	uʃo̯a̯rə
uşor	uʃor
uşori	uʃoɾʲ
uşura	uʃura
uşurare	uʃuˈrare
uşurat	uʃuraʔ
uşuratică	uʃura'titʃə
uşurată	uʃuˈratə
uşuraţi	uʃuraʈʃʲ
uşurează	uʃuˈre̯aʃe̯
uşurel	uʃuˈrel
uşurez	uʃuˈreʒ
uşureze	uʃuˈreze
uşurezi	uʃuˈrezi
uşurinţă	uʃuˈrintsa
uşurăm	uʃuˈrəm
uşă	uʃə
uș	uʃ
ușa	uʃa
ușar	uʃar
ușarnic	uʃarnik
ușchi	uʃk
ușchire	uʃkire
ușchit	uʃkit
ușer	uʃer
uși	uʃʲ
ușier	uʃijer
ușii	uʃij
ușii	uʃʲ
ușile	uʃile
ușile	uʃiˈle
ușilor	uʃilor
ușiță	uʃitsə
ușoara	uʃŏara
ușoare	uʃŏare
ușoară	uʃo̯a̯rə
ușor	uʃor
ușori	uʃor
ușuire	uʃuire
ușuit	uʃuit
ușuliță	uʃulitsə
ușura	uʃura
ușurare	uʃurare
ușurare	uʃuˈrare
ușurat	uʃurat
ușuratic	uʃuratik
ușure	uʃure
ușurel	uʃurel
ușurime	uʃurime
ușurință	uʃurintsə
ușurință	uʃuˈrinʈə
ușurătate	uʃurətate
ușurător	uʃurətor
ușuță	uʃutsə
ușă	uʃə
uța	utsa
v	ʋ
v	β
v-a	va
v-am	vam
v-ar	vaɾ
v-as	vas
v-ati	vati
v-au	vaʊ̯
v-aş	vaʃ
v-aţi	vaʈʲ
v-aș	vaʃ
v-ați	vatsʲ
v-o	vo
va	va
va-ntâmpla	vantɨmplə
va-ti	vati
va-ţi	vatsʲ
vaca	vaka
vacant	vakant
vacant	vaˈkɑnt
vacanta	vaˈkanta
vacante	vaˈkante
vacantă	vaˈkanta
vacanţa	vakaɲtsa
vacanţe	vakaˈntse
vacanţei	vakaɲtsei
vacanţele	vakaˈntsele
vacanţă	vakaɲtsə
vacanței	vakantsej
vacanță	vakantsə
vacanță	vakaˈntsə
vacarm	vakarm
vacarmului	vakarmuluj
vacat	vakat
vaccin	vaktʃin
vaccin	vatʃʲin
vaccina	vaktʃina
vaccinabil	vaktʃinabil
vaccinal	vaktʃinal
vaccinare	vaktʃinare
vaccinarea	vaktʃinarĕa
vaccinat	vaktʃinat
vaccinație	vaktʃinatsije
vaccinelă	vaktʃinelə
vaccinoterapie	vaktʃinoterapije
vaccinul	vaktʃinul
vaccinuri	vatʃinuri
vaccinurile	vatʃʃinˈrule
vaccinării	vaktʃinərij
vaci	vatʃʲ
vacii	vaˈtʃʲij
vacile	vaˈtʃile
vacilor	vaˈtʃilor
vacubliț	vakublits
vacuitate	vakuitate
vacuolar	vakuolar
vacuolă	vakuolə
vacuum	vakuwum
vacuumare	vakuwumare
vacuummetru	vakuwum̩etru
vacă	vakə
vad	vad
vad	vaɟ
vada	vada
vadea	vadĕa
vademecum	vademekum
vader	vadeɾ
vadim	va'dim
vadoasă	vadŏasə
vadră	vadrə
vadului	vaduluj
vaduva	vaduva
vadã	vada
vadă	vadə
vafe	vafe
vafelă	vafelə
vafă	vafə
vag	vag
vaga	vaga
vagaboandă	vagabo̯andə
vagabond	vagabond
vagabonda	vagabonda
vagabondaj	vagabondaʒ
vagabondare	vagabondare
vagabondul	vagaˈbondul
vagabonzi	vagaˈbondʒi
vagabonzii	vagabondʒi
vagant	vagant
vagi	vagʲi
vagin	vadʒin
vagin	vaˈdʒin
vaginal	vadʒinal
vaginism	vadʒinism
vaginită	vadʒinitə
vaginul	vaʒinul
vaginului	vaginuˈlu
vaginulă	vadʒinulə
vagină	vadʒinə
vagmistru	vagmistru
vagoane	vago̯ane
vagoanele	vago̯ane̯le
vagon	vagon
vagonet	vagonet
vagonetaj	vagonetaʒ
vagonetar	vagonetar
vagonul	vagonul
vagotomie	vagotomije
vagotonie	vagotonije
vagă	vagə
vah	vah
vai	vaj
vaida	vajda
vaier	vajer
vaiet	vajet
vail	vajl
vajnic	vaʒnik
val	val
vala	valə
valabil	valabil
valabila	valabilə
valabile	vala'bile
valabilitate	valabilitate
valabilă	vala'bilə
valadă	valadə
valah	valah
valanginian	valandʒinijan
valdez	valˈdeʃ
valdrap	valdrap
vale	vale
vale	valɛ
valea	valĕa
valea	vaˈle̯a
valencia	vale̞n̪tsi̯a
valenti	valenti
valentin	vale'tin
valentin	valentin
valentina	valə'tinətə
valentine	valentine
valentino	valenˈtino
valență	valentsə
valera	valəra
valeria	valeria
valerian	valerijan
valerianacee	valerijanatʃee
valerianic	valerijanik
valeriană	valerijanə
valerie	valəˈrie
valerio	valerio
valeriu	valerju
valerius	valerius
valet	valet
valet	vaˈlet
valetul	vale'tul
valeu	valew
valex	valeks
valeţi	vaˈletsʲ
valgus	valgus
valhalla	valaha
valiant	valiant
valid	valid
valida	valida
validare	validare
validat	validat
validitate	validitate
validă	vaˈlida
valină	valinə
valiu	valiw
valium	vaˈlium
valiza	vali'za
valize	valize
valizele	valiˈzele
valiză	valiza
valiză	valizə
valjean	valʒeʒɑn
valmeș	valmeʃ
valmy	valmi
valmă	valmə
valoare	valo̯are
valoare	valŏare
valoarea	valoaˈre̯a
valoarea	valŏarĕa
valois	vaˈlojs
valon	valon
valonee	valonee
valora	valora
valorare	valorare
valorație	valoratsije
valoreaza	valore̯aʒa
valorează	valo're̯asə
valorem	valorem
valorez	valoreʒ
valoreze	valoreˈze
valorezi	valorezi
valori	valor
valori	vaˈlorʲ
valoric	valorik
valorifica	valorifika
valorificare	valorifikare
valorificat	valorifikat
valorii	valɔri
valorile	valorile
valorilor	valorilor
valorilor	valɔrilor
valoriza	valoriza
valorizare	valorizare
valorizat	valorizat
valoroasa	valoro̯a̠sa
valoroase	valoro'ase
valoroase	valorŏase
valoroasă	valəˈro̯asə
valoros	valoros
valoros	valɔros
valoroşi	valoˈroʃʲ
vals	vals
vals	valʃ
valsa	valsa
valsare	valsare
valsator	valsator
valsul	val'sul
valtrap	valtrap
valul	valul
valului	valulu
valuri	valur
valuri	valuri
valurile	valurile
valutar	valutar
valută	valutə
valută	valuˈtə
valva	valva
valvar	valvar
valvele	valˈvele
valvolină	valvolinə
valvular	valvular
valvulită	valvulitə
valvulopatie	valvulopatije
valvulotomie	valvulotomije
valvulă	valvulə
valvârtej	valvɨrteʒ
valvă	valvə
valynic	valinik
valț	valts
vam	vam
vama	vamə
vamal	va'mal
vamal	vamal
vamale	va'male
vameș	vameʃ
vamos	vamos
vampir	va'mpir
vampir	vampir
vampire	va'mpire
vampiri	ʋɑmˈpʲiri
vampiric	vampirik
vampirii	va'mpiri
vampirilor	va'mpirilor
vampirism	vampirism
vampirul	va'mpirul
vampă	vampə
vamă	vamə
van	van
vana	vana
vanadinit	vanadinit
vanadiu	vanadju
vanat	vanat
vanatoare	vanato̯are
vanatoarea	vanato̯a̯re̯a
vanatori	vanatori
vance	vantʃe
vancea	vantʃ̩a
vand	van
vanda	vanda
vandabil	vandabil
vandabilitate	vandabilitate
vandal	vandal
vandal	vanˈdal
vandalic	vandalik
vandalism	vandalism
vandalizat	vandali'zat
vanderbilt	vandeˈɾɨlit
vandor	vandor
vandrug	vandrug
vandut	vandut
vane	vane
vaneaza	vane̯azə
vanessa	vaˈnesa
vanessei	vaˈnesaj
vang	vang
vanghelie	vangelije
vanghelist	vangelist
vania	vaˈnia
vanilat	vanilat
vanilie	vanilije
vanilină	vanilinə
vanisare	vanisare
vanitate	vanitate
vanitate	vanitaˈte
vanitatea	vanitatĕa
vanitatea	vanite̯aˈtʲe̯a
vanitos	vanitos
vanitos	vaniˈtoʃ
vanity	vanite
vant	vant
vantul	vantul
vantului	vantuˈluj
vantură	vanturə
vanzare	vanˈzare
vanzarea	vanzaˈre̯a
vanzari	vanzari
vanzator	vanzaˈtor
vapoare	vapo̯are
vapoarele	vapo̯aˈre̯le
vapor	vapor
vapor	vɑpoɾ
vaporaș	vaporaʃ
vaporean	vaporĕan
vapori	vaˈpɔri
vaporii	vapoˈri
vaporiza	vaporiza
vaporizare	vaporizare
vaporizat	vaporizat
vaporizator	vaporizator
vaporizație	vaporizatsije
vaporos	vaporos
vaporozitate	vaporozitate
vaporul	vaporul
vaporului	vaporuluj
vapotron	vapotron
var	var
vara	varə
varactor	varaktor
varda	varda
vardist	vardist
varec	varek
vareg	vareg
varf	varf
varful	varful
varg	varg
varga	vargə
vargas	vaɾˈgas
vargă	vargə
varia	varija
varia	vaˈria
variabil	varijabil
variabile	varibjɛle
variabilele	variabiˈlele
variabilitate	varijabilitate
variabilă	variabilə
variac	varjak
varianta	variantə
variante	varjˈante
variantele	varjantelə
variantă	varjantə
variantă	vaˈriantə
variat	varjat
variate	variˈate
variator	varijator
variază	varijazə
variază	varja
variaţie	variaˈtsie
variaţii	varjaˈtsij
variație	varijatsije
variațiune	varjatsiune
varicap	varikap
varice	varitʃe
varicelă	varitʃelə
varicocel	varikotʃel
varicos	varikos
variere	varijere
varietate	varjetate
varietate	varjɛtɛtɛ
varietatea	varieteat̪e̯a
variete	varijete
varieteu	varijetew
variola	variola
variolic	variolik
variolă	variolə
variometru	varijometru
varistor	varistor
variu	varju
varmetru	varmetru
varniță	varnitsə
varometru	varometru
varoră	varorə
varsa	varsə
varsat	varˈsat
varsecundă	varsekundə
varsovia	varsoviə
varsta	varstə
varsă	varsə
vartaco	vartako
vartex	varteks
varul	varul
varun	varun
varus	varus
varvă	varvə
varza	varza
varză	varzə
vară	vara
vară	varə
varşovia	varˈʃovja
varșovian	varʃovijan
vas	vas
vasal	vasal
vasalitate	vasalitate
vasco	vasko
vascular	vaskular
vascular	vaskulɑr
vasculare	vaskuləˈre
vasculariza	vaskulariza
vascularizare	vaskularizare
vascularizat	vaskularizat
vascularizație	vaskularizatsije
vască	vaskə
vase	vasɛ
vasectomie	vasektomije
vasectomie	vasɛktoˈmie
vasel	vasel
vasele	vasele
vasele	vaˈselle
vaselină	vaselina
vaselină	vaselinə
vasilache	vasilake
vasilcă	vasilkə
vasile	vasile
vasilescu	vasilesku
vasili	vasili
vasilian	vasilijan
vasilicale	vasilikale
vasilică	vasilikə
vasilisc	vasilisk
vasiliu	vasilju
vasiloiu	vasiloju
vaslui	vasluj
vasluian	vaslujan
vasluiancă	vaslujankə
vasoconstrictor	vasokonstriktor
vasoconstricție	vasokonstriktsije
vasodilatare	vasodilatare
vasodilatator	vasodilatator
vasodilatație	vasodilatatsije
vasomotor	vasomotor
vasopresină	vasopresinə
vasquez	vasˈkes
vast	vast
vast	ʋast
vasta	vastə
vaste	vaste
vaste	vastɛ
vastitate	vastitate
vastă	vasə
vasu	vasu
vasul	vasul
vasului	vasuluj
vasăzică	vasəzikə
vata	vatə
vatală	vatalə
vatavu	vatavu
vatelină	vatelinə
vatican	vatiˈkan
vaticanul	vatiˈkanul
vaticanului	vatikanuluj
vaticinar	vatitʃinar
vaticiniu	vatitʃinju
vatir	vatir
vatman	vatman
vatos	vatos
vatră	vatra
vatră	vatrə
vată	vatə
vau	vaw
vaughan	vaʊ̯xɑn
vaughn	vaʊn
vavilonie	vavilonije
vayu	vaju
vaza	vaza
vazand	vazand
vaziri	vaziri
vazut	vazuʈ
vazut-o	vazuto
vazuta	vaˈzuta
vazute	vazute
vazuti	vazutsi
vază	vazə
vază	vaːzə
vașcău	vaʃkəw
vașetă	vaʃetə
vați	vats
vd	vd
ve	ve
ve-ti	veti
ve-ţi	vetsi
veac	vĕak
veacul	vĕakul
veacuri	vekuri
veacuri	vĕakur
vece	vetʃe
vecernie	vetʃernije
veceu	vetʃew
veche	veke
veche	vekʲe
vechea	vekjə
vechea	vekʲ̩̩a
vechi	vekʲ
vechie	vekije
vechii	vekij
vechii	vekʲij
vechil	vekil
vechile	vekile
vechilor	vekiloɾ
vechime	vekime
vechime	vekimi
vechitura	vekitura
vechituri	vekitiɾʲ
vechiturile	vekiturele
vechitură	vekitureə
vechitură	vekiturə
vechiul	vekjul
vechiul	vekʲ̩̩ul
vechiului	vekʲuˈliʊ
veci	vekʲ
vecie	vekje
vecie	vetʃije
vecii	vetʃʲ
vecilor	vekiloɾ
vecin	vekʲin
vecin	vetʃin
vecina	vekina
vecine	vekine
vecine	vetʃine
vecini	vekini
vecinic	vetʃinik
vecinicie	vetʃinitʃije
vecinie	vetʃinije
vecinii	vekini
vecinii	vetʃinij
vecinul	vetʃinul
vecină	vekina
vecină	vetʃinə
vecinătate	vetʃinətate
vecinătate	vetʃiˈnət̪ate
vecinătatea	vekina'tate̯a
vecsel	veksel
vector	vek'tor
vector	vektor
vectorial	vektorijal
vectormetru	vektormetru
vectorul	vek'torul
vecuire	vekuire
veda	veda
veda	ved̪a
vede	vede
vedea	vede̯a
vedea	vedĕa
vedea-o	vede̯ao
vedeai	vedeaj
vedeam	vede̯am
vedeam	vedĕam
vedeau	vede̯au
vedeau	vedĕaw
vedem	vedem
vedenie	vedenije
vedenii	vedeni
vedenii	vedenij
vedere	vede're
vedere	vedere
vederea	vederĕa
vederea	vedeˈre̯a
vederi	veder
vederi	veˈderi
vederii	vedeˈri
vederile	vedeˈrile
vedeta	vedeta
vedete	vedeˈte
vedetele	vedetele
vedetelor	vedetelor
vedeti	vedeti
vedetism	vedetism
vedetă	vede'tə
vedetă	vedetə
vedeţi	vedetʃʲ
vedeţi-vă	vedetsivə
vedeți	vedets
vedic	vedik
vedrișoară	vedriʃŏarə
vedriță	vedritsə
vee	viː
veer	veːr
veera	veera
vega	vega
vegan	vegan
vegas	vegas
vegeta	vedʒeta
vegeta	vegeˈta
vegetal	vedʒetal
vegetal	vegeˈtal
vegetale	veget̪ale
vegetare	vedʒetare
vegetarian	vedʒetarijan
vegetarian	veʒetəˈrian
vegetariană	vegetariˈanə
vegetarieni	vegetarʲˈjenʲ
vegetativ	vedʒetativ
vegetaţia	vegetatsiə
vegetaţie	vegetətsʲe
vegetația	vedʒetatsija
vegetație	vedʒetatsije
vegetațiune	vedʒetatsiune
veghe	vege
veghează	vege̯asə
veghere	vegere
veghetor	vegetor
veghez	vegeʒ
vegheze	vegeˈze
veghezi	vegezi
vehement	vehement
vehemență	vehementsə
vehicolul	veikolul
vehicul	vehikul
vehicul	vehiˈkul
vehicula	vehikula
vehiculare	vehikulare
vehiculat	vehikulat
vehicule	veɪkulə
vehiculele	vehikulele
vehiculele	vehiˈkulele
vehiculul	vehiˈkulul
vehiculului	vehiˈkululʲ
vei	vaj
vei	vej
veioza	vejˈoza
veioză	vejozə
vel	vel
vela	velə
velar	velar
velarium	velarium
velastrai	velastraj
velatură	velaturə
vele	vele
veleat	velĕat
veleitar	veleitar
veleitate	veleitate
veleități	veleitəts
velele	velele
velica	velika
velicorus	velikorus
velier	velijer
velin	velin
velină	velinə
velință	velintsə
velist	velist
velit	velit
velma	velma
velnicer	velnitʃer
velniș	velniʃ
velniță	velnitsə
veloce	velotʃe
velociped	velotʃiped
velocipedist	velotʃipedist
velocitate	velotʃitate
