є	jɛ
розв	rozv
розваг	roːzvɑg
розвага	rozvagɑ
розваги	roˈzvaɦɪ
розважався	roʐvaˈʒasʲa
розважайся	rozvɑʒɑjˈsʲɑ
розважайтеся	roʑvaʒɐi̯teʃɐ
розважати	roʑˈʋaʒate
розважатись	rozvɑʒɑˈtɪsʲ
розважатися	roʑvaʒɐˈtɪsʲɐ
розважаються	rozvɑʒɐˈvɑtʲsʲɐ
розважимося	rozvɑʒɪˈmɔsʲɑ
розважити	roˈzvaʒɪtɪ
розважитись	rozvɑʒɪtɪsʲ
розважитися	roːzvɑʒɪtʲsʲɐ
розвалити	rozvɑlʲitɪ
розвалиться	rozvaˈɫɪtsʲɐ
розвалюється	rozvɑlʲʊjɛtʲsʲɑ
розвернися	rozvɛrˈnɪsʲɑ
розвернутися	rozʋerˈnʊtɪsʲ
розвестися	roˈzʋɛsʲtʲɑ
розвивається	rozvyˈvajetʲsʲɐ
розвиватися	ˈrɔzʋɪtɐse
розвиваються	rozvyˈvajutʲsʲa
розвинені	rozʋɪˈnɛnʲi
розвитку	ˈrɔzvɪtkʊ
розвиток	rozˈʋɪtɔk
розвідка	ˈrɔzʋidkɑ
розвідки	roʑˈʋidki
розвідку	roʑˈʋidkʊ
розвідники	ˈrɔzʋʲidnɪkʲi
розвіє	rozʲˈvʲiɛ
розгадати	roˈzgɑdɑti
розгледіти	roʑgɫeˈdɪti
розгляд	roˈzɦʲɑd
розглядає	ro̞zgɫɪˈdɑjɛ
розглядати	roʑglʲɐdɐti
розгляду	roʐɦlɐdu
розглянемо	ro̞zgɫ̪ɑnemɔ
розглянути	roʐglʲɪˈnʊtɪ
розголосу	ro̞zgo̞lo̞su
розголошувати	ˈrɔzɦɔɫuʃɐʋɐti
розгортання	ˈrɔzɦɔrtɐnʲi
роздивитися	roˈzɪdɪˌɑɪsʲɐ
розділ	rozʲdɪɫ
розділили	roʑˈdʲiɫɪɫi
розділимо	roʑˈdʲilʲimo
розділимося	roʑˈdʲiɫemosʲɑ
розділити	rozˈdʲilɪtʲi
розділитися	roʑˈdʲiɫeɫe
розділяє	roʑˈdʲilʲɑjɛ
роздобути	roːzdoˈbutɪ
роздратований	rozdrɑtoˈʋɑnɪj
роздуми	roːzduːmi
роздумів	roʑdumiu̯
роздягайся	ˈrɔzʲdʲɑɦɑjsʲ
роздягайтеся	roʑˈdʲɑɦɑjɛsʲɑ
роздягальні	roʑˈdʲaɦɫʲne
розен	roˈzen
розетти	roˈzɛtːi
рози	roˈzɪ
розі	roˈziː
розіб	roˈzɪp
розібрався	roˈzʲibrɐu̯sʲɐ
розібралися	roˈzʲibrɐlʲɪsʲɑ
розібрати	roˈzʲibrɐtʲi
розібратись	roˈzʲibrɐtɪsʲ
розібратися	roˈzʲibrɐtʲɛsʲ
розігнати	roˈzʲignɐti
розіграш	roˈzʲiɦrɑʃ
розігрувати	roˈzʲigruʋɐti
розійдіться	roˈzʲijdʲitʲesʲ
розійтись	roˈzʲijtɪsʲ
розійтися	roˈzʲijetʲsʲɑ
розійшлись	roˈzʲijʃlʲɪsʲ
розійшлися	roˈzʲijʃlʲesʲɑ
розійшовся	roˈzʲijʃɔu̯sʲɐ
розім	roˈzʲim
розіп	roˈzʲip
розірвав	roˈzʲirʋɑ
розірвало	roˈzʲirʋɐlo
розірвати	roˈzʲirʋate
розірве	roˈzʲirve
розіслав	roˈzʲisɫɑu̯
розкаже	roˈzkaʒe
розкажете	roˈzkaʒete
розкажеш	roˈzkaʒeʃ
розкажи	ˈrɔzkɑʒi
розкажіть	roˈzkaʒɪtʲ
розкажу	roˈzkaʒu
розказав	roˈzːɑzɑu̯
розказала	roˈzːɑzɑlɑ
розказати	roˈzːɑzɑti
розказував	roʑˈkɑzʋɑʋ
розказувала	roˈzɑkʊʋɑlɑ
розказувати	roˈskɑzuʋɑti
розказує	roˈskɑzʊje
розказуй	roˈskɑzʊj
розкидані	ˈrɔzkɪdɑnʲi
розкіш	roˈzʲkiʃ
розкішна	ˈrɔzʲkiʃnɐ
розкішно	roˈzʲkʲiʃno
розклад	roˈskɫat
розкладом	roˈskɫɑdɔm
розкладу	roːzˈkɫɑdu
розкласти	ˈrɔzklɑstɪ
розкопали	roˈskɔpɑˈlɪ
розкрив	rozkrɪf
розкривати	rozkrɪˈʋate
розкрила	rozkrɪˈlɑ
розкрили	rozkrɪlʲi
розкрити	rozˈkrɪti
розкриття	rozˈkrɪtʲːɐ
розлад	roːzɫɑt
розлучений	roˈzluːtʃenɪj
розлучені	roːzɫuˈtʃɛnʲi
розлучення	roːzɫuʧɛnʲɪjɐ
розлучився	roːzɫuʧɪu̯sʲɐ
розлучилася	roːzɫuʧɪˈsʲɑsʲɑ
розлучилися	roːzɫuʧɪɫesʲɐ
розлучимося	roːzɫuʧɪˈmɔsʲɑ
розлучитися	roːzɫuˈtʃɪtsʲɐ
розлучить	roːzɫutʃɪtʲ
розлютився	rozʲlʲʉtɪu̯sʲɐ
розлючена	roːzʲlʲʊˈtʃɛnɐ
розлючений	roʑlʲuʧɛjɛnɪj
розлючені	roːzʎuˈtʃɛnʲi
розмальована	roʑmɑlʲɔˈʋɑnɑ
розмари	rozˈmɑri
розмір	roˈzʲmʲir
розміри	rozˈmɪrɪ
розмірі	roʑˈmiri
розмірів	roˈzmiɾiu̯
розміром	roˈzʲmʲir
розміру	rozˈmʲiru
розмістив	roˈzmiːsʲtɪu̯
розмістити	roʑˈmʲistɪti
розміщені	roʑmʲiʃˈtsʲenʲi
розміщення	rozʲmʲiʃtʃʲenʲo
розмножуються	rozmnɔʒɔˈjuːtsʲɛ
розмов	roˈzmoʊ̯
розмова	roˈzmoʋɐ
розмовами	ˈrɔzmɔʋɐmʲi
розмови	roˈzmoʋɪ
розмові	roˈzmoʋi
розмовляв	rozmɔu̯ˈlʲɑu̯
розмовляє	rozmɔvʲɑjɛ
розмовляємо	roʑmɔu̯ˈlʲɑjemɔ
розмовляєте	rozmɔvʲɑjɛtɛ
розмовляєш	rozmɔwʲɑjɛʃ
розмовляй	roʐmɔu̯ʎɑj
розмовляйте	roʑmɔu̯ˈʎɑjɛ
розмовляла	rozmɔu̯ˈlʲɑlɐ
розмовляли	rozmɔu̯ˈlʲɑlʲi
розмовляти	roːzmɔu̯ˈlʲɑti
розмовляю	rozmɔvˈlʲɑjʊ
розмовляють	rozmɔu̯ˈlʲɑjʊtʲ
розмову	roˈzmoʋu
розовое	roˈzɔve
розовые	roˈzɔʋɪjɛ
розовый	roˈzɔʋɪj
розп	rosp
розпад	rozpɑt
розпадається	roʑpɑdʲɑjɛtʲsʲɑ
розпаду	roˈzpadu
розпал	roʑˈpɑɫ
розпалити	roʑpɑlʲitʲi
розпач	roʑˈpɑtʃ
розпачі	roʑˈpɑtʃʲi
розписатися	roʑpʲiˈsatejɐ
розпишіться	roʑpɪˈʃɪtsʲɐ
розпізнати	roˈzpʲiznɐtʲi
розплакатися	roʑpɫɑkɑˈtɪsʲɐ
розплачуся	roʑpɫɑtʃʊsʲɑ
розповів	roʐpɔˈʋiː
розповідав	roʐpɔˈʋʲiɛ̯dɑw
розповідає	roʐpɔˈʋʲiɑjɛ
розповідаєте	roʑpɔˈʋʲidɑete
розповідаєш	roʑpɔʋʲiˈdɑjɛʃ
розповідай	roʑpɔˈʋʲiɟɐj
розповідайте	roʑpɔˈʋʲiɟɐtɛ
розповідала	roʐpɔˈʋʲiɾɐɫɐ
розповідали	roʐpɔˈʋʲiɑdɑlʲ
розповідати	ˈrɔzpɔʋʲidɐtʲ
розповідаю	roʑpɔˈʋʲiɟɑu̯
розповідають	roʑpɔˈʋʲidɐjʊtʲ
розповіді	rozpɔˈʋʲiɲi
розповідь	roʐpɔˈʋɪɲ
розповіла	ˈrɔzpɔʋilɐ
розповіли	roʑpɔˈʋiɫi
розповім	roʐpɔˈʋʲim
розповімо	roʑpɔˈʋʲimɔ
розповіси	ˈrɔzpɔʋʲiːsʲi
розповісте	rozpɔˈʋʲiste
розповісти	roʑpɔˈʋʲistʲi
розповість	ˈrɔzpɔˌʋiɕ
розповсюдження	rospɔspɪdʲːenʲːɐ
розподіл	roʑpɔˈdʲiɫ
розпорядженні	rozpɔrɑʒˈdʒɛnʲi
розпорядження	ˈrɔzpɔrʲɑdʒenʲːɐ
розпорядок	rozpoˈrʲɑdk
розпочав	roʃpɔˈtʃɑu̯
розпочала	ˈrɔspɔtʃɐlɐ
розпочалася	roʂpɔtʃɐˈlɑjɐ
розпочали	roʂpɔtʃɑlʲi
розпочати	ˈrɔspɔtʃɐtʲi
розпочинаємо	roʃpɔtʃɑˈjɛmɔ
розпочинається	roʃpɔtʃɛˈɲɑetsʲɑ
розпочне	ˈrɔspɔtʃnɛ
розпочнемо	roʂpɔtʃnɛmɔ
розпочнеться	ˈrɔspɔtʃnɛtʲsʲɐ
розпродаж	ro̞zproˈdɑʒ
розпусник	ˈrɔzpusnɪk
розраховував	rozraχɔu̯ɐi̯l
розраховували	roʑrɑxɔwʊʋɑlʲi
розраховувати	roʑrɑxɔwʊtɪ
розраховуй	roˈzraxou̯i
розраховую	roʐrakɔˈwɔjʊ
розрахувалися	roˈzraxʊʋɐˌlʲiˌsʲɑ
розрахунки	roˈzraxʊnki
розрахунок	roˈzraxʊnɔk
розрив	roˈzrɪu̯
розриває	rozʲrɪˈʋajɛ
розриву	roˈzrɪvu
розробив	roˈzrɔbɪu̯
розробили	roˈzrɔbɪlʲi
розробити	roˈzrɔbɪti
розробки	roˈzrɔpki
розробку	roˈzrɔpku
розроблений	roˈzɾɔbɫenɪj
розряд	roˈzʲrʲɑt
розслаб	rozsɫɑb
розслабився	roˈzʲsɫɑbʲiʋsʲɐ
розслабитися	roˈzʲsɫɑbʲitʲɪsʲɑ
розслабся	roˈzɫɑbsʲɑ
розслабтесь	roˈzʲsɫɑbtesʲ
розслабтеся	roʑsɫɑbˈtɛsʲɑ
розслідуванні	roˈsʲlʲidʊʋanʲi
розслідування	ˈrɔzʲsʲlʲidʊʋɐɲːɐ
розслідувань	ˈrɔzʲsʲlʲidʊʋɐi̯
розслідувати	ro̞zʲsʲlʲi̞du̞ʋɑ̟ti
розслідую	ˈrɔzʲsʲlʲidʊjʊ
розстріляли	roʑsʲtrʲiˈlʲɑlʲi
розстріляти	roˈzʲstʲrʲilʲɐtʲi
розступіться	roˈzstupʲitsʲ
розсуд	ˈrɔzsud
розтане	roˈz̪t̪ɑn̪e
розташований	roztɑʃɔˈʋɑnɪj
розташовані	roztɑʃɔˈʋɑni
розташування	roʑtɑʃuʋɑɲʲɔ
розтин	ˈrɔztɪn
розтину	roˈz⁽ʲ⁾t⁽ʲ⁾nu
розтрощив	roˈstroʃtʃɪu̯
розтрощили	roztroʃtʃɪlʲi
розу	roːzu
розумiєте	roˈzumejete
розумiєш	roˈzumejɛʃ
розумiю	roˈzumijʊ
розум	roˈzum
розумі	roˈzumi
розумів	roˈzumiw
розуміє	rozuˈmʲiɛ
розуміємо	rozuˈmʲijɛmo
розумієте	rozuˈmʲijete
розуміється	rozuˈmʲijetʲsʲɐ
розумієш	rozuˈmʲijɛʃ
розумієшся	rozuˈmʲijɛʃʲɛ
розуміла	rozuˈmɪlɐ
розуміли	rozuˈmɪɫi
розумінні	roˈzuminʲːi
розуміння	rozuˈmʲinʲɛ
розумінням	rozuˈmʲinʲem
розуміти	roˈzumiˈtɪ
розумію	roˈzumiʊ̯u
розуміюся	roˈzumiʊsʲɐ
розуміють	roˈzumiɪ̯tʲ
розумна	roˈzumna
розумне	roˈzumne
розумний	roˈzumnɪj
розумник	roˈzumnɪk
розумники	roˈzumnɪkɪ
розумнику	roˈzumnɪku
розумним	roˈzumnɪm
розумними	roˈzumnɪj
розумних	roˈzumnɪx
розумниця	roˈzumnɪtsʲɐ
розумні	roˈzum⁽ʲ⁾i
розумніша	roˈzumʲnʲiʃɐ
розумніше	roˈzumnɪʃe
розумніший	roˈzumʲnʲiʃɪj
розумнішим	roˈzumʲnʲiʃɪm
розумніші	roˈzumʲniʃi
розумно	roˈzumno
розумного	roˈzumnɔgo
розумною	roˈzumnɔjʊ
розумну	roˈzumnu
розумово	roˈzumɔwɔ
розумом	roˈzumɔm
розуму	roˈzumʊ
розходимося	roˈzɔdɪmɔsʲɑ
розходьтеся	roʐˈxɔdʲtʲse
розходяться	roʒɦɔˈdʲɑːtsʲe
розчавити	roʒtʃɑʋɪtɪ
розчавить	roʑtʃɑfɪtʲ
розчавлю	roʒtʃɑu̯lʲu
розчарована	roʐtʃɑroʋɑnɑ
розчарований	rozʈʂɑrɔˈʋɑɲ
розчаровані	rozʈʂɑroʋɑni
розчаровувати	roʃtʃɑrɔˈwʊtɪ
розчаровує	rozʈʂɑrɔˈwuje
розчарував	roʑtʃɑruʋɑ
розчарування	roʑtʃɑruʋɑnʲijɐ
розчин	roʐtʃɪn
розчув	roʃtʃuʋ
розширення	roʑʃɪˈʒɛnʲɐ
розширити	roʃʃɪˈrɪtʲi
розширюється	rozʃɪrʲʊjeɪ̯tʲɛ
розшук	roʃːuk
розшукати	roʃʃukɑti
розшуку	roʃʃukʊ
розшукує	roʃʃukʊje
розшукуємо	roʃʃukʊjemɔ
розшукується	roʃʃukʲuʔɛtʲsʲɑ
розшукую	roʃʃukʲu
розшукують	roʃʃukʊjʊtʲ
розщепленої	roʃtʃʲpelˈnɔji
розы	roˈzɨ
розыгрыш	roˈzɪɦrɪʃ
розыск	rozɨsk
розыске	roˈzɪsʲkɛ
рой	roɪ̯
рокiв	ˈrɔkiu̯
рок	rok
рока	ˈrɔkɑ
роками	roˈkɑmi
роках	roˈkɑx
роквуд	rokvuːd
рок-звезда	rokzʲvɛzˈda
роки	roki
років	roˈkiːw
роккі	rokːi
рокко	rokːo
рокленді	rokʲlʲenʲdi
рок-н-рол	roknrol
рок-н-ролл	rognroɫ
рок-н-ролу	roknrɔlu
роком	rokɔm
роксі	roksi
року	ˈrɔkʊ
рокфеллер	rogfɛlʲer
роланд	roˈɫɑnʲd
ролекс	roˈɫɛks
ролер	roˈler
роли	roˈlɪ
ролик	roˈɫɪk
роликах	roˈɫɪkɐx
ролики	roˈɫɪki
ролі	roˈlʲi
ролло	roːlːo
роль	roːlʲ
ролях	roˈlʲɑx
ром	rom
роман	roˈmɑn
романа	roˈmɑnɑ
романе	roˈmɑne
романи	roˈmɑni
романо	roˈmɑnɔ
романов	roˈmɑnɔu̯
романом	roˈmɑnɔm
романтик	roˈmɑntɪk
романтика	roˈmɑntɪkɑ
романтики	roʊˈmɑnɪkɪ
романтику	romɑntɪkʊ
романтические	romɑnɪtɪʧe
романтический	roˈmɑnɪtʲɪkʲi
романтическое	roʊmɑnʲitʃɛske
романтична	romɑnˈtɪʧnɑ
романтичний	romɑntɪʧnɪj
романтичні	romɑnˈtɪtʃne
романтично	roˈmɑntɪtʃnɔ
роману	roˈmɑnu
ромек	roˈmɛk
ромео	romɛo
ромі	roˈmiː
ромідзі	roˈmʲiɖi
ромку	romkʊ
рому	roˈmuː
рон	ron
рона	roˈna
рональд	roˈnalʲd
ронда	ˈrɔndɑ
роне	roˈne
ронни	ronːi
рори	roːri
рорі	roːri
рос	roʊs
росією	roˈsʲijɔjʊ
росії	roˈsʲii
російська	roˈsʲijɪska
російське	roˈsʲijʃke
російський	roˈsʲij̪sʲkɪj
російським	roˈsʲijskɪm
російськими	roˈsʲijːkɪmʲ
російських	roˈsʲijʃkɪx
російські	roˈsʲij̃sʲkʲi
російській	rosʲiʃˈkɪj
російського	roˈsʲijɪsʲkɔɦo
російської	roˈsʲijɔsʲkɪj
російською	roˈsʲijɪsʲkɔjʊ
російську	roˈsʲijɪsku
росію	roˈsʲijʊ
росія	roˈsʲijɐ
росіян	roˈsʲijɐn
росіянам	rosʲijɑnɑm
росіянами	rosʲijɐnɐmʲ
росіяни	rosʲijɐni
росіянин	rosʲiɐnʲin
росіянина	rosʲijɑnʲi
росказати	roskɑzɑti
роско	rosko
роскошный	roskoʃnɪj
росла	rosɫɑ
росли	roˈsɫɪ
рослин	roˈsɫɪn
рослина	ˈrɔsɫɪnɐ
рослинами	roˈsɫɪnɐm
рослини	roˈsɫɪni
росло	roːsɫoː
росс	ˈrɔsʲ
росса	roˈsʲːɑ
росси	roˈsʲi
россии	roˈsʲijɪ
россию	roˈsʲijʊ
рост	rost
роста	roˈsta
росте	roste
рости	roˈsʲti
ростити	roˈsʲtɪti
ростом	roˈstom
росту	roˈstu
ростуть	roˈstutʲ
рот	rot
рота	roˈta
роти	roˈtɪ
ротик	roˈtik
роті	roti
ротом	roˈtom
роту	ro'tu
роуд	ruːd
роуз	roːz
роф	roːf
рохан	roˈxɑn
рохану	roχanu
рохеліо	roxeˈlʲijo
рохкання	roɣkɑnʲːɑ
році	roːtsʲi
рочестер	roʧɛstɛr
рочестера	roʧɛʃɛtɛrɑ
рошан	roʃan
рою	roju
роя	rojɑ
рояль	roˈjɑl
рпйб	rpɪb
рпйпт	rpʲipt
рпйь	ʀpɪj
рпйьт	ʀpɪjt
рплль	ɾpɫʲ
рпллэт	rpɫɛt
рплэ	rpʲɛ
рпсяш	ɾpʲɑʃ
рпфь	ɾpʲ
рпфэ	rpʲɛ
рпх	ɾpχ
рпэ	ɾpɛ
рпэме	rpɛmɛ
рсбгмбфйкь	rsbɣmbfʲkʲ
рсбгмбфйкьфзфб	rsbɪmʲbʲfɪkʲfɪzʲfɪb
рсйн	rsʲin
рспт	rspɛt
рспуеэчефбй	rspujetʃɛfʲ
рспупчю	rʲspuˈpʲtʃʲu
рср	r̥ɛsʲr̥
рсщя	ɾsʲɕja
рсьвлзмб	rʲsʲuɫʲzʲm
рсьгмб	rʲsʲɦm
рсьгмбфб	ʀɪsʲgmʲbɛf
рсьгмбфй	rʲsʲgmʲbʲfʲ
рськейфбй	ʀsʲkɛjfʲbɪj
рсьуече	rʲsʲuʲeʧe
рсэрей	rsɛˈrɛj
рсюфз	rʲsʲufʲ
рта	rtɑ
ртом	rtɔm
рту	rtu
ртуть	rtutʲ
ру	ruː
рубай	ruˈbɑj
рубашка	ruˈbɑʃkɑ
рубашке	ruˈbɑʃkɛ
рубашки	ruˈbɑʃkɪ
рубашку	ruˈbaʃku
рубен	ruˈbɛn
рубена	ruˈbɛnɑ
рубене	ruˈbɛne
руби	ruˈbɪ
рубці	ruptsi
ругались	ruɣɑˈlɪsʲ
ругаться	rugɑtsʲɐ
руда	ruːdɑ
руде	rudɛ
руди	ruˈdɪ
рудий	ruˈdɪj
руді	rudi
рудник	ruˈdɲɪk
рудника	ruːdnɪkɑ
рудольф	ruˈdɔlʲf
ружа	ruʒɐ
ружье	ruʐɪjɛ
ружьё	ruʐʲjɔ
ружья	ɾuʒɪ̯a
рузвельт	ruzʋɛlt
рузвельта	ruzʋɛlʲtɑ
руїн	rujɪn
руїна	rujina
руїнах	rujinɑx
руїни	rujini
руїну	rujinu
руйнівник	rujˈɲiu̯nɪk
руйнування	rujnuʋanʲːɐ
руйнувати	rujnuʋɑti
руйнує	rujˈnujɛ
руйнується	rujˈnʲijetsʲɐ
руйнують	rujˈnujɛtʲ
рук	ruk
рука	ruˈka
рукав	ruˈkɑu̯
рукава	ruˈkɑwɑ
рукаве	ruˈkɑwe
рукавиці	rukɑʋɪtsʲi
рукавички	rukɑˈʋɪtʃɪ
рукаві	ruˈkɑʋi
рукам	ruˈkɑm
руками	ruˈkɑmi
руках	ruˈxɑ
руке	ruˈkɛ
руки	ruki
руководит	rukoʊvɔdɪt
руководителем	rukoʋɔdeˈlʲem
руководитель	rukoʊvɔdɪtʲɛlʲ
руководителя	rukoʊ̯o̯edɪˈtɛlʲɐ
руководить	rukoʊvɔdɪtʲ
руководство	rukoʊvɔdʲstʋo
руководством	rukoʊvɔdʲstʲmʊ
рукой	ruˈkɔj
рукопис	rukoˈpɪs
рукописи	rukoˈpɪsʲi
рукостискання	rukoˈstɪskɑɲːɑ
рукою	ruˈkɔjʊ
руку	ruˈku
рулем	ruːlʲem
рулём	ruˈlʲɔm
рулет	ruˈlɛt
рулетку	ruˈlɛtkʊ
рулит	ruˈɫɪt
руль	ruːlʲ
руля	ruˈlʲɑ
румпель	rumˈpɛlʲ
румунії	ruːmuˈɲiː
румынии	ruˈmɪnʲi
руперт	ruˈpɛrt
рупій	ruˈpij
рурк	ruːrk
русі	ruːsʲi
русло	ruːsɫo
руспанті	ruˈspɑnʲti
русские	ruˈskʲiji
русский	ruˈskʲij
русских	ruʃːkʲɪx
русской	ruːsʲkɔj
русском	ruʃkɔm
русскую	ruˈskujʊ
руссо	ruˈsːo
рут	rut
рутина	ruˈtɪnɑ
рух	rux
рухався	ruχuʋɐsʲɐ
рухає	ruxɑjɛ
рухаємось	ruχɑjemosʲ
рухаємося	ruxɑjemosʲɑ
рухається	ruxɐjɛtsʲɐ
рухаєшся	ruχɑjɛʃʲɛ
рухай	ruˈxaj
рухайся	ruˈxajsʲɐ
рухайтесь	ruxɐjte̝sʲ
рухайтеся	ruxɑjteˈsʲɑ
рухати	ruˈxɑti
рухатись	ruχɑtisʲ
рухатися	ruχɐˈtɪsʲɐ
рухаюся	ruxɐjʊsʲɐ
рухаються	ruχejutʲɛ
рухи	ruxʲi
рухів	ɾuˈxʲiʋ
рухнет	ruxnɛt
рухнул	ruxnʊɫ
рухом	ruˈxɔm
руху	ruxu
руці	ruːtsʲi
ручка	rutʃka
ручками	ruʈʂkɐmi
ручки	ruʈʃɪ
ручкой	rutʃkɔj
ручкою	ɾʊtʃˈkɔj
ручку	ruʈʃʊ
ручна	ruːtʃnɑ
ручне	ruʧne
ручний	ruʈʂneɪ̯
ручного	ruʈʲnoʊ̯
ручной	ruʈʲnɪj
ручную	ruʧˈnɔjʊ
руш	ruʃ
рушаємо	ruʃɑjemɔ
рушай	ruʃɑj
рушаймо	ruʃajmɔ
рушайте	ruʃɐjɪ
рушимо	ruʃɪmɔ
рушится	ruʃɪtsʲɐ
рушій	ruˈʃɪj
рушник	ruʃnɪk
рушники	ruʃˈnɪkɪ
рушників	ruʃnʲiɪ̯
рушниці	ruʃnʲiʲtsi
рушниць	ruʃnɪtsʲ
рушницю	ruʃnʲitsʲu
рушниця	ruʃnɪtsʲɐ
рфюмб	ɾfʲumʲb
рш	rʃ
рщ	rʃtʃ
рщл	rʃtɫ
рщт	rʃt
рыба	rɨbɑ
рыбак	ˈrɨbɑk
рыбалку	rɨbɑlˈkʊ
рыбку	rɨbkʊ
рыбой	rɨˈboj
рыбу	rɨbʊ
рыбы	ɾɨbɨ
рыбьеног	ˈrɨbʲenɔɦ
рыдает	ɾɨdɑet
рыжие	rɨʐɪjɛ
рыжий	rɨʐɪj
рынка	rynˈkɑ
рынке	rynkɛ
рынок	ˈrɪnɔk
рыцарей	ɾɨtsɐˈrɛj
рыцарем	ˈrɨtsɐrem
рыцари	ɾɨˈtsɑɾɪ
рыцарь	ˈrɨtsʲɑrʲ
рыцаря	ɾɪˈtsʲɑrʲɑ
рычаг	rɪˈtʃɑɦ
рьдйб	ɾʲdʲɪb
рьей	rij
рьлз	ɾɪɫz
рьлзт	ɾʲɫ̪z̪t̪
рьлй	rʲlʲ
рьме	ʀmʲɛ
рьне	rʲnʲe
рьнфб	ʀʲnʲfʲb
рьнщ	rʲnʃtʃ
рьсб	rʲːsʲb
рьсе	rʲːsʲe
рьсей	ɾʲsɛj
рьсипт	ʀʲsʲipt
рьсфб	ʀjɪsʲfʲb
рьсщ	ɾʲsʲɕ
рьуб	ɾʲuːb
рьуп	ruːp
рьфе	ʀʲːfe
рьщ	rʲɕː
рэд	red
рэджинальд	redʒiˈnɑɫʲɪd
рэдли	redɫɪ
рэз	ʀɛz
рэибне	rei̯bne
рэй	rei̯
рэймонд	ˈrɛjmond
рэйна	ˈrɛjɐn
рэйнбоу	ˈrɛjnbɔʊ
рэйч	rei̯tʃ
рэйчел	ˈrɛjtʃɛl
рэмзи	remʲzɪ
рэндалл	renˈdɑɫ
рэнделл	renˈdɛɫ
рэнди	renʲdi
рэнфе	renfe
рэфсб	ˈrɛfsb
рэя	ˈrɛjɑ
рю	ɾʲu
рюгбйне	rugbɪnʲe
рюй	ruj
рюйне	rujɪnʲe
рюйни	rujni
рюйнцн	rujntʃn
рюйюъ	ɾujʊj
рюкзак	rugzɑk
рюкзаке	rugzɑkɛ
рюл	ruːl
рюсб	ruːsb
рюсбн	ruːsbɛn
рют	rujt
рющ	ɾʲuʃtʲ
ряд	ɾʲɑːd
рядами	rʲɑdɐmi
рядах	rʲɑdɑx
ряди	ˈrʲɑdɪ
рядки	ɾʲɑtkɪ
рядків	ɾʲɑtʲkiw
рядовий	ɾʲɑwɔˈʋɪj
рядового	ˈrʲɑdɔwɔgo
рядовой	ˈrʲɑdɔʋɔj
рядок	ɾʲɑːˈtɔk
рядом	ˈrʲɑdɔm
ряду	ɾʲɪu̯
ряды	ˈrʲɑdɪ
рятівник	ˈrʲɑtʲiu̯nɪk
рятував	rʲɑtʊʋɑ
рятувальна	ˈrʲɑtʊʋɐlnʲɑ
рятувальні	ˈrʲɑtʊʋɑlʲnʲi
рятувати	rʲɑtʊʋɑti
рятує	rʲɑtʊje
рятуємо	ˈrʲɑtʊjemɔ
рятуєте	rʲɑtʊjɛtɛ
рятуєш	rʲɑtʊjɛʃ
рятуй	rʲɐˈtuj
рятуйте	ˈrʲɑtʊjɛ
рятую	ˈrʲɑtʊjʊ
ряущ	rʲɑu̯ʃtʃ
сiдай	sʲiˈdaj
сiм	sʲim
сiр	sʲir
сoбi	sɔbʲi
с	s
са	sɑ
сабина	ˈsɑbʲinɐ
сабіна	ˈsɑbʲinɑ
сабінко	ˈsɑbinkɔ
сабіно	ˈsɑbʲinɔ
савани	sɑvɑnʲi
сави	sɑˈʋɪ
сад	ˈsɑd
сада	ˈsɑdɑ
сади	ˈsɑdɪ
садист	ˈsɑdɪst
садись	ˈsadɪsʲ
садитесь	sɑdɪˈtɛs
садится	sɑdɪtsʲɐ
садиться	sɑdɪtsʲɛ
садівник	ˈsɑdiwnɪk
садік	sɑˈdɪk
садку	sɑdˈku
садовскі	ˈsɑdɔu̯skɪ
садом	sɑˈdɔm
саду	ˈsɑdu
саїд	sɑjɪd
саїда	sajida
саїде	ˈsɑjide
саїдом	sajɪdɔm
сай	sɑj
сайбрекс	sajˈbrɛks
сайбрекса	sajbrɛkʲsɑ
сайдсвайп	sɑjdsʋɑjp
сайлер	ˈsɑjlʲɛr
саймон	sɑjˈmɔn
сайрус	sɑjrʊs
сайт	sajt
сайта	sajtɑ
сайтах	sɑjˈtɑx
сайте	sajtɛ
сайті	sajtʲi
сайто	sajtɔ
сайтрон	sajtɾɔn
сайту	sajtʊ
саке	sɑˈkɛ
сакраменто	sɑkrɑmɛntɔ
сакс	sɑks
сакса	ˈsɑksɑ
саксон	ˈsɑksɔn
саксона	sɑksɔnɑ
саксофоне	sɑkˈsɔfɔnɛ
сакура	ˈsɑkʊrɑ
салаго	saɫɔgo
саладин	saɫɑdin
саламанка	saɫɑˈmɑnkɑ
салат	ˈsɑlɑt
салатом	sɑlɑˈtɔm
салату	sɑlɑtʊ
саленко	saˈlɛnko
салі	sɑli
салли	ˈsɑlʲi
салливан	ˈsɑlɪvɑn
саллі	sɑlːi
салон	ˈsɑlɔn
салоні	ˈsɑlɔnʲi
салону	salonu
салфетки	sɑlfɛtkɪ
сальватор	sɑlvɑtɔr
сальто	ˈsɑːlto
салют	sɑˈlʲut
салямі	saʎɪmi
самi	ˈsamɪ
сам	sam
сама	ˈsama
саманта	ˈsɑmɑntɑ
самая	ˈsɑmɑjɑ
саме	sɑˈmɛ
сами	sɑmʲi
самий	samiːj
самим	ˈsamɪm
самими	ˈsɑmɪmʲi
самих	sɑmʲix
самі	ˈsɑmi
самій	ˈsɑmɪj
