ং	ŋ
ভেটা	veʈaˑ
ভেড়া	bʱæɽaˑ
ভেড়া	bʱæɾaˑ
ভেড়া	bʱæ̃ɽaˑ
ভেড়া	bʱæ̃ɾaˑ
ভেতরে	bʱet̪ɔɹeˑ
ভেতরে	bʱet̪ɔɾeˑ
ভেতরে	vet̪ɔɹeˑ
ভেতরে	vet̪ɔɾeˑ
ভেস্তা	bʱes̠t̪äˑ
ভেস্তা	ves̠t̪äˑ
ভেস্তা	βes̠t̪äˑ
ভোজপুর	bʱodʑpuɹ
ভোজপুর	bʱodʒpuɾ
ভোজপুর	vodʑpuɹ
ভোজপুর	vodʒpuɾ
ভৌম	bʱou̯moˑ
ভৌম	vou̯moˑ
মউসুম	mou̯ʃum
মওকা	mɔo̯kaˑ
মওকা	mɔo̯qaˑ
মওকা	mɔukaˑ
মওকা	mɔuqaˑ
মওলানা	mɔo̯lanaˑ
মগজ	mɔgodʑ
মগজ	mɔgodʒ
মঙ্গল	mɔŋgɔl
মঙ্গলবার	moŋgolbaɹ
মঙ্গলবার	moŋgolbaɾ
মঙ্গল্য	mongolːɔˑ
মচমচে	mɔtɕmɔtɕeˑ
মচমচে	mɔtʃmɔtʃeˑ
মজদুর	modʒd̪uɾ
মজদুর	mozd̪uɹ
মজদুর	mozd̪uɾ
মজদুর	moz̪̪d̪uɹ
মজদুর	moz̪̪d̪uɾ
মজলিস	modʑlis
মজলিস	modʑliʃ
মজলিস	modʒlis
মজলিস	modʒliʃ
মজলুম	modʑlum
মজলুম	modʒlum
মজলুম	mozlum
মজা	mɔdʑaˑ
মজা	mɔd̪zaˑ
মজা	mɔdʒaˑ
মজা	mɔzaˑ
মজুর	mɔdʑuɹ
মজুর	mɔdʒuɾ
মজ্জা	mɔdʑːaˑ
মজ্জা	mɔd̪zd̪zaˑ
মজ্জা	mɔdʒdʒaˑ
মজ্জা	mɔzzaˑ
মজ্জা	mɔz̪̪dʒaˑ
মঞ্জুঘোষ	mɔndʑugʱoʃ
মঞ্জুঘোষ	mɔndʒugʱoʃ
মড়া	mɔɹaˑ
মড়া	mɔɽaˑ
মড়া	mɔɾaˑ
মণি	moniˑ
মণিপুর	monipuɹ
মণিপুর	monipuɾ
মত	mot̪oˑ
মত	mɔt̪
মত	mɔt̪oˑ
মতামত	mɔt̪amɔt̪
মতি	mot̪iˑ
মতো	mɔt̪oˑ
মদ	mɔd̪
মধু	mod̪ʱuˑ
মধুর	mod̪ʱuɾ
মধ্য	mod̪ʱːoˑ
মধ্যাহ্ন	mɔd̪ʱːanhoˑ
মধ্যাহ্ন	mɔd̪ʱːanhɔˑ
মধ্যাহ্ন	mɔd̪ʱːanːoˑ
মধ্যাহ্ন	mɔd̪ːánhɔˑ
মধ্যে	mɔd̪ʱːeˑ
মন	mon
মন	moːn
মনপ্রাণ	mɔnpɹan
মনপ্রাণ	mɔnpɾan
মনমোহন	mɔnmɔhɔn
মনসা	mɔnoʃaˑ
মনিব	monib
মনির	moniɹ
মনির	moniɾ
মনিষ	moniʃ
মনুষ্য	monuʃːoˑ
মনোবল	mɔnobɔl
মনোব্যথা	monobæt̪ʰaˑ
মনোব্যথা	monobɛt̪ʰaˑ
মনোভাব	monobʱab
মনোভাব	monovab
মনোয়ার	mono̯aɹ
মনোয়ার	mono̯aɾ
মনোয়ারা	mono̯aɹaˑ
মনোয়ারা	mono̯aɾaˑ
মনোরমা	monoɹɔmaˑ
মনোরমা	monoɾɔmaˑ
মন্ত্রী	mont̪ːɹiˑ
মন্ত্রী	mont̪ːɾiˑ
মফস্বল	mɔfoʃːɔl
মম	mɔmoˑ
ময়না	mɔe̯naˑ
ময়মনসিংহ	mɔe̯monʃiŋho
মরজি	moɹdʑiˑ
মরজি	moɾdʒiˑ
মরণ	mɔɾon
মরদ	mɔɹɔd̪
মরদ	mɔɾɔd̪
মরহুম	moɾhum
মরহুমা	moɾhumaˑ
মরা	mɔɹaˑ
মরা	mɔɾaˑ
মরামাস	mɔɹamaʃ
মরামাস	mɔɾamaʃ
মরিয়ম	moɹi̯om
মরিয়ম	moɾi̯om
মরিশাস	mɔɹiʃas
মরিশাস	mɔɾiʃas
মর্ত্ত্য	mɔɹt̪ːt̪oˑ
মর্ত্ত্য	mɔɾt̪ːt̪oˑ
মর্ত্য	mɔɹt̪ːoˑ
মর্ত্য	mɔɾt̪ːoˑ
মর্দ	mɔɾd̪ɔ
মর্দনী	mɔɾd̪ɔni
মর্যাদা	mɔɹdʑad̪aˑ
মর্যাদা	mɔɹzad̪aˑ
মর্যাদা	mɔɾd̪zad̪aˑ
মর্যাদা	mɔɾdʒad̪aˑ
মলম	mɔlom
মলাট	mɔlat
মলাট	mɔlaʈ
মশলা	mɔʃlaˑ
মশলা	mɔʃolaˑ
মশাই	mɔʃai̯
মশারি	mɔʃaɹiˑ
মশারি	mɔʃaɾiˑ
মশাল	mɔʃal
মসজিদ	mosdʑid̪
মসজিদ	mosdʒid̪
মসজিদ	moʃdʑid̪
মসজিদ	moʃdʒid̪
মসলা	mɔʃlaˑ
মসলা	mɔʃolaˑ
মস্করা	mɔʃkɔɹaˑ
মস্করা	mɔʃkɔɾaˑ
মস্তিষ্ক	most̪iʃkoˑ
মহরম	mɔhoɹom
মহরম	mɔhoɹɔm
মহরম	mɔhoɾom
মহরম	mɔhoɾɔm
মহল্লা	mɔholːaˑ
মহাদেশ	mɔhad̪eʃ
মহিলা	mohilaˑ
মহিষ	mohiʃ
মহীশূর	mohiʃuɹ
মহীশূর	mohiʃuɾ
মহেন্দ্র	mɔhend̪ːɹoˑ
মহেন্দ্র	mɔhend̪ːɾoˑ
মাংস	maŋʃoˑ
মাইক্রোনেশিয়া	mai̯kɹoneʃi̯aˑ
মাইক্রোনেশিয়া	mai̯kɾoneʃi̯aˑ
মাখন	makʰon
মাগরেবী	magɹebiˑ
মাগরেবী	magɾebiˑ
মাগার	magaɹ
মাগার	magaɾ
মাগী	magiˑ
মাগুর	maguɹ
মাগুর	maguɾ
মাঘ	mag
মাঙ্গা	maŋgaˑ
মাচান	matɕan
মাচান	matʃan
মাজা	madʑaˑ
মাজা	madʒaˑ
মাজার	madʑaɹ
মাজার	madʒaɾ
মাঝ	madʑ
মাঝ	madʒ
মাঝে	madʑʱeˑ
মাঝে	madʒʱeˑ
মাটি	maʈ̟i
মাঠ	maʈ̟ʰ
মাড়	maɹ
মাড়	maɽ
মাড়	maɾ
মাড়া	maɹaˑ
মাড়া	maɽaˑ
মাড়া	maɾaˑ
মাড়ান	maɹan
মাড়ান	maɽan
মাড়ান	maɾan
মাড়ি	maɽi
মাণিক্য	manikːoˑ
মাত	mat̪
মাতা	mat̪aˑ
মাতৃ	mät̪ːɾiˑ
মাতৃভাষা	mät̪ːɾibʱäs̠äˑ
মাত্র	mat̪ːɹoˑ
মাত্র	mat̪ːɾoˑ
মাদল	mad̪ɔl
মাধ্যমে	mad̪ʱːɔmeˑ
মানা	manaˑ
মানিক	manik
মানুষ	manuʃ
মানে	maneˑ
মাপা	mapa
মাফ	maf
মাফ	maːf
মামড়ি	mamɹiˑ
মামড়ি	mamɽiˑ
মামড়ি	mamɾiˑ
মামলা	mamlaˑ
মামা	mama
মামুলী	mamuliˑ
মায়া	mae̯aˑ
মারা	maɾaˑ
মারুফ	maɾuf
মার্কসবাদ	maɹksbad̪
মার্কসবাদ	maɹkʃbad̪
মার্কসবাদ	maɾksbad̪
মার্কসবাদ	maɾkʃbad̪
মার্কা	maɹkaˑ
মার্কা	maɾkaˑ
মার্কিন	maɹkin
মার্কিন	maɾkin
মার্চ	maɹtɕ
মার্চ	maɾtʃ
মার্জার	maɹdʑaɹ
মার্জার	maɹzaɹ
মার্জার	maɾd̪zaɾ
মার্জার	maɾdʒaɾ
মাল	mal
মাল	maːl
মালদা	mal̪d̪aˑ
মালদ্বীপ	mal̪d̪ip
মালা	mala
মালাউন	malau̯n
মালিক	malik
মালিকানা	malikanaˑ
মাশাআল্লাহ	maʃalːaˑ
মাস	maʃ
মাস	maːʃ
মাসকালাই	maskalai̯
মাসি	maʃiˑ
মাসুদ	masud̪
মাস্টার	mastaɹ
মাস্টার	masʈaɾ
মাস্টার	maʂʈaɾ
মাস্টারমশাই	mastaɹɔmʃai̯
মাস্টারমশাই	masʈaɾɔmʃai̯
মাস্টারমশাই	maʂʈaɾɔmʃai̯
মাহতাব	maht̪ab
মাহদি	mahad̪iˑ
মাহদি	mahd̪iˑ
মাহদি	mehd̪iˑ
মাহদি	mehed̪iˑ
মাহফিল	mahfil
মাহফুজ	mahfuz
মাহমূদ	mahmud̪
মাহির	mahiɹ
মাহির	mahiɾ
মাহীন	mahin
মাহুত	mahut̪
মিউজিয়াম	miu̯zi̯am
মিউনিখ	miun̪ikʰ
মিছা	misaˑ
মিছা	mitɕʰaˑ
মিছা	mitʃʰaˑ
মিছিল	mitɕʰil
মিছিল	mitʃʰil
মিজান	midʑan
মিজান	midʒan
মিঞা	mi̯aˑ
মিঞা	mi̯ãˑ
মিটা	mitaˑ
মিটা	miʈaˑ
মিঠা	mitʰaˑ
মিঠা	miʈʰaˑ
মিতা	mit̪aˑ
মিত্র	mit̪ːɾoˑ
মিথ্যুক	mit̪ʰːuk
মিনসা	minʃaˑ
মিনার	minaɹ
মিনার	minaɾ
মিনিট	minit
মিনিট	miniʈ
মিশর	miʃoɹ
মিশর	miʃɔɹ
মিশর	miʃɔɾ
মিস্ত্রী	mist̪ːɹiˑ
মিস্ত্রী	mist̪ːɾiˑ
মীনাক্ষী	minakʰːiˑ
মীর	miɹ
মীর	miɾ
মীর	miːɾ
মীরা	miɹaˑ
মীরা	miɾaˑ
মুকুট	mukut
মুকুট	mukuʈ
মুকেরি	mukeɾiˑ
মুক্ত	mukt̪oˑ
মুক্তা	mukt̪aˑ
মুক্তিযুদ্ধ	mukt̪idʑud̪ʱːoˑ
মুক্তিযুদ্ধ	mukt̪idʒud̪ʱːoˑ
মুখপাত্র	mukʰopat̪ːɹoˑ
মুখপাত্র	mukʰopat̪ːɾoˑ
মুখপাত্র	mukʰopät̪ːɾo
মুখর	mukʰɔɹ
মুখর	mukʰɔɾ
মুখস্থ	mukost̪ʰoˑ
মুখস্থ	mukʰost̪oˑ
মুখস্থ	mukʰost̪ʰoˑ
মুখার্জি	mukʰaɹdʑiˑ
মুখার্জি	mukʰaɾdʒiˑ
মুখোপাধ্যায়	mukʰopad̪ʱːae̯
মুখোশ	mukʰoʃ
মুগ	mug
মুঘল	mugʱol
মুতাজ	mut̪adʑ
মুতাজ	mut̪adʒ
মুদি	mud̪iˑ
মুভি	mubʱiˑ
মুভি	muviˑ
মুরুব্বি	muɹubːiˑ
মুরুব্বি	muɾubːiˑ
মুর্শিদ	muɹʃid̪
মুর্শিদ	muɾʃid̪
মুর্শিদাবাদ	muɹʃid̪abad̪
মুর্শিদাবাদ	muɾʃid̪abad̪
মুষ্টি	mustiˑ
মুষ্টি	muʂʈiˑ
মুষ্টি	muʃtiˑ
মুসলিম	muslim
মুসিবত	musibɔt̪
মূঢ়	muɹoˑ
মূঢ়	muɽoˑ
মূঢ়	muɽʱoˑ
মূঢ়	muɾhoˑ
মূত্র	mut̪ːɾɔ̝ˑ
মূত্রনালি	mut̪ːɾɔ̝näliˑ
মূর্খ	murkʰo
মূর্তি	muɾt̪iˑ
মূর্ধন্য	muɹd̪ʱɔnːoˑ
মূর্ধন্য	muɾd̪ʱɔnːoˑ
মূল	mul
মূল	muːl
মূল্য	mulːɔ̝
মৃগ	mɹig
মৃগ	mɾig
মৃণ্ময়	mɹinmɔe̯
মৃণ্ময়	mɾinmɔe̯
মৃত	mɹit̪oˑ
মৃত	mɾit̪oˑ
মৃত্তিকা	mɹit̪ːikaˑ
মৃত্তিকা	mɾit̪ːikaˑ
মৃত্যু	mɹit̪ːuˑ
মৃত্যু	mɾit̪ːuˑ
মৃত্যুঞ্জয়	mɹit̪ːundʑɔe̯
মৃত্যুঞ্জয়	mɾit̪ːundʒɔe̯
মৃদু	mɹid̪uˑ
মৃদু	mɾid̪uˑ
মে	meː
মে	meˑ
মেঘ	meg
মেঘনা	megʱɔn̪a
মেঘালয়	megʱalɔe̯
মেচ	metɕ
মেচ	metʃ
মেজদা	medʒd̪aˑ
মেজদা	mez̪̪d̪aˑ
মেজবান	medʑban
মেজবান	medʒban
মেজবান	mezban
মেজাজ	medʑadʑ
মেজাজ	medʑaz
মেজাজ	medʒadʒ
মেজাজ	medʒaz
মেজাজ	mezadʑ
মেজাজ	mezadʒ
মেজাজ	mezaz
মেজাজ	mɛzaz
মেঝে	medʑʱeˑ
মেঝে	medʒʱeˑ
মেড়া	meɹaˑ
মেড়া	meɽaˑ
মেড়া	meɾaˑ
মেম	mem
মেম	meːm
মেম	mæm
মেম	mæːm
মেম	mɛm
মেম	mɛːm
মেয়াদ	mead̪
মেয়ে	meː
মেয়ে	meˑ
মেয়েমানুষ	mee̯emanuʃ
মেরা	meɹaˑ
মেরা	meɾaˑ
মেরামত	meɹamɔt̪
মেরামত	meɾamɔt̪
মেরু	meɹuˑ
মেরু	meɾuˑ
মেষশাবক	meʃːabɔk
মেস	meːs̠
মেহজাবিন	mahdʑabin
মেহজাবিন	mahdʒabin
মেহজাবিন	mahzabin
মেহজাবিন	mehdʑabin
মেহজাবিন	mehdʒabin
মেহজাবিন	mehzabin
মেহমান	mæhman
মেহমান	mɛhman
মেহমানী	mæhmaniˑ
মেহমানী	mɛhmaniˑ
মেহেরবানি	meheɹbaniˑ
মেহেরবানি	meheɾbaniˑ
মেহেরুন্নেসা	meheɹunːesaˑ
মেহেরুন্নেসা	meheɾunːesaˑ
মেহেরুন্নেসা	mehɹunːesaˑ
মেহেরুন্নেসা	mehɾunːesaˑ
মোকাবেলা	mokabelaˑ
মোকাম	mokam
মোগল	mogol
মোছা	motɕʰaˑ
মোছা	motʃʰaˑ
মোড়	moɹ
মোড়	moɽ
মোড়	moɾ
মোড়ল	moɹol
মোড়ল	moɽol
মোড়ল	moɾol
মোতা	mot̪äˑ
মোতি	mot̪iˑ
মোদী	mod̪iˑ
মোনাজাত	monadʑat̪
মোনাজাত	monadʒat̪
মোবাইল	mobai̯l
মোমবাতি	mombat̪iˑ
মোরগ	moɹog
মোরগ	moɾog
মোরব্বা	moɹɔbːaˑ
মোরব্বা	moɾɔbːaˑ
মোস্তফা	most̪ɔfaˑ
মোহাম্মদ	mohamːɔd̪
মৌ	mou̯
মৌত	mou̯t̪
মৌলবী	mou̯lobiˑ
মৌসম	mou̯ʃom
মৌসুম	mou̯sum
মৌসুম	mou̯ʃum
ম্যাডাম	mæɖam
ম্যাডাম	mæɽam
ম্যাডাম	mɛdam
ম্যাডাম	mɛɽam
য	dʑɔː
য	dʑɔˑ
য	dʒɔˑ
য	zɔˑ
যক্ষ্মা	dʑɔkʰːaˑ
যক্ষ্মা	dʒɔkʰːaˑ
যখন	dʑɔkʰɔn
যখন	d̪zɔkʰɔn
যখন	dʒɔkʰɔn
যখন	zɔxɔn
যত্ন	dʑɔt̪noˑ
যত্ন	dʒɔt̪noˑ
যথা	dʑɔt̪ʰaˑ
যথা	d̪zɔt̪ʰaˑ
যথা	dʒɔt̪ʰaˑ
যথা	zɔt̪áˑ
যথেষ্ট	dʑɔt̪ʰestoˑ
যথেষ্ট	dʑɔt̪ʰeʃtoˑ
যথেষ্ট	dʒɔt̪ʰeʂʈoˑ
যদি	dʑod̪iˑ
যদি	dʒod̪iˑ
যদিও	dʑod̪i̯oˑ
যদিও	dʒod̪i̯oˑ
যদ্দিন	dʑɔd̪ːin
যদ্দিন	d̪zɔd̪ːin
যদ্দিন	dʒɔd̪ːin
যদ্দিন	zɔd̪ːin
যন্ত্রণা	dʑɔnt̪ːɹɔnaˑ
যন্ত্রণা	dʒɔnt̪ːɾɔnaˑ
যন্ত্রণাদায়ক	dʑɔnt̪ːɹonad̪ae̯ok
যন্ত্রণাদায়ক	dʒɔnt̪ːɾonad̪ae̯ok
যবন	dʑɔbon
যবন	dʒɔbon
যমজ	dʑɔmodʑ
যমজ	dʒɔmodʒ
যশোর	dʑɔʃoɾ
যশোর	dʒɔʃoɾ
যা	dʑaː
যা	dʑaˑ
যা	dʒaˑ
যাচ্ছেতাই	dʑatɕʰːet̪ai̯
যাচ্ছেতাই	dʒatʃʰːet̪ai̯
যাত্রা	dʑat̪ːɹaˑ
যাত্রা	dʒat̪ːɾaˑ
যান্ত্রিক	dʑant̪ːɹik
যান্ত্রিক	dʒant̪ːɾik
যিনা	dʑinaˑ
যিনা	dʒinaˑ
যিনি	dʑiniˑ
যিনি	dʒiniˑ
যুক্তিবাদী	dʑukt̪ibad̪iˑ
যুক্তিবাদী	dʒukt̪ibad̪iˑ
যুদ্ধ	dʑud̪ʱːoˑ
যুদ্ধ	dʒud̪ʱːoˑ
যুযু	dʑudʑuˑ
যুযু	dʒudʒuˑ
যুলফিকার	dʑulfikaɾ
যুলফিকার	dʒulfikaɾ
যুলফিকার	zulfikaɾ
যে	dʑeː
যে	dʑeˑ
যে	dʒeˑ
যেমন	dʑɛmon
যেমন	dʒæmon
যোগী	dʑogiˑ
যোগী	dʒogiˑ
যোনি	dʑoniˑ
যোনি	dʒoniˑ
রংধনু	rɔŋd̪ʱonuˑ
রংধনু	ɹɔŋd̪ʱonuˑ
রইদ	rɔid̪
রইদ	ɹɔid̪
রওনা	rɔo̯naˑ
রওনা	ɹɔo̯naˑ
রওয়া	rɔo̯aˑ
রওয়া	ɹɔo̯aˑ
রওয়ানা	rɔo̯anaˑ
রওয়ানা	ɹɔo̯anaˑ
রক্ষা	rokʰːaˑ
রক্ষা	ɹokʰːaˑ
রতন	rɔt̪on
রতন	ɹɔt̪on
রত্ন	rɔt̪noˑ
রত্ন	ɹɔt̪noˑ
রদবদল	rɔd̪bɔd̪ol
রদবদল	ɹɔd̪bɔd̪ol
রব	rɔb
রব	rɔːb
রব	ɹɔb
রবি	robiˑ
রবি	ɹobiˑ
রবিবার	robibaɾ
রবিবার	ɹobibaɹ
রবীন্দ্র	robind̪ːɾoˑ
রবীন্দ্র	ɹobind̪ːɹoˑ
রবীন্দ্রনাথ	ɾobind̪ɾonäːt̪ʰ
রবীন্দ্রনাথ	ɾobind̪ːɾonät̪
রম	rɔm
রম	rɔːm
রম	ɹɔm
রমজান	rɔmdʒan
রমজান	rɔmzan
রমজান	ɹɔmdʑan
রমজান	ɹɔmzan
রসগোল্লা	rɔʃogolːaˑ
রসগোল্লা	ɹɔʃogolːaˑ
রসায়ন	rɔʃae̯ɔn
রসায়ন	ɹɔʃae̯ɔn
রসুন	rɔʃun
রসুন	ɹɔʃun
রসুল	rosul
রসুল	ɹosul
রহমত	rɔhmot̪
রহমত	ɹɔhmot̪
রহমান	rɔhman
রহমান	ɹɔhman
রহস্য	rɔhoʃːoˑ
রহস্য	ɹɔhoʃːoˑ
রহিম	rohim
রহিম	ɹohim
রহিমা	rohimaˑ
রহিমা	ɹohimaˑ
রাঁধা	rand̪ʱaˑ
রাঁধা	rãd̪ʱaˑ
রাঁধা	ɹad̪ʱaˑ
রাঁধা	ɹand̪áˑ
রাঁধুনি	rãd̪ʱuniˑ
রাঁধুনি	ɹad̪ʱuniˑ
রাক্ষস	rakʰːɔʃ
রাক্ষস	ɹakʰːɔʃ
রাজস্থান	radʒɔst̪ʰan
রাজস্থান	ɹadʑɔst̪ʰan
রাণী	raniˑ
রাণী	raɳiˑ
রাণী	ɹaniˑ
রাধা	rad̪ʱaˑ
রাধা	ɹad̪ʱaˑ
রান্নাঘর	ranːagʱɔɾ
রান্নাঘর	ɹanːagʱɔɹ
রামধনু	ramd̪ʱonuˑ
রামধনু	ɹamd̪ʱonuˑ
রায়	rae̯
রায়	ɹae̯
রাসেল	rasel
রাহুল	rahul
রাহুল	ɹahul
রিকশা	rikʃaˑ
রিকশা	ɹikʃaˑ
রিজিক	ridʒik
রিজিক	rizik
রিজিক	ɹidʑik
রিজিক	ɹizik
রিমঝিম	rimdʒʱim
রিমঝিম	ɹimdʑʱim
রিশকা	riʃkaˑ
রিশকা	ɹiʃkaˑ
রীতি	rit̪iˑ
রীতি	ɹit̪iˑ
রুজি	rudʒiˑ
রুজি	ɹudʑiˑ
রুট	ruʈ
রুট	ruːʈ
রুট	ɹut
রুটি	ruʈiˑ
রুটি	ɹutiˑ
রুদ্র	rud̪ːɾoˑ
রুদ্র	ɹud̪ːɹoˑ
রুদ্রাক্ষ	rud̪ɾakʰːɔˑ
রুদ্রাক্ষ	rud̪ːɾakʰːoˑ
রুদ্রাক্ষ	ɹud̪ɹaxxɔˑ
রুদ্রাক্ষ	ɹud̪ːɹakʰːoˑ
রুধির	rud̪ʱiɾ
রুধির	ɹud̪ʱiɹ
রুপা	rupaˑ
রুপা	ɹupaˑ
রুবাঈ	rubai̯
রুবাঈ	ɹubai̯
রুমাল	rumal
রুমাল	ɹumal
রূপকথা	rupkɔt̪ʰaˑ
রূপকথা	ɹupkɔt̪ʰaˑ
রেওয়ায়ৎ	reo̯ae̯ɔt̪
রেওয়ায়ৎ	ɹeo̯ae̯ɔt̪
রেজা	redʒaˑ
রেজা	ɹedʑaˑ
রেজোয়ান	ɾedʒoo̯an
রেজোয়ান	ɾezoo̯an
রেটিনা	reʈinaˑ
রেটিনা	ɹetinaˑ
রেদোয়ান	red̪o̯an
রেদোয়ান	ɹed̪o̯an
রেনেসাঁ	reneʃãˑ
রেনেসাঁ	ɹeneʃaˑ
রেফ	ref
রেফ	reːf
রেফ	ɹef
রেবেকা	rebekaˑ
রেবেকা	ɹebekaˑ
রেলগাড়ি	relgaɽiˑ
রেলগাড়ি	relgaɾiˑ
রেলগাড়ি	ɹelgaɹiˑ
রেশম	reʃom
রেশম	ɹeʃom
রেশমি	reʃmiˑ
রেশমি	ɹeʃmiˑ
রেস্টুরেন্ট	resʈuɾeɳʈ
রেস্টুরেন্ট	reʂʈuɾeɳʈ
রেস্টুরেন্ট	ɹestuɹent
রোক	rok
রোক	roːk
রোক	ɹok
রোকসানা	roksanaˑ
রোকসানা	ɹoksanaˑ
রোজনামা	rodʒnamaˑ
রোজনামা	ɹodʑnamaˑ
রোয়াইঙ্গা	ro̯ai̯ŋgaˑ
রোয়াইঙ্গা	ɹo̯ai̯ŋgaˑ
রৌশনী	rou̯ʃɔniˑ
রৌশনী	roːʃɔniˑ
রৌশনী	rɔuʃɔniˑ
রৌশনী	ɹou̯ʃɔniˑ
রৌশনী	ɹoːʃɔniˑ
রৌশনী	ɹɔuʃɔniˑ
লক্ষ্মণ	lɔkʰːɔn
লক্ষ্মী	lokʰːiˑ
লক্ষ্মীপেঁচা	lɔkʰːipetɕaˑ
লক্ষ্মীপেঁচা	lɔkʰːipẽtʃaˑ
লড়া	lɔɹaˑ
লড়া	lɔɽaˑ
লড়া	lɔɾaˑ
লতা	lɔt̪aˑ
লতিফ	lot̪if
লন্ঠন	lɔntʰɔn
লন্ঠন	lɔɳʈʰɔn
লন্ডন	lɔndɔn
লন্ডন	lɔɳɖɔn
লফজ	lɔfzoˑ
লবডঙ্কা	lɔbodɔŋkaˑ
লবডঙ্কা	lɔboɖɔŋkaˑ
ললিতা	lolit̪aˑ
লস্কর	lɔskɔɹ
লস্কর	lɔskɔɾ
লস্যি	lɔsːiˑ
লহর	lɔhoɹ
লহর	lɔhoɾ
লাইব্রেরি	lai̯bɹeɹiˑ
লাইব্রেরি	lai̯bɾeɾiˑ
লাউ	lau̯
লাগা	lɑgɑ
লাগানো	laganoˑ
লাগাম	lagam
লাচ্ছি	lasːiˑ
লাচ্ছি	latɕʰːiˑ
লাচ্ছি	latʃʰːiˑ
লাঠি	laʈʰiˑ
লাফানো	lapʰano
লাফানো	laɸano
লাভা	labʱaˑ
লাভা	lavaˑ
লাশ	laʃ
লাশ	laːʃ
লাস্যি	lasːiˑ
লিঙ্গ	liŋgoˑ
লিপস্টিক	lipstik
লিপস্টিক	lipsʈik
লিপস্টিক	lipʂʈik
লুঙ্গি	luŋgiˑ
লুৎফুর	lut̪fuɹ
লুৎফুর	lut̪fuɾ
লেওড়া	læo̯ɹaˑ
লেওড়া	læo̯ɽaˑ
লেওড়া	læo̯ɾaˑ
লেখা	lekʰaˑ
লেখা	lækʰaˑ
লেখা	lɛkʰaˑ
লেখানো	lekʰanoˑ
লেজ	ledʑ
লেজ	ledʒ
লেজ	lɛdʑ
লেজ	lɛdʒ
লেপটানো	leptanoˑ
লেপটানো	lepʈanoˑ
লেবু	lebu
লেমনেড	lemɔned
লেমনেড	lemɔneɖ
লোকমা	lokmaˑ
লোকসান	lokʃan
লোচন	lotɕɔn
লোচন	lotʃɔn
লোপ	lop
লোপ	loːp
লোহা	lohaˑ
লৌহ	lou̯hoˑ
ল্যাজ	lædʒ
ল্যাজ	lɛdʑ
শ	ʃɔː
শ	ʃɔˑ
শউর	ʃodʑuɹ
শউর	ʃodʒuɾ
শওহর	ʃɔo̯hɔɹ
শওহর	ʃɔo̯hɔɾ
শক্ত	ʃɔkt̪oˑ
শক্তি	ʃokt̪i
শখ	ʃɔx
শখ	ʃɔːk
শখ্‌স	ʃokʰs
শখ্‌স	ʃokʰʃ
শখ্‌স	ʃokʰʃoˑ
শখ্‌স	ʃoxs
শখ্‌স	ʃoxʃ
শখ্‌স	ʃoxʃoˑ
শঙ্খচূড়	ʃɔŋkʰɔtɕuɹ
শঙ্খচূড়	ʃɔŋkʰɔtʃuɽ
শঙ্খচূড়	ʃɔŋkʰɔtʃuɾ
শণ	ʃɔn
শণ	ʃɔːn
শত	s̠ɔ̜t̪oˑ
শত	s̠ɔ̜t̪ɔ̝̜ˑ
শতরকম	s̠ɔ̜t̪oɾɔ̜koˑm
শত্রু	ʃot̪ːɾuˑ
শত্রুতা	ʃot̪ːɾut̪aˑ
শনাক্ত	ʃɔnakt̪oˑ
শনি	ʃoniˑ
শনিবার	ʃonibaɹ
শনিবার	ʃonibaɾ
শপথ	ʃɔpɔt̪
শপথ	ʃɔɸɔt̪ʰ
শবনম	ʃɔbnɔm
শব্দ	ʃɔbd̪oˑ
শমশের	ʃɔmɔʃeɹ
শমশের	ʃɔmɔʃeɾ
শয়তান	ʃɔet̪an
শরণ	ʃɔɹon
শরণ	ʃɔɾon
শরবত	sɔɹbot̪
শরবত	sɔɾbot̪
শরবত	ʃɔɹbot̪
শরবত	ʃɔɾbot̪
শরম	ʃɔɹom
শরম	ʃɔɾom
শরমানো	ʃɔɹmanoˑ
শরমানো	ʃɔɾmanoˑ
শরীফ	ʃoɾif
শরীর	ʃoɹil
শরীর	ʃoɹiɾ
শরীর	ʃoɾil
শরীর	ʃoɾiɾ
শর্করা	ʃɔɹkɔɹaˑ
শর্করা	ʃɔɾkɔɾaˑ
শর্বত	sɔɹbot̪
শর্বত	sɔɾbot̪
শর্বত	ʃɔɹbot̪
শর্বত	ʃɔɾbot̪
শর্মিষ্ঠা	ʃoɹmistʰaˑ
শর্মিষ্ঠা	ʃoɹmiʃtʰaˑ
শর্মিষ্ঠা	ʃoɾmiʂʈʰaˑ
শরৎ	ʃɔɹot̪
শরৎ	ʃɔɾot̪
শল্যচিকিৎসা	ʃɔlːotɕikit̪s̪aˑ
শল্যচিকিৎসা	ʃɔlːotʃikit̪s̪aˑ
শসা	ʃɔʃaˑ
শহর	ʃɔhoɹ
শহর	ʃɔhoɾ
শহীদ	ʃohid̪
শাঁখ	ʃak
শাঁখ	ʃax
শাঁখ	ʃaːk
শাঁখ	ʃãx
শাঁখ	ʃãːk
শাক	ʃak
শাক	ʃaːk
শাগ	ʃag
শাড়ি	ʃaɹiˑ
শাড়ি	ʃaɽiˑ
শাড়ি	ʃaɾiˑ
শানাই	ʃanai̯
শান্ত	ʃant̪oˑ
শান্তি	ʃant̪iˑ
শাফা	ʃafaˑ
