0k8	ʊkːɑː
మనమరాలు	man̪am̪aɾaːlu
మనము	manamu
మనసు	man̪as̪u
మనసును	man̪as̪uːn̪u
మనసులు	man̪asulu
మనసులో	man̪aːs̪uːluː
మనస్తత్వ	man̪ast̪at̪ʋ
మనస్తత్వం	man̪ast̪at̪ʋam
మనస్తత్వశాస్త్రం	man̪ast̪ɐt̪ʋɐʃɑːst̪riː
మనస్సాక్షి	man̪as̪ːɑkʂi
మనస్సు	man̪as̪ːu
మనస్సుని	man̪as̪uɳi
మనస్సులలో	man̪as̪ːul̪loː
మనస్సులో	man̪as̪ːuːloː
మనస్సుల్లో	man̪as̪ːuɭːo
మనిషి	manɪʃi
మనిషికి	manɪʂiki
మనిషిని	manɪʂiːni
మనీ	mani
మనుగడ	man̪ugaɖ
మనుగడకి	manʊgaɖki
మనుగడలో	man̪ugaɖ̪loː
మనుషులా	manuʂula
మనేట్	man̪eːʈ
మనోజవసుడు	manoːdʒaʋasuɖu
మనోజవసుఁడు	manoːdʒaʋasuɖu
మనోజవుడు	manoːdʒaʋuɖu
మనోజ్ఞతను	manoɟɲat̪anu
మనోధర్మి	manoːd̪ʱarmi
మనోవైకల్యం	manoʋejkɐlʲʌm
మనోహరమైన	manoɦaramɛjɳ
మన్నించు	manːiɳʈu
మఫిన్	maːpʰiːn̪
మభ్యపెట్టడం	mabʱʲapet̪ːad̪ʌm
మమ్మల్ని	mɐmːal̪ni
మమ్మా	mɑmːɑ
మమ్మీ	mɑmːiː
మరక	maɾag
మరకలు	maɾakɭu
మరగుజ్జు	maɾguɖːu
మరచిపోవు	maɾatʃipoːʋu
మరణ	maɾɐɳ
మరణం	maɾɐɳɐm
మరణశిక్షలు	maɾɐɳɕikʂɭu
మరణానికి	maɾan̪aːki
మరణించడానికి	maɾaniɳiɖakeː
మరణించాడనే	maɾaniɳiɖaːne
మరణించాడా	maɾaɳiɳtʃaːd̪a
మరణించాడు	maɾɐɳiɳɖaːɳḍu
మరణించారు	maɾaniŋga
మరణించాలని	maɾaniɳʈaːlani
మరణించింది	maɾaniːɳdi
మరణించిన	maɾanɪɳiɳi
మరణిస్తాడు	maɾaniʈʈaːduː
మరణిస్తాను	maɾaɳis̪t̪aːnu
మరణిస్తారని	maɾaɳis̪t̪aːɾani
మరణిస్తారు	maɾɐɳist̪aːɾu
మరణిస్తున్న	maɾɐɳis̪t̪un̪ː
మరణిస్తున్నారు	maɾɐɳist̪ʌnduɾu
మరప్ఫి	maɾapːʰi
మరమ్మతు	maɾamːatu
మరమ్మతులు	maɾamːatuɭu
మరమ్మత్తు	maɾamːaʈːu
మరలా	maɾala
మరలు	maɾlu
మరి	maɾi
మరికొంత	maɾikoːnt̪ə
మరికొన్ని	maɾikoɲɲe
మరిచిపోతే	maɾiʈʈipoːte
మరిచిపోయాడు	maɾiʈʈipoːjɑːduː
మరిచిపోలేమని	maɾiʈʃipoleːmani
మరింత	maɾiːn̪t̪ə
మరిన్ని	maɾinːi
మరియా	maɾiːjɐ
మరియు-a-సగం	maɾijuʌʃɐgʌm
మరియు	maɾiju
మరుగుదొడ్లు	ɾeɖlu
మరుపు	maɾupu
మరుసటి	maɾusʈi
మరుసటిసారి	maɾusaʈisaːɾi
మరొక	maroːka
మరొకరి	maɾokari
మరొకరికి	maɾokariːki
మరొకరు	maɾokaru
మరొకసారి	maɾokɐsaːɾi
మరో	maːroː
మరోవైపు	maɾoʋejpu
మరోసారి	maɾoːsaːɾi
మర్కటము	markaʈamu
మర్చిపో	maɾtʃiːpoː
మర్చిపోకుండా	maɾtʃiːpoːgʌːndʑaː
మర్చిపోడు	maɾtʃipoːɖu
మర్చిపోతే	maɾtʃiːpoːt̪eː
మర్చిపోయాను	maɾtʃiːpoːjɑːnu
మర్చిపోయారా	maɾtʃiːpoːjɑːɾɑ
మర్చిపోయారు	maɾtʃipoːjaːɾu
మర్చిపోయి	maɾtʃiːpoːj
మర్చిపోయిన	maɾtʃipojiːn
మర్చిపోలేకపోతున్నానో	maɾtʃipolɛkɔːt̪unːɑːno
మర్చిపోలేరు	maɾtʃipoleːru
మర్చిపోవద్దు	maɾtʃip̟oːʋɐɖːu
మర్డర్	maɾɖaɾ
మర్డర్స్	maɾɖaːɾs
మర్యాద	marjaːda
మర్యాద	maɾjaːd̪
మర్యాదగా	maɾjaːd̪gɑ
మర్రిచెట్టు	maritʃeʈːu
మర్రిచెట్లు	maritʃeʈlu
మల	maːl
మలుపు	malupu
మలుపులు	malupulu
మల్లె	maɭːe
మసక	maːsɐk
మసకబారుతుంది	masɐkaːbaːɾʌn̪du
మసాజ్	masɑːdʒ
మసాలా	masaːlaː
మహారాజ	maːɦaːɾaːdʑ
మహారాజ్	maːɦaːɾaːdʒ
మహిళ	maːɦiɭə
మహిళకు	maɦiɭgu
మహిళల	maːɦiːɭɑːl̪
మహిళలు	maːɦiːɭu
మళ్లించాడు	maɭɭiɳɖaː
మళ్లింపు	maɭːlimpu
మళ్లీ	maɭɭiː
మళ్ళించారు	maːɭɭiːn̪kɐː
మళ్ళీ	maːlɭiː
మా	maː
మాకీ	maːkiː
మాకు	maːku
మాక్స్వెల్	maːksʋel
మాగీ	maːgiː
మాగ్నమ్	maːgn̪ːʌ
మాఘము	maːgʱamu
మాజికల్	miːdʒiːl
మాంజిష్ట	maːɳdʒiʂʈa
మాజీ	maːdʒiː
మాజీషియన్స్	maːdʒiːʃiːjɑːns
మాట	maːʈ
మాటలలో	maːʈal̪loː
మాటల్లో	maːʈal̪ːo
మాట్	maːʈʈ
మాట్లాడగలిగే	maːʈɭaːɖgaligeː
మాట్లాడటం	maːʈɭaːɖʈam
మాట్లాడటానికి	maːʈlaːɖaʈaŋki
మాట్లాడతాడు	maːʈlaːɖʈaːɖu
మాట్లాడదాము	maːʈlaːɖaːdaːmu
మాట్లాడను	maːʈɭaːɖanu
మాట్లాడరు	maːʈɭaːɖu
మాట్లాడలేదు	maːʈɭaːɖaleːdu
మాట్లాడవచ్చు	maːʈlaːɖaːtʃːu
మాట్లాడారు	maːʈlaːɖaːruː
మాట్లాడాలని	maːʈlaːɖaːlani
మాట్లాడి	maːʈɭaːɖi
మాట్లాడిన	maːʈɭaːɖiɳ
మాట్లాడు	maːʈlaːɖu
మాట్లాడుకుంటున్నారో	maːʈɭaːɖukun̪t̪uɳaːɾo
మాట్లాడుట	maːʈlaːɖuʈ
మాట్లాడుతుంటాడు	maːʈɭaːɖuɳʈaːɖu
మాట్లాడుతుంది	maːʈɭaːɖʋuɖu
మాట్లాడుతున్న	maːʈɭaːɖut̪un̪
మాట్లాడుతున్నది	maːʈɭaːɖut̪un̪di
మాట్లాడుతున్నాను	maːʈɭaːɖut̪un̪an̪u
మాట్లాడుతున్నారా	maːʈɭaːɖunːaːra
మాట్లాడుతున్నారు	maːʈlaːɖʌn̪tʌrʌ
మాట్లాడుతున్నారో	maːʈɭaːɖut̪un̪ːaːɾo
మాట్లాడుతూ	maːʈɭaːɖuʈuː
మాట్లాడే	maːʈɭaːɖe
మాట్లాడేటప్పుడు	maːʈlaːɖeːʈapːuɖu
మాడిసన్	maːɖiɕɒn
మాండీ	maːɳɖi
మాడ్చు	maːɖtʃu
మాడ్యూల్	maːɖuːl
మాతో	maːtoː
మాత్రం	maːtraːm
మాత్రమే	maːt̪raːmeː
మాత్రలు	maːt̪r̪alu
మాంత్రికుడు	maːɳːt̪rik̟uɖu
మాంత్రికులు	maːɳːt̪rikulu
మాథ్యూ	maːʈʰjuː
మాదక	maːd̪ək
మాదకద్రవ్యాలకు	maːd̪əkɐd̪ravjɐlugu
మాది	maːdi
మాదిరిగా	maːd̪iɾigɑː
మాదిరిగానే	maːɖiɾigaːneː
మానభంగం	maːn̪aːbʰaŋgam
మానవ	maːnʌʋ
మానవత్వం	maːn̪avɐd̪ʋɐm
మానవాళి	maːnʋaːɭi
మానవుడిగా	maːn̪aʋuɖigɑ
మానవుడు	maːn̪aʋuɖu
మానవులచే	maːn̪ʋʊl̪tʃeː
మానవులపై	maːn̪ʋul̪aɪ̯
మానవులు	maːn̪ʋulu
మానవుల్లో	maːn̪avul̪ːo
మానసిక	maːn̪as̪igʌ
మానసికంగా	maːn̪as̪iːkɪŋgɑː
మానిటర్	maːn̪iːt̪ːɐr
మానిటర్లు	maːn̪iːʈːʌɾːɐ
మానివేయవచ్చు	maːn̪iʋejʋaːtʃːu
మానుకోండి	maːnʊkoːɳɖi
మానేయడం	maːneːd̪ʌɖ̪ː
మాన్	maːn
మాన్సినీ	maːns̪iːniː
మాన్స్	maːns
మాన్స్టర్	maːn̪ʂʈaːr
మాపిల్	maːpɪl
మాఫియా	maːpʰiːjə
మామ	maːm
మామయ్య	maːmajː
మామా	maːmaː
మాయ	maːj
మాయం	maːjəm
మాయలు	maːjɐluː
మాయా	maːjaː
మాయాజాలం	maːjɑːdʒɑːlɑːm
మాయాజాలాన్ని	maːjɑːdʒɑːlɑːn̪ːi
మారడం	maːɾɐɖi
మారణకాండ	maːɾaːɳkaːɳɖaː
మారదు	maːɾɖu
మారాయి	maːraːj
మారారు	maːɾɑːɾu
మారాలని	maːɾaːlani
మారి	maːɾi
మారింది	maːɾiːɳdi
మారిన	maːɾin̪
మారినది	maːɾiɳɖi
మారిపోతుంది	maːɾipːoːt̪uɳ̪d̪i
మారిపోయాడు	maːɾipːoːjɑːduː
మారు	maːru
మారుచు	maːɾutʃu
మారుతుంది	maːɾʈʊɳdu
మారుతున్న	maːɾut̪un̪ː
మారుతున్నాయి	maːɾʈʃɔː
మారుతూ	maːɾuːtuː
మారుతోంది	maːɾəʈʲɑː
మారుపేరు	maːɾupéːɾu
మారువేషంలో	maːɾuʋeʃːoːn̪dɔː
మారుస్తాడని	maːɾust̪aːɖani
మారేలా	maːɾeːlaː
మార్కర్	maːɾkaːr
మార్కస్	maːɾkʌs
మార్కింగ్	maːɾkiŋg
మార్కులు	maːɾkuɭu
మార్కెట్	maːɾkɛʈːi
మార్కెట్లలో	maːɾkɛʈːɭoː
మార్కెట్లో	maːɾkɛʈːoː
మార్క్	maːɾk
మార్గ	maːɾgə
మార్గం	maːɾgʌm
మార్గంగా	maːrgɑːŋgɑː
మార్గదర్శకం	maːɾgɐd̪ɐɾʃɐgɑː
మార్గదర్శకత్వం	maːɾgɐd̪ɐɾʃɐkt̪ʌʋʌ
మార్గదర్శకాలు	maːɾgəɖɑɾʃakaːlu
మార్గనిర్దేశం	maːɾgəɳiɾd̪eʃam
మార్గమధ్యంలో	maːɾgəɖʌɖn̪d̪lo
మార్గము	maːɾgamu
మార్గమే	maːɾgamɛ
మార్గంలో	maːɾgɔŋːo
మార్గశిరము	maːrgaʃiramu
మార్గాన్ని	maːɾgaːn̪ːi
మార్గాలను	maːɾgaːɳu
మార్గాలు	maːɾgɑːlu
మార్గాల్లో	maːɾgaːɭːo
మార్చగలదు	maːɾtʃgɐlɨdu
మార్చగలరు	maːɾtʃgɐlɐɾu
మార్చడం	maːɾtʃɐɖɨm
మార్చడానికి	maːɾtʃːɛːgɛː
మార్చండి	maːɾtʃɨɳɖi
మార్చబడింది	maːɾtʃəɓɪɳɟi
మార్చవచ్చు	maːɾtʃaʋoːtʃu
మార్చాయి	maːɾtʃɔːj
మార్చాలా	maːɾtʃaːlaː
మార్చి	maːɾtʃi
మార్చింది	maːɾtʃiɳɖi
మార్చివేసింది	maːɾtʃiʋeːsindi
మార్చు	maːɾtʃu
మార్చుకుంటే	maːɾtʃukun̪te
మార్చుకుంది	maːɾtʃukundi
మార్చుకొని	maːɾtʃukoni
మార్చుకోవచ్చు	maːɾtʃukooʋɔʈʈu
మార్చేందుకు	maːɾtʃːuː
మార్చ్లో	maːɾtʃːloː
మార్టి	maːɾʈi
మార్ట్	maːɾʈ
మార్తా	maːɾt̪aː
మార్నింగ్	maːɾniŋ
మార్పిడి	maːɾpiɖi
మార్పిడులు	maːɾpiɖuɭu
మార్పు	maːɾpu
మార్పులు	maːɾpulu
మార్ఫిన్	maːɾpʰiɳ
మార్బుల్	maːɾbuɭ
మార్విన్	maːɾʋiːn
మార్వుడ్	maːɾʋuːɖ
మార్షల్	maːɾʃɑːl
మార్స్	maːɾs̪
మాఱుచు	maːrutʃu
మాఱ్చు	maːrtʃu
మాలో	maːloː
మాల్కం	maːlkʌm
మావి	maːʋi
మాంసం	maːɳsaː
మాంసఖండం	maːɳsɐkʰɐɳɖam
మాసన్-డిక్సన్	maːsɔnɖikʂɔn
మాంసము	maːɳsamu
మాసికము	maːsikamu
మాస్క్	maːsk
మాస్టర్	maːsʈar
మి	mi
మిక్	miːk
మిక్స్	miːks
మింగడం	miŋgɐɖʋ
మిగలకుండా	migɑlɑŋgʊndɑ
మిగిలి	migili
మిగిలింది	migiɭindi
మిగిలిన	migiɭin̪
మిగిలిపోతుంది	migilipod̪uɳdi
మిగిలిపోయిన	migilipoiːn̪
మించిపోయింది	miɲʈipoːjindi
మించు	miɲtʃu
మిచేలే	miʈʃeːle
మిఠాయి	miʈʌj
మిణుగురుబూచి	miɳuguɾuːbːuːtʃi
మిణ్ణల్లి	miɳɳalli
మిత్ర	mitɾɐ
మిత్రుడికి	mit̪ruɖigi
మిత్రులు	mit̪ruɭu
మినహాయించాలని	min̪əɦɔjiːn̪tʃɑːl̪aːni
మినహాయింపు	miɳɦɔjimpʊ
మినాజ్	minɑːdʒ
మిమ్మల్ని	miːmːɐl̪ni
మిరప	miɾap̚
మిరాకిల్	miɾaːkɪl
మిరాండా	miɾɑːɳɖɑ
మిరియాలు	miɾijaːlu
మిర్చి	miɾtʃi
మిలన్	miːlən
మిలమిల	milamila
మిలిటరీ	miliːt̪iːriː
మిలియన్	miːliːɑːɳ
మిలియన్ల	miːliːn̪ʌɭ
మిల్లు	miɭːu
మిల్లెర్	miɭːeːr
మిశ్రమం	miʃrɑmɑ
మిషన్	miʂɳ
మిషన్లు	miʂːan̪lu
మిసెస్	miʃeʃ
మిస్	miːs
మిస్టర్	miʃt̪aːr
మిస్సైల్	miʃːaiɭ
మీ	miː
మీకిక	miːkɪk
మీకీ	miːkiː
మీకు	miːku
మీకున్న	miːkuɳɳa
మీట	miːʈ
మీట్	miːʈ
మీడియా	miːɖiːə
మీతో	miːtoː
మీథేన్	miːt̪ʰeːn̪
మీద	miːɖə
మీది	miːɖi
మీదుగా	miːd̪ogɑ
మీదే	miːd̪eː
మీన్	miːn
మీరనుకుంటున్నారు	miːranukun̪tun̪d̪uː
మీరు	miːruː
మీరే	miːreː
మీరేమనుకుంటున్నారో	miːɾeːmanukun̪t̪uɳaːɾo
మీసము	miːs̪amu
ముక్క	mukː
ముక్కల	məkːɭɐ
ముక్కలు	mukːɭu
ముక్కలుగా	mukːɐlugɐ
ముక్కు	mukːu
ముఖం	məkʰəɱ
ముఖ	muːkʰ
ముఖంతో	muːkʰəɖoː
ముఖంపై	mukʰampɛj
ముఖమల్	məkʰamal
ముఖాముఖి	mukʰamukʰi
ముఖాలు	muːkɑːlu
ముఖ్య	mukʰi
ముఖ్యం	mukʰjæm
ముఖ్యంగా	mugʲiɳgɑ
ముఖ్యమని	mugʲamani
ముఖ్యమైన	mugʲəmeːn̪ə
ముఖ్యాంశాలు	muːkʰʲæːn̪ʂɑːluː
ముగించడమైనది	mugiɳd̪aɪn̪di
ముగించడానికి	mugiɳdʒæːkɛ
ముగించలేదు	mugiɳtʃaledu
ముగించవచ్చు	mugiɳd̪aʋoːtʃːu
ముగించారు	mugiˈʋanːu
ముగించాలి	mugiɳtʃaːli
ముగించు	mugiɲtʃu
ముగింపు	mugimpu
ముగింపులో	mugimːuloː
ముగియదు	mugiʑu
ముగియలేదు	mugijaleːdu
ముంగిలి	muŋgili
ముగిసింది	mugiɕiɳdi
ముగిసిన	mugiʃin
ముగిస్తారు	mugiʃt̪aːɾu
ముగిస్తుంది	mugɒːdu
ముగుస్తాయి	mugʊstaɪ
ముగుస్తుంది	mugust̪uɳdi
ముగ్గురు	mugːuːru
ముంచెత్తుతుంది	muːɲʈet̪ːuɳɖu
ముచ్చు	mutʃːu
ముజ్జగము	mudːʒagamu
ముట్టడి	muʈːaɖi
ముట్టానైనా	muʈːaːn̪ai̯na
ముట్టాలే	muʈːaːleː
ముట్టె	muʈːe
ముఠా	muʈʌ
ముఠాలు	muʈɑːlu
ముడి	muɖi
ముడుతలతో	muɖuʈɑl̪t̪oː
ముడుతలు	muɖuʈalu
ముందు	muːndu
ముందు	mund̪u
ముందుకు	muːnduːku
ముందుగా	muːn̪d̪uga
ముందుగానే	muːndugaːne
ముందుంది	muːn̪d̪uɳdi
ముందుమాట	mund̪umaːʈa
ముదురు	mud̪uɾu
ముందే	muːn̪d̪eː
ముందోలు	mund̪oːlu
ముద్దు	mud̪ːu
ముద్ర	mud̪r̪ʌ
ముద్రణల	mud̪ɾɐɳɐl̪
ముద్రల	mud̪r̪al̪
మునుగు	mungu
మున్నూరు	munːuːru
ముప్పు	mpuʋu
ముప్పెట్	mpʊpːeʈː
ముప్పై	mpʰeɪ
ముయ్యండి	mujjanɖi
ముయ్యి	muiʝi
మురికి	muɾiki
మురికిగా	muɾikɪgɑ
మురుగు	muːrugu
ముసిముసి	musimusi
ముసుగు	musugu
ముసుగులో	musugulo
ముస్తాంగ్	mus̪t̪aːŋg̊
ముస్లిం	muslɪm
ముస్లింలు	musːlɪmːlu
ముహమ్మద్	muhɑːmd̪ɑː
మూగ-asses	muːgas̪es̪
మూగ	muːg
మూగ-గాడిద	muːggaːɖiɖ
మూగ-డీ	muːgɖiː
మూడవ	muːɖʌ
మూడు	muːɖu
మూడుసార్లు	muːɖʌsaːɾmɛ
మూడో	moːɖoː
మూడ్	muːɖ
మూత	muːt̪
మూతబడింది	muːt̪aɖiɳdi
మూత్రం	muːtɾam
మూన్	muːn
మూర్ఖు	muːrʈʰu
మూర్ఖుడిలా	muːɾkʰudiːlɑ
మూర్తి	muːrʈi
మూల	moːl
మూలం	moːl̪am
మూలకారణమైన	muːl̪kɑːɾɑn̪ai̯n̪
మూలకేంద్రము	muːlakeːnd̪ɾamu
మూలన	moːlan̪
మూలలు	muːl̪ːu
మూలలో	moːl̪loː
మూలల్లో	moːlɐɭːo
మూలాల	muːlɑːl
మూలాలను	moːl̪aːn̪u
మూలుగుల	muːluguːl
మూవింగ్	muːviŋ
మూవ్	muːʋ
మూవ్మెంట్	muːvment̪
మూసి	muːsi
మూసివేత	muːsivɛːt̪
మూసివేయడం	muːsivɛjɐɖʋ
మూసివేయబడింది	muːsivæjʋəɖiɳdi
మూసివేయవచ్చు	muːsɪʋejɐtʃːu
మూసివేయాలని	muːsɪʋejɑːl̪i
మూసివేయి	muːsivɛji
మూసివేశారు	muːsɪʋeːʃɑːruː
మూసివేసి	muːsɪʋeːsi
మూసివేసింది	muːsivɛsiɳdi
మూసివేసే	muːsivɛseː
మూసివేస్తున్నాము	muːsivejst̪unːamu
మూసుకుని	muːsukuni
మృగం	mrɪgʌm
మృతదేహాలను	mr̥t̪ad̪eːɦɑːluː
మృతి	mr̥ti
మృత్తికలు	mr̥t̪ːikɐlu
మృదులము	mɾud̪ulamu
మృదువుగా	mr̥ɖuʋugɑ
మృదువైన	mr̥ɖuʋejə
మెకానిక్	məkɑːn̪iːk
మెక్క్లౌడ్	məkːɭauɽ
మెక్డొనఫ్	məkɖoːnɐɸ
మెక్మిలాన్	məkmil̪aːn̪
మెక్సికన్	mekɕikɑːn
మెక్సికో	mekʂiko
మెచ్చు	metʃːu
మెచ్చుకున్నారు	mətsukunːu
మెచ్చుకోవడం	mətsːuːkoːʋaːd̪ːi
మెజారిటీ	məʒaːɾiːtiː
మెటల్	ˈmɛːt̪ɐl̪
మెటికలు	ˈmeːt̪ikɭu
మెంట్	ment̪ʌ
మెట్	met̪ː
మెట్రిక్	ˈmeːt̪riːk
మెట్ల	met̪l̪
మెట్లపై	ment̪ɭapʲeː
మెట్లు	met̪ːu
మెడ	med̪ʌ
మెడికల్	medɪkəl
మెడ్	med̪ʌ
మెత్త	mɛʈː
మెత్తటి	ˈmet̪ːʈi
మెత్తనియున్ని	ˈmɛʈːanʲunːi
మెదడు	med̪aɖu
మెదడులను	med̪aɖiːnu
మెదడుల్లో	med̪aɖuɭː
మెదళ్ళకు	med̪aɭːku
మెను	menu
మెన్	men
మెంఫిస్	ˈmɛmʱiːs̪
మెమరీ	ˈmɛmɾiː
మెమో	ˈmemo
మెయిన్	majain
మెయిల్	maiɭ
మెయిల్ను	mai̯l̪nu
మెరచు	meɾatʃu
మెరిల్	meril
మెరిసిపోందిలే	merisipondilɛ
మెరిసిపోయాడు	merisipojiːɖu
మెరిసే	merise
మెరుగుపరచటంలో	məɾugupɐɾʈɔŋːo
మెరుగైన	məɾegeːɳ
మెరుగ్గా	məɾugːa
మెరుచు	meɾutʃu
మెరుపు	merupu
మెరుపుదాడికి	merupud̪aːgi
మెర్రి	merːi
మెర్రీ	meriː
మెర్వ్	merʋ
మెర్సిడెస్	merɕiɖeːs
మెర్సీ	mersi
మెలికలు	mɛliku
మెలిండా	meliːɳɖa
మెషినరీ	meʃiːn̪riː
మెషిన్	meʃiːn
మెషీన్స్	meʃiːn̪s̪
మెస్సింగ్	ˈmɛsːiŋ
మే	meː
మేం	meːm
మేకపిల్ల	mekəpɪlː
మేకప్	mekɐp̚
మేకరెల్	meːkʌɾel̪ː
మేకర్స్	ˈmeːkæɾʌs
మేకింగ్	mekɪŋ
మేకు	meːku
మేకుకు	mekːuː
మేక్	mek
మేఘాలు	meːgʌːlu
మేజర్	majɛɾ
మేజర్స్	majɐɾs̪
మేజా	meːdʒaː
మేజిక్	majɪk
మేడం	meːɖʌm
మేడతలెే	meːɖat̪aleː
మేడమీద	meːɖʋiːɖʋ
మేడమ్	meːɖʌm
మేడిపండు	meːɖipɐɳu
మేడ్	meːɖ
మేధావి	meːd̪ʱaːʋi
మేనకోడలు	menɔːɖɔːlu
మేనేజర్	ˈmeːnɛdʒəɾ
మేనేజ్మెంట్	ˌmeːnɛdʒːment̪
మేము	meːmu
మేరీ	meːriː
మేలుకొని	meːlʊkoni
మేల్కొంటాను	meːlkoːnt̪anu
మేల్కొని	meːlkɒni
మేల్కొలపడానికి	meːlkoɭapːadʑeː
మేళనము	meːɭanamu
మేళా	meːɭa
మై	maɪ
మై	maj
మైక్	maɪk
మైక్	maɪk
మైక్రోటెక్నాలజీ	maɪkrɔt̪eknɔlɑdʒiː
మైక్రోఫోన్	maɪkrofoːn
మైక్రోలీటరు	majkɾoːliːʈaɾu
మైఖేల్	maɪkʰɛːl
మైట్	maɪʈ
మైండ్	maɪ̃ːɳɖ
మైదానం	maɪdaːn̪u
మైదానంలో	maɪd̪aːn̪ːoː
మైదానంలోకి	maɪd̪aːn̪ːoːki
మైధునాభిలాషి	maɪd̪ʱun̪aːbʱilaːʃi
మైనం	majnam̃
మైనము	majnamu
మైనస్	maɪnʌs
మైనా	majnaː
మైన్	maɪn
మైర	maɪr
మైలీసైరస్	maɪl̪iːs̪ai̯ɾas̪
మైలు	maɪlu
మైసన్	maɪsan
మైళ్ల	maɪɭː
మైళ్లు	maɪɭːu
మైళ్ళ	maɪʈːɭ̆
మైళ్ళు	majːɭːu
మొక్క	mokːə
మొక్కజొన్న	mokːadʒonːa
మొక్కలను	məkːlanu
మొక్కలు	məkːlʊ
మొగ్గ	mogː
మొజార్ట్	modʒaːɾʈ
మొజూలే	moɻuɭe
మొట్టమొదటి	motːamotːati
మొండి	moːɳɖi
మొడిగ్లియాని	moɖigliʝani
మొత్తం	mot̪ːʌm
మొత్తం-బిచ్	mot̪ːʌm-bitʃ
మొత్తంలో	mot̪ːʌŋoː
మొత్తానికి	mot̪ːan̪ki
మొత్తాన్ని	mot̪ːan̪iː
మొత్తాలలో	moʈːaɭaːgoː
మొదటి	moɖʈi
మొదటిసారి	moːd̪aːʈiːsaːriː
మొదలవుతుంది	moɖal̪ʋʈʋʊɖu
మొదలు	moːd̪ɑːlu
మొదలుపెట్టాయి	moɖalupetːaːi
మొదలుపెట్టాలని	moɖalupetːaːlani
మొదలుపెడుతున్నారు	moɖalupet̪ːʌn̪t̪ʌ
మొదలై	moɖaleɪ
మొదలైంది	moɖaleɪndi
మొదలైనప్పటి	moɖaleɪn̪aʋɖaʈi
మొదలైనవి	moɖaleɪnʋi
మొద్దుబారిన	ɔɖːʈʌb̪aːɾin̪
మొనచన్ను	monatʃanːu
మొబైల్	moːbɛɑːl
మొరటుగా	moːɾʈʊgɑ
మొరాన్	moɾaːn
మొరిగే	moːrigeː
మొరెల్	moɾeɭ
మొలచు	molatʃu
మో	moː
మోకాలి	moːkaːli
మోకాలు	moːkaːlu
మోకాళ్లపై	moːkaːɭːpeɪ
మోక్షం	moːkʂʌm
మోగించిన	mogiɳiɳɛ
మోగించు	moːgiɲtʃu
మోగ్లీ	moːgɭiː
మోచెయి	moːtʃeji
మోచెయ్యి	moːtʃejːi
మోచేతి	moːtʃeːti
మోచేయి	moːtʃeːj
మోచేయి	moːtʃeːji
మోటార్	moːʈaːr
మోటు	moːʈu
మోటెల్	moʈeːl̪
మోడలింగ్	moːɖaliŋ
మోడల్	moːɖɛːl
మోతాదు	moːt̪aːdu
మోతాదుకు	moːt̪aːduku
మోనో	moːnoː
మోన్	moːn
మోపడం	moːpɐɖʌm
మోబి	moːbi
మోర్	moːr
మోర్గాన్	moːrgaːn
మోర్గాన్స్	moːrgaːns
మోర్నిన్	moːrn̪in̪
మోలీ	moːliː
మోవిన్	moːʋiːn
మోషన్	moːʃɔn
మోసం	moːsaɲ
మోసగాడు	moːsgaːɖu
మోస్తరు	moːʈʈuːrʊ
మోహుక్	moːɦuk
మౌంటైన్	maʊ̯n̪ʈeɪn̪
మౌంట్	maʊ̯nʈ
మౌత్	maʊ̯t̪ʰ
మౌని	mawni
మౌనులు	mawnulu
మౌస్	maʊs
మ్కెన్జీ	məkɛɲdʒiː
మ్చ్మిల్లన్	maʈʈamilːaːn
మ్యాక్	maːk
మ్యాచ్	maːtʃ
మ్యాజికల్	miːʋaːgiːl
మ్యాజిక్	maɾʒiːk
మ్యాట్	maːʈː
మ్యాన్	maɪan
మ్యూచువల్	miːʈʃuʋal
మ్యూజిక్	miːʋʒiːk
మ్యూజియం	miːʑiʌm
మ్రుచ్చు	mɾutʃːu
మ్రోగింది	mr̥ogindi
మ్రోగుతున్న	mr̥ogut̪un̪
మ్రోగే	mr̥oge
య	j
యక్షుడు	jakʂuɖu
యంగ్	jəŋ
యంగ్స్టౌన్	jaŋgstau̯n
యజనము	jadʒanamu
యజమానా	jad̪ʌmaːna
యజమాని	jad̪amaːni
యజమాని	jadʒamaːni
యజమానులు	jad̪aːmaːn̪ulu
యంత్రం	jəntɾam
యంత్రసామగ్రి	jɐn̪t̪ɾɐsaːmgɾi
యంత్రాల	jant̪raːl̪
యంత్రాలు	jant̪ɭaːɭu
యథాతథంగా	jɐt̪ɐt̪ʰəɖɐŋgɐ
యందు	jandu
యవ్వొరం	jaʋːoɾam
యా	ja
యాం	jæːŋ
యాంకర్	jaːŋkɑːr
యాక్టిన్ను	jaːkʈiːnu
యాక్ట్	jaːkʈʰ
యాక్సెస్	jɑksɛs̪
యాంగ్	jɑːŋ
యాచించడం	jɑːtʃiɳd̪aːm
యాజమాన్య	jaːd̪aman̪ː
యాజమాన్యంలో	jaːd̪ʌman̪d̪uː
యాంటిక	jantiːk
యాంటెన్నా	jaːn̪ʈenːaː
యాడ్	jɑːɖ
యాండ్రస్	jɑːndɾɑːs
యాత్ర	jɑːt̪ɾɑ
యాంత్రిక	jaːn̪d̪rik̟
యాదృచ్చికం	jaːdrɯtʃikɑːm
యాదృచ్ఛిక	jaːdr̥tʃːik
యాదృచ్ఛికంగా	jɑːdr̥tʃːiŋgɑː
యానం	jānu
