一蕊花	tsit˧ lui˥ hue˧
伊舊年考無牢，今年閣考，考了真好。	i˧ ku˦ni˩ kʰo˥ bo˩ tiau˩, kin˧ni˩ koʔ˧ kʰo˥, kʰo˥ liau˥ tsin ho˥.
這个職位對你來講有較委屈。	tsit e˩ tsitui˧ tui˩ li˥ lai˩ koŋ˥ u˧ kʰaʔ˧ ui˥kʰut˧.
伊較愛用薰吹欶薰。	i˧ kʰaʔ˧ ai˨ ioŋ˦ hun˧tsʰue suʔ˧ hun˧.
睏甲袂翻身。	kʰun˨ kaʔ˧ be˦ huan˧sin˧.
這个所在傷狹，攏袂翻身得。	tsit e˩ sɔ˥tsai˧ sĩũ˧ e˧̍h, loŋ˥ be˦huan˧sin˧tit˧.
佇繡房內刺花繡針黹。	ti˦ siu˨paŋ˩lai˦ tsʰiaʔhue˧ siu˨ tsiamtsi˥.
繡花愛有耐心。	siu˨hue˧ ai˨ u˧ nai˦sim˧.
敲薰屎	kʰa˨ hun˧sai˥
阮兜舊年翻厝開袂少錢。	guan˥ tau˧ ku˦ni˩ huan˧tsʰu˩ kʰai˧ be˦ tsio˥ tsi˧˥˧.
做職員領薪水，趁無偌濟錢。	tso˩ tsituan˧˥ nia˥ sin˧sui˥, tʰan˨ bo˩ gua˦tse˧ tsi˧˥˧.
糧草不足當然嘛輸。	niu˩tsʰau˥ put˧tsiok toŋ˧dzian˩ ma˦ su˧.
明仔載無來翻草袂用得。	bin˩a˥tsai˩ bo˩ lai˩ huan˧tsʰau˥ be˦iŋ˦tit˧.
職務上有這个需要。	tsitbu˦ sioŋ˦ u˧ tsit e˩ su˧iau˨.
拋繡球招親。	pʰau˧ siu˨kiu˩ tsio tsʰin.
伊薰喙仔歹去，閣買一枝新的薰吹。	i˧ hun˧tsʰui˩a˥ pʰãĩ˥kʰi˨, koʔ˧ be˥ tsit˧ ki˧ sin˧ e˩ hun˧tsʰue.
你講較簡單咧，伊才聽有。	li˥ koŋ˥ kʰaʔ˧ kan˥tan˧leʔ˧, i˧ tsiaʔ tʰĩã˧u˧.
伊毋是簡單的人物。	i˧ m̄ si˦ kan˥tan˧ e˩ dzin˩but˩.
節目翻新	tsiatbok˩ huan˧sin˧
阮厝頂月日才翻新。	guan˥ tsʰu˩ tiŋ˥ gueʔ˩dzit˩ tsiaʔ huan˧sin˧.
無論職業是啥，攏愛認真拍拚。	bo˩lun˦ tsitgap˩ si˦ sĩãʔ˧, loŋ˥ ai˨ dzin˦tsin pʰaʔ˧pĩã˨.
繏腰繏傷絚會艱苦。	sŋ̩˨ io˧ sŋ̩˨ sĩũ˧ an˩ e˦ kan˧kʰɔ˥.
舊數無還，免想欲閣借錢。	ku˦siau˨ bo˩ hiŋ˩, bian˥ sĩũ˦beʔ˧ koʔ˧ tsioʔ tsi˧˥˧.
舊曆過年公司歇差不多一禮拜。	ku˦li˧̍k kue˨ni˩ koŋ˧si˧ hioʔ˧ tsʰaput˧to˧ tsit˧ le˥pai˨.
這改的風颱走了後又閣翻頭矣。	tsit kai˥ e˩ hoŋ˧tʰai˧ tsau˥ liau˥au˦ iu˦koʔ˧ huan˧tʰau˩aʔ˧.
伊翻頭過來欲佮我講話。	i˧ huan˧tʰau˩kue˨lai˩ beʔ˧ kaʔ˧ gua˥ koŋ˥ue˧.
我昨暝做甲翻點。	gua˥ tsame˩ tso˩ kaʔ˧ huan˧tiam˥.
叫你做一个工課爾爾就喙翹翹，袂輸我欠你偌濟錢咧。	kio˨ li˥ tso˩ tsit˧ e˩ kʰaŋ˧kʰue˨ nia˦nia˦ to˦ tsʰui˩ kʰiau˨kʰiau˨, be˦su˧ gua˥ kʰiam˨ li˥ gua˦tse˧ tsi˧˥˧leʔ˧.
咧耍的時陣毋通共人繏嚨喉，真危險。	teʔ˧ sŋ̩˥ e˩ si˩tsun˧ m̄tʰaŋ˧ ka˦ laŋ˩ sŋ̩˨ na˩au˩, tsin gui˩hiam˥.
利用伊的職權做私人的代誌。	li˦ioŋ˦ i˧ e˩ tsitkʰuan˩ tso˩ su˧dzin˩ e˩ tai˦tsi˩.
地板藃起來矣。	te˦pan˥ hiauʔ˧kʰi˥lai˩aʔ˧.
共禮物提去藏。	ka˦ le˥but˩ tʰe˧̍hkʰi˨ tsʰaŋ˩.
偷藏錢	tʰau˧ tsʰaŋ˩ tsi˧˥˧
秋蟬	tsʰiusian˩
三條茄毋值一粒蟯。	sã˧ tiau˩ kio˩ m̄ta˧̍t tsit˧ liap˩ go˩.
坐好，莫蟯蟯旋。	tse˧ ho˥, mai˨ ŋiauʔ˩ŋiauʔ˩suan˧.
生蟲	sẽ˧tʰaŋ˩
冬蟲夏草	toŋ˧tʰioŋ˩ha˦tsʰo˥
覆佇桌仔頂睏晝。	pʰak˧ ti˦ toʔ˧a˥tiŋ˥ kʰun˨tau˨.
伊定定去藏水沬。	i˧ tĩã˦tĩã˦ kʰi˨ tsʰaŋ˩tsui˥bi˦.
雖然是小人物，嘛袂使藐視。	sui˧dzian˩ si˦ sio˥ dzin˩but˩, ma˦ be˦sai˥ biau˥si˦.
蟳管的肉真好食。	tsim˧˥koŋ˥ e˩ baʔ˧ tsin ho˥tsiaʔ˧.
壁紙藃藃	piaʔ˧tsua˥ hiauʔ˧hiauʔ˧
我看著蟲蟯蟯趖會起雞母皮。	gua˥ kʰuã˨tioʔ˩ tʰaŋ˩ ŋiauʔ˩ŋiauʔ˩so˩ e˦ kʰi˥ke˧bo˥pʰue˩.
阿母叫你莫佇塗跤蟯蟯趖，你無聽著是毋？	a˧bu˥ kio˨ li˥ mai˨ ti˦ tʰɔ˩kʰa˧ ŋiauʔ˩ŋiauʔ˩so˩, li˥ bo˩ tʰĩã˧tioʔ˩ si˦m̄?
這搭會洩水，貼佇頂頭的紙久來就會藃蟶。	tsittaʔ˧ e˦ sia˧̍ptsui˥, taʔ˧ ti˦ tiŋ˥tʰau˩ e˩ tsua˥ ku˥lai˩ to˦ e˦ hiauʔ˧tʰan˧.
謼，好啦，你講的準算。	hɔʔ˧, ho˥laʔ˧, li˥ koŋ˥e˩ tsun˥sŋ̩˨.
謼！遮恐怖！	hɔʔ˧! tsiaʔ kʰioŋ˥pɔ˨!
謼！閣來矣！	hɔʔ˧! koʔ˧ lai˩aʔ˧!
惡毒老爸，竟然共家己的囝蹔甲跤骨斷去。	ok˧to˧̍k lau˦pe˦, kiŋ˨dzian˩ ka˦ ka˧ki˦ e˩ kĩã˥ tsam˩ kaʔ˧ kʰa˧kut˧ tn̩˦kʰi˨.
你蹛佗位？	li˥ tua˩ to˥ui˧?
物件囥蹛桌頂就好。	mi˧̍hkĩã˦ kʰŋ̩˨ tua˩ toʔ˧tiŋ˥ to˦ ho˥.
蹛飯店	tua˩ pŋ̩˦tiam˨
我蹛這間公司五年矣。	gua˥ tua˩ tsit kiŋ˧ koŋ˧si˧ gɔ˦ ni˩aʔ˧.
合軀	ha˧̍hsu˧
一軀西裝	tsit˧ su˧ se˧tsɔŋ
軁磅空	nŋ̩˨ poŋ˦kʰaŋ˧
軁人縫	nŋ̩˨ laŋ˩ pʰaŋ˦
轉柩	tsuan˥kiu˦
轉水道頭。	tsuan˧ tsui˥to˦tʰau˩.
轉南風	tŋ̩˥ lam˩hoŋ˧
見笑轉受氣。	kian˨siau˨ tŋ̩˥ siu˦kʰi˨.
你當時欲轉去？	li˥ taŋ˧si˩ beʔ˧ tŋ̩˥kʰi˨?
輪仔咧轉。	lian˥a˥ teʔ˧ tŋ̩˥.
代誌轉袂好勢。	tai˦tsi˩ tŋ̩˥ be˦ ho˥se˨.
轉錢	tŋ̩˥tsi˧˥˧
伊開始咧轉大人矣。	i˧ kʰai˧si˥ teʔ˧ tŋ̩˥tua˧laŋ˩aʔ˧.
投胎轉世	tau˩tʰai˧ tsuan˥se˨
咱等一下轉去的時陣，你愛會記得買豆油喔！	lan˥ tan˥tsit˧e˦ tŋ̩˥kʰi˨ e˩ si˩tsun˧, li˥ ai˨ e˦ki˨tit˧ be˥ tau˦iu˩ɔʔ˧!
阿英明仔載欲轉外家。	a˧iŋ˧ bin˩a˥tsai˩ beʔ˧ tŋ̩˥ gua˦ke˧.
五穀豐收	ŋɔ˥kok˧ hoŋ˧siu˧
今仔日的暗頓誠豐沛！	kin˧a˥dzit˩ e˩ am˨tŋ̩˨ tsia˧˥˧ pʰoŋ˧pʰai˨!
你當時欲轉來？	li˥ taŋ˧si˩ beʔ˧ tŋ̩˥lai˩?
阿英明仔載欲轉後頭。	a˧iŋ˧ bin˩a˥tsai˩ beʔ˧ tŋ̩˥ au˦tʰau˩.
恁囝這馬當咧轉骨。	lin˥ kĩã˥ tsitma˥ tŋ̩˧teʔ˧ tŋ̩˥kut˧.
恁這馬結婚矣，愛轉喙叫伊大伯毋才著。	lin˥ tsitma˥ kiat˧hun˧aʔ˧, ai˨ tŋ̩˥tsʰui˩ kio˨ i˧ tua˧peʔ˧ m̄tsiaʔ tioʔ˩.
遮的資源真豐富。	tsia e˩ tsuguan˩ tsin hoŋ˧hu˨.
你對這條路直直行，攏免轉斡，行成十分鐘就會到。	li˥ tui˩ tsit tiau˩ lɔ˦ ti˧̍tti˧̍t kĩã˩, loŋ˥ bian˥ tŋ̩˥uat, kĩã˩ tsia˧˥˧ tsap˧ hun˧tsiŋ to˦ e˦ kau˨.
這个所在誠狹，真歹轉踅，你轉踅的時陣著細膩。	tsit e˩ sɔ˥tsai˧ tsia˧˥˧ e˧̍h, tsin pʰãĩ˥ tŋ̩˥se˧̍h, li˥ tŋ̩˥se˧̍h e˩ si˩tsun˧ tioʔ˩ se˨dzi˦.
最近手頭真絚，愛去揣朋友轉踅一下。	tsue˩kin˦ tsʰiu˥tʰau˩ tsin an˩, ai˨ kʰi˨ tsʰue˧ piŋ˩iu˥ tŋ̩˥se˧̍htsit˧e˦.
看甲目睭無轉輪。	kʰuã˨ kaʔ˧ bak˩tsiu bo˩ tŋ̩˥lun˩.
伊愛錢無惜性命，規工咧軁錢空。	i˧ ai˨ tsi˧˥˧ bo˩ sioʔ˧ sẽ˨mia˦, kui˧kaŋ˧ teʔ˧ nŋ̩˨tsi˧˥˧kʰaŋ˧.
伊猶細漢，猶未轉聲，會使扮祝英台。	i˧ iau˥ se˨han˨, iau˥bue˦ tŋ̩˥sĩã˧, e˦sai˥ pan˦ tsiok iŋ˧tai˩.
查某囝教娘嬭轉臍。	tsabɔ˥kĩã˥ ka˨ niu˩le˥ tŋ̩˥tsai˧˥.
一个好好的查某囡仔煞去予你蹧躂。	tsit˧ e˩ ho˥ho˥ e˩ tsabɔ˥ gn˥a˥ suaʔ˧ kʰi˨ hɔ˦ li˥ tsautʰat˧.
新新的物件毋通按呢蹧躂。	sin˧sin˧ e˩ mi˧̍hkĩã˦ m̄tʰaŋ˧ an˥ne˧ tsautʰat˧.
伊佇轉彎彼位等你。	i˧ ti˦ tŋ̩˥uan hit˧ ui˧ tan˥li˥.
欲講就直接講，莫佇遐轉彎踅角。	beʔ˧ koŋ˥ to˦ ti˧̍ttsiap koŋ˥, mai˨ ti˦ hia˧ tŋ̩˥uanse˧̍hkak˧.
這幾年來，社會一直咧轉變。	tsit kui˥ ni˩ lai˩, sia˦hue˦ it˧ti˧̍t teʔ˧ tsuan˥pian˨.
無藥醫	bo˩ io˧̍h i˧
病醫了有較好。	pẽ˦ i˧ liau˥ u˧ kʰaʔ˧ ho˥.
中醫	tioŋ˧i˧
軍醫	kun˧i˧
西醫	se˧i˧
豆醬	tau˦tsiu˩˧
醬菜	tsiu˩˧tsʰai˩
醬瓜仔	tsiu˩˧kue˧a˥
肉醬	baʔ˧tsiu˩˧
番薑仔醬	huan˧kĩũ˧a˥tsiu˩˧
醬甲規領衫攏烏去。	tsiu˩˧ kaʔ˧ kui˧ nia˥ sã˧ loŋ˥ ɔ˧kʰi˨.
落雨了後，田岸路醬醬醬。	lo˧̍hhɔ˦ liau˥au˦, tsʰan˧˥huã˦lɔ˦ tsiu˩˧tsiu˩˧tsiu˩˧.
門鎖	mn̩˩so˥
開鎖	kʰui˧ so˥
鎖門	so˥ mn̩˩
鎖車	so˥ tsʰia
鄉鎮	hioŋ˧tin˨
鎮國將軍	tin˨ kok˧ tsiɔŋkun˧
鎮邪	tin˨ sia˩
鎮路頭	tin˨ lɔ˦tʰau˩
門闔倚來。	mn̩˩ kʰa˧̍h ua˥lai˩.
雙號	siaŋ˧ho˦
雙手	siaŋ˧tsʰiu˥
雙頭	siaŋ˧tʰau˩
成雙成對	siŋ˩ siaŋ˧ siŋ˩ tui˩
一雙鞋	tsit˧ siaŋ˧ e˩
雜貨	tsap˧hue˨
雜菜麵	tsap˧tsʰai˩mi˦
伊離袂開爸母。	i˧ li˦ be˦ kʰui˧ pe˦bu˥.
市場離遮真遠，愛行真久。	tsʰi˧tĩũ˩ li˦ tsia tsin hn̩˦, ai˨ kĩã˩ tsin ku˥.
目屎掰袂離。	bak˩sai˥ pue˥ be˦ li˦.
閣毋走就走袂離囉。	koʔ˧ m̄ tsau˥ to˦ tsau˥be˦li˦lɔʔ˧.
病攏好離矣。	pẽ˦ loŋ˥ ho˥ li˦aʔ˧.
行到雙叉路口，毋知愛按怎行。	kĩã˩ kau˨ siaŋ˧tsʰelɔ˦kʰau˥, m̄ tsai ai˨ an˥tsua˥˧ kĩã˩.
靠雙手做工趁錢。	kʰo˨ siaŋ˧tsʰiu˥ tso˩kaŋ˧ tʰan˨tsi˧˥˧.
雙方講和	siaŋ˧hoŋ˧ koŋ˥ho˩
硩好離手。	teʔ˧ho˥ li˦tsʰiu˥.
用雞毛筅筅予伊清氣。	ioŋ˦ ke˧mn̩˩tsʰiŋ˥ tsʰiŋ˥ hɔ˦ i˧ tsʰiŋkʰi˨.
這條路雙爿攏有種樹仔。	tsit tiau˩ lɔ˦ siaŋ˧piŋ˩ loŋ˥ u˧ tsiŋ˩ tsʰiu˧a˥.
雞仔著災	ke˧a˥ tioʔ˩tse
買兩隻雞仔囝來飼。	be˥ nn̩˦ tsiaʔ ke˧a˥kĩã˥ lai˩ tsʰi˧.
起雞母皮	kʰi˥ke˧bo˥pʰue˩
醬瓜仔配糜真好食，毋過毋好食傷濟。	tsiu˩˧kue˧a˥ pʰue˨ mue˩ tsin ho˥tsiaʔ˧, m̄koʔ˧ m̄ho˥ tsiaʔ˧ sĩũ˧ tse˧.
是啥人共物件囥佇遮鎮地？	si˦ sĩã˥laŋ˩ ka˦ mi˧̍hkĩã˦ kʰŋ̩˨ ti˦ tsia tin˨te˨?
我當咧無閒，你莫徛佇遮鎮地。	gua˥ tŋ̩˧teʔ˧ bo˩iŋ˩, li˥ mai˨ kʰia˦ ti˦ tsia tin˨te˨.
這隻椅仔囥佇遮誠鎮位。	tsit tsiaʔ i˥a˥ kʰŋ̩˨ ti˦ tsia tsia˧˥˧ tin˨ui˧.
我欲去買雞卵。	gua˥ beʔ˧ kʰi˨ be˥ ke˧nn̩˦.
佮愛人仔離別是真痛苦的代誌。	kaʔ˧ ai˨lin˩a˥ li˦piat˩ si˦ tsin tʰoŋ˨kʰɔ˥ e˩ tai˦tsi˩.
囡仔攏真愛食雞卵糕。	gn˥a˥ loŋ˥ tsin ai˨ tsiaʔ˧ ke˧nn̩˦ko˧.
小病無醫治，會變做大病。	sio˥ pẽ˦ bo˩ i˧ti˦, e˦ pian˨tso˩ tua˧ pẽ˦.
你真正是拄著雞屎運。	li˥ tsintsia˩˧ si˦ tu˥tioʔ˩ ke˧sai˥un˧.
雞胘滷來食，滋味真好。	ke˧kian˦ lɔ˥ lai˩ tsiaʔ˧, tsubi˦ tsin ho˥.
一面抹壁雙面光。	tsit˧bin˦ buaʔ˧piaʔ˧ siaŋ˧bin˦ kŋ̩˧.
伊是雙面刀鬼，你毋通傷過相信伊。	i˧ si˦ siaŋ˧bin˦to˧kui˥, li˥ m̄tʰaŋ˧ sĩũ˧ kue˨ sioŋ˧sin˨i˧.
醬料對人體健康加減有妨害。	tsiu˩˧liau˦ tui˩ dzin˩tʰe˥ kian˦kʰoŋ˧ ke˧kiam˥ u˧ hoŋ˩hai˦.
你雞胿毋通閣歕矣。	li˥ ke˧kui˧ m̄tʰaŋ˧ koʔ˧ pun˩aʔ˧.
歕雞胿仔	pun˩ ke˧kui˧a˥
一支鎖匙	tsit˧ ki˧ so˥si˩
雜唸大家出蠻皮新婦。	tsap˧liam˦ ta˧ke˧ tsʰut ban˩pʰue˩ sin˧pu˦.
離婚是大代誌，愛慎重考慮佮處理。	li˦hun˧ si˦  tua˧  tai˦tsi˩, ai˨ sin˦tioŋ˦ kʰo˥li˦ kaʔ˧ tsʰu˥li˥.
醫術高明	i˧su˧̍t ko˧biŋ˩
雜貨仔店咧賣雜貨。	tsap˧hue˨a˥tiam˨ teʔ˧ be˦ tsap˧hue˨.
伊的人真雜插，啥物代誌都欲管。	i˧ e˩ laŋ˩ tsin tsap˧tsʰap, sĩã˥miʔ˧ tai˦tsi˩ to˧ beʔ˧ kuan˥.
雙棚鬥往往雙方攏會受著傷害。	siaŋ˧pẽ˩tau˨ iŋ˥iŋ˥ siaŋ˧hoŋ˧ loŋ˥ e˦ siu˦tioʔ˩ sioŋ˧hai˦.
醬菜毋好食傷濟。	tsiu˩˧tsʰai˩ m̄ho˥ tsiaʔ˧ sĩũ˧ tse˧.
離開教室愛會記得關電火。	li˦kʰui˧ kau˨sik˧ ai˨ e˦ki˨tit˧ kuãĩ˧ tian˦hue˥.
雞僆仔肉較幼。	ke˧nua˦a˥ baʔ˧ kʰaʔ˧ iu˨.
地理師用八卦來鎮煞。	te˦li˥su˧ iŋ˦ pat˧kua˨ lai˩ tin˨suaʔ˧.
飼雞的人差不多攏會用著雞罩。	tsʰi˧ ke˧ e˩ laŋ˩ tsʰaput˧to˧ loŋ˥ e˦ ioŋ˦tioʔ˩ ke˧ta˨.
毋通共人鎮路。	m̄tʰaŋ˧ ka˦ laŋ˩ tin˨lɔ˦.
看雜誌增加見聞。	kʰuã˨ tsap˧tsi˩ tsiŋka˧ kian˨bun˩.
醫學進步，人的性命較有保障。	i˧ha˧̍k tsin˩pɔ˦, laŋ˩ e˩ sẽ˨mia˦ kʰaʔ˧ u˧ po˥tsiɔŋ.
咱雙頭攏來去揣看覓。	lan˥ siaŋ˧tʰau˩ loŋ˥ lai˩kʰi˨ tsʰue˧ kʰuã˨mai˦.
雞髻大塊看起來真威風。	ke˧kue˨ tua˧ te˨ kʰuã˨kʰi˥lai˩ tsin uihoŋ˧.
警察鎮壓暴亂。	kiŋ˥tsʰat tin˨ap˧ po˦luan˦.
病好離離	pẽ˦ ho˥ li˦li˦
我口試講甲離離落落，一定考袂牢。	gua˥ kʰau˥tsʰi˩ koŋ˥ kaʔ˧ li˧li˧lak˧lak˧, it˧tiŋ˦ kʰo˥ be˦ tiau˩.
伊講按呢傷過離譜。	i˧ koŋ˥ an˥ne˧ sĩũ˧ kue˨ li˦pʰɔ˥.
教鞭	kau˨pian˧
虎鞭	hɔ˥pian˧
馬鞭	be˥pĩ˧
出題	tsʰut te˩
題詩	te˩ si˧
題名	te˩mia˩
題一萬	te˩ tsit˧ban˦
題緣金	te˩ian˩kim˧
有人有額	u˧ laŋ˩ u˧ gaʔ˩
無你的額	bo˩ li˥ e˩ gaʔ˩
紅顏	hoŋ˩gan˩
顏回	gan˩ hue˩
颺粟	tsʰiu˧˥˧tsʰik
用電風颺	iŋ˦ tian˦hoŋ˧ tsʰiu˧˥˧
旗仔颺來颺去。	ki˩a˥ ĩã˦ lai˩ ĩã˦ kʰi˨.
颺胡蠅	ĩã˦ hɔ˩sin˩
餾凊飯	liu˦ tsʰin˩pŋ̩˦
餾粿	liu˦kue˥
講過矣，莫閣餾矣啦。	koŋ˥kue˨aʔ˧, mai˨ koʔ˧ liu˦aʔ˧laʔ˧.
騎跤踏車	kʰia˩ kʰa˧ta˧̍htsʰia
騎馬	kʰia˩be˥
頭鬃	tʰau˩tsaŋ
馬鬃	be˥tsaŋ
芋仔著愛鬆才會好食。	ɔ˦a˥ tioʔ˩ai˨ saŋ˧ tsiaʔ e˦ ho˥tsiaʔ˧.
蓬鬆	pʰoŋ˦soŋ˧
今年聯考英文的題目真簡單。	kin˧ni˩ lian˩kʰo˥ iŋ˧bun˩ e˩ te˩bok˩ tsin kan˥tan˧.
伊徛佇外口颺風。	i˧ kʰia˦ ti˦ gua˦kʰau˥ tsʰiu˧˥˧hoŋ˧.
為著欲幫助彼个囡仔，伊四界去題緣。	ui˧tioʔ˩ beʔ˧ paŋ˧tsɔ˧ hit˧ e˩ gn˥a˥, i˧ si˨ke˨ kʰi˨ te˩ian˩.
額頭開闊的人看起來較開朗。	hia˧̍htʰau˩ kʰui˧kʰuaʔ˧ e˩ laŋ˩ kʰuã˨kʰi˥lai˩ kʰaʔ˧ kʰai˧loŋ˥.
大路塗粉颺颺飛。	tua˧lɔ˦ tʰɔ˩hun˥ ĩã˦ĩã˦pue˧.
胡蠅颺颺飛。	hɔ˩sin˩ ĩã˦ĩã˦pue˧.
雞鵤	ke˧kak˧
鴨鵤	aʔ˧kak˧
過嚨喉就毋知燒。	kue˨ na˩au˩ to˦ m̄ tsai sio˧.
拜一來上課，逐家攏足懶的。	pai˨it˧ lai˩ sioŋ˦kʰo˨, ta˧̍kke˧ loŋ˥ tsiok lan˥e˩.
攀岩	pʰan˧gam˩
高攀	ko˧pʰan˧
攏褲	laŋ˥ kʰɔ˨
伊攏大權，我惹伊袂起。	i˧ laŋ˥ tua˧ kʰuan˩, gua˥ dzia˥ i˧ be˦ kʰi˥.
逐家攏莫去。	ta˧̍kke˧ loŋ˥ mai˨ kʰi˨.
衫攏洗好矣。	sã˧ loŋ˥ se˥ho˥aʔ˧.
曝衫	pʰa˧̍k sã˧
曝棉被	pʰa˧̍k mi˩pʰue˦
搖櫓	io˩lɔ˥
有風毋駛船，無風才欲激櫓。	u˧ hoŋ˧ m̄ sai˥ tsun˧˥, bo˩ hoŋ˧ tsiaʔ beʔ˧ kik˧lɔ˥.
菜櫥	tsʰai˩tu˧˥
洋服櫥	ĩũ˩hok˩tu˧˥
外口日頭遐爾大，你毋通佇遐曝日，緊入來！	gua˦kʰau˥ dzit˩tʰau˩ hiaʔ˧ni˦ tua˧, li˥ m̄tʰaŋ˧ ti˦ hia˧ pʰa˧̍kdzit˩, kin˥ dzip˩lai˩!
你代誌毋通交代予彼箍懵仙。	li˥ tai˦tsi˩ m̄tʰaŋ˧ kau˧tai˨ hɔ˦ hit˧ kʰɔ˧ boŋ˨sian˧.
物件收入去櫥仔內囥予伊好。	mi˧̍hkĩã˦ siu˧ dzip˩kʰi˨ tu˧˥a˥lai˦ kʰŋ̩˨ hɔ˦ i˧ ho˥.
懷念囡仔時代的朋友。	huai˩liam˦ gn˥a˥ si˩tai˦ e˩ piŋ˩iu˥.
伊這站仔誠懶屍，啥物代誌攏無欲做。	i˧ tsittsam˧a˥ tsia˧˥˧ lan˥si˧, sĩã˥miʔ˧ tai˦tsi˩ loŋ˥ bo˩ beʔ˧ tso˩.
彼个人真懶屍，欲食毋振動。	hit˧ e˩ laŋ˩ tsin lan˥si˧, beʔ˧ tsiaʔ˧ m̄ tin˥taŋ˦.
這班的學生攏是一等一的。	tsit pan˧ e˩ ha˧̍ksiŋ˧ loŋ˥ si˦ it˧tiŋ˥it˧e˩.
十月懷胎	tsap˧gueʔ˩ huai˩tʰai˧
恁查某囝會對你大細聲，攏是你共伊寵倖的！	lin˥ tsabɔ˥kĩã˥ e˦ tui˩ li˥ tua˧se˨sĩã˧, loŋ˥ si˦ li˥ ka˦ i˧ tʰiŋ˥siŋ˦e˩!
生食都無夠，哪有通曝乾？	tsʰe˧ tsiaʔ˧ to˧ bo˩kau˨, na˥ u˧ tʰaŋ˧ pʰa˧̍kkuã˧?
落雨天無法度曝粟。	lo˧̍hhɔ˦tʰĩ˧ bo˩huat˧tɔ˦ pʰa˧̍k tsʰik.
心肝內懷疑，但是毋敢講。	sim˧kuã˧lai˦ huai˩g˩, tan˦si˦ m̄ kã˥ koŋ˥.
你就是褲帶縖無絚才會一直佇遐攏褲。	li˥ to˦ si˦ kʰɔ˨tua˩ ha˩ bo˩ an˩ tsiaʔ e˦ it˧ti˧̍t ti˦ hia˧ laŋ˥ kʰɔ˨.
一時懵懂袂曉想。	tsit˧si˩ boŋ˥toŋ˥ be˦hiau˥ sĩũ˦.
遮的物件我攏總共你買，你愛算我較俗。	tsiae˩ mi˧̍hkĩã˦ gua˥ loŋ˥tsɔŋ˥ ka˦ li˥ be˥, li˥ ai˨ sŋ̩˨ gua˥ kʰaʔ˧ sio˧̍k.
我買的物件攏總偌濟錢？	gua˥ be˥ e˩ mi˧̍hkĩã˦ loŋ˥tsɔŋ˥ gua˦tse˧ tsi˧˥˧?
這三本冊攏總三百箍。	tsit sã˧ pun˥ tsʰeʔ loŋ˥tsɔŋ˥ sã˧paʔ˧ kʰɔ˧.
伊看著懶懶，是毋是人無爽快？	i˧ kʰuã˨ tioʔ˩ lan˥lan˥, si˦ m̄ si˦ laŋ˩ bo˩ soŋ˥kʰuai˨?
阮兜是阮某咧攏權的，有啥物代誌麻煩你共阮某講。	guan˥ tau˧ si˦ guan˥ bɔ˥ teʔ˧ laŋ˥kʰuan˩e˩, u˧ sĩã˥miʔ˧ tai˦tsi˩ ma˩huan˩ li˥ ka˦ guan˥ bɔ˥ koŋ˥.
臺南有所在專門咧曝鹽。	tai˩lam˩ u˧ sɔ˥tsai˧ tsuanbun˩ teʔ˧ pʰa˧̍k iam˩.
溪瀨	kʰe˧lua˦
電火爍一下，就熄去矣。	tian˦hue˥ siʔ˧tsit˧e˦, to˦ sit˧kʰi˨aʔ˧.
柑仔瓣	kam˧a˥ban˦
蒜頭瓣	suan˨tʰau˩ban˦
花瓣	hue˧ban˦
你莫礙著我就好。	li˥ mai˨ gai˦tioʔ˩ gua˥ to˦ ho˥.
阻礙	tsɔ˥gai˦
我看著伊感覺真礙目。	gua˥ kʰuã˨tioʔ˩ i˧ kam˥kak˧ tsin gai˦bak˩.
炮仔工場爆炸，員工受傷嚴重。	pʰau˨a˥ kaŋ˧tĩũ˩ po˧̍ktsa˩, uan˧˥kaŋ˧ siu˦sioŋ˧ gam˩tioŋ˦.
伊今仔日的穿插，我看著真礙虐。	i˧ kin˧a˥dzit˩ e˩ tsʰiŋ˧tsʰaʔ, gua˥ kʰuã˨ tioʔ˩ tsin gai˦goʔ˩.
無礙著	bo˩gai˦tioʔ˩
我敢有礙著啥物人？	gua˥ kam˥ u˧ gai˦tioʔ˩ sĩã˥miʔ˧laŋ˩?
雷公爍爁直直來。	lui˩koŋ˧ siʔ˧naʔ˧ ti˧̍tti˧̍t lai˩.
伊獸醫系畢業了後就開始做獸醫。	i˧ siu˨i˧he˦ pit˧gap˩ liau˥au˦ to˦ kʰai˧si˥ tso˩ siu˨i˧.
這隻椅仔無啥穩，毋通坐。	tsit tsiaʔ i˥a˥ bo˩ sĩã˥ un˥, m̄tʰaŋ˧ tse˧.
我穩贏的啦！	gua˥ un˥ ĩã˩e˩laʔ˧!
簸米	pua˨ bi˥
簸蝦米	pua˨ he˩bi˥
番薯簽	han˧tsi˧˥tsʰiam
菜脯簽	tsʰai˩pɔ˥tsʰiam
請你名簽蹛遮。	tsʰia˥˧ li˥ mia˩ tsʰiam tua˩ tsia.
你欲簽幾號？	li˥ beʔ˧ tsʰiam kui˥ ho˦?
窗仔簾	tʰaŋ˧a˥li˩
竹簾	tik˧liam˩
數簿	siau˨pʰɔ˦
作業簿	tsokgap˩pʰɔ˦
牽繩	kʰan˧ tsin˧˥
