ააბარგებს	aabaɾgebs
ტრივიალურად	tʼɾiviaɫuɾatʰ
ტრივიალური	tʼɾiviaɫuɾi
ტრიკი	tʼɾikʼi
ტრიკოტაჟი	tʼɾikʼotʼaʒi
ტრილოგია	tʼɾiɫogia
ტრინიდადი	tʼɾinidadi
ტრიო	tʼɾio
ტრიპოლი	tʼɾipʼoli
ტრიუმვირატი	tʼɾiumʷiɾatʼi
ტრიუმვირი	tʼɾiumʷiɾi
ტრიუმო	tʼɾiumo
ტრიუმფალური	tʼɾiumpʰaɫuɾi
ტრიუმფი	tʼɾiumpʰi
ტრიუფელი	tʼɾiupʰeli
ტროგლოდიტი	tʼɾogɫoditʼi
ტროლეიბუსი	tʼɾoleibusi
ტროლი	tʼɾoli
ტრომბონი	tʼɾomboni
ტრომბონისტი	tʼɾombonistʼi
ტროპი	tʼɾopʼi
ტროპიკი	tʼɾopʼikʼi
ტროპიკულად	tʼɾopʼikʼuɫatʰ
ტროპიკული	tʼɾopʼikʼuli
ტროპოსფერო	tʼɾopʼospʰeɾo
ტროტუარი	tʼɾotʼuaɾi
ტრუბადური	tʼɾubaduɾi
ტრუიზმი	tʼɾuizmi
ტრუსი	tʼɾusi
ტრუსიკი	tʼɾusikʼi
ტრუხა	tʼɾuχa
ტუალეტი	tʼʷaletʼi
ტუბერკულოზი	tʼubeɾkʼuɫozi
ტუვალუ	tʼuvaɫu
ტუნდრა	tʼundɾa
ტურა	tʼuɾa
ტურაშვილი	tʼuɾaʃʷili
ტურბინა	tʼuɾbina
ტურბულენტობა	tʼuɾbulentʼoba
ტურბულენტურად	tʼuɾbulentʼuɾatʰ
ტურბულენტური	tʼuɾbulentʼuɾi
ტურიზმი	tʼuɾizmi
ტურინი	tʼuɾini
ტურისტი	tʼuɾistʼi
ტურისტული	tʼuɾistʼuli
ტურნე	tʼuɾne
ტურნირი	tʼuɾniɾi
ტურფა	tʼuɾpʰa
ტუსაღი	tʼusaʁi
ტუჩად	tʼutʃʰatʰ
ტუჩებად	tʼutʃʰebatʰ
ტუჩები	tʼutʃʰebi
ტუჩებით	tʼutʃʰebitʰ
ტუჩების	tʼutʃʰebis
ტუჩებმა	tʼutʃʰebma
ტუჩებო	tʼutʃʰebo
ტუჩებს	tʼutʃʰebs
ტუჩთა	tʼutʃʰtʰa
ტუჩი	tʼutʃʰi
ტუჩით	tʼutʃʰitʰ
ტუჩის	tʼutʃʰis
ტუჩმა	tʼutʃʰma
ტუჩნი	tʼutʃʰni
ტუჩნო	tʼutʃʰno
ტუჩო	tʼutʃʰo
ტუჩს	tʼutʃʰs
ტუხტი	tʼuχtʼi
ტყავი	tʼχʼavi
ტყაპანი	tʼχʼapʼani
ტყაპანით	tʼχʼapʼanitʰ
ტყაპუჭი	tʼχʼapʼutʃʼi
ტყე	tʼχʼe
ტყებუჩავა	tʼχʼebutʃʰava
ტყევით	tʼχʼevitʰ
ტყემალი	tʼχʼemali
ტყვარჩელი	tʼχʼʷaɾtʃʰeli
ტყვე	tʼχʼʷe
ტყვეობა	tʼχʼʷeoba
ტყვია	tʼχʼʷia
ტყვიამფრქვევი	tʼχʼʷiampʰɾkʰʷevi
ტყვნა	tʼχʼʷna
ტყიანი	tʼχʼiani
ტყისმჭრელი	tʼχʼismtʃʼɾeli
ტყისქათამი	tʼχʼiskʰatʰami
ტყნავს	tʼχʼnafs
ტყნაური	tʼχʼnauɾi
ტყუილად	tʼχʼuiɫatʰ
ტყუილი	tʼχʼuili
ტყუპები	tʼχʼupʼebi
ტყუპი	tʼχʼupʼi
უადგილო	uadgiɫo
უადგილობა	uadgiɫoba
უადგილოდ	uadgiɫotʰ
უაზრო	uazɾo
უაზრობა	uazɾoba
უაზროდ	uazɾotʰ
უაიომინგი	uaiomiŋgi
უალკოჰოლო	ualkʼohoɫo
უამრავი	uamɾavi
უანგარო	uaŋgaɾo
უანგაროდ	uaŋgaɾotʰ
უაპელაციოდ	uapʼeɫatsʰiotʰ
უარესი	uaɾesi
უარი	uaɾi
უარსაყოფი	uaɾsaχʼopʰi
უარყოფა	uaɾχʼopʰa
უარყოფითად	uaɾχʼopʰitʰatʰ
უარყოფითი	uaɾχʼopʰitʰi
უაღრესად	uaʁɾesatʰ
უახლოესად	uaχɫoesatʰ
უახლოესი	uaχɫoesi
უბადლო	ubadɫo
უბადრუკად	ubadɾukʼatʰ
უბადრუკი	ubadɾukʼi
უბარი	ubaɾi
უბედურად	ubeduɾatʰ
უბედურება	ubeduɾeba
უბედურები	ubeduɾebi
უბედური	ubeduɾi
უბერავს	ubeɾafs
უბეს	ubes
უბის	ubis
უბნებლიედ	ubneblietʰ
უბრალო	ubɾaɫo
უბრალოდ	ubɾaɫotʰ
უბრალოება	ubɾaɫoeba
უბრობა	ubɾoba
უგემოვნოდ	ugemovnotʰ
უგემრიელესი	ugemɾielesi
უგემურად	ugemuɾatʰ
უგემური	ugemuɾi
უგვიანესი	ugʷianesi
უგრძესი	ugɾdzesi
უგრძნობად	ugɾdznobatʰ
უგრძნობლად	ugɾdznobɫatʰ
უგრძნობლობა	ugɾdznobɫoba
უგულებელყოფა	ugulebelχʼopʰa
უგულო	uguɫo
უგულობა	uguɫoba
უგულოდ	uguɫotʰ
უგუნურად	ugunuɾatʰ
უგუნურება	ugunuɾeba
უგუნური	ugunuɾi
უდაბლესად	udablesatʰ
უდაბური	udabuɾi
უდავოდ	udavotʰ
უდანაშაულო	udanaʃauɫo
უდარდელად	udaɾdeɫatʰ
უდარდელი	udaɾdeli
უდარდელობა	udaɾdeɫoba
უდეტრები	udetʼɾebi
უდიერად	udieɾatʰ
უდიერი	udieɾi
უდიერობა	udieɾoba
უდრის	udɾis
უდროო	udɾoo
უდროოდ	udɾootʰ
უდრტვინველად	udɾtʼʷinʷeɫatʰ
უელსური	uelsuɾi
უემოციოდ	uemotsʰiotʰ
უერთდებიან	ueɾtʰdebian
უეცარი	uetsʰaɾi
უეცრად	uetsʰɾatʰ
უეცრობა	uetsʰɾoba
უეჭველი	uetʃʼʷeli
უეჭველობა	uetʃʼʷeɫoba
უვარგისად	uvaɾgisatʰ
უვარგისი	uvaɾgisi
უვარგისობა	uvaɾgisoba
უვიცად	uvitsʰatʰ
უვიცი	uvitsʰi
უვიცობა	uvitsʰoba
უვნებლად	uvnebɫatʰ
უზანგი	uzaŋgi
უზარმაზარი	uzaɾmazaɾi
უზარმაცესი	uzaɾmatsʰesi
უზენაესად	uzenaesatʰ
უზნეოდ	uzneotʰ
უზომოდ	uzomotʰ
უზრდელად	uzɾdeɫatʰ
უზრდელი	uzɾdeli
უზრდელობა	uzɾdeɫoba
უზრდელურად	uzɾdeɫuɾatʰ
უზრუნველად	uzɾunʷeɫatʰ
უზრუნველი	uzɾunʷeli
უზრუნველობა	uzɾunʷeɫoba
უზურპატორი	uzuɾpʼatʼoɾi
უზურპაცია	uzuɾpʼatsʰia
უთანაბრო	utʰanabɾo
უთანაბრობა	utʰanabɾoba
უთანაბროდ	utʰanabɾotʰ
უთანასწორო	utʰanastsʼoɾo
უთანასწორობა	utʰanastsʼoɾoba
უთანასწოროდ	utʰanastsʼoɾotʰ
უთანხმოება	utʰanχmoeba
უთესავს	utʰesafs
უთესლო	utʰesɫo
უთვალო	utʰʷaɫo
უთვლადი	utʰʷɫadi
უთქვამს	utʰkʰʷams
უთხელესი	utʰχelesi
უთხრა	utʰχɾa
უი	ui
უიარაღო	uiaɾaʁo
უიმედოდ	uimedotʰ
უინიციატივო	uinitsʰiatʼivo
უინტერესო	uintʼeɾeso
უინტერესოდ	uintʼeɾesotʰ
უიღბლო	uiʁbɫo
უიშვიათესი	uiʃʷiatʰesi
უკავშიროდ	ukʼafʃiɾotʰ
უკამათოდ	ukʼamatʰotʰ
უკანონოდ	ukʼanonotʰ
უკარება	ukʼaɾeba
უკარებად	ukʼaɾebatʰ
უკაცრავად	ukʼatsʰɾavatʰ
უკაცრიელი	ukʼatsʰɾieli
უკბილო	ukʼbiɫo
უკვალო	ukʼʷaɫo
უკვამლო	ukʼʷamɫo
უკვდავები	ukʼʷdavebi
უკვდავყოფა	ukʼʷdavχʼopʰa
უკვე	ukʼʷe
უკიდურესად	ukʼiduɾesatʰ
უკიდურესი	ukʼiduɾesi
უკიდურესობა	ukʼiduɾesoba
უკლასო	ukʼɫaso
უკმარისობა	ukʼmaɾisoba
უკმარობა	ukʼmaɾoba
უკმაყოფილება	ukʼmaχʼopʰileba
უკმაყოფილო	ukʼmaχʼopʰiɫo
უკმაყოფილოდ	ukʼmaχʼopʰiɫotʰ
უკმეხად	ukʼmeχatʰ
უკმეხი	ukʼmeχi
უკმეხობა	ukʼmeχoba
უკომპრომისო	ukʼompʼɾomiso
უკრავს	ukʼɾafs
უკრაინა	ukʼɾaina
უკრაინელი	ukʼɾaineli
უკრაინისტიკა	ukʼɾainistʼikʼa
უკრაინული	ukʼɾainuli
უკრიტიკო	ukʼɾitʼikʼo
უკრიტიკოდ	ukʼɾitʼikʼotʰ
უკუათვლა	ukʼuatʰʷɫa
უკუკავშირი	ukʼukʼafʃiɾi
უკულტურო	ukʼultʼuɾo
უკუმოძრაობა	ukʼumodzɾaoba
უკურნებლად	ukʼuɾnebɫatʰ
უკუქცევა	ukʼukʰtsʰeva
უკუქცევადი	ukʼukʰtsʰevadi
უკუქცევადობა	ukʼukʰtsʰevadoba
უკუქცევითი	ukʼukʰtsʰevitʰi
უკუღმა	ukʼuʁma
უკუცემა	ukʼutsʰema
ულაზათო	uɫazatʰo
ულაზათობა	uɫazatʰoba
ულაზათოდ	uɫazatʰotʰ
ულამაზესი	uɫamazesi
ულამაზო	uɫamazo
ულაყი	uɫaχʼi
ულვაშებიანი	ulʷaʃebiani
ულვაში	ulʷaʃi
ულმობლად	ulmobɫatʰ
ულმობლობა	ulmobɫoba
ულოგიკობა	uɫogikʼoba
ულტრაბგერითი	ultʼɾabgeɾitʰi
ულტრათანამედროვე	ultʼɾatʰanamedɾove
ულტრაიისფერი	ultʼɾaiispʰeɾi
ულტრამარინი	ultʼɾamaɾini
ულუმბო	uɫumbo
ულუფა	uɫupʰa
უმაგრესი	umagɾesi
უმადურად	umaduɾatʰ
უმადური	umaduɾi
უმადურობა	umaduɾoba
უმავთულო	umaftʰuɫo
უმალესად	umalesatʰ
უმანკო	umaŋkʼo
უმანკოდ	umaŋkʼotʰ
უმანკოება	umaŋkʼoeba
უმარილო	umaɾiɫo
უმარტივესი	umaɾtʼivesi
უმაღლესად	umaʁlesatʰ
უმაღლესი	umaʁlesi
უმახვილო	umaχʷiɫo
უმდიდრესი	umdidɾesi
უმეგობრო	umegobɾo
უმეგობრობა	umegobɾoba
უმეტესად	umetʼesatʰ
უმეტესწილად	umetʼestsʼiɫatʰ
უმზერს	umzeɾs
უმთავრესად	umtʰavɾesatʰ
უმთვარო	umtʰʷaɾo
უმიზნოდ	umiznotʰ
უმლაუტი	umɫautʼi
უმნიშვნელო	umniʃʷneɫo
უმნიშვნელოდ	umniʃʷneɫotʰ
უმოძრაო	umodzɾao
უმოძრაოდ	umodzɾaotʰ
უმოწყალო	umotsʼχʼaɫo
უმოწყალობა	umotsʼχʼaɫoba
უმრავლესობა	umɾavlesoba
უმტკივნეულო	umtʼkʼivneuɫo
უმტკივნეულოდ	umtʼkʼivneuɫotʰ
უმუშევარი	umuʃevaɾi
უმუშევრობა	umuʃevɾoba
უმღერის	umʁeɾis
უმცირესი	umtsʰiɾesi
უმცირესობა	umtsʰiɾesoba
უმცროსი	umtsʰɾosi
უმწეოდ	umtsʼeotʰ
უმწიკვლო	umtsʼikʼʷɫo
უმწიკვლოდ	umtsʼikʼʷɫotʰ
უმჭიდროესი	umtʃʼidɾoesi
უმხედრო	umχedɾo
უნაგირა	unagiɾa
უნაგირი	unagiɾi
უნაკლო	unakʼɫo
უნაკლოდ	unakʼɫotʰ
უნამუსოდ	unamusotʰ
უნარი	unaɾi
უნარიანად	unaɾianatʰ
უნარიანი	unaɾiani
უნარიანობა	unaɾianoba
უნაყოფო	unaχʼopʰo
უნაყოფობა	unaχʼopʰoba
უნაყოფოდ	unaχʼopʰotʰ
უნგრეთი	uŋgɾetʰi
უნგრული	uŋgɾuli
უნდა	unda
უნდობლად	undobɫatʰ
უნდობლობა	undobɫoba
უნებართვო	unebaɾtʰʷo
უნელესად	unelesatʰ
უნია	unia
უნივერსალურად	univeɾsaɫuɾatʰ
უნივერსალური	univeɾsaɫuɾi
უნივერსიტეტად	univeɾsitʼetʼatʰ
უნივერსიტეტი	univeɾsitʼetʼi
უნივერსიტეტით	univeɾsitʼetʼitʰ
უნივერსიტეტის	univeɾsitʼetʼis
უნივერსიტეტმა	univeɾsitʼetʼma
უნივერსიტეტს	univeɾsitʼetʼs
უნიკალურად	unikʼaɫuɾatʰ
უნიკალური	unikʼaɫuɾi
უნიკალურობა	unikʼaɫuɾoba
უნიტარული	unitʼaɾuli
უნიფიკაცია	unipʰikʼatsʰia
უნუგეშოდ	unugeʃotʰ
უნუნტრიუმი	ununtʼɾiumi
უპასუხა	upʼasuχa
უპასუხებს	upʼasuχebs
უპასუხისმგებლოდ	upʼasuχismgebɫotʰ
უპასუხო	upʼasuχo
უპატივცემლო	upʼatʼiftsʰemɫo
უპატივცემლოდ	upʼatʼiftsʰemɫotʰ
უპატივცემულოდ	upʼatʼiftsʰemuɫotʰ
უპატიოსნოდ	upʼatʼiosnotʰ
უპატრონო	upʼatʼɾono
უპირატესად	upʼiɾatʼesatʰ
უპირატესი	upʼiɾatʼesi
უპირატესობა	upʼiɾatʼesoba
უპირველესად	upʼiɾʷelesatʰ
უპირო	upʼiɾo
უპირობო	upʼiɾobo
უპირობოდ	upʼiɾobotʰ
უპიროდ	upʼiɾotʰ
უპრეტენზიო	upʼɾetʼenzio
უპრეცედენტო	upʼɾetsʰedentʼo
უპრეცენდენტოდ	upʼɾetsʰendentʼotʰ
უპრინციპო	upʼɾintsʰipʼo
ურანი	uɾani
ურბანიზაცია	uɾbanizatsʰia
ურდო	uɾdo
ურემი	uɾemi
ურთიერთდაკავშირებულობა	uɾtʰieɾtʰdakʼafʃiɾebuɫoba
ურთიერთდამოკიდებულება	uɾtʰieɾtʰdamokʼidebuleba
ურთიერთობა	uɾtʰieɾtʰoba
ურთხმელი	uɾtʰχmeli
ურია	uɾia
ურიგო	uɾigo
ურიკა	uɾikʼa
ურნა	uɾna
ურო	uɾo
ურუგვაი	uɾugʷai
ურქო	uɾkʰo
ურყევად	uɾχʼevatʰ
ურყევი	uɾχʼevi
ურყეობა	uɾχʼeoba
ურჩად	uɾtʃʰatʰ
ურჩი	uɾtʃʰi
ურჩობა	uɾtʃʰoba
ურჩხი	uɾtʃʰχi
ურჩხული	uɾtʃʰχuli
ურცი	uɾtsʰi
ურცხვად	uɾtsʰχʷatʰ
ურცხვი	uɾtsʰχʷi
ურცხვობა	uɾtsʰχʷoba
ურწმუნო	uɾtsʼmuno
ურწმუნოდ	uɾtsʼmunotʰ
ურწმუნოება	uɾtsʼmunoeba
ურწყული	uɾtsʼχʼuli
უსაზიზღრესი	usazizʁɾesi
უსაზღვრო	usazʁʷɾo
უსაზღვროდ	usazʁʷɾotʰ
უსამართლო	usamaɾtʰɫo
უსამართლობა	usamaɾtʰɫoba
უსამართლოდ	usamaɾtʰɫotʰ
უსარგებლო	usaɾgebɫo
უსარგებლობა	usaɾgebɫoba
უსარგებლოდ	usaɾgebɫotʰ
უსასრულო	usasɾuɫo
უსასრულობა	usasɾuɫoba
უსასრულოდ	usasɾuɫotʰ
უსასყიდლო	usasχʼidɫo
უსასყიდლოდ	usasχʼidɫotʰ
უსაფრთხო	usapʰɾtʰχo
უსაფრთხოდ	usapʰɾtʰχotʰ
უსაფრთხოება	usapʰɾtʰχoeba
უსაფუძვლო	usapʰudzʷɫo
უსაფუძვლოდ	usapʰudzʷɫotʰ
უსაქმური	usakʰmuɾi
უსაქმურობა	usakʰmuɾoba
უსახელაური	usaχeɫauɾi
უსახელო	usaχeɫo
უსახლკარო	usaχlkʼaɾo
უსახლკარობა	usaχlkʼaɾoba
უსახო	usaχo
უსახურავო	usaχuɾavo
უსიამოვნოდ	usiamovnotʰ
უსიზმრო	usizmɾo
უსიმპატიოდ	usimpʼatʼiotʰ
უსინათლო	usinatʰɫo
უსირცხვილო	usiɾtsʰχʷiɫo
უსირცხვილობა	usiɾtsʰχʷiɫoba
უსირცხვილოდ	usiɾtsʰχʷiɫotʰ
უსირცხვულოდ	usiɾtsʰχʷuɫotʰ
უსიტყვო	usitʼχʼʷo
უსიტყვოდ	usitʼχʼʷotʰ
უსიყვარულო	usiχʼʷaɾuɫo
უსიცოცხლო	usitsʰotsʰχɫo
უსიცოცხლოდ	usitsʰotsʰχɫotʰ
უსიხარულო	usiχaɾuɫo
უსიხარულოდ	usiχaɾuɫotʰ
უსკურა	uskʼuɾa
უსულო	usuɫo
უსულოდ	usuɫotʰ
უსურვებს	usuɾʷebs
უსწორმასწორო	ustsʼoɾmastsʼoɾo
უსწორმასწოროდ	ustsʼoɾmastsʼoɾotʰ
უსწრაფესი	ustsʼɾapʰesi
უსხი	usχi
უტაქტოდ	utʼakʰtʼotʰ
უტვინო	utʼʷino
უტილიტარიზმი	utʼilitʼaɾizmi
უტილიტარისტი	utʼilitʼaɾistʼi
უტილიტარული	utʼilitʼaɾuli
უტიფარი	utʼipʰaɾi
უტიფრად	utʼipʰɾatʰ
უტოლობა	utʼoɫoba
უტოპიური	utʼopʼiuɾi
უტყეო	utʼχʼeo
უტყვი	utʼχʼʷi
უტყუარი	utʼχʼuaɾi
უტყუარობა	utʼχʼuaɾoba
უუნაგიროდ	uunagiɾotʰ
უუნარო	uunaɾo
უუნარობა	uunaɾoba
უუნაროდ	uunaɾotʰ
უფართოესი	upʰaɾtʰoesi
უფასოდ	upʰasotʰ
უფეთქავს	upʰetʰkʰafs
უფერული	upʰeɾuli
უფერულობა	upʰeɾuɫoba
უფესვო	upʰesʷo
უფეხო	upʰeχo
უფოთლო	upʰotʰɫo
უფორმო	upʰoɾmo
უფორმობა	upʰoɾmoba
უფორმოდ	upʰoɾmotʰ
უფრთო	upʰɾtʰo
უფრო	upʰɾo
უფროსი	upʰɾosi
უფროსობა	upʰɾosoba
უფსკრული	upʰskʼɾuli
უფულო	upʰuɫo
უფურეთი	upʰuɾetʰi
უქარო	ukʰaɾo
უქარობა	ukʰaɾoba
უქაღალდო	ukʰaʁaldo
უქმრო	ukʰmɾo
უქნარა	ukʰnaɾa
უქცევად	ukʰtsʰevatʰ
უღელი	uʁeli
უღელტეხილი	uʁeltʼeχili
უღვლილება	uʁʷlileba
უღირსად	uʁiɾsatʰ
უღირსი	uʁiɾsi
უღლება	uʁleba
უღლებადი	uʁlebadi
უღმერთო	uʁmeɾtʰo
უღმერთობა	uʁmeɾtʰoba
უღონო	uʁono
უღრანი	uʁɾani
უღრუბლო	uʁɾubɫo
უყვარს	uχʼʷaɾs
უყოყმანოდ	uχʼoχʼmanotʰ
უყურადღებო	uχʼuɾadʁebo
უყურადღებობა	uχʼuɾadʁeboba
უყურადღებოდ	uχʼuɾadʁebotʰ
უყურებს	uχʼuɾebs
უშედეგოდ	uʃedegotʰ
უშეცდომო	uʃetsʰdomo
უშეცდომოდ	uʃetsʰdomotʰ
უშვებს	uʃʷebs
უშველებელი	uʃʷelebeli
უშველის	uʃʷelis
უშვია	uʃʷia
უშვილო	uʃʷiɫo
უშვილობა	uʃʷiɫoba
უშინაარსო	uʃinaaɾso
უშიშარი	uʃiʃaɾi
უშიშრად	uʃiʃɾatʰ
უშიშრობა	uʃiʃɾoba
უშორესი	uʃoɾesi
უშუალო	uʃuaɫo
უშუალობა	uʃuaɫoba
უშუალოდ	uʃuaɫotʰ
უშფოთვლად	uʃpʰotʰʷɫatʰ
უჩა	utʃʰa
უჩვეულო	utʃʰʷeuɫo
უჩვეულობა	utʃʰʷeuɫoba
უჩვეულოდ	utʃʰʷeuɫotʰ
უჩინარი	utʃʰinaɾi
უჩინრად	utʃʰinɾatʰ
უცაბედად	utsʰabedatʰ
უცბად	utsʰbatʰ
უცდომლად	utsʰdomɫatʰ
უცებ	utsʰepʰ
უცენზურო	utsʰenzuɾo
უცვლელად	utsʰʷleɫatʰ
უცვლელობა	utsʰʷleɫoba
უცნაურად	utsʰnauɾatʰ
უცნაური	utsʰnauɾi
უცნაურობა	utsʰnauɾoba
უცნობი	utsʰnobi
უცოდველი	utsʰodʷeli
უცოდველობა	utsʰodʷeɫoba
უცოდინარი	utsʰodinaɾi
უცოლო	utsʰoɫo
უცქერს	utsʰkʰeɾs
უცხო	utsʰχo
უცხოდ	utsʰχotʰ
უცხოები	utsʰχoebi
უცხოელი	utsʰχoeli
უცხოობა	utsʰχooba
უცხოური	utsʰχouɾi
უძველესი	udzʷelesi
უძვლო	udzʷɫo
უძილარი	udziɫaɾi
უძილო	udziɫo
უძილობა	udziɫoba
უძილოდ	udziɫotʰ
უძირო	udziɾo
უძლურად	udzɫuɾatʰ
უძლურება	udzɫuɾeba
უძლური	udzɫuɾi
უძრავად	udzɾavatʰ
უძრავი	udzɾavi
უძრაობა	udzɾaoba
უწესოდ	utsʼesotʰ
უწესრიგო	utsʼesɾigo
უწესრიგობა	utsʼesɾigoba
უწესრიგობაში	utsʼesɾigobaʃi
უწესრიგოდ	utsʼesɾigotʰ
უწვერო	utsʼʷeɾo
უწვერულვაშო	utsʼʷeɾulʷaʃo
უწიგნური	utsʼignuɾi
უწიგნურობა	utsʼignuɾoba
უწინდებურად	utsʼindebuɾatʰ
უწინდებური	utsʼindebuɾi
უწმინდურად	utsʼminduɾatʰ
უწმინდური	utsʼminduɾi
უწყება	utsʼχʼeba
უწყებრივი	utsʼχʼebɾivi
უწყვეტად	utsʼχʼʷetʼatʰ
უწყვეტი	utsʼχʼʷetʼi
უწყვეტობა	utsʼχʼʷetʼoba
უწყინარი	utsʼχʼinaɾi
უწყის	utsʼχʼis
უწყისი	utsʼχʼisi
უწყლო	utsʼχʼɫo
უჭკვიანესი	utʃʼkʼʷianesi
უჭკუოდ	utʃʼkʼuotʰ
უხალისო	uχaliso
უხალისობა	uχalisoba
უხალისოდ	uχalisotʰ
უხამსად	uχamsatʰ
უხამსი	uχamsi
უხამსოდ	uχamsotʰ
უხარია	uχaɾia
უხასიათო	uχasiatʰo
უხეიროდ	uχeiɾotʰ
უხერხემლო	uχeɾχemɫo
უხერხულად	uχeɾχuɫatʰ
უხერხული	uχeɾχuli
უხერხულობა	uχeɾχuɫoba
უხეშად	uχeʃatʰ
უხეში	uχeʃi
უხეშობა	uχeʃoba
უხვად	uχʷatʰ
უხვი	uχʷi
უხილავი	uχiɫavi
უხმარი	uχmaɾi
უხმაურო	uχmauɾo
უხმაუროდ	uχmauɾotʰ
უხმო	uχmo
უხმოდ	uχmotʰ
უხორცო	uχoɾtsʰo
უხსენებელი	uχsenebeli
უხსნადი	uχsnadi
უხსოვარი	uχsovaɾi
უჯრა	udʒɾa
უჯრედი	udʒɾedi
უჯრედული	udʒɾeduli
ფ	pʰ
ფაბრიკა	pʰabɾikʼa
ფაგოციტი	pʰagotsʰitʼi
ფავორიტი	pʰavoɾitʼi
ფავორიტიზმი	pʰavoɾitʼizmi
ფათერაკი	pʰatʰeɾakʼi
ფაიზაღი	pʰaizaʁi
ფაიფური	pʰaipʰuɾi
ფაკირი	pʰakʼiɾi
ფალავანი	pʰaɫavani
ფალაური	pʰaɫauɾi
ფალოსი	pʰaɫosi
ფალსიფიკაცია	pʰalsipʰikʼatsʰia
ფანარი	fanaɾi
ფანარი	pʰanaɾi
ფანატიკურად	pʰanatʼikʼuɾatʰ
ფანატიკური	pʰanatʼikʼuɾi
ფანდური	pʰanduɾi
ფანერი	pʰaneɾi
ფანტავს	pʰantʼafs
ფანტაზიორი	pʰantʼazioɾi
ფანქარი	pʰaŋkʰaɾi
ფანჩატური	pʰantʃʰatʼuɾi
ფანჯარა	pʰandʒaɾa
ფარა	pʰaɾa
ფარავს	pʰaɾafs
ფარანი	pʰaɾani
ფარაონი	pʰaɾaoni
ფარგალი	pʰaɾgali
ფარდა	pʰaɾda
ფარდობითი	pʰaɾdobitʰi
ფარდობითობა	pʰaɾdobitʰoba
ფარდული	pʰaɾduli
ფარერელი	pʰaɾeɾeli
ფარერული	pʰaɾeɾuli
ფარვატერი	pʰaɾʷatʼeɾi
ფართე	pʰaɾtʰe
ფართედ	pʰaɾtʰetʰ
ფართო	pʰaɾtʰo
ფართობი	pʰaɾtʰobi
ფართოდ	pʰaɾtʰotʰ
ფარი	pʰaɾi
ფარიკაობა	pʰaɾikʼaoba
ფარინგიტი	pʰaɾiŋgitʼi
ფარის	pʰaɾis
ფარისებლურად	pʰaɾisebɫuɾatʰ
ფარისევლური	pʰaɾisevɫuɾi
ფარმაკოლოგი	pʰaɾmakʼoɫogi
ფარმაკოლოგია	pʰaɾmakʼoɫogia
ფარმაკოლოგიურად	pʰaɾmakʼoɫogiuɾatʰ
ფარმაკოპეა	pʰaɾmakʼopʼea
ფარმაცევტი	pʰaɾmatsʰeftʼi
ფარმაცევტიკა	pʰaɾmatsʰeftʼikʼa
ფარმაცევტული	pʰaɾmatsʰeftʼuli
ფარმაცია	pʰaɾmatsʰia
ფარსადან	pʰaɾsadan
ფარულად	pʰaɾuɫatʰ
ფარული	pʰaɾuli
ფარფლი	pʰaɾpʰli
ფარშევანგი	pʰaɾʃevaŋgi
ფარში	pʰaɾʃi
ფარჩაკი	pʰaɾtʃʰakʼi
ფარცხავს	pʰaɾtsʰχafs
ფასეულობა	pʰaseuɫoba
ფატალისტური	pʰatʼalistʼuɾi
ფატალური	pʰatʼaɫuɾi
ფაფარი	pʰapʰaɾi
ფაფახი	pʰapʰaχi
ფაქიზად	pʰakʰizatʰ
ფაქტიურად	pʰakʰtʼiuɾatʰ
ფაქტიური	pʰakʰtʼiuɾi
ფაქტობრივად	pʰakʰtʼobɾivatʰ
ფაქტობრივი	pʰakʰtʼobɾivi
ფაქტორი	pʰakʰtʼoɾi
ფაშისტური	pʰaʃistʼuɾi
ფაციფუცი	pʰatsʰipʰutsʰi
ფაწალა	pʰatsʼaɫa
ფედერალიზმი	pʰedeɾalizmi
ფედერალისტი	pʰedeɾalistʼi
ფედერალისტური	pʰedeɾalistʼuɾi
ფედერალური	pʰedeɾaɫuɾi
ფედერაცია	pʰedeɾatsʰia
ფედერაციამ	pʰedeɾatsʰiam
ფედერაციას	pʰedeɾatsʰias
ფედერაციული	pʰedeɾatsʰiuli
ფეიერვერკი	feieɾʷeɾkʼi
ფეიერვერკი	pʰeieɾʷeɾkʼi
ფეისკონტროლი	pʰeiskʼontʼɾoli
ფეიქარი	pʰeikʰaɾi
ფეიხოა	pʰeiχoa
ფელამუში	pʰeɫamuʃi
ფელუკა	pʰeɫukʼa
ფემინიზაცია	pʰeminizatsʰia
ფემიციდი	pʰemitsʰidi
ფერად	pʰeɾad
ფერადი	pʰeɾadi
ფერადკანიანი	pʰeɾadkʼaniani
ფერავს	pʰeɾafs
ფერდი	pʰeɾdi
ფერდობი	pʰeɾdobi
ფერეიდანი	pʰeɾeidani
ფერი	pʰeɾi
ფერია	pʰeɾia
ფერიმჭამელა	pʰeɾimtʃʼameɫa
ფერმა	pʰeɾma
ფერმენტაცია	pʰeɾmentʼatsʰia
ფერმენტი	pʰeɾmentʼi
ფერმერი	pʰeɾmeɾi
ფერმიუმი	pʰeɾmiumi
ფერმკრთალად	pʰeɾmkʼɾtʰaɫatʰ
ფერმკრთალი	pʰeɾmkʼɾtʰali
ფერსო	pʰeɾso
ფერფლი	pʰeɾpʰli
ფერფლისფერი	pʰeɾpʰlispʰeɾi
ფერშალი	pʰeɾʃali
ფერწერა	pʰeɾtsʼeɾa
