Ⴀ	ɑ
სახელდობრ	saχeldobɾ
სახელზმნა	saχelzmna
სახელი	saχeli
სახელით	saχelitʰ
სახელის	saχelis
სახელმა	saχelma
სახელმწიფო	säxe̞ɫmtsʼipʰo̞
სახელმწიფოდ	saχelmtsʼipʰotʰ
სახელმწიფოთაშორისი	saχelmtsʼipʰotʰaʃoɾisi
სახელმწიფოთი	saχelmtsʼipʰotʰi
სახელმწიფომ	saχelmtsʼipʰom
სახელმწიფოს	saχelmtsʼipʰos
სახელო	saχeɫo
სახელობითი	saχeɫobitʰi
სახელოვანი	saχeɫovani
სახელოსნო	saχeɫosno
სახელს	saχels
სახელური	saχeɫuɾi
სახელწოდება	saχeltsʼodeba
სახელწოდებად	saχeltsʼodebatʰ
სახელწოდებამ	saχeltsʼodebam
სახელწოდებას	saχeltsʼodebas
სახელწოდებით	saχeltsʼodebitʰ
სახელწოდების	saχeltsʼodebis
სახემ	saχem
სახეობა	saχeoba
სახეს	saχes
სახვა	saχʷa
სახით	saχitʰ
სახიობა	saχioba
სახის	saχis
სახიფათო	saχipʰatʰo
სახიფათოდ	saχipʰatʰotʰ
სახიჩრობა	saχitʃʰɾoba
სახლაკი	saχɫakʼi
სახლება	saχleba
სახლი	saχli
სახლში	saχlʃi
სახმელეთო	saχmeletʰo
სახნისი	saχnisi
სახოტბო	saχotʼbo
სახრახნისი	saχɾaχnisi
სახრჩობელა	saχɾtʃʰobeɫa
სახსრები	saχsɾebi
სახუმარო	saχumaɾo
სახუმაროდ	saχumaɾotʰ
სახურავი	saχuɾavi
საჯარო	sadʒaɾo
საჯაროობა	sadʒaɾooba
საჰაერო	sahaeɾo
საჰერცოგო	saheɾtsʰoɡo
სეგრეგაცია	seɡɾeɡatsʰia
სევდიანად	sevdianatʰ
სეზონურად	sezonuɾatʰ
სეზონური	sezonuɾi
სეირი	seiɾi
სეირნობს	seiɾnobs
სეისმოგრაფი	seismoɡɾapʰi
სეისმოლოგი	seismoɫoɡi
სეისმოლოგია	seismoɫoɡia
სეისმური	seismuɾi
სეკატორი	sekʼatʼoɾi
სეკვესტრი	sekʼʷestʼɾi
სეკრეტერი	sekʼɾetʼeɾi
სეკრეცია	sekʼɾetsʰia
სეკულარიზაცია	sekʼuɫaɾizatsʰia
სეკულარიზმი	sekʼuɫaɾizmi
სეკულარისტი	sekʼuɫaɾistʼi
სეკულარული	sekʼuɫaɾuli
სეკულარულობა	sekʼuɫaɾuɫoba
სელაპი	seɫapʼi
სელექტორი	selekʰtʼoɾi
სელექცია	selekʰtsʰia
სემანტიკური	semantʼikʼuɾi
სემაფორი	semapʰoɾi
სემესტრი	semestʼɾi
სემინარი	seminaɾi
სემინარისტი	seminaɾistʼi
სემიტური	semitʼuɾi
სენატორი	senatʼoɾi
სენდვიჩი	sendʷitʃʰi
სენიორა	senioɾa
სენიორი	senioɾi
სენიორიტა	senioɾitʼa
სენსაცია	sensatsʰia
სენსაციონალიზმი	sensatsʰionalizmi
სენსაციურად	sensatsʰiuɾatʰ
სენსაციური	sensatsʰiuɾi
სენსორული	sensoɾuli
სენსუალურად	sensuaɫuɾatʰ
სენსუალური	sensuaɫuɾi
სენტენცია	sentʼentsʰia
სენტიმენტურად	sentʼimentʼuɾatʰ
სეპარატისტი	sepʼaɾatʼistʼi
სეპარატორი	sepʼaɾatʼoɾi
სერავს	seɾafs
სერაფიმი	seɾapʰimi
სერბეთი	seɾbetʰi
სერგი	seɾɡi
სერგო	seɾɡo
სერენადა	seɾenada
სერვერი	seɾʷeɾi
სერვისი	seɾʷisi
სერთუკი	seɾtʰukʼi
სერი	seɾi
სერიალი	seɾiali
სერიოზულად	seɾiozuɫatʰ
სერიოზული	seɾiozuli
სერიოზულობა	seɾiozuɫoba
სერიულად	seɾiuɫatʰ
სერიული	seɾiuli
სერობა	seɾoba
სეროზულად	seɾozuɫatʰ
სეროზული	seɾozuli
სერჟანტი	seɾʒantʼi
სერფინგი	seɾpʰiŋɡi
სესხი	sesχi
სეტერი	setʼeɾi
სეტყვა	setʼχʼʷa
სექსუალობა	sekʰsuaɫoba
სექსუალურად	sekʰsuaɫuɾatʰ
სექსუალური	sekʰsuaɫuɾi
სექსუალურობა	sekʰsuaɫuɾoba
სექტანტური	sekʰtʼantʼuɾi
სექტემბერი	sekʰtʼembeɾi
სექტემბერმა	sekʰtʼembeɾma
სექტემბერს	sekʰtʼembeɾs
სექტორი	sekʰtʼoɾi
სექცია	sekʰtsʰia
სექციად	sekʰtsʰiatʰ
სექციამ	sekʰtsʰiam
სექციას	sekʰtsʰias
სექციებით	sekʰtsʰiebitʰ
სექციების	sekʰtsʰiebis
სექციებმა	sekʰtsʰiebma
სექციებს	sekʰtsʰiebs
სექციით	sekʰtsʰiitʰ
სექციის	sekʰtsʰiis
სექციური	sekʰtsʰiuɾi
სეხნია	seχnia
სვავი	sʷavi
სვაზილენდი	sʷazilendi
სვამენ	sʷamen
სვამს	sʷams
სვანეთი	sʷanetʰi
სვანი	sʷani
სვანიძე	sʷanidze
სვანური	sʷanuɾi
სვასტიკა	sʷastʼikʼa
სველი	sʷeli
სვეტებიანი	sʷetʼebiani
სვეტი	sʷetʼi
სვეტიცხოველი	sʷetʼitsʰχoveli
სვეცკი	sʷetsʰkʼi
სვია	sʷia
სვირინგი	sʷiɾiŋɡi
სვიტერი	sʷitʼeɾi
სვიტრი	sʷitʼɾi
სვლა	sʷɫa
სთხოვს	stʰχofs
სიადვილე	siadʷile
სიამაყე	siamaχʼe
სიანცე	siantsʰe
სიარული	siaɾuli
სიასამური	siasamuɾi
სიაშკარავე	siaʃkʼaɾave
სიახლე	siaχle
სიახლოვე	siaχɫove
სიბარიტი	sibaɾitʼi
სიბასრე	sibasɾe
სიბერე	sibeɾe
სიბილა	sibiɫa
სიბინძურე	sibindzuɾe
სიბლაგვე	sibɫaɡʷe
სიბოროტე	siboɾotʼe
სიბრაზე	sibɾaze
სიბრალული	sibɾaɫuli
სიბრალულით	sibɾaɫulitʰ
სიბრიყვე	sibɾiχʼʷe
სიბრმავე	sibɾmave
სიბრტყე	sibɾtʼχʼe
სიბრძნე	sibɾdzne
სიგამხდრე	siɡamχdɾe
სიგარა	siɡaɾa
სიგარეტი	siɡaɾetʼi
სიგრილე	siɡɾile
სიგრძე	siɡɾdze
სიდამწვრე	sidamtsʼʷɾe
სიდედრი	sidedɾi
სიდრი	sidɾi
სივერაგე	siveɾaɡe
სივიწროვე	sivitsʼɾove
სივრცე	sivɾtsʰe
სივრცელე	sivɾtsʰele
სივრცულად	sivɾtsʰuɫatʰ
სივრცული	sivɾtsʰuli
სიზარმაცე	sizaɾmatsʰe
სიზმარი	sizmaɾi
სითბური	sitʰbuɾi
სითეთრე	sitʰetʰɾe
სითხე	sitʰχe
სიკარგე	sikʼaɾɡe
სიკვდილად	sikʼʷdiɫatʰ
სიკვდილი	sikʼʷdili
სიკვდილით	sikʼʷdilitʰ
სიკვდილის	sikʼʷdilis
სიკვდილმა	sikʼʷdilma
სიკვდილს	sikʼʷdils
სიკომორო	sikʼomoɾo
სიკოხტავე	sikʼoχtʼave
სილა	siɫa
სილაბური	siɫabuɾi
სილამაზე	siɫamaze
სილიციუმი	silitsʰiumi
სიმაგრე	simaɡɾe
სიმამაცე	simamatsʰe
სიმამრი	simamɾi
სიმარდე	simaɾde
სიმართლე	simaɾtʰle
სიმარჯვე	simaɾdʒʷe
სიმაღლე	simaʁle
სიმაძღრე	simadzʁɾe
სიმახინჯე	simaχindʒe
სიმბოლიზაცია	simbolizatsʰia
სიმბოლო	simboɫo
სიმბოლურად	simboɫuɾatʰ
სიმბოლური	simboɫuɾi
სიმდიდრე	simdidɾe
სიმეტრია	simetʼɾia
სიმეტრიულად	simetʼɾiuɫatʰ
სიმეტრიული	simetʼɾiuli
სიმკაცრე	simkʼatsʰɾe
სიმკვეთრე	simkʼʷetʰɾe
სიმკვირცხლე	simkʼʷiɾtsʰχle
სიმკრთალე	simkʼɾtʰale
სიმლაშე	simɫaʃe
სიმპათიური	simpʼatʰiuɾi
სიმპტომატურად	simpʼtʼomatʼuɾatʰ
სიმპტომატური	simpʼtʼomatʼuɾi
სიმრავლე	simɾavle
სიმრგვალე	simɾɡʷale
სიმრუდე	simɾude
სიმტკიცე	simtʼkʼitsʰe
სიმულანტი	simuɫantʼi
სიმულაცია	simuɫatsʰia
სიმფონიური	simpʰoniuɾi
სიმღერა	simʁeɾa
სიმღერად	simʁeɾatʰ
სიმღერამ	simʁeɾam
სიმღერას	simʁeɾas
სიმღერით	simʁeɾitʰ
სიმღერის	simʁeɾis
სიმყარე	simχʼaɾe
სიმყიფე	simχʼipʰe
სიმყრალე	simχʼɾale
სიმშვენიერე	simʃʷenieɾe
სიმშვიდე	simʃʷide
სიმშრალე	simʃɾale
სიმცირე	simtsʰiɾe
სიმძაფრე	simdzapʰɾe
სიმწარე	simtsʼaɾe
სიმწვავე	simtsʼʷave
სიმწვანე	simtsʼʷane
სიმწირე	simtsʼiɾe
სიმჭიდროვე	simtʃʼidɾove
სიმხდალე	simχdale
სიმხიარულე	simχiaɾule
სიმხნე	simχne
სიმხურვალე	simχuɾʷale
სინამდვილე	sinamdʷile
სინამდვილეში	sinamdʷileʃi
სინგაპური	siŋɡapʼuɾi
სინდისიერი	sindisieɾi
სინდიყი	sindiχʼi
სინდრომი	sindɾomi
სინთეზატორი	sintʰezatʼoɾi
სინთეთიკურად	sintʰetʰikʼuɾatʰ
სინიორა	sinioɾa
სინიორი	sinioɾi
სინოლოგია	sinoɫoɡia
სინონიმური	sinonimuɾi
სინოპტიკურად	sinopʼtʼikʼuɾatʰ
სინოპტიკური	sinopʼtʼikʼuɾi
სინორი	sinoɾi
სინტაქსურად	sintʼakʰsuɾatʰ
სინტაქსური	sintʼakʰsuɾi
სინქრონია	siŋkʰɾonia
სინქრონულად	siŋkʰɾonuɫatʰ
სინქრონული	siŋkʰɾonuli
სინჯავს	sindʒafs
სინჯარა	sindʒaɾa
სირაკუზა	siɾakʼuza
სირანაშვილი	siɾanaʃʷili
სირაქლემა	siɾakʰlema
სირაძე	siɾadze
სირბილე	siɾbile
სირბილი	siɾbili
სირენა	siɾena
სირთულე	siɾtʰule
სირი	siɾi
სირია	siɾia
სირიული	siɾiuli
სირმა	siɾma
სიროფი	siɾopʰi
სირსველი	siɾsʷeli
სირცხვილი	siɾtsʰχʷili
სისავსე	sisafse
სისაწყლე	sisatsʼχʼle
სისირი	sisiɾi
სისრულე	sisɾule
სისტემატურად	sistʼematʼuɾatʰ
სისტემატური	sistʼematʼuɾi
სისწორე	sistsʼoɾe
სისწრაფე	sistsʼɾapʰe
სისხლი	sisχli
სისხლიანი	sisχliani
სისხლისღვრა	sisχlisʁʷɾa
სისხლს	sisχls
სისხლსავსე	sisχlsafse
სისხლჩაქცევა	sisχltʃʰakʰtsʰeva
სისხლძარღვი	sisχldzaɾʁʷi
სიტლანქე	sitʼɫaŋkʰe
სიტუაცია	sitʼuatsʰia
სიტუაციურად	sitʼuatsʰiuɾatʰ
სიტუაციური	sitʼuatsʰiuɾi
სიტყვა	sitʼχʼʷa
სიტყვაგრძელი	sitʼχʼʷaɡɾdzeli
სიტყვაზე	sitʼχʼʷaze
სიტყვამრავლად	sitʼχʼʷamɾavɫatʰ
სიტყვამტავლად	sitʼχʼʷamtʼavɫatʰ
სიტყვარი	sitʼχʼʷaɾi
სიტყვაძუნწი	sitʼχʼʷadzuntsʼi
სიტყვიერი	sitʼχʼʷieɾi
სიუზერენი	siuzeɾeni
სიუცხოვე	siutsʰχove
სიუხეშე	siuχeʃe
სიუხვე	siuχʷe
სიფართოვე	sipʰaɾtʰove
სიფერმკრთალე	sipʰeɾmkʼɾtʰale
სიფიცხე	sipʰitsʰχe
სიფრთხილე	sipʰɾtʰχile
სიფრიფანა	sipʰɾipʰana
სიფხვიერე	sipʰχʷieɾe
სიფხიზლე	sipʰχizle
სიქვრივე	sikʰʷɾive
სიღარიბე	siʁaɾibe
სიღატაკე	siʁatʼakʼe
სიღნაღი	siʁnaʁi
სიღრმე	siʁɾme
სიყალბე	siχʼalbe
სიყვარული	siχʼʷaɾuli
სიყვარულით	siχʼʷaɾulitʰ
სიყვითლე	siχʼʷitʰle
სიყრმე	siχʼɾme
სიყრუე	siχʼɾue
სიშიშვლე	siʃiʃʷle
სიშორე	siʃoɾe
სიჩლუნგე	sitʃʰɫuŋɡe
სიჩუმე	sitʃʰume
სიჩქარე	sitʃʰkʰaɾe
სიცარიელე	sitsʰaɾiele
სიცელქე	sitsʰelkʰe
სიცივე	sitsʰive
სიცილი	sitsʰili
სიცილია	sitsʰilia
სიცილით	sitsʰilitʰ
სიცოცხლე	sitsʰotsʰχle
სიცრუე	sitsʰɾue
სიცუდე	sitsʰude
სიცხადე	sitsʰχade
სიცხარე	sitsʰχaɾe
სიცხე	sitsʰχe
სიცხოველე	sitsʰχovele
სიძლიერე	sidzlieɾe
სიძულვილი	sidzulʷili
სიწვრილე	sitsʼʷɾile
სიწრფელე	sitsʼɾpʰele
სიწყნარე	sitsʼχʼnaɾe
სიჭარბე	sitʃʼaɾbe
სიხალისე	siχalise
სიხარბე	siχaɾbe
სიხარული	siχaɾuli
სიხისტე	siχistʼe
სიხშირე	siχʃiɾe
სიჯანსაღე	sidʒansaʁe
სკანდალურად	skʼandaɫuɾatʰ
სკანდალური	skʼandaɫuɾi
სკანდინავიური	skʼandinaviuɾi
სკანერი	skʼaneɾi
სკაროსი	skʼaɾosi
სკაფანდრი	skʼapʰandɾi
სკეიტბორდინგი	skʼeitʼboɾdiŋɡi
სკეპტიკურად	skʼepʼtʼikʼuɾatʰ
სკეპტიკური	skʼepʼtʼikʼuɾi
სკეპტიციზმი	skʼepʼtʼitsʰizmi
სკერცო	skʼeɾtsʰo
სკვაზნიაკი	skʼʷazniakʼi
სკვერი	skʼʷeɾi
სკვინჩა	skʼʷintʃʰa
სკივრი	skʼivɾi
სკიპიდარი	skʼipʼidaɾi
სკიპტრა	skʼipʼtʼɾa
სკლეროზი	skʼleɾozi
სკოლა	skʼoɫa
სკოლად	skʼoɫatʰ
სკოლამ	skʼoɫam
სკოლას	skʼoɫas
სკორე	skʼoɾe
სკრინსეივერი	skʼɾinseiveɾi
სკრუპულოზულად	skʼɾupʼuɫozuɫatʰ
სკულპტურა	skʼulpʼtʼuɾa
სკულპტურული	skʼulpʼtʼuɾuli
სკუმბრია	skʼumbɾia
სლავთმცოდნეობა	sɫaftʰmtsʰodneoba
სლავი	sɫavi
სლავისტიკა	sɫavistʼikʼa
სლავური	sɫavuɾi
სლალომი	sɫaɫomi
სლენგი	sleŋɡi
სლოვაკეთი	sɫovakʼetʰi
სლოვაკელი	sɫovakʼeli
სლოვაკი	sɫovakʼi
სლოვაკური	sɫovakʼuɾi
სლოვენი	sɫoveni
სლოვენია	sɫovenia
სლოვენიელი	sɫovenieli
სლოვენური	sɫovenuɾi
სლოკინი	sɫokʼini
სმარტფონი	smaɾtʼpʰoni
სმენადაკარგული	smenadakʼaɾɡuli
სმენადაქვეითებული	smenadakʰʷeitʰebuli
სმოკინგი	smokʼiŋɡi
სმური	smuɾi
სნობურად	snobuɾatʰ
სნოუბორდინგი	snouboɾdiŋɡi
სოვდაგარი	sovdaɡaɾi
სოვერენი	soveɾeni
სოკრატული	sokʼɾatʼuli
სოლარიუმი	soɫaɾiumi
სოლიდარობა	solidaɾoba
სოლიდური	soliduɾi
სოლიტერი	solitʼeɾi
სოლოლაკი	soɫoɫakʼi
სომბრერო	sombɾeɾo
სომეხი	someχi
სომხეთად	somχetʰatʰ
სომხეთი	somχetʰi
სომხეთით	somχetʰitʰ
სომხეთის	somχetʰis
სომხეთმა	somχetʰma
სომხეთს	somχetʰs
სომხური	somχuɾi
სოპრანო	sopʼɾano
სორგო	soɾɡo
სოფლად	sopʰɫatʰ
სოფლური	sopʰɫuɾi
სოციალიზაცია	sotsʰializatsʰia
სოციალიზმი	sotsʰializmi
სოციალისტი	sotsʰialistʼi
სოციალისტური	sotsʰialistʼuɾi
სოციალურად	sotsʰiaɫuɾatʰ
სოციალური	sotsʰiaɫuɾi
სოციოეკონომიკური	sotsʰioekʼonomikʼuɾi
სოციოლინგვისტიკა	sotsʰioliŋɡʷistʼikʼa
სოციოლოგი	sotsʰioɫoɡi
სოციოლოგია	sotsʰioɫoɡia
სოციოლოგიურად	sotsʰioɫoɡiuɾatʰ
სოციოლოგიური	sotsʰioɫoɡiuɾi
სოხვი	soχʷi
სოხუმი	soχumi
სპაზმურად	spʼazmuɾatʰ
სპაზმური	spʼazmuɾi
სპარსეთი	spʼaɾsetʰi
სპარსი	spʼaɾsi
სპარსული	spʼaɾsuli
სპარტანული	spʼaɾtʼanuli
სპეკულაცია	spʼekʼuɫatsʰia
სპერმა	spʼeɾma
სპექტრალური	spʼekʰtʼɾaɫuɾi
სპექტრი	spʼekʰtʼɾi
სპექტროგრამა	spʼekʰtʼɾoɡɾama
სპეციალისტი	spʼetsʰialistʼi
სპეციალობა	spʼetsʰiaɫoba
სპეციალურად	spʼetsʰiaɫuɾatʰ
სპეციალური	spʼetsʰiaɫuɾi
სპეციფიკაცია	spʼetsʰipʰikʼatsʰia
სპეციფიკური	spʼetsʰipʰikʼuɾi
სპეციფიკურობა	spʼetsʰipʰikʼuɾoba
სპიდომეტრი	spʼidometʼɾi
სპიკერი	spʼikʼeɾi
სპილენძისფერი	spʼilendzispʰeɾi
სპილო	spʼiɫo
სპირალი	spʼiɾali
სპირალურად	spʼiɾaɫuɾatʰ
სპირალური	spʼiɾaɫuɾi
სპირიტისტი	spʼiɾitʼistʼi
სპირტი	spʼiɾtʼi
სპირტქურა	spʼiɾtʼkʰuɾa
სპიჩკა	spʼitʃʰkʼa
სპოილერი	spʼoileɾi
სპონსორი	spʼonsoɾi
სპონსორობა	spʼonsoɾoba
სპონტანურად	spʼontʼanuɾatʰ
სპონტანური	spʼontʼanuɾi
სპონტანურობა	spʼontʼanuɾoba
სპორა	spʼoɾa
სპორადულად	spʼoɾaduɫatʰ
სპორადული	spʼoɾaduli
სპორტი	spʼoɾtʼi
სპორტსმენი	spʼoɾtʼsmeni
სპორტულად	spʼoɾtʼuɫatʰ
სპორტული	spʼoɾtʼuli
სპრინტერი	spʼɾintʼeɾi
სრიალა	sɾiaɫa
სროლა	sɾoɫa
სრულად	sɾuɫatʰ
სრულდება	sɾuldeba
სრული	sɾuli
სრულიად	sɾuliatʰ
სრულყოფილად	sɾulχʼopʰiɫatʰ
სრულყოფილება	sɾulχʼopʰileba
სრულყოფილი	sɾulχʼopʰili
სრუტე	sɾutʼe
სსრ	ssɾ
სსრკ	ssɾkʼ
სტაბილიზაცია	stʼabilizatsʰia
სტაბილურად	stʼabiɫuɾatʰ
სტაბილურობა	stʼabiɫuɾoba
სტალაგმიტი	stʼaɫaɡmitʼi
სტალაქტიტი	stʼaɫakʰtʼitʼi
სტანდარტი	stʼandaɾtʼi
სტანდარტული	stʼandaɾtʼuli
სტაჟიორი	stʼaʒioɾi
სტარტერი	stʼaɾtʼeɾi
სტარტი	stʼaɾtʼi
სტატიად	stʼatʼiatʰ
სტატიკურად	stʼatʼikʼuɾatʰ
სტატიკური	stʼatʼikʼuɾi
სტატისტიკურად	stʼatʼistʼikʼuɾatʰ
სტატისტიკური	stʼatʼistʼikʼuɾi
სტაფილო	stʼapʰiɫo
სტაფილოსფერი	stʼapʰiɫospʰeɾi
სტაციონარული	stʼatsʰionaɾuli
სტელა	stʼeɫa
სტენოგრაფია	stʼenoɡɾapʰia
სტერეოსკოპი	stʼeɾeoskʼopʼi
სტერეოტიპი	stʼeɾeotʼipʼi
სტერეოტიპულად	stʼeɾeotʼipʼuɫatʰ
სტერეოტიპული	stʼeɾeotʼipʼuli
სტერილიზაცია	stʼeɾilizatsʰia
სტერილური	stʼeɾiɫuɾi
სტერლინგი	stʼeɾliŋɡi
სტვენა	stʼʷena
სტვენით	stʼʷenitʰ
სტვირი	stʼʷiɾi
სტილიზაცია	stʼilizatsʰia
სტილისტურად	stʼilistʼuɾatʰ
სტილისტური	stʼilistʼuɾi
სტიქარი	stʼikʰaɾi
სტიქიური	stʼikʰiuɾi
სტოიკურად	stʼoikʼuɾatʰ
სტოიკური	stʼoikʼuɾi
სტოიციზმი	stʼoitsʰizmi
სტომატოლოგი	stʼomatʼoɫoɡi
სტრასბურგი	stʼɾasbuɾɡi
სტრატეგი	stʼɾatʼeɡi
სტრატეგია	stʼɾatʼeɡia
სტრატეგიულად	stʼɾatʼeɡiuɫatʰ
სტრატეგიული	stʼɾatʼeɡiuli
სტრატოვულკანი	stʼɾatʼovulkʼani
სტრატოსფერო	stʼɾatʼospʰeɾo
სტრეპტოკოკი	stʼɾepʼtʼokʼokʼi
სტრიპტიზი	stʼɾipʼtʼizi
სტრონციუმი	stʼɾontsʰiumi
სტროფი	stʼɾopʰi
სტრუქტურა	stʼɾukʰtʼuɾa
სტრუქტურულად	stʼɾukʰtʼuɾuɫatʰ
სტრუქტურული	stʼɾukʰtʼuɾuli
სტუმართმოყვრულად	stʼumaɾtʰmoχʼʷɾuɫatʰ
სტუმარი	stʼumaɾi
სტუმრობა	stʼumɾoba
სუბიექტურად	subiekʰtʼuɾatʰ
სუბიექტური	subiekʰtʼuɾi
სუბიექტურობა	subiekʰtʼuɾoba
სუბორდინაცია	suboɾdinatsʰia
სუბსტანცია	substʼantsʰia
სუბსტრატი	substʼɾatʼi
სუბტროპიკები	subtʼɾopʼikʼebi
სუბტროპიკული	subtʼɾopʼikʼuli
სუდარა	sudaɾa
სუვენირი	suveniɾi
სუვერენული	suveɾenuli
სულგრძელად	sulɡɾdzeɫatʰ
სულგრძელი	sulɡɾdzeli
სულგრძელობა	sulɡɾdzeɫoba
სულელობა	suleɫoba
სულელურად	suleɫuɾatʰ
სულელური	suleɫuɾi
სულიერად	sulieɾatʰ
სულიერი	sulieɾi
სულმდაბლად	sulmdabɫatʰ
სუნთქავს	suntʰkʰafs
სუნთქვითი	suntʰkʰʷitʰi
სუპერბოროტმოქმედი	supʼeɾboɾotʼmokʰmedi
სუპერგმირი	supʼeɾɡmiɾi
სუპერვულკანი	supʼeɾʷulkʼani
სუპერკონტინენტი	supʼeɾkʼontʼinentʼi
სუპერმარკეტი	supʼeɾmaɾkʼetʼi
სუპერმენი	supʼeɾmeni
სუპერმოდელი	supʼeɾmodeli
სუპერძალა	supʼeɾdzaɫa
სურა	suɾa
სურავანდი	suɾavandi
სურავანდიანი	suɾavandiani
სურათი	suɾatʰi
სურამი	suɾami
სურვილი	suɾʷili
სურვილისამებრ	suɾʷilisamebɾ
სურინამი	suɾinami
სურნელები	suɾnelebi
სურნელი	suɾneli
სურნელოვანი	suɾneɫovani
სურო	suɾo
სუროსფერი	suɾospʰeɾi
სურს	suɾs
სურსათი	suɾsatʰi
სუსტად	sustʼatʰ
სუსხიანად	susχianatʰ
სუსხიანი	susχiani
სუტენიორი	sutʼenioɾi
სუფთად	supʰtʰatʰ
სუფრა	supʰɾa
სფერო	spʰeɾo
სფეროები	spʰeɾoebi
სფეროიდი	spʰeɾoidi
სფერული	spʰeɾuli
სფინქსი	spʰiŋkʰsi
სქემატურად	skʰematʼuɾatʰ
სქემატური	skʰematʼuɾi
სქოლასტიკა	skʰoɫastʼikʼa
სქოლასტიკოსი	skʰoɫastʼikʼosi
სქოლასტიკური	skʰoɫastʼikʼuɾi
სცენა	stsʰena
სცენარი	stsʰenaɾi
სცენარისტი	stsʰenaɾistʼi
სცენური	stsʰenuɾi
სცილდება	stsʰildeba
სძმარავს	sdzmaɾafs
სწავლა	stsʼavɫa
სწავლობს	stsʼavɫobs
სწერს	stsʼeɾs
სწორად	stsʼoɾatʰ
სწორედ	stsʼoɾetʰ
სწორი	stsʼoɾi
სწორკუთხა	stsʼoɾkʼutʰχa
სწორუპოვარი	stsʼoɾupʼovaɾi
სწორხაზოვანი	stsʼoɾχazovani
სწრაფად	stsʼɾapʰatʰ
სწრაფი	stsʼɾapʰi
სწრება	stsʼɾeba
სწყურია	stsʼχʼuɾia
სჭირდება	stʃʼiɾdeba
სხალტბა	sχaltʼba
სხდომა	sχdoma
სხეულები	sχeulebi
სხეული	sχeuli
სხეულის	sχeulis
სხვა	sχʷa
სხვაგვარად	sχʷaɡʷaɾatʰ
სხვადასხვა	sχʷadasχʷa
სხვადასხვაგვარად	sχʷadasχʷaɡʷaɾatʰ
სხვათაშორის	sχʷatʰaʃoɾis
სხვანაირად	sχʷanaiɾatʰ
სხვანაირი	sχʷanaiɾi
სხვაობა	sχʷaoba
სხვები	sχʷebi
სხვენი	sχʷeni
სხვისი	sχʷisi
სხივი	sχivi
სხივოსანი	sχivosani
სხივურად	sχivuɾatʰ
სხივური	sχivuɾi
სხმა	sχma
ტ	t̪ʼ
ტაბლო	tʼabɫo
ტაბულატორი	tʼabuɫatʼoɾi
ტაბურეტი	tʼabuɾetʼi
ტავერნა	tʼaveɾna
ტავტოლოგია	tʼaftʼoɫoɡia
ტავტოლოგიური	tʼaftʼoɫoɡiuɾi
ტაილანდი	tʼaiɫandi
ტაიური	tʼaiuɾi
ტაკელაჟი	tʼakʼeɫaʒi
ტალავერი	tʼaɫaveɾi
ტალანი	tʼaɫani
ტალანტი	tʼaɫantʼi
ტალახი	tʼaɫaχi
ტალახიანი	tʼaɫaχiani
ტალახისფერი	tʼaɫaχispʰeɾi
ტალღა	tʼalʁa
ტალღები	tʼalʁebi
ტალღოვანი	tʼalʁovani
ტამბური	tʼambuɾi
ტამბურინი	tʼambuɾini
ტანგო	tʼaŋɡo
ტანვარჯიში	tʼanʷaɾdʒiʃi
ტანკერი	tʼaŋkʼeɾi
ტანმოვარჯიშე	tʼanmovaɾdʒiʃe
ტანსაცმელი	tʼansatsʰmeli
ტანწერწეტა	tʼantsʼeɾtsʼetʼa
ტანჯავს	tʼandʒafs
ტარა	tʼaɾa
ტარაკანი	tʼaɾakʼani
ტარანტული	tʼaɾantʼuli
ტარბი	tʼaɾbi
ტარება	tʼaɾeba
ტარებადი	tʼaɾebadi
ტარი	tʼaɾi
ტარიგი	tʼaɾiɡi
ტარიფი	tʼaɾipʰi
ტარო	tʼaɾo
ტარსიკონი	tʼaɾsikʼoni
ტარსონი	tʼaɾsoni
ტარხუნა	tʼaɾχuna
ტაფელა	tʼapʰeɫa
ტაქომეტრი	tʼakʰometʼɾi
ტაქსომეტრი	tʼakʰsometʼɾi
ტაქტიანად	tʼakʰtʼianatʰ
ტაქტიკურად	tʼakʰtʼikʼuɾatʰ
ტაქტიკური	tʼakʰtʼikʼuɾi
ტაცება	tʼatsʰeba
ტაძარი	tʼadzaɾi
ტაძარმა	tʼadzaɾma
ტაძარს	tʼadzaɾs
ტაძრად	tʼadzɾatʰ
ტაძრით	tʼadzɾitʰ
ტაძრის	tʼadzɾis
ტახტი	tʼaχtʼi
ტბორი	tʼboɾi
ტევრი	tʼevɾi
ტელეგადაცემა	tʼeleɡadatsʰema
ტელეგრამა	tʼeleɡɾama
ტელეგრაფი	tʼeleɡɾapʰi
ტელეგრაფია	tʼeleɡɾapʰia
ტელეგრაფისტი	tʼeleɡɾapʰistʼi
ტელეგრაფიულად	tʼeleɡɾapʰiuɫatʰ
ტელეკონფერენცია	tʼelekʼonpʰeɾentsʰia
ტელეოლოგიური	tʼeleoɫoɡiuɾi
ტელესკოპურად	tʼeleskʼopʼuɾatʰ
ტელესკოპური	tʼeleskʼopʼuɾi
ტელეფონირება	tʼelepʰoniɾeba
ტელეწამყვანი	tʼeletsʼamχʼʷani
ტელუგუ	tʼeɫuɡu
ტელური	tʼeɫuɾi
ტემბრი	tʼembɾi
ტემპერამენტი	tʼempʼeɾamentʼi
