अंकगणित	əŋkəgəɳiːt̪
वाचवला	ʋɑːtɕəʋələ
वाचवली	ʋaːtɕʋəli
वाचवले	ʋaːtɕəʋlə
वाचवायचा	ʋaːtɕəʋajtɕə
वाचविणे	ʋɑːtɕəʋiɳe
वाचविण्याचे	ʋaːtɕəʋiɳjɛtɕe
वाचविण्यासाठी	ʋɑːtɕəʋiɳjɑːʈʰi
वाचविले	ʋɑːtɕəʋɪle
वाचवू	ʋaːtɕbuː
वाचवून	ʋaːtɕʋuːn
वाचाः	ʋaːtʃɑːh
वाचा	ʋaːtʃə
वाचायला	ʋaːtʃɑːjɑːlɑː
वाचाल	ʋaːtɕɑːl
वाचावा	ʋaːtʃɑːʋə
वाचावे	ʋaːtʃaːʋe
वाचिक	ʋaːtɕɪk
वाचू	ʋaːtɕuː
वाचून	ʋɑːtʃuːn̪
वाचेल	ʋatɕel
वाच्यता	ʋɑːtɕəta
वाजणारी	ʋaːdʒəɳaːɾiː
वाजण्याच्या	ʋaɟɲəɭʈʰə
वाजत	ʋaːdʒət̪
वाजता	ʋaːdʒt̪ə
वाजतोय	ʋaːdʒt̪oːj
वाजपेयी	ʋaːdʒpeːiː
वाजला	ʋaːdʒlə
वाजले	ʋaːdʒlə
वाजलेले	ʋaːdʒləle
वाजल्यानंतर	ʋaːdʒəl̪jɐn̪t̪əɾ
वाजल्यापासून	ʋaːdʒl̪jɑːpɑːs̪un̪
वाजवण्याचे	ʋaːdʒəɳəɭtʃe
वाजवण्याच्या	ʋaːdʒəɳəɭʲʈʰaː
वाजवण्यात	ʋaːdʒəʋɳjɑːt̪
वाजवत	ʋaːdʒəʋət̪
वाजवताना	ʋaːdʒəʋətaːna
वाजवली	ʋaːdʒəʋliː
वाजवायला	ʋaːdʒəʋaːjəlaː
वाजवीत	ʋaːdʒʋiːt̪
वाजवू	ʋaːdʒuː
वाजवून	ʋaːdʒəʋuːn
वाजायला	ʋaːdʒɑːjɑːlɑː
वाजू	ʋɑdʒuː
वाजून	ʋaːdʒuːn
वाजेपर्यंत	ʋaːdʒepəɾjənt̪
वाजेपासून	ʋaːdʒeːpaːsuːn
वाट	ʋɑːʈ
वाटचाल	ʋɑːʈʧɑːl
वाटचालीचा	ʋaːʈʧaːliːtʃa
वाटचालीत	ʋaːʈʈɕəliːʈ
वाटचालीसाठी	ʋɑːʈʃəliːsɑːʈʃiː
वाटण	ʋaːʈəɳ
वाटणं	ʋaːʈəɳə̃
वाटणार	ʋaːʈɳaːr
वाटणारच	ʋaːʈɳaːɾtʃ
वाटणारा	ʋaːʈɳaːrɑ
वाटणारी	ʋaːʈɳaːriː
वाटणारे	ʋaːʈɳaːɾe
वाटणार्या	ʋaːʈɳaːɾjɑː
वाटणाऱ्या	ʋaːʈɳaːɾjɑː
वाटणी	ʋaːʈɳiː
वाटणे	ʋaːʈɳe
वाटण्याची	ʋaːʈɳjəʧiː
वाटतं	ʋaːʈəɳ
वाटत	ʋaːʈʈə
वाटतच	ʋaːʈətʧʰ
वाटतदेखील	ʋaːʈtaːd̪eːkʰiːl
वाटतंय	ʋaːʈəɳɪ
वाटता	ʋaːʈta
वाटतात	ʋaːʈtaːt̪ə
वाटतील	ʋaːʈʈiːl
वाटते	ʋaːʈt̪e
वाटतेय	ʋaːʈʈeː
वाटतो	ʋaːʈto
वाटतोय	ʋaːʈʈoːj
वाटप	ʋɑːʈp̪
वाटय़ा	ʋaːʈjɑː
वाटय़ाला	ʋaːʈjɑːlɑː
वाटरप्रूफ	ʋaːʈəpɾuːf
वाटलं	ʋaːt̪əɭəɳ
वाटल	ʋɑːʈəl
वाटला	ʋaːʈlə
वाटली	ʋaːʈliː
वाटले	ʋaːt̪le
वाटलेलं	ʋaːt̪leːl̪ə̃
वाटल्या	ʋaːʈləɳ
वाटल्याने	ʋaːʈl̪jɛːn̪e
वाटल्यामुळे	ʋaːʈl̪jɑːmuɭ̆e
वाटल्यास	ʋaːʈʎaːs
वाटवे	ʋaːʈʋeː
वाटा	ʋaːt̪aː
वाटाघाटी	ʋaːʈaːgʱaːʈiː
वाटाडय़ा	ʋaːʈaːd̪jɑː
वाटाड्याच्या	ʋaːʈaːɖjəʈʈʰeː
वाटाणा	ʋaːʈaːɳaː
वाटायचं	ʋaːʈaːtɕəɳ
वाटायची	ʋaːʈaːtɕiː
वाटायचे	ʋaːʈaːtɕe
वाटायला	ʋaːʈaɪlə
वाटावं	ʋaːt̪aʋ̃
वाटांवर	ʋaːʈaːnʋaɾ
वाटावा	ʋaːʈaːʋaː
वाटावी	ʋaːtaːʋiː
वाटावे	ʋaːʈaʋe
वाटी	ʋaːʈiː
वाटीत	ʋaːʈit̪
वाटीभर	ʋaːʈiːbʱəɾ
वाटू	ʋaːtuː
वाटून	ʋaːtuːn
वाटे	ʋaːʈe
वाटेचा	ʋaːʈeʈə
वाटेत	ʋaːʈeʈ
वाटेतच	ʋaːʈeʈtʃ
वाटेतील	ʋaːt̪eːt̪iːl̪
वाटेने	ʋaːʈeːne
वाटेल	ʋaːt̪eːl̪
वाटेवर	ʋaːʈeʋəɾ
वाट्टेल	ʋɑːʈːel
वाट्याच्या	ʋaːʈʲəʧə
वाट्याला	ʋaːʈʲaːl̪aː
वाडकर	ʋaːɖkəɾ
वाडकरची	ʋaːɖkəɾtʃi
वाडकरच्या	ʋaːɖkəɾtɕiː
वाडकरने	ʋaːɖkəɾne
वांडरसेला	ʋɑːɳɖəɾs̪eːɭə
वाँडर्स	ʋɑ̃ɳɖəɾs
वाँडर्सच्या	ʋɑːɳɖəɾs̪tɕʰe
वाडा	ʋaːɖə
वाडाच्या	ʋaːɖətɕʰe
वाडाने	ʋaːɖəne
वाडी	ʋaːɖi
वाडीत	ʋaːɳiːt̪
वाडीतील	ʋaːɖiːt̪iːl̪
वाडीला	ʋaːɖiːlɑ
वाडे	ʋaːɖe
वाडेकर	ʋaːɖekəɾ
वाड्यात	ʋaːɖjət̪
वाड्यामध्ये	ʋaːɖʲaːmʤʰe
वाड्यावर	ʋaːɖʲəʋəɾ
वाढ	ʋaːɖ
वाढच	ʋaːɖʈ
वाढणं	ʋaːɖɳə̃
वाढणार	ʋaːɖɳaːr
वाढणारा	ʋaːɖɳaːɾə
वाढणारी	ʋaːɖɳaːriː
वाढणारे	ʋaːɖɳaːrɛ
वाढणाऱ्या	ʋaːɖɳaːɾjɑː
वाढणे	ʋaːɖɳe
वाढण्याचा	ʋaːɖɳjɑtʃə
वाढण्याची	ʋaːɖɳjəʧiː
वाढण्याचे	ʋaːɖɳjɑtʃe
वाढण्याबरोबरच	ʋaːɖɳjɑːbɾobɾtʃ
वाढण्यावर	ʋaːɖɳjəʋəɾ
वाढण्यास	ʋaːɖɳjas
वाढण्यासही	ʋaːɖɳjasʰi
वाढण्यासाठी	ʋaːɖɳjɑːʃt̪i
वाढण्यासाठीही	ʋaːɖɳjɑːʃt̪ʰiʰi
वाढतं	ʋaːɖəʈə̃
वाढत	ʋaːɖʈə
वाढतच	ʋaːɖət̪t̪ɕ
वाढता	ʋaːɖt̪ə
वाढतात	ʋaːɖʈaːt̪aː
वाढताना	ʋaːɖt̪aːn̪a
वाढती	ʋaːɖʈi
वाढतील	ʋaːɖʈiːl
वाढते	ʋaːɖt̪e
वाढतेच	ʋaːɖʈeʈʈʰe
वाढतेय	ʋaːɖʈeː
वाढतो	ʋaːɖto
वाढतोच	ʋaːɖtoʈʃ
वाढत्या	ʋaːɖt̪jɑ
वाढदिन	ʋaːɖɖin
वाढदिनी	ʋaːɖəɳi
वाढदिवशी	ʋaːɖɖiʋʃi
वाढदिवस	ʋaːɖɖiʋəs
वाढदिवसही	ʋaːɖɖiʋəsʰiː
वाढदिवसा	ʋaːɖɖiʋəsa
वाढदिवसाआधीच	ʋaːɖiɖʋəsɑːɖʱiː
वाढदिवसाचं	ʋaːɖɖiʋasaʈʈʌɳ
वाढदिवसाचा	ʋaːɖɖivɑsɑtʃə
वाढदिवसाची	ʋaːɖiʋəsətʃi
वाढदिवसाचे	ʋaːɖiʋəsaːtʃe
वाढदिवसाच्या	ʋaːɖɖiʋsaːtʃʰə
वाढदिवसादिवशी	ʋaːɖɖiʋɑsɑdiʋʃi
वाढदिवसानिमित्त	ʋaːɖɖiʋəsɑːnimit̪t̪
वाढदिवसाला	ʋaːɖɖiʋəsɑːlɑː
वाढदिवासाच्या	ʋaːɖɖivɑːsɑːtʃʰ
वाढलं	ʋaːɖəɭəɳ
वाढलंय	ʋaːɖəɭəɳ
वाढला	ʋaːɖɭə
वाढली	ʋaːɖliː
वाढलीय	ʋaːɖʎiː
वाढले	ʋaːɖɭe
वाढलेला	ʋaːɖleːlə
वाढलेली	ʋaːɖleːliː
वाढलेले	ʋaːɖleːle
वाढलेल्या	ʋaːɖlɛlʲɑː
वाढल्या	ʋaːɖʎə
वाढल्याचं	ʋaːɖʎəʧə
वाढल्याचे	ʋaːɖəɭjəʧe
वाढल्याने	ʋaːɖʎaːne
वाढल्यामुळे	ʋaːɖʎaːmuɭe
वाढल्यावर	ʋaːɖʎəʋəɾ
वाढल्यास	ʋaːɖʱljas
वाढवणार	ʋaːɖʋəɳaːr
वाढवणारी	ʋaːɖʋəɳaːriː
वाढवणारे	ʋaːɖʋəɳaːrɛ
वाढवणाऱ्या	ʋaːɖʋəɳaːrjaː
वाढवणे	ʋaːɖʋəɳe
वाढवण्याचा	ʋaːɖʋəɳjəʧə
वाढवण्याच्या	ʋaːɖʋəɳjəʧʰə
वाढवण्यात	ʋaːɖʋəɳjɑːt̪
वाढवण्यास	ʋaːɖʋəɳjɑs
वाढवण्यासाठी	ʋaːɖʋəɳjɑːʈʰi
वाढवण्यासाठीही	ʋaːɖʋəɳjɑːʃt̪iʰi
वाढवत	ʋaːɖʋət
वाढवता	ʋaːɖʋəta
वाढवतात	ʋaːɖʋətaːt̪
वाढवतील	ʋaːɖʋətiːl
वाढवते	ʋaːɖʋəte
वाढवतो	ʋaːɖʋəto
वाढवलं	ʋaːɖʋələɳ
वाढवला	ʋaːɖʋəla
वाढवली	ʋaːɖʋəli
वाढवले	ʋaːɖʋələ
वाढवा	ʋaːɖʋaː
वाढवायचा	ʋaːɖʋaːjʧə
वाढवायची	ʋaːɖʋaːjʧi
वाढवायचे	ʋaːɖʋaːjʧe
वाढवायला	ʋaːɖʋaːjə
वाढवावा	ʋaːɖʋaːʋaː
वाढवावी	ʋaːɖʋaːʋiː
वाढवावे	ʋaːɖʋaːʋe
वाढविणारा	ʋaːɖʋiɳaːr̩
वाढविणारे	ʋaːɖʋiɳaːrɛ
वाढविणाऱ्या	ʋaːɖʋiɳaːɾjɑː
वाढविण्याचा	ʋaːɖʋiɳjəʧə
वाढविण्याची	ʋaːɖʋiɳjəʨiː
वाढविण्याच्या	ʋaːɖʋiɳjəʧʰə
वाढविण्यात	ʋaːɖʋiɳjɑːt̪
वाढविण्याबरोबरच	ʋaːɖʋiɳjɑːbɾobɾtʃ
वाढविण्यावर	ʋaːɖʋiɳjaʋaɾ
वाढविण्यास	ʋaːɖʋiɳjas
वाढविण्यासाठी	ʋaːɖʋiɳjɑːʈʰi
वाढविण्यासाठीही	ʋaːɖʋiɳjaːɕʈʰiː
वाढविता	ʋaːɖʋiːt̪ə
वाढवितात	ʋaːɖʋɪt̪aːt̪
वाढविली	ʋaːɖʋiɭi
वाढविले	ʋaːɖʋile
वाढवू	ʋaːɖʋuː
वाढवून	ʋaːɖʋuːn
वाढवेन	ʋaːɖʋeːn
वाढही	ʋaːɖʱi
वाढायला	ʋaːɖʌjəɭə
वाढावा	ʋaːɖʌwa
वाढावी	ʋaːɖʱaviː
वाढी	ʋaːɖiː
वाढीचा	ʋaːɖiːtʃə
वाढीची	ʋaːɖiːtʃiː
वाढीच्या	ʋaːɖiːtʃjɑː
वाढीला	ʋaːɖʱiːl̪a
वाढीवर	ʋaːɖʐiʋəɾ
वाढीस	ʋaːɖiːs
वाढीसाठी	ʋaːɖiːsaːtʃi
वाढू	ʋaːɖuː
वाढून	ʋaːɖuːn
वाढेल	ʋaːɖʰeːl
वाणिज्य	ʋaːɳidʒj
वाणी	ʋaːɲiː
वाणीने	ʋaːɲiːne
वात	ʋɑːt̪
वाताचे	ʋaːtaːtʃeː
वाताच्या	ʋaːtaːtɕʰeː
वातानुकुलित	ʋɑːt̪ɑːnʊkʊlɪt̪
वातानुकूलित	ʋɑːt̪ɑːnukulɪt̪
वातामुळे	ʋɑːt̪ɑːmuɭ̆e
वातारण	ʋɑːtɑːɾɑːɳ
वातावरण	ʋɑːt̪ɑːʋrɑːɳ
वातावरणच	ʋɑːt̪ɑːʋrɑɳtʃʰ
वातावरणनिर्मिती	ʋɑːt̪ɑːʋrɑɳn̪iːɾmiːt̪iː
वातावरणही	ʋɑːt̪ɑːʋrɑɳɦiː
वातावरणाचा	ʋɑːt̪ɑːʋrɑɳɑtʃə
वातावरणाची	ʋɑːt̪ɑːʋrɑɳɑtʃi
वातावरणाचे	ʋɑːt̪ɑːʋrɑɳɑtʃe
वातावरणाच्या	ʋɑːt̪ɑːʋrɑɳɑtʃʰɑ
वातावरणात	ʋɑːt̪ɑːʋrɑːɳɑːt̪
वातावरणातच	ʋɑːt̪ɑːʋrɑːɳɑːʈʈɑː
वातावरणातही	ʋɑːt̪ɑːʋrɑːɳɑːt̪ʰi
वातावरणातील	ʋɑːt̪ɑːʋrɑːɳɑːt̪iːl̪
वातावरणातून	ʋɑːt̪ɑːʋrɑːɳɑːt̪uːn
वातावरणामध्ये	ʋɑːt̪ɑːʋrɑːɳɑːmɖʱe
वातावरणामुळे	ʋɑːt̪ɑːʋrɑːɳɑːmuɭe
वातावरणाला	ʋɑːt̪ɑːʋrɑːɳɑːlɑː
वातावरणाशी	ʋɑːt̪ɑːʋrɑːɳɑːʃiː
वात्सल्याचा	ʋɑːt̪səljɑːtʃə
वाद	ʋɑːd̪
वादक	ʋaːɖək
वादंग	ʋaːd̪əŋ
वादग्रस्त	ʋaːdgəɾəst̪
वादच	ʋɑːɖʈʈʰ
वादनिवारण	ʋaːd̪iʋaːɾəɳ
वादळ	ʋaːɖəɭ
वादळाचाच	ʋaːɖɭəʧəʧ
वादळाने	ʋaːɖəɭɑːne
वादळी	ʋaːɖəɭiː
वादळे	ʋaːɖəɭe
वादविवाद	ʋaːd̪əʋiːʋɑːd̪
वादविवादानंतर	ʋaːd̪ʋiʋaːd̪aːnt̪ɾ̩
वादही	ʋɑːdʱi
वादाचा	ʋaːɖɑtʃə
वादाची	ʋaːɖətʃi
वादाच्या	ʋaːdɑːtʃi
वादात	ʋaːd̪aːt̪
वादातही	ʋaːd̪aːt̪ʰiː
वादातून	ʋaːd̪aːt̪uːn̪
वादानंतर	ʋaːdaːn̪t̪əɾ
वादाने	ʋaːd̪aːne
वादाबद्दल	ʋaːd̪aːbɾɾəl
वादामध्ये	ʋaːd̪aːmʱɳʌɪ̯
वादामुळे	ʋaːdaːmuɭe
वादांमुळे	ʋaːd̪ɑːmʊɭ̆e
वादाला	ʋaːd̪aːlə
वादावर	ʋaːd̪ɑːʋəɾ
वादावरून	ʋaːd̪ɑːʋɾuːn
वादाविषयी	ʋaːd̪aːʋiʂjiː
वाद्य	ʋaːd̪ʋi
वाद्यांचा	ʋaːd̪jəɳtɕʰə
वाद्ये	ʋaːd̪jɛ
वांद्रे	ʋɑːnd̪ɾeː
वाधवानी	ʋɑːɖʋɑːniː
वानखेडे	ʋaːnkaʰeːɖe
वानखेडेची	ʋaːnkaʈeːtʃiː
वानखेडेवर	ʋaːnkaʈeʋaɾ
वानखेडेवरील	ʋaːnkaʈʰeːɖʋaːɾiːl
वानवा	ʋaːnʋaː
वापर	ʋaːpəɾ
वापरकर्ता	ʋaːpəɾkəɾt̪a
वापरकर्ते	ʋaːpəɾkəɾt̪e
वापरकर्त्यांची	ʋaːpəɾkəɾt̪jɑːtɕiː
वापरकर्त्याची	ʋaːpəɾkəɾt̪jəʨiː
वापरकर्त्यांसाठी	ʋaːpəɾkəɾt̪jɑːɳʃɪ
वापरणं	ʋaːpəɾəɳə̃
वापरणार	ʋaːpəɾəɳaːr
वापरणारी	ʋaːpəɾəɳaːɾiː
वापरणारे	ʋaːpəɾəɳaːɾe
वापरणाऱ्या	ʋaːpəɾəɳaːɾjɑː
वापरणाऱ्यांची	ʋaːpəɾɳaːɾjɑːtɕiː
वापरणाऱ्यांच्या	ʋaːpəɾəɳaːɾjɛːɳʈʰaː
वापरणाऱ्यांना	ʋaːpəɾəɳaːɾjɑːnə
वापरणाऱ्यांनाही	ʋaːpəɾəɳaːɾjɑːnɑːhiː
वापरणाऱ्यापर्यंत	ʋaːpəɾɳaːɾjɑːpəɾjəɳʈ
वापरणाऱ्यांसाठी	ʋaːpəɾəɳaːɾjɑːɳʈʈʰiː
वापरणे	ʋaːpəɾɳe
वापरण्याऐवजी	ʋaːpəɾɳjɑːɪʋdʒi
वापरण्याचं	ʋaːpəɾəɲʧəɳ
वापरण्याचा	ʋaːpəɾəɲɪtʃə
वापरण्याची	ʋaːpəɾəɳjəʧiː
वापरण्याचे	ʋaːpəɾɳjɛtʃe
वापरण्याच्या	ʋaːpəɳjəʧːə
वापरण्यात	ʋaːpəɾɳjɑːt̪
वापरण्यापेक्षा	ʋaːpəɾɳjɑːpeːkʂə
वापरण्याबद्दल	ʋaːpəɾɳjɑːbɑɖɖəl
वापरण्यास	ʋaːpəɾɳjɑs
वापरण्यासाठी	ʋaːpəɾɳjɑːʃɪtʃi
वापरत	ʋaːpəɾət̪
वापरता	ʋaːpəɾt̪ə
वापरतात	ʋaːpəɾt̪aːt̪
वापरताना	ʋaːpəɾt̪aːn̪ə
वापरते	ʋaːpəɾt̪e
वापरतो	ʋaːpəɾtoː
वापरलं	ʋaːpəɾəɭəɳ
वापरला	ʋaːpəɾəla
वापरली	ʋaːpəɾliː
वापरले	ʋaːpəɾlə
वापरलेला	ʋaːpəɾleːlə
वापरलेली	ʋaːpəɾləliː
वापरलेले	ʋaːpəɾləle
वापरलेल्या	ʋaːpəɾleɭjə
वापरल्या	ʋaːpəɾɭə
वापरल्याने	ʋaːpəɾləjɛːn̪e
वापरल्यामुळे	ʋaːpəɾləjɾʌmʌɭe
वापरल्यास	ʋaːpəɾəljas
वापरही	ʋaːpəɾʰiː
वापरा	ʋaːpəɾə
वापराची	ʋaːpəɾətʃi
वापराचे	ʋaːpaɾatʃe
वापराच्या	ʋaːpəɾəɕːiː
वापरात	ʋaːpəɾaːt̪
वापरातच	ʋaːpəɾɑːt̪t̪ɕ
वापरातल्या	ʋaːpəɾaːt̪ɭə
वापरातील	ʋaːpəɾaːt̪iːl̪
वापरानंतर	ʋaːpəɾənt̪əɾ
वापराने	ʋaːpəɾɑːne
वापराबरोबरच	ʋaːpɾəɭɭəɭɾoːɭɾəʈʈʃ
वापराबाबत	ʋaːpɾəlaːbət̪
वापरामुळे	ʋaːpəɾəmuɭe
वापरायचं	ʋaːpəɾɑjʈ
वापरायचा	ʋaːpəɾajtʃə
वापरायची	ʋaːpəɾaːtɕiː
वापरायचे	ʋaːpəɾɑːtɕe
वापरायला	ʋaːpəɾɑjɭə
वापराला	ʋaːpəɾɑːlə
वापरावं	ʋaːpəɾaʋə̃
वापरावर	ʋaːpaːɾaːʋaɾ
वापरावा	ʋaːpəɾaːʋaː
वापरावी	ʋaːpəɾaːʋiː
वापरावीत	ʋaːpəɾaːʋiːt̪
वापरावे	ʋaːpəɾaːʋe
वापरावेत	ʋaːpəɾaʋeːt̪
वापराव्या	ʋaːpəɾaʋjə
वापराव्यात	ʋaːpəɾaːʋjɑːt̪
वापरास	ʋaːpəɾaːs
वापरासाठी	ʋaːpəɾɑːʃɪʈʈi
वापरु	ʋaːpəɾu
वापरुन	ʋaːpəɾʊn
वापरू	ʋaːpəruː
वापरून	ʋaːpəruːn
वापरूनही	ʋaːpəruːnʱi
वाफ	ʋɑːpʰ
वाफवलेला	ʋəfəʋləleː
वाफवून	ʋəfʋuːn
वाफारा	ʋaːpʰaːrɑː
वाफाळत्या	ʋɑːpʰɑːɭ̆t̪jɑː
वाफाळलेला	ʋaɸɑːɭ̆leːɭ̆ə
वाफेने	ʋɑːpʰɛnɛ
वाफेमुळे	ʋaːpʰeːmuɭe
वामन	ʋɑːmən
वाय	ʋaːj
वाय	ʋai
वायकॉम	ʋaɪkɔːm
वायझेड	ʋai̯dʒeːd̪
वायदे	ʋaɳde
वायफळ	ʋaɪpʰɭəɭ
वायफाय	ʋai̯pʰai̯
वायफाय	ʋaɪpʰaɪ
वायफायचा	ʋaɪpʰaɪtʃə
वायफायच्या	ʋaɪpʰaɪtʃe
वायर	ʋair
वायरलेस	ʋair̪əl̪eːs̪
वाया	ʋaːja
वायू	ʋɑjuː
वार	ʋaːr
वारं	ʋaːɾə̃
वारकरी	ʋaːɾkɾiː
वारकऱ्यांच्या	ʋaːɾkəɾjɛːɳʈʰiː
वारणा	ʋaːɾəɳə
वारमध्ये	ʋaːɾʋaːɾʋaːɾʋaːɾ
वारली	ʋaːɾliː
वारंवार	ʋaːɾəɱʋaːɾə
वारशाने	ʋaːɾʃɑːne
वारसदार	ʋaːɾsəɖɑɾ
वारसा	ʋaːɾsə
वारसाही	ʋaːɾsɑːhiː
वारसी	ʋaːɾsiː
वारसीने	ʋaːɾsiːne
वारा	ʋaːɾə
वाराणसी	ʋaːɾaːɳɕiː
वारियर	ʋaːɾiːɾ
वारियरची	ʋaːɾiːɾtʃiː
वारियार	ʋaːɾiːjɑːɾ
वारी	ʋaːriː
वारीच्या	ʋaːɾiːtʃʰə
वारीमुळे	ʋaːɾiːmuɭe
वारीला	ʋaːɾiːlə
वारे	ʋaːre
वारेमाप	ʋaːɾeːmaːp
वार्डरोबमध्ये	ʋaːɾɖoːbəmʈʰeː
वार्धक्याची	ʋaːɾd̪ʱəkʲəʨʈiː
वार्धक्याला	ʋaːɾd̪ʱkjaːɭ̆aː
वाऱ्या	ʋaːɾjə
वाऱ्याचा	ʋaːɾjəʧə
वाऱ्याची	ʋaːɾjɑtʃiː
वाऱ्याच्या	ʋaːɾjəʧə
वाऱ्याने	ʋaːɾjɑːne
वाऱ्यावर	ʋaːɾjəʋaɾ
वाऱ्यासारखी	ʋaːɾjɑːsɑːɾkʰiː
वाऱ्यासारखे	ʋaːɾjɑːsɑːɾkʰe
वार्षकि	ʋaːɾʂkɪ
वार्षिक	ʋaːɾʂɪk
वाल	ʋaːl
वाला	ʋaːlə
वालावलकर	ʋaːlaːʋaːlkaːr
वाली	ʋəli
वाले	ʋale
वाल्मिकी	ʋaːlm̆ikiː
वाल्मीकी	ʋɑːl̪m̪iːk̪iː
वाळते	ʋaːɭ̆t̪e
वाळलेले	ʋaːɭ̆leːle
वाळलेल्या	ʋaːɭ̆leɭ̆jə
वाळल्यानंतर	ʋaːɭʎaːn̪t̪ɾ
वाळल्यावर	ʋaːɭʎəʋəɾ
वाळवणे	ʋɑːɭʋəɳe
वाळवताना	ʋaːɭʋət̪aːn̪ə
वाळवलेला	ʋɑːɭʋəlɛːɭə
वाळवलेल्या	ʋɑːɭʋəlɛː
वाळवा	ʋɑːɭʋɑː
वाळविण्यासाठी	ʋɑːɭʋiɳjɑːʃt̪ʰi
वाळवून	ʋɑːɭʋuːn
वाळू	ʋɑːɭuː
वाळूत	ʋɑːɭʊt̪
वाव	ʋaːʋ
वावगं	ʋaʋgəŋ
वावगे	ʋaːʋge
वावडं	ʋɑːʋɖə̃
वावर	ʋaːʋəɾ
वावरणारी	ʋaːʋrəɳaːɾiː
वावरणाऱ्या	ʋaːʋrəɳaːɾjɑː
वावरणे	ʋaːʋrəɳe
वावरण्याची	ʋaːʋəɾəɳjəʧiː
वावरण्यातून	ʋaːʋəɾəɳjɑːt̪uːn
वावरत	ʋaːʋəɾət̪
वावरता	ʋaːʋəɾt̪ə
वावरताना	ʋaːʋəɾt̪aːɳə
वावरतो	ʋaːʋəɾtoː
वावरतोय	ʋaːʋəɾtoːj
वावरली	ʋaːʋəɾliː
वावरले	ʋaːʋəɾlə
वावरायला	ʋaːʋəɾajlə
वाशी	ʋaːʃiː
वाशीहून	ʋaːʃiːɦuːn
वास	ʋaːs
वासना	ʋɑːs̪n̪ə
वासनेची	ʋɑːsneʈʧi
वासही	ʋaːsʰiː
वासिम	ʋaːsɪm
वासिमने	ʋaːsɪmnɛ
वासुदेव	ʋɑːsʊd̪eʋ
वासुदेवानंद	ʋaːsuɖeʋaːnɑːɳɖ
वासून	ʋaːsuːn
वासेपूर	ʋaːsepuːr
वास्तव	ʋaːst̪əʋ
वास्तवदर्शी	ʋaːsʈʋəd̪ɾɕiː
वास्तववादी	ʋaːsʈʋaʋaːɖi
वास्तवाची	ʋaːst̪əʋɑːtʃi
वास्तवात	ʋaːst̪əʋaːt̪
वास्तवातील	ʋaːs̪t̪əʋaːt̪iːl̪
वास्तवाशी	ʋaːst̪əʋaːɕiː
वास्तविक	ʋaːst̪ʋik
वास्तविकता	ʋaːst̪ʋikɾəɾə
वास्तव्य	ʋaːsʈʋi
वास्तव्यात	ʋaːsʈʋaːt̪
वास्तव्यामुळे	ʋaːs̪t̪əʋjɑːmuɭe
वास्तू	ʋaːst̪uː
वास्तूच्या	ʋaːsʈuʈʰaː
वास्तूत	ʋaːs̪t̪uːt̪
वास्तूवर	ʋaːs̪t̪uʋaɾ
वास्प	ʋɑːsp̪
वाह	ʋaː
वाहक	ʋaːɦək
वाहणारा	ʋaːɳəɾə
वाहणारी	ʋaːɳaːɾiː
वाहणाऱ्या	ʋaːɳaɾjɑː
वाहणे	ʋaːɳe
वाहण्यास	ʋaːɳjɑs
वाहण्यासाठी	ʋaːɳjɑːʃt̪i
वाहत	ʋaːt̪ʰ
वाहताना	ʋaːɦt̪aːn̪ə
वाहतुक	ʋaːɦʈuk
वाहतुकीचे	ʋaːʈʊkiːtʃe
वाहतुकीच्या	ʋaːʈʊkiːtʃʰə
वाहतुकीमुळे	ʋaːʈʊkiːmuɭe
वाहतूक	ʋaːtuk
वाहते	ʋaːʈe
वाहतो	ʋaːʈo
वाहनं	ʋaːɦən̪
वाहन	ʋɑːɦən
वाहनचालक	ʋaːɦəɳtɕaːlək
वाहनांचा	ʋaːɦəɳəɳtɕə
वाहनांची	ʋaːɦənəɳtɕiː
वाहनाची	ʋaːɳətʃi
वाहनांचे	ʋaːɦəɳəɳtɕe
वाहनांच्या	ʋaːɳəɳʈʂiə
वाहनातून	ʋaːɦəɳəːt̪uːn̪
वाहनाने	ʋaːɦəɳəne
वाहनांमुळे	ʋaːɦəɳɑːmʊɭe
वाहनांसाठी	ʋaːɦənɑːsɑːʈʈi
वाहने	ʋaːɳe
वाहवा	ʋaːɦʋaː
वाहात	ʋaːɦaːt̪
वाहिनी	ʋaːɦiːni
वाहिनीकडून	ʋaːɦiɳiːkɖuːn
वाहिनीचा	ʋaːɦiɳitʃə
वाहिनीच्या	ʋaːɦiɳitʃjɑ
वाहिनीतर्फे	ʋaːɦiɳiːt̪ɾeːɸe
वाहिनीने	ʋaːɦiːɳe
वाहिनीपासून	ʋaːɦiːn̪iːpaːs̪un̪
वाहिनीला	ʋaːɦiːɳiːlaː
वाहिनीवर	ʋaːɦiːnɪʋəɾ
वाहिनीवरच	ʋaːɦiːnɪʋəɾtɕ
वाहिनीवरील	ʋaːɦiːnɪʋəɾiːl
वाहिनीवरून	ʋaːɦiːɳiʋəɾuːn
वाहिन्या	ʋaːɦiɳjɑː
वाहिन्यांकडे	ʋaːɦiɳjɑːŋkɑːɳɟe
वाहिन्यांचा	ʋaːɦiɳjɑːtɕə
वाहिन्यांची	ʋaːɦiɳjɑːtɕiː
वाहिन्यांच्या	ʋaːɦiɳjɔːtɕiː
वाहिन्यांत	ʋaːɦiɳjə̃ːʈ
