א	ʔ
מציף	maʦˈʦif
מציץ	ʦiˈts
מציצה	mitsitsə
מציצות	mitsitsot
מציצן	ʦimˈʦin
מציק	mitsˈik
מציקה	mitsˈikɑ
מציקים	mitsikim
מצית	maʦit
מציתים	mitsliˈθim
מצליח	maʦliːχ
מצליחה	maʦliˈχa
מצליחות	ʦmiˈloːxot
מצליחים	maʦliˈχim
מצליחין	maʦliˈχin
מצליף	ʦemˈtslif
מצלם	mitsalem
מצלמה	ʦemˈtsalmo
מצלמות	maʦloːt
מצלמים	mitslamim
מצלמת	maʦlamot
מצלצל	mitsalˈtsal
מצלצלים	mitsalˈtsalim
מצלצלת	mitsalˈtslet
מצמא	mitsˈma
מצמיד	mitsmið
מצמץ	ʦemˈʦeʃ
מצמצם	mitsmitsəm
מצמרר	ʦemˈʦɛrɛr
מצנח	mitsˈnɑχ
מצע	mitsˈʕ
מצעד	mitsˈʕad
מצעים	mitsˈʕim
מצער	maˈtseʁ
מצערות	mitsˈʕoret
מצערת	mitsˈʕaʁet
מצפה	maʦˈpɛ
מצפון	mitsˈfun
מצפוני	mitsfoˈni
מצפונך	maʦˈfonɛ
מצפות	mitsfoˈtuf
מצפייה	maʦfiːa
מצפים	maʦˈfiːm
מצפן	maʦˈpɛn
מצפצף	ʦefʦef
מצצה	mitsˈtsə
מצצת	tsˈtset
מצצתי	ʦetste
מצר	mitsɛr
מצרות	mitsˈʁot
מצרי	mitsˈɾi
מצריים	mitsˈɾajm
מצריך	maʦˈɾix
מצריכה	mitsriχɑ
מצרים	misˤrˤɑːjim
מצרים	mitsˈɾim
מצרית	mitsˈɾit
מצרך	mitsˈɾaχ
מצרכים	mitsɛʁχim
מצרפת	maʦˈʁaʦ
מק	mak
מקאליסטר	makalisˈtɛr
מקאן	maˈkan
מקארתור	makaːʁetʁ
מקארתי	makaːʁi
מקבוצה	makuʁva
מקבוצת	makuːtsat
מקביל	makaˈbil
מקבילה	makevila
מקבילים	makabilim
מקבל	makɛβel
מקבלות	makɑβɛloθ
מקבלי	makɑβli
מקבלים	makɑvlim
מקבלת	makaβalt
מקבץ	makɛβɛs
מקברייד	maˈkʁejd
מקבת	makeβet
מקגי	magi
מקגיוור	magiˈvɔr
מקגייוור	magijoʋʁ
מקגיל	magil
מקדונלד	makɛðoːnɛl
מקדונלדס	makɛðoːnlɛds
מקדחה	makədaχa
מקדים	maˈkɛdim
מקדימה	makdima
מקדימים	makədimim
מקדיר	makɛˈdiʁ
מקדיש	makdiʃ
מקדישה	makəðiʃa
מקדישים	makəðeʃim
מקדם	makɛmˈdɔm
מקדמה	makɛdmɑ
מקדמים	makədəmim
מקדמת	makədamit
מקדש	maˈkɛð
מקהלה	makeˈla
מקהלת	makelet
מקו	mako
מקובה	makuva
מקובל	makoβal
מקובלות	makovuletʃ
מקובלים	makovulmɛ
מקובלת	makoˈβelet
מקובע	makuʕa
מקודד	makoð
מקודם	makoðem
מקודש	maˈkoʃ
מקודשת	makoðeʃet
מקוה	makowa
מקווה	maˈqoʋe
מקווי	makuːvi
מקווים	maˈkvim
מקווין	maˈqvin
מקוון	maˈkuːn
מקוונים	makoˈvin
מקוונת	makoʔonet
מקוטע	makoteʕ
מקוי	makuj
מקול	makuːl
מקולומביה	makolumibja
מקולורדו	makuloruːðo
מקולל	makulal
מקוללים	makulallu
מקוללת	makulelet
מקולקל	makolakl
מקולקלים	makolaklam
מקולקלת	makolaklet
מקום	maˈkum
מקומה	makuːmɑ
מקומו	makomu
מקומות	makoːmɔtʃ
מקומט	makomet
מקומי	makuːmi
מקומיות	makomijot
מקומיים	makomimi
מקומית	makoˈtima
מקומך	maˈkomχ
מקומם	makomɔm
מקומנו	makoˈmono
מקועקע	makoˈʔa
מקוף	maˈkof
מקופל	makofal
מקופסת	makoˈpest
מקור	maˈkuʁ
מקורב	makuːrɛv
מקורד	makuːrð
מקורה	makuːra
מקורו	makuːrʊ
מקורות	makoroʁ
מקורי	makuri
מקוריות	makurijot
מקוריים	makurimi
מקורית	makuːˈrit
מקורמיק	makuːrmiːk
מקורקע	makoʁka
מקורקעת	makoʁkatse
מקושקשות	makoʃkoʃte
מקושקשת	makoʃkoʃ
מקושר	makoʃer
מקושרים	makoʃʁim
מקושרת	makoʃeret
מקטר	maˈkɛtɛr
מקטרת	makəteret
מקי	maki
מקיא	maˈkiʔa
מקיאה	makiʔa
מקיאים	maˈʔjam
מקיי	maki
מקייב	makiːv
מקיילה	makila
מקיים	makiːm
מקיימים	makijim
מקיימת	makiemtɑ
מקיין	maˈken
מקילומטר	makilo'metɾ
מקים	makiːm
מקימה	makima
מקימים	makimim
מקינטוש	makintoʃ
מקינלי	makinli
מקיף	maˈkif
מקיפה	makife
מקיפים	makifim
מקיר	maˈkir
מקיש	maˈkiʃ
מקל	makɛl
מקלאוד	makloːd
מקלארן	maklaren
מקלדת	makəleð
מקלה	makəla
מקלוני	makloni
מקלות	maklotes
מקלחות	maklaχot
מקלחת	maklaħat
מקלט	maˈkɛlt
מקליד	makelið
מקליט	maklit
מקליטה	makliθa
מקליטים	maklitim
מקליין	maklajn
מקליע	makliʕ
מקליפורניה	maklifɔrˈniə
מקליש	makliʃ
מקלל	maklal
מקללת	makelet
מקלע	makleʕ
מקלעים	makleʕim
מקלקל	makalkal
מקמילן	makmilan
מקמנוס	makomonus
מקנא	maˈkna
מקנאה	makaneʔa
מקנאים	makənaʔim
מקנאת	makanat
מקנדה	makanɛða
מקנה	maˈkne
מקנולטי	makuːnɔlti
מקנזי	makɛnzi
מקנזס	makɛnzɛs
מקנלי	maknɛli
מקנמרה	makaˈnamera
מקס	maˈks
מקסוול	maχˈsɔvɛl
מקסי	maˈkʃi
מקסים	maˈksim
מקסימה	maχˈsima
מקסימום	maχsiˈmum
מקסימוס	maksi'muːs
מקסימות	maχsiˈmɔt
מקסימים	maksimim
מקסימלי	maxsimˈli
מקסימלית	maχsimitˈlit
מקסין	maχˈsin
מקסיקו	maˈkʃiko
מקסיקני	maksikini
מקסיקנים	maksikinim
מקסיקנית	maksikiniθ
מקף	makɛf
מקפיא	makfija
מקפיד	makpið
מקפיץ	makfiʦ
מקפירסון	makəfiɾsɔn
מקפץ	makefets
מקצב	makɑtsɛv
מקצה	maˈkæθe
מקצוע	makʦoʕ
מקצועי	makʦoʕi
מקצועיות	makʦoʕijot
מקצועיים	makʦoʕiːm
מקצועית	makʦoʕit
מקצוען	makʦoʕan
מקצועני	makʦoʔani
מקצוענים	makʦoʕanim
מקצוענית	makʦoʕeniθ
מקצת	makɪθat
מקק	makɛk
מקקים	maˈkɛm
מקרב	makarv
מקרה	maˈkʁa
מקרוב	makoˈʁov
מקרוני	makaˈroni
מקרטני	makaɾtni
מקרי	makeri
מקריא	makarija
מקריאה	makariʔa
מקריב	makaˈriv
מקריבים	makaribim
מקריות	makariot
מקרים	makaɾim
מקרין	makariːn
מקרינים	makaˈrin
מקרית	makerit
מקרן	maˈkɛrɛn
מקרקעין	makaˈʁejn
מקרקרת	makaʁaʁt
מקרר	makara
מקש	maʔeʃ
מקשה	makəʃa
מקשיב	makʃiv
מקשיבה	makʃiva
מקשיבים	maʔʃivim
מקשים	maχˈʃim
מקשקש	maʔʃaʃ
מקשקשת	makəʃakəʃe
מקשר	makʃer
מקשרים	makʃerim
מר	maʁ
מראה	maʁa
מראות	miroːt
מראיין	miːraˈjan
מראיינים	miːrajn
מראים	maˈrajim
מראש	maʁaʃ
מראשו	miʁaʃu
מראשי	miʁaʃi
מרב	maʁb
מרבה	maʁˈba
מרבי	maʁbi
מרבים	maʁβim
מרביץ	maɾˈvitʃ
מרביצה	maʁbiˈtsə
מרביצים	maʁbiˈtsim
מרבית	mariβet
מרג	maʁg
מרגו	maʁgo
מרגוט	maʁgot
מרגיז	maʁˈʒiz
מרגיזה	maʁgiˈza
מרגיע	maʁˈʒiʕ
מרגיעה	maʁgiˈʕa
מרגיש	maʁˈʒiʃ
מרגישה	maʁgiʃa
מרגישות	maʁgiʃut
מרגישים	maʁgiʃim
מרגל	maʁgɛl
מרגלים	maʁgɛl
מרגלת	maʁgalət
מרגמה	maʁgema
מרגע	maʁga
מרגרט	maʁgaʁet
מרגריט	maʁgaˈʁit
מרגריטה	maʁgeʁiˈtɑ
מרגריטות	maʁgaʁiˈtut
מרגש	maʁgaʃ
מרגשות	maʁguʃ
מרגשים	maʁgaʃim
מרגשת	maʁgeʃt
מרד	maʁd
מרדוק	maɾˈdok
מרדים	maɾidmi
מרדית	maʁdiθ
מרדכי	maɾˈdaχi
מרדף	maʁˈdaf
מרה	maʁa
מרהיב	maɾaˈhiːv
מרהיבה	maʁiva
מרהיבים	maɾaˈhivim
מרוב	maroːv
מרובה	maɾuva
מרובות	maroːβotes
מרובים	maɾoˈbim
מרובע	maroːβa
מרובעים	maroːβɑjm
מרובעת	maroˈvuɑθ
מרוגז	marogoze
מרוואן	maɾuʕan
מרווה	maʁˈve
מרווח	maɾoʔaχ
מרווחים	maɾovaχim
מרוויח	maʁviːχ
מרוויחה	maʁviχa
מרוויחים	maʁviːχim
מרווין	maʁˈvin
מרוח	maˈruːχ
מרוחות	maɾuχote
מרוחק	maroχɛk
מרוחקים	maɾuːχkim
מרוחקת	maroχɛt
מרוט	maɾot
מרוכז	maˈruχaz
מרוכזים	maɾoχˈzim
מרוכזת	maʁuχˈzet
מרומא	maˈruːma
מרומה	maroːmɑ
מרומם	maroːm
מרוני	maroni
מרוסיה	maɾosija
מרוסק	maɾosk
מרוסקת	maɾosket
מרופא	maʁuˈfa
מרופד	maʁofed
מרוץ	maˈʁots
מרוצה	maroˈtsə
מרוצי	maroːtsi
מרוצים	maɾotsim
מרוקו	maroku
מרוקן	maroken
מרוקנים	marokin
מרושל	maʁoʃɛl
מרושלת	maʁuʃlet
מרושע	maɾoʃa
מרושעות	maɾoʃaʕes
מרושעים	maɾoʃʕim
מרושעת	maɾoʃaʕa
מרושש	maɾoʃʃ
מרוששים	maʁoʃeʃim
מרוששת	maɾoʃeʃ
מרותק	maroːθek
מרותקים	maroːtikim
מרותקת	maroːtik
מרח	maʁaχ
מרחב	maʁχaʁ
מרחבי	maʁχavi
מרחוב	maʁaχov
מרחוק	maʁaχuʔ
מרחיב	maʁaχiv
מרחיק	maʁaχik
מרחיקה	maʁaχika
מרחיקים	mariχikim
מרחם	maʁaχm
מרחמים	maʁaχim
מרחמת	maʁamat
מרחף	maʁˈχaf
מרחפים	maʁaxˈfim
מרחפת	maʁˈχfat
מרחץ	maˈʁats
מרחק	maʁχɑk
מרחקים	maʁχaːqim
מרחרח	maʁχaχ
מרחרחים	maʁχaχʁim
מרטה	maʁˈte
מרטון	maʁˈton
מרטי	maʁti
מרטיב	maʁtiːv
מרטין	maʁtiːn
מרטינז	maʁtiˈnɛz
מרטיני	maʁtiˈni
מרטינס	maʁtiːnʃ
מרטל	maʁˈtel
מרטן	maʁˈtan
מרי	mari
מריאל	mariˈel
מריאן	marian
מריאנה	marijana
מריבה	mariˈva
מריבות	mariˈvet
מרידית	mariðit
מריה	maˈrija
מריו	maˈrio
מריון	marijon
מריוס	maˈʁjoʃ
מריח	mariχ
מריחה	mariˈχa
מריחואנה	maʁiˈχona
מריחות	mariˈχot
מריחים	maʁiˈχim
מריט	maɾit
מריל	mariːl
מרילה	marila
מרילין	mariˈlin
מרילנד	maɾiˈlanð
מרים	miːʁam
מרימה	marima
מרימים	marimim
מרין	maˈrin
מרינה	marina
מרינו	marino
מריס	maˈʁis
מריסה	maʁiˈsa
מריסול	maɾisolu
מריע	maʁiʕ
מריעים	mariʕim
מריץ	maˈʁits
מריצה	maritsa
מריצים	maɾitsim
מריק	miˈrik
מריר	mariːr
מרירה	mariʁa
מרירות	mariːʁit
מרכב	maɾχɑv
מרכבה	maʁˈχɑvɑ
מרכבת	maʁχaβet
מרכוס	maɾˈχos
מרכז	miˈʁaʃ
מרכזי	ˈmɛʁaʃ
מרכזיה	miʁˈʦaʁja
מרכזייה	miʁˈʦenja
מרכזיים	miʁˈʦaːjim
מרכזית	miʁˈʦaːnɪt
מרכיב	maʁχiv
מרכיבה	maʁχiva
מרכיבים	maʁχivim
מרכך	maʁˈχe
מרל	maʁel
מרלה	maʁla
מרלו	maʁlo
מרלוט	maʁloʔt
מרלון	maʁˈlon
מרלי	maʁˈli
מרלין	maʁˈlin
מרלן	maʁˈlan
מרמה	maʁamɑ
מרמז	maʁˈmaz
מרמזים	maʁmaˈzim
מרמזת	maʁamazat
מרמים	maʁaːmim
מרני	maʁni
מרס	maʁs
מרסדס	maʁˈsɛds
מרסי	maɾˈsi
מרסיה	maʁsiʔa
מרסל	maɾˈsel
מרסלוס	maʁsˈluʃ
מרסס	maʁsas
מרסק	maʁˈsɛk
מרסר	maʁˈsaʁ
מרעב	maˈʁav
מרעה	maˈreʔa
מרעיל	maʁaʕil
מרעיש	maʁˈʕiʃ
מרעישות	maʁaˈʃut
מרענן	maʁan
מרעננת	maʁɑnɑn
מרף	maʁef
מרפא	maʁˈfa
מרפאה	maʁpa
מרפאות	maʁpaˈot
מרפאים	maʁpaˈʔim
מרפאת	maʁpaʔ
מרפה	maʁˈpɑ
מרפי	maʁfi
מרפים	maʁfin
מרפסת	maʁpˈsɛt
מרפק	maʁˈpɛk
מרפקים	maʁˈpɛkim
מרץ	maʁets
מרצ	maʁˈts
מרצדס	maʁtsˈdes
מרצה	maʁˈθa
מרצון	maʁˈʦon
מרצונה	maʁtsˈʊna
מרצונו	maʁtsɔnʊ
מרצוני	maʁtsʊni
מרצונך	maʁtsɔnχ
מרצח	maʁˈtʃ
מרק	maʁek
מרקאטי	maʁkaˈti
מרקו	maʁˈko
מרקוס	maɾokos
מרקורי	maʁkuˈri
מרקחת	maʁkaχat
מרקט	maʁˈket
מרקיז	maʁkiːs
מרקם	maʁkam
מרקס	maʁkɛs
מרקר	maʁˈkaʁ
מרשה	maʁˈʃa
מרשות	maʁˈʃut
מרשי	maʁˈʃi
מרשים	maʁˈʃim
מרשימה	maʁʃima
מרשימות	maʁʃimates
מרשימים	maʁʃimim
מרשימת	maʁʃimɛt
מרשך	maʁˈʃax
מרשל	maʁˈʃel
מרשם	maʁˈʃam
מרשמים	maʁˈʃamim
מרשמלו	maʁʃˈmelo
מרשעת	maʁˈʃaʕ
מרשת	maʁˈʃet
מרשתי	maʁaˈʃet
מרת	maʁat
מרתה	maʁθa
מרתון	maɾaθon
מרתיח	maʁtiːχ
מרתיע	maʁtiʕ
מרתף	maʁtaf
מרתק	maɾatik
מרתקים	maʁatˈkɪm
מרתקת	maʁteket
מש	ʃ
םש	ʃ
משא	maʃa
משאב	maʃɑv
משאבה	maʃɑvɑ
משאבות	maʃaˈbot
משאבי	maʃavi
משאבים	maʃaːvim
משאבת	maʃaˈbet
משאי	maʃɑj
משאיות	maʃaˈit
משאיל	maʃˈʔil
משאיר	maʃaʔiʁ
משאירה	maʃaˈiʁa
משאירות	maʃajeret
משאירים	maʃaiːrim
משאית	maʃaʔit
משאלה	maʃaˈla
משאלות	maʃalot
משאלת	maʃalet
משאלתו	maʃaloθo
משאלתי	maʃaleti
משאלתך	maʃaleθ
משאני	maʃaːni
משאר	maʃɑr
משאת	maʃat
משאתה	maʃaθa
משב	maʃav
משבוע	maʃʋoʔ
משבועיים	maʃvaˈʔim
משבח	maʃbaχ
משבט	maʃbat
משביע	maʃviˈja
משבית	maʃˈbɪt
משבע	maʃbaʕ
משבר	maʃber
משברים	maʃbɛʁim
משבש	maʃbaʃ
משגיח	maʃˈgiχ
משגיחה	maʃgiˈχa
משגיחים	maʃgiˈχim
משגע	maʃga
משגעים	maʃgaʕim
משגעת	maʃgaʕa
משגר	maʃgɛr
משגשג	maʃgaʃg
משגשגים	maʃgaʃgim
משגשגת	maʃgaʃgat
משדה	maʃda
משדר	maʃˈdeʁ
משדרים	maʃˈdærim
משדרת	maʃdaˈteʁ
משה	maʃa
משהו	maʃɛu
משהו	maʃo
משהו	maʃu
משהוא	maʃa
משהיא	maʃa
משהיה	maʃˈja
משהייתי	maʃojat
משו	maʃo
משואה	maʃoʔa
משואת	ʃɔʔat
משוב	maʃɔv
משובח	maʃoˈbax
משובחים	maʃoˈβaχim
משובחת	maʃoˈbaχt
משובץ	maʃoˈbeʦ
משובש	maʃoˈbɛʃ
משוגע	maʃoge
משוגעות	ʃogeʕotʃo
משוגעים	maʃogeʕ
משוגעת	maʃoˈgat
משודר	ʃɔdeʁ
משודרת	maʃoˈdeʁe
משוואה	miʃwa
משוואות	maʃoˈʔot
משווה	maʃva
משווים	miʃviːm
משוויץ	maʃviʦ
משווע	maʃoʕ
משוחד	ʃoˈχeð
משוחדת	maʃoχda
משוחח	maʃoχ
משוחחים	maʃoˈχaχ
משוחחת	maʃoχaχ
משוחרר	maʃoˈχer
משוחררות	miʃoˈχɛʁot
משוחררים	ʃoˈχeʁim
משוחררת	miʃoˈχeʁet
משוטט	maʃotː
משוטטים	maʃoˈtɛt
משוטטת	maʃotːat
משוטים	maʃoˈtim
משוטר	miʃoʈer
משוך	maʃoχ
משוכלל	maʃoˈkel
משוכללת	maʃoˈχɛlɛt
משוכנע	maʃoˈχnaʕ
משוכנעים	maʃoχnaʕim
משוכנעת	maʃoχˈnaʕa
משולב	maʃoˈlɛv
משולבים	maʃoˈlevim
משולבת	maʃoˈlevet
משולחן	maʃoˈlaħen
משולם	maʃoːla
משולש	maʃoˈleʃ
משולשים	maʃoˈleʃ
משולשת	maʃoˈleʃe
משום	maʃom
משומן	maʃoˈman
משומקום	maʃoˈkum
משומר	ʃɔmeʁ
משומש	maʃoʃ
משומשות	maʃoˈmuʃot
משומשים	maʃoˈmaʃim
משומשת	maʃoˈmaʃt
משונה	maʃoˈna
משונות	maʃoˈnɛt
משונים	ʃɔn
משונן	maʃoˈnen
משועמם	maʃoˈʔam
משועממים	maʃoˈmɛmim
משועממת	maʃoʕmaʕmat
משוער	maʃoʕer
משופר	ʃɔfɛr
משוקולד	maʃoˈkɔɫd
משוריין	maʃoˈrin
משוריינת	maʃoˈrin
משורר	maʃoˈʁeʁ
משוררים	maʃoˈʁeʁ
משושלת	maʃoʃalət
משותף	maʃoˈθef
משותפות	miʃotˈfot
משותפים	maʃoˈθefim
משותפת	maʃoˈtef
משותק	maʃots
משותקת	maʃotˈsɛt
משזה	maʃe
משחד	maʃχad
משחה	maʃχa
משחזר	maʃχaˈzɛr
משחית	maʃˈχit
משחק	maʃχaʁ
משחקות	maʃχotu
משחקי	maʃχa
משחקים	maʃχaχim
משחקת	maʃχaχt
משחר	maʃχaʁ
משחרר	maʃχaˈʁeʁ
משחררים	maʃχaˈʁiːr
משחררת	miʃχaˈɾɛt
משחשבנו	maʃχaʃbɛnu
משחשבתי	maʃχaʃβaθi
משחת	maʃˈχat
משחתת	maʃχaθat
משטה	maʃte
משטח	maʃtaχ
משטחי	maʃtaχi
משטר	maʃtʁ
משטרה	miʃtaʁa
משטרה	miʃtˈʁa
משטרת	miʃtraθ
משטרתי	miʃtʁaʔi
משטרתיים	miʃtraˈtim
משטרתית	miʃtraˈθit
משי	maʃi
משיב	maʃiv
משיבים	miʃi'vim
משיג	maʃig
משיגה	maʃiga
משיגים	maʃigim
משיח	maːʃiːaħ
משיח	maʃiaħ
משיח	maʃiaχ
משיח	maʃiχ
משיח	mɔːʃiːæħ
משיח	mɔːʃiːjäħ
משיח	mɔʃiəχ
משיחה	maʃiχa
משיכה	miʃˈχa
משיכות	maʃiχot
משיכת	maʃiχat
משימה	miʃiˈma
משימוש	maʃhɔs
משימות	miʃiˈmos
משימת	miʃimˈt
משימתו	miʃimˈto
משימתי	miʃimˈti
משימתך	miʃimˈtæχ
משימתנו	miʃimˈtonu
משיעור	miʃjuʁ
משיעורי	miʃoˈri
משיקגו	maʃiˈkego
משירות	miʃaˈʁut
משירותי	miʃaˈʁut
משיש	maʃiʃ
משישה	maʃiʃa
משך	maʃχ
משכבה	maʃˈkavɑ
משכבו	maʃkɛvu
משכבך	maʃkɛvɛx
משכבר	maʃkɛvɛr
משכה	maʃχo
משכו	maʃχo
משכון	maʃˈχon
משכורות	maʃkoˈɾot
משכורת	maʃkoʁet
משכי	maʃki
משכיב	maʃˈkiv
משכיל	maʃˈχil
משכילה	maʃkila
משכיר	maʃˈχiʁ
משכך	maʃka
משככי	maʃkɛxi
משכל	maʃχɛl
משכן	maʃken
משכנו	maʃˈkono
משכנע	maʃkəˈna
משכנעים	maʃkəˈnaʕ
משכנעת	maʃkənaʕa
משכנתא	maʃkantä
משכנתא	miʃkɑnˈtɑ
משכנתאות	maʃkənɔtɔt
משכפל	maʃkɛfɛl
משכר	maʃχer
משכת	maʃket
משכתי	maʃketi
משל	maʃel
משלב	maʃɛl
משלה	miʃˈla
משלהם	maʃlaːm
משלו	maʃlo
משלוח	maʃloχ
משלוחי	maʃloχe
משלוחים	maʃloχim
משלוש	miʃloʃ
משלושה	miʃluˈxɑ
משלושים	maʃloˈʃim
משלושת	maʃloʃot
משלחת	miʃlaχat
משלי	maʃli
משליטה	maʃliˈta
משליך	maʃliχ
משליכה	maʃliχa
משליכים	maʃliχim
משלים	maʃlimu
משלימה	miʃlima
משלימים	maʃlajim
משלך	maʃlaχ
משלכם	maʃlaχem
משלם	maʃlam
משלמות	miʃlomot
משלמי	maʃlami
משלמים	miʃlamim
משלמת	miʃlomet
משלנו	maʃlonuː
משלשל	maʃlaʃla
משם	maʃam
משמאל	maʃˈmal
משמאלך	maʃmaˈlaχ
משמונה	maʃmoˈna
משמורת	maʃmoˈʁet
משמח	maʃmaχ
משמחה	maʃmaχa
משמחת	maʃmaχat
משמיד	maʃˈmið
משמידים	miʃmiˈdim
משמיים	maʃmajim
משמים	maʃmajim
משמין	maʃmiːn
משמיע	maʃmiʕ
משמיעה	maʃmiˈʕa
משמיעים	maʃmiˈʕim
משמע	maʃmaʕ
משמעו	maʃmaʕo
משמעות	maʃmaʕna
משמעותה	maʃmaˈva
משמעותו	maʃmaˈʕo
משמעותי	maʃmaʕali
משמעותיות	maʃmaʕijot
משמעותיים	maʃmaˈlajim
משמעותית	maʃmaʕiθit
משמעי	maʃmaʕi
משמעית	maʃmiˈʔit
משמעת	miʃmaʕat
משמר	maʃmaʁ
משמרות	maʃmaˈɾot
משמרת	maʃmaˈʁet
משמש	maʃmaʃ
משמשים	maʃmaʃim
משמשת	maʃmaʃt
משנדמה	maʃnedamɑ
משנה	miʃˈnɑ
משנות	maʃnoːt
משני	maʃni
משניהם	maʃˈnɛjhu
משניים	maʃˈnɛj
משניכם	maʃnixem
משנים	maʃˈnɛj
משנינו	maʃniːno
משנית	maʃˈniθ
משנת	maʃˈnaθ
משנתיים	maʃaˈnati
משעה	maʃa
משעמם	maʃʕammɔ
משעממות	maʃʕamot
משעממים	maʃʃaˈmim
משעממת	maʃmamɑt
משער	maʃˈʕar
משערים	maʃˈʕɛʁim
משערת	maʃaʁet
משעשע	maʃaʃa
משעשעים	maʃaˈʃaʕim
משעשעת	maʃaˈʃaʕ
משעתיים	maʃatim
משפ	maʃpʰ
משפחה	maʃpɑχɑ
משפחה	miʃpäχä
משפחות	maʃfaχot
משפחותיהם	maʃfaˈχoθeːm
משפחותינו	maʃfaˈχoteno
משפחת	maʃpaχat
משפחתה	maʃfaχa
משפחתו	maʃfaχaθo
משפחתי	maʃfaχaːti
משפחתיות	maʃfaχaˈtijot
משפחתיות	miʃpaχtijut
משפחתיים	maʃpaχaˈtim
משפחתית	maʃfaχti
משפחתך	maʃfaχaθ
משפחתם	maʃfaχaːtɛm
משפחתנו	maʃfaχaːtno
משפט	miʃpɑθ
משפטו	miʃpaθo
משפטי	miʃpaθi
משפטיות	miʃpaˈθit
משפטיים	miʃpaˈθim
משפטים	miʃpatim
משפטים	miʃpaˈθim
משפטית	miʃpaˈθit
משפיל	maʃfiːl
משפילה	maʃpiˈla
משפיע	maʃpʰiʕ
משפיעה	maʃpiˈʕa
משפיעות	maʃpiˈʕot
משפיעים	maʃpiˈʕim
משפך	maʃfaχ
משפצים	maʃpatsim
משפר	maʃpɛr
משפרת	maʃfeʁet
משפשף	maʃfaʃf
משציפיתי	maʃtsipˈhit
משק	maʃq
משקאות	maʃkaˈot
משקה	maʃkɑ
משקולות	maʃkoˈloʔ
משקולת	maʃkoˈlet
משקיע	maʃki
משקיעה	miʃkiˈʔa
משקיעים	maʃkiˈʔim
משקיף	maʃˈkif
משקל	maʃkal
משקלו	maʃkalo
משקעים	maʃkaʕim
משקף	maʃˈkɛf
משקפי	maʃkaˈfi
משקפיים	maʃkaˈpajm
משקפים	maʃkaˈpim
משקפת	maʃkefat
משקר	maʃˈkar
משקרות	maʃkaˈrot
משקרים	maʃˈkɪʁim
משקרת	maʃˈkɔʁt
משקשק	maʃkæʃk
משרד	miʃʁad
משרדה	maʃraða
משרדו	miʃˈʁad
משרדי	maʃʁadi
משרדים	maʃraðim
משרדית	maʃraˈdɪt
משרה	maʃa
משרוקית	maʃruˈkit
משרות	maʃroːt
משרת	maʃɛʁeθ
משרתו	miʃəˈro
משרתות	miʃeˈroθ
משרתי	miʃəreti
משרתים	maʃeʁeθim
משרתך	maʃeʁeʈ
משרתת	miʃəret
משש	maʃaʃ
משתבש	maʃtaˈbuʃ
משתבשים	miʃtaˈvuʃim
משתגע	maʃtaga
משתגעים	maʃtaˈgeʕ
משתגעת	maʃtaˈgaʕe
משתדל	maʃtaðel
משתדלים	miʃthedˈlim
משתדלת	miʃthedˈlet
משתה	maʃte
משתווה	maʃtoˈva
משתולל	maʃtoˈlol
משתוללים	miʃtɔlɛl
משתוללת	maʃtoˈlɛl
משתוקק	miʃtoqɛk
משתוקקים	maʃtokem
משתוקקת	miʃtokɛt
משתחרר	maʃtaˈχer
משתחררים	miʃtaˈχerim
משתחררת	miʃtaˈχʁet
משתי	maʃti
משתייך	maʃtiχ
משתין	maʃtiːn
משתינה	maʃtiˈna
משתינים	miʃtiˈnɔs
משתיק	maʃtiχ
משתכר	maʃtaχer
משתכרים	miʃtaˈχrim
משתכרת	maʃteχˈʁet
משתלב	maʃtaˈlev
משתלבים	miʃtɛlæv
משתלבת	maʃtɛlˈbɛt
משתלט	maʃtaɬ
משתלטים	maʃtˈlatim
משתלטת	maʃtˈlat
משתלם	miʃtˈlem
משתלמת	miʃtɛlɛmɛt
משתמש	miʃtaʃ
משתמשות	miʃtʃɛˈʃɛt
משתמשים	maʃtˈmeʃim
משתמשת	maʃtɛˈʃɛt
משתנה	miʃˈtæna
משתנות	miʃtaˈnɛs
משתנים	maʃtenim
משתנק	maʃθenq
משתעל	maʃtaʕ
משתעמם	maʃtaˈʕam
משתעממת	maʃtaˈmamt
משתעשע	maʃteʃeʕ
משתף	maʃtaf
משתפים	maʃtaːvim
משתפן	miʃtaˈpɛn
משתפר	maʃteˈfeʁ
משתפרים	miʃtaˈfɛrim
משתפרת	miʃtaˈfɛʁɛt
משתפת	miʃtaːfe
משתק	maʃtak
משתרע	maʃteˈʁeʕ
משתתף	maʃtaθf
משתתפים	miʃtaˈθim
משתתפת	miʃtaˈθet
מת	mat
םתא	matɑ
מתא	maθa
מתאבד	matɑːˈvɛd
מתאבדים	matɑˈbadim
מתאבדת	matɑvaβeð
מתאבל	matɑˈbel
מתאבלים	matɑˈvɛlmɪ
מתאבלת	matɑvalet
מתאבן	matɑˈven
מתאבנים	matɑvnim
מתאבק	matɑˈvik
מתאבקים	matɑˈvikim
מתאגרף	matɑgɛʁɛf
מתאגרפים	matɑgɑˈʁɑfim
מתאהב	matɑˈhuːv
מתאהבים	matɑhɑvim
מתאהבת	matɑhavɑt
מתאו	matɑː
מתאונת	matɑoːnɛt
מתאושש	matɔːʃ
מתאוששת	matɔʃʃet
מתאחדים	matɑχaˈdiːm
מתאי	matɑj
מתאים	matɑeːs
