一下咬指甲	liam˨˦mi˥˥ka˧˧tsiŋ˥˧kaʔ˨
大學畢業之後	tai˧˧hak˦tsʰut˨ɡiap˦liau˥˧au˧˧
大學畢業以後就要找工作做	tai˧˧hak˦pit˨ɡiap˦liau˥˧au˧˧to˧˧ai˨˩tsʰue˧˧tʰau˨˦lɔ˧˧
大家一定會曬得很黑	tak˦ke˥˥it˨tiŋ˧˧e˧˧pʰak˦kaʔ˨ɔ˥˥so˨˦so˨˦
大家一起過來吃飯	tak˦ke˥˥tsĩũ˧˧toʔ˨tsiaʔ˦pŋ˥˥
大家幫他分擔一點	lan˥˧ka˧˧i˥˥tau˨˩pun˥˥pʰẽ˥˥tam˧˧poʔ˨a˥˧
大家會分發到不同單位	tak˦ke˥˥e˧˧hun˥˥huat˨kʰi˨˩bo˨˦kaŋ˧˧e˨˦tan˥˥ui˧˧
大家都不知道他跑到哪裡去了	tak˦ke˥˥loŋ˥˧m˥˥tsai˥˥ĩã˥˧i˥˥tsau˥˧kʰi˨˩to˥˧ui˧˧
大家都分配得到	tak˦ke˥˥loŋ˥˧u˧˧tʰaŋ˥˥pun˥˥pʰẽ˥˥
大家都各奔東西了	toŋ˨˦hak˦loŋ˥˧si˨˩sũã˨˩kʰi˨˩aʔ˨
大家都知道他的手腳不乾淨，即指有偷竊的惡習	tak˦ke˥˥loŋ˥˧tsai˥˥ĩã˥˧i˥˥pʰãĩ˥˧tsʰiu˥˧dziau˥˧
大富由天安排，命中註定，小富則靠自已努力累積。即勸人不要心存野心，但要勤奮努力	tua˧˧pu˨˩iu˨˦thinn,1sio˥˧pu˨˩iu˨˦dzin˨˦
大後天	tua˧˧au˧˧dzit˦
大德	tai˧˧tik˨
大掃除的時候	tua˧˧pĩã˨˩sau˨˩e˨˦si˨˦
大月	tua˧˧ɡueʔ˦
大河沒有覆蓋。這句話多用於罵人去跳河自殺算了	tua˧˧kaŋ˥˧bo˨˦kʰam˨˩kua˨˩
大眼睛的新娘沒看見爐灶。諷刺一個人對於近在眼前的大目標，居然看不見	tua˧˧bak˦sin˥˥niu˨˦tsʰue˧˧bo˨˦tsau˨˩
大聲喊叫	tua˧˧sĩã˥˥kio˨˩
大衣裡面還要再穿一件毛衣才不會冷	hiu˨˦a˥˧lai˧˧bin˧˧ai˨˩koʔ˨ke˥˥tsʰiŋ˧˧tsit˦nia˥˧pʰoŋ˨˩se˥˥sã˥˥tsiaʔ˨be˧˧kũã˨˦
大量	tai˧˧lioŋ˧˧
大量生產才划算	tai˧˧lioŋ˧˧siŋ˥˥san˥˧tsiaʔ˨sǹg1e˧˧ho˨˦
天上	tʰĩ˥˥tiŋ˥˧
天下太平	tʰian˥˥ha˧˧tʰai˨˩piŋ˨˦
天亮了	tʰĩ˥˥kŋ˥˥aʔ˨
天啊	hɔʔ˨
天地顛倒，引申為違反常理	tʰĩ˥˥te˧˧tian˥˥to˨˩piŋ˥˧
天堂	tʰian˥˥toŋ˨˦
天天醉	tʰian˥˥tʰian˥˥tsui˨˩
天底下	tʰĩ˥˥kʰa˥˥e˧˧
天性	tʰian˥˥siŋ˨˩
天氣很冷	tʰĩ˥˥kʰi˨˩tsin˥˥kũã˨˦
天河	tʰian˥˥ho˨˦
天災	tʰian˥˥tsai˥˥
天神	tʰian˥˥sin˨˦
天神也無法做到滿足所有人的願望	tso˨˩tʰĩ˥˥ma˧˧be˧˧tiŋ˨˩tsiŋ˨˩laŋ˨˦i˨˩
天花板也要清一清	tʰian˥˥poŋ˨˦ma˧˧tioʔ˨tsʰiŋ˥˥tsʰiŋ˥˥leʔ˨
天那麼黑	tʰĩ˥˥hiaʔ˨ni˧˧a˥˧ɔ˥˥
太多了	sĩũ˥˥tse˧˧
夫君	hu˥˥kun˥˥
夫妻	aŋ˥˥a˥˧bɔ˥˧
夫妻一定要同心	hu˥˥hu˧˧tioʔ˨ai˨˩kaŋ˧˧sim˥˥
夫妻半夜在吵架	aŋ˥˥a˥˧bɔ˥˧pũã˨˩me˨˦teʔ˨uan˥˥ke˥˥
失勢	sit˨se˨˩
失去貞操	sit˨sin˥˥
失學	sit˨hak˦
失守	sit˨siu˥˧
失敗	sit˨pai˧˧
失敬	sit˨kiŋ˨˩
失眠	sit˨bin˨˦
失算	sit˨sǹg1
失約	sit˨iok˨
失血	sit˨hueʔ˨
失言	sit˨ɡian˨˦
失陪	sit˨pue˨˦
奇巧	ki˨˦kʰa˥˧
奏本	tsau˨˩pun˥˧
女大十八變	tsa˥˥bɔ˥˧ɡin˥˧a˥˧tsap˦peʔ˨pian˨˩
女婿是半子	kĩã˥˧sai˨˩si˧˧puan˨˩tsu˥˧
女子	lu˥˧tsu˥˧
女權	lu˥˧kʰuan˨˦
奴婢	lɔ˨˦pi˧˧
奴才	lɔ˨˦tsai˨˦
奸巧	kan˥˥kʰiau˥˧
好久不見	kiu˥˧kian˨˩kiu˥˧kian˨˩
好久不見了	tsin˥˥ku˥˧bo˨˦kĩ˨˩bin˧˧aʔ˨
好事不來	ho˥˧kʰaŋ˥˥e˨˦m˥˥lai˨˦
好事、好消息不來報喜	ho˥˧tai˧˧m˥˥tʰoŋ˥˥ti˥˥
好人	ho˥˧laŋ˨˦
好大的膽子	ho˥˧tua˧˧tã˥˧
好心	ho˥˧sim˥˥
好心的老闆	ho˥˧sim˥˥e˨˦tʰau˨˦ke˥˥
好處多多	put˨tsi˥˧a˥˧ho˥˧kʰaŋ˥˥
如今全完蛋了	tã˥˥loŋ˥˧hai˧˧liau˥˧liau˥˧aʔ˨
如果你要做研究	li˥˧na˧˧beʔ˨tso˨˩ɡian˥˧kiu˨˩
妻子的哥哥	lue˧˧hiŋ˥˥
妻子的姊妹	i˨˦a˥˧
婆婆	ta˥˥ke˥˥
婦人稱夫兄	tua˧˧peʔ˨a˥˧
婦女	hu˧˧li˥˧
媽媽一死	lau˧˧bu˥˧tsit˦e˧˧si˥˧
媽媽正在天井裡曬被子	a˥˥bu˥˧tŋ˥˥teʔ˨tʰĩ˥˥tsẽ˥˧lai˧˧pʰak˦pʰue˧˧
嫂子	so˥˧a˥˧
嬰兒無六月天。意為嬰兒抵抗力弱，容易感冒，即使在六月大熱天也要保暖，不得疏忽	aŋ˨˦ẽ˥˥a˥˧bo˨˦lak˦ɡueʔ˦tʰĩ˥˥
子弟	tsu˥˧te˧˧
子彈	tsʰiŋ˨˩tsi˥˧
孔子	kʰoŋ˥˧tsu˥˧koŋ˥˥
孝順的兒子。也指父母死後，居喪守孝的兒子	hau˨˩tsu˥˧
孩子王	ɡin˥˧a˥˧oŋ˨˦
孩子還小	ɡin˥˧a˥˧iau˥˧koʔ˨se˨˩han˨˩
孩子長大離家以後你就輕鬆了	ɡin˥˧a˥˧li˧˧kʰa˥˥tsʰiu˥˧i˥˧au˧˧li˥˧to˧˧kʰin˥˥saŋ˥˥aʔ˨
學期中	hak˦ki˨˦tioŋ˥˥
學生們每天都要去學校讀書	hak˦siŋ˥˥ɡin˥˧a˥˧tak˦kaŋ˥˥loŋ˥˧ai˨˩kʰi˨˩hak˦hau˧˧sioŋ˧˧kʰo˨˩
學音樂	oʔ˨im˥˥ɡak˦
安份守己	an˥˥hun˧˧siu˥˧ki˥˧
安打	an˥˥tã˥˧
安裝有鏡子的底座	kĩã˨˩tai˨˦
宋代有名的清官	pau˥˥koŋ˥˥
客人才會想來	laŋ˨˦kʰeʔ˨tsiaʔ˨e˧˧ai˨˩lai˨˦
宣布命令	ha˧˧liŋ˧˧
家家戶戶	ke˥˥ke˥˥hɔ˧˧hɔ˧˧
家裡	tsʰu˨˩lai˧˧
家裡面大小事情都是他在處理	tsʰu˨˩lai˧˧tua˧˧se˨˩haŋ˧˧tai˧˧tsi˨˩loŋ˥˧si˧˧i˥˥teʔ˨huat˦loʔ˨
寄放東西則可能會被揩油	kia˨˩miʔ˦e˧˧kiam˥˧
實在太不值得了	sit˦tsai˧˧tsin˥˥m˥˥tat˦
實在很沒用	sit˦tsai˧˧bo˨˦lɔ˧˧iŋ˧˧
實在很難看	sit˦tsai˧˧tsin˥˥pʰãĩ˥˧kʰũã˨˩sĩũ˨˩
實在是很可憐	sit˦tsai˧˧si˧˧kʰo˥˧lian˨˦tai˧˧
實在枉然	u˧˧kau˨˩liau˥˧dzian˨˦
實在讓人想不到	sit˦tsai˧˧hɔ˧˧laŋ˨˦sĩũ˧˧be˧˧kau˨˩
封面	tsʰeʔ˨pʰue˨˦
將才	tsioŋ˨˩tsai˨˦
專業的事情外行的人做不來	tsuan˥˥ɡiap˦e˨˦tai˧˧tsi˨˩ɡua˧˧haŋ˨˦e˨˦tso˨˩be˧˧lai˨˦
尊稱皇帝的母親	tʰai˨˩hio˧˧
對不對	tioʔ˨bo˨˦
對他人稱自己的妻子	lue˧˧dzin˨˦
小丑	sio˥˧tʰiu˥˧
小事化無。有息事寧人或避重就輕之意	sio˥˧su˧˧hua˨˩bo˨˦su˧˧
小事盡量化解成沒事	sio˥˧su˧˧hua˨˩bo˨˦su˧˧
小叔	sio˥˧tsik˨a˥˧
小叔叔明天晚上才會回來	ban˥˥tsik˨a˥˧bin˨˦a˥˧e˥˥hŋ˥˥tsiaʔ˨e˧˧tńg1lai˨˦
小妹謝謝大家對我的愛護	sio˥˧mue˧˧kam˥˧sia˧˧tak˦ke˥˥e˨˦tʰĩã˨˩sioʔ˨
小嬰兒哭得滿身大汗	aŋ˨˦ẽ˥˥a˥˧kʰau˨˩kaʔ˨tsit˦sin˥˥kʰu˥˥kũã˧˧
小孩子	ɡin˥˧a˥˧
小孩子不可以太頑皮	ɡin˥˧a˥˧laŋ˨˦m˥˥tʰaŋ˥˥sĩũ˥˥tsʰiu˥˧tsʰiŋ˨˩
小孩子不要坐在門檻上	ɡin˥˧a˥˧laŋ˨˦m˥˥tʰaŋ˥˥tse˧˧hɔ˧˧tiŋ˧˧
小孩子也看得懂	ɡin˥˧a˥˧laŋ˨˦ma˧˧kʰũã˨˩u˧˧
小孩子們正在玩陀螺	ɡin˥˧a˥˧tŋ˥˥teʔ˨pʰaʔ˨kan˥˥lok˨
小孩子吃飯不可以壞習慣	ɡin˥˧a˥˧laŋ˨˦tsiaʔ˦pŋ˥˥be˧˧sai˥˧pʰãĩ˥˧kʰuan˥˧
小孩子就大聲的哭	ɡin˥˧a˥˧to˧˧tua˧˧sĩã˥˥hau˥˧
小孩子拉的屎水水的	ɡin˥˧a˥˧paŋ˨˩e˨˦sai˥˧tsui˥˧tsui˥˧
小孩子會長大	ɡin˥˧a˥˧e˧˧tua˧˧
小孩子騎車要留意謹慎	ɡin˥˧a˥˧laŋ˨˦kʰia˨˦tsʰia˥˥ai˨˩sio˥˧sim˥˥
小提袋	ka˥˥tsi˨˩a˥˧
小旦	sio˥˧tũã˨˩
小浪	sio˥˧iŋ˥˧
少少的	tsio˥˧tsio˥˧a˥˧
就一定會成功	to˧˧it˨tiŋ˧˧e˧˧siŋ˨˦koŋ˥˥
就像要昏過去了	na˥˧tsʰĩũ˧˧beʔ˨hun˧˧kʰi˨˩aʔ˨
就先拿他的去用	siŋ˥˥tʰeʔ˦i˥˥e˨˦kʰi˨˩iŋ˧˧
就去找他當介紹人	li˥˧na˧˧beʔ˨be˥˧tsʰu˨˩to˧˧kʰi˨˩tsʰue˧˧i˥˥
就多方請人協助就業	to˧˧iaŋ˥˥sã˥˥tʰok˨si˨˩beʔ˨tsʰue˧˧tʰau˨˦lɔ˧˧
就是因為天氣太熱	to˧˧si˧˧tʰĩ˥˥kʰi˨˩sĩũ˥˥dzuaʔ˦
就是我姐姐	si˧˧ɡuan˥˧tsi˥˧a˥˧
就會天下太平了	to˧˧tʰian˥˥ha˧˧tʰai˨˩piŋ˨˦aʔ˨
就會生病	laŋ˨˦to˧˧pʰua˨˩pẽ˧˧
就算你不滿意	to˧˧sǹg1koŋ˥˧li˥˧bo˨˦tiŋ˨˩i˨˩
就算是天下大亂	tsun˥˧tso˨˩tʰĩ˥˥huan˥˧te˧˧luan˧˧
就能讓他吃半輩子了	to˧˧tʰiŋ˨˩ho˥˧tsiaʔ˦pũã˨˩si˨˩laŋ˨˦aʔ˨
就要把把手扶好	tsʰiu˥˧hũã˧˧a˥˧tioʔ˨ai˨˩hũã˧˧hɔ˧˧i˥˥ho˥˧
屋主	tsʰu˨˩tsu˥˧
屏東高樹出產棗子	pin˨˦toŋ˥˥e˨˦ko˥˥tsʰiu˧˧tsʰut˨san˥˧tso˥˧a˥˧
山上沒有牽自來水線路	sũã˥˥tiŋ˥˧bo˨˦kʰan˥˥tsui˥˧to˧˧
山上的夜晚	sũã˥˥tiŋ˥˧e˨˦am˨˩me˨˦
山水	san˥˥sui˥˧
山裡的姑娘要出嫁了。流行歌曲名	lai˧˧sũã˥˥kɔ˥˥niu˨˦beʔ˨tsʰut˨ke˨˩
工人	kaŋ˥˥laŋ˨˦
工作一下子就做完了	sit˨tʰau˨˦tsit˦kʰun˨˩a˥˧to˧˧tso˨˩liau˥˧aʔ˨
工作又不肯做	sit˨iu˧˧m˥˥tso˨˩
工作才完成不了	kʰaŋ˥˥kʰue˨˩tsiaʔ˨e˧˧tso˨˩be˧˧uan˨˦
工作的開端和結尾都要照顧好才行	kaŋ˥˥tʰau˨˦kaŋ˥˥bue˥˧loŋ˥˧ai˨˩kɔ˨˩hɔ˧˧ho˥˧
工尺	koŋ˥˥tsʰe˥˥
工廠	kaŋ˥˥tĩũ˨˦
工業	kaŋ˥˥ɡiap˦
工程	kaŋ˥˥tiŋ˨˦
左邊這個位子就讓給你坐	tua˧˧piŋ˨˦niu˧˧hɔ˧˧li˥˧tse˧˧
差多啦	tsʰa˥˥tse˧˧leʔ˨
巷口屋子起火	haŋ˧˧a˥˧kʰau˥˧hue˥˧sio˥˥tsʰu˨˩
巷底有人辦喪事在做法會	haŋ˧˧a˥˧te˥˧u˧˧laŋ˨˦pan˧˧soŋ˥˥su˧˧teʔ˨tso˨˩koŋ˥˥tik˨
布尺	pɔ˨˩tsʰioʔ˨
希望你不要反悔	hi˥˥baŋ˧˧li˥˧m˥˥tʰaŋ˥˥huan˥˧hiau˥˥
干支為甲子的年分	kaʔ˨tsu˥˧ni˨˦
干涉	kan˥˥siap˦
平仄	pĩã˨˦tseʔ˨
平常、不出色	piŋ˨˦huan˨˦
平手	pẽ˨˦tsʰiu˥˧
年老了就不像樣了	tsiaʔ˦lau˧˧m˥˥tsĩã˨˦ĩũ˧˧
年輕人不要去吸食毒品，不然會很嚴重	siau˨˩lian˨˦laŋ˨˦m˥˥tʰaŋ˥˥tsiaʔ˦tok,1na˧˧bo,5tai˧˧tsi˨˩e˧˧put˨tik˨liau˥˧
年輕的時候不會想	siau˨˩lian˨˦be˧˧hiau˥˧sĩũ˧˧
幸好有你出面，否則這件事情就做不成了	ho˥˧ka˥˥tsai˨˩u˧˧li˥˧tsʰut˨thau,5na˧˧bo,5tsit˨kĩã˧˧tai˧˧tsi˨˩to˧˧pan˧˧be˧˧siŋ˨˦aʔ˨
店裡顧客很多	tiam˨˩lai˧˧laŋ˨˦kʰeʔ˨tsin˥˥tse˧˧
廟公	bio˧˧koŋ˥˥
廢話少說	ke˥˥ue˧˧kiam˥˧koŋ˥˧kua˥˧
弓箭	kiŋ˥˥tsĩ˨˩
引導	in˥˧to˧˧
引誘	in˥˧iu˥˧
引誘小偷出來	in˥˧iu˥˧tsʰat˦a˥˧tsʰut˨lai˨˦
引起	in˥˧kʰi˥˧
引進新產品	kai˨˩siau˧˧sin˥˥san˥˧pʰin˥˧
弟子	te˧˧tsu˥˧
張大步伐快速走	tua˧˧pɔ˧˧kiŋ˥˥
強調很老	tsʰit˨lau˧˧peʔ˨lau˧˧
形容不留情面或者是不講情義	liok˨tsʰin˥˥put˨dzin˧˧
形容人多嘴雜	tsap˦tsʰui˨˩kau˥˧kʰa˥˥tsʰŋ˥˥
形形色色的人	tsap˦hue˥˥ɡɔ˧˧sik˨e˨˦laŋ˨˦
往南部去	lam˨˦ha˧˧
很便宜了	tsin˥˥siok˨aʔ˨
很多人圍觀	tsiok˨tse˧˧laŋ˨˦ui˨˦leʔ˨kʰũã˨˩
很多人嫁娶	tsin˥˥tse˧˧laŋ˨˦ke˨˩tsʰua˧˧
很難比較	tsin˥˥pʰãĩ˥˧pi˥˧kau˨˩
律師牌照一次就考到了	lut˦su˥˥pai˨˦tsit˦pai˥˧to˧˧kʰo˥˧kue˨˩
後代	au˧˧te˧˧
後天這裡要舉辦一場歌唱比賽	au˧˧dzit˦tsia˥˥beʔ˨ki˥˧hiŋ˨˦tsit˦tĩũ˨˦kua˥˥tsʰĩũ˨˩pi˥˧sai˨˩
得到這種頑症很難醫治	ti˨˩tioʔ˨tsit˨kʰuan˥˧pʰãĩ˥˧tsiŋ˨˩tʰau˨˦tsin˥˥pʰãĩ˥˧i˥˥
從井裡頭用水桶把水打上來	tsʰĩũ˧˧tsui˥˧
從前到現在、向來	tsiŋ˨˦kau˨˩tã˥˥
從天井看出去	tui˨˩tʰĩ˥˥tsẽ˥˧kʰũã˨˩tsʰut˨kʰi˨˩
從小父母就過世了	tsu˧˧se˨˩han˨˩pe˧˧bu˥˧to˧˧kue˨˩sin˥˥aʔ˨
從臺北坐高鐵到臺中最久是一個多小時	tui˨˩tai˨˦pak˨tse˧˧ko˥˥tʰiʔ˨kau˨˩tai˨˦tioŋ˥˥sioŋ˧˧ku˥˧si˧˧tsit˦tiam˥˧tʰoŋ˥˧tsiŋ˥˥
從這條大馬路一直走下去就到我家了	an˨˩tsit˨tiau˨˦tua˧˧lɔ˧˧tit˦tit˦kʰi˨˩to˧˧kau˨˩ɡuan˥˧tau˥˥aʔ˨
心臟	sim˥˥tsoŋ˧˧
必須多吃一些比較營養的食物	tioʔ˨ai˨˩ke˥˥tsiaʔ˦tsit˦kua˥˧kʰaʔ˨iŋ˨˦ioŋ˥˧e˨˦miʔ˦kĩã˧˧
必須要有充分的證據	tioʔ˨ai˨˩u˧˧tsʰioŋ˥˥hun˥˥e˨˦tsiŋ˨˩ki˨˩
快要散掉了	kioŋ˧˧beʔ˨sũã˨˩kʰi˨˩
怎麼今天又惡化了呢	si˧˧an˥˧tsũã˥˧kin˥˥a˥˧dzit˦koʔ˨huan˥˧tsiŋ˨˩
怎麼可以反悔	na˥˧e˧˧sai˥˧huan˥˧hue˥˧
怎麼就將棺木買好備用了	na˥˧e˧˧bue˧˧tsiŋ˨˦bue˧˧to˧˧ka˧˧tua˧˧siu˧˧be˥˧ho˥˧aʔ˨
怎麼無緣無故就打人呢	na˥˧e˧˧bo˨˦tai˧˧bo˨˦tsi˨˩ka˧˧laŋ˨˦pʰaʔ˨
怎麼說都不肯聽	sian˥˥koŋ˥˧to˥˥m˥˥tʰĩã˥˥
想不到他會為了利益而背叛大家	sĩũ˧˧be˧˧kau˨˩i˥˥e˧˧ui˧˧tioʔ˨li˧˧ik˨lai˨˦huan˥˧pue˧˧tsiŋ˨˩laŋ˨˦
想法和我們以往不同	sĩũ˧˧huat˨kaʔ˨ɡuan˥˧iŋ˥˧kue˨˩loŋ˥˧bo˨˦kaŋ˧˧
想要多買幾件新衣服	sĩũ˧˧beʔ˨ke˥˥be˥˧kui˥˧nia˥˧a˥˧sin˥˥sã˥˥
意指手臂被打斷了，痊癒之後反倒更強壯。比喻愈挫愈勇	pʰaʔ˨tŋ˥˥tsʰiu˥˧kut˨tian˥˥to˨˩ioŋ˥˧
意為天理昭彰，順天理而行，自有善報，何須風水庇蔭	tʰian˥˥li˥˧tsiau˥˥tsiau,1te˧˧li˥˧ho˨˦tsai˧˧
感謝主	kam˥˧sia˧˧tsu˥˧
懷古	huai˨˦kɔ˥˧
成熟母豬所生的第一胎小豬	tʰau˨˦tsui˥˧ti˥˥a˥˧
我一兩天沒去	ɡua˥˧tsit˦pũã˨˩dzit˦a˥˧bo˨˦kʰi˨˩
我一禮拜要上五天班	ɡua˥˧tsit˦le˥˧pai˨˩ai˨˩sioŋ˧˧pan˥˥ɡɔ˧˧kaŋ˥˥
我一輩子不曾做過對不起他人的事	ɡua˥˧tsit˦si˨˩laŋ˨˦m˥˥bat˨tso˨˩kue˨˩tui˨˩put˨kʰi˥˧pat˦laŋ˨˦e˨˦tai˧˧tsi˨˩
我丈夫	ŋɔ˥˧hu˥˥
我下次不敢了	ɡua˥˧e˧˧pai˥˧m˥˥kã˥˧aʔ˨
我不去	ɡua˥˧m˥˥kʰi˨˩
我不喜歡他做事情的方法	ɡua˥˧bo˨˦kaʔ˨i˨˩i˥˥tso˨˩tai˧˧tsi˨˩e˨˦hoŋ˥˥sik˨
我不小心把你們的玻璃杯打破了	ɡua˥˧bo˨˦tu˥˧ho˥˧suaʔ˨ka˧˧lin˥˧e˨˦po˥˥le˨˦pue˥˥a˥˧koŋ˨˩pʰua˨˩kʰi˨˩
我不是本地人	ɡua˥˧m˥˥si˧˧pun˥˧te˧˧laŋ˨˦
我不曾出過國	ɡua˥˧m˥˥bat˨tsʰut˨kok˨kue˨˩
我不曾欠別人帳	ɡua˥˧m˥˥bat˨teʔ˨ka˧˧laŋ˨˦kʰiam˨˩siau˨˩
我不會放過他	ɡua˥˧bo˨˦beʔ˨paŋ˨˩i˥˥kan˥˥hiu˥˥
我不管啦	laŋ˨˦m˥˥kuan˥˧laʔ˨
我不贊成你這種做法	ɡua˥˧huan˥˧tui˨˩li˥˧tsit˨kʰuan˥˧tso˨˩huat˨
我今天人不舒服	ɡua˥˧kin˥˥a˥˧dzit˦laŋ˨˦m˥˥tu˥˧ho˥˧
我今天很忙	ɡua˥˧kin˥˥a˥˧dzit˦bo˨˦iŋ˨˦
我今年就要入學去讀書了	ɡua˥˧kin˥˥ni˨˦to˧˧beʔ˨dzip˦oʔ˨kʰi˨˩tʰak˦tsʰeʔ˨aʔ˨
我今晚要去看電影	ɡua˥˧e˥˥hŋ˥˥beʔ˨kʰi˨˩kʰũã˨˩tian˧˧ĩã˥˧
我以為你要走了	ɡua˥˧kio˨˩si˧˧li˥˧beʔ˨tsau˥˧aʔ˨
我來分配你們大家的工作	ɡua˥˧lai˨˦hun˥˥pʰue˨˩lin˥˧tak˦ke˥˥e˨˦kʰaŋ˥˥kʰue˨˩
我來卜一下卦	ɡua˥˧lai˨˦pok˨tsit˦e˧˧a˥˧kua˨˩leʔ˨
我來引薦你們兩個認識	ɡua˥˧lai˨˦kai˨˩siau˧˧lin˥˧nŋ˥˥e˨˦sik˦sai˧˧
我來設法	ɡua˥˧lai˨˦sĩũ˧˧pan˧˧huat˨
我們也沒辦法	ɡuan˥˧ma˧˧bo˨˦huat˨tɔ˧˧
我們人壞事不要做	lan˥˧laŋ˨˦pʰãĩ˥˧tai˧˧tsi˨˩m˥˥tʰaŋ˥˥tso˨˩
我們住的這一帶	lan˥˧tua˨˩tsit˨kak˨ui˨˦a˥˧
我們家多得很	lan˥˧tau˥˥tsio˥˧kʰueʔ˨
我們家有開席宴客	ɡuan˥˧tau˥˥u˧˧pan˧˧toʔ˨tsʰĩã˥˧laŋ˨˦
我們家的冷氣昨晚壞了	ɡuan˥˧tau˥˥e˨˦liŋ˥˧kʰi˨˩tsa˥˥me˨˦pʰãĩ˥˧kʰi˨˩aʔ˨
我們少主人對我們這些僕役下屬都很好	ɡuan˥˧siau˨˩ia˨˦tui˨˩ɡuan˥˧tsit˨kua˥˧e˧˧kʰa˥˥tsʰiu˥˧laŋ˨˦loŋ˥˧tsin˥˥ho˥˧
我們已經說好了	lan˥˧i˥˧kiŋ˥˥pʰin˥˧ho˥˧aʔ˨
我們整個村子裡頭總共有五百戶人家	lan˥˧kui˥˥tsŋ˥˥tʰau˨˦loŋ˥˧tsoŋ˥˧u˧˧ɡɔ˧˧paʔ˨hɔ˧˧
我們會在這裡相遇	lan˥˧e˧˧ti˧˧tsia˥˥sio˥˥tu˥˧
我們的國家元首叫做總統	lan˥˧kok˨ka˥˥e˨˦ɡuan˨˦siu˥˧kio˨˩tso˨˩tsoŋ˥˧tʰoŋ˥˧
我們的工頭看起來還很年輕	ɡuan˥˧e˨˦kaŋ˥˥tʰau˨˦kʰũã˨˩kʰi˥˧lai˨˦iau˥˧koʔ˨tsin˥˥siau˨˩lian˨˦
我們要包禮慶賀他入新家	lan˥˧ai˨˩pau˥˥le˥˧ka˧˧i˥˥dzip˦tsʰu˨˩
我們要好好招呼客人	lan˥˧ai˨˩ho˥˧ho˥˧a˥˧tsiau˥˥tʰai˧˧laŋ˨˦kʰeʔ˨
我們要跟得上社會的改變	lan˥˧tioʔ˨ai˨˩tue˨˩e˧˧tioʔ˨sia˧˧hue˧˧e˨˦kai˥˧pian˨˩
我們要靠自己的能力拚出自己的前途	lan˥˧ai˨˩kʰo˨˩ka˥˥ki˧˧e˨˦lik˦lioŋ˧˧pĩã˨˩tsʰut˨lan˥˧ka˥˥ki˧˧e˨˦tsian˨˦tɔ˨˦
我們這個單位的人數不足	ɡuan˥˧tsit˨e˨˦tan˥˥ui˧˧e˨˦dzin˨˦uan˨˦bo˨˦kau˨˩
我們這個村莊的交通很不便利	ɡuan˥˧tsit˨e˨˦tsŋ˥˥tʰau˨˦e˨˦kau˥˥tʰoŋ˥˥tsin˥˥bo˨˦hoŋ˥˥pian˧˧
我們這條巷子昨天又遭小偷了	ɡuan˥˧tsit˨tiau˨˦haŋ˧˧a˥˧tsa˥˥hŋ˥˥iu˧˧koʔ˨tioʔ˨tsʰat˦tʰau˥˥aʔ˨
我們這群朋友已經認識十幾年了	ɡuan˥˧tsit˨tin˧˧hĩã˥˥ti˧˧i˥˧kiŋ˥˥sik˦sai˧˧tsap˦kui˥˧taŋ˥˥aʔ˨
我們這裡只有做批發生意	ɡuan˥˧tsia˥˥kan˥˥na˥˥tso˨˩tua˧˧be˧˧
我們都是彼此熟識的人	lan˥˧loŋ˥˧si˧˧sik˦sai˧˧laŋ˨˦
我做不完	ɡua˥˧tso˨˩be˧˧kʰi˨˩
我剛進門	ɡua˥˧tã˥˥a˥˧dzip˦mŋ˥˥
我半路遇到朋友很高興	ɡua˥˧pũã˨˩lɔ˧˧tu˥˧tioʔ˨piŋ˨˦iu,2tsin˥˥hũã˥˥hi˥˧
我去方便一下	ɡua˥˧lai˨˦kʰi˨˩hoŋ˥˥pian˧˧tsit˦e˧˧
我可以借你	ɡua˥˧e˧˧taŋ˨˩tsioʔ˨li˥˧
我在臺灣出生的	ɡua˥˧ti˧˧tai˨˦uan˨˦tsʰut˨si˨˩e˨˦
我大哥比我大三歲	ɡuan˥˧tua˧˧hĩã˥˥tua˧˧ɡua˥˧sã˥˥hue˨˩
我奶奶很喜歡煮冬菜鴨肉	ɡuan˥˧a˥˥ma˥˧tsĩã˨˦ai˨˩tsu˥˧taŋ˥˥tsʰai˨˩aʔ˨
我婆婆很疼我	ɡuan˥˧ta˥˥ke˥˥tsĩã˨˦tʰĩã˨˩ɡua˥˧
我媽媽最喜歡用半肥半瘦的肉下去滷	ɡuan˥˧a˥˥bu˥˧sioŋ˧˧ai˨˩iŋ˧˧pũã˨˩tsĩã˥˥peʔ˦e˨˦baʔ˨loʔ˨kʰi˨˩lɔ˥˧
我家魚缸裡的魚都死了	ɡuan˥˧tau˥˥hi˨˦tu˨˦a˥˧e˨˦hi˨˦a˥˧loŋ˥˧piŋ˥˧tɔ˧˧aʔ˨
我實在沒辦法分身來處理別人的事情	ɡua˥˧sit˦tsai˧˧bo˨˦huat˨tɔ˧˧hun˥˥sin˥˥lai˨˦tsʰu˥˧li˥˧pat˦laŋ˨˦e˨˦tai˧˧tsi˨˩
我實在沒辦法辨別	ɡua˥˧sit˦tsai˧˧bo˨˦huat˨tɔ˧˧hun˥˥piat˦
我專程來看你	ɡua˥˧tʰiau˥˥kaŋ˥˥lai˨˦kʰũã˨˩li˥˧
