-аж	ˈɑɹd
спиралось	spirˈɑɭʌs
спираль	spirali
спираль	spirˈɑɭ
спиральки	spirˈɑɭkɪ
спиральная	spirˈɑɭnʌja
спирально	spirˈɑɭnʌ
спирального	spirˈɑɭnʌvʌ
спиральное	spirˈɑɭnʌjɪ
спиральной	spirˈɑɭnʌj
спиральном	spirˈɑɭnʌm
спиральному	spirˈɑɭnʌmu
спиральную	spirˈɑɭnuju
спиральные	spirˈɑɭnyjɪ
спиральный	spirˈɑɭnyj
спиральным	spirˈɑɭnym
спиральными	spirˈɑɭnymɪ
спиральных	spirˈɑɭnyx
спиралью	spirai̯lʲju
спиралью	spirˈɑɭjju
спиралям	spirˈɑɭʌm
спиралями	spirˈɑɭʌmɪ
спиралях	spirˈɑɭʌx
спираючись	spiraˈjutʃis
спиридов	spirˈidʌf
спиридович	spiridˈovitʃ
спиридовича	spiridˈovitʃʌ
спиридон	spiridˈon
спиридон	spˈiˌrɪdˈon
спиридона	spiridˈona
спиридонов	spiridˈonʌf
спиридонов	spiɭidˈonʌf
спиридонова	spiridˈonʌva
спиридонович	spiridˈonʌvitʃ
спиридоновича	spiridˈonʌvitʃʌ
спиридоновичу	spiridˈonʌvitʃu
спиридоновка	spiɭidˈonʌfka
спиридоновке	spiridˈonʌfki
спиридоновку	spiridˈonʌfku
спиридоновна	spiridˈonʌvna
спиридоновна	spiridˈonʌvnˈʌ
спиридоновой	spiridˈonʌvʌj
спиридонову	spiridˈonʌvu
спиридоном	spiridˈonʌm
спиридону	spirˈidʌnu
спиридоныч	spiridˈonytʃ
спиридоныч	spˈiridˈonˈytɕ
спиридоныча	spiridˈonytʃʌ
спиридоньевич	spˈiridˈonivitʃ
спиридоньевна	spiridˈonjjivna
спирин	spˈirin
спирина	spˈirina
спирит	spirˈit
спирита	spirˈita
спиритизм	spiritˈizm
спиритизма	spiritˈizma
спиритизме	spiritˈizmi
спиритизмом	spiritˈizmʌm
спиритизму	spiritˈizmu
спиритические	spiritˈitʃiskijɪ
спиритический	spiritˈitʃiskij
спиритический	spʲirʲitʲitʃːeskʲi
спиритических	spiritˈitʃiskix
спиритического	spiritˈitʃiskʌvʌ
спиритической	spiritˈitʃiskʌj
спиритическом	spiridˈitʃiskʌm
спиритическом	spiritˈitʃiskʌm
спирито	spirˈitʌ
спиритов	spirˈitʌf
спиритом	spirˈitʌm
спиритуализм	spirituaɭˈizm
спиритуализма	spiritˈuʌɭizma
спиритуалистов	spirituˈɑɭistʌf
спиритуалов	spiritˈuʌɭʌf
спиритуальной	spiritˈuʌɭnʌj
спиритус	spˈiritus
спириты	spirˈity
спиричуэлс	spiritʃˈuɛɭs
спиркин	spˈirkin
спирман	spˈirmʌn
спиро	spˈirʌ
спирогира	spiːragira
спирограмма	spjragramma
спирограф	zpiːrʌgrˈoːv
спиролет	spirʌɭˈet
спирометрия	zpʲiromʲadrɨja
спирос	spˈirʌs
спироса	spirˈosa
спирохет	spirʌxˈet
спирохета	spirˈoxita
спирохетоз	spʲirɛxʲitːos
спирохеты	spirˈoxity
спирс	spˈirs
спирт	spiɾt
спирт	spiːrt
спирт	spˈirt
спирта	spiːrta
спирта	spˈirta
спиртами	spirtˈɑmɪ
спирте	spiɾtja
спирте	spˈirti
спиртик	spiɾtjk
спиртику	spirtˈiku
спиртику	spʲirdzʲiku
спиртного	spirtnˈovʌ
спиртное	spirtnˈojɪ
спиртной	spirtnˈoj
спиртной	zpʲertnoj
спиртном	spˈirtnʌm
спиртному	spirtnˈomu
спиртные	spirtnˈyjɪ
спиртным	spirtnˈym
спиртными	spirtnˈymɪ
спиртных	spirtnˈyx
спирто-водочная	spˈirtʌvˈodʌtʃnʌja
спиртов	spirtˈof
спиртовая	spirtʌvˈɑja
спиртовая	spʲirtavaja
спиртовка	spirtˈofka
спиртовка	spʲirtou̯ka
спиртовке	spirtˈofki
спиртовки	spirtˈofkɪ
спиртовки	spʲirtou̯kʲi
спиртовкой	spirtˈofkʌj
спиртовку	spirtˈofku
спиртового	spirtʌvˈovʌ
спиртовое	spirtˈovʌjɪ
спиртовой	spirtavoj
спиртовой	spirtʌvˈoj
спиртовую	spirtˈovuju
спиртовые	spirtʌvˈyjɪ
спиртовый	spʲirtˈovˈoj
спиртовым	spirtʌvˈym
спиртовых	spirtˈovyx
спиртоглицериновый	spˈirtʌgɭitsyrˈinʌvˈyj
спиртозавод	spʲirtazavod
спиртом	spirtam
спиртом	spˈirtʌm
спиртометр	spʲirtomʲatr
спирту	spiːrtu
спирту	spˈirtu
спирты	spirtˈy
спиртяга	spiɾtjaga
спирулина	zpˈirˈulɪnˈa
спирька	spˈirɪka
спирьке	spˈirɪki
спирьки	spˈirɪkɪ
спирькой	spˈirɪkʌj
спирьку	spˈirɪku
спиря	spˈirʌ
спис	spˈis
списа	spˈisa
списав	spisˈɑf
списал	spisˈɑɭ
списала	spisˈɑɭa
списалась	spisˈɑɭʌs
списали	spisˈɑɭɪ
списались	spisˈɑɭis
списались	spʲisˈɑɭis
списался	spisˈɑɭsʌ
списами	spisˈɑmɪ
списан	spˈisʌn
списана	spisˈɑna
списание	spisˈɑnijɪ
списании	spisˈɑniɪ
списаний	spisˈɑnij
списанию	spisˈɑniju
списания	spisˈɑnija
списанная	spˈisʌnnʌja
списанного	spˈisʌnnʌvʌ
списанное	spisˈɑnnʌjɪ
списанной	spisˈɑnnʌj
списанную	spˈisʌnnuju
списанные	spˈisʌnnyjɪ
списанный	spˈisʌnnyj
списанным	spisˈɑnnym
списанными	spˈisʌnnymɪ
списанных	spˈisʌnnyx
списано	spisˈɑnʌ
списано	spiːsːinːliːm
списаны	spˈisʌny
списати	spisˈɑtɪ
списать	spisˈɑt
списать	spʲisatʲ
списать	spʲisˈɑt
списаться	spisˈaɭtsɑ
списаться	spisˈɑtsʌ
списи	spˈisɪ
списка	spˈiska
спискам	spʲiskam
спискам	spˈiskʌm
списками	spˈiskʌmɪ
списками	zpʲiskamʲi
списках	spˈiskʌx
списке	spˈiski
списки	spʲiskʲi
списки	spˈiskɪ
списков	spʲiskof
списков	spˈiskʌf
списком	spʲiskam
списком	spˈiskʌm
спискота	spʲiskata
списку	spˈisku
список	spisɐk
список	spˈisʌk
список-выражений	spˈisʌkvyraʒˈɛnij
списом	spˈisʌm
списочек	spˈisʌtʃik
списочник	spʲisatʂnʲik
списочного	spˈisʌtʃnʌvʌ
списочный	spisˈotʃnyj
списчик	spʲiʃtʃɪk
списывает	spˈisyvʌjit
списывается	spˈisyvʌjitsʌ
списывал	spˈisyvʌɭ
списывала	spisˈyvʌɭa
списывали	spˈisyvʌɭɪ
списывались	spˈisyvʌɭis
списывался	spisˈyvʌɭsʌ
списывание	spisyvˈɑnijɪ
списывания	spisyvˈɑnija
списывать	spˈisyvʌt
списывать	spˈiʃyvʌt
списываю	spˈisyvʌju
списывают	spˈisyvʌjut
списываются	spˈisyvʌjutsʌ
списывая	spˈisyvʌja
спит	spiːt
спит	spˈit
спита	spˈita
спитав	spˈitʌf
спитався	spitˈɑfsʌ
спитай	spˈitʌj
спитайте	spitˈɑjti
спитак	spjtok
спитала	spitˈɑɭa
спиталася	spitˈɑɭʌsʌ
спитали	spitˈɑɭɪ
спитални	spitˈɑɭnɪ
спитамен	spitˈɑmin
спитамена	spitˈɑmina
спитати	spitˈɑtɪ
спитать	spitˈɑt
спитаю	spitˈɑju
спитають	spitaˈjut
спите	spiːtj
спите	spʲitsʲe
спите	spˈiti
спитерос	spitˈerʌs
спити	spˈitɪ
спито	spˈitʌ
спитой	spitˈoj
спитой	spjtoj
спится	spiːtsɪ
спится	spˈitsʌ
спиту	spˈitu
спитфайр	spˈitfʌjr
спитфайров	spitfˈɑjrʌf
спитфайры	spitfˈɑjry
спить	spˈit
спиться	spʲitsːa
спиться	spˈitsʌ
спихальський	spixˈɑɭskij
спихальського	spixˈɑɭskʌvʌ
спихивает	spˈixivʌjit
спихивал	spixˈivʌɭ
спихивали	spixˈivʌɭɪ
спихивать	spixivˈɑt
спихивая	spˈixivʌja
спихнем	spixnˈem
спихну	spixnˈu
спихнув	spixnˈuf
спихнул	spixnˈuɭ
спихнул	spʲixnˈuɭ
спихнула	spixnˈuɭa
спихнули	spixnˈuɭɪ
спихнули	spʲixnˈuɭɪ
спихнут	spixnˈut
спихнуть	spixnˈut
спихнёт	spixnˈɵt
спиц	spˈits
спица	spˈitsa
спицам	spˈitsʌm
спицами	spˈitsʌmɪ
спицах	spˈitsʌx
спице	spˈitsy
спицей	spˈitsyj
спицер	spˈitsyr
спицу	spiːtsːu
спицу	spˈitsu
спицы	spiʲtsɨ
спицы	spˈitsy
спицын	spˈitsyn
спицына	spˈitsyna
спицыну	spitsˈynu
спицыным	spitsˈynym
спич	spiːtʃ
спич	spˈitʃ
спича	spˈitʃʌ
спичек	spˈitʃik
спичек	spˈitʃʌk
спичечная	spˈitʃitʃnʌja
спичечного	spˈitʃitʃnʌvʌ
спичечной	spˈitʃiʃnʌj
спичечном	spˈitʃitʃnʌm
спичечную	spitʃˈetʃnuju
спичечные	spˈitʃitʃnyjɪ
спичечный	spˈitʃitʃnyj
спичечным	spˈitʃitʃnym
спичечными	spitʃˈetʃnymɪ
спичечных	spʲitʃitʃnɨx
спичечных	spˈitʃitʃnyx
спичи	spˈitʃɪ
спичка	spˈitʃka
спичкам	spˈitʃkʌm
спичками	spˈitʃkʌmɪ
спичках	spˈitʃkʌx
спичке	spˈitʃki
спички	spˈitʃkɪ
спичкин	spˈitʃkin
спичкой	spˈitʃkʌj
спичкострел	spˈitʃkastrˈeɭ
спичку	spˈitʃku
спиш	spˈiʃ
спишем	spˈiʃym
спишет	spˈiʃyt
спишется	spˈiʃytsʌ
спишешь	spˈiʃyʃ
спиши	spˈiʃɪ
спишите	spiʃˈyti
спишу	spiʃˈu
спишут	spˈiʃut
спишь	spjiʃ
спишь	spˈiʃ
спл	ˌɛspˌɛˈɛɭ
сплав	splˈɑf
сплав	spɭˈɑf
сплава	spɫˈɑvɑ
сплава	spɭˈɑva
сплаваем	spɭavˈɑjim
сплавали	spɭˈɑvʌɭɪ
сплавами	spɭavˈɑmɪ
сплавать	spɭˈɑvʌt
сплавах	spɭˈɑvʌx
сплаве	spɭˈɑvi
сплавив	spɭˈɑvif
сплавил	spɭˈɑviɭ
сплавила	spɭavˈiɭa
сплавилась	spɭˈɑviɭʌs
сплавили	spɭˈɑviɭɪ
сплавились	spɭavˈiɭis
сплавился	spɭˈɑviɭsʌ
сплавить	spɭˈɑvit
сплавиться	spɭavˈitsʌ
сплавления	spɭʌvɭˈenijɪ
сплавленные	spɭˈɑvɭinnyjɪ
сплавлены	spɭˈɑvɭiny
сплавляет	spɭavɭˈɑjit
сплавляется	spɭavɭˈɑjitsʌ
сплавлял	spɭˈɑvɭʌɭ
сплавляли	spɭavɭˈɑɭɪ
сплавлялись	spɭavɭˈɑɭis
сплавлялся	spɭavɭˈɑɭsʌ
сплавлять	spɭavɭˈɑt
сплавлять	spɭˈɑvɭɑt
сплавляться	spɭavɭˈɑtsʌ
сплавляют	spɭavɭˈɑjut
сплавляются	spɭavɭˈɑjutsʌ
сплавляя	spɭavɭˈɑja
сплавляясь	spɭavɭˈɑjas
сплавная	spɭavnˈɑja
сплавного	spɭavnˈovʌ
сплавной	spɭavnˈoj
сплавные	spɭavnˈyjɪ
сплавных	spɭavnˈyx
сплавов	spɭˈɑvʌf
сплавом	spɭˈɑvʌm
сплаву	spɭˈɑvu
сплавщик	spɭˈɑfɕik
сплавщика	spɭˈɑfɕika
сплавщики	spɭˈɑfɕikɪ
сплавщиков	spɭˈɑfɕikʌf
сплавы	spɭˈɑvy
сплайн	spɫajn
спланировав	spɭanˈirʌvʌf
спланировал	spɭanˈirʌvʌɭ
спланировала	spɭanˈirʌvʌɭa
спланировали	spɭanˈirʌvʌɭɪ
спланировало	spɭʌnirˈovʌɭʌ
спланирован	spɭʌnirˈovʌn
спланирована	spɭʌnirˈovʌna
спланированная	spɭanˈirʌvʌnnʌja
спланированного	spɭʌnirˈovʌnnʌvʌ
спланированное	spɭanˈirʌvʌnnʌjɪ
спланированной	spɭanˈirʌvʌnnʌj
спланированную	spɭʌnirˈovʌnnuju
спланированные	spɭʌnirˈovʌnnyjɪ
спланированный	spɭanˈirʌvʌnnyj
спланированным	spɭʌnirˈovʌnnym
спланированных	spɭanˈirʌvʌnnyx
спланировано	spɭanˈirʌvʌnʌ
спланированы	spɭanˈirʌvʌny
спланировать	spɭanˈirʌvʌt
спланировать	spɭʌnˈirʌvʌt
спланируем	spɭʌnirˈujim
сплати	spɭˈɑtɪ
сплатити	spɭatˈitɪ
сплачивавший	spɭˈɑtʃivʌvʃˈj
сплачивает	spɭˈɑtʃivʌjit
сплачивается	spɭˈɑtʃivʌjitsʌ
сплачивал	spɭatʃˈivʌɭ
сплачивала	spɭatʃˈivʌɭa
сплачивали	spɭˈɑtʃivʌɭɪ
сплачивались	spɭˈɑtʃivʌɭis
сплачивало	spɭatʃˈivʌɭʌ
сплачивать	spɭˈɑtʃivʌt
сплачиваться	spɭatʃˈivʌtsʌ
сплачиваются	spɭʌtʃivˈɑjutsʌ
сплачивающийся	spɭˈɑtʃivʌjuɕisʌ
сплачивая	spɭatʃˈivʌja
сплевывала	spɭivˈyvʌɭa
сплевываю	spɭivˈyvʌju
сплевывают	spɭivyvˈɑjut
сплела	spɫˈɛɭa
сплела	spɭiɭˈɑ
сплелась	spɭiɭˈɑs
сплели	spɭiɭˈi
сплелись	spɭiɭˈis
сплелися	spɭiɭˈisʌ
сплелось	spɭiɭˈos
сплендид	spɭindˈit
спленнервиль	spɭinnˈerviɭ
сплеснув	spɭisnˈuf
сплеснув	spɭˈesnʌv
сплеснул	spɭˈesnuɭ
сплеснула	spɭisnˈuɭa
сплести	spɭistˈi
сплести	spɭˈeskˈi
сплестись	spɭistˈis
сплет	spɭˈet
сплетает	spɭitˈɑjit
сплетается	spalʲitaʲatsːa
сплетается	spɭitˈɑjitsʌ
сплетал	spɭitˈɑɭ
сплетала	spɭitˈɑɭa
сплеталась	spɭitˈɑɭʌs
сплетали	spɭitˈɑɭɪ
сплетались	spɭitˈɑɭis
сплеталось	spɭitˈɑɭʌs
сплетался	spɭitˈɑɭsʌ
сплетать	spɭitˈɑt
сплетаться	spɭitˈɑtsʌ
сплетают	spɭitˈɑjut
сплетаются	spɭitˈɑjutsʌ
сплетающиеся	spɭitˈɑjuɕijisʌ
сплетающихся	spɭitˈɑjuɕixsʌ
сплетая	spɭitˈɑja
сплетаясь	spɭitˈɑjas
сплетем	spɭitˈem
сплетен	spɭˈetin
сплетена	spɭitinˈɑ
сплетение	spɭitˈenijɪ
сплетением	spɭitˈenijim
сплетением	sˈplitˈinijim
сплетении	spɭitˈeniɪ
сплетений	spɭitˈenij
сплетению	spɭitˈeniju
сплетения	spɭitˈenija
сплетениями	spɭitinˈijamɪ
сплетениях	spɭitˈenijax
сплетенного	spɭitˈennʌvʌ
сплетенное	spɭitˈennʌjɪ
сплетенном	spɭitˈennʌm
сплетенность	zpɫˈetˈɛnnʌst
сплетенным	spɭitˈennym
сплетено	spɭitinˈo
сплетены	spɭitinˈy
сплетенье	spɭitˈenjjɪ
сплетенья	spɭitˈenjja
сплетет	spɭitˈet
сплети	spɭˈetɪ
сплетка	spɫˈetka
сплетне	spɭˈetni
сплетней	spɭˈetnij
сплетни	spɭˈetnix
сплетни	spɭˈetnɪ
сплетник	spɭˈetnik
сплетника	spɭˈetnika
сплетникам	spɭˈetnikʌm
сплетники	spɭˈetnikɪ
сплетников	spɭˈetnikʌf
сплетником	spɭˈetnikʌm
сплетнику	spɭitnˈiku
сплетниц	spɭˈetnits
сплетница	spɭˈetnitsa
сплетницей	spɭˈetnitsyj
сплетницы	spɭitnˈitsy
сплетничает	spɭˈetnitʃʌjit
сплетничал	spɭˈetnitʃʌɭ
сплетничала	spɭitnˈitʃʌɭa
сплетничали	spɭˈednitʃɪɭɪ
сплетничали	spɭˈetnitʃʌɭɪ
сплетничать	spɭˈetnitʃʌt
сплетничают	spɭˈetnitʃʌjut
сплетничая	spɭˈetnitʃʌja
сплетню	spɭˈetnuˌ
сплетню	zpɭˈetnʌ
сплетня	spolʲednʲa
сплетня	spɭˈetnʌ
сплетням	spɭˈetnʌm
сплетнями	spɭˈetnʌmɪ
сплетнях	spɭˈetnʌx
сплету	spɭˈetu
сплетут	spɭitˈut
сплетутся	spɭitˈutsʌ
сплетше	spɭˈetʃy
сплетшихся	spɭitʃˈyxsʌ
сплетя	spalʲitsʲa
сплетя	spɭitˈɑ
сплетясь	spɭitˈas
сплетясь	spɭitˈɑs
сплетённая	spɭitˈɵnnʌja
сплетённой	spɭitˈɵnnʌj
сплетённую	spɭitˈɵnnuju
сплетённые	spɭitˈɵnnyjɪ
сплетённый	spɭitˈɵnnyj
сплетёнными	spɭitˈɵnnymɪ
сплетённых	spɭitˈɵnnyx
сплетёшь	spɭitˈɵʃ
сплеча	spɭitʃˈɑ
сплива	spɭˈiva
спливав	spɭˈivʌf
спливала	spɭivˈɑɭa
спливали	spɭivˈɑɭɪ
спливли	spɭˈivɭɪ
спливло	spɭˈivɭʌ
сплигнув	spɭˈignuf
сплин	splˈin
сплин	spɫˈin
сплин	spɭˈin
сплина	spɭˈina
сплине	spɭˈini
сплином	spɭˈinʌm
сплину	spɭˈinu
сплит	spljɔd
сплит	spɔlit
сплит	spɭˈit
сплита	spɭˈita
сплите	spɭˈiti
сплок	spɭˈok
сплока	spɭˈoka
сплотив	spɭˈotif
сплотившись	spɭʌtˈifʃys
сплотившихся	spɭʌtˈifʃyxsʌ
сплотил	spɭʌtˈiɭ
сплотила	spɭʌtˈiɭa
сплотилась	spɭʌtˈiɭʌs
сплотили	spɭʌtˈiɭɪ
сплотились	spɭʌtˈiɭis
сплотило	spɭʌtˈiɭʌ
сплотилось	spɭʌtˈiɭʌs
сплотился	spɭʌtˈiɭsʌ
сплотимся	spɭʌtˈimsʌ
сплотимтесь	spɭʌtˈimtis
сплотит	spɭʌtˈit
сплотить	spɭʌtˈit
сплотиться	spɭatˈitsʌ
сплотиться	spɭʌtˈitsʌ
сплотятся	spɭʌtˈɑtsʌ
сплоховал	spɭʌxʌvˈɑɭ
сплоховала	spɭʌxˈovʌɭa
сплоховали	spɭʌxʌvˈɑɭɪ
сплоховать	spɭʌxʌvˈɑt
сплочен	spɭˈotʃin
сплочение	spɭʌtʃiniː
сплочение	spɭʌtʃˈenijɪ
сплочении	spɭʌtʃˈeniɪ
сплочению	spɭʌtʃˈeniju
сплочения	spɭʌtʃˈenija
сплоченная	spɭʌtʃˈennʌja
сплоченно	spɭʌtʃˈennʌ
сплоченного	spɭʌtʃˈennʌvʌ
сплоченное	spɭʌtʃˈennʌjɪ
сплоченностью	spɭʌtʃˈennʌstjju
сплоченную	spɭʌtʃˈennuju
сплоченные	spɭʌtʃˈennyjɪ
сплоченным	spɭʌtʃˈennym
сплоченными	spɭʌtʃˈennymɪ
сплочены	spɭʌtʃinˈy
сплочены	spɭˈutʃiny
сплочённой	spɭʌtʃˈɵnnʌj
сплочённости	spɭʌtʃˈɵnnʌstɪ
сплочённость	spɭʌtʃˈɵnnʌst
сплочённый	spɭʌtʃˈɵnnyj
сплочённых	spɭʌtʃˈɵnnyx
сплошал	spɭˈoʃʌɭ
сплошать	spɭʌʃˈɑt
сплошная	spɭʌʃnˈɑja
сплошно	spɫʌʃnˈo
сплошного	spɭʌʃnˈovʌ
сплошное	spɭʌʃnˈojɪ
сплошной	spɫˈoʃnʌj
сплошной	spɭʌʃnˈoj
сплошном	spɭʌʃnˈom
сплошному	spɭʌʃnˈomu
сплошность	spɭˈoʃnʌst
сплошною	spɭʌʃnˈoju
сплошную	spɭʌʃnˈuju
сплошные	spɭʌʃnˈyjɪ
сплошным	spɭʌʃnˈym
сплошными	spɭʌʃnˈymɪ
сплошных	spɫˈoʃnyx
сплошных	spɭʌʃnˈyx
сплошньм	spɭˈoʃnm
сплошняком	spɭʌʃnakˈom
сплошь	spɭˈoʃ
сплутовал	spɭutˈovʌɭ
сплутовать	spɭutʌvˈɑt
сплыл	spɭˈyɭ
сплыла	spɭyɭˈɑ
сплыли	spɭˈyɭɪ
сплылись	spɭˈyɭis
сплыло	spɭˈyɭʌ
спльову	ˈɛspɭˈovu
спльовував	ˈɛspɭʌvˈuvʌf
сплю	spɫjˈu
сплю	spɭˈu
сплю	spɭˈuˌ
сплюнет	spɭuˌnˈet
сплюнув	spɭˈuˌnuf
сплюнул	spɭˈuˌnuɭ
сплюнула	spɭˈuˌnuɭa
сплюнули	spɭˈuˌnuɭɪ
сплюнуть	spɭˈuˌnut
сплюнь	spɭˈuˌn
сплюснутая	spɭˈuˌsnutʌja
сплюснутое	spɭuˌsnˈutʌjɪ
сплюснутой	spɭˈuˌsnutʌj
сплюснутые	spɭuˌsnˈutyjɪ
сплюснутый	spɭˈuˌsnutyj
сплюснутым	spɭˈuˌsnutym
сплюснутых	spɭˈuˌsnutyx
сплюхин	spɭˈuˌxin
сплющен	spɭˈuˌɕin
сплющена	spɭˈuˌɕina
сплющенная	spɭˈuˌɕinnʌja
сплющенного	spɭuˌɕˈennʌvʌ
сплющенное	spɭuˌɕˈennʌjɪ
сплющенной	spɭˈuˌɕinnʌj
сплющенную	spɭˈuˌɕinnuju
сплющенные	spɭˈuˌɕinnyjɪ
сплющенный	spɭˈuˌɕinnyj
сплющенным	spɭˈuˌɕinnym
сплющенными	spɭˈuˌɕinnymɪ
сплющенных	spɭuˌɕˈennyx
сплющены	spɭuˌɕˈeny
сплющив	spɭˈuˌɕif
сплющивается	spɭuˌɕivˈɑjitsʌ
сплющивались	spɭˈuˌɕivʌɭis
сплющивание	spɭˈuɕɪvʌnˈe
сплющиваться	spɭˈuˌɕivʌtsʌ
сплющил	spɭˈuˌɕiɭ
сплющилась	spɭˈuˌɕiɭʌs
сплющились	spɭˈuˌɕiɭis
сплющило	spɭˈuˌɕiɭʌ
сплющилось	spɭˈuˌɕiɭʌs
сплющился	spɭˈuˌɕiɭsʌ
сплющить	spɭˈuˌɕit
сплясал	spɭasˈɑɭ
сплясал	spˈɭisˈɑɭ
сплясала	spɭasˈɑɭa
сплясали	spɭasˈɑɭɪ
сплясать	spɭasˈɑt
сплять	spɭˈɑt
спляшем	spɭˈɑʃym
спляшет	spɭˈɑʃyt
спляши	spɭˈɑʃɪ
спляшу	spɭˈɑʃu
спляшут	spɭaʃˈut
сплёвывает	spɭˈɵvyvʌjit
сплёвывал	spɭˈɵvyvʌɭ
сплёвывали	spɭˈɵvyvʌɭɪ
сплёвывать	spɭˈɵvyvʌt
сплёвывая	spɭˈɵvyvʌja
сплёл	spɭˈɵɭ
сплёлся	spɭˈɵɭsʌ
сплётшиеся	spɭˈɵtʃyjisʌ
спн	ˌɛspˌɛˈɛn
спо	spˈo
спов	spˈof
споважн	spˈovʌʒn
сповз	spˈofs
сповзла	spˈovzɭa
сповна	spˈovna
сповнен	spˈovnin
сповнена	spʌvnˈena
сповнене	spʌvnˈeni
сповнений	spʌvnˈenij
сповненим	spʌvnˈenim
сповнити	spʌvnˈitɪ
сповню	spˈovnuˌ
сповняти	spʌvnˈɑtɪ
спогад	spʌgˈɑt
спогадами	spʌgˈɑdʌmɪ
спогадах	spʌgˈɑdʌx
спогади	spʌgˈɑdɪ
спогадом	spʌgˈɑdʌm
споглядав	spʌgɭˈɑdʌf
споглядала	spʌgɭˈɑdʌɭa
споглядали	spʌgɭˈɑdʌɭɪ
споглядання	spʌgɭˈɑdʌnnʌ
споглядаючи	spʌgɭadˈɑjutʃɪ
спода	spˈoda
сподвигать	spʌdavigatˈ
сподвижник	spʌdvˈiʒnik
сподвижника	spʌdvˈiʒnika
сподвижникам	spʌdviʒnˈikʌm
сподвижниками	spʌdvˈiʒnikʌmɪ
сподвижники	spʌdvˈiʒnikɪ
сподвижников	spʌdvˈiʒnikʌf
сподвижником	spʌdvˈiʒnikʌm
сподвижнику	spʌdvˈiʒniku
сподоба	spʌdˈoba
сподобався	spʌdˈobʌfsʌ
сподобалась	spʌdʌbˈɑɭʌs
сподобалася	spʌdʌbˈɑɭʌsʌ
сподобались	spʌdʌbˈɑɭis
сподобалися	spʌdʌbˈɑɭisʌ
сподобалось	spʌdʌbˈɑɭʌs
сподобалося	spʌdʌbˈɑɭʌsʌ
сподоби	spʌdˈobɪ
сподобил	spʌdˈobiɭ
сподобилась	spʌdˈobiɭʌs
сподобились	spʌdˈobiɭis
сподобился	spʌdˈobiɭsʌ
сподобимся	spʌdˈobimsʌ
сподобит	spʌdˈobit
сподобится	spadobʲitsːa
сподобится	spʌdˈobitsʌ
сподобиться	spʌdˈobitsʌ
сподоблюсь	spʌdˈobɭuˌs
сподом	spˈodʌm
сподручнее	spʌdrˈutʃnijɪ
сподручней	spʌdrˈutʃnij
сподручник	spadrutʂnʲik
сподручно	spʌdrˈutʃnʌ
сподручный	spʌdrˈutʃnyj
сподручными	spʌdrˈutʃnymɪ
сподряд	spʌdrˈɑt
споду	spˈodu
сподумен	spadumʲen
споем	spʌjˈem
споемся	spʌjˈemsʌ
споемте	spʌjˈemti
споете	spʌjˈeti
спозаранку	spʌzarˈɑnku
спозаранок	spʌzarˈɑnʌk
спознай	spasnaj
спознался	spʌznˈɑɭsʌ
спознаться	spʌznˈɑtsʌ
спознишься	spʌʑnˈiʃsʌ
спои	spˈoɪ
споил	spʌˈiɭ
споили	spʌˈiɭɪ
споим	spˈoim
споить	spʌˈit
спой	spɔj
спой	spˈoj
спой-ка	spojka
спой-ка	spˈojkˈɑ
спойлерами	spojlʲeramʲi
спойте	spˈojti
спок	spˈok
спока	spˈoka
споко	spˈokʌ
спокое	spʌkˈojɪ
спокоен	spakoʲen
спокоен	spʌkˈojin
спокой	spʌkˈoj
спокойна	spakojna
спокойна	spʌkˈojna
спокойная	spʌkˈojnʌja
спокойнее	spʌkˈojnijɪ
спокойней	spʌkˈojnij
спокойнейшим	spʌkˈojnijʃym
спокойненьких	spakojnˈenkix
спокойненько	spakojnʲinko
спокойненько	spʌkˈojninkʌ
спокойно	spʌkˈojnʌ
спокойно-атлетический	spʌkˈojnʌatɭitˈitʃiskij
спокойно-веселых	spʌkˈojnʌvisˈeɭyx
спокойно-весёлой	spʌkˈojnʌvisˈɵɭʌj
спокойно-красный	spʌkˈojnʌkrˈɑsnyj
спокойно-нахален	spʌkˈojnʌnaxˈɑɭin
спокойно-покорные	spʌkˈojnʌpʌkˈornyjɪ
спокойно-удачливый	spʌkˈojnʌudˈɑtʃɭivyj
спокойного	spʌkˈojnʌvʌ
спокойное	spʌkˈojnʌjɪ
спокойной	spʌkˈojnʌj
спокойном	spʌkˈojnʌm
спокойному	spʌkˈojnʌmu
спокойностью	spʌkˈojnʌstjju
спокойною	spʌkˈojnʌju
спокойную	spʌkˈojnuju
спокойны	spʌkˈojny
спокойные	spʌkˈojnyjɪ
спокойный	spʌkˈojnyj
спокойным	spʌkˈojnym
спокойными	spʌkˈojnymɪ
спокойных	spʌkˈojnyx
спокойств	spˈokʌjstf
спокойствие	spʌkˈojstvijɪ
спокойствием	spʌkˈojstvijim
спокойствии	spʌkˈojstviɪ
спокойствию	spʌkˈojstviju
спокойствия	spʌkˈojstvija
спокон	spʌkˈon
споконв	spˈokʌnf
спокою	spʌkˈoju
спокус	spˈokus
спокуса	spʌkˈusa
спокуси	spʌkˈusɪ
спокусу	spʌkˈusu
спокуту	spʌkˈutu
спокутувати	spʌkutˈuvʌtɪ
спокуха	spʌkˈuxa
спокуша	spʌkˈuʃa
споласкивали	spʌɭaskˈivʌɭɪ
споласкивая	spʌɭaskˈivʌja
сполдинг	spʌɭdˈink
сполдинга	spʌɭdˈinga
сполдингу	spʌɭdˈingu
