а	a
презиме	prɛzimɛ
презира	prɛzirɐ
презирай	prɛzirɐj
презирайки	prɛzirɐjki
презирайте	prɛzirɐjtɛ
презирал	prɛzirɐɫ
презирала	prɛzirɐɫɐ
презиралата	prɛzirɐɫɐtɐ
презирали	prɛzirɐli
презиралите	prɛzirɐlitɛ
презиралия	prɛzirɐlijɐ
презиралият	prɛzirɐlijɐt
презирало	prɛzirɐɫo
презиралото	prɛzirɐɫoto
презирам	prɛzirɐm
презираме	prɛzirɐmɛ
презиран	prɛzirɐn
презирана	prɛzirɐnɐ
презираната	prɛzirɐnɐtɐ
презиране	prɛzirɐnɛ
презиранета	prɛzirɐnɛtɐ
презиранетата	prɛzirɐnɛtɐtɐ
презирането	prɛzirɐnɛto
презирани	prɛzirɐni
презираните	prɛzirɐnitɛ
презирания	prɛzirɐnijɐ
презираният	prɛzirɐnijɐt
презиранията	prɛzirɐnijɐtɐ
презирано	prɛzirɐno
презираното	prɛzirɐnoto
презират	prɛzirɐt
презирате	prɛzirɐtɛ
презирах	prɛzirɐx
презираха	prɛzirɐxɐ
презирахме	prɛzirɐxmɛ
презирахте	prɛzirɐxtɛ
презираш	prɛzirɐʃ
презираше	prɛzirɐʃɛ
презиращ	prɛzirɐʃt
презираща	prɛzirɐʃtɐ
презиращата	prɛzirɐʃtɐtɐ
презиращи	prɛzirɐʃti
презиращите	prɛzirɐʃtitɛ
презиращия	prɛzirɐʃtijɐ
презиращият	prɛzirɐʃtijɐt
презиращо	prɛzirɐʃto
презиращото	prɛzirɐʃtoto
презра	prɛzrɤ
презрат	prɛzrɤt
презре	prɛzrɛ
презрели	prɛzrɛli
презрелите	prɛzrɛlitɛ
презрелия	prɛzrɛlijɐ
презрелият	prɛzrɛlijɐt
презрем	prɛzrɛm
презрени	prɛzrɛni
презрените	prɛzrɛnitɛ
презрения	prɛzrɛnijɐ
презреният	prɛzrɛnijɐt
презрете	prɛzrɛtɛ
презреш	prɛzrɛʃ
презреше	prɛzrɛʃɛ
презри	prɛzri
презря	prɛzrʲa̟
презрял	prɛzrʲa̟ɫ
презряла	prɛzrʲa̟ɫɐ
презрялата	prɛzrʲa̟ɫɐtɐ
презряло	prɛzrʲa̟ɫo
презрялото	prɛzrʲa̟ɫoto
презрян	prɛzrʲa̟n
презряна	prɛzrʲa̟nɐ
презряната	prɛzrʲa̟nɐtɐ
презряно	prɛzrʲa̟no
презряното	prɛzrʲa̟noto
презрях	prɛzrʲa̟x
презряха	prɛzrʲa̟xɐ
презряхме	prɛzrʲa̟xmɛ
презряхте	prɛzrʲa̟xtɛ
прекален	prɛkɐlɛn
прекалено	prɛkɐlɛno
прекаля	prɛkɐlʲɤ̟
прекалявам	prɛkɐlʲa̟vɐm
прекарам	prɛkarɐm
прекарвам	prɛkarvɐm
прекрасен	prɛkrasɛn
прекъсвам	prɛkɤsvɐm
прекъсвач	prɛkɐsvatʃ
прекъсна	prɛkɤsnɐ
прел	prɛɫ
прела	prɛɫɐ
прелата	prɛɫɐtɐ
прелест	prɛlɛst
прели	prɛli
прелите	prɛlitɛ
прелия	prɛlijɐ
прелият	prɛlijɐt
прело	prɛɫo
прелото	prɛɫoto
прелъстели	prɛɫɐstɛli
прелъстен	prɛɫɐstɛn
прелъстена	prɛɫɐstɛnɐ
прелъстената	prɛɫɐstɛnɐtɐ
прелъстени	prɛɫɐstɛni
прелъстените	prɛɫɐstɛnitɛ
прелъстения	prɛɫɐstɛnijɐ
прелъстеният	prɛɫɐstɛnijɐt
прелъстено	prɛɫɐstɛno
прелъстеното	prɛɫɐstɛnoto
прелъстете	prɛɫɐstɛtɛ
прелъстеше	prɛɫɐstɛʃɛ
прелъсти	prɛɫɐsti
прелъстил	prɛɫɐstiɫ
прелъстила	prɛɫɐstiɫɐ
прелъстилата	prɛɫɐstiɫɐtɐ
прелъстили	prɛɫɐstili
прелъстилите	prɛɫɐstilitɛ
прелъстилия	prɛɫɐstilijɐ
прелъстилият	prɛɫɐstilijɐt
прелъстило	prɛɫɐstiɫo
прелъстилото	prɛɫɐstiɫoto
прелъстим	prɛɫɐstim
прелъстите	prɛɫɐstitɛ
прелъстих	prɛɫɐstix
прелъстиха	prɛɫɐstixɐ
прелъстихме	prɛɫɐstixmɛ
прелъстихте	prɛɫɐstixtɛ
прелъстиш	prɛɫɐstiʃ
прелъстя	prɛɫɐstʲɤ̟
прелъстява	prɛɫɐstʲa̟vɐ
прелъстявай	prɛɫɐstʲa̟vɐj
прелъстявайки	prɛɫɐstʲa̟vɐjki
прелъстявайте	prɛɫɐstʲa̟vɐjtɛ
прелъстявал	prɛɫɐstʲa̟vɐɫ
прелъстявала	prɛɫɐstʲa̟vɐɫɐ
прелъстявалата	prɛɫɐstʲa̟vɐɫɐtɐ
прелъстявали	prɛɫɐstʲa̟vɐli
прелъстявалите	prɛɫɐstʲa̟vɐlitɛ
прелъстявалия	prɛɫɐstʲa̟vɐlijɐ
прелъстявалият	prɛɫɐstʲa̟vɐlijɐt
прелъстявало	prɛɫɐstʲa̟vɐɫo
прелъстявалото	prɛɫɐstʲa̟vɐɫoto
прелъстявам	prɛɫɐstʲa̟vɐm
прелъстяваме	prɛɫɐstʲa̟vɐmɛ
прелъстяван	prɛɫɐstʲa̟vɐn
прелъстявана	prɛɫɐstʲa̟vɐnɐ
прелъстяваната	prɛɫɐstʲa̟vɐnɐtɐ
прелъстяване	prɛɫɐstʲa̟vɐnɛ
прелъстяванета	prɛɫɐstʲa̟vɐnɛtɐ
прелъстяванетата	prɛɫɐstʲa̟vɐnɛtɐtɐ
прелъстяването	prɛɫɐstʲa̟vɐnɛto
прелъстявани	prɛɫɐstʲa̟vɐni
прелъстяваните	prɛɫɐstʲa̟vɐnitɛ
прелъстявания	prɛɫɐstʲa̟vɐnijɐ
прелъстяваният	prɛɫɐstʲa̟vɐnijɐt
прелъстяванията	prɛɫɐstʲa̟vɐnijɐtɐ
прелъстявано	prɛɫɐstʲa̟vɐno
прелъстяваното	prɛɫɐstʲa̟vɐnoto
прелъстяват	prɛɫɐstʲa̟vɐt
прелъстявате	prɛɫɐstʲa̟vɐtɛ
прелъстявах	prɛɫɐstʲa̟vɐx
прелъстяваха	prɛɫɐstʲa̟vɐxɐ
прелъстявахме	prɛɫɐstʲa̟vɐxmɛ
прелъстявахте	prɛɫɐstʲa̟vɐxtɛ
прелъстяваш	prɛɫɐstʲa̟vɐʃ
прелъстяваше	prɛɫɐstʲa̟vɐʃɛ
прелъстяващ	prɛɫɐstʲa̟vɐʃt
прелъстяваща	prɛɫɐstʲa̟vɐʃtɐ
прелъстяващата	prɛɫɐstʲa̟vɐʃtɐtɐ
прелъстяващи	prɛɫɐstʲa̟vɐʃti
прелъстяващите	prɛɫɐstʲa̟vɐʃtitɛ
прелъстяващия	prɛɫɐstʲa̟vɐʃtijɐ
прелъстяващият	prɛɫɐstʲa̟vɐʃtijɐt
прелъстяващо	prɛɫɐstʲa̟vɐʃto
прелъстяващото	prɛɫɐstʲa̟vɐʃtoto
прелъстял	prɛɫɐstʲa̟ɫ
прелъстяла	prɛɫɐstʲa̟ɫɐ
прелъстяло	prɛɫɐstʲa̟ɫo
прелъстят	prɛɫɐstʲɤ̟t
прелъстях	prɛɫɐstʲa̟x
прелъстяха	prɛɫɐstʲa̟xɐ
прелъстяхме	prɛɫɐstʲa̟xmɛ
прелъстяхте	prɛɫɐstʲa̟xtɛ
преместя	prɛmɛstʲɐ
премиер	prɛmiɛr
премиера	prɛmiɛrɐ
премиерен	prɛmiɛrɛn
премиерски	prɛmiɛrski
премина	prɛminɐ
премира	prɛmirɐ
премирай	prɛmirɐj
премирайки	prɛmirɐjki
премирайте	prɛmirɐjtɛ
премирал	prɛmirɐɫ
премирала	prɛmirɐɫɐ
премиралата	prɛmirɐɫɐtɐ
премирали	prɛmirɐli
премиралите	prɛmirɐlitɛ
премиралия	prɛmirɐlijɐ
премиралият	prɛmirɐlijɐt
премирало	prɛmirɐɫo
премиралото	prɛmirɐɫoto
премирам	prɛmirɐm
премираме	prɛmirɐmɛ
премиране	prɛmirɐnɛ
премиранета	prɛmirɐnɛtɐ
премиранетата	prɛmirɐnɛtɐtɐ
премирането	prɛmirɐnɛto
премирания	prɛmirɐnijɐ
премиранията	prɛmirɐnijɐtɐ
премират	prɛmirɐt
премирате	prɛmirɐtɛ
премирах	prɛmirɐx
премираха	prɛmirɐxɐ
премирахме	prɛmirɐxmɛ
премирахте	prɛmirɐxtɛ
премираш	prɛmirɐʃ
премираше	prɛmirɐʃɛ
премиращ	prɛmirɐʃt
премираща	prɛmirɐʃtɐ
премиращата	prɛmirɐʃtɐtɐ
премиращи	prɛmirɐʃti
премиращите	prɛmirɐʃtitɛ
премиращия	prɛmirɐʃtijɐ
премиращият	prɛmirɐʃtijɐt
премиращо	prɛmirɐʃto
премиращото	prɛmirɐʃtoto
премра	prɛmrɤ
премрат	prɛmrɤt
премре	prɛmrɛ
премрели	prɛmrɛli
премрелите	prɛmrɛlitɛ
премрелия	prɛmrɛlijɐ
премрелият	prɛmrɛlijɐt
премрем	prɛmrɛm
премрете	prɛmrɛtɛ
премреш	prɛmrɛʃ
премреше	prɛmrɛʃɛ
премри	prɛmri
премря	prɛmrʲa̟
премрял	prɛmrʲa̟ɫ
премряла	prɛmrʲa̟ɫɐ
премрялата	prɛmrʲa̟ɫɐtɐ
премряло	prɛmrʲa̟ɫo
премрялото	prɛmrʲa̟ɫoto
премрях	prɛmrʲa̟x
премряха	prɛmrʲa̟xɐ
премряхме	prɛmrʲa̟xmɛ
премряхте	prɛmrʲa̟xtɛ
премяна	prɛmʲa̟nɐ
пренася	prɛnasʲɐ
пренасяй	prɛnasʲɐj
пренасяйки	prɛnasʲɐjki
пренасяйте	prɛnasʲɐjtɛ
пренасял	prɛnasʲɐɫ
пренасяла	prɛnasʲɐɫɐ
пренасялата	prɛnasʲɐɫɐtɐ
пренасяли	prɛnasʲɐli
пренасялите	prɛnasʲɐlitɛ
пренасялия	prɛnasʲɐlijɐ
пренасялият	prɛnasʲɐlijɐt
пренасяло	prɛnasʲɐɫo
пренасялото	prɛnasʲɐɫoto
пренасям	prɛnasʲɐm
пренасяме	prɛnasʲɐmɛ
пренасян	prɛnasʲɐn
пренасяна	prɛnasʲɐnɐ
пренасяната	prɛnasʲɐnɐtɐ
пренасяне	prɛnasʲɐnɛ
пренасянета	prɛnasʲɐnɛtɐ
пренасянетата	prɛnasʲɐnɛtɐtɐ
пренасянето	prɛnasʲɐnɛto
пренасяни	prɛnasʲɐni
пренасяните	prɛnasʲɐnitɛ
пренасяния	prɛnasʲɐnijɐ
пренасяният	prɛnasʲɐnijɐt
пренасянията	prɛnasʲɐnijɐtɐ
пренасяно	prɛnasʲɐno
пренасяното	prɛnasʲɐnoto
пренасят	prɛnasʲɐt
пренасяте	prɛnasʲɐtɛ
пренасях	prɛnasʲɐx
пренасяха	prɛnasʲɐxɐ
пренасяхме	prɛnasʲɐxmɛ
пренасяхте	prɛnasʲɐxtɛ
пренасяш	prɛnasʲɐʃ
пренасяше	prɛnasʲɐʃɛ
пренасящ	prɛnasʲɐʃt
пренасяща	prɛnasʲɐʃtɐ
пренасящата	prɛnasʲɐʃtɐtɐ
пренасящи	prɛnasʲɐʃti
пренасящите	prɛnasʲɐʃtitɛ
пренасящия	prɛnasʲɐʃtijɐ
пренасящият	prɛnasʲɐʃtijɐt
пренасящо	prɛnasʲɐʃto
пренасящото	prɛnasʲɐʃtoto
пренеса	prɛnɛsɤ
пренесат	prɛnɛsɤt
пренесе	prɛnɛsɛ
пренесели	prɛnɛsɛli
пренесем	prɛnɛsɛm
пренесен	prɛnɛsɛn
пренесена	prɛnɛsɛnɐ
пренесената	prɛnɛsɛnɐtɐ
пренесени	prɛnɛsɛni
пренесените	prɛnɛsɛnitɛ
пренесения	prɛnɛsɛnijɐ
пренесеният	prɛnɛsɛnijɐt
пренесено	prɛnɛsɛno
пренесеното	prɛnɛsɛnoto
пренесете	prɛnɛsɛtɛ
пренесеш	prɛnɛsɛʃ
пренесеше	prɛnɛsɛʃɛ
пренеси	prɛnɛsi
пренесла	prɛnɛsɫɐ
пренеслата	prɛnɛsɫɐtɐ
пренесли	prɛnɛsli
пренеслите	prɛnɛslitɛ
пренеслия	prɛnɛslijɐ
пренеслият	prɛnɛslijɐt
пренесло	prɛnɛsɫo
пренеслото	prɛnɛsɫoto
пренесох	prɛnɛsox
пренесоха	prɛnɛsoxɐ
пренесохме	prɛnɛsoxmɛ
пренесохте	prɛnɛsoxtɛ
пренесъл	prɛnɛsɐɫ
пренесял	prɛnɛsʲa̟ɫ
пренесяла	prɛnɛsʲa̟ɫɐ
пренесяло	prɛnɛsʲa̟ɫo
пренесях	prɛnɛsʲa̟x
пренесяха	prɛnɛsʲa̟xɐ
пренесяхме	prɛnɛsʲa̟xmɛ
пренесяхте	prɛnɛsʲa̟xtɛ
преносен	prɛnɔsɛn
преносно	prɛnɔsno
преобличам	prɛoblitʃɐm
препека	prɛpɛkɤ
препекат	prɛpɛkɤt
препекла	prɛpɛkɫɐ
препеклата	prɛpɛkɫɐtɐ
препекли	prɛpɛkli
препеклите	prɛpɛklitɛ
препеклия	prɛpɛklijɐ
препеклият	prɛpɛklijɐt
препекло	prɛpɛkɫo
препеклото	prɛpɛkɫoto
препекох	prɛpɛkox
препекоха	prɛpɛkoxɐ
препекохме	prɛpɛkoxmɛ
препекохте	prɛpɛkoxtɛ
препекъл	prɛpɛkɐɫ
преперец	prɛpɛrɛts
препечал	prɛpɛtʃa̟ɫ
препечала	prɛpɛtʃa̟ɫɐ
препечали	prɛpɛtʃa̟li
препечало	prɛpɛtʃa̟ɫo
препечах	prɛpɛtʃa̟x
препечаха	prɛpɛtʃa̟xɐ
препечахме	prɛpɛtʃa̟xmɛ
препечахте	prɛpɛtʃa̟xtɛ
препече	prɛpɛtʃɛ
препечел	prɛpɛtʃɛɫ
препечела	prɛpɛtʃɛɫɐ
препечели	prɛpɛtʃɛli
препечело	prɛpɛtʃɛɫo
препечем	prɛpɛtʃɛm
препечен	prɛpɛtʃɛn
препечена	prɛpɛtʃɛnɐ
препечената	prɛpɛtʃɛnɐtɐ
препечени	prɛpɛtʃɛni
препечените	prɛpɛtʃɛnitɛ
препечения	prɛpɛtʃɛnijɐ
препеченият	prɛpɛtʃɛnijɐt
препечено	prɛpɛtʃɛno
препеченото	prɛpɛtʃɛnoto
препечете	prɛpɛtʃɛtɛ
препечех	prɛpɛtʃɛx
препечеха	prɛpɛtʃɛxɐ
препечехме	prɛpɛtʃɛxmɛ
препечехте	prɛpɛtʃɛxtɛ
препечеш	prɛpɛtʃɛʃ
препечеше	prɛpɛtʃɛʃɛ
препечи	prɛpɛtʃi
преписвач	prɛpisvatʃ
препича	prɛpitʃɐ
препичай	prɛpitʃɐj
препичайки	prɛpitʃɐjki
препичайте	prɛpitʃɐjtɛ
препичал	prɛpitʃɐɫ
препичала	prɛpitʃɐɫɐ
препичалата	prɛpitʃɐɫɐtɐ
препичали	prɛpitʃɐli
препичалите	prɛpitʃɐlitɛ
препичалия	prɛpitʃɐlijɐ
препичалият	prɛpitʃɐlijɐt
препичало	prɛpitʃɐɫo
препичалото	prɛpitʃɐɫoto
препичам	prɛpitʃɐm
препичаме	prɛpitʃɐmɛ
препичан	prɛpitʃɐn
препичана	prɛpitʃɐnɐ
препичаната	prɛpitʃɐnɐtɐ
препичане	prɛpitʃɐnɛ
препичанета	prɛpitʃɐnɛtɐ
препичанетата	prɛpitʃɐnɛtɐtɐ
препичането	prɛpitʃɐnɛto
препичани	prɛpitʃɐni
препичаните	prɛpitʃɐnitɛ
препичания	prɛpitʃɐnijɐ
препичаният	prɛpitʃɐnijɐt
препичанията	prɛpitʃɐnijɐtɐ
препичано	prɛpitʃɐno
препичаното	prɛpitʃɐnoto
препичат	prɛpitʃɐt
препичате	prɛpitʃɐtɛ
препичах	prɛpitʃɐx
препичаха	prɛpitʃɐxɐ
препичахме	prɛpitʃɐxmɛ
препичахте	prɛpitʃɐxtɛ
препичаш	prɛpitʃɐʃ
препичаше	prɛpitʃɐʃɛ
препичащ	prɛpitʃɐʃt
препичаща	prɛpitʃɐʃtɐ
препичащата	prɛpitʃɐʃtɐtɐ
препичащи	prɛpitʃɐʃti
препичащите	prɛpitʃɐʃtitɛ
препичащия	prɛpitʃɐʃtijɐ
препичащият	prɛpitʃɐʃtijɐt
препичащо	prɛpitʃɐʃto
препичащото	prɛpitʃɐʃtoto
преподавател	prɛpodɐvatɛɫ
преподавателка	prɛpodɐvatɛɫkɐ
преподавателски	prɛpodɐvatɛɫski
препоръча	prɛporɤtʃɐ
препоръчай	prɛporɤtʃɐj
препоръчайте	prɛporɤtʃɐjtɛ
препоръчал	prɛporɤtʃɐɫ
препоръчала	prɛporɤtʃɐɫɐ
препоръчалата	prɛporɤtʃɐɫɐtɐ
препоръчали	prɛporɤtʃɐli
препоръчалите	prɛporɤtʃɐlitɛ
препоръчалия	prɛporɤtʃɐlijɐ
препоръчалият	prɛporɤtʃɐlijɐt
препоръчало	prɛporɤtʃɐɫo
препоръчалото	prɛporɤtʃɐɫoto
препоръчам	prɛporɤtʃɐm
препоръчаме	prɛporɤtʃɐmɛ
препоръчан	prɛporɤtʃɐn
препоръчана	prɛporɤtʃɐnɐ
препоръчаната	prɛporɤtʃɐnɐtɐ
препоръчани	prɛporɤtʃɐni
препоръчаните	prɛporɤtʃɐnitɛ
препоръчания	prɛporɤtʃɐnijɐ
препоръчаният	prɛporɤtʃɐnijɐt
препоръчано	prɛporɤtʃɐno
препоръчаното	prɛporɤtʃɐnoto
препоръчат	prɛporɤtʃɐt
препоръчате	prɛporɤtʃɐtɛ
препоръчах	prɛporɤtʃɐx
препоръчаха	prɛporɤtʃɐxɐ
препоръчахме	prɛporɤtʃɐxmɛ
препоръчахте	prɛporɤtʃɐxtɛ
препоръчаш	prɛporɤtʃɐʃ
препоръчаше	prɛporɤtʃɐʃɛ
препоръчва	prɛporɤtʃvɐ
препоръчвай	prɛporɤtʃvɐj
препоръчвайки	prɛporɤtʃvɐjki
препоръчвайте	prɛporɤtʃvɐjtɛ
препоръчвал	prɛporɤtʃvɐɫ
препоръчвала	prɛporɤtʃvɐɫɐ
препоръчвалата	prɛporɤtʃvɐɫɐtɐ
препоръчвали	prɛporɤtʃvɐli
препоръчвалите	prɛporɤtʃvɐlitɛ
препоръчвалия	prɛporɤtʃvɐlijɐ
препоръчвалият	prɛporɤtʃvɐlijɐt
препоръчвало	prɛporɤtʃvɐɫo
препоръчвалото	prɛporɤtʃvɐɫoto
препоръчвам	prɛporɤtʃvɐm
препоръчваме	prɛporɤtʃvɐmɛ
препоръчван	prɛporɤtʃvɐn
препоръчвана	prɛporɤtʃvɐnɐ
препоръчваната	prɛporɤtʃvɐnɐtɐ
препоръчване	prɛporɤtʃvɐnɛ
препоръчванета	prɛporɤtʃvɐnɛtɐ
препоръчванетата	prɛporɤtʃvɐnɛtɐtɐ
препоръчването	prɛporɤtʃvɐnɛto
препоръчвани	prɛporɤtʃvɐni
препоръчваните	prɛporɤtʃvɐnitɛ
препоръчвания	prɛporɤtʃvɐnijɐ
препоръчваният	prɛporɤtʃvɐnijɐt
препоръчванията	prɛporɤtʃvɐnijɐtɐ
препоръчвано	prɛporɤtʃvɐno
препоръчваното	prɛporɤtʃvɐnoto
препоръчват	prɛporɤtʃvɐt
препоръчвате	prɛporɤtʃvɐtɛ
препоръчвах	prɛporɤtʃvɐx
препоръчваха	prɛporɤtʃvɐxɐ
препоръчвахме	prɛporɤtʃvɐxmɛ
препоръчвахте	prɛporɤtʃvɐxtɛ
препоръчваш	prɛporɤtʃvɐʃ
препоръчваше	prɛporɤtʃvɐʃɛ
препоръчващ	prɛporɤtʃvɐʃt
препоръчваща	prɛporɤtʃvɐʃtɐ
препоръчващата	prɛporɤtʃvɐʃtɐtɐ
препоръчващи	prɛporɤtʃvɐʃti
препоръчващите	prɛporɤtʃvɐʃtitɛ
препоръчващия	prɛporɤtʃvɐʃtijɐ
препоръчващият	prɛporɤtʃvɐʃtijɐt
препоръчващо	prɛporɤtʃvɐʃto
препоръчващото	prɛporɤtʃvɐʃtoto
препрочел	prɛprotʃɛɫ
препрочела	prɛprotʃɛɫɐ
препрочелата	prɛprotʃɛɫɐtɐ
препрочели	prɛprotʃɛli
препрочелите	prɛprotʃɛlitɛ
препрочелия	prɛprotʃɛlijɐ
препрочелият	prɛprotʃɛlijɐt
препрочело	prɛprotʃɛɫo
препрочелото	prɛprotʃɛɫoto
препрочета	prɛprotʃɛtɤ
препрочетат	prɛprotʃɛtɤt
препрочете	prɛprotʃɛtɛ
препрочетели	prɛprotʃɛtɛli
препрочетем	prɛprotʃɛtɛm
препрочетен	prɛprotʃɛtɛn
препрочетена	prɛprotʃɛtɛnɐ
препрочетената	prɛprotʃɛtɛnɐtɐ
препрочетени	prɛprotʃɛtɛni
препрочетените	prɛprotʃɛtɛnitɛ
препрочетения	prɛprotʃɛtɛnijɐ
препрочетеният	prɛprotʃɛtɛnijɐt
препрочетено	prɛprotʃɛtɛno
препрочетеното	prɛprotʃɛtɛnoto
препрочетете	prɛprotʃɛtɛtɛ
препрочетеш	prɛprotʃɛtɛʃ
препрочетеше	prɛprotʃɛtɛʃɛ
препрочети	prɛprotʃɛti
препрочетох	prɛprotʃɛtox
препрочетоха	prɛprotʃɛtoxɐ
препрочетохме	prɛprotʃɛtoxmɛ
препрочетохте	prɛprotʃɛtoxtɛ
препрочетял	prɛprotʃɛtʲa̟ɫ
препрочетяла	prɛprotʃɛtʲa̟ɫɐ
препрочетяло	prɛprotʃɛtʲa̟ɫo
препрочетях	prɛprotʃɛtʲa̟x
препрочетяха	prɛprotʃɛtʲa̟xɐ
препрочетяхме	prɛprotʃɛtʲa̟xmɛ
препрочетяхте	prɛprotʃɛtʲa̟xtɛ
препрочита	prɛprotʃitɐ
препрочитай	prɛprotʃitɐj
препрочитайки	prɛprotʃitɐjki
препрочитайте	prɛprotʃitɐjtɛ
препрочитал	prɛprotʃitɐɫ
препрочитала	prɛprotʃitɐɫɐ
препрочиталата	prɛprotʃitɐɫɐtɐ
препрочитали	prɛprotʃitɐli
препрочиталите	prɛprotʃitɐlitɛ
препрочиталия	prɛprotʃitɐlijɐ
препрочиталият	prɛprotʃitɐlijɐt
препрочитало	prɛprotʃitɐɫo
препрочиталото	prɛprotʃitɐɫoto
препрочитам	prɛprotʃitɐm
препрочитаме	prɛprotʃitɐmɛ
препрочитан	prɛprotʃitɐn
препрочитана	prɛprotʃitɐnɐ
препрочитаната	prɛprotʃitɐnɐtɐ
препрочитане	prɛprotʃitɐnɛ
препрочитанета	prɛprotʃitɐnɛtɐ
препрочитанетата	prɛprotʃitɐnɛtɐtɐ
препрочитането	prɛprotʃitɐnɛto
препрочитани	prɛprotʃitɐni
препрочитаните	prɛprotʃitɐnitɛ
препрочитания	prɛprotʃitɐnijɐ
препрочитаният	prɛprotʃitɐnijɐt
препрочитанията	prɛprotʃitɐnijɐtɐ
препрочитано	prɛprotʃitɐno
препрочитаното	prɛprotʃitɐnoto
препрочитат	prɛprotʃitɐt
препрочитате	prɛprotʃitɐtɛ
препрочитах	prɛprotʃitɐx
препрочитаха	prɛprotʃitɐxɐ
препрочитахме	prɛprotʃitɐxmɛ
препрочитахте	prɛprotʃitɐxtɛ
препрочиташ	prɛprotʃitɐʃ
препрочиташе	prɛprotʃitɐʃɛ
препрочитащ	prɛprotʃitɐʃt
препрочитаща	prɛprotʃitɐʃtɐ
препрочитащата	prɛprotʃitɐʃtɐtɐ
препрочитащи	prɛprotʃitɐʃti
препрочитащите	prɛprotʃitɐʃtitɛ
препрочитащия	prɛprotʃitɐʃtijɐ
препрочитащият	prɛprotʃitɐʃtijɐt
препрочитащо	prɛprotʃitɐʃto
препрочитащото	prɛprotʃitɐʃtoto
преселник	prɛsɛɫnik
пресен	prɛsɛn
преслап	prɛsɫɐp
преследвач	prɛslɛdvatʃ
преставам	prɛstavɐm
престол	prɛstɔɫ
престъпление	prɛstɐplɛniɛ
престъпник	prɛstɤpnik
претам	prɛtɐm
претя	prɛtʲɐ
прехапа	prɛxapɐ
прехапал	prɛxapɐɫ
прехапала	prɛxapɐɫɐ
прехапалата	prɛxapɐɫɐtɐ
прехапали	prɛxapɐli
прехапалите	prɛxapɐlitɛ
прехапалия	prɛxapɐlijɐ
прехапалият	prɛxapɐlijɐt
прехапало	prɛxapɐɫo
прехапалото	prɛxapɐɫoto
прехапан	prɛxapɐn
прехапана	prɛxapɐnɐ
прехапаната	prɛxapɐnɐtɐ
прехапани	prɛxapɐni
прехапаните	prɛxapɐnitɛ
прехапания	prɛxapɐnijɐ
прехапаният	prɛxapɐnijɐt
прехапано	prɛxapɐno
прехапаното	prɛxapɐnoto
прехапах	prɛxapɐx
прехапаха	prɛxapɐxɐ
прехапахме	prɛxapɐxmɛ
прехапахте	prɛxapɐxtɛ
прехапва	prɛxapvɐ
прехапвай	prɛxapvɐj
прехапвайки	prɛxapvɐjki
прехапвайте	prɛxapvɐjtɛ
прехапвал	prɛxapvɐɫ
прехапвала	prɛxapvɐɫɐ
прехапвалата	prɛxapvɐɫɐtɐ
прехапвали	prɛxapvɐli
прехапвалите	prɛxapvɐlitɛ
прехапвалия	prɛxapvɐlijɐ
прехапвалият	prɛxapvɐlijɐt
прехапвало	prɛxapvɐɫo
прехапвалото	prɛxapvɐɫoto
прехапвам	prɛxapvɐm
прехапваме	prɛxapvɐmɛ
прехапван	prɛxapvɐn
прехапвана	prɛxapvɐnɐ
прехапваната	prɛxapvɐnɐtɐ
прехапване	prɛxapvɐnɛ
прехапванета	prɛxapvɐnɛtɐ
прехапванетата	prɛxapvɐnɛtɐtɐ
прехапването	prɛxapvɐnɛto
прехапвани	prɛxapvɐni
прехапваните	prɛxapvɐnitɛ
прехапвания	prɛxapvɐnijɐ
прехапваният	prɛxapvɐnijɐt
прехапванията	prɛxapvɐnijɐtɐ
прехапвано	prɛxapvɐno
прехапваното	prɛxapvɐnoto
прехапват	prɛxapvɐt
прехапвате	prɛxapvɐtɛ
прехапвах	prɛxapvɐx
прехапваха	prɛxapvɐxɐ
прехапвахме	prɛxapvɐxmɛ
прехапвахте	prɛxapvɐxtɛ
прехапваш	prɛxapvɐʃ
прехапваше	prɛxapvɐʃɛ
прехапващ	prɛxapvɐʃt
прехапваща	prɛxapvɐʃtɐ
прехапващата	prɛxapvɐʃtɐtɐ
прехапващи	prɛxapvɐʃti
прехапващите	prɛxapvɐʃtitɛ
прехапващия	prɛxapvɐʃtijɐ
прехапващият	prɛxapvɐʃtijɐt
прехапващо	prɛxapvɐʃto
прехапващото	prɛxapvɐʃtoto
прехапе	prɛxapɛ
прехапел	prɛxapɛɫ
прехапела	prɛxapɛɫɐ
прехапели	prɛxapɛli
прехапело	prɛxapɛɫo
прехапем	prɛxapɛm
прехапете	prɛxapɛtɛ
прехапете	prɛxɐpɛtɛ
прехапех	prɛxapɛx
прехапеха	prɛxapɛxɐ
прехапехме	prɛxapɛxmɛ
прехапехте	prɛxapɛxtɛ
прехапеш	prɛxapɛʃ
прехапеше	prɛxapɛʃɛ
прехапи	prɛxɐpi
прехапя	prɛxapʲɐ
прехапят	prɛxapʲɐt
прехвърля	prɛxvɤrlʲɐ
прехвърлям	prɛxvɤrlʲɐm
прехина	prɛxinɐ
прехлас	prɛxɫas
прецедент	prɛtsɛdɛnt
преча	prɛtʃɐ
пречист	prɛtʃist
пречупвам	prɛtʃu̟pvɐm
пречупя	prɛtʃu̟pʲɐ
прешлен	prɛʃlɛn
при	pri
прибера	pribɛra
прибирам	pribirɐm
приближа	pribliʒa̟
приближавам	pribliʒa̟vɐm
привет	privɛt
привнася	privnasʲɐ
