-am	ɔːm
tanára	tonaːro
tanára	tɒnaːrɒ
tanára	ˈtɒnaːrɒ
tanárhiányra	tɒnaːrhiːhaːɲrɒ
tanári	donaɾi
tanári	tɒnaːri
tanári	ˈtɒnaːri
tanárkodik	tɒnaːrkodik
tanárnak	tɒnaːrnɒk
tanárnő	tɒnaːrnøː
tanárnő	ˈtɒnaːrnøː
tanárnők	tɒnaːrnøːk
tanárnőtök	tɒnaːrnøːtyk
tanárod	tɒnaːrod
tanárok	tɒnaːrok
tanárok	tɒnaːrɔg
tanárok	ˈtɒnaːrok
tanárokat	tɒnaːrokɒt
tanárokat	tɒnaːroːkɒt
tanárokat	ˈtɒnaːɾokɒt
tanárokkal	tɒnaːrokːɒl
tanároknak	tɒnaːɾoːknɒk
tanárom	ˈtɒnaːrom
tanárral	tɒnaːrɒl
tanárral	tɒnaːrːɒl
tanársegéd	tɒnaːrʃeːgeːd
tanárt	tɒnaːrt
tanárt	tɒnɒːɾ
tanárt	ˈtɒnaːrt
tanárunk	tɒnaːruŋk
tanév	tane
tanév	tɒneːv
tanévben	tɒneːvbɛn
tanévek	tɒneːvɛk
tanévekben	tɒneːvɛgbɛn
tanévnyitás	tɒneːvɲiːtɒʃ
tanít	tɒniːt
tanítalak	tɒniːtɒlɒk
tanítalak	ˈtɒniːtɒlɒk
tanítana	tɒniːtɒnɒ
tanítanak	tɒniːtaːnɒk
tanítanak	tɒniːtɒnɒk
tanítani	tanitoni
tanítani	taːniːtaːniː
tanítani	tɒniːtɒni
tanítania	tɒniːtɒnijɒ
tanítaniuk	tɒniːtɒnijuk
tanítanod	tɒniːtaːnɔd
tanítanod	tɒniːtɒnod
tanítanom	tɒniːtɒnom
tanítanom	tɒniːtɒnɒm
tanítanotok	tɒniːtɒnotok
tanítanunk	tɒniːtɒnuŋk
tanítaná	tɒniːtɒnaː
tanítanád	tɒniːtɒnaːd
tanítanák	tɒniːtɒnaːk
tanítanál	tɒniːtɒnaːl
tanítanálak	tɒniːtɒnaːlɒk
tanítanám	tɒniːtɒnaːm
tanítanának	tɒniːtɒnaːnɒk
tanítanánk	tɒniːtɒnaːŋk
tanítanánk	tɒniːtɒnɒg
tanítanátok	tɒniːtɒnaːtok
tanítanék	tɒniːtɒneːk
tanítasz	tɒniːtɒs
taníthat	tɒniːthɒt
tanítja	tɒniːcːɒ
tanítjuk	tɒniːcːuk
tanítják	tɒniːtʃɒk
tanítjátok	tɒniːcːaːtok
tanítod	tɒniːtod
tanítod	tɒniːtɔd
tanítok	tɒniːtok
tanítok	tɒniːtɒk
tanítom	tɒniːtom
tanítotok	tɒniːtotok
tanított	tɑniːtot
tanított	tɒniːtotː
tanított	ˈtɒniːtː
tanította	tɑniːtotːɑ
tanította	tɒniːtotːɒ
tanította	tɒnɔlɪtɒ
tanítottad	tɒniːtotːɒd
tanítottad	tɒniːtːɒd
tanítottak	tɒniːtotːɒk
tanítottalak	tɒniːtotːɒlɒk
tanítottalak	tɒniːtːɒlɒk
tanítottam	tɒniːtotːɒm
tanítottam	tɒniːtːɒm
tanítottatok	tɒniːtotːɒtok
tanítottuk	tɒniːtotːuk
tanítottunk	tɒniːtotːuŋk
tanították	tɒniːtotːaːk
tanítottál	tɒniːtotːaːl
tanítottál	ˈtɒniːtːaːl
tanítottátok	tɒniːtotːaːtok
taníts	tɒniːtʃː
taníts	ˈtɒniːtʃ
tanítsa	tɒniːtsɒ
tanítsa	tɒniːtʃːɒ
tanítsak	tɒniːtʃːɒk
tanítsalak	tɒniːtʃːɒlɒk
tanítsam	tɒniːtʃːɒm
tanítsanak	tɒniːtʃːɒnɒk
tanítsatok	tɒniːtʃːɒtok
tanítsd	ˈtɒniʧ
tanítson	tɒniːtʃːon
tanítson	tɒniːʃon
tanítsuk	tɒniːtʃːuk
tanítsák	tɒniːtʃːaːk
tanítsál	tɒniːtʃːaːl
taníttat	tɒniːtːɒt
tanítunk	tɒniːtuŋk
tanítva	tɒniːtvɒ
tanítvány	tɒniːtvaːɲ
tanítványa	tonitvaːɲɒ
tanítványa	tɒniːtvaːɲɒ
tanítványai	toniːtvaːɲɒji
tanítványai	tɒniːtvaːɲɒi
tanítványai	tɒniːtvaːɲɒji
tanítványaidon	tɒniːtvaːɲɒjidon
tanítványaidra	tɒniːtvaːɲɒjidrɒ
tanítványaik	tɒniːtvaːɲɒjik
tanítványaim	tɒniːtvaːɲɒjim
tanítványaimon	tɒniːtvaːɲɒjimon
tanítványaimra	tɒniːtvaːɲɒjimrɒ
tanítványain	tɒniːtvaːɲɒjin
tanítványaink	tɒniːtvaːɲɒjiŋk
tanítványainkon	tɒniːtvaːɲɒjiŋkon
tanítványaira	tɒniːtvaːɲɒjirɒ
tanítványaitok	tɒniːtvaːɲɒjitok
tanítványaitokon	tɒniːtvaːɲɒjitokon
tanítványaitokra	tɒniːtvaːɲɒjitokrɒ
tanítványod	tɒniːtvaːɲod
tanítványodon	tɒniːtvaːɲodon
tanítványodra	tɒniːtvaːɲodrɒ
tanítványok	tɒniːtvaːɲok
tanítványokon	tɒniːtvaːɲokon
tanítványokra	tɒniːtvaːɲokrɒ
tanítványom	tɒniːtvaːɲom
tanítványomon	tɒniːtvaːɲomon
tanítványomra	tɒniːtvaːɲomrɒ
tanítványon	tɒniːtvaːɲon
tanítványotok	tɒniːtvaːɲotok
tanítványotokon	tɒniːtvaːɲotokon
tanítványotokra	tɒniːtvaːɲotokrɒ
tanítványra	tɒniːtvaːɲrɒ
tanítványt	tɒniːtvaːɲt
tanítványuk	tɒniːtvaːɲuk
tanítványukon	tɒniːtvaːɲukon
tanítványukra	tɒniːtvaːɲukrɒ
tanítványul	tɒniːtvaːɲul
tanítványunk	tɒniːtvaːɲuŋk
tanítványunkon	tɒniːtvaːɲuŋkon
tanítványunkra	tɒniːtvaːɲuŋkrɒ
tanítványán	tɒniːtvaːɲaːn
tanítványára	tɒniːtvaːɲaːrɒ
tanítás	tɒniːtaːʃ
tanítás	tɒniːtɒʃ
tanítása	tɑniːtɒːʃɒː
tanítása	tɒniːtaːʃɒ
tanítási	tɒniːtaːʃi
tanítási	tɒniːtɒʃi
tanítási	tɒniːʃi
tanítások	tɒniːtaːʃok
tanítást	tanitaːʃt
tanítást	tɒniːtaːʃt
tanító	tɒniːtoː
tanítók	tɒniːtoːk
tanítóképző	tɒniːtoːkeːbzøː
tanítómester	tɒniːtoːmɛʃtɛr
tanítómestere	tɒniːtoːmɛʃtɛrɛ
tanítómesterek	tɒniːtoːmɛʃtɛrɛk
tanítónéniket	tɒniːtɔneːnikɛt
tanítónő	tɒniːtoːnøː
tanóra	tanura
tanóra	tɒnoːrɒ
tanú	tɒnu
tanú	tɒnuː
tanúbizonyság	tɒnuːbizonʃaːg
tanúbizonyság	tɒnuːbizoɲʃaːg
tanúbizonysága	tɒnuːbizoɲʃaːgɒ
tanúd	tɒnuːd
tanúi	tɒnuː
tanúi	tɒnuːji
tanúja	tɒnuːjɒ
tanúját	tɒnujaːt
tanúk	tɒnuːk
tanúkat	tɒnuːkɒt
tanúként	tɒnuːkeːnt
tanúm	tɒnuːm
tanúnak	tɒnuːnɒk
tanúnk	tɒnuːŋk
tanúskodik	tɒnuːʃkodik
tanúskodik	tɒnuːʃkɔtik
tanúskodjon	tɒnuːʃkɔɟ
tanúskodnia	tɒnuːʃkɔdniɒ
tanúskodom	tɒnuːʃkɔdom
tanúskodott	tɒnuːʃkɔdot
tanúság	tɒnuːʃaːg
tanúság	tɔnuːʃaːg
tanúsít	tɒnuːʃiːt
tanúsítja	tɒnuːsiːkɒ
tanúsított	tɒnuʃiːtː
tanúsítvány	tɒnuːʃiːtvaːɲ
tanúsítványok	tɒnuːʃiːtvaːɲok
tanút	tɒnuːt
tanúval	tɒnuːvɒl
tanúvallomás	tɒnuːvɒlːomaːʃ
tanúvallomások	tɒnuːvɒlːomaːʃok
tanúvallomást	tɒnuːvɒlːomaːʃt
tanúvédelem	tɒnuːveːdɛlɛm
tanúvédelmi	tɒnuːveːdɛlmi
tanügyminisztérium	tonuɟministeːrium
tao	tɒo
tao	tɒoː
taoista	tɒojiʃtɒ
taoizmus	tɒojizmuʃ
tapad	topɔd
tapad	tɒpɒd
tapad	ˈtɒpɒd
tapadás	tɒpɒdaːʃ
tapadás	tɒpɒdɒʃ
tapadási	topɒdaːʃi
tapadókorong	tɒpɒduːkoroŋk
tapasz	tɑpɑs
tapasz	tɒpɒs
tapaszok	tɒpɒsok
tapaszt	tapast
tapaszt	tɒpɒst
tapasztal	tɒpɒstɒl
tapasztalat	tɑpɑstɑlɑt
tapasztalat	tɒpɒstɒlɒt
tapasztalat	ˈtɒpɒstɒlɒt
tapasztalata	tɒpɒstɒlɒtɒ
tapasztalata	ˈtɒpɒstɒlɒtɒ
tapasztalatai	tɒpɒstɒlɒtɒiː
tapasztalataim	ˈtɒpɒstɒlɒtɒjim
tapasztalataink	tɒpɒstɒlɒtɒiŋz
tapasztalatból	ˈtɒpɒstɒlɒtboːl
tapasztalatcsere	tɒpɒstɒlɒttʃɛrɛ
tapasztalati	tɒpɒstɒlɒti
tapasztalatlan	tɒpɒstɒlɒtlɒn
tapasztalatlan	ˈtɒpɒstɒlɒtːlɒn
tapasztalatlanabb	tɒpɒstɒlɒtlɒnɒbː
tapasztalatlanság	tɒpɒstɒlɒtlɒnʃaːg
tapasztalatlanságok	tɒpɒstɒlɒtlɒnʃaːgok
tapasztalatod	ˈtɒpɒstɒlɒtod
tapasztalatok	tɒpɒstalotok
tapasztalatok	tɒpɒstɒlɒtok
tapasztalatokat	tɒpɒstɒlɒtokɒt
tapasztalatokat	ˈtɒpɒstɒlɒtok
tapasztalatokkal	tɒpɒstɒlɒtokːɒl
tapasztalatokról	tapastalatukruɫ
tapasztalatom	tɒpɒstɒlɒtom
tapasztalatom	ˈtɒpɒstɒlɒtom
tapasztalatot	tɒpɒstɒlɒtot
tapasztalatot	ˈtɒpɒstɒlɒt
tapasztalatszerzés	tɒpɒstɒlɒtsɛrzeːʃ
tapasztalattal	tɒpɒstɒlɒtːɒl
tapasztalattal	ˈtɒpɒstɒlɒtɒl
tapasztalhatót	tɒpɒsdɒlhɒtuːt
tapasztalni	ˈtɒpɒstɒlni
tapasztalt	tɒpɒstɒlt
tapasztalt	ˈtɒpɒstɒlt
tapasztaltabb	tɒpɒstɒltɒbː
tapasztaltabb	ˈtɒpɒstɒltɒbː
tapasztaltak	tɒpɒstɒltɒk
tapasztaltam	tapastaːtam
tapasztaltam	tɒpɒstɒltɒm
tapasztaltam	ˈtɒpɒstɒltɒm
tapasztaló	tɒpɒstaˈloː
tapasztó	tapastɔ
tapenol	tɔpɛnɔl
taperol	tɒpɛrol
tapicskol	to˩˥ːpi˥˩ʧkol
tapint	tapint
tapint	tɒpint
tapintat	dapinto
tapintat	tɒpintɒt
tapintatlan	tɒpintɒtlɒn
tapintatlan	ˈtɒpintɒtlɒn
tapintatlanabb	tɒpintɒtlɒnɒbː
tapintatlanság	tɒpiːntɒtlɒnʃaːg
tapintatok	tɒpintɒtok
tapintatos	taːpiːntɒtos
tapintatos	tɒpintɒtoʃ
tapintatos	tɒpiːntɒtɒʃ
tapintatos	ˈtɒpintɒtoʃ
tapintatosabb	tɒpintɒtoʃɒbː
tapintatosan	tɒpiːntɒtoːʃon
tapintattal	tɒpintɒtːɒl
tapintható	tɒpinthɒtoː
tapintás	tɑpintɑːʃ
tapintás	tɒpintaːʃ
tapintás	tɒpiːntaːʃ
tapintása	tɒpintaːʃɒ
tapintású	tɒpintaːʃuː
tapintó	topintu
tapló	tɒploː
tapló	ˈtɒploː
taplók	tɒploːk
tapodtat	tɒpottɒt
tapogat	tɑpɔgat
tapogatóláb	tɒpoːgɒtɒlaːb
tapogatólábak	tɒpugɒtoːlaːbɒg
tapogatószál	tɒpoːgɒtuːsaːl
tapolca	tapoltsa
tapolca	tɒpoltsɒ
tapos	tɒpoʃ
tapos	tɒpɒs
taposni	ˈtɒpoʃni
taposs	ˈtɒpoʃ
taposás	tɑːpɒsas
taposóakna	tɒpoʃoːɒknɒ
taposómalom	tɒpoʃoːmɒlom
taposósaru	tɒpoʃoːʃɒruː
tappancsa	toppɔntʃa
tapperol	tɔppɛrol
taps	taps
taps	tɒpʃ
taps	tɔpʃ
taps	ˈtɒpʃ
tapsi	ˈtɒpsi
tapsifüles	topʃifylɛʃ
tapsikol	topʃɪkol
tapsikál	topʃikaːl
tapsok	tɒpʃok
tapsok	tɒpʃɒk
tapsol	tɒpʃol
tapsoljuk	ˈtɒpʃojuk
tapsolni	kapʃuɛni
tapsorkán	topʃorkaːn
tapsot	topʃɔt
tapsot	ˈtɒpʃot
tapssal	ˈtɒpʃːɒl
tapsvihar	topʃvihɔr
tapsvihar	tɒpʃviɦɒr
tapsviharral	tɒpʃviɦɒrːɒl
tapéta	tɒpeːtɒ
tapéta	ˈtɒpeːtɒ
tapétabolt	tɒpeːtɒvolt
tapéták	tɒpeːtaːk
tapír	topiɾ
tapír	tɒpiːr
tar	tɒr
tara	ˈtɒrɒ
tarackbúzák	tɒrɒdzgbuːzaːk
tarahumara	tarahumora
taraj	doroj
taraj	tɒrɒj
tarajos	tɒrɒjuʃ
tarajosgőte	tɒrɒjoːʃgøːtɛ
tarantula	taːraːntula
tarantász	tɒrɒntaːs
taraszk	daraːsk
tardis	ˈtɒrdiʃ
tardis-t	tɒrdiʃ
targonca	tɒrgontsɒ
targoncák	tɒrgontsaːk
tarhonya	tɒrɦoɲɒ
tarhos	tɒrɦoʃ
tarhál	tɒrɦaːl
tarhál	tɒrɦɒl
tarifa	tarifa
tarifa	tɒrifɒ
tariq	tɒriːk
tarisznyával	to˥˩rɪsɲa˥˩val
tarja	tɒrjɒ
tarján	torian
tarján	tɒrjaːn
tarka	tɑːrkɔ
tarka	tɒrkɒ
tarka	ˈtɑrkɑ
tarkabarka	tɑːrkabɑrka
tarkalepke	tɒrkɒlɛpkɛ
tarkalepkeféle	tɒrkɒlɛpkɛfeːlɛ
tarkalepkefélék	tɒrkɒleːpkɛfeːleːk
tarkasüllő	ˈtɑrkɒʃylːøː
tarkább	tɒrkaːbː
tarkállik	tɒrkaːlik
tarkállik	tɒrkaːlːik
tarkó	taːrkou
tarkó	tɒrkoː
tarkójára	tɒrkojaːrɒ
tarkók	tɒrkoːk
tarkóra	tɒrkoːrɒ
tarkószíj	tɒrkoːsiːj
tarkő	torku
tarlatán	tɒrlɒtaːn
tarló	tɒrloː
tarlók	tɒrloːk
tarlórépa	tɒrloːreːpɒ
tarlórépát	tɑrloːriːbat
tarna	tɒrnɒ
tarnaszentmiklós	tɒrnɒsɛntmikroːʃ
tarnaszentmária	tɒrnɒsɛntmaːrijɒ
taro	ˈtɒro
tarok	tɒrok
tarokk	tɒrokː
tarokon	tɒrokon
tarol	tɒrol
tarot	ˈtɒɾot
tarra	tɒrːɒ
tarsoly	torʃoˈj
tarsoly	tɒrʃoj
tarsolyok	tɒrʃojok
tart	tɒrt
tart	tɔrt
tartalak	tɒrtɒlɒk
tartalak	ˈtɑrtɑlɑk
tartalma	tɒrtɒlmɒ
tartalmak	tɒrtɒlmok
tartalmak	tɒrtɒlmɒk
tartalmakkal	tɒrtɒlmɒkːɒl
tartalmas	tɒrtɒlmaːʃ
tartalmas	tɒrtɒlmɒʃ
tartalmat	tɒrtɒlmɒt
tartalmaz	tɒrtɒlmɒz
tartalmaz	ˈtɑrtɒlmɒz
tartalmazhatnak	tɒrtɒlmɒsvaːtnɒk
tartalmaznak	tɒrtɒlmɒznɒk
tartalmaznak	ˈtɒrtɒlmɒnɒk
tartalmazni	tɒrtɒlmɒzni
tartalmazni	tɒrtɒlmɒzniː
tartalmaznia	tɒrtolmɒznjɒ
tartalmaznia	tɒrtɒlmɒznijɒ
tartalmazott	ˈtɒrtɒlmɒzot
tartalmazta	taːrtaːmasta
tartalmazta	tɒrtɒlmɒstɒ
tartalmazza	tɒrtɒlmozgɒ
tartalmazza	tɒrtɒlmɒzːɒ
tartalmazza	ˈtɑrtɒlmɒzːɒ
tartalmazzák	tɒrtolmɒzsaːk
tartalmazó	tɒrtɒlmɒzoː
tartalmi	tɒrtɒlmi
tartalmilag	tɒrtɒlmilɒg
tartalmából	tɒrtɒlmaːboːl
tartalmának	tɒrtolmaːnɒk
tartalmának	tɒrtɒlmaːnɒk
tartalmát	tɒrtɒlmaːt
tartalmát	ˈtɒrtɒlmaːt
tartalmáért	tɒrtolmaːɪrt
tartalmú	tartalmu
tartalom	tɒrtɒlom
tartalom	ˈtɒrtɒlom
tartalomajánló	tɒrtɒlomɒjaːlːoː
tartalomhoz	tɒrtɒlomːhoz
tartalomjegyzék	tɒrtɒlomjɛɟzeːk
tartalomjegyzékek	tɒrtɒlomjɛɟzeːkɛk
tartalommal	tɑrtɑlomˈmɑl
tartalommal	tɒrtɒlomːɒl
tartalék	tɒrtɒleːk
tartalékaim	tɒrtaːleːkɒim
tartalékkapus	tɑrtɑleːgkɒpuʃ
tartalékok	tɒrtɒleːkok
tartalékos	ˈtɒrtɒleːkoʃ
tartalékosoké	tɒrtɒleːkoʃoki
tartam	taːrtam
tartam	tɒrtɒm
tartamok	tɒrtɒmok
tartana	tɒrtɒnɒ
tartanak	tɒrtɒnɒk
tartanak	ˈtɑrtɒnɒk
tartandó	tɒrtɒndoː
tartani	tɒrtɒni
tartania	tɑrtɔnia
tartania	tɒrtɒnijɒ
tartania	tɒrtɒniɒ
tartaniuk	tɒrtɒnijuk
tartaniuk	tɒrtɒniuk
tartanod	tɒrtɒnod
tartanod	ˈtɒrtɒnod
tartanom	tɒrtɒnom
tartanotok	tɒrtɒnotok
tartanunk	tɒrtɒnuŋk
tartaná	tɒrtɒnaˈ
tartaná	tɒrtɒnaː
tartaná	ˈtɑrtɑnaː
tartanád	tɒrtɒnaːd
tartanák	tɒrtɒnaːk
tartanál	tɒrtɒnaːl
tartanálak	tɒrtɒnaːlɒk
tartanám	tɒrtɒnaːm
tartanának	tɒrtɒnaːnɒk
tartanánk	tɒrtɒnaːŋk
tartanátok	tɒrtɒnaːtok
tartanék	tɒrtɒneːk
tartasz	tɑrtɑs
tartasz	tɒrtɒs
tarthassa	dɑːrdhɑːʃʃæ
tarthat	tɒrthɒt
tarthatatlan	tɒrthɒtɒtlɒn
tarthatja	ˈtɑrthɑtʃɑ
tarthatjuk	taːrhaːtʃuk
tarthatják	ˈtɑrthɒtʃɒk
tarthatnak	ˈtɑrthɒtnɒk
tarthatnák	tɑrðhɒtnaːk
tarthatnánk	taːrthaːtnɒŋk
tarthatod	tɒrthɒtod
tarthatok	tɒrthɒtok
tarthatom	tɒrthɒtom
tarthatsz	tɒrthɒtʃ
tarthatunk	taːrhatuŋk
tartjuk	tɑɾtʃʊk
tartjuk	tɒrcuk
tartjuk	tɒɾtʃuk
tartják	tɔrtʃaːk
tartják	ˈtɑrtʃaːk
tartod	tɑːrtot
tartod	tɒrtod
tartogasd	tɒrtɔgɒʃd
tartogat	tɑrtogoːt
tartogat	ˈtɒrtogɒt
tartogatom	ˈtɒrtogɒtom
tartogattam	ˈtɒrtogɒtːɒm
tartok	tɒrtok
tartok	tɔrtuk
tartok	ˈtɒrtɒk
tartom	tɒrtom
tartom	tɔrtum
tartomány	tɒrtomaːɲ
tartományban	tɒrtomaːɲbɒn
tartományfőnök	tɒrtomaːɲfoːnøk
tartománynevekre	tɒrtomaːɲinɛvɛkrɛ
tartományok	tɒrtomaːɲok
tartományokba	ˈtɒrtomaːɲokbɒ
tartományú	tɒrtoːmaːɲu
tartományúr	tɒrtomaːɲur
tartotok	tɒrtotok
tartotok	ˈtɒrtoːtɒk
tartott	tɒrtot
tartott	tɒrtotː
tartotta	tɑrtutːɑ
tartotta	tɒrtotːɒ
tartotta	ˈtɒrtotːɒ
tartottad	tɒrtotːɒd
tartottak	tɒrtotk
tartottak	tɒrtotːɒk
tartottak	tˈɑrtotːɒk
tartottalak	tɒrtotlɒlɒk
tartottalak	tɒrtotːɒlɒk
tartottam	tɑːɾtɑtːɑm
tartottam	tɒrtotːɒm
tartottam	ˈtɒrtotːɒm
tartottatok	tɒrtotːɒtok
tartottuk	tartotːuk
tartottuk	tɒrtotːuk
tartottuk	ˈtɒrtotːuk
tartottunk	tɒrtotːuŋk
tartották	tɒrtotːaːk
tartottál	tɒrtotːaːl
tartottál	ˈtɒrtotːaːl
tartottátok	tɒrtotːaːtok
tartozik	tɒrtozik
tartozik	tɒrtɒzik
tartozik	ˈtɒrtozik
tartozna	ˈtɒrtosnɒ
tartoznak	tartɔznɑːk
tartoznak	tɒrtoznɒk
tartoznak	ˈtɒrtoznɒk
tartozni	tɒrtosni
tartozok	ˈtɒrtosok
tartozol	tɒrtɒzol
tartozom	ˈtɒrtosom
tartozott	ˈtɒrtozot
tartoztak	tɒrtotʃɒk
tartoztam	tɒrtotʃtɒm
tartoztok	ˈtɒrtosok
tartozunk	ˈtɒrtozʊŋk
tartozz	tɒrtozː
tartozás	tɒrtozaːʃ
tartozás	tɒrtɒzaːʃ
tartozás	ˈtɒrtozaːʃ
tartozásod	tɒrtosaːʃ
tartozásokból	ˈtɒrtɒzaːʃokboːl
tartozásom	tɒrtosaːʃom
tartozást	ˈtɒrtozaːʃt
tartozását	tɒrtɒzoːʃɒt
tartozék	tɒrtozeːk
tartozék	tɒrtɒseːk
tartozékok	tɒrtozeːkok
tartozó	tɒrtozoː
tartozó	tɔrtuzoː
tartozó	ˈtɒrtozoː
tarts	tɒrtʃ
tarts	tɔrtʃ
tarts	ˈtɑrʧ
tartsa	tartʃa
tartsa	tɒrtʃɒ
tartsa	ˈtɑrtsɑ
tartsad	tɒrtʃɒd
tartsad	tɒrʃɒd
tartsak	tɒrtʃɒk
tartsak	ˈtɑrʃɑk
tartsalak	tɒrtʃɒlɒk
tartsalak	tɒrʃɒlɒk
tartsam	tɒrtʃɒm
tartsanak	tɒrtʃɒnɒk
tartsanak	tɒrʃɒnɒk
tartsatok	tɒrtʃɒtok
tartsd	ˈtɑrʧ
tartson	tɑrtʃɔn
tartson	tɒrtʃon
tartson	ˈtɑrtʃon
tartsuk	tɒrtʃuk
tartsuk	tɔrtʃuk
tartsuk	ˈtɑrtsuk
tartsunk	tɒrtʃuŋk
tartsunk	ˈtɑrʃuŋk
tartsák	tɒrtʃaːk
tartsák	ˈtɑrʃaːk
tartsál	tɒrtʃaːl
tartsátok	tɑrtʃaːtok
tartsátok	tɒrtʃaːtok
tartsátok	ˈtɑrʃɑtok
tartunk	tɒrtuŋk
tartva	tɒrtvɒ
tartva	ˈtɒrtvɒ
tartály	tɒrtaːj
tartály	tɔrtaj
tartály	ˈtɑrtaːj
tartályba	tɒrtaːjbɒ
tartályban	ˈtɑrtaːjbɑn
tartályok	tɒrtaːjok
tartályokat	ˈtɒrtaːjoːkɒt
tartás	tɒrtaːʃ
tartás	tɔrtaʃ
tartás	tɔrtɑʃ
tartása	tɒrtaːʃɒ
tartása	tɒɾtɒʃɒ
tartásdíjat	tɒrtaːʃdiːjɒt
tartó	tartu
tartó	tartɔ
tartó	tɒrtoː
tartó	ˈtɒrtoː
tartóborda	tartuborda
tartóbordák	tɒrtuːbɒrdak
tartód	tɒrtoːd
tartófalakat	tɑrtuːfɑlɑkɑt
tartófalat	tɒrtoːfalɒt
tartók	tɒrtoːk
tartóm	tɒrtoːm
tartós	tɒrtoːʃ
tartósabb	tɒrtoːʃɒbː
tartósan	tʊrtoːʃaːn
tartósít	tɒrtoːʃiːt
tartósítás	tɒrtoːʃiːtaːʃ
tartósító	tɑrtoːʃiːtoː
tartózkodik	tɒrtoːkodik
tartózkodik	tɒrtoːskodik
tartózkodni	ˈtɒrtoːkɔdni
tartózkodott	tɑrtʰɔzkɔdɔtt
tartózkodott	tɒrtoːkɔdot
tartózkodás	tɒrtoːskodaːʃ
tartózkodása	tortoːskoːˈdaːʃɒ
tartózkodási	tɑːrtuːzkɒdɒːʃiː
tartózkodási	tɒrtoːskodaːʃi
tartózkodási	ˈtɑrtoːkodaːʃi
tartózkodó	tɒrtoːskodoː
tartózkodóbb	tɒrtoːskodoːbː
tartóztasd	tɒrtoːʃtɒʃd
tartóztassa	ˈtɒrtoːstɒʃːɒ
tartóztassák	tɒrtoːʃtɒʃɒk
tartóztat	tɒrtoːstɒt
tartóztatja	tɒrtoːstɒcːɒ
tartóztatta	tɒrtoːʃtɒtɒ
tartóztattak	ˈtɒrtoːstɒtːɒk
tartóztatták	ˈtɒrtoːstɒtɒk
tartóztatva	ˈtɒrtoːstɒtvɒ
tarzan	tɑrʒɑn
tarát	ˈtɒraːt
taré	tɒreː
taréj	tɒreːj
taréjok	tɒreːjok
tas	taʃ
tasak	tɒʃɒk
tasakok	tɒʃɒkok
tash	tɒʃ
tasha	ˈtɒʃɒ
tasi	tɔʃi
tasli	taːʃli
tasmania	tɒzmaːnijɒ
tasnád	kɒʃnaːd
tasnádszántó	tɒʃnɒtsaːntoː
tass	tɒʃː
tasztatúra	tastatura
taszít	tɒsiːt
tat	tɒt
tat	tɔt
tata	tata
tata	tɒtɒ
tatabánya	tɒtɒbaːɲɒ
tataroz	tɒtɒroz
tataroz	tɒtɒɾɒz
tatarozás	tɒtɒroːzaːʃ
tate	ˈtɒtɛ
tatiana	ˈtɒtiɒnɒ
tatrang	tɒtrɒŋg
tatros	tɔtɾuʃ
tatu	tatu
tatu	tɒtu
tatu	tɔtu
tatum	ˈtɒtum
taták	tɒtaːk
tatán	tɒtaːn
tatár	tɔtɒr
tatárantilop	tɒtaːrɒntilɒb
tatáriszalag	tɒtaːriʃɒlɒg
tatárjárás	tɒtaːrjaːraːʃ
tatárjárás	tɒtɒrijɒraːʃ
tatárkérdés	tɒtaːrkɛɾdeːʃ
tatárul	tɒtɒrul
tau	tɒu
tau	ˈtɒu
taum	tɒum
taun	tɒun
taura	tɒurɒ
taut	tɒut
tautologikus	tautoloːgikːuʃ
tautológia	tɒutoloːgijɒ
tava	tɒvɒ
tavacska	tɒvɒtʃkɒ
tavacskák	tɒvɒtʃkaːk
tavai	tɒvɒji
tavak	tɒvɒk
tavaly	tɒvɒj
tavaly	tɒvɒlɪ
tavalyi	tɒvɒji
tavalyi	ˈtɒvɒji
tavasszal	tauːasˈsaː
tavasszal	tɒvɒsː
tavasszal	tɒvɒsːɒl
tavasz	povas
tavasz	tawas
tavasz	tɒvɒs
tavasza	tɒvɒsɒ
tavaszi	toˈʋɒsi
tavaszi	tɑːbɑːsiː
tavaszi	tɒvɒsi
tavaszias	tɔvɑsiaʃ
tavasziasítás	ˈtɒvɒsiɒʃiːtɒʃ
tavaszok	tɒvɒsok
tavaszonként	tɒvɒsoŋkeːnt
tavaszán	tɒvɒsaːn
tavaszán	tɔvɒsaːn
tavat	dɑwɑt
tavat	tɒvɒt
tavat	ˈtɒvɒt
tavirózsa	taviruːʒa
tavon	ˈtɒvon
tavára	tɒvaːrɒ
taxi	taksi
taxi	toksi
taxi	tɒksi
taxiba	ˈtɒxibɒ
taxiban	tɑksibãn
taxiban	tɒksibɒn
taxiban	ˈtɒxibɒn
taxicégek	tɒksitseːgɛk
taxik	tɒksik
taxin	taksjn
taxira	tɒksirɒ
taxira	ˈtɒxiɾɒ
taxis	taːksiʃ
taxis	tɒksis
taxis	tɒksiʃ
taxisofőr	tɒksiʃoføːr
taxisofőr	tɒksiʃɒfɛr
taxisofőr	ˈtɒkʃoʃføːr
taxistörvény	ˈtɒksiʃtørveːɲ
taxit	ˈtɒʃit
taxival	tɒkʃivɒl
taxival	ˈtɒʃivɒl
taxiállomás	tɒksiaːlomaːʃ
taxiállomásra	tɒksiaːlomaːʃrɒ
taxonómia	taksonomio
taxonómia	tɒksonoːmijɒ
taxonómiája	tɒksoːnoːmjaːja
