ஃ	ʔ
பாவனாவை	paːʋanɑːʋai
பாவனை	paːʋɐɲi
பாவமா	paːvəmā
பாவமாக	paːʋʌmaːkɐ
பாவம்	paːʋəm
பாவிப்பு	paːʋɪpːɯ
பாவெல்	paːʋel
பாவை	paːvai
பாவ்னே	paːʋneː
பாவ்லோ	paːʋloː
பாஷை	paːʂai
பாஷ்	paːʂ
பாஸின்	paːsin
பாஸில்	paːsil
பாஸுக்கு	paːsukːu
பாஸும்	paːsũ
பாஸே	paːseː
பாஸை	paːsai
பாஸ்	paːs
பாஸ்ஃ	paːs
பாஸ்கரன்	paːskəɾən
பாஸ்கரின்	paːskɐɾin
பாஸ்கரை	paːskaɾai
பாஸ்கர்	paːskər
பாஸ்ட்	paːst̪
பாஸ்போர்ட்	paːspɔɾʈ̪
பாஸ்ஸிடம்	paːsːiɖam
பாஸ்’	paːs
பாஸ்”	paːs
பி	pi
பிஃபா	piːpɑ
பிஎம்டபிள்யூ	piəmt̪ɑːbluː
பிஎஸ்	piːs
பிஎஸ்ஜி	piɛsgi
பிகினி	pigini
பிகு	pɪgɯ
பிகுபண்ணு	pɪgʊbɐɳːɯ
பிகுவேற்று	pɪgʊʋeːtrɯ
பிக்	pig
பிக்களும்	pigːəɭum
பிக்கள்	pigkɛl
பிக்சர்	pigɕər
பிக்சர்சும்	pigɕɐrʈum
பிக்சர்சை	pigɐɾtɕai̯
பிக்சர்ஸ்	pigʃərs
பிக்சிங்	pig̊iɕiŋ
பிக்பாஷ்	pigbɑɕ
பிக்பாஸில்	pigbɑːsiɭ
பிக்பாஸ்	pigbɑs
பிக்பேஷ்	pigbeːʃ
பிக்ஷர்ஸ்	pigʂərs
பிக்ஷு	bɪkʂɯ
பிங்	piŋ
பிங்கதிருட்டி	pɪŋgɐd̪ɪɾʊʈːi
பிங்கல	piŋgəl
பிங்கலகேசி	pɪŋgɐlɐgeːsi
பிங்க்	piŋk
பிங்பிங்	piŋpiŋ
பிசகாமல்	piɕgaːmaɭ
பிசகு	pɪsɐgɯ
பிசகுசொல்லு	pɪsɐgʊsɔllɯ
பிசகுநாறு	pɪsɐgʊn̪aːrɯ
பிசக்கு	pɪsɐkːɯ
பிசங்கம்	pɪsɐŋgɐm
பிசங்கற்சீலை	pɪsɐŋgɐrsiːlɐɪ̯
பிசங்கு	pɪsɐŋgɯ
பிசண்டம்	pɪsɐɳɖɐm
பிசண்டிலன்	pɪsɐɳɖɪlɐn
பிசனம்	pɪsɐnɐm
பிசம்	pɪsɐm
பிசறு	pɪsɐrɯ
பிசறுதல்	pɪsɐrʊd̪ɐl
பிசாசக்கை	pɪsaːsɐkːɐɪ̯
பிசாசடித்தல்	pɪsaːsɐɖɪt̪ːɐl
பிசாசன்	pɪsaːsɐn
பிசாசர்	pɪsaːsɐɾ
பிசாசாடுதல்	pɪsaːsaːɖʊd̪ɐl
பிசாசுபிடித்தல்	pɪsaːsʊbɪɖɪt̪ːɐl
பிசாத்து	pɪsaːt̪ːɯ
பிசான்	pɪsaːn
பிசி	pɪsi
பிசிசிஐ	piɕiɕiʌj
பிசிசிஐக்கு	piɕiɕiːkːu
பிசிசிஐயிடம்	piɕiɕiːjɪɖ̪am
பிசிசிஐயின்	piɕiɕiːjɪ̃ː
பிசிசிஐயை	piɕiɕiːjɐj
பிசிதாசனர்	pɪsɪd̪aːsɐnɐɾ
பிசினரக்கு	pɪsɪnɐɾɐkːɯ
பிசினரிசி	pɪsɪnɐɾɪsi
பிசினஸ்	piɕinɯs
பிசினி	pɪsɪni
பிசின்	pɪsɪn
பிசின்பட்டை	pɪsɪnbɐʈːɐɪ̯
பிசியாக	piɕiɑkɑ
பிசியான	piɕiɑːn
பிசியோதெரபி	piɕiɔd̪eɾapi
பிசிர்தல்	pɪsɪɾd̪ɐl
பிசிறுலாடு	pɪsɪrʊlaːɖɯ
பிசுகு	pɪsʊgɯ
பிசுகுதல்	pɪsʊgʊd̪ɐl
பிசுக்கோத்து	pɪsʊkːoːt̪ːɯ
பிசுனம்	pɪsʊnɐm
பிசுபிசு	pɪsʊbɪsɯ
பிசுபிசுத்தல்	pɪsʊbɪsʊt̪ːɐl
பிசுபிசுத்தவன்	pɪsʊbɪsʊt̪ːɐʋɐn
பிசுபிசெனல்	pɪsʊbɪsɛnɐl
பிசுமந்தச்சூரணம்	pɪsʊmɐn̪d̪ɐtɕːuːɾɐɳɐm
பிசை	pɪsɐɪ̯
பிசைதல்	pɪsɐɪ̯d̪ɐl
பிச்	piɕ
பிச்சர்ஸ்	piɕːaɾs̪
பிச்சு	pɪtɕːɯ
பிச்சுநெட்டி	pɪtɕːʊn̪ɛʈːi
பிச்சை	piɕːai
பிச்சைக்காரன்	piɕːaːkaːɾən
பிச்சைவாரி	pɪtɕːɐɪ̯ʋaːɾi
பிஜு	pigu
பிஜூ	bidʒu
பிஜேபி	bidʒeːpi
பிஜேபிக்கு	pidʒeːbikːu
பிஜேபியின்	pidʒeːpi
பிஜேபியை	pidʒeːpijɐj
பிஞ்சிற்பழு	pɪɲdʑɪrpɐɻɯ
பிஞ்சு	piɲdʑu
பிஞ்சு	pɪɲdʑɯ
பிஞ்ச்	piɲtʃ
பிடல்	piɖɭ
பிடி	piɖi
பிடிஐ	piɖi
பிடிக்க	piɖikː
பிடிக்கச்	piɖikɨtʃ
பிடிக்கலாம்	piɖikːɑːm
பிடிக்கலை	piɖikɑli
பிடிக்கவில்லை	piɖikɐʋilɨjːɨ
பிடிக்காத	piɖɪkɑː
பிடிக்காததால்	piɖɪkɑːdɑːɭ
பிடிக்காதவர்கள்	piɖɪkɑːɖʌɾʌɭʌɭ
பிடிக்காது	piɖikɑːdu
பிடிக்காமல்	piɖikɑːməl
பிடிக்கிற	piɖikir̃
பிடிக்கிறது	piɖikːɪndɾo
பிடிக்கிறார்	piɖikɾaːr
பிடிக்குமா	piɖikːumɑ
பிடிக்கும்	piɖikːum
பிடிக்கும்போது	piɖikːumpoː
பிடிச்ச	piɖitʃː
பிடிச்சி	piɖitʃːi
பிடிச்சிருக்கு	piɖiʈːiruːkːu
பிடிச்சு	piɖiʈːu
பிடித்த	piɖiʈː
பிடித்ததால்	piɖiʈɐɖɔːl
பிடித்தது	piɖit̪ːɯ
பிடித்தன	piɖit̪ːən̪
பிடித்தனர்	piɖiʈːənɾʌ
பிடித்தபடி	piɖiʈɐpaɖi
பிடித்தமான	piɖiʈːəmaːn̪
பிடித்தமானவர்கள்	piɖiʈːəmoːnəvaɭi
பிடித்தம்	piɖit̪ːəm
பிடித்தவன்	piɖiʈɐʋən
பிடித்தவர்	piɖit̪ːʋəɾ̩
பிடித்தவர்கள்	piɖiʈʈʌɾɐɻ
பிடித்தவர்கள்ஃ	piɖit̪ːəʋələŋː
பிடித்தார்	piɖiʈːaːr
பிடித்தால்	piɖiʈːɑːl
பிடித்திருக்க	piɖiʈːuɾukː
பிடித்திருக்கிறது	piɖiʈːɾukːiɾgoɾː
பிடித்திருக்கிறார்	piɖiːt̪ːuɾukirɑːr
பிடித்திருக்கும்	piɖiʈːiɾukːu
பிடித்திருந்த	piɖiθːuɾːɯn̪t̪
பிடித்திருந்தது	piɖit̪ːuɾːʌn̪d̪u
பிடித்திருந்தார்	piɖit̪ːuɾɐː
பிடித்திருந்தால்	piɖiʈuɾaːɭ
பிடித்திருப்பதற்கு	piɖiːt̪ːuɾupːɐɖəɾkːu
பிடித்திருப்பவர்	piɖiːtraʋːəʋə
பிடித்து	piɖiʈu
பிடித்துக்	piɖiʈuk
பிடித்துப்	piɖiʈup
பிடித்தும்	piɖit̪ːum
பிடித்துள்ள	piɖiθuɭ̩
பிடித்துள்ளது	piɖiʈuɭɯɳ
பிடித்துள்ளன	piɖiθuɭɭəɳ
பிடித்துள்ளனர்	piɖiɭuɭɭənɾɯ
பிடித்துள்ளவர்	piɖiθuɭɭəʋəɾ
பிடித்துள்ளார்	piɖiɖuɭɭɑːr
பிடித்துவிடுவார்	piɖit̪ːuʋiɖʋaːr
பிடித்துவிட்டது	piɖiʈuʋit̪ːɐ
பிடித்துவிட்டார்	piɖit̪ːuʋiʈːaːr
பிடித்துவிட்டால்	piɖit̪ːuʋiʈːɑːl
பிடிபட்ட	piɖipɑʈː
பிடிபட்டு	piɖipːuʈːu
பிடிப்பதற்காக	piɖipːəɽɐkɑːgɑ
பிடிப்பதிலும்	piɖipːaɖil
பிடிப்பது	piɖipːɖu
பிடிப்பார்	piɖipɑːr
பிடிப்பு	piɖipːu
பிடிப்பேன்	piɖip̚eːn
பிடிப்போம்	piɖipːom
பிடியில்	piɖiɪ̯
பிடிவாத	piɖiʋɑːt̪
பிடிவாதமாக	piɖiʋɑːt̪əmoːgɑ
பிடிவாதம்	piɖiʋaːt̪am
பிடிவாரண்ட்	piɖiʋaːɾɳɖ̪
பிடுங்க	piɖuŋk
பிடுங்கி	piɖuŋki
பிடுங்கு	pɪɖʊŋgɯ
பிட்	piɖ
பிட்காயின்	piɖgaːɪ̯n
பிட்கு	pɪʈkɯ
பிட்சில்	piɖʈil
பிட்ச்	piɖʈʂ
பிட்ச்களில்	piɖɕːəɭil
பிட்ச்சில்	piɖtʃːil
பிட்டாக	piʈːaːg
பிட்டு	piʈːu
பிட்டு	pɪʈːɯ
பிட்டை	piʈːai
பிணத்தை	piɳɖai̯
பிணந்தின்னி	pɪɳɐn̪d̪ɪnːi
பிணமாக	piɳəmaːgɐ
பிணவு	pɪɳɐʋɯ
பிணை	piɳai
பிணைப்பு	piɳai̯pu
பிண்டி	pɪɳɖi
பிதுங்கி	piɖuŋgi
பிதுங்கு	pɪd̪ʊŋgɯ
பிதுரி	piɖuɾi
பிந்து	piɳɖu
பிந்துமாதவி	bind̪umɑːd̪ɑvi
பிந்தைய	bind̪ai̯
பிந்த்ரே	bind̪reː
பினரயி	piˈnəɾaji
பினராயி	pinəɾaːji
பினராயியை	pin̪əɾaːjijaɪ
பினராய்	pinəɾɔːj
பினா	piɳa
பினாகி	piˈnɑːgi
பினாங்கு	pɪnaːŋgɯ
பினாமி	piˈnaːmi
பினாமிகளாக	pinaːmigaraːgɯ
பினாமியாக	piːn̪aːmijɐkɐ
பினு	piɳu
பினுவை	piɳuʋai
பின்	piɳ
பின்கட்டுமாறுகட்டு	pɪngɐʈːʊmaːrʊgɐʈːɯ
பின்கள	piɲɟəɭ
பின்ச்	piɳtʃ
பின்தங்கி	piɳɖaŋgi
பின்தங்கிய	piɳɖaŋgi
பின்தங்கியிருந்தது	piɳɖaŋgiɾun̪t̪u
பின்தொடர்ந்து	piɳɖoɖəɾ̪u
பின்னடைவாக	piɳɳɑɖɑʋɑgɑ
பின்னடைவாகவே	piɳɳɑɖaɪʋɑːgʋeː
பின்னடைவு	piɳɳaɖɯ
பின்னடைவுதான்	piɳɳaɖaɪ̯ʋutaːn
பின்னடைவை	piɳɳaɖaʋai
பின்னணி	piɳɳɐɲi
பின்னணிப்	piɳɳaɲip
பின்னணியாக	piɳːɳiʝɐgɐ
பின்னணியில்	piɳɳaɲij
பின்னணியும்	piɳɳaɲijum
பின்னணியை	piɳɳaɲijai
பின்னனி	piɳɳi
பின்னப்படுத்து	pɪnːɐpːɐɖʊt̪ːɯ
பின்னரும்	piɳɳəɾum
பின்னரே	piɳːɾeː
பின்னர்	piɳɳəɾ
பின்னர்தான்	piɳɳɐɾtaːn
பின்னல்	piɳɳəl
பின்னழகை	piɳɳɐɻgaɪ
பின்னாடி	piɳɳaːɖi
பின்னாடி	pɪnːaːɖi
பின்னாடியும்	piɳɳaːɖijum
பின்னாடியே	piɳɳaːɖiːe
பின்னாலேயே	piɳɳaːl̪eːjeː
பின்னால்	piɳɳɑːl
பின்னால்தான்	piɳɳɑːɭ̪taːn
பின்னாளில்	piɳɳaɭil
பின்னி	piɲːi
பின்னிப்	piɳiɪp
பின்னு	pɪnːɯ
பின்னுக்கு	piɳːuʈːu
பின்னுக்குத்	pɪnːukːʌt̪
பின்னுக்குத்தள்ளி	piɳːukːut̪ːɭːi
பின்னும்	piɳːu
பின்னே	piɳːe
பின்னோக்கிப்	piɳːokːip̚
பின்பனி	pɪnbɐni
பின்பற்ற	piɳpɾɳ
பின்பற்றாமல்	piɳpɾɑːmɑːl
பின்பற்றி	piɳpɾiʈi
பின்பற்றும்	piɳpɾɨːm
பின்பு	piɳpu
பின்பு	pɪnbɯ
பின்புதான்	piɳpud̪aːn̪
பின்பும்	piɳpum
பின்புறம்	piɳpɯrəm
பின்பே	piɳbeː
பின்போடு	pɪnboːɖɯ
பின்லாந்து	piɲɭɑːnt̪u
பின்லாந்து	pɪnlaːn̪d̪ɯ
பின்வரிசை	piɳʋəɾiʃaɪ
பின்வரிசையில்	piɳʋɾiʂai̯l
பின்வருமாறு	piɳʋɾumaːru
பின்வருமாறுஃ	piɳʋɾumaːɾu
பின்வரும்	piɳʋəɾum
பின்வாங்கியது	piɳʋaːŋkɪɖu
பின்வாங்கு	pɪnʋaːŋgɯ
பிபா	biːbɑ
பிபிசி	pibitɕi
பிபிசிஎல்	pibisil̪
பிப்	biːp
பிப்ரவரி	piːbɾɐʋari
பிப்ரவரி	pɪbɾɐʋɐɾi
பிப்ரவரியில்	piːbɾɐʋiɾiʎ
பிம்பத்தை	piːm̩p̪əɭɯʈai̯
பிம்பம்	piːmb̪ːam
பியரி	pijɐɾi
பியர்	piːɾ
பியா	piə
பியார்	piːɾ̪
பியுமான	pijumaːn̪
பியும்	piːm
பியூட்டி	piːʈːi
பியூஷ்	piːuʃ
பியூஸ்	piːuːs
பியோங்சாங்	piɔŋtɕaŋ
பியோங்சாங்கில்	piəɳʈʂaːŋgil
பிய்த்து	piːɖːu
பிய்த்துக்	piʈːuk
பிரகடனம்	prəgəɖənəm
பிரகஸ்பதி	brɨhɐspad̪i
பிரகஸ்பதி	bɪɾɐgɐspɐd̪i
பிரகாசமாக	prɐgaːsɐmaːgɐ
பிரகாசம்	pɪɾɐgaːsɐm
பிரகாசிதம்	pɪɾɐgaːsɪd̪ɐm
பிரகாஷின்	prəgaːʂin
பிரகாஷ்	prəgɑːʃ
பிரகாஷ்குமார்	prəgɑːʃkʊmɑːr
பிரகாஷ்ராஜ்	prəgɑːʃɾɑːʈ
பிரக்ஞானந்தா	prəgɳaːnənt̪aː
பிரசங்கங்கள்	pɪɾɐsɐŋgɐŋgɐɭ
பிரசங்கம்	pɪɾɐsɐŋgɐm
பிரசங்கி	pɪɾɐsɐŋgi
பிரசன்னா	prɐsɐnːɐ
பிரசவ	prɐsɐʋ
பிரசவம்	prɐsɐʋɐm
பிரசாதம்	pɪɾɐsaːd̪ɐm
பிரசாத்	prɐsaːt̪
பிரசாத்தின்	prɐsɐt̪ːiɳ
பிரசாத்தும்	prɐsɐtːum
பிரசாந்த்	prɐsɐɳʈ
பிரசார	prɐsɑːr
பிரசாரக்	prɐsɑːɾɐk
பிரசாரங்களை	piɾɑːsɑːɾʌŋkaɭi
பிரசாரங்கள்	prɐsɑːrʌŋgɑː
பிரசாரத்தின்	prɑsɑːrtʃʰɨt̪ːam
பிரசாரத்தின்போது	prɐsɑːɾɐt̪ːiɳpɔɻ
பிரசாரத்திற்கு	piɾɑːɾɑːt̪ːu
பிரசாரத்தில்	prɐsɑːrt̪ːeːl
பிரசாரத்தை	prɐsaːɾɐtːɐj
பிரசாரம்	prɐsɑːɾɐm
பிரசித்தி	prɐtɕit̪ːi
பிரசினம்	pɪɾɐsɪnɐm
பிரசுரம்	prɐsuɾəm
பிரசேசுவரன்	pɪɾɐseːsʊʋɐɾɐn
பிரச்சனை	piɾatɕɛnɛ
பிரச்சனைஃ	piɾatɕənaɪ
பிரச்சனைகளால்	piɾɑtʃɑnɑjɑɾɑːɭ
பிரச்சனைகளிலும்	piɾatɕaniɐjɪɭo
பிரச்சனைகளில்	piɾatɕɑniɾil
பிரச்சனைகளுக்கு	piɾatɕanajɯkːu
பிரச்சனைகளுக்கும்	piɾɑtʃɑniɑɾʌkːu
பிரச்சனைகளை	piɾɑtʃɑnɑjɑɾɑj
பிரச்சனைகளையும்	piɾatɕanajɾej
பிரச்சனைகள்	piɾɑtʃɑnɑj
பிரச்சனைக்காக	piɾɑtʃɑnɑːkɑːgɑː
பிரச்சனைக்கு	piɾatɕənaɪkːu
பிரச்சனைக்கும்	piɾatɕənaikːum
பிரச்சனையா	piɾatɕanajɑː
பிரச்சனையாக	piɾatɕɑnɑjɑgɯ
பிரச்சனையால்	piɾɑtʃɑnɑjɑːɭ
பிரச்சனையின்	piɾɑtʃani
பிரச்சனையிலும்	piɾɑtʃɑnɑjilɛm
பிரச்சனையில்	piɾatɕaniæj
பிரச்சனையும்	piɾɑtʃaniʝɯ
பிரச்சனையே	piɾatɕanajːe
பிரச்சனையை	piɾatɕanai̯
பிரச்சார	prɑtɕɑːr
பிரச்சாரங்கள்	piɾɑtɕɑːɾəŋgɑ
பிரச்சாரத்தின்போது	piratɕaːɾat̪ːin̪poːɻ
பிரச்சாரத்திற்கு	piɾɑtɕɑːɾɑt̪ːu
பிரச்சாரத்தில்	piɾɑtɕɑːɾ̪t̪iɭ
பிரச்சாரத்துக்கு	piɾɑtʃɑːɾɑtːukːu
பிரச்சாரத்தை	piɾɑtʃɑːɾɑːt̪ːai̯
பிரச்சாரப்	piɾɑtɕɑːɾəp̚
பிரச்சாரமும்	piɾɑtʃɑːɾəmʌ
பிரச்சாரம்	prətɕaːɾəm
பிரச்சினை	prətɕiɳaɪ̯
பிரச்சினைகளில்	piɾatɕiniɑːɾil
பிரச்சினைகளுக்கு	piɾatɕiniɑːɾugu
பிரச்சினைகளை	piɾatɕiɳaiɾai
பிரச்சினைகள்	piɾatɕinaɪ̯
பிரச்சினைக்கு	piɾatɕiniːkːu
பிரச்சினையில்	piɾatɕiniæɭ
பிரச்சினையும்	piɾatɕiniæ̯m
பிரச்சினையே	piɾatɕiɳaɪ̯e
பிரச்சினையை	piɾatɕiniɐj
பிரச்சினையைச்	piɾatɕiniɐjitɕ
பிரச்னை	prɐsnaɪ
பிரச்னைகளில்	pr̪as̪ɳaikɪɾɪɭ
பிரச்னைகளுக்கு	pr̪as̪ɳaːguːkːu
பிரச்னைகளும்	prɐsniɐɾum
பிரச்னைகளை	piɾasn̪aikaɪ
பிரச்னைகளையும்	pr̪as̪ɳaɪ̯ɾaɪ̯
பிரச்னைகள்	prɐsn̪aɪ̯ɟai̯
பிரச்னைக்காக	pr̪ɐs̪n̪aːkːɑːgɑː
பிரச்னைக்கு	prɐsniːkːu
பிரச்னையாக	prɐɕɳiɑːgɐ
பிரச்னையால்	prɐsɳɐjɑːɭ
பிரச்னையின்	prɐsnaɪ̯
பிரச்னையில்	prɐsnai̯j
பிரச்னையில்லை	prɐsɳɐjɪlːi
பிரச்னையும்	prɐɕɳəjʌm
பிரச்னையே	prɐsɳɐjɛ
பிரச்னையை	piɾasnəj
பிரஜக்தா	prɐgɐkːɐː
பிரஜனேஷ்	prəgənɛʃ
பிரஜ்னேஷ்	pradʒneːʃ
பிரஞ்சு	pɪɾɐɲdʑɯ
பிரணவ்	piɾɐɳɐʋ
பிரணாப்	piɾɐnɑːbʱ
பிரணாய்	prəɳɔːj
பிரணிதா	prəɳiɖɑ
பிரணீத்	prəɳiːt̪
பிரண்டன்	prɐn̪ɖən̪
பிரண்ட்ஸ்	prɐɳɖʂ
பிரதம	prɐd̪əm
பிரதமராக	pr̪əɖəmərɑːg̊
பிரதமரான	prɐd̪əmərɑːn̪
பிரதமரிடம்	pr̪əɖəməɾɪɖɐm
பிரதமரின்	prɐd̪əməɾin
பிரதமருக்கு	prɐd̪əmərɯkːu
பிரதமருடனான	ɓɾɐd̪əməɾɯɳɐːn̪
பிரதமருடன்	prɐd̪əməɾɯɳ
பிரதமருமான	piɾɐd̪əməɾuːmɑːn
பிரதமரும்	prɐd̪əmərɯ
பிரதமரை	prɐd̪əmərəj
பிரதமர்	prɐd̪əməɾ
பிரதர்	prɐd̪ər
பிரதர்ஸ்	prɐd̪ərɨs̪
பிரதா	prɐd̪ɐ
பிரதான	prɐd̪aːn̪
பிரதானமாக	prɐd̪aːnɐmaːgɐ
பிரதான்	prɐd̪aːn̪
பிரதாப்	prɐd̪ɐp̪
பிரதி	piɾɖi
பிரதிநிதி	piɾɾatiːniɾi
பிரதிநிதிகளின்	piɾɾatin̪igiɾin̪
பிரதிநிதிகளுடன்	piɾɾatin̪id̪igoɭ̪t̪an
பிரதிநிதிகளும்	piɾɾatin̪id̪iguɾum
பிரதிநிதிகளை	pr̪əɖiɳiɖigai̯
பிரதிநிதிகள்	piɾɐdin̪iɖigɐ
பிரதிநிதித்துவச்	piɾɐdin̪iɖit̪ːuʋɕ
பிரதிநிதியாக	piɾɾatiɳiɖagɯ
பிரதிநிதியை	pr̪əɖiˈn̪iɖai
பிரதிபலிக்கும்	piɾɾɐbɐlikːum
பிரதிபலிப்பாக	piɾɾɪbɐlɪpɑːgɑː
பிரதிஷ்டை	pr̪əɖiʂːai̯
பிரதீப்	pr̪əɖiːp̚
பிரதேச	prɐd̪eːʃ
பிரதேசத்தின்	prɐd̪eːʃɐt̪ːam
பிரதேசத்திற்கு	piɾɐdeːʈːɨkːu
பிரதேசத்தில்	prɐd̪eːʃt̪ɪmːɪl
பிரதேசத்தை	piɾɾaːɾɛːʈɑj
பிரதேசம்	prɐdeːʃɐm
பிரதேசம்	pɪɾɐd̪eːsɐm
பிரத்யேக	prɐd̪jɛːg
பிரத்யேகமாக	pr̪ad̪eːgəmaːgɐ
பிரத்யேகமான	prɐd̪jɛːgɔmɐn
பிரத்வெயிட்	prɐɖʋejɨɳɖ
பிரனாய்	piɾənaːj
பிரபல	prɑbɑl
பிரபலங்களிடம்	piɾəbəgəŋgaɭiɖəm
பிரபலங்களின்	prɐbɐlgəɳi
பிரபலங்களில்	piɾəbɐl̪əŋkaḷə
பிரபலங்களுக்கு	piɾəbəgəŋkaɭu
பிரபலங்களுக்கும்	piɾəbəgəŋkaɭukːu
பிரபலங்களுடன்	piɾəbəgəŋgəɭ̪ɯʈ̪an
பிரபலங்களும்	piɾəbəgəŋgəɭum
பிரபலங்களை	piɾəbəɭəŋki
பிரபலங்களையும்	piɾəbəgəŋkaɭaɪ̯m
பிரபலங்கள்	piɾəbəɭəŋki
பிரபலத்தின்	piɾəbəɭət̪t̪im
பிரபலப்படுத்தும்	piɾəbəɭəɾəɾuːm
பிரபலமடைந்த	prɐbɐləmɐɖai̯n̪t̪ə
பிரபலமடைந்தவர்	prɐbələmɐɳɖɐʋəɾ
பிரபலமாக	piɾəbəlagɑː
பிரபலமாகி	piɾəbəlaʋəgaɪ
பிரபலமாகிவிட்டார்	piɾəbəɭəmagaɪʋɨʈːaːr
பிரபலமான	prɐbələmɐn
பிரபலமானது	prɑbɑləmaːn̪d̪u
பிரபலமானவர்	prɐbələmɐnəʋəɾ
பிரபலமானவர்கள்	prɑbɑləmaːnʋəkɾi
பிரபலமானார்	piɾəbəlamɑːnɑːɾ
பிரபலமும்	prɑbɑləmum
பிரபலம்	prɑbələm
பிரபாகரனின்	piɾɐbɑːgɐɾɐn̪in̪
பிரபாகரனை	piɾɑbɑːgəɾɑːni
பிரபாகரன்	prɑbɑːgɑːrən
பிரபாகரன்	pɾɐbaːkɐɾɐn
பிரபாகர்	prɑbɑːgər
பிரபாத்	prɑbɑːt̪
பிரபாவதி	prɑbɑːʋɑːdi
பிரபாஸின்	prɐbɑːsiɳ
பிரபாஸுக்கு	prɑbɑːsukːu
பிரபாஸுடன்	piɾɑbɑːɕʈɑ̃
பிரபாஸை	prɑbɑːsɑj
பிரபாஸ்	prɐbɑːs̪
பிரபு	prɑbu
பிரபு	pɪɾɐbɯ
பிரபுசாலமன்	prɑbuɕɑːlɑmɑn
பிரபுதேவா	prɐbʊd̪eːʋɐ
பிரபுதேவாவின்	piɾɐbuɾɛʋɑːʋi
பிரபுதேவாவுக்கு	piɾɐbuɾɛʋɑːu̯kːu
பிரபுதேவாவுடன்	prɐbʊd̪eːʋɑːʋɑːt̪ːɑ̃
பிரபுதேவாவும்	piɾɐbuɾɛʋɑːʋ
பிரபுதேவாவை	prɐbʊd̪eːʋɑːʋɑj
பிரபுவின்	prɐbʊʋin
பிரபுவுக்கு	prɐbʊgu
பிரபுவுடன்	piɾɐbuɽɯʈan
பிரபுவை	piɾɐbuʋai
பிரப்சிம்ரன்	prɑːbʃiːmrɑːn
பிரமல்	prəmaɭ
பிரமாண	prəmaːɳ
பிரமாணப்	prəmɑːɳp̚
பிரமாணப்பத்திரம்	prəmɑːɳəpːətrə
பிரமாணம்	prəmɑːɳəm
பிரமாண்ட	prəmaːɳː
பிரமாண்டமாக	prəmɑːɳːt̪əmaːgɑ
பிரமாண்டமான	prəmɑːɳːt̪ːəmaːn̪
பிரமாதமாக	prəmɑːt̪əmaːgɑ
பிரமான	piɾɑːmɑːn
பிரமானம்	piɾɑːmɑːn̪
பிரமிக்க	prəmiʋk
பிரமிப்பு	prəmiɱpːu
பிரமிப்பை	prəmipːai
பிரமுகரும்	prəmʊgəɾum
பிரமுகர்	prəmʊgər
பிரமுகர்களின்	prəmʊgərɪŋ
பிரமுகர்களும்	prəmʊkəɾəŋ
பிரமுகர்கள்	prəmʊgərʌɻi
பிரமோ	prəmo
பிரமோத்	prəmoːɖ
பிரமோவின்	prəmoːʋin
பிரமோவில்	prəmoːʋil
பிரமோவை	prəmoʋəj
பிரமோஷன்	prəmoːʂən
பிரம்ம	prəma
பிரம்மா	prəmaː
பிரம்மாண்ட	prəmaːɳːɖ
பிரம்மாண்டமாக	prəmaːɳɖəmaːgə
பிரம்மாண்டமான	prəmaːɳːəɳːə
பிரம்மாண்டமாய்	prəmaːɳɖəmoː
பிரம்மாண்டம்	prəmaːɳɖam
பிரயன்	prəɪən
பிரயாண்ட்	prəjɑːɳɖ
பிரயோசனம்	pɪɾɐjoːsɐnɐm
பிரளயத்தை	prəlɐjət̪ːɐj
பிரவின்	prəʋiɳ
பிரவீண்	prəʋiɳ
பிரவீன்	prəʋiːn
பிரவேச	prəʋeːʃ
பிரவேசத்திற்கு	prɑʋeːʈːɨkːu
பிரவேசத்துக்கு	prəʋeːʈːukːu
பிரவேசத்தை	prəʋeːʃt̪aɪ̯
பிரவேசம்	prəʋeːʃəm
பிரஷரை	piɾɕəɾai
பிரஷர்	piɾɕːər
பிரஷாந்த்	piɾɕɑːɳʈ
பிரஸ்	prɛs
பிரஸ்மீட்	prɑsm̩iːɖ
பிரா	piɾɑː
பிராசாதம்	pɪɾaːsaːd̪ɐm
பிராசீரம்	pɪɾaːsiːɾɐm
பிராச்சி	prɑːtɕːi
பிராடின்	piɾaːɖin
பிராடிற்கு	piɾaːɖɪkːu
பிராட்	prɑːɖ
பிராட்டி	pɪɾaːʈːi
பிராட்மேனின்	piɾɑːɖmɛːn̪in̪
பிராட்மேனுக்கு	piɾɑːɖmɛːnukːu
பிராட்மேன்	piɾɑːɖmɛːn
பிராணவாயு	pɪɾaːɳɐʋaːjɯ
பிராண்ட்	piɾɑːɳɖ
பிராத்வெயிட்	piɾɑːdʋejɪɖ
பிராத்வெயிட்டை	piɾɑːdʋejːɪɖɑɪ̯
பிராத்வைட்	piɾɑːdʋɑɪ̯t̪
பிராந்திய	piɾɑːn̪d̪iː
பிரான்சின்	piɾɑːn̪tɕin̪
பிரான்சிஸ்	piɾɑːn̪tɕiːs̪
பிரான்ஸின்	piɾɑːnsɪn
பிரான்ஸைச்	piɾɑːn̪sai̯tʃ
பிரான்ஸ்	piɾɑːns
பிராமண	prɑːmɑːɳ
பிராமணர்	prɑːmɑːɳər
பிரார்த்தனை	piɾɑːrt̪ːəɳɐi
பிராவோ	piɾaːʋoː
பிராவோவிடம்	piɾaːʋoːʋɪɖam
