અં	ə̃ː
રાહતની	ɾɑːʈt̪n̪i
રાહતનો	ɾɑːʈno
રાહિલ	ɾɑːhil
રાહી	ɾɑhiː
રાહુના	ɾɑːhuɳɑ
રાહુની	ɾɑhuːniː
રાહુલ	ɾɑːhuːl
રાહુલએ	ɾɑːhuːle
રાહુલથી	ɾɑːhuːt̪ʰi
રાહુલના	ɾɑːhuːlnɑ
રાહુલની	ɾɑːhuːln̪i
રાહુલનું	ɾɑːhuːln̪ʋe
રાહુલને	ɾɑːhuːl̪n̪e
રાહુલે	ɾɑːhuːle
રિ	ɾi
રિઇમેજિંગ	ɾiːmɛdʒɪŋ
રિએક્શન	ɾiːɛkʃən
રિએક્શનથી	ɾiːɛkʃəntʰiː
રિકરિંગ	ɾikɾiŋg
રિકવર	ɾɪkʋəɾ
રિકવરી	ɾɪkʋəɾi
રિકવરીની	ɾɪkʋəɾiːniː
રિકવરીને	ɾɪkʋəɾiːnɛ
રિકવેસ્ટ	ɾɪkʋɛsʈ
રિકી	ɾiki
રિક્રૂટમેન્ટ	ɾɪkɾuːʈment
રિક્ષા	ɾikʂɑ
રિક્ષાના	ɾikʂaːnə
રિંગ	ɾiŋg
રિંગ્સ	ɾiŋgs
રિચ	ɾiːtʃ
રિચમંડ	ɾitʃəməɳɖ
રિચર્ડ	ɾiːtʃɑɾɖ
રિચર્ડ્સના	ɾɪtʃəɾɖs̪nə
રિચા	ɾitʃə
રિચાર્જ	ɾitʃɑːɾdʒ
રિચાર્જને	ɾitʃɑːɾdʒne
રિચાર્ડ	ɾitʃɑːɽɖ
રિચાર્ડએ	ɾitʃɑːɾɖeː
રિચાર્ડના	ɾitʃɑːɽɖnɑː
રિચાર્ડની	ɾitʃɑːɾɖniː
રિચાર્ડસને	ɾitʃɑːɾɖəseː
રિચાર્ડ્સ	ɾiːtʃɑːɾɖs
રિચાર્ડ્સને	ɾitʃɑːɾɖs̪n̪e
રિચાર્ડ્સે	ɾitʃɑːɾɖs̪e
રિજ	ɾigʌ
રિજલ્ટ	ɾidʒəlʈ
રિજિયન	ɾidʒijən
રિજેક્ટ	ɾidʒɛkʈ
રિજેક્શન	ɾiːdʒɛkʃən
રિઝ	ɾiːz
રિઝર્બ	ɾɪzɾəb
રિઝર્લ	ɾiʐɾəl
રિઝર્વ	ɾɪzɾʋ
રિઝર્વના	ɾiːzəɾʋəna
રિઝર્વબેન્ક	ɾiʐɾɛvbɛŋk
રિઝર્વેશન	ɾiʐɾɛʋɛʃn̪
રિઝવવાની	ɾiʒʋʋɑːni
રિઝવાન	ɾiʒʋaːn
રિઝવાનભાઇ	ɾiʐʋaːnbʰai
રિઝવાનભાઇએ	ɾɪzʋaːnbʰaɪe
રિઝવાનભાઇના	ɾɪzʋaːnbʰai̯nə
રિઝવાનભાઇની	ɾɪzʋaːnbʰaɪ̯niː
રિઝવાનભાઇનો	ɾɪzʋaːnbʰai̯no
રિઝિલ્ટ	ɾiɾɾʌɾʌsʌɾʌt
રિઝોલ્યુશન	ɾizoːljuːʃən
રિઝોલ્યુશનને	ɾiʐoɭjʉʃənne
રિઝોલ્યૂશન	ɾizoːljuːʃən
રિઝોલ્યૂશનનો	ɾizoːʎuːʃənno
રિઝોલ્યૂશનમાં	ɾiʒoɭjuʃənmæ̃
રિટર્ન	ɾit̪ɾən
રિટર્નથી	ɾit̪ɾən̪t̪ʰi
રિટર્નની	ɾɪt̪ɾənni
રિટર્નનું	ɾɪt̪ɾʋn̪ʋə
રિટર્નમાં	ɾit̪ɾən̪mæ̃
રિટર્ન્સ	ɾit̪ɾəns
રિટર્ન્સના	ɾit̪ɾənsna
રિટર્ન્સની	ɾɪt̪ɾənsniː
રિટર્ન્સે	ɾɪt̪ɾəns̪e
રિટવિટ	ɾɪtʋɪt
રિટાયર	ɾiːt̪ɑjɾ
રિટાયરમેન્ટ	ɾiːtɑjəɾəment
રિટાયરમેન્ટની	ɾɪtɑjɾəment̪ni
રિટાયર્ડ	ɾiːtɑjɾɑːd̪
રિટાયર્નમેન્ટના	ɾɪtɑjɾnɛmɛnt̪nɑ
રિટેન	ɾɪt̪eːn
રિટેલ	ɾiːt̪eːl
રિટેલમાં	ɾiːt̪eːl̪mɑ̃ː
રિટેલર	ɾɪt̪eːl̪əɾ
રિટેલરો	ɾiːt̪eːl̪ɾoː
રિટેલરોએ	ɾiʈɛlloɛ
રિટેલર્સ	ɾɪt̪ʰeːlɾɪs
રિટ્રાઇવર	ɾɪtɾɑɪvɾə
રિડેમ્પશન	ɾiːd̪ʌmpəʃən
રિડેમ્પશનના	ɾiːd̪em̪pəʃənə
રિત	ɾɪt̪
રિતિક	ɾɪt̪ɪk
રિતિકના	ɾɪt̪ɪk̪n̪e
રિતિકને	ɾit̪ɪk̪n̪e
રિતિકે	ɾit̪ike
રિતુ	ɾitu
રિતેશ	ɾiːteːʃ
રિદ્ધિ	ɾiːd̪ʱɪ
રિદ્ધિમાન	ɾɪd̪ʱiːmaːn̪
રિન્યુ	ɾiɲʋu
રિન્યુએબલ	ɾiɳjuæbəl
રિન્યુવલ	ɾiɲuʋəl
રિન્યૂએબલ	ɾiɲjuːɛbəl
રિપીટ	ɾɪpiːt̪
રિપેમેન્ટને	ɾipemɛn̪t̪ə
રિપોર્ટ	ɾipɔːɾt̪
રિપોર્ટથી	ɾipɔɾt̪ʰe
રિપોર્ટના	ɾipɔɾʈnɑ
રિપોર્ટની	ɾipɔɾʈni
રિપોર્ટનું	ɾipɔːɾʈʰʊ̃
રિપોર્ટને	ɾipɔːɾʈne
રિપોર્ટનો	ɾiːpoːɾʈnoː
રિપોર્ટમાં	ɾipɔːɾʈmɑ̃
રિપોર્ટર	ɾipɔːɾt̪ɾ
રિપોર્ટરની	ɾipɔːɾʈəni
રિપોર્ટરને	ɾipɔːɾʈəne
રિપોર્ટરે	ɾipɔɾt̪ɾe
રિપોર્ટર્સ	ɾipɔːɾtɾs
રિપોર્ટર્સને	ɾipɔːɾʈəɾsəne
રિપોર્ટિંગ	ɾiːpoːɾʈiŋ
રિપોર્ટે	ɾipɔːɾe
રિપોર્ટ્સ	ɾipɔːɾʈs
રિપોર્ટ્સના	ɾipɔːɾʈsna
રિપોર્ટ્સની	ɾiːpoːɾʈʰsniː
રિપ્રેઝન્ટ	ɾɪpɾeːʒənt̪
રિપ્લાય	ɾɪpɭəɪ
રિપ્લેમાં	ɾɪpɭə̃
રિપ્લેસ	ɾɪpɭeːs
રિપ્લેસમેન્ટ	ɾɪpɭɛs̪mɛn̪ʈ
રિફંડ	ɾiːfɑ̃ɖ
રિફંડના	ɾifəɳɖə
રિફંડની	ɾifəɳɖniː
રિફંડમાં	ɾiːfɑɳɖmɑ̃
રિફંડેબલ	ɾiːpʰəɳɖeːbəl
રિફન્ડ	ɾɪfɪ́ɳɖ
રિફન્ડની	ɾɪfɪnd̪niː
રિફાઈનરી	ɾifəi̯nɾiː
રિફાઈનિંગ	ɾiːfɑɪnɪŋ
રિફોર્મ	ɾiːfoːɾm
રિફ્યુજી	ɾiɸjugi
રિફ્રેશ	ɾɪfɾeːʃ
રિબુકી	ɾɪbukɪ
રિબોક	ɾɪboːk
રિમ	ɾim
રિમાઇન્ડર	ɾiːmaːiːnd̪əɾ
રિમાંડ	ɾimɑɳɖ
રિમાન્ડ	ɾimɑːnɖ
રિમાન્ડમાં	ɾiːmɑ̃ːd̪mɑ̃ː
રિમિક્સ	ɾimɪkʰ
રિમી	ɾiːmiː
રિમૂવ	ɾiːmoːʋ
રિમે	ɾiːme
રિમેક	ɾiːmeːk
રિમેકથી	ɾiːmeːkəθi
રિમેકનો	ɾiːmeːknoː
રિમેક્સમાં	ɾɪmeːkəɳ
રિયર	ɾijər
રિયલ	ɾijəl
રિયલાઈઝેશન	ɾijəliːʒeːʃən
રિયલિટી	ɾijəlit̪iː
રિયલી	ɾijɑliː
રિયલ્ટી	ɾijɛl̪t̪iː
રિયાજની	ɾiʌdʒɲi
રિયાઝ	ɾiːjɑːz
રિયાદ	ɾiːjɑːd̪
રિયાન	ɾijɑːn
રિયાના	ɾijɑːnɑː
રિયાનું	ɾijɑnũ
રિયાલિટી	ɾijɑːliːt̪iː
રિયાસત	ɾijɑːsət
રિયાસતને	ɾijɑːsət̪ne
રિયો	ɾiʌo
રિયોમાં	ɾijomɑ̃
રિર્ચાજ	ɾiɾtʃɑːdʒ
રિર્ઝવ	ɾiɾdʒʋ
રિર્ટન	ɾiːɾʈən
રિર્ટનનો	ɾiːɾt̪n̪oː
રિલક્ટૅંટ	ɾɪlkʈɛnt̪
રિલઝ	ɾilz
રિલાયનસ	ɾɪlɑjəns
રિલાયન્સ	ɾiːlɑjə̃s
રિલાયન્સના	ɾɪlɑjɪnsnɑ
રિલાયન્સની	ɾɪlɑjɪnsniː
રિલાયન્સનું	ɾɪlɑjɪns̪n̪u
રિલાયન્સને	ɾɪlɑjɪns̪n̪e
રિલાયન્સનો	ɾɪlɑjɪnsno
રિલાયન્સમાં	ɾɪlɑjɪns̪mɑ̃
રિલાયન્સમાંથી	ɾɪlɑjɪns̪mɑ̃tʰi
રિલાયન્સે	ɾɪlɑjɪnsɛ
રિલાલિટી	ɾiːlɑːlɪtiː
રિલિઝ	ɾiːlɪz
રિલિઝને	ɾiːlɪʈʰne
રિલીઝ	ɾiːliːdʒʰ
રિલીઝથી	ɾiːliːt̪ʰi
રિલીઝના	ɾiːliːdʒnɑ
રિલીઝને	ɾiːliːtʃnɛ
રિલીઝનો	ɾiːliːʒnoː
રિલીઝિંગ	ɾiːliːʃiŋ
રિલેક્સ	ɾiːleːkʌs
રિલેક્સના	ɾiːleːkʌsna
રિલેટિવ્ઝ	ɾileːʈiʋɪʃ
રિલેટિવ્સ	ɾɪlɛt̪ɪvɪs
રિલેશન	ɾiːleːʃən
રિલેશનશિપ	ɾiːleʃənʃɪp
રિલેશનશિપની	ɾiːleʃənʃɪpniː
રિલેશનશિપમાં	ɾiːleʃənʃɪp̚mæ̃
રિલેશનશીપ	ɾiːleʃənʃiːp
રિલૉડેડ	ɾiːlɑɖɛɖ
રિલૉડેડના	ɾiːlɑɽɛɽɑnɑ
રિવર	ɾɪʋɾəɾ
રિવર્સ	ɾɪʋɑɾs
રિવા	ɾɪʋɑː
રિવાઇઝ	ɾɪʋaɪz
રિવાઈઝ	ɾɪʋaɪz
રિવાજ	ɾɪʋɑːdʒ
રિવાજથી	ɾɪʋɑːd̪ʱt̪ʰi
રિવાજો	ɾɪʋɑːdʒo
રિવાના	ɾɪʋaːnə
રિવાબાના	ɾɪʋaːbaːnə
રિવૉલ્વર	ɾɪʋɔːlʋəɾ
રિવોર્ડ	ɾɪʋoːɾɖ
રિવ્યુ	ɾɪʋjuː
રિવ્યુમાં	ɾɪʋjumæ̃
રિવ્યૂ	ɾɪʋjuː
રિશી	ɾiʃi
રિશ્તા	ɾɪʃt̪ə
રિશ્તે	ɾiʃt̪e
રિશ્તો	ɾiʃt̪o
રિષભ	ɾiʂbʱ
રિસપોન્સ	ɾispoːns
રિસર્ચ	ɾiːsɾɛtʃ
રિસર્ચમાં	ɾisɾətʃmɑ̃
રિસર્વ	ɾisɾʋ
રિસાઇકલ	ɾisɑjkəl
રિસિપ્ટ	ɾisɪpt̪ʃ
રિસિલ	ɾisɪl
રિસેડેન્ટ	ɾiːseːd̪eːn̪t̪
રિસેપ્શન	ɾɪsɛpʃən
રિસેપ્શનના	ɾisepʃənə
રિસેપ્શનની	ɾisepʃənni
રિસેપ્શનનું	ɾisepʃənːu
રિસેપ્શનમાં	ɾisepʃənmæ̃
રિસેપ્શનિસ્ટનું	ɾɪsɛpʃɛnɪst̪ʰʊ̃
રિસોર્ટમાં	ɾiːsoːɾʈmæ̃
રિસોર્સનું	ɾisɔːɾsʋ̪ŋ̪ʌ
રિસોર્સેજને	ɾisɔːɾsɛdʒne
રિસ્ક	ɾisɾk
રિસ્ટોરેશન	ɾist̪oɾeʃən
રિસ્પેક્ટ	ɾɪspɛkt
રિસ્પૉન્સ	ɾɪs̪pɒns̪
રિસ્પોન્સ	ɾɪspɒns
રિહર્સલ	ɾiɦəɾsəl
રિહર્સલમાં	ɾiɦɾsəl̪mæ̃
રિહા	ɾiːɦɑ
રિહાના	ɾiːɦoːnə
રિહાનાએ	ɾiɦɑnaː
રી	ɾi
રીઅર	ɾiːəɾ
રીઅલ	riːəl
રીકવર	ɾikʋəɾ
રીગલ	ɾiːgəl
રીગલને	ɾiːgəl̪nɛ
રીચા	ɾiːtʃə
રીચાર્જ	ɾiːtʃɑːɾdʒ
રીચાર્જમાં	ɾiːtʃɑːɾdʒmæ̃
રીઝર્વ	ɾiːzɾʋ
રીટર્ન	ɾiːt̪əɾn̪
રીટર્નના	ɾiːʈɾənə
રીટા	ɾiːt̪a
રીટાએ	ɾiːt̪aːe
રીટાના	ɾiːt̪oːn̪oː
રીટેલ	ɾiːt̪eːl
રીટેલરે	ɾiːt̪ɛl̪ɾeː
રીટેલરો	ɾiːt̪eːl̪ɾoː
રીટેલરોને	ɾiːt̪eːlɾoːne
રીડર	ɾiːɖəɾ
રીત	ɾit̪
રીતના	ɾit̪nə
રીતની	ɾit̪ni
રીતનું	ɾit̪ʊn̪dʒə
રીતનો	ɾitno
રીતમ	ɾit̪əm
રીતરિવાજ	ɾiːt̪ɾiʋaːdʒ
રીતસરના	ɾit̪səɾnə
રીતિ	ɾiːti
રીતી	ɾiːtiː
રીતે	ɾiːte
રીતેશ	ɾiːteːʃ
રીતેશે	ɾiːteːʃe
રીતો	ɾiːto
રીતોનો	ɾitoːno
રીધમમાં	ɾiːd̪ʱəm̩mɑ̃
રીના	ɾiːnə
રીપે	ɾiːpe
રીપોર્ટ	ɾiːpoːɾʈʰ
રીપોર્ટમાં	ɾiːpoːɾʈmɑ̃
રીફંડ	ɾiːfɑɳɖ
રીફંડની	ɾiːfɑ̃ɳɖiː
રીફંડેબલ	ɾiːfɑ̃ɖeːbəl
રીફન્ડ	ɾiːfɪ̃ɳɖ
રીમા	ɾiːma
રીમી	ɾiːmiː
રીમેક	ɾiːmeːk
રીમેકના	ɾiːmeːkəna
રીમેકની	ɾiːmeːkəni
રીમેકનું	ɾiːmeːkʌn̪dʒə
રીમેકને	ɾiːmeːkənɛ
રીમેકમાં	ɾiːmeːkə̃
રીમેકામાં	ɾiːmeːkɑːmɑː
રીયર	ɾiːɾ
રીયલ	ɾiːjəl
રીલ	ɾiːl
રીલિઝ	ɾiːliʒ
રીલીઝ	ɾiːliːdʒ
રીલીઝનો	ɾiːliːʒno
રીલીઝમાં	ɾiːliːʒmɑ̃
રીલોન્ચ	ɾiːlontʃ
રીલોન્ચની	ɾiːlontʃniː
રીવા	ɾiʋɑ
રીવાબા	ɾiʋaːbɑ
રીવાબાના	ɾiʋaːbaːnə
રુ	ɾu
રુઆંટા	ɾuã̃ʈə
રુઇયા	ɾuɪja
રુક્મણિ	ɾukʋəɳi
રુખ	ɾukʰ
રુખસત	ɾukʰsət̪
રુંચાલ	ɾuːtʃɑːl
રુચિકાના	ɾutʃɪkoːnə
રુટ	ɾʊʈ
રુટના	ɾʊʈnə
રુદ્ર	ɾud̪ɾə
રુદ્રએ	ɾudɾe
રુદ્રની	ɾudɾni
રુંધાતા	ɾũd̪ʰɑt̪ɑ
રુપમાં	ɾupmɑ̃
રુપિયા	ɾupɪjɑ
રુપિયાથી	ɾupɪjɑːt̪ʰi
રુપિયાનાની	ɾupɪjɑːni
રુપિયાની	ɾupɪjɑːniː
રુપિયાનો	ɾupɪjɑːno
રુપિયામાં	ɾupɪjɑːmɑːŋ
રુબી	ruːbiː
રુબીને	ɾubine
રુબેલ	ɾubel̪eːl̪
રુમબેને	ɾumbeːne
રુલ	ɾul
રુસલાન	ɾusəlɑːn
રુસ્તમ	ɾust̪əm
રુસ્તમએ	ɾust̪əme
રુસ્તમની	ɾust̪əmn̪i
રુસ્તમને	ɾust̪əŋe
રુસ્તમનો	ɾust̪əmn̪o
રુહ	ɾuh
રુહાનિકા	ɾuhɑːnɪkɑ
રુહીયાની	ɾuhɪjɑːni
રૂ	ɾuː
રૂઈન	ɾuːin
રૂખ	ɾukʰ
રૂખની	ɾukʰni
રૂચિ	ɾuːtʃi
રૂચી	ɾuːtʃi
રૂઝાન	ɾuːʐɑːn
રૂટ	ɾuːʈ
રૂટનું	ɾuːʈn̪u
રૂટિન	ɾuːt̪ɪn̪
રૂટે	ɾuːʈe
રૂના	ɾuna
રૂપ	ɾuːp
રૂપથી	ɾuːpʰt̪ʰi
રૂપમ	ɾuːpəm
રૂપમા	ɾuːpəma
રૂપમાં	ɾuːpʋɑ̃
રૂપરી	ɾuːpɾiː
રૂપરેખા	ɾuːpəɾekʰa
રૂપા	ɾuːpa
રૂપાણી	ɾuːpɑ̃ːɲi
રૂપાણીએ	ɾuːpɑːɳiːe
રૂપાંતર	ɾuːpɑːntəɾ
રૂપાંતરિત	ɾuːpɑːn̪t̪əɾɪt̪
રૂપાંતરીત	ɾuːpɑːn̪t̪ɾiːt̪
રૂપિન્દર	ɾuːpɪnd̪əɾ
રૂપિય	ɾuːpiː
રૂપિયા	ɾuːpiːjɑ
રૂપિયાએ	ɾuːpiʲɑːe
રૂપિયાથી	ɾuːpiʌiʈʰi
રૂપિયાના	ɾuːpiʲaːnə
રૂપિયાની	ɾuːpiʲaːni
રૂપિયાનું	ɾuːpiʌ̃n̪u
રૂપિયાને	ɾuːpiʌ̃ne
રૂપિયાનો	ɾuːpijɑ̃ːno
રૂપિયામં	ɾuːpiʌ̃ːm
રૂપિયામા	ɾuːpiʌːmə
રૂપિયામાં	ɾuːpiʌ̃mɑ̃
રૂપિયામાંથી	ɾuːpiʌ̃e̯mɑ̃tʰi
રૂપિયાવાળા	ɾuːpiʌɑʋɑɭɑ
રૂપિયે	ɾuːpiːe
રૂપિયો	ɾuːpiʝo
રૂપિા	ɾuːpiə
રૂપી	ɾuːpi
રૂપીયા	ɾuːpiʌ
રૂપે	ɾuːpe
રૂપેરી	ɾuːpeːɾiː
રૂપો	ɾuːpo
રૂપ્યૈ	ɾupjɛː
રૂફ	ruːpʰ
રૂફટોપ	ɾuːpʰʈoʈo
રૂબરૂ	ɾuːbɾuː
રૂબિનાએ	ɾuːbɪnaːe
રૂબીના	ɾuːbiːnə
રૂબીનાએ	ɾuːbiːnaːe
રૂબીનાનું	ɾuːbiːnɑ̃ː
રૂમ	ruːm
રૂમથી	ɾuːmʈʰi
રૂમના	ɾuːmnə
રૂમની	ruːmniː
રૂમમાં	ruːmmæ̃
રૂમમાંથી	ruːmmɑ̃ʈʰi
રૂમર	ɾuːmɾ
રૂમાં	ɾumɑ̃
રૂમાની	ɾuːmaːniː
રૂમાલ	ɾuːmaːl
રૃ	ɾɾʏ
રૃપાંતરણ	ɾʊpɑːn̪t̪əɾɳ
રૃપિયામાં	ɾʊpɪjɑːm
રૅકેટ	ɾɛkɛʈ
રૅકેટના	ɾɛkɛʈnɑ
રૅપર	ɾɛpɾ
રૅમ્પ	ɾæ̃mp
રૅમ્બો	ɾæmbɔ
રે	ɾeː
રેઇડ	ɾejɪɖ
રેએ	ɾeːe
રેંકમાં	ɾeːŋkə̃mɑ̃
રેકિંગ	ɾeːkɪŋg
રેંકિંગ	ɾeːŋkɪŋg
રેંકિંગના	ɾeːŋkɪŋnɑ
રેંકિગની	ɾeːŋkigniː
રેકિંગમાં	ɾeːkɪŋmɪ̃
રેંકિગમાં	ɾeːŋkigmɑ̃
રેંકિંગમાં	ɾeːŋkɪŋmɛ̃
રેકેટ	ɾeːkɛːʈ
રેકેટના	ɾeːkɛʈnɑ
રેકૉર્ડ	ɾeːkɔːɾɖ
રેકૉર્ડમાં	ɾeːkoːɾɾə̃m
રેકૉર્ડ્સ	ɾeːkoːɾɾəɾʈs
રેકોર્ડ	ɾeːkoːɾɾɑːd̪
રેકોર્ડઃ	ɾeːkoːɾɾoːdʰ
રેકોર્ડતોડ	ɾeːkoːɾɾoɾɾoʈʈo
રેકોર્ડથી	ɾeːkoːɾɾoːd̪ʰiː
રેકોર્ડની	ɾeːkoːɾɾoːɳiː
રેકોર્ડને	ɾeːkoːɾɾɑ̃ɳe
રેકોર્ડનો	ɾeːkoːɾɾoːɳo
રેકોર્ડમાં	ɾeːkoːɾɾoɾmɑ̃
રેકોર્ડિંગ	ɾeːkoːɾɾoːɾɪŋg
રેકોર્ડિંગને	ɾeːkoːɾɾoɳgne
રેકોર્ડે	ɾeːkoːɾɾeː
રેકોર્ડો	ɾeːkoːɾɾoː
રેકોર્ડ્સઃ	ɾeːkoːɾɾɑːds̪
રેકોર્ડ્સ	ɾeːkoːɾɾəɾds
રેખા	ɾeːkʰə
રેખાએ	ɾeːkʰɑːe
રેખાથી	ɾeːkʰɑːt̪ʰi
રેખાના	ɾeːkʰɑːnɑː
રેખાની	ɾeːkʰaːniː
રેખાનું	ɾeːkʰɑːnuː
રેખાને	ɾeːkʰaːne
રેખાનો	ɾeːkʰɑːnoː
રેગ્યુલેટર	ɾeːgjuːlɛːt̪ɾ̪
રેગ્યુલેટરી	ɾeːgjulet̪ɾiː
રેગ્યુલેટરે	ɾeːgjuɭeːt̪ɾeː
રેગ્યુલેશન	ɾeːgjuːleʃən
રેંજમાં	ɾeːɲdʒmɑ̃
રેજોલ્યુશન	ɾeːgoɾʊʃən
રેઝોલ્યુશન	ɾeːʒoɭjʊʃən
રેંટ	ɾeːɳʈ
રેટ	ɾeːʈ
રેટથી	ɾeʈʰi
રેંટના	ɾeːɳʈnɑ
રેટના	ɾeʈnə
રેટની	ɾeʈniː
રેટનું	ɾeʈʋə
રેટને	ɾeʈne
રેટમા	ɾeːʈma
રેટમાં	ɾeʈmɛ̃
રેટિંગ	ɾeːʈɪŋ
રેટિંગનું	ɾeʈɪŋn̪u
રેટિંગને	ɾeːʈɪŋne
રેટિંગનો	ɾeʈɪŋno
રેટિંગમાં	ɾeːʈɪŋmɛ̃
રેટિંગ્સ	ɾeːʈɪŋs
રેટેડ	ɾeːʈeːd̪
રેટો	ɾeːʈo
રેટ્સ	ɾeʈʈʰs
રેડ	ɾeːɖ
રેડથી	ɾeːɖʈʰi
રેડમી	ɾeːɖmiː
રેડસ્ટેટ	ɾeːɖəseːt̪
રેડસ્ટેડ	ɾeːɖəɖeːɖ
રેડિયલ	ɾeːɖiːɾəl
રેડિયો	ɾeːɖjoː
રેડી	ɾeːɖiː
રેડીમેડ	ɾeːɖiːɖeː
રેડ્ડી	ɾeɖi
રેડ્ડીએ	ɾeɾɾiɛ
રેડ્ડીને	ɾeːɖɖiːne
રેણુ	ɾeɳu
રેણુકા	ɾeɲʊkɑ
રેતે	ɾeːt̪eː
રેનકોટ	ɾeːnkoːʈ
રેનબેકસી	ɾeːnbeːksiː
રેન્કિંગઃ	ɾeːŋkiŋgə
રેન્કિંગ	ɾeːŋkɪŋg
રેન્કિંગના	ɾeːŋkɪŋnɑ
રેન્કિંગની	ɾeːŋkɪŋniː
રેન્કિંગમાં	ɾeːŋkiŋmɛ̃
રેન્ક્ડ	ɾeːŋkɖ
રેન્જ	ɾeɳdʒ
રેન્જમાં	ɾeɳdʒmɛ̃
રેન્ટને	ɾeːn̪ʈne
રેન્ટલ	ɾeːn̪ʈəl
રેપ	ɾeːp
રેપનો	ɾeːpno
રેપપીડિત	ɾeːpɪɖɪt̪
રેપર	ɾeːpəɾ
રેપવાળા	ɾeːpʋɑɭɑ
રેપિડ	ɾeːpiɖ
રેપેશૉ	ɾeːpeːʃoː
રેપો	ɾeːpo
રેપોરેટ	ɾeːpoɾeːt̪
રેપોરેટમાં	ɾeːpoːɾeːt̪mɑ̃
રેફર	ɾeːpʰəɾ
રેફરન્સ	ɾeːɸəɾəɳs
રેફરી	ɾeːpʰəɾiː
રેફરીઝના	ɾeːpʰəɾiːʒnə
રેફ્રિજરેટર	ɾeːpʰɾigɾeːt̪əɾ
રેબેકા	ɾeːbeːkɑ
રેમ	ɾeːm
રેમઃ	ɾeːmʌh
રેમટેંસ	ɾeːmʈeːns
રેમાં	ɾeːmɑːn
રેમિટેંસ	ɾeːmiːt̪eːn̪s̪
રેમેડીઝ	ɾeːmeːɖiːʃ
રેમો	ɾeːmo
રેમોએ	ɾeːmoe
રેયાન	ɾeːjɑːn
રેર્કોર્ડ	ɾeːɾkoːɾɾoːd
રેલવે	ɾeːlʋeː
રેલવેએ	ɾeːlʋeːe
રેલવેની	ɾeːlʋeːniː
રેલવેમાં	ɾeːlʋeːmɑ̃
રેલિગેર	ɾeːligeːɾ
રેલી	ɾeːliː
રેલો	ɾeːloː
રેલ્વે	ɾeːlʋeː
રેલ્વેના	ɾeːlʋeːnɑ
રેવ	ɾeːʋ
રેવન્યૂ	ɾeːʋnʲuː
રેવન્યૂમાં	ɾeːʋn̪juːmɑ̃
રેશ	ɾeːʃ
રેશન	ɾeːʃən
રેશિયો	ɾeːʃijoː
રેશિયોએ	ɾeːʃjoe
રેશિયોની	ɾeːʃjoːniː
રેશિયોને	ɾeːʃjoːne
રેશિયોમાં	ɾeːʃjoːm̃
રેસ	ɾeːs
રેસમાં	ɾeːsmɑ̃
રેસમાંથી	ɾeːsmɑ̃ɾi
રેસર	ɾeːsəɾ
રેસલર	ɾeːsələɾ
રેસલરને	ɾeːsəlɾənɛ
રેસલિંગ	ɾeːsliŋg
રેસલિંગની	ɾeːsliŋgiː
રેસલિંગમાં	ɾeːsliŋmɑ̃
રેસિંગ	ɾeːsɪŋ
રેસિડન્ટ	ɾeːsɪd̪ənt̪
રેસિડેન્ટ	ɾeːsɪd̪eːn̪t̪
રેસિડેન્શિયલ	ɾeːsiɖeːnʃiːəl
રેસિડેંસ	ɾeːsiɖeːnɾeːs
રેસી	ɾeːsiː
રેસ્ક્યુમાં	ɾeːsgjumɑ̃
રેસ્ટની	ɾesːt̪niː
રેસ્ટલિંગ	ɾeːsʈəlɪŋ
રેસ્ટૉરન્ટ	ɾeːsʈoɾənt̪
રેસ્ટૉરન્ટ્સ	ɾeːsʈoɾənts
રેસ્ટોરંટએ	ɾeːsʈoːɾə̃ʈeː
રેસ્ટોરંટમાં	ɾeːsʈoːɾəɳʈmæ̃
રેસ્ટોરન્ટ	ɾeːsʈoːɾənt̪
રેસ્ટોરન્ટમાં	ɾeːsʈoːɾəɳʈmɑ̃
રેસ્ટોરન્ટ્સ	ɾeːsʈoːɾəɳʈs
રેસ્ટોરન્ટ્સએ	ɾeːsʈoːɾəntsɛ
રેસ્ટોરન્ટ્સમાં	ɾeːsʈoːɾəɳʈʰsmɑ̃
રેસ્ટોરા	ɾeːsʈoːɾɑː
રેસ્ટોરાં	ɾeːsʈoɾɑ̃ː
રેસ્ટોરાએ	ɾeːsʈoːɾɑe
રેસ્ટોરેંટમાં	ɾeːsʈoːɾeːnʈmæ̃
રેસ્ટોરેન્ટ	ɾeːsʈoːɾeːnt
રેહવાત	ɾehʋɑːt̪
રેહાણેના	ɾeːɦɑɳeːnə
રૈના	ɾainə
રૈનાએ	ɾɛɪnɑe
રૈનાના	ɾainːoː
રૈનાની	ɾɛɪnɑːniː
રૈનાનું	ɾɛɪ̯nɑ̃ː
રૈનાને	ɾɛɪnɑːnɛ
રૈપ	ɾɛɪp
રૉ	ɾo
રૉક	ɾoːk
રૉકમાં	roːkmɑ̃
રૉકસ્ટાર	roːkʰstɑːr
રૉકસ્ટારની	roːkstaːniː
રૉકસ્ટારનો	ɾoːkstaːɾno
રૉકસ્ટારે	ɾɔkstaːɾe
રૉકિંગ	ɾoːkɪŋg
રૉની	ɾoːniː
રૉન્ચી	ɾoːntʃiː
રૉબર્ટ	ɾɔːbɛɾʈ
રૉબર્ય	ɾɔbɾj
રૉબિન	ɾoːbin
રૉબ્સન	ɾobʰsən
રૉમાં	romɛ̃
રૉય	roːj
