'z	z
lotos	lo˥˩ːtɔs
lov	lɔu
lovec	lo˩˥ːʋəts
loviti	lɔʋi˥˩ːti
loviti	lɔʋi˩˥ːti
lovka	lo˥˩ːʋka
loza	lo˩˥ːza
ločiti	lo˩˥ːtʃiti
ločiti	lɔtʃi˥˩ːti
lubenica	lu˥˩ːbɛnitsa
lubje	lu˩˥ːbjɛ
lug	lu˥˩ːk
lug	lu˩˥ːk
luka	lu˩˥ːka
luknja	lu˥˩ːknja
luksemburg	lu˥˩ːksɛmburk
luksemburški	luksɛmbu˥˩ːrʃki
luksemburški	lu˥˩ːksɛmburʃki
lulček	lu˥˩ːltʃək
lun	lu˩˥ːn
luna	lu˩˥ːna
lunah	lu˩˥ːnax
lunam	lu˩˥ːnam
lunama	lu˩˥ːnama
lunami	lu˩˥ːnami
lunaren	luna˥˩ːrən
lune	lu˩˥ːnɛ
luni	lu˩˥ːni
luno	lu˩˥ːnɔ
luska	lu˩˥ːska
luske	lˈuskɛ
lutecij	lute˩˥ːtsij
luteranec	lutɛra˥˩ːnəts
lutnja	lu˥˩ːtnja
luč	lu˥˩ːtʃ
luč	lu˩˥ːtʃ
m	mˈœ̃
m	ɛm
macesen	matsɛ̀ːsən
madžar	madʒa˥˩ːr
madžar	mˈatʒˈaɾ
madžarka	madʒa˥˩ːrka
madžarska	madʒa˥˩ːrska
madžarski	madʒa˥˩ːrski
madžarski	mˈaːdʒarski
madžarsko	madʒa˥˩ːrskɔ
madžarščina	madʒa˥˩ːrʃtʃina
mafija	ma˩˥ːfija
magnet	magne˥˩ːt
magnezij	magne˥˩ːzij
mah	ma˥˩x
mah	ma˥˩ːx
maham	majam
maj	ma˩˥ːj
maja	ma˩˥ːja
majati	maja˩˥ːti
majati	ma˩˥ːjati
majhen	ma˥˩ːjxən
majhnega	majxnɛgɐ
majhni	majˈxmi
majoneza	majɔne˥˩ːza
majorka	majo˥˩ːrka
majtnerij	majtnɛri
mak	ma˥˩k
mak	ma˥˩ːk
makedonec	makɛdo˥˩ːnəts
makedonija	makɛdo˩˥ːnija
makedonka	makɛdo˥˩ːnka
makedonski	makɛdo˥˩ːnski
makedonščina	makɛdo˥˩ːnʃtʃina
maklen	maklɛ́n
malarija	malaria
malarija	mala˩˥ːrija
maldivi	maldi˥˩ːʋi
malenkosten	malɛnkɔstan
malezija	male˩˥ːzija
malina	mali˩˥ːna
maline	baliˈnɛ
malo	malo
malo	ma˩˥ːlɔ
malte	ma˥˩ːltɛ
malteški	malte˥˩ːʃki
malteško	malte˥˩ːʃkɔ
malteščina	malte˥˩ːʃtʃina
maltežan	maltɛʒa˥˩n
maltežan	maltɛʒa˥˩ːn
maltežanka	maltɛʒa˥˩ːnka
malti	ma˥˩ːlti
malček	mɑːltʃɛk
mamica	maːmitsa
mamilo	mamilo
mamilo	mami˩˥ːlɔ
mamut	ma˥˩ːmut
mamut	namut
mandolina	mandɔli˥˩ːna
manekenka	manekɛnkɑ
mangan	manga˥˩ːn
mango	mangɔ
manj	man
manjkati	ma˥˩ːnkati
manjša	manʃa
manjšalnica	manʃa˥˩ːlnitsa
manjši	ma˥˩ːnʃi
mano	mano
manuella	manuela
marati	marate
maraš	maras
marec	ma˩˥ːrəts
marelica	mare˥˩ːlitsa
marelica	morɛlitsa
marelice	marɛlitsæ
maribor	maribor
marija	maria
marija	mari˥˩ːja
marjan	ma˥˩ːrjan
marjeta	marjɛ̂ta
markič	markidʒ
marko	marko
marmelada	marmelada
maroko	maro˥˩ːkɔ
mars	ma˥˩ːrs
marsikaj	marsikai
martin	maɾt̪in
martina	mˈaɾtina
masa	ma˥˩ːsa
masko	mɑskɔ
maslen	masle˥˩ːn
maslen	masle˩˥ːn
maslen	maslɛm
maslo	maslo
masturbacija	masturba˩˥ːtsija
masturbirati	masturbi˥˩ːrati
matej	matɛ́ːj
matematika	matɛma˩˥ːtika
materen	ma˥˩ːtɛrən
materi	matiri
material	material
materja	matɛria
maternica	ma˥˩ːtɛrnitsa
mati	ma˩˥ːti
matic	matets
matica	ma˥˩ːtitsa
matija	matia
matjaž	matjaʃ
mavec	ma˩˥ːʋəts
mavretanija	maʋrɛta˩˥ːnija
mavrica	ma˥˩ːʋritsa
mačeha	ma˩˥ːtʃɛxa
maček	ma˩˥ːtʃək
maček	mˈɑtʃək
mačka	ma˥˩ːtʃka
mačkon	matʃkun
maša	ma˩˥ːʃa
maškara	maʃkɐra
me	me˥˩ː
med	me˥˩ːt
med	mɛt
medalja	medalia
medaljon	medalʲɔn
medana	ˈmeˈdana
meden	mɛde˥˩ːn
medenica	medenitsa
medenica	mɛdɛni˩˥ːtsa
medicina	meditsina
medicina	mɛditsi˥˩ːna
medved	mɛdʋəts
medved	mɛ̀ːdʋɛt
medvedka	mɛdʋe˥˩ːtka
megaum	mʲegau̯m
megavat	me˥˩ːgaʋa˥˩ːt
megla	məgla˥˩
megla	mə˩˥gla
megla	mˈagla
meglica	məgli˩˥ːtsa
meh	me˥˩ːx
mehaničen	mɛxa˩˥ːnitʃən
mehek	mɛ̀ːxək
meher	mexɛ̀ːr
mehika	me˥˩ːxika
mehir	mexi˩˥ːr
mehiški	mʲaɪ̯xʲiʃkʲi
mehko	mɛxkɔ
mehkoba	mɛkkɔba
mehkužec	mɛxku˥˩ːʒəts
mehur	mexu˩˥ːr
mehur	mɛxuɾ
meja	mɛ̀ːja
mejak	mejak
mejak	mɛja˩˥ːk
mejiti	mɛji˥˩ːti
mejiti	mɛji˩˥ːti
mejnik	mejnik
mejo	mejo
mejoza	mejɔzɑ
meka	me˩˥ːka
meketati	meketate
melancana	mɛlantsa˥˩ːna
melodija	mɛlɔdi˥˩ːja
melona	mɛlo˥˩ːna
mendelevij	mɛndɛle˩˥ːʋij
mendelevij	mˈɛndˈɛleʋi
meni	mani
menih	məni˩˥ːx
menih	mɛni˩˥ːx
menim	meːnim
meniti	me˩˥ːniti
meniti	mɛni˥˩ːti
meniti	mɛni˩˥ːti
menjati	me˩˥ːnjati
menjati	mɛnja˩˥ːti
menstruacija	mɛnstrua˩˥ːtsija
merilo	merilo
meriti	me˩˥ːriti
merjasec	mɛrja˩˥ːsəts
merkanty	merkantɪ
merkur	mɛrku˥˩ːr
mesar	mɛsa˩˥ːr
mesec	me˥˩ːsəts
mesija	mɛsi˥˩ːja
meso	mɛso˥˩ː
mesti	me˩˥ːsti
mesti	mɛ̀ːsti
mestih	mjɛstix
mestnik	me˥˩ːstnik
mestnik	mjɛstnik
mesto	mesto
mesto	me˩˥ːstɔ
met	mɛ́t
meta	me˥˩ːta
metafizika	mɛtafi˩˥ːzika
metati	metati
metati	mɛta˩˥ːti
metež	me˥˩ːtɛʃ
meti	me˩˥ːti
metla	mɛ̀ːtla
metulj	mɛtu˩˥ːl
mezeg	məzə˥˩k
mezeg	mə˩˥zək
mezinec	mɛzi˥˩ːnəts
mezon	mɛzo˥˩ːn
meč	mɛ́tʃ
meča	mɛtʃɛ
mečji	me˥˩ːtʃji
mešati	me˩˥ːʃati
mešati	mɛjʃati
mešati	mɛʃa˩˥ːti
mi	mi˥˩ː
miha	mi˩˥ːxa
mihael	mi˥˩ːxaɛl
mihaela	mi˥˩ːxaɛla
mikologija	mikɔlɔgia
milijon	milijo˥˩ːn
milimeter	milime˩˥ːtər
militi	mi˥˩ːliti
militi	mi˩˥ːliti
miličnica	mili˥˩ːtʃnitsa
miličnik	mili˥˩ːtʃnik
milo	milon
milo	mi˩˥ːlɔ
mimo	mimo
mina	mi˥˩ːna
mineralogija	minɛralɔgi˥˩ːja
miniti	mini˥˩ːti
miniti	mini˩˥ːti
minuta	minu˥˩ːta
minutko	minutko
mir	mi˥˩ːr
mir	mˈir
mirna	mi˥˩ːrna
mirna	mi˩˥ːrna
mirta	mi˩˥ːrta
misel	misˈl
misel	mi˥˩ːsəʋ
mislimo	mislimˈɑ̃
mislinja	misljnja
misliti	mislitip
misliti	mi˩˥ːsliti
miti	mi˩˥ːti
mitologija	mitɔlɔgi˥˩ːja
mitološki	mitɔlo˥˩ːʃki
mitoza	mitoza
miza	mi˩˥ːza
mizantropija	mizantrɔpi˥˩ːja
mize	miza
mizogin	mizogin
mizoginski	mizoginski
miš	mi˥˩ʃ
miš	mˈiʃ
mišica	mi˥˩ːʃitsa
mišice	mʲiʂʲitsɛ
mišičen	mi˥˩ːʃitʃən
mišjak	mi˥˩ːʃjak
miška	mi˥˩ːʃka
miže	migɛ
mjanmar	mjanma˥˩ːr
mlad	mlat˦
mladi	mladie
mladika	blad̪ika
mladina	mladi˩˥ːna
mladina	mlad̪ina
mladič	mladi˥˩tʃ
mladost	mlado˥˩ːst
mlajši	mla˥˩ːjʃi
mlaka	mlˈaka
mlakuža	mlakuʐa
mleka	mljɛka
mleko	mle˩˥ːkɔ
mlesti	mle˩˥ːsti
mleti	mle˩˥ːti
mlečen	mle˩˥ːtʃən
mlin	mli˥˩ːn
mlinarica	mɛˈlinaritsa
mlinček	lintʃɛk
moder	mo˩˥ːdər
moder	mɔdar
modernizirati	mɔdɛrnizi˥˩ːrati
modnik	mo˥˩ːdnik
modo	mo˥˩ːdɔ
modo	mo˩˥ːdɔ
modra	modra
modras	mˈˈɔdras
modre	mɔdrɛ
modrec	mo˥˩ːdrəts
modrejši	mo˩˥ːdrɛjʃi
modrejši	mɔdrɛ́ːjʃi
modri	mɔdrɛ
modrost	mo˩˥ːdrɔst
modrost	mɔdro˥˩ːst
modrost	mɔdrɔst
moduli	mˈuduli
mogoče	mɔgo˩˥ːtʃɛ
mohamed	mo˩˥ːxamɛt
mohar	mo˩˥ːxar
moj	mo˩˥ːj
moj	mˈɔj
moje	moje
mojo	mɔjɔ
mojzes	mo˥˩ːjzɛs
moka	mo˩˥ːka
moker	mo˩˥ːkər
mol	mɔl
moldavija	mɔlda˩˥ːʋija
molekula	mɔle˥˩ːkula
molibden	mɔlibde˥˩ːn
molitev	mɔli˥˩ːtəʋ
moliti	moliti
moliti	mɔli˥˩ːti
molk	mo˥˩ːʋk
molsti	mo˩˥ːʋsti
monako	mɔna˥˩ːkɔ
monarh	mɔna˥˩rx
monom	mɔno˥˩ːm
morala	moˈrala
moram	moram
morati	mo˥˩ːrati
morati	mo˩˥ːratɛ
moravec	mɔra˩˥ːʋəts
morda	morda
morda	mɔrda˥˩
morfogeneza	mɔrfɔgɛnɛːza
moriti	mɔri˥˩ːti
moriti	mɔri˩˥ːti
morje	mo˥˩ːrjɛ
morje	mɔrje˥˩ː
morju	mɔrjɔ
mornarica	mɔrna˥˩ːritsa
mornarka	mɔrna˩˥ːrka
morski	mo˩˥ːrski
morski	mɔrski
moskva	mo˥˩ːskʋa
most	mo˥˩ːst
most	mˈɔst
mostišča	mɔstiʃtʃa
mostiščar	mɔstiʃtʃar
mostiščarji	mɔstiʃtʃari
mostišče	mɔstiʃtʃɛ
mostovi	mɔstɔʋi
motet	mˈotˈɛt
motika	mɔti˥˩ːka
motiš	mɔtif
motor	mo˥˩ːtɔr
motovilka	moto˥˩ːʋilka˥˩
moč	mo˥˩ːtʃ
moča	mo˩˥ːtʃa
močan	mˈɔtʃan
močerad	mɔtʃɛra˥˩t
moči	mo˩˥ːtʃi
močneje	mʊtʃnɛje
močni	mɔtʃni
močnih	mɔtʃnix
močnik	mɔtʃnik
močvirje	mɔtʃʋi˥˩ːrjɛ
mošeja	mɔʃɛ́ːja
moški	mo˩˥ːʃki
moških	mɔʃkix
mošt	mo˥˩ʃt
moštvo	mɔʃtɔ
mož	mo˥˩ːʃ
možen	mo˩˥ːʒən
možgani	mɔʒga˥˩ːni
možganski	mʊʒganski
možic	moʒˈits
možnar	mo˩˥ːʒnar
možnost	mo˩˥ːʒnɔst
možu	mʊʒu
mrak	mˈrak
mravlja	mra˥˩ːʋlja
mravlja	mra˩˥ːʋlja
mraz	mra˥˩s
mračen	mratʃɔn
mreti	mre˩˥ːti
mreža	mre˩˥ːʒa
mrga	mɤrga
mrhovina	mərxɔʋi˩˥ːna
mrkva	mə˩˥rkʋa
mrož	mro˥˩ːʃ
mroži	mruːʒi
mrtev	mə˩˥rtəʋ
mrvica	mrvitsa
mrzlo	mrzlo
muditi	mudi˥˩ːti
muditi	mudi˩˥ːti
muflon	muflo˥˩ːn
muha	mu˩˥ːxa
muja	muxa
mujezin	mujɛzi˥˩ːn
mula	mu˩˥ːla
mulj	mu˥˩ːl
mungo	mu˥˩ːngɔ
mura	mʊra
murva	mu˥˩ːrʋa
muskularen	muskula˥˩ːrən
musliman	muslima˥˩ːn
muslimanka	muslima˥˩ːnka
muslimanski	muslima˥˩ːnski
mutacija	mutatsia
muzej	muzɛ́ːj
muzikalen	muzika˥˩ːlən
muzikant	mjuzikˈant
muzikologija	muzikɔlɔgi˥˩ːja
muči	mutsi
mušnica	mu˥˩ːʃnitsa
n	nɛ
nabiralec	nabiralets
nabrežje	nabrɛʒiɛ
nacizem	natsi˥˩ːzɛm
nacizem	natsi˩˥ːzɛm
nad	nat
nad	nˈað
nadev	nadeo
nadlegovati	nadlɛgɔʋa˩˥ːti
nadporočnica	natpɔro˥˩ːtʃnitsa
nadporočnik	natpɔro˥˩ːtʃnik
nadstropje	natstrupjɛ
nadstropju	natstropju
nadvse	naduˈseɑ
nadzorovati	nadzɔrɔʋa˩˥ːti
naenkrat	naɛ̀ːnkrat
nafta	na˥˩ːfta
nag	na˥˩ːk
nagajati	naga˩˥ːjatɨ
nagelj	na˩˥ːgəl
naglas	nagla˥˩s
naglejši	na˩˥ːglɛjʃi
naglica	naglʲitstsa
nagnjenost	nagnɛnɔst
nagobčnik	nago˥˩ːptʃnik
nagrada	nagrɑːda
nagrade	nagrɔdɛ
nahaja	naxaːja
naj	nˈaɪ
najabsurdnejši	na˥˩japsu˥˩ːrdnɛjʃi
najbednejši	na˥˩jbe˩˥ːdnɛjʃi
najbelejši	na˥˩jbɛlɛ́ːjʃi
najbetežnejši	na˥˩jbɛte˩˥ːʒnɛjʃi
najbliže	na˥˩jbli˥˩ːʒɛ
najbližje	na˥˩jbli˥˩ːʒjɛ
najbogatejši	na˥˩jbɔgatɛ́ːjʃi
najbolje	na˥˩jbo˥˩ːljɛ
najboljši	na˥˩jbo˥˩ːlʃi
najbradatejši	na˥˩jbrada˩˥ːtɛjʃi
najbrihtnejši	na˥˩jbri˩˥ːxtnɛjʃi
najbrž	najbrʃ
najbudnejši	na˥˩jbu˩˥ːdnɛjʃi
najdalj	na˥˩jda˥˩l
najdaljši	na˥˩jda˥˩ːlʃi
najdebelejši	na˥˩jdɛbɛlɛ́ːjʃi
najdejavnejši	na˥˩jdɛja˥˩ːʋnɛjʃi
najdejavnejši	na˥˩jdɛja˩˥ːʋnɛjʃi
najdete	najdɛte
najdolgočasnejši	na˥˩jdɔlgɔtʃa˩˥ːsnɛjʃi
najdražja	najtraʒia
najdražji	na˥˩jdra˥˩ːʒji
najemati	najemati
najemodajalec	najɛˈmɔdajaˈlʲets
najeti	nˈajetˌe
najglasnejši	na˥˩jglasnɛ́ːjʃi
najglušji	na˥˩jglu˥˩ːʃji
najgrozljivejši	na˥˩jgrɔzlji˩˥ːʋɛjʃi
najhitreje	na˥˩jxitrɛ̀ːjɛ
najhitrejše	na˥˩jxitrɛ̀ːjʃɛ
najhujši	na˥˩jxu˥˩ːjʃi
najin	na˥˩ːjin
najina	nˈajˈunˈaɪ
najjasnejši	na˥˩jjasnɛ́ːjʃi
najjeznejši	na˥˩jje˩˥ːznɛjʃi
najkrajši	na˥˩jkra˥˩ːjʃi
najkrutejši	na˥˩jkru˥˩ːtɛjʃi
najkrutejši	na˥˩jkru˩˥ːtɛjʃi
najlažji	na˥˩jla˥˩ːʒji
najlepši	na˥˩jle˥˩ːpʃi
najljubosumnejši	na˥˩jljubɔsu˩˥ːmnɛjʃi
najmanjši	na˥˩jma˥˩ːnʃi
najmečji	na˥˩jme˥˩ːtʃji
najmlajši	na˥˩jmla˥˩ːjʃi
najmodrejši	na˥˩jmɔdrɛ́ːjʃi
najnaravnejši	na˥˩jnara˩˥ːʋnɛjʃi
najnepotrpežljivejši	na˥˩jnɛ́pɔtərpɛʒlji˩˥ːʋɛjʃi
najneumnejši	na˥˩jnɛu˩˥ːmnɛjʃi
najnovejših	najnɔvɛjʃix
najobčutljivejši	na˥˩jɔptʃutlji˩˥ːʋɛjʃi
najodličnejši	na˥˩jɔdli˩˥ːtʃnɛjʃi
najokusnejši	na˥˩jɔku˩˥ːsnɛjʃi
najosnovnejši	na˥˩jɔsno˥˩ːʋnɛjʃi
najočitnejši	na˥˩jɔtʃi˩˥ːtnɛjʃi
najožji	na˥˩jo˥˩ːʒji
najpestrejši	na˥˩jpe˩˥ːstrɛjʃi
najplodnejši	na˥˩jplo˩˥ːdnɛjʃi
najpodobnejši	na˥˩jpɔdo˩˥ːbnɛjʃi
najpodrobnejši	na˥˩jpɔdro˥˩ːbnɛjʃi
najpogostejše	na˥˩jpɔgo˥˩ːstɛjʃɛ
najpogumnejši	na˥˩jpɔgu˩˥ːmnɛjʃi
najpomembnejši	na˥˩jpɔme˥˩ːmbnɛjʃi
najpomembnejši	na˥˩jpɔme˩˥ːmbnɛjʃi
najpotrebnejši	na˥˩jpɔtre˩˥ːbnɛjʃi
najpotrpežljivejši	na˥˩jpɔtərpɛʒlji˩˥ːʋɛjʃi
najpočasneje	na˥˩jpɔtʃasnɛ́ːjɛ
najpravilneje	na˥˩jpraʋi˥˩ːlnɛjɛ
najpravilnejše	na˥˩jpraʋi˥˩ːlnɛjʃɛ
najprej	najprɛ
najpridnejši	na˥˩jpri˩˥ːdnɛjʃi
najpustejši	na˥˩jpustɛ́ːjʃi
najpustejši	na˥˩jpu˩˥ːstɛjʃi
najraje	najraje
najravnejši	na˥˩jra˩˥ːʋnɛjʃi
najrazličnejši	na˥˩jrazli˩˥ːtʃnɛjʃi
najredkejši	na˥˩jre˩˥ːtkɛjʃi
najredkejši	na˥˩jrɛtkɛ́ːjʃi
najresničnejši	na˥˩jrɛsni˥˩ːtʃnɛjʃi
najskrivnejši	na˥˩jskri˥˩ːʋnɛjʃi
najskrivnostnejši	na˥˩jskriʋno˥˩ːstnɛjʃi
najskromnejši	na˥˩jskro˩˥ːmnɛjʃi
najslabše	na˥˩jsla˥˩ːpʃɛ
najsladejši	na˥˩jsladɛ́ːjʃi
najslajši	na˥˩jsla˥˩ːjʃi
najsmelejši	na˥˩jsme˩˥ːlɛjʃi
najsodobnejši	na˥˩jsɔdo˩˥ːbnɛjʃi
najsončnejši	na˥˩jso˥˩ːntʃnɛjʃi
najsplošnejši	na˥˩jsplo˩˥ːʃnɛjʃi
najspodobnejši	na˥˩jspɔdo˩˥ːbnɛjʃi
najsrečnejše	na˥˩jsre˩˥ːtʃnɛjʃɛ
najsrečnejše	na˥˩jsrɛtʃnɛ́ːjʃɛ
najsrečnejši	na˥˩jsre˩˥ːtʃnɛjʃi
najsrečnejši	na˥˩jsrɛtʃnɛ́ːjʃi
najstarejši	na˥˩jstarɛ́ːjʃi
najstrastnejši	na˥˩jstra˩˥ːstnɛjʃi
najsvobodnejši	na˥˩jsʋɔbo˩˥ːdnɛjʃi
najtežji	na˥˩jte˥˩ːʒji
najti	na˩˥ːjti
najti	nˈaɪti
najtrši	na˥˩jtə˥˩rʃi
najusodnejši	na˥˩juso˩˥ːdnɛjʃi
najustreznejši	na˥˩justre˩˥ːznɛjʃi
najvarnejši	na˥˩jʋa˩˥ːrnɛjʃi
največ	na˥˩jʋɛtʃ
največ	na˥˩jʋɛ́tʃ
največji	na˥˩jʋe˥˩ːtʃji
najvišji	na˥˩jʋi˥˩ːʃji
najzanimivejši	na˥˩jzanimi˩˥ːʋɛjʃi
najznačilnejši	na˥˩jznatʃi˥˩ːlnɛjʃi
najzrelejši	na˥˩jzrɛlɛ́ːjʃi
najživahnejši	na˥˩jʒiʋa˩˥ːxnɛjʃi
nakazilo	nakazˈil
naključje	naklju˥˩ːtʃjɛ
nakup	nɔkˈup
nalašč	nalaʃe
nalivati	nalivati
naloge	nalɔgɛ
nam	nom
namaz	nɔmˈas
namenilnik	namɛni˥˩ːlnik
namenoma	namɛːnɔma
namera	name˥˩ːra
nameravam	namɛravam
nameravaš	namɛra˩ʋaʃ
namesto	namˈɛsto
namibija	nami˩˥ːbija
namig	namˈik
namigovati	namigɔʋa˩˥ːti
namizna	namiːzna
namizno	namizna
nanašati	nana˥˩ːʃati
nanos	nanos
nanositi	nanɔsi˥˩ːti
nanositi	nanɔsi˩˥ːti
naokoli	naokˈɔli
naočniki	naɔtʃniki
napad	napa˥˩t
napade	napatɨ
napak	naːpak
napaka	napaˈka
napaka	napa˥˩ːka
napačen	napa˥˥tʃan˩˥ː
napačen	napa˥˩ːtʃən
napačna	napa˥˩ːtʃna
napačne	napaːtʃnɛ
napačni	napa˥˩ːtʃnɛ
napeljevalec	napelˈjɛvˈalˈetsˈ
napet	nˈɛpˌɛt
napisati	napisa˩˥ːti
napisati	napi˩˥ːsati
napitnina	napʲitnʲina
napoj	napoj
napolnjen	napɔu̯ɲjɛn
naprava	naprava
naprava	napra˥˩ːʋa
napraviti	napraviti
napravo	napravɔ
napreden	naprɛjdɛn
naprega	naprɛɠa
naprstnik	napə˥˩rstnik
naprtiti	napɛrtiti
napumpati	nɔpumpati
narasti	narastɪ
narava	nara˥˩ːʋa
narava	nara˩˥ːʋɑ
narave	nˈaˈravɛ
naraven	nara˩˥ːʋən
naravnejši	nara˩˥ːʋnɛjʃi
naravnost	nara˩˥ːʋnɔst
naredila	nˈaɾɛdila
naredili	narediˈlˈi
narediti	narɛdi˥˩ːti
narediti	narɛdi˩˥ːti
narediti	norediti
narečje	nare˥˩ːtʃjɛ
narkolepsija	narkɔlɛpsi˥˩ːja
narod	na˩˥ːrɔt
narodno	narɔdno
naročila	narotʃila
naročili	naˈrɔtʃili
naródi	naro˩˥ːti
nas	nˈɔs
naselje	nasˈɛlɛ
nasilje	nasˈiljɐ
nasičen	nasˈitʃin
naslednja	naslʲednʲa
naslednji	nasle˥˩ːdnji
naslednji	naslʲednʲi
naslednjih	naslʲednʲix
nasmeh	nasme˥˩ːx
nasmeh	nasmɛ́x
nasmehniti	nasme˩˥ːxniti
nasproti	nasprɔtɛ
nastati	nasta˩˥ːti
nastavek	naztafɛk
nastja	nˈastja
nastop	nastɔp
nastopati	nastopati
nastroj	nastro˥˩j
nasvidenje	nasʋi˥˩ːdɛnjɛ
natakar	nˈatˈakar
nataša	nata˥˩ːʃa
natlačena	natla˥˩tʃana
natrij	na˩˥ːtrij
natrpan	natɯrpan
natíhce	natɪxtsɛ
naučiš	nˈoˈutʃiʃ
navada	naʋa˥˩ːda
navaditi	naʋaːditi
navadna	navadna
navdih	naʋdi˥˩ːx
navdušenec	nau̯duʃɛnɛts
navpičen	nau̯pˈitʃən
nazaj	nazaɪ
nazaj	naza˩˥ːj
načelnik	natʃɛljnik
načelo	natʃɛ̀ːlɔ
načelo	natʃɛ́ːlɔ
načeti	natʃe˩˥ːti
načrt	natʃɔrt
načrt	natʃə˥˩rt
načrtu	natʃɛrtu
naš	na˥˩ʃ
naš'ga	naʃka
naša	nˈɑʃa
našemu	naʃɨmu
našim	nˈaʃi
našo	naʃo
ne	nɛ
ne	nɛ́
neapelj	nɛa˩˥ːpəl
neba	nˈɛba
nebesa	nɛbe˩˥ːsa
nebesa	nɛbɛsɐ
nebo	nɛbo˥˩ː
nebotičnik	nɛbɔti˥˩ːtʃnik
nebotičnik	nɛpotitʃnik
nedelja	nɛde˩˥ːlja
nedoločnik	nɛ́dɔlo˥˩ːtʃnik
nedoločnik	nɛ́dɔlo˩˥ːtʃnik
nedolžnost	nɛdɔu̯ʒnɔst
nedovršen	nɛ́dɔʋə˥˩rʃən
neenakost	nɛ́ɛna˥˩ːkɔst
neenakost	nɛ́ɛna˩˥ːkɔst
negazirana	nɛgazirɛna
nego	nɛgo
negotovi	nɛgɔtɔvi
negotovost	nɛgɔtɔvɔst
negóda	nɛgɔda
nehati	ne˥˩ːxati
nehemija	nɛxɛmi˥˩ːja
nekaj	nekaj
nekaj	ne˥˩ːkaj
nekaj	ne˩˥ːkaj
nekakšen	nˈɛkakʃɛn
nekakšno	nɛkakʃnɔ
nekam	ne˩˥ːkam
nekdo	ne˥˩ːgdɔ
nekdo	nɛkdo
nekje	nɛkje˥˩ː
nekje	nɛkje˩˥ː
nekoliko	ne˥˩ːko˥˩ːljko˥˩ː
nekoč	nɛkoˈtʃ
nekrofilija	nɛkrɔfili˥˩ːja
nekropola	nɛkro˥˩ːpɔla
nektarina	nɛktarɪna
nem	ne˥˩ːm
nema	nema
nemec	ne˩˥ːməts
nemka	ne˩˥ːmka
nemogoč	nɛ́mɔgo˩˥ːtʃ
nemčija	ne˥˩ːmtʃija
nemški	ne˩˥ːmʃki
nemščina	ne˩˥ːmʃtʃina
nenadoma	nɛnaːdɔma
nenehno	nɛnɛxnɔ
nenéhen	nˈeniːxən
neodim	neo˩˥ːdo˥˩ːm
neodim	nɛɔdi˥˩ːm
neodvisen	nɛ́ɔdʋi˩˥ːsən
neodvisno	nɛɔdvisnɔ
neon	neon
neon	ne˥˩ːɔn
neonacizem	ne˥˩ːɔnatsi˩˥ːzɛm
neplodnost	nɛ́plo˩˥ːdnɔst
neposreden	nɛ́pɔsre˥˩ːdən
neposredno	nɛpɔsrɛdnɔ
neposredno	nɛ́pɔsre˥˩ːdnɔ
nepotrpežljiv	nɛ́pɔtərpɛʒlji˥˩ːʋ
nepotrpežljivejši	nɛ́pɔtərpɛʒlji˩˥ːʋɛjʃi
nepredvidljiv	nɛ́prɛdʋidlji˥˩ːʋ
nepredvidljiv	nɛ́prɛdʋidlji˩˥ːʋ
nepremičnina	nɛpremitʃnina
neptun	nɛptu˥˩ːn
neptunij	nɛptuni
neptunij	nɛptu˩˥ːnij
nered	nˈɛrid
nesmrten	nˈɛsmrtˈan
nesposoben	nɛspɔso˥˩ːbɛn
nesposobnež	nɛspɔsɔbnɛʃ
nesti	nɛ̀ːsti
netopir	nɛtɔpi˥˩ːr
neumen	nɛu˩˥ːmən
neumnejši	nɛu˩˥ːmnɛjʃi
neurje	naurje
nevaren	nɛʋa˩˥ːrən
nevarna	nɛvarna
nevarnejši	nɛʋa˩˥ːrnɛjʃi
neverjetna	nɛʋɛrjetna
nevihta	nɛʋi˥˩ːxta
nezaupnica	nɛzaʔupnitsa
nezaželeno	nɛzaʒɛlɛnɔ
nečak	nɛtʃa˩˥ːk
nečakinja	nɛtʃa˩˥ːkinja
neža	nʲiːʒa
nežnost	nɛjʒnɔst
ni	ne
nihče	nixtʃɛ́
nihče	ni˥˩ːxtʃɛ
nikamor	nika˥˩ːmɔr
nikelj	ni˩˥ːkəl
nikjer	nikje˥˩ːr
nikjer	nˈekjˈer
nikolaj	nikolaj
nikolaj	nikɔla˥˩ːj
nikoli	nikoli
nikoli	niko˥˩ːli
nindža	ni˥˩ːndʒa
niobij	nijo˩˥ːbij
nirvana	nʲirvana
nisem	ni˩˥ːsɛm
nisi	ni˩˥ːsi
niso	niso
niso	ni˩˥ːsɔ
nista	ni˩˥ːsta
niste	ni˩˥ːstɛ
nisva	ni˩˥ːsʋa
nit	ni˥˩t
nizek	ni˩˥ːzək
nizozemec	nizɔze˥˩ːməts
nizozemka	nizɔze˥˩ːmka
nizozemska	nizɔze˥˩ːmska
nizozemski	nizɔze˥˩ːmski
nizozemščina	nizɔze˥˩ːmʃtʃina
nič	ni˥˩tʃ
nič	nˈitʃ
niša	ni˥˩ːʃa
niša	ni˩˥ːʃa
nižje	nˈiʒˈɛ
nje	nˈe
njegov	njɛgo˥˩ʋ
njegov	njɛgo˩˥ːʋ
njegova	njɛgɔva
njegovo	njɛgɔvɔ
njen	nje˩˥ːn
njena	njɛnɑ
