ئا	a
غەلىبىسى	bilɛn
غەلىتە	bu
غەم	jɛp
غەم	ʁɛm
غەيۋەت	ʁɛjwɛt
غوجامنىڭ	tɛp
فاشىست	fɑʃist
فوتو	fotɔ
فوتوگراف	fɔtɔgraf
قابىلىيىتىڭ	bolup
قاپ	qɑp
قاپقارا	qɑpqɑrɑ
قاپقان	qɑpqɑn
قاپلاپ	qɑplɑp
قاپلان	qɑplɑn
قات	qɑt
قاتارلىق	qɑtɑrlɪq
قاتارلىقلار	bɑr
قاتتىق	qɑttɤq
قاتقان	qɑtqɑn
قاتناش	qɑtmɑʃ
قاتىل	qɑtil
قاچ	qɑtʃ
قاچا	qɑtʃɑ
قاچقان	qɑtʃqɑn
قاچىدۇ	qɑtʃidu
قاداپ	qɑdɑp
قاداق	qɑdɑq
قادىر	qɑdir
قار	qɑr
قارا	qɑrɑ
قاراپ	qɑrɑp
قارار	qɑrɑr
قاراش	qɑrɑʃ
قاراقاش	qɑrɑqaʃ
قاراقچى	qɑrɑqtʃi
قاراڭ	qaraŋ
قارايمەن	qɑrɑjmɛn
قارايمىز	qɑrɑjmiz
قارت	qɑrt
قارشى	qɑrʃi
قارشى	turuʃ
قارلار	qɑrlɑr
قارلىغاچ	qɑrliʁɑtʃ
قارلىق	qɑrlɪq
قار-مۇز	qɑrmuz
قارنىم	qɑrnim
قارى	qɑri
قارىسا	qɑrisɑ
قارىسام	qɑrisɑm
قارىشى	qɑrɨʃi
قارىغاي	ʃɑptul
قارىغايلار	sɑmɑ
قارىماي	qɑrimaj
قازا	qɑzɑ
قازاق	qɑzɑq
قازاقلار	qɑzɑqlɑr
قازى	qɑzi
قاساپ	qɑsɑp
قاسقان	qɑsqɑn
قاسىم	qɑsim
قاسىمى	qɑsimi
قاش	qɑʃ
قاشا	qɑʃɑ
قاشلاپ	qaʃlɑp
قاق	qɑq
قاقاقلار	bir
قاقماي	qɑqmɑj
قال	qɑl
قالاپ	qɑlɑp
قالاتتى	qɑlɑtti
قالار	qɑlɑr
قالاي	qɑlɑj
قالپاق	qɑlpɑq
قالتىس	qɑltis
قالدۇردى	qɑldurdi
قالدۇرماي	qɑldurmɑj
قالدۇرۇپ	qɑldurup
قالدى	qɑldi
قالدىم	qɑltim
قالسا	ʔɑmu
قالساڭ	qɑlsɑŋ
قالغان	qɑlʁɑn
قالقان	qɑlqɑn
قالما	qalmɑ
قالماڭلار	qɑlmɑŋlɑr
قالماي	qɑlmɑj
قالىدۇ	qɑlɯdu
قالىدۇ	tɛp
قالىسىز	qɑlisɪz
قامال	qɑmɑl
قان	qɑn
قانات	qɑnɑt
قانچە	qɑntʃɛ
قانۇن	qɑnun
قايتاتتىم	qɑjtɑttim
قايتۇرۇپ	qɑjturup
قايتىپ	qɑjtɪp
قايسى	qɑjsi
قايماق	qɑjmɑq
قاينار	qajnɑr
قايىل	qɑjil
قەرزى	qɑrzi
قەرەللىك	qɛrɛllik
قەرەلى	joq
قەلەم	qælæm
قوپ	qop
قوپال	qopɑl
قوپۇرۇپ	qopurup
قوتۇر	qotur
قورال	qoral
قورچاق	qɔrtʃɑq
قورساق	pɑqɑ
قورقىدۇ	qɔrqɪdu
قوزغاپ	tɑpmɑj
قوش	qoʃ
قوشاق	qoʃɑq
قوشاققا	qoʃɑqqɑ
قوشۇپ	qɔʃup
قول	qɔl
قول	ʔyzyʃtur
قوللاپ	qɔllɑp
قوللاش	qɔllɑʃ
قولى	qolɨ
قولىدىكى	qolidiki
قوناق	qonɑq
قوي	sɛn
قويدى	qɔjdi
قوينى	qojni
قويۇپ	qojup
قويۇق	qojuq
قۇت	qut
قۇتلۇق	qutluq
قۇتۇپ	qutup
قۇتۇپلۇق	qutupluq
قۇتۇلار	qutulɑr
قۇتۇلۇپ	qutulup
قۇدۇق	quduq
قۇرغان	qurʁɑn
قۇسۇر	qusur
قۇش	quʃ
قۇلاق	qulɑq
قۇلۇم	qulum
قۇم	qum
قۇمۇل	qumul
قۇياشقا	kɑwɑp
قۇيۇپ	qujup
قىر	qir
قىرىق	qiriq
قىرىم	qirɨm
قىزنى	qɨznɨ
قىزى	qizi
قىزىل	qizil
قىزىمىز	qizimiz
قىس	qis
قىساس	qisɑs
قىسقا	qisqɑ
قىسمەت	qismɛt
قىسمەتتىن	søz
قىسمى	qismi
قىسىپ	qɨsip
قىش	qiʃ
قىل	qil
قىلار	qɪlɑr
قىلالايدۇ	qilɑlɑjdu
قىلالماس	qɑrɑ
قىلاي	qilaj
قىلدۇق	qɪlduq
قىلدىم	qildim
قىلسا	qɪlsɑ
قىلساق	qɪlsɑq
قىلسام	qilsam
قىلسىڭىز	bu
قىلما	qɪlmɑ
قىلماق	qilmɑq
قىلماق	turmuʃtɑ
قىلماقتا	qilmɑqtɑ
قىلماي	qilmɑj
قىلمىش	qilmiʃ
قىلۇر	qilur
قىلى	qili
قىلىپ	bir
قىلىپ	qɪlip
قىلىپ	ʔɑʃu
قىلىچ	qilitʃ
قىلىدىغان	bolup
قىلىدىغان	pɛn
قىلىش	qilɪʃ
قىلىشىپ	qiliʃip
قىلىڭ	qilɪŋ
قېتىم	qitim
قېرىنداش	qerimdɑʃ
قېلىپ	qelip
كات	kɑt
كاتىپ	kɑtip
كاركىراپ	kɑrkɪrɑp
كاسات	kɑsɑt
كاشكى	kɑʃki
كالا	kɑlɑ
كالاڭ	kɑlɑŋ
كالتەك	kɑltɛk
كاللا	kɑllɑ
كاللام	kɑllɑm
كام	kɑm
كامار	kɑmɑr
كامال	kɑmɑl
كامال؛	kɑmɑl
كاۋا	kɑwɑ
كاۋاپ	kɑwɑp
كاۋاك	kawak
كاۋكاز	kɑwkɑz
كەپتەر	kɛptɛr
كەپلا	kɛplɑ
كەت	kɛt
كەتتى	kɛttɪ
كەتتىم	tɛp
كەتسەم	kɛtsɛm
كەتكەن	kætkɛn
كەچ	kɛtʃ
كەس	kɛs
كەسپى	kɛspi
كەسكىن	kɛskin
كەسىپ	kɛsɪp
كەسىر	kɛsir
كەشتە	keʃtɛ
كەكلىك	kɛklik
كەڭ	bolup
كەلدى	bu
كەلدى	kɛldi
كەلدىڭ	tɛp
كەلدىلا	bɑj
كەلدىم	kældim
كەلدىم	uni
كەلسە	kelsɛ
كەلسۇن	kɛlsun
كەلگەندە	kælgændɛ
كەلگەي	kelgɛj
كەلمەي	qɑldi
كەلمەي›	qɑldi
كەلمەيدۇ	kɛlmɛjtu
كەلمىگەن	kɛlmɪgæn
كەن	kɛn
كەنت	kɛnt
كەندىر	kɛndir
كوچا	kotʃɑ
كور	kor
كونترول	kontrol
كونىلاردا	konilɑrdɑ
كويدا	kojda
كۆپ	jɛp
كۆپ	køp
كۆپرەك	køpræk
كۆپلەپ	køplɛp
كۆپۈپ	køpip
كۆتۈرۈشى	køtyryʃi
كۆچ	køtʃ
كۆچكەن	køtʃkɑn
كۆچمە	køtʃmɛ
كۆچمەن	køtʃmɛn
كۆچۈشكە	køtʃiʃkɛ
كۆر	kør
كۆردى	kørdi
كۆرسەت	kørsɛt
كۆرسەم	kørsɛm
كۆرسىتىپ	mɑhɑrɛt
كۆركەم	mɛnzirɛ
كۆرگىلى	kørgili
كۆرە	gɛp
كۆرەڭلەپ	ʔømɛrbaj
كۆرەي	kørɛj
كۆرۈپ	køryp
كۆرۈپ	turup
كۆرۈش	køryʃ
كۆز	jutup
كۆز	køz
كۆزلەرنى	køzlɛrni
كۆزلىرىمگە	køzlirimgɛ
كۆزلىرىمىز	køzlirimiz
كۆزۈم	bilɛn
كۆزىگە	u
كۆسەينى	køsɛjni
كۆك	køk
كۆكسى	køksi
كۆكىدە	køkidɛ
كۆڭلى	køŋli
كۆل	køl
كۆللەر	køllɛr
كۆلى	køli
كۆلىمى	kølimi
كۆندى	køndi
كۆي	køj
كۆيدۈرسە	ʔot
كۆيگەن	køjgɛn
كۇپايە	kupɑjɛ
كۇرسى	kursi
كۈتۈش	kytyʃ
كۈرەش	kyrɛʃ
كۈرەشنى	kyrɛʃni
كۈز	kyz
كۈلگە	kylgɛ
كۈلۈپتۇ	bɑj
كۈن	kyn
كۈندۈزى	kyndyzi
كۈنگەي	kyngɛj
كۈنلەر	kynlɛr
كۈنەس	kynɛs
كى	ki
كىبىر	kibir
كىتاب	kitɑp
كىچىك	kitʃik
كىر	kir
كىرا	kirɑ
كىرپە	kirpɛ
كىرپىك	kirpik
كىرسە	kirse
كىرگەنلەردىن	biri
كىرەر	kirɑr
كىرىپ	kirip
كىرىپتۇ	kirɪptu
كىسلاتاسى	bɑr
كىشى	kiʃi
كىشىلەر	bilɛn
كىشىلەر	kiʃilɛr
كىلەر	kilɛr
كىلىمات	kilimɑt
كىم	u
كىمكىن	kimkin
كىنو	kino
كىيىۋالغىنىنى	ʔøz
كېتىپ	ketɪp
كېتىمىز	ketimiz
كېچە	ketʃɛ
كېچەر	ketʃɛr
كېرەك	kirɑk
كېسەل	kesɛl
كېسىپ	kesip
كېسىلى	kisɪli
كېلەر	kelɛr
كېلىپ	ʔot
كېلىدۇ	kelɪdu
كېلىشى	keliʃɪ
كېلىن	kelin
كېيىن	kejin
كېيىنچە	tʃoqum
گاز	gɑz
گازنىڭ	gaznɪŋ
گازى	gɑzi
گاس	gɑs
گال	gɑl
گاھ	gɑh
گەپ	gɛp
گەپتۇ	gɛptu
گەپلەر	gɛplɛr
گەپلەرگە	gɛplɛrgɛ
گەپلىرى	gɛpliri
گەپمۇ	gɛpmu
گەپنى	gɛpni
گەر	gɛr
گەز	gɛz
گول	gol
گويا	gojɑ
گۆرگە	gørgɛ
گۆش	gøʃ
گۆشكە	gøʃkɛ
گۆشلەر	gøʃlɛr
گۆشنى	gøʃni
گۆشنىڭ	bir
گۆشى	gøʃi
گۆھەر	bilɛn
گۆھەر	gøhɛr
گۆھەرگە	gøhɛrgɛ
گۇگۇم	gugum
گۈرۈچ	gyrytʃ
گۈزەل	gyzɛl
گۈل	gyl
گىلاس	gilas
گىلەم	gilɛm
گىلەمدە	gɪlɛmdɛ
گىياھلار	ʔɑdʒɑjip
گېپى	gepi
گېزىت	gezit
گېزىتى	gezɨti
لاپ	lɑp
لاتا	lɑtɑ
لاتاپەت	lɑtɑpɛt
لازىم	lɑzim
لامپا	lɑmpɑ
لاي	lɑj
لەرزى	lɛrzi
لەكلەك	lɛklɛk
لەنەت	lɛnɛt
لەۋ	lɛw
لەيلەپ	lɛjlɛp
لوپ	lop
لىرىكا	lirika
لىللا	lillɑ
لىمون	limon
لېكىن	lekin
مائاشنى	sɛl
ماختايدۇ	mɑxtɑjdu
ماددىي	wɛ
ماراكەش	mɑrɑkɛʃ
مارجان	mɑrdʒɑn
مارشى	mɑrʃi
ماز	mɑz
مازار	mɑzɑr
مازاق	mɑzɑq
ماس	mas
ماشىنا	mɑʃinɑ
ماقال	mɑqɑl
ماقالە	mɑqɑlɛ
ماقالەم	mɑqɑlɛm
ماقۇل	mɑqul
ماك	mɑk
ماڭ	maŋ
ماڭا	bɑlɑ
ماڭا	mɑŋa
ماڭساڭ	mɑŋsɑŋ
ماڭمامدۇ	mɑŋmɑmdu
ماڭماي	mɑŋmaj
ماگنىت	mɑgnit
ماگىستىر	magistir
مال	mɑl
مالال	mɑlɑl
مالچى	mɑltʃi
ماللارنى	mɑllɑrni
مالى	mɑli
مامكاپ	mamkap
مانان	mɑnɑn
مانچە	mɑntʃɛ
مانى	mɑni
ماۋزۇ	mɑwzu
ماي	mɑj
ماياك	mɑjɑk
مايمۇن	mɑjmun
مايمۇنچاق	mɑjmuntʃɑq
ماينى	mɑjni
مەدەت	mɛdɛt
مەدەن	mɛdɛn
مەرتىۋىگە	qɑrɑp
مەرد	mært
مەردنىڭ	ʔiʃi
مەرمەر	mɛrmɛr
مەرھەمەت	mɛrhɛmɛt
مەرھۇم	mɛrhum
مەزگىل	mɛzgɪl
مەزگىللىرىدە	bu
مەزگىلى	mɛzgili
مەزلۇم	mɛzlum
مەسئۇلىيىتى	hɛm
مەستلىك	mæstlik
مەسىلەن	mɛsilɛn
مەشھۇر	bɑr
مەشھۇر	bir
مەقسەتتە	bir
مەكتەپ	mɛktɛp
مەكتەپلەر	mextɛplɛr
مەكتىپى	mɛktipi
مەڭزىگە	mɛŋzigɛ
مەلۇم	mɛlum
مەلىكە	mælikɑ
مەمۇر	mɛmur
مەمۇرىي	mæmurij
مەن	berɪp
مەن	bigyn
مەن	bir
مەن	jirɑq
مەن	kitɑp
مەن	mæn
مەن	ʔøz
مەنچە	mɛntʃɛ
مەنزىرە	mɛnzirɛ
مەنزىلگە	mɛnzilgɛ
مەنسۇر	mænsur
مەنلا	tɑrtɑj
مەنمۇ	køp
مەنمۇ	mænmu
مەنىگە	mɛnigɛ
مەي	mɛj
مەيدان	mɛjdɑn
مەيداندا	mɛjdɑndɑ
مەينەت	mɛjnɛt
مو	mo
مول	mol
موللا	mɔllɑ
موللاق	mollɑq
موللام	mɔllɑm
مولېكۇلا	molekula
موم	mom
موما	moma
موماڭ	momaŋ
موماي	momɑj
مومايمۇ	mɔmɑjmu
مومدىن	momdin
مونەك	monek
مۆجىزە	mødʒizɛ
مۆھرى	møhri
مۇبارەك	mubɑrɛk
مۇت	mut
مۇتلەق	mutlɛq
مۇخبىر	muχbir
مۇز	muz
مۇزلار	muzlar
مۇسا	musɑ
مۇسابىقىسى	bigyn
مۇسكۇل	muskul
مۇسۇلمان	musulmɑn
مۇسىبەت	musibɛt
مۇش	muʃ
مۇشت	muʃt
مۇشتۇمدەك	turup
مۇشتى	muʃtɪ
مۇشتىنى	muʃtini
مۇشۇ	muʃu
مۇشۇمۇ	kyn
مۇشۇنداق	muʃundɑq
مۇغەمبەر	køp
مۇقامى	muqɑmi
مۇكاپات	mukɑpɑt
مۇڭلۇق	muŋluq
مۇلايىم	mulɑjim
مۇنبەر	munbɛr
مۇنتىزىم	muntizim
مۇنچا	muntʃa
مۇنۇلارنى	munularni
مۇھىت	muhit
مۇھىم	muhim
مۇھىمى	muhimi
مۇۋاپىق	jol
مۈشۈك	ʔystidɛ
مىرزا	mirzɑ
مىزان	mizɑn
مىس	mis
مىسال	misɑl
مىساللار	misɑllɑr
مىسالى	misɑli
مىسكىن	miskin
مىسىر	misir
مىكرو	mikro
مىكى	miki
مىڭ	miŋ
مىل	mil
مىللەت	millɛt
مىلەپ	mɪlɑp
مىلى	mili
مىنگەن	mingɛn
مىنۇت	minut
مىنۇتتىن	minuttin
مىنۇس	minus
مېتىر	metir
مېڭىپ	bɑqqɑn
مېنى	meni
“مېنىڭ	meniŋ
مېنىڭ	meniŋ
مېنىڭ	sɨz
مېنىڭچە	meniŋtʃɛ
مېھرى	mehri
مېھمان	mehmɑn
مېۋە	mewɛ
مېۋىگە	tojup
ناپاك	nɑpɑk
ناچار	nɑtʃɑr
ناخشا	nɑxʃɑ
ناخشام	nɑxʃɑm
نادامەت	nɑdɑmɛt
نادان	nɑdɑn
نادىر	nɑdir
ناز	nɑz
نازارەت	nɑzɑrɛt
نازاكەت	nɑzɑkɛt
نام	nɑm
ناماز	nɑmɑz
نامايان	nɑmɑjɑn
نامەلۇم	nɑmɛlum
نان	nɑn
ناھىيە	nɑhijɛ
ناۋايمۇ	nɑwɑjmu
نە	nɛ
نەپ	nɛp
نەپرەت	nɛprɛt
نەپرەتتىن	nɛprɛttɪn
نەپرەتنى	qɪlip
نەپرىتىگە	u
نەپەس	nɛpɛs
نەپەستە	nɛpɛstɛ
نەتىجە	nɛtidʒɛ
نەرسىگە	nɛrsigɛ
نەرسىنىڭ	nɛrsiniŋ
نەزەر	nɛzɛr
نەزەرىدە	bɑj
نەس	nɛs
نەسىھەت	nɛsihɛt
نەشپۈت	tʃilan
نەشر	nɛʃr
نەق	mɛjdɑn
نەق	nɛq
نەگە	nɛgɛ
نەم	nɛm
نەي	nɛj
نورمال	normɑl
نوم	nom
نۆلدىن	nøldɪn
نۆۋەت	nøwɛt
نۇر	nur
نۇرلار	nurlar
نۇسرەت	nusrɛt
نى	ni
نىجىس	nidʒis
نىداسى	nidɑsi
نىشان	niʃɑn
نىگار	nigɑr
نىل	nil
نىمەتۇ	bilɛn
نىيەت	bir
نېپال	nepal
نېرى	bolup
نېرى	tur
نېسىپ	nesip
نېفىت	nefit
نېمە	køz
نېمە	nemɛ
نېمىسى	bɑr
نېمىشقا	nemiʃqɑ
نېمىشقا	qoʁun
نېمىنى	nemini
نېنىنى	nenini
ھاراق	haraq
ھارام	hɑrɑm
ھارۋا	ɦɑrwa
ھازا	hɑzɑ
ھازىر	ɦɑzɪr
ھاسا	hasa
ھاشىمنى	haʃimni
ھال	hɑl
ھالا	hɑlɑ
ھالال	hɑlɑl
ھالدا	hɑldɑ
ھالقىما	hɑlqɪmɑ
ھالى	hɑli
ھالىمىزمۇ	joq
ھاۋا	hɑwɑ
ھاۋادا	hɑwɑdɑ
ھايا	hɑjɑ
ھايات	hɑjɑt
ھاياتنىڭ	hɑjɑtniŋ
ھاياتى	hɑjɑti
ھاياتىم	ɦɑjɑtim
ھايال	ɦɑjɑl
ھە	hɛ
ھەپتە	hæptæ
ھەپتە	hɛptɛ
ھەپتە	ɦɛptɛ
ھەتتا	hɛttɑ
ھەدە	hɛdɛ
ھەر	hær
ھەر	hɑldɑ
ھەرگىز	hærgɪz
ھەرگىز	jol
ھەرگىزمۇ	hɛrgizmu
ھەزەر	hɛzær
ھەسسە	hɛssɛ
ھەسەل	hɛsɛl
ھەل	hɛl
ھەم	hɛm
ھەمدە	ɦɛmdɛ
ھەمدەم	hæmdɛm
ھەممە	hɛmmɛ
ھەممىسى	hɛmmisɪ
ھەممىسى	tɑjɑq
ھەي	hæj
ھويلا	hojlɑ
ھۆر	hør
ھۆرمەت	hørmɛt
ھۆل	høl
ھۇجۇم	hudʒum
ھۇزۇر	huzur
ھۇي	huj
ھىجران	hidʒran
ھىلال	hilɑl
ھىم	him
ھېس	his
ھېساب	hisɑp
ھېسسىيات	bɛdɛn
ھېكمەتلەركەن	hikmɛtlɛrkɛn
ھېكىم	hikim
ھېلى	hili
ھېلىقى	bɑlɑ
ۋاپا	wɑpɑ
ۋاراق	wɑrɑq
ۋاز	wɑz
ۋاق	wɑq
ۋاقتى	wɑqti
ۋاقتىدىلا	wɑqtidilɑ
ۋاقىتتا	tɛr
ۋاقىتنى	wɑqitni
ۋاكسىنا	wɑksinɑ
ۋاڭ	wɑŋ
ۋاي	wɑj
ۋە	kʰilɑp
ۋە	rɑslɑp
ۋە	wɛ
ۋە	ʔinsɑn
ۋە	ʔiʃlɑr
ۋەتەن	wɛtɛn
ۋەدىگە	wɛtigɛ
ۋەز	wɛz
ۋەزنى	wɛzni
ۋەكىلى	wɛkili
يا	jɑ
ياپتى	jɑpti
يات	jɑt
ياتىدۇ	jɑtidu
ياخشى	jɑχʃi
ياخشى	sɑp
ياخشىمۇ	jɑxʃimu
ياد	jɑd
يادلاپ	jɑdlɑp
يادلاش	jɑdlɑʃ
يادىكار	jɑdikɑr
يار	jɑr
ياراپ	jɑrɑp
يارار	jɑrɑr
يارماقنىڭ	jɑrmɑqnɨŋ
يارەنلەر	jɑrɑnlɛr
يارىسى	jɑrɪsɪ
يارىشا	jɑriʃɑ
يارىشىپ	jɑrɪʃip
يارىم	jɑrɨm
ياز	jɑz
يازاي	jɑzɑj
يازايلى	jɑzɑjli
يازدا	jɑzdɑ
يازدەكلا	jɑzdɛklɑ
يازغۇچى	jɑzʁutʃi
يازلىق	jɑzlɪq
يازما	jɑzmɑ
يازمام	jɑzmɑm
يازماي	jɑzmɑj
يازمايدۇ	jɑzmɑjdu
يازمىلار	jazmilɑr
يازنى	jɑznɨ
ياساپ	jɑsɑp
ياساش	jɑsɑʃ
ياسىدى	jɑsɪdi
ياسىن	jɑsin
ياش	jɑʃ
ياشا	jaʃa
ياشاپ	jɑʃɑp
ياشاش	jɑʃɑʃ
ياشام	jaʃɑm
ياشايلى	jɑʃajli
ياشتا	jɑʃtɑ
ياشتىن	jɑʃtɪn
ياشلىق	jaʃlɪq
ياشمۇ	jaʃmu
ياشىساق	jɑʃisɑq
ياق	jɑq
ياق	mæn
ياق	sɛn
ياقا	jɑqɑ
ياقۇت	jɑqut
ياقىدىكى	bir
ياڭاق	jɑŋɑq
يالاپ	jɑlɑp
يالاش	jɑlaʃ
يالاڭ	jɑlɑŋ
يالپۇز	jɑlpuz
يالپۇزلار	jɑlpuzlɑr
يالغان	jɑlʁɑn
يالغۇز	jɑlʁuz
يالقۇن	jɑlqun
ياللاپ	jɑllɑp
يالمان	jɑlmɑn
ياماق	jɑmɑq
يامان	jɑmɑn
ياماننى	jɑmɑnni
يامىنى	jɑmini
يان	jɑn
يانار	jɑnɑr
ياناردا	jɑnɑrdɑ
يانچۇققا	tʃɑj
ياندى	jandi
ياۋاش	jɑwɑʃ
ياۋلارنى	jɑvlɑrni
ياۋۇز	jɑwuz
يايار	jɑjɑr
يايراپ	jɑjrap
يايلاق	jɑjlɑq
يايلاقتا	jɑjlɑqtɑ
يايلاققا	jɑjlɑqqɑ
يايىلار	jɑjilɑr
يەپ	jɛp
يەپتۇ	jɛptu
يەپلا	jɛplɑ
يەتتە	jɛttɛ
يەتتى	jɛtti
يەتتىنچى	jɛttintʃi
يەتكۈزۈپ	sɨz
يەتمەيدۇ	jɛtmɛjdu
يەتمىش	jɛtmiʃ
يەر	jɛr
يەر-جاھان	jɛrdʒɑhɑn
يەردە	gɛp
يەردە	jɛrdɛ
يەردە	turup
يەردىكى	jɛrdikɨ
يەردىلا	jɛrdɪlɑ
يەرگە	jɛrgɑ
يەرلەر	jɑrlɑr
يەرلىك	jɛrlik
يەرمۇ	jɛrmu
يەل	jɛl
يەلپۈنگەن	jɛlpyngɛn
يەلدىن	jɛldin
يەللىك	jɛllik
يەم	jɛm
يەمدۇ	jɛmdu
يەمگە	jɛmgɛ
يەنە	bir
يەنە	jænɛ
يەنە	tɑjɑq
يەنى	jɛni
يەنىلا	jɛnilɑ
يەھيا	jɛhjɑ
يەي	jej
يەيدۇ	jɑmɑn
يەيدىكەن	jɛjdikɛn
يەيمەن	jɛjmɛn
يوتقان	jotqɑn
يوشۇرۇن	joʃurun
يوق	joq
يوق	ulɑr
يوقاپ	joqɑp
يوقال	joqɑl
يوقلاپ	joqlap
يوقلار	joqlɑr
‹يول	jol
يول	jol
يولدا	joldɑ
يولسىز	jolsiz
يوللاپ	jollɑp
يولۋاس	jolwɑs
يولىدا	jolɪdɑ
يولىنى	jolɨni
يۆتەل	jøtɛl
يۇتۇپ	jutup
يۇرت	jurt
يۇڭ	juŋ
يۇلتۇز	jultuz
يۇلۇپ	julup
يۇم	jum
يۇمشاق	jumʃɑq
يۇمۇپ	jumup
يۇمۇلۇپ	jumulup
يۇيۇپلا	jujuplɑ
يۈردى	jyrdi
يۈرە	jyrɛ
يۈرەك	jyrɛk
يۈرۈپ	jyryp
يۈرۈش	jyryʃ
يۈز	jyz
يۈزىدە	jyzidɛ
يۈك	jyk
يۈكسەك	hɛ
يۈكسىلىپ	jyksilɨp
يۈكىنى	jykini
يۈگەن	jygɛn
يىپ	jip
يىپتا	jiptɑ
يىپەك	jipɛk
يىراق	jirɑq
يىغار	bɑlɑ
يىغلاپ	turuptu
يىگىت	jigit
يىگىتكە	mɑqul
يىل	jil
يىلان	jilɑn
يىلدا	jilda
يىللار	jillɑr
يىللىق	jillɪq
يىللىق	sɑmɑn
يىلى	jili
يېزىپ	jezip
يېسە	jisɑ
يېسەڭ	jesɛŋ
يېسەم	jisɛm
يېشەر	jeʃɛr
يېشى	jeʃi
يېشىل	jeʃil
يېڭىلىش	bolup
يېگەن	jigɛn
يېمە	jimɛ
يېمىگەننى	jimigɛnni
يېنىك	jenik
