吖笨	aa˥ ban˨
坐實	zo˨ sat˨
坐收漁人之利	zo˨ sau˥ jyu˨˩ jan˨˩ zi˥ lei˨
坐收漁利	zo˨ sau˥ jyu˨˩ lei˨
助手	zo˨ sau˧˥
坐視無睹	zo˨ si˨ mou˨˩ dou˧˥
坐食山崩	zo˨ sik˨ saan˥ bang˥
坐禪	zo˨ sim˨˩
助成	zo˨ sing˨˩
坐攝	zo˨ sip˥
座上客	zo˨ soeng˨ haak˧
助選	zo˨ syun˧˥
座談	zo˨ taam˨˩
座談會	zo˨ taam˨˩ wui˧˥
助聽器	zo˨ ting˧ hei˧
座檯	zo˨ toi˧˥
座位	zo˨ wai˧˥
助劑	zo˨ zai˥
坐鎮	zo˨ zan˨
助紂爲虐	zo˨ zau˨ wai˨˩ joek˨
坐姿	zo˨ zi˥
坐支	zo˨ zi˥
座子	zo˨ zi˧˥
坐席	zo˨ zik˨
坐墊	zo˨ zin˧
助長	zo˨ zoeng˧˥
坐像	zo˨ zoeng˨
座鐘	zo˨ zung˥
啫文	zoe˥ man˨˩
脧脧	zoe˥ zoe˥
啫啫煲	zoe˥ zoe˥ bou˥
啫啫雞煲	zoe˥ zoe˥ gai˥ bou˥
啫住	zoe˥ zyu˨
䘒䘒	zoe˨˩ zoe˥
啫啫	zoe˨˩ zoe˥
朘朘	zoe˨˩ zoe˥
雀籠	zoek˧˥ lung˨˩
鵲鴨	zoek˧ aap˧
雀斑	zoek˧ baan˥
酌辦	zoek˧ baan˨
嚼不爛	zoek˧ bat˥ laan˨
雀巢	zoek˧ caau˨˩
雀巢咖啡	zoek˧ caau˨˩ gaa˧ fe˥
酌情	zoek˧ cing˨˩
酌情辦理	zoek˧ cing˨˩ baan˨ lei˩˧
着草	zoek˧ cou˧˥
着草鞋	zoek˧ cou˧˥ haai˨˩
雀噪	zoek˧ cou˧
酌處	zoek˧ cyu˧˥
酌處權	zoek˧ cyu˧˥ kyun˨˩
雀竇	zoek˧ dau˧
酌定	zoek˧ ding˨
酌奪	zoek˧ dyut˨
酌加	zoek˧ gaa˥
雀局	zoek˧ guk˨
鵲局	zoek˧ guk˨
酌覈	zoek˧ hat˨
着起龍袍唔似太子	zoek˧ hei˧˥ lung˨˩ pou˨˩ m˨˩ ci˩˧ taai˧ zi˧˥
酌獻	zoek˧ hin˧
着好衫	zoek˧ hou˧˥ saam˥
着紅鞋	zoek˧ hung˨˩ haai˨˩
着人舊鞋	zoek˧ jan˨˩ gau˨ haai˨˩
雀友	zoek˧ jau˩˧
酌議	zoek˧ ji˩˧
雀鷹	zoek˧ jing˥
斫營	zoek˧ jing˨˩
雀形目	zoek˧ jing˨˩ muk˨
鵲鷂	zoek˧ jiu˨
雀躍	zoek˧ joek˧[zoek˧ joek˨]
雀躍	zoek˧ joek˨
酌予	zoek˧ jyu˩˧
着鴛鴦襪	zoek˧ jyun˥ joeng˥ mat˨
鵲橋	zoek˧ kiu˨˩
嚼蠟	zoek˧ laap˨
着嚟	zoek˧ lai˨˩
着褸	zoek˧ lau˥
酌量	zoek˧ loeng˧˥
爵祿	zoek˧ luk˨
着埋一條褲	zoek˧ maai˨˩ jat˥ tiu˨˩ fu˧
雀盲眼	zoek˧ maang˨˩ ngaan˩˧
着咩衫	zoek˧ me˥ saam˥
着名牌	zoek˧ ming˨˩ paai˨˩
雀𪃏	zoek˧ mui˧˥
酌滿	zoek˧ mun˩˧
着瓦靴	zoek˧ ngaa˩˧ hoe˥
雀鳥	zoek˧ niu˩˧
雀屏	zoek˧ ping˧˥
雀屏中選	zoek˧ ping˨˩ zung˧ syun˧˥
酌收	zoek˧ sau˥
爵士	zoek˧ si˨
爵士樂	zoek˧ si˨ ngok˨
爵士會	zoek˧ si˨ wui˩˧
鵲色鸝	zoek˧ sik˥ lei˨˩
雀食	zoek˧ sik˨
嚼舌	zoek˧ sit˧
嚼舌根	zoek˧ sit˧ gan˥
嚼舌頭	zoek˧ sit˧ tau˨˩
灼傷	zoek˧ soeng˥
斫喪	zoek˧ song˧
雀粟	zoek˧ suk˥
爵位	zoek˧ wai˨
雀仔	zoek˧ zai˧˥
雀仔竇	zoek˧ zai˧˥ dau˧
酌酒	zoek˧ zau˧˥
着着聲	zoek˨˩ zoek˧˥ seng˥
着邊	zoek˨ bin˥
着火	zoek˨ fo˧˥
着火點	zoek˨ fo˧˥ dim˧˥
着慌	zoek˨ fong˥
着緊	zoek˨ gan˧˥
着急	zoek˨ gap˥
着意	zoek˨ ji˧
着然	zoek˨ jin˨˩
着棋	zoek˨ kei˨˩
着力	zoek˨ lik˨
着涼	zoek˨ loeng˨˩
着落	zoek˨ lok˨
着陸	zoek˨ luk˨
着龍袍唔似太子	zoek˨ lung˨˩ pou˨˩ m˨˩ ci˩˧ taai˧ zi˧˥
着唔落	zoek˨ m˨˩ lok˨
着迷	zoek˨ mai˨˩
着瓦靴	zoek˨ ngaa˩˧ hoe˥
着眼	zoek˨ ngaan˩˧
着眼點	zoek˨ ngaan˩˧ dim˧˥
着眼於	zoek˨ ngaan˩˧ jyu˥
着實	zoek˨ sat˨
着手	zoek˨ sau˧˥
着手於	zoek˨ sau˧˥ jyu˥
着手成春	zoek˨ sau˧˥ sing˨˩ ceon˥
着時	zoek˨ si˨˩
着色噴畫	zoek˨ sik˥ pan˧ waa˧
着想	zoek˨ soeng˧˥
着數	zoek˨ sou˧
着着失敗	zoek˨ zoek˨ sat˥ baai˨
着重	zoek˨ zung˨
着重點	zoek˨ zung˨ dim˧˥
着重號	zoek˨ zung˨ hou˨
章炳麟	zoeng˥ bing˧˥ leon˨˩
張保仔洞	zoeng˥ bou˧˥ zai˧˥ dung˨
樟輋	zoeng˥ ce˨˩
張春帆	zoeng˥ ceon˥ faan˨˩
章程	zoeng˥ cing˨˩
將錯就錯	zoeng˥ co˧ zau˨ co˧
張敞	zoeng˥ cong˧˥
張牀	zoeng˥ cong˨˩
張燈結彩	zoeng˥ dang˥ git˧ coi˧˥
張燈結綵	zoeng˥ dang˥ git˧ coi˧˥
章法	zoeng˥ faat˧
張飛頸	zoeng˥ fei˥ geng˧˥
章甫薦履	zoeng˥ fu˧˥ zin˧ lei˩˧
章嘉	zoeng˥ gaa˥
將今論古	zoeng˥ gam˥ leon˨ gu˧˥
將近	zoeng˥ gan˨
將近嘞	zoeng˥ gan˨ laak˧
張冠李戴	zoeng˥ gun˥ lei˩˧ daai˧
將功補過	zoeng˥ gung˥ bou˧˥ gwo˧
將功贖罪	zoeng˥ gung˥ suk˨ zeoi˨
將軍	zoeng˥ gwan˥
將軍澳	zoeng˥ gwan˥ ou˧
將軍帳	zoeng˥ gwan˥ zoeng˧
漿果	zoeng˥ gwo˧˥
張口	zoeng˥ hau˧˥
張口結舌	zoeng˥ hau˧˥ git˧ sit˧
張㬢雯	zoeng˥ hei˥ man˨˩
彰顯	zoeng˥ hin˧˥
張開	zoeng˥ hoi˥
張怡	zoeng˥ ji˨˩
將要	zoeng˥ jiu˧
張若虛	zoeng˥ joek˨ heoi˥
張揚	zoeng˥ joeng˨˩
張戎	zoeng˥ jung˨˩
章魚	zoeng˥ jyu˨˩
鱆魚	zoeng˥ jyu˨˩
將勤補絀	zoeng˥ kan˨˩ bou˧˥ zyut˧
將佢分開	zoeng˥ keoi˩˧ fan˥ hoi˥
將臨期	zoeng˥ lam˨˩ kei˨˩
張力	zoeng˥ lik˨
張羅	zoeng˥ lo˨˩
張量	zoeng˥ loeng˨
將來	zoeng˥ loi˨˩
蟑螂	zoeng˥ long˨˩
張銘進	zoeng˥ ming˨˩ zeon˧
漿膜	zoeng˥ mok˧˥
張望	zoeng˥ mong˨
彰武	zoeng˥ mou˩˧
樟木	zoeng˥ muk˨
張牙舞爪	zoeng˥ ngaa˨˩ mou˩˧ zaau˧˥
樟腦	zoeng˥ nou˩˧
樟腦丸	zoeng˥ nou˩˧ jyun˧˥
張三李四	zoeng˥ saam˥ lei˩˧ sei˧
漿洗	zoeng˥ sai˧˥
將心比己	zoeng˥ sam˥ bei˧˥ gei˧˥
將信將疑	zoeng˥ seon˧ zoeng˥ ji˨˩
樟樹	zoeng˥ syu˨
張廷玉	zoeng˥ ting˨˩ juk˨
張貼	zoeng˥ tip˧
張檯唔平	zoeng˥ toi˧˥ m˨˩ peng˨˩
章臺	zoeng˥ toi˨˩
張惶	zoeng˥ wong˨˩
張皇	zoeng˥ wong˨˩
漿糊	zoeng˥ wu˨˩
漿糊筆	zoeng˥ wu˨˩ bat˥
章回體	zoeng˥ wui˨˩ tai˧˥
將會	zoeng˥ wui˩˧
將就	zoeng˥ zau˨
張進偉	zoeng˥ zeon˧ wai˩˧
將至	zoeng˥ zi˧
張自烈	zoeng˥ zi˨ lit˨
張治中	zoeng˥ zi˨ zung˥
張自忠	zoeng˥ zi˨ zung˥
章節	zoeng˥ zit˧
張雀仔	zoeng˥ zoek˧ zai˧˥
彰彰	zoeng˥ zoeng˥
將將就就	zoeng˥ zoeng˥ zau˨ zau˨
掌握	zoeng˧˥ aak˥
掌握電腦	zoeng˧˥ aak˥ din˨ nou˩˧
掌握分寸	zoeng˧˥ aak˥ fan˥ cyun˧
掌握	zoeng˧˥ ak˥
獎品	zoeng˧˥ ban˧˥
獎杯	zoeng˧˥ bui˥
獎盃	zoeng˧˥ bui˥
長輩	zoeng˧˥ bui˧
長輩圖	zoeng˧˥ bui˧ tou˨˩
長出	zoeng˧˥ ceot˥
掌財	zoeng˧˥ coi˨˩
長大	zoeng˧˥ daai˨
長大咗	zoeng˧˥ daai˨ zo˧˥
長點心眼	zoeng˧˥ dim˧˥ sam˥ ngaan˩˧
獎金	zoeng˧˥ gam˥
長記性	zoeng˧˥ gei˧ sing˧
掌擊	zoeng˧˥ gik˥
掌故	zoeng˧˥ gu˧
長官	zoeng˧˥ gun˥
掌管	zoeng˧˥ gun˧˥
掌摑	zoeng˧˥ gwaak˧
掌柜	zoeng˧˥ gwai˧˥
掌櫃	zoeng˧˥ gwai˧˥
蔣桂戰爭	zoeng˧˥ gwai˧ zin˧ zang˥
獎券	zoeng˧˥ gyun˧
獎券	zoeng˧˥ gyun˧[zoeng˧˥ hyun˧]
獎學金	zoeng˧˥ hok˨ gam˥
獎項	zoeng˧˥ hong˨
掌控	zoeng˧˥ hung˧
長幼有序	zoeng˧˥ jau˧ jau˩˧ zeoi˨
獎掖	zoeng˧˥ jik˨
掌權	zoeng˧˥ kyun˨˩
獎勵	zoeng˧˥ lai˨
槳櫓	zoeng˧˥ lou˩˧
長老	zoeng˧˥ lou˩˧
掌紋	zoeng˧˥ man˨˩
長尾巴	zoeng˧˥ mei˩˧ baa˥
掌門	zoeng˧˥ mun˨˩
掌門人	zoeng˧˥ mun˨˩ jan˨˩
長男	zoeng˧˥ naam˨˩
長女	zoeng˧˥ neoi˧˥
獎牌	zoeng˧˥ paai˨˩
長莆	zoeng˧˥ pou˨˩
掌璽大臣	zoeng˧˥ saai˧˥ daai˨ san˨˩
長生津	zoeng˧˥ saang˥ zeon˥
長西裝	zoeng˧˥ sai˥ zong˥
長勢	zoeng˧˥ sai˧
長勢喜人	zoeng˧˥ sai˧ hei˧˥ jan˨˩
掌心	zoeng˧˥ sam˥
掌心雷	zoeng˧˥ sam˥ leoi˨˩
長守	zoeng˧˥ sau˧˥
掌聲	zoeng˧˥ sing˥
長成	zoeng˧˥ sing˨˩
獎賞	zoeng˧˥ soeng˧˥
掌相	zoeng˧˥ soeng˧
掌上壓	zoeng˧˥ soeng˨ aat˧
掌上明珠	zoeng˧˥ soeng˨ ming˨˩ zyu˥
長孫	zoeng˧˥ syun˥
長孫無忌	zoeng˧˥ syun˥ mou˨˩ gei˨
長他人志氣，滅自己威風	zoeng˧˥ taa˥ jan˨˩ zi˧ hei˧ mit˨ zi˨ gei˧˥ wai˥ fung˥
掌舵	zoeng˧˥ to˨˩
長者	zoeng˧˥ ze˧˥
長咀洲	zoeng˧˥ zeoi˧˥ zau˥
長贅疣	zoeng˧˥ zeoi˨ jau˨˩
長進	zoeng˧˥ zeon˧
長子	zoeng˧˥ zi˧˥
掌子面	zoeng˧˥ zi˧˥ min˧˥
掌政	zoeng˧˥ zing˧
獎咗	zoeng˧˥ zo˧˥
掌勺	zoeng˧˥ zoek˧
獎章	zoeng˧˥ zoeng˥
獎狀	zoeng˧˥ zong˨
掌中戲	zoeng˧˥ zung˥ hei˧
障蔽	zoeng˧ bai˧
脹泵泵	zoeng˧ bam˥ bam˥
賬表	zoeng˧ biu˧˥
脹卜卜	zoeng˧ bok˥ bok˥
帳簿	zoeng˧ bou˧˥
賬簿	zoeng˧ bou˧˥
脹卜卜	zoeng˧ buk˥ buk˥
賬本	zoeng˧ bun˧˥
賬冊	zoeng˧ caak˧
漲錢	zoeng˧ cin˧˥
漲潮	zoeng˧ ciu˨˩
脹大	zoeng˧ daai˨
賬單	zoeng˧ daan˥
仗火	zoeng˧ fo˧˥
賬房先生	zoeng˧ fong˧˥ sin˥ saang˥
帳款	zoeng˧ fun˧˥
賬款	zoeng˧ fun˧˥
漲價	zoeng˧ gaa˧
將官	zoeng˧ gun˥
瘴氣	zoeng˧ hei˧
帳項	zoeng˧ hong˨
帳號	zoeng˧ hou˨
賬號	zoeng˧ hou˨
賬號我	zoeng˧ hou˨ ngo˩˧
醬油	zoeng˧ jau˨˩
醬油雞	zoeng˧ jau˨˩ gai˥
仗義	zoeng˧ ji˨
悵然若失	zoeng˧ jin˨˩ joek˨ sat˥
醬園	zoeng˧ jyun˨˩
將棋	zoeng˧ kei˨˩
瘴癘	zoeng˧ lai˨
將領	zoeng˧ ling˩˧
醬料	zoeng˧ liu˧˥
帳幔	zoeng˧ maan˨
帳面	zoeng˧ min˧˥
賬面	zoeng˧ min˧˥
帳幕	zoeng˧ mok˨
悵惘	zoeng˧ mong˩˧
賬務	zoeng˧ mou˨
帳目	zoeng˧ muk˨
賬目	zoeng˧ muk˨
將門虎子	zoeng˧ mun˨˩ fu˧˥ zi˧˥
漲滿	zoeng˧ mun˩˧
障眼法	zoeng˧ ngaan˩˧ faat˧
障礙	zoeng˧ ngoi˨
障礙滑雪	zoeng˧ ngoi˨ waat˨ syut˧
賬內	zoeng˧ noi˨
帳棚	zoeng˧ paang˨˩
帳篷	zoeng˧ pung˨˩
漲水	zoeng˧ seoi˧˥
將帥	zoeng˧ seoi˧
將士	zoeng˧ si˨
帳肚	zoeng˧ tou˩˧
帳戶	zoeng˧ wu˨
賬戶	zoeng˧ wu˨
醬汁	zoeng˧ zap˥
漲咗	zoeng˧ zo˧˥
將種	zoeng˧ zung˧˥
象拔	zoeng˨ bat˨
象拔蚌	zoeng˨ bat˨ pong˩˧
象鼻蟲	zoeng˨ bei˨ cung˨˩
仗恃	zoeng˨ ci˩˧
丈夫	zoeng˨ fu˥
橡膠	zoeng˨ gaau˥
橡膠擦	zoeng˨ gaau˥ caat˧˥
橡膠樹	zoeng˨ gaau˥ syu˨
橡膠子彈	zoeng˨ gaau˥ zi˧˥ daan˧˥
橡筋	zoeng˨ gan˥
橡筋褲	zoeng˨ gan˥ fu˧
橡筋箍	zoeng˨ gan˥ ku˥
象限	zoeng˨ haan˨
象海豹	zoeng˨ hoi˧˥ paau˧
像一滴	zoeng˨ jat˥ dik˨
仗義疏財	zoeng˨ ji˨ so˥ coi˨˩
杖刑	zoeng˨ jing˨˩
象刑	zoeng˨ jing˨˩
象形	zoeng˨ jing˨˩
象形文字	zoeng˨ jing˨˩ man˨˩ zi˨
象形字	zoeng˨ jing˨˩ zi˨
仗腰	zoeng˨ jiu˥
像樣	zoeng˨ joeng˧˥
象棋	zoeng˨ kei˧˥
象棋賽	zoeng˨ kei˧˥ coi˧
丈量約份	zoeng˨ loeng˨ joek˧ fan˨
像模像樣	zoeng˨ mou˨˩ zoeng˨ joeng˨
像您	zoeng˨ nei˩˧
象牙	zoeng˨ ngaa˨˩
象牙海岸	zoeng˨ ngaa˨˩ hoi˧˥ ngon˨
象牙塔	zoeng˨ ngaa˨˩ taap˧
橡皮	zoeng˨ pei˨˩
橡皮帶	zoeng˨ pei˨˩ daai˧
橡皮圈	zoeng˨ pei˨˩ hyun˥
橡皮線	zoeng˨ pei˨˩ sin˧
橡皮糖	zoeng˨ pei˨˩ tong˧˥
橡皮圖章	zoeng˨ pei˨˩ tou˨˩ zoeng˥
仗勢	zoeng˨ sai˧
仗勢欺人	zoeng˨ sai˧ hei˥ jan˨˩
匠心獨運	zoeng˨ sam˥ duk˨ wan˨
橡實	zoeng˨ sat˨
象聲詞	zoeng˨ sing˥ ci˨˩
像素	zoeng˨ sou˧
杖頭木偶	zoeng˨ tau˨˩ muk˨ ngau˩˧
象腿	zoeng˨ teoi˧˥
像話	zoeng˨ waa˨
橡子麪	zoeng˨ zi˧˥ min˨
象徵	zoeng˨ zing˥
象徵式	zoeng˨ zing˥ sik˥
象徵主義	zoeng˨ zing˥ zyu˧˥ ji˨
災厄	zoi˥ aak˥
災變	zoi˥ bin˧
災變論	zoi˥ bin˧ leon˨
災情	zoi˥ cing˨˩
災情慘重	zoi˥ cing˨˩ caam˧˥ zung˨
栽倒	zoi˥ dou˧
災荒	zoi˥ fong˥
栽跟頭	zoi˥ gan˥ tau˨˩
災劫	zoi˥ gip˧
災害	zoi˥ hoi˨
災害鏈	zoi˥ hoi˨ lin˧˥
災殃	zoi˥ joeng˥
災區	zoi˥ keoi˥
災民	zoi˥ man˨˩
災難	zoi˥ naan˨
栽培	zoi˥ pui˨˩
甾醇	zoi˥ seon˨˩
災星托世	zoi˥ sing˥ tok˧ sai˧
甾酮	zoi˥ tung˨˩
災瘟	zoi˥ wan˥
災禍	zoi˥ wo˨
栽種	zoi˥ zung˧
栽種機	zoi˥ zung˧ gei˥
宰割	zoi˧˥ got˧
宰客	zoi˧˥ haak˧
宰予晝寢	zoi˧˥ jyu˩˧ zau˧ cam˧˥
宰殺	zoi˧˥ saat˧
宰牲節	zoi˧˥ sang˥ zit˧
宰相	zoi˧˥ soeng˧
崽子	zoi˧˥ zi˧˥
再版	zoi˧ baan˧˥
載波	zoi˧ bo˥
再次	zoi˧ ci˧
載重能力	zoi˧ cung˩˧ nang˨˩ lik˨
載彈量	zoi˧ daan˧˥ loeng˨
再度	zoi˧ dou˨
再婚	zoi˧ fan˥
再瞓	zoi˧ fan˧
再教育	zoi˧ gaau˧ juk˨
再見	zoi˧ gin˧
載歌且舞	zoi˧ go˥ ce˧˥ mou˩˧
載歌載舞	zoi˧ go˥ zoi˧ mou˩˧
再過下	zoi˧ gwo˧ haa˩˧
載客	zoi˧ haak˧
載客車	zoi˧ haak˧ ce˥
再好不過	zoi˧ hou˧˥ bat˥ gwo˧
載入史冊	zoi˧ jap˨ si˧˥ caak˧
載漪	zoi˧ ji˥
再現美	zoi˧ jin˨ mei˩˧
再育	zoi˧ juk˨
載譽歸來	zoi˧ jyu˨ gwai˥ loi˨˩
再傾	zoi˧ king˥
載攜	zoi˧ kwai˨˩
再唔慌	zoi˧ m˨˩ fong˥
再唔係	zoi˧ m˨˩ hai˨
再三	zoi˧ saam˥
再三再四	zoi˧ saam˥ zoi˧ sei˧
再世	zoi˧ sai˧
再生	zoi˧ sang˥
再生父母	zoi˧ sang˥ fu˨ mou˩˧
再生燃料	zoi˧ sang˥ jin˨˩ liu˧˥
再生制動	zoi˧ sang˥ zai˧ dung˨
再試	zoi˧ si˧
再說	zoi˧ syut˧
載體	zoi˧ tai˧˥
載途	zoi˧ tou˨˩
再同你	zoi˧ tung˨˩ nei˩˧
載運	zoi˧ wan˨
再會	zoi˧ wui˨
再製鹽	zoi˧ zai˧ jim˨˩
再製紙	zoi˧ zai˧ zi˧˥
載舟覆舟	zoi˧ zau˥ fuk˥ zau˥
載酒問字	zoi˧ zau˧˥ man˨ zi˨
再者	zoi˧ ze˧˥
再接再厲	zoi˧ zip˧ zoi˧ lai˨
再接再礪	zoi˧ zip˧ zoi˧ lai˨
再作	zoi˧ zok˧
再造	zoi˧ zou˨
再造業	zoi˧ zou˨ jip˨
再造手術	zoi˧ zou˨ sau˧˥ seot˨
再轉復	zoi˧ zyun˧˥ fuk˨
在車公廟	zoi˨ ce˥ gung˥ miu˧˥
在此後	zoi˨ ci˧˥ hau˨
在此之後	zoi˨ ci˧˥ zi˥ hau˨
在此之際	zoi˨ ci˧˥ zi˥ zai˧
在槍口	zoi˨ coeng˥ hau˧˥
在場	zoi˨ coeng˨˩
在牀	zoi˨ cong˨˩
在地鐵口	zoi˨ dei˨ tit˧ hau˧˥
在乎	zoi˨ fu˨˩
在劫難逃	zoi˨ gip˧ naan˨˩ tou˨˩
在光明	zoi˨ gwong˥ ming˨˩
在下	zoi˨ haa˨
在下方	zoi˨ haa˨ fong˥
在校	zoi˨ haau˨
在學	zoi˨ hok˨
在學證明	zoi˨ hok˨ zing˧ ming˨˩
在行	zoi˨ hong˨˩
在任	zoi˨ jam˨
在人和	zoi˨ jan˨˩ wo˨˩
在野	zoi˨ je˩˧
在意	zoi˨ ji˧
在於	zoi˨ jyu˥
在羣衆中	zoi˨ kwan˨˩ zung˧ zung˥
在望	zoi˨ mong˨
在外港人	zoi˨ ngoi˨ gong˧˥ jan˨˩
在內	zoi˨ noi˨
在案	zoi˨ on˧
在旁	zoi˨ pong˨˩
在沙井	zoi˨ saa˥ zeng˧˥
在生	zoi˨ saang˥
在世	zoi˨ sai˧
在心	zoi˨ sam˥
在深處	zoi˨ sam˥ cyu˧
在深圳嗎	zoi˨ sam˥ zan˧ maa˧
在心中	zoi˨ sam˥ zung˥
在蛇口	zoi˨ se˨˩ hau˧˥
在水一坊	zoi˨ seoi˧˥ jat˥ fong˥
在水一方	zoi˨ seoi˧˥ jat˥ fong˥
在線	zoi˨ sin˧
在線形象	zoi˨ sin˧ jing˨˩ zoeng˨
在所不計	zoi˨ so˧˥ bat˥ gai˧
在所不惜	zoi˨ so˧˥ bat˥ sik˥
在所難免	zoi˨ so˧˥ naan˨˩ min˩˧
在天之靈	zoi˨ tin˥ zi˥ ling˨˩
在逃	zoi˨ tou˨˩
在途	zoi˨ tou˨˩
在位	zoi˨ wai˨
在位時代	zoi˨ wai˨ si˨˩ doi˨
在會談中	zoi˨ wui˨ taam˨˩ zung˥
在真空中	zoi˨ zan˥ hung˥ zung˥
在即	zoi˨ zik˥
在職	zoi˨ zik˥
在職訓練	zoi˨ zik˥ fan˧ lin˨
在職貧窮	zoi˨ zik˥ pan˨˩ kung˨˩
在座	zoi˨ zo˨
作嘔	zok˧ au˧˥
作嘔作悶	zok˧ au˧˥ zok˧ mun˨
作罷	zok˧ baa˨
作弊	zok˧ bai˨
作品	zok˧ ban˧˥
作筆記	zok˧ bat˥ gei˧
作病	zok˧ beng˨
作壁上觀	zok˧ bik˥ soeng˨ gun˥
作賊心虛	zok˧ caak˨ sam˥ heoi˥
作出	zok˧ ceot˥
作詞	zok˧ ci˨˩
作大	zok˧ daai˨
作大嚟講	zok˧ daai˨ lai˨˩ gong˧˥
作答	zok˧ daap˧
作對	zok˧ deoi˧
作動	zok˧ dung˨
作反	zok˧ faan˧˥
作法	zok˧ faat˧
作法自斃	zok˧ faat˧ zi˨ bai˨
作廢	zok˧ fai˧
作福	zok˧ fuk˥
作風	zok˧ fung˥
作風修養	zok˧ fung˥ sau˥ joeng˩˧
作風正派	zok˧ fung˥ zing˧ paai˧
作家	zok˧ gaa˥
作價	zok˧ gaa˧
作奸犯科	zok˧ gaan˥ faan˨ fo˥
作姦犯科	zok˧ gaan˥ faan˨ fo˥
作繭	zok˧ gaan˧˥
作繭自縛	zok˧ gaan˧˥ zi˨ bong˧˥
作梗	zok˧ gang˧˥
作記號	zok˧ gei˧ hou˨
作歌	zok˧ go˥
作個故仔	zok˧ go˧ gu˧ zai˧˥
作古	zok˧ gu˧˥
作供	zok˧ gung˥
作怪	zok˧ gwaai˧
作客	zok˧ haak˧
作渴	zok˧ hot˧
昨日	zok˧ jat˨
昨日黃花	zok˧ jat˨ wong˨˩ faa˥
昨夜	zok˧ je˨
作業	zok˧ jip˨
作業系統	zok˧ jip˨ hai˨ tung˧˥
作業環境	zok˧ jip˨ waan˨˩ ging˧˥
作育英纔	zok˧ juk˨ jing˥ coi˨˩
作俑	zok˧ jung˧˥
作用	zok˧ jung˨
作用理論	zok˧ jung˨ lei˩˧ leon˨
作雨	zok˧ jyu˩˧
作曲	zok˧ kuk˥
作曲家	zok˧ kuk˥ gaa˥
作樂	zok˧ lok˨
作弄	zok˧ lung˨
作亂	zok˧ lyun˨
作文	zok˧ man˧˥
作文法	zok˧ man˧˥ faat˧
作文集	zok˧ man˧˥ zaap˨
作文	zok˧ man˧˥[zok˧ man˨˩]
作物	zok˧ mat˨
作夢	zok˧ mung˨
作牙	zok˧ ngaa˨˩
作禡	zok˧ ngaa˨˩
作惡	zok˧ ok˧
作惡多端	zok˧ ok˧ do˥ dyun˥
作案	zok˧ on˧
作伴	zok˧ pun˧˥
作勢	zok˧ sai˧
作誓	zok˧ sai˨
作實	zok˧ sat˨
作手腳	zok˧ sau˧˥ goek˧
作死	zok˧ sei˧˥
作祟	zok˧ seoi˨
作息	zok˧ sik˥
作數	zok˧ sou˧
作殊死戰	zok˧ syu˨˩ sei˧˥ zin˧
昨天	zok˧ tin˥
作畫	zok˧ waa˧˥
作威作福	zok˧ wai˥ zok˧ fuk˥
作爲	zok˧ wai˨˩
作者	zok˧ ze˧˥
作者不詳	zok˧ ze˧˥ bat˥ coeng˨˩
作者權	zok˧ ze˧˥ kyun˨˩
作者未詳	zok˧ ze˧˥ mei˨ coeng˨˩
作準	zok˧ zeon˧˥
作置	zok˧ zi˧
作戰	zok˧ zin˧
作戰方案	zok˧ zin˧ fong˥ on˧
作賤	zok˧ zin˨
作踐	zok˧ zin˨
作賤自己	zok˧ zin˨ zi˨ gei˧˥
作證	zok˧ zing˧
作證能力	zok˧ zing˧ nang˨˩ lik˨
作狀	zok˧ zong˨
作主	zok˧ zyu˧˥
鑿壁偷光	zok˨ bik˥ tau˥ gwong˥
鑿大	zok˨ daai˨
擢髮難數	zok˨ faat˧ naan˨˩ sou˧
噈喉	zok˨ hau˨˩
鑿空	zok˨ hung˥
昨日	zok˨ jat˨[zok˧ jat˨]
昨夜	zok˨ je˨[zok˧ je˨]
昨晚	zok˨ maan˩˧
昨晚	zok˨ maan˩˧[zok˧ maan˩˧]
作禡	zok˨ ngaa˨˩
鑿岩	zok˨ ngaam˨˩
鑿岩機	zok˨ ngaam˨˩ gei˥
柞水	zok˨ seoi˧˥
擢升	zok˨ sing˥
昨天	zok˨ tin˥[zok˧ tin˥]
鑿井	zok˨ zeng˧˥
鑿子	zok˨ zi˧˥
濯濯	zok˨ zok˨
裝扮	zong˥ baan˨
裝扮	zong˥ baan˨[zong˥ baan˧]
裝不了	zong˥ bat˥ liu˩˧
裝不裝	zong˥ bat˥ zong˥
裝屄	zong˥ bei˥
裝備	zong˥ bei˨
裝備齊全	zong˥ bei˨ cai˨˩ cyun˨˩
裝備維修	zong˥ bei˨ wai˨˩ sau˥
裝逼	zong˥ bi˥
裝逼	zong˥ bik˥
裝杯	zong˥ bui˥
贓車	zong˥ ce˥
裝出	zong˥ ceot˥
髒錢	zong˥ cin˨˩
裝設	zong˥ cit˧
裝束	zong˥ cuk˥
樁柱	zong˥ cyu˩˧
髒彈	zong˥ daan˧˥
裝彈弓	zong˥ daan˨ gung˥
裝釘	zong˥ deng˥
裝點門面	zong˥ dim˧˥ mun˨˩ min˨
裝飯	zong˥ faan˨
贓款	zong˥ fun˧˥
裝瘋賣傻	zong˥ fung˥ maai˨ so˨˩
莊家	zong˥ gaa˥
莊家股	zong˥ gaa˥ gu˧˥
裝假狗	zong˥ gaa˧˥ gau˧˥
裝假笱	zong˥ gaa˧˥ gau˧˥
