㓟皮	pʰɐi̯˥pʰei̯˨˩
算埋我	syːn˧maːi̯˨˩ŋɔː˩˧
算好啦	syːn˧hou̯˧˥la˥
算帳	syːn˧tsœːŋ˧
算度	syːn˧tɔːk̚˨
算式	syːn˧sik̚˥
算我	syːn˧ŋɔː˩˧
算撚數	syːn˧lɐn˧˥sou̯˧
算數	syːn˧sou̯˧
算數喇	syːn˧sou̯˧laː˧
算死草	syːn˧sei̯˧˥tsʰou̯˧˥
算無遺策	syːn˧mou̯˨˩wɐi̯˨˩tsʰaːk̚˧
算盤	syːn˧pʰuːn˨˩
算盤子	syːn˧pʰuːn˨˩tsiː˧˥
算草紙	syːn˧tsʰou̯˧˥tsiː˧˥
算術	syːn˧sɵt̚˨
算術平均	syːn˧sɵt̚˨pʰeŋ˨˩kʷɐn˥
算術式	syːn˧sɵt̚˨sik̚˥
箜簧	hʊŋ˥wɔːŋ˨˩
箝制	kʰiːm˨˩tsɐi̯˧
管事媽	kuːn˧˥siː˨maː˥
管井	kuːn˧˥tsɛːŋ˧˥
管制	kuːn˧˥tsɐi̯˧
管制站	kuːn˧˥tsɐi̯˧tsaːm˨
管取	kuːn˧˥tsʰɵy̯˧˥
管子鉗	kuːn˧˥tsiː˧˥kʰiːm˨˩
管家	kuːn˧˥kaː˥
管家職務	kuːn˧˥kaː˥tsik̚˥mou̯˨
管工	kuːn˧˥kʊŋ˥
管座	kuːn˧˥tsɔː˨
管弦	kuːn˧˥jiːn˨˩
管弦樂	kuːn˧˥jiːn˨˩ŋɔːk̚˨
管待	kuːn˧˥tɔːi̯˨
管手管腳	kuːn˧˥sɐu̯˧˥kuːn˧˥kœːk̚˧
管扳手	kuːn˧˥paːn˥sɐu̯˧˥
管教	kuːn˧˥kaːu̯˧
管教無方	kuːn˧˥kaːu̯˧mou̯˨˩fɔːŋ˥
管束	kuːn˧˥tsʰʊk̚˥
管樂	kuːn˧˥ŋɔːk̚˨
管治	kuːn˧˥tsiː˨
管理	kuːn˧˥lei̯˩˧
管理功能	kuːn˧˥lei̯˩˧kʊŋ˥nɐŋ˨˩
管理員	kuːn˧˥lei̯˩˧jyːn˨˩
管理局	kuːn˧˥lei̯˩˧kʊk̚˨
管理層	kuːn˧˥lei̯˩˧tsʰɐŋ˨˩
管理接口	kuːn˧˥lei̯˩˧tsiːp̚˧hɐu̯˧˥
管理處	kuːn˧˥lei̯˩˧tsʰyː˧
管理費	kuːn˧˥lei̯˩˧fɐi̯˧
管用	kuːn˧˥jʊŋ˨
管窺	kuːn˧˥kʷʰɐi̯˥
管窺所及	kuːn˧˥kʷʰɐi̯˥sɔː˧˥kʰɐp̚˨
管紗	kuːn˧˥saː˥
管胞	kuːn˧˥paːu̯˥
管見所及	kuːn˧˥kiːn˧sɔː˧˥kʰɐp̚˨
管轄	kuːn˧˥hɐt̚˨
管道	kuːn˧˥tʰou̯̯˨
管道運輸	kuːn˧˥tʰou̯̯˨wɐn˨syː˥
管風琴	kuːn˧˥fʊŋ˥kʰɐm˨˩
箭咀	tsiːn˧tsɵy̯˧˥
箭嘴	tsiːn˧tsɵy̯˧˥
箭在弦上	tsiːn˧tsɔːi̯˨jiːn˨˩sœːŋ˨
箭桿	tsiːn˧kɔːn˥
箭步	tsiːn˧pʰou̯̯˨
箭毒蛙	tsiːn˧tʊk̚˨waː˥
箭竹	tsiːn˧tsʊk̚˥
箭藝	tsiːn˧ŋɐi̯˨
箭術	tsiːn˧sɵt̚˨
箭豬	tsiːn˧tsyː˥
箭鏃	tsiːn˧tsʊk̚˨
箭靶	tsiːn˧paː˧˥
箭頭	tsiːn˧tʰɐu̯˨˩
箭頭鍵	tsiːn˧tʰɐu̯˨˩kiːn˨
箭魚	tsiːn˧jyː˧˥
箱子	sœːŋ˥tsiː˧˥
箱篋	sœːŋ˥haːp̚˨
箱籠	sœːŋ˥lʊŋ˩˧
箱頭筆	sœːŋ˥tʰɐu̯˨˩pɐt̚˥
箴言	tsɐm˥jiːn˨˩
節上生枝	tsit̚˧sœːŋ˨sɐŋ˥tsiː˥
節候	tsit̚˧hɐu̯˨
節儉	tsit̚˧kiːm˨
節制	tsit̚˧tsɐi̯˧
節哀順變	tsit̚˧ɔːi̯˥sɵn˨piːn˧
節外生枝	tsit̚˧ŋɔːi̯˨sɐŋ˥tsiː˥
節奏	tsit̚˧tsɐu̯˧
節奏口技	tsit̚˧tsɐu̯˧hɐu̯˧˥kʰei̯̯˨
節奏感	tsit̚˧tsɐu̯˧kɐm˧˥
節慾	tsit̚˧jʊk̚˨
節拍	tsit̚˧pʰaːk̚˧
節拍器	tsit̚˧pʰaːk̚˧hei̯˧
節操	tsit̚˧tsʰou̯˧
節支	tsit̚˧tsiː˥
節支動物	tsit̚˧tsiː˥tʊŋ˨mɐt̚˨
節日	tsit̚˧jɐt̚˨
節氣	tsit̚˧hei̯˧
節油	tsit̚˧jɐu̯˨˩
節流	tsit̚˧lɐu̯˨˩
節流閥	tsit̚˧lɐu̯˨˩fɐt̚˨
節煤型	tsit̚˧muːi̯˨˩jeŋ˨˩
節瓜	tsit̚˧kʷaː˥
節瘤	tsit̚˧lɐu̯˨˩
節目	tsit̚˧mʊk̚˨
節目單	tsit̚˧mʊk̚˨taːn˥
節省	tsit̚˧saːŋ˧˥
節禮	tsit̚˧lɐi̯˩˧
節約	tsit̚˧jœːk̚˧
節肢	tsit̚˧tsiː˥
節育	tsit̚˧jʊk̚˨
節能燈	tsit̚˧nɐŋ˨˩tɐŋ˥
節衣縮食	tsit̚˧jiː˥sʊk̚˥sik̚˨
節足動物	tsit̚˧tsʊk̚˥tʊŋ˨mɐt̚˨
節錄	tsit̚˧lʊk̚˨
節食	tsit̚˧sik̚˨
節骨眼	tsit̚˧kʷɐt̚˥ŋaːn˩˧
節點	tsit̚˧tiːm˧˥
範圍	faːn˨wɐi̯˨˩
範圍攻	faːn˨wɐi̯˨˩kʊŋ˥
範文	faːn˨mɐn˨˩
範本	faːn˨puːn˧˥
範疇	faːn˨tsʰɐu̯˨˩
範縣	faːn˨jyːn˨
篆刻	syːn˧haːk̚˥
篆字	syːn˨tsiː˨
篆工	syːn˨kʊŋ˥
篆文	syːn˨mɐn˨˩
篆書	syːn˧syː˥
篆體	syːn˨tʰɐi̯˧˥
篇幅	pʰiːn˥fʊk̚˥
篇目	pʰiːn˥mʊk̚˨
篇章	pʰiːn˥tsœːŋ˥
篇韻	pʰiːn˥wɐn˩˧
築堤	tsʊk̚˥tʰɐi̯˨˩
築壩	tsʊk̚˥paː˧
築室道謀	tsʊk̚˥sɐt̚˥tʰou̯̯˨mɐu̯˨˩
篋篋	haːp̚˨haːp̚˨
篔簹	wɐn˨˩tɔːŋ˥
篙竹	kou̯˥tsʊk̚˥
篡位	saːn˧wɐi̯˨
篡奪	saːn˧tyːt̚˨
篡弒	saːn˧siː˧
篡改	saːn˧kɔːi̯˧˥
篡政	saːn˧tseŋ˧
篡權	saːn˧kʰyːn˨˩
篡竊	saːn˧sit̚˧
篡立	saːn˧laːp̚˨
篡賊	saːn˧tsʰaːk̚˨
篡軍	saːn˧kʷɐn˥
篡逆	saːn˧jik̚˨
篤佢背脊	tʊk̚˥kʰɵy̯˩˧puːi̯˧tsɛːk̚˧
篤信	tʊk̚˥sɵn˧
篤出嚟	tʊk̚˥tsʰɵt̚˥lɐi̯˨˩
篤口篤鼻	tʊk̚˥hɐu̯˧˥tʊk̚˥pʰei̯̯˨
篤定	tʊk̚˥teŋ˨
篤實	tʊk̚˥sɐt̚˨
篤底	tʊk̚˥tɐi̯˧˥
篤愛	tʊk̚˥ɔːi̯˧
篤手指	tʊk̚˥sɐu̯˧˥tsiː˧˥
篤數	tʊk̚˥sou̯˧
篤波	tʊk̚˥pɔː˥
篤灰	tʊk̚˥fuːi̯˥
篤爆	tʊk̚˥paːu̯˧
篤直	tʊk̚˥tsik̚˨
篤眼篤鼻	tʊk̚˥ŋaːn˩˧tʊk̚˥pʰei̯̯˨
篤穿	tʊk̚˥tsʰyːn˥
篤穿佢	tʊk̚˥tsʰyːn˥kʰɵy̯˩˧
篤篤	tʊk̚˥tʊk̚˥
篤篤撐	tʊk̚˥tʊk̚˥tsʰaːŋ˧
篤篤車	tʊk̚˥tʊk̚˥tsʰɛː˥
篤背脊	tʊk̚˥puːi̯˧tsɛːk̚˧
篤腐乳	tʊk̚˥fuː˨jyː˩˧
篤誠	tʊk̚˥seŋ˨˩
篤鐘	tʊk̚˥tsʊŋ˥
篤魁	tʊk̚˥fuːi̯˥
篤魚蛋	tʊk̚˥jyː˨˩taːn˧˥
篤鼻哥	tʊk̚˥pʰei̯̯˨kɔː˥
篦子	pʰei̯̯˨tsiː˧˥
篦頭	pʰei̯̯˨tʰɐu̯˨˩
篩下篩下	sɐi̯˥haː˩˧sɐi̯˥haː˩˧
篩法	sɐi̯˥faːt̚˧
篩波	sɐi̯˥pɔː˥
篩箕	sɐi̯˥kʰei̯̯˥
篩糠	sɐi̯˥hɔːŋ˥
篩網水泵	sɐi̯˥mɔːŋ˩˧sɵy̯˧˥pɐm˥
篩網總彙	sɐi̯˥mɔːŋ˩˧tsʊŋ˧˥wuːi̯˨
篩身	sɐi̯˥sɐn˥
篩身篩勢	sɐi̯˥sɐn˥sɐi̯˥sɐi̯˧
篩選	sɐi̯˥syːn˧˥
篩除	sɐi̯˥tsʰɵy̯˨˩
篩骨	sɐi̯˥kʷɐt̚˥
篷車	pʰʊŋ˨˩tsʰɛː˥
篾片	miːt̚˨pʰiːn˧˥
簇擁	tsʰʊk̚˥jʊŋ˧˥
簇新	tsʰʊk̚˥sɐn˥
簇莖石竹	tsʰʊk̚˥keŋ˧sɛːk̚˨tsʊk̚˥
簉室	tsou̯˨sɐt̚˥
簕杜鵑	lɐk̚˨tʰou̯̯˨kyːn˥
簕竇	lɐk̚˨tɐu̯˧
簞笥	taːn˥tsiː˨
簡介	kaːn˧˥kaːi̯˧
簡便	kaːn˧˥piːn˨
簡冊	kaːn˧˥tsʰaːk̚˧
簡化	kaːn˧˥faː˧
簡化字	kaːn˧˥faː˧tsiː˨
簡化漢字	kaːn˧˥faː˧hɔːn˧tsiː˨
簡單	kaːn˧˥taːn˥
簡單元素	kaːn˧˥taːn˥jyːn˨˩sou̯˧
簡單明瞭	kaːn˧˥taːn˥meŋ˨˩liːu̯˩˧
簡報	kaːn˧˥pʰou̯̯˧
簡寫	kaːn˧˥sɛː˧˥
簡帖	kaːn˧˥tʰiːp̚˧
簡慢	kaːn˧˥maːn˨
簡括	kaːn˧˥kʰuːt̚˧
簡明	kaːn˧˥meŋ˨˩
簡易	kaːn˧˥jiː˨
簡易棚	kaːn˧˥jiː˨pʰaːŋ˨˩
簡易爆炸裝置	kaːn˧˥jiː˨paːu̯˧tsaː˧tsɔːŋ˥tsiː˧
簡本	kaːn˧˥puːn˧˥
簡樸	kaːn˧˥pʰɔːk̚˧
簡潔	kaːn˧˥kiːt̚˧
簡煉	kaːn˧˥liːn˨
簡略	kaːn˧˥lœːk̚˨
簡略見告	kaːn˧˥lœːk̚˨kiːn˧kou̯˧
簡直	kaːn˧˥tsik̚˨
簡短	kaːn˧˥tyːn˧˥
簡短介紹	kaːn˧˥tyːn˧˥kaːi̯˧siːu̯˨
簡稱	kaːn˧˥tsʰeŋ˥
簡章	kaːn˧˥tsœːŋ˥
簡筆字	kaːn˧˥pɐt̚˥tsiː˨
簡簡糊	kʰaːn˧˥kʰaːn˧˥wuː˧˥
簡約	kaːn˧˥jœːk̚˧
簡約主義	kaːn˧˥jœːk̚˧tsyː˧˥jiː˨
簡編	kaːn˧˥pʰiːn˥
簡練	kaːn˧˥liːn˨
簡縮	kaːn˧˥sʊk̚˥
簡繁	kaːn˧˥faːn˨˩
簡繁轉換	kaːn˧˥faːn˨˩tsyːn˧˥wuːn˨
簡而言之	kaːn˧˥jiː˨˩jiːn˨˩tsiː˥
簡裝	kaːn˧˥tsɔːŋ˥
簡要	kaːn˧˥jiːu̯˧
簡要介紹	kaːn˧˥jiːu̯˧kaːi̯˧siːu̯˨
簡諧	kaːn˧˥haːi̯˨˩
簡譜	kaːn˧˥pʰou̯˧˥
簡陋	kaːn˧˥lɐu̯˨
簡體字	kaːn˧˥tʰɐi̯˧˥tsiː˨
簡魚咀	kaːn˧˥jyː˨˩tsɵy̯˧˥
簧片	wɔːŋ˨˩pʰiːn˧
簧舌	wɔːŋ˨˩sit̚˧
簪玉	tsaːm˥jʊk̚˧˥
簪肉	tsaːm˥jʊk̚˧˥
簪花	tsaːm˥faː˥
簷篷	jiːm˨˩pʰʊŋ˨˩
簷蛇	jiːm˨˩sɛː˧˥
簸箕	pɔː˧kʰei̯̯˥
簽保	tsʰiːm˥pʰou̯̯˧˥
簽出	tsʰiːm˥tsʰɵt̚˥
簽到	tsʰiːm˥tʰou̯̯˧
簽卡	tsʰiːm˥kʰaːt̚˥
簽名	tsʰiːm˥mɛːŋ˧˥
簽名會	tsʰiːm˥mɛːŋ˧˥wuːi̯˧˥
簽名簿	tsʰiːm˥mɛːŋ˧˥pʰou̯̯˧˥
簽咭	tsʰiːm˥kʰaːt̚˥
簽單	tsʰiːm˥taːn˥
簽埋名	tsʰiːm˥maːi̯˨˩meŋ˨˩
簽好名	tsʰiːm˥hou̯˧mɛːŋ˧˥
簽字	tsʰiːm˥tsiː˨
簽字筆	tsʰiːm˥tsiː˨pɐt̚˥
簽字者	tsʰiːm˥tsiː˨tsɛː˧˥
簽字費	tsʰiːm˥tsiː˨fɐi̯˧
簽完名	tsʰiːm˥jyːn˨˩mɛːŋ˧˥
簽帳	tsʰiːm˥tsœːŋ˧
簽帳額	tsʰiːm˥tsœːŋ˧ŋaːk̚˧˥
簽手冊	tsʰiːm˥sɐu̯˧˥tsʰaːk̚˧
簽收	tsʰiːm˥sɐu̯˥
簽牙	tsʰiːm˥ŋaː˨˩
簽發	tsʰiːm˥faːt̚˧
簽發地點	tsʰiːm˥faːt̚˧tei̯˨tiːm˧˥
簽章	tsʰiːm˥tsœːŋ˥
簽約	tsʰiːm˥jœːk̚˧
簽約獎金	tsʰiːm˥jœːk̚˧tsœːŋ˧˥kɐm˥
簽紙	tsʰiːm˥tsiː˧˥
簽署	tsʰiːm˥tsʰyː˩˧
簽訂	tsʰiːm˥teŋ˧
簽註	tsʰiːm˥tsyː˧
簽証	tsʰiːm˥tseŋ˧
簽證	tsʰiːm˥tseŋ˧
簽賬	tsʰiːm˥tsœːŋ˧
簽賬額	tsʰiːm˥tsœːŋ˧ŋaːk̚˧˥
簽走	tsʰiːm˥tsɐu̯˧˥
簾子	liːm˨˩tsiː˧˥
簾布	liːm˨˩pʰou̯̯˧
簿冊	pʰou̯̯˨tsʰaːk̚˧
簿子	pʰou̯̯˧˥tsiː˧˥
簿籍	pʰou̯̯˨tsik̚˨
簿記	pʰou̯̯˨kʰei̯̯˧
簿記員	pʰou̯̯˨kʰei̯̯˧jyːn˨˩
簿記文員	pʰou̯̯˨kʰei̯̯˧mɐn˨˩jyːn˨˩
籀文	tsɐu̯˨mɐn˨˩
籃子	laːm˨˩tsiː˧˥
籃板	laːm˨˩paːn˧˥
籃板球	laːm˨˩paːn˧˥kʰɐu̯˨˩
籃框	laːm˨˩kʷʰaːŋ˥
籃波	laːm˨˩pɔː˥
籃球	laːm˨˩kʰɐu̯˨˩
籃球場	laːm˨˩kʰɐu̯˨˩tsʰœːŋ˨˩
籃筐	laːm˨˩kʷʰaːŋ˥
籃耳	laːm˧˥jiː˩˧
籌備	tsʰɐu̯˨˩pʰei̯̯˨
籌出	tsʰɐu̯˨˩tsʰɵt̚˥
籌劃	tsʰɐu̯˨˩waːk̚˨
籌募	tsʰɐu̯˨˩mou̯˨
籌思	tsʰɐu̯˨˩siː˥
籌措	tsʰɐu̯˨˩tsʰou̯˧
籌旗	tsʰɐu̯˨˩kʰei̯˨˩
籌款	tsʰɐu̯˨˩fuːn˧˥
籌略	tsʰɐu̯˨˩lœːk̚˨
籌碼	tsʰɐu̯˨˩maː˩˧
籌算	tsʰɐu̯˨˩syːn˧
籌組	tsʰɐu̯˨˩tsou̯˧˥
籌議	tsʰɐu̯˨˩jiː˩˧
籌辦	tsʰɐu̯˨˩paːn˨
籌錢	tsʰɐu̯˨˩tsʰiːn˧˥
籌集	tsʰɐu̯˨˩tsaːp̚˨
籌馬	tsʰɐu̯˨˩maː˩˧
籍貫	tsik̚˨kuːn˧
籠中之鳥	lʊŋ˨˩tsʊŋ˥tsiː˥niːu̯˩˧
籠仔包	lʊŋ˨˩tsɐi̯˧˥paːu̯˥
籠仔蒸飯	lʊŋ˨˩tsɐi̯˧˥tseŋ˥faːn˨
籠子	lʊŋ˨˩tsiː˧˥
籠屋	lʊŋ˨˩ʊk̚˥
籠底	lʊŋ˧˥tɐi̯˧˥
籠檻	lʊŋ˨˩haːm˩˧
籠溜	lʊŋ˨˩liːu̯˥
籠籠統統	lʊŋ˩˧lʊŋ˩˧tʰʊŋ˧˥tʰʊŋ˧˥
籠絡	lʊŋ˩˧lɔːk̚˨
籠絡人心	lʊŋ˩˧lɔːk̚˧jɐn˨˩sɐm˥
籠統	lʊŋ˩˧tʰʊŋ˧˥
籠罩	lʊŋ˨˩tsaːu̯˧
籠裏雞	lʊŋ˨˩lei̯˩˧kɐi̯˥
籠裏雞作反	lʊŋ˨˩lɵy̯˩˧kɐi̯˥tsɔːk̚˧faːn˧˥
籠頭	lʊŋ˨˩tʰɐu̯˨˩
籠鳥	lʊŋ˨˩niːu̯˩˧
籠𨋢	lʊŋ˨˩liːp̚˥
籤卡	tsʰiːm˥kʰaːt̚˥
籤條	tsʰiːm˥tʰiːu̯˨˩
籬垣	lei̯˨˩wuːn˨˩
籬士	lei̯˥siː˧˥
籬更竹	lei̯˨˩kaːŋ˥tsʊk̚˥
籬笆	lei̯˨˩paː˥
籮噼	lɔː˥pʰɛːt̚˥
籮底橙	lɔː˨˩tɐi̯˧˥tsʰaːŋ˧˥
籮拔	lɔː˥pɐt̚˨˩
籮摪	lɔː˨˩tsʰœːŋ˧
籮柚	lɔː˥jɐu̯˧˥
籮霸	lɔː˥paː˧
米仔蘭	mɐi̯˩˧tsɐi̯˧˥laːn˨˩
米其林	mɐi̯˩˧kʰei̯˨˩lɐm˧˥
米制	mɐi̯˩˧tsɐi̯˧
米字旗	mɐi̯˩˧tsiː˨kʰei̯˨˩
米少飯焦燶	mɐi̯˩˧siːu̯˧˥faːn˨tsiːu̯˥nʊŋ˥
米尺	mɐi̯˥tsʰɛːk̚˧
米搞	mɐi̯˩˧kaːu̯˧˥
米林	mɐi̯˩˧lɐm˨˩
米每秒	mɐi̯˩˧muːi̯˩˧miːu̯˩˧
米牛	mɐi̯˩˧ŋɐu̯˨˩
米王	mɐi̯˩˧wɔːŋ˨˩
米田共	mɐi̯˩˧tʰiːn˨˩kʊŋ˨
米碎	mɐi̯˩˧sɵy̯˧˥
米碟	mɐi̯˩˧tiːp̚˧˥
米粉	mɐi̯˩˧fɐn˧˥
米粒組織	mɐi̯˩˧lɐp̚˥tsou̯˧˥tsik̚˥
米線	mɐi̯˩˧siːn˧
米缸	mɐi̯˩˧kɔːŋ˥
米舖	mɐi̯˩˧pʰou̯˧˥
米色	mɐi̯˩˧sik̚˥
米芝蓮	mɐi̯˩˧tsiː˥liːn˨˩
米蘭	mɐi̯˩˧laːn˨˩
米蘭花	mɐi̯˩˧laːn˨˩faː˥
米話	mɐi̯˩˧waː˨
米豆	mɐi̯˩˧tɐu̯˧˥
米豆	mɐi̯˩˧tɐu̯˨
米走雞	mɐi̯˩˧tsɐu̯˧˥kɐi̯˥
米路	mɐi̯˩˧lou̯˨
米通	mɐi̯˩˧tʰʊŋ˥
米酒	mɐi̯˩˧tsɐu̯˧˥
米青	mɐi̯˩˧tsʰeŋ˥
米飯	mɐi̯˩˧faːn˨
米飯班主	mɐi̯˩˧faːn˨paːn˥tsyː˧˥
米飯甘香	mɐi̯˩˧faːn˨kɐm˥hœːŋ˥
米餅	mɐi̯˩˧pɛːŋ˧˥
米高風	mɐi̯˥kou̯˥fʊŋ˥
米麪	mɐi̯˩˧miːn˨
米麴菌	mɐi̯˩˧kʰʊk̚˥kʷʰɐn˧˥
籽實	tsiː˧˥sɐt̚˨
粉仔	fɐn˧˥tsɐi̯˧˥
粉刷	fɐn˧˥tsʰaːt̚˧
粉刺	fɐn˧˥tsʰiː˧
粉圓	fɐn˧˥jyːn˨˩
粉塵	fɐn˧˥tsʰɐn˨˩
粉墨	fɐn˧˥mɐk̚˨
粉墨登場	fɐn˧˥mɐk̚˨tɐŋ˥tsʰœːŋ˨˩
粉嶺	fɐn˧˥lɛːŋ˩˧
粉底	fɐn˧˥tɐi̯˧˥
粉彩	fɐn˧˥tsʰɔːi̯˧˥
粉撲	fɐn˧˥pʰɔːk̚˧
粉擦	fɐn˧˥tsʰaːt̚˧˥
粉末	fɐn˧˥muːt̚˨
粉板	fɐn˧˥paːn˧˥
粉果	fɐn˧˥kʷɔː˧˥
粉槍	fɐn˧˥tsʰœːŋ˥
粉牆	fɐn˧˥tsʰœːŋ˨˩
粉瘤	fɐn˧˥lɐu̯˧˥
粉皮	fɐn˧˥pʰei̯˨˩
粉砂岩	fɐn˧˥saː˥ŋaːm˨˩
粉砂石	fɐn˧˥saː˥sɛːk̚˨
粉碎	fɐn˧˥sɵy̯˧
粉碎機	fɐn˧˥sɵy̯˧kʰei̯̯˥
粉竇	fɐn˧˥tɐu̯˧
粉筆	fɐn˧˥pɐt̚˥
粉筆字	fɐn˧˥pɐt̚˥tsiː˨
粉筆擦	fɐn˧˥pɐt̚˥tsʰaːt̚˧˥
粉筆灰	fɐn˧˥pɐt̚˥fuːi̯˥
粉粿	fɐn˧˥kʷɔː˧˥
粉紅	fɐn˧˥hʊŋ˨˩
粉紅色	fɐn˧˥hʊŋ˨˩sik̚˥
粉絲	fɐn˧˥siː˥
粉腸	fɐn˧˥tsʰœːŋ˧˥
粉芡	fɐn˧˥hiːm˧
粉菓	fɐn˧˥kʷɔː˧˥
粉葛	fɐn˧˥kɔːt̚˧
粉蕉	fɐn˧˥tsiːu̯˥
粉角	fɐn˧˥kɔːk̚˧
粉豆	fɐn˧˥tɐu̯˨
粉身碎骨	fɐn˧˥sɐn˥sɵy̯˧kʷɐt̚˥
粉雷雷	fɐn˧˥lɵy̯˨˩lɵy̯˨˩
粉電	fɐn˧˥tiːn˨
粉飾	fɐn˧˥sik̚˥
粉飾太平	fɐn˧˥sik̚˥tʰaːi̯˧pʰeŋ˨˩
粉餅	fɐn˧˥pɛːŋ˧˥
粉鳥	fɐn˧˥niːu̯˩˧
粉麪	fɐn˧˥miːn˨
粉麪粥	fɐn˧˥miːn˨tsʊk̚˥
粉黛	fɐn˧˥tɔːi̯˨
粒子	nɐp̚˥tsiː˧˥
粒子束	lɐp̚˥tsiː˧˥tsʰʊk̚˥
粒子流	lɐp̚˥tsiː˧˥lɐu̯˨˩
粒子物理	lɐp̚˥tsiː˧˥mɐt̚˨lei̯˩˧
粒幾鐘	nɐp̚˥kʰei̯̯˧˥tsʊŋ˥
粒白細胞	lɐp̚˥paːk̚˨sɐi̯˧paːu̯˥
粒聲	lɐp̚˥sɛːŋ˥
粒聲唔出	nɐp̚˥sɛːŋ˥m̩˨˩tsʰɵt̚˥
粒聲都唔出	nɐp̚˥sɛːŋ˥tʰou̯̯˥m̩˨˩tsʰɵt̚˥
粒臣	nɐp̚˥sɐn˧˥
粒花	nɐp̚˥faː˥
粒鐘	nɐp̚˥tsʊŋ˥
粗人	tsʰou̯˥jɐn˨˩
粗估	tsʰou̯˥kuː˧˥
粗俗	tsʰou̯˥tsʊk̚˨
粗劣	tsʰou̯˥lyːt̚˨
粗劣作品	tsʰou̯˥lyːt̚˧tsɔːk̚˧pɐn˧˥
粗劣品	tsʰou̯˥lyːt̚˧pɐn˧˥
粗厲	tsʰou̯˥lɐi̯˨
粗口	tsʰou̯˥hɐu̯˧˥
粗口橫飛	tsʰou̯˥hɐu̯˧˥waːŋ˨˩fei̯˥
粗口爛舌	tsʰou̯˥hɐu̯˧˥laːn˨sit̚˧
粗啞	tsʰou̯˥aː˧˥
粗嘢	tsʰou̯˥jɛː˩˧
粗嚡	tsʰou̯˥haːi̯˨˩
粗壯	tsʰou̯˥tsɔːŋ˧
粗工	tsʰou̯˥kʊŋ˥
粗布	tsʰou̯˥pʰou̯̯˧
粗心	tsʰou̯˥sɐm˥
粗心大意	tsʰou̯˥sɐm˥taːi̯˨jiː˧
粗手大腳	tsʰou̯˥sɐu̯˧˥taːi̯˨kœːk̚˧
粗手粗腳	tsʰou̯˥sɐu̯˧˥tsʰou̯˥kœːk̚˧
粗放	tsʰou̯˥fɔːŋ˧
粗暴	tsʰou̯˥pʰou̯̯˨
粗枝大葉	tsʰou̯˥tsiː˥taːi̯˨jiːp̚˨
粗淺	tsʰou̯˥tsʰiːn˧˥
粗獷	tsʰou̯˥kʷɔːŋ˧˥
粗率	tsʰou̯˥sɵt̚˥
粗生	tsʰou̯˥saːŋ˥
粗生粗養	tsʰou̯˥saːŋ˥tsʰou̯˥jœːŋ˩˧
粗用	tsʰou̯˥jʊŋ˨
粗略	tsʰou̯˥lœːk̚˨
粗疏	tsʰou̯˥sɔː˥
粗着	tsʰou̯˥tsœːk̚˧
粗砂	tsʰou̯˥saː˥
粗笨	tsʰou̯˥pɐn˨
粗管麪	tsʰou̯˥kuːn˧˥miːn˨
粗粗地	tsʰou̯˥tsʰou̯˥tei̯˧˥
粗糙	tsʰou̯˥tsʰou̯˧
粗糠	tsʰou̯˥hɔːŋ˥
粗糲	tsʰou̯˥lɐi̯˨
粗細	tsʰou̯˥sɐi̯˧
粗聲大氣	tsʰou̯˥sɛːŋ˥taːi̯˨hei̯˧
粗聲粗氣	tsʰou̯˥sɛːŋ˥tsʰou̯˥hei̯˧
粗膽	tsʰou̯˥taːm˧˥
粗茶淡飯	tsʰou̯˥tsʰaː˨˩taːm˨faːn˨
粗茶香飯	tsʰou̯˥tsʰaː˨˩hœːŋ˥faːn˨
粗莽	tsʰou̯˥mɔːŋ˩˧
粗製	tsʰou̯˥tsɐi̯˧
粗製品	tsʰou̯˥tsɐi̯˧pɐn˧˥
粗製濫造	tsʰou̯˥tsɐi̯˧laːm˩˧tsou̯˨
粗言穢語	tsʰou̯˥jiːn˨˩wɐi̯˧jyː˩˧
粗話	tsʰou̯˥waː˨
粗語	tsʰou̯˥jyː˩˧
粗豪	tsʰou̯˥hou̯˨˩
粗身大勢	tsʰou̯˥sɐn˥taːi̯˨sɐi̯˧
粗身大細	tsʰou̯˥sɐn˥taːi̯˨sɐi̯˧
粗通	tsʰou̯˥tʰʊŋ˥
粗通文墨	tsʰou̯˥tʰʊŋ˥mɐn˨˩mɐk̚˨
粗通文字	tsʰou̯˥tʰʊŋ˥mɐn˨˩tsiː˨
粗鄙	tsʰou̯˥pʰei̯˧˥
粗重	tsʰou̯˥tsʰʊŋ˩˧
粗重嘢	tsʰou̯˥tsʰʊŋ˩˧jɛː˩˧
粗重工夫	tsʰou̯˥tsʰʊŋ˩˧kʊŋ˥fuː˥
粗野	tsʰou̯˥jɛː˩˧
粗陋	tsʰou̯˥lɐu̯˨
粗飯	tsʰou̯˥faːn˨
粗魯	tsʰou̯˥lou̯˩˧
粗鹵	tsʰou̯˥lou̯˩˧
粗鹽	tsʰou̯˥jiːm˨˩
粗齋	tsʰou̯˥tsaːi̯˥
粘乎乎	niːm˥fuː˥fuː˥
粘仔	tsiːm˥tsɐi̯˥
粘仔	tsiːm˥tsɐi̯˧˥
粘合	niːm˥hɐp̚˨
粘合劑	niːm˥hɐp̚˨tsɐi̯˥
粘土	niːm˥tʰou̯˧˥
粘度	niːm˥tʰou̯̯˨
