-al	al
ázerbájdžánka	aːzɛrbaːjdʒaːnka
ázerbájdžánsky	aːzɛrbaːjdʒaːnskɪ
ázerbájdžánský	aːzɛrbaːjtʒaːnskiː
ázerbájdžánština	aːzɛrbaːjdʒaːnʃcɪna
áčko	ˈaːtʃko
áčku	ʔaːtʃku
áčák	ˈaːtʃaːk
éra	ɛːra
éra	ˈera
éta	eta
éter	et̪e̞r
éterický	ɛtɛrɪtskiː
étos	etos
étos	ʔɛːtos
éčko	ɛːtʃko
éře	ɛːr̝ɛ
í	pi˥˩
í	u˨˩˦
íchor	ˈiːxor
írán	ˈiːraːn
íránec	iːraːnɛts
íránka	iːraːnka
íránská	ˈiːraːnskaː
íránské	iːraːnskɛː
íránský	ˈiːraːnskiː
íčko	ˈiːtʃko
ó	a
ó	ʔoː
óda	ˈoːda
ódin	oːdɪn
ódéesák	ʔoːdɛːʔɛsaːk
óčko	ˈoːtʃko
ú	u
ú	uː
úbočí	ubotʃˈiː
úbytě	uːbɪcɛ
úchvala	ʔuːxvala
úchyl	uːxɪl
úchylnost	uːxɪlnɔst
úchylný	uːxɪlniː
úcta	ˈuːtsta
úctou	ʔuːtstou
úctu	ˈuːtstu
úcty	uːtstɪ
úctyhodný	uːtstɪɦodniː
úctě	uːtscɛ
úd	ˈuːt
údaj	ˈuːdaj
údaje	uːdajeː
údajné	uːdajnɛ
údajné	uːdajnɛː
údajný	uːdajɲːiː
údajný	ˈuːdajniː
údajně	uːdajɲɛ
údajů	ˈuːdajuː
úder	udɛr
úder	uːdɛr
údernice	uːdɛrɲɪtsɛ
úderník	uːdɛrnˈiːk
úderník	uːdɛrɲiːk
úderníkův	uːdɛrɲiːkuːf
údery	uːdɛrɪ
údolnice	uːdolɲɪtsɛ
údolí	uːdɔːlˈiː
údolí	ˈuːdoliː
údolíčko	ˈuːdolˌiːtʃko
údržba	uːdrʒba
údržbový	uːdrʒboviː
údržbář	uːdrʒbaːr̝
úděl	uːɟɛl
údělem	uːɟɛlɛm
úhel	uːhɛl
úhel	uːɦɛl
úhelka	uːɦɛlka
úhlava	uɦlava
úhlava	uːɦlava
úhledný	ʔuːɦlɛdniː
úhloměr	uːɦlomɲɛr
úhlopříčka	uːɦlapr̝iːtʃka
úhlopříčkou	uːɦlapr̝iːtʃgou
úhlové	uɦlovɛː
úhlový	uːɦloviː
úhlů	uːhˈluː
úhlům	ˈuɦluːm
úholičky	puːɦolɪtʃkɪ
úhor	uɦor
úhor	uːɦor
úhoř	ʔuːɦor̝
úhošť	uːɦɔʃc
úhrabky	ʔuːɦrapkɪ
úhradě	uɦraɟɛ
úhybový	uːɦɪboviː
úhřetice	uɦr̝ɛtɪtsɛ
újezd	uːjɛst
újeď	uːjɛc
újma	uljma
úkaz	ʔuːkas
úkazu	ˈukazu
úklid	uːklɪt
úklidová	uːklɪdovaː
úklona	uklona
úkol	ukol
úkol	ˈuːkol
úkoly	uːkolɪ
úkonech	uːkonɛx
úkony	uːkonɪ
úkor	ʔuːkor
úkorně	uːkorɲɛ
úkrop	ˈuːkrop
úkropka	ˈuːkropka
úkryt	uːkrɪt
úkryte	uːkrɪtɛ
úkrytech	uːkrɪtɛx
úkrytem	uːkrɪtɛm
úkrytu	ˈuːkrɪtu
úkryty	uːkrɪtɪ
úkrytě	uːkrɪcɛ
úkrytů	uːkrɪtuː
úkrytům	uːkrɪtuːm
úl	ˈuːl
úle	uːla
úlehle	uːlɛɦlɛ
úlek	uːlɛk
úlet	ʔuːlɛt
úlev	ulɛf
úleva	uːlɛva
úlevu	ulavu
úlibice	ulɪbɪtsɛ
úlisně	ulɛsɲɛ
úlitba	ʔuːlɪdba
úloh	uːlo
úloha	uːloɦa
úlohou této	uːloɦoutɛːtɔ
úlomek	uːlomɛk
úlovek	ʔuːlovɛk
úlovice	uːlovɪtsɛ
úlovický	uːlovɪtskiː
úložka	ˈuːloʃka
úložní	ˈuːloʒɲiː
úložný	ˈuːloʒniː
úmonín	uːmoɲiːn
úmrtnost	uːmrtnost
úmrtnosti	uːmrtnoscɪ
úmrtností	uːmrtnosciː
úmrtní	umrtniː
úmrtní	uːmrtɲiː
úmrtí	uːmrciː
úmysl	uːmɪsl
úmyslného	uːmɪslnɛːɦo
úmyslný	uːmɪslniː
úmyslně	uːmɪslɲɛ
únava	nava
únava	ˈuːnava
únavný	ˈuːnavniː
únikovka	uːɲɪkofka
únikovými	uːɲɪkoviːmɪ
úniků	uːɲɪkuː
únor	ˈuːnor
února	ˈunora
února	ˈuːnora
únorový	ˈuːnorˌoviː
únoru	unoru
únoru	ˈuːnoru
únos	unos
únos	ˈuːnos
únosnost	ˈuːnosnost
únosný	ˈuːnosniː
únosnější	uːnosɲɛjʃiː
únětice	uɲɛtɪtsɛ
úpad	unpat
úpadce	upattsɛ
úpal	ˈuːpal
úpatní	ˈuːpatɲiː
úpice	uːpɪtsɛ
úpis	uːpɪs
úplatek	mˈplatɛk
úplatek	ʔuːplatɛk
úplatky	uːplotkɪ
úplatkář	uːplatkaːr
úplavice	ʔuːplavɪtsɛ
úplné	uːplnɛː
úplný	uːplniː
úplně	uːplɲɛ
úplnějším	uːplɲɛjʃiːm
úplněk	uplɲɛk
úplněk	uːplɲɛk
úplňkem	uːplɲkɛm
úplňku	ˈuːplɲku
úprava	uprava
úprava	ˈuːprava
úpravce	uːpraftsɛ
úpravný	upravniː
úpravu	ˈuːpravu
úpravy	uːpravɪ
úpravě	uːpravjɛ
úprk	uprɨk
úprk	uːprk
úpí	ˈuːpiː
úpěnlivě	upjɛnlɪvjɛ
úpěnlivě	uːpjɛnlɪvjɛ
úpění	uːp˨˩˦ian˩˩˦iː˥˩
úraz	uras
úraz	ˈuːras
úrazech	uːrazɛ
úrazovna	uːrazɔvna
úrazové	uːrazovɛː
úrazu	urazu
úrodnost	ˈuːrodnost
úrodnou	uradnou
úrodný	ˈuːrodniː
úrodnějších	uːrɔdɲɛjʃiːx
úrodnějšími	uːrɔdɲɛjʃiːmɪ
úrodou	urodov
úrodu	ʔuːrdu
úrok	ˈuːrok
úrokový	ˈuːrokˌoviː
úroku	ˈuːroku
úroveň	uːrovɛɲ
úrovni	ʔuːrovɲɪ
úschovna zavazadel	uːsxovnazavazadɛl
úschovnou	usxovnou
úschovny	uːsxovnɛ
úschovné	uːsxovna
úschovně	uːsxɔvɲɛ
úschovu	usxovuɾ
úsek	uːsɛk
úsekem	uːsakɛm
úsekem	uːsɛkɛm
úseku	uzɛku
úseku	ˈuːsɛku
úsekům	ʔuːsɛkuːm
úsečka	uːsɛtʃka
úsečně	uːsɛtʃɲɛ
úsilí	uːsɪliː
úskok	uːspok
úskokem	uːskokɛːm
úslava	ˈuːslava
úslužností	uːsluʒnɔstiː
úslužně	uːsluʒɲɛ
úsměv	ʔuːsmɲɛf
úsměvem	ʋusmɲɛvɛm
úsměvnou	uːsmɲɛvnou
úsměvné	ʔuːsmɲɛvnɛː
úsměvný	uːsmɲɛvniː
úsměvy	uːsmjavɪ
úspora	uzpora
úspora	ˈuːspora
úsporný	ˈuːsporniː
úspornějšího	uːsporɲɛjʃiːɦo
úspoře	ʔuːspor̝ɛ
úspěch	espjɛx
úspěch	uːspjɛx
úspěchy	uːspjɛxɪ
úspěchy	ˈuːspjɛxɪ
úspěchů	uːspjɛxuː
úspěšnost	uːspjɛʃnɔst
úspěšná	uːspjɛʃnaː
úspěšné	uːspjɛʃnɛː
úspěšní	ʔuːspjɛʃɲiː
úspěšný	uːspjɛʃniː
úspěšných	ʔuːspjɛʃniːx
úspěšnými	uːspjɛʃniːmɪ
úspěšně	uspjɛʃɲɛ
úspěšně	uːspjɛʃɲɛ
úspěšnější	uːspjɛʃɲɛjʃiː
úspěších	uːspjɛʃiːx
ústa	ˈuːsta
ústav	uːstaf
ústav	ɔʊstaf
ústava	ˈuːstava
ústavní	ˈuːstavɲiː
ústavních	ʔuːstavɲiːx
ústavněprávní	uːstavɲɛpraːvɲiː
ústavodárný	ˈuːstavˌodaːrniː
ústavu	ˈuːstavu
ústavy	uːstavɪ
ústavě	uːstavjɛ
ústech	ulstɛx
ústecka	uztɛtska
ústecko	uːstɛtskɔ
ústecká	uːstɛtskaː
ústeckého	uːstɛtskɛːɦo
ústecký	uːstɛtskiː
ústenka	uːstɛnka
ústní	ˈuːstɲiː
ústně	uːstɲɛ
ústrk	ʊʃstrək
ústroj	usdroj
ústrojí	ˈuːstrojiː
ústrojí řízení	uːstrojiːr̝iːzɛɲiː
ústup	ustup
ústup	ˈuːstup
ústupek	uːstupɛk
ústí	ˈuːsciː
ústění	uːstɛɲiː
ústřední	uːstr̝ɛdɲiː
ústředním	uːstr̝ɛdɲiː
ústředí	uːstr̝ɛdɪː
ústřicový	uːstr̝ɪtsoviː
ústřicový	uːstr̝ɪtsˈoviː
ústřičný	uːstr̝ɪtʃniː
úsudku	usutku
úsvit	uːsvɪt
útek	uːtɛk
úterek	uːtɛrɛk
úterní	uːtɛrɲiː
úterních	utɛrnʲiːx
úterního	uːtɛrɲiːɦo
úterním	uːtərɲiːm
úterý	uːtɛriː
útes	uːtɛs
útesech	utɛsɛx
útesem	ɵtɛsem
útesů	uːtɛsuː
útisku	uːtˈisku
útlejším	utlɛjʃiːm
útlost	uːtlɔst
útlostí	uːtlˈostɪ
útlá	ˈuːtlaː
útlý	uːtlɪ
útlý	ˈuːtliː
útocích	uldotsˈiːx
útocích	ˈuːtotsiːx
útok	ultak
útok	ˈuːtok
útokem	uːdakam
útokem	uːtokɛm
útokovka	ˈuːtokˌofka
útoku	ˈuːtoku
útoků	ˈuːtokuː
útočil	uːtotʃˈiːl
útočily	uːtotʃɪlɪ
útočit	uːtoʃɪt
útočiště	ʔuːtotʃɪʃcɛ
útočnice	uːtotʃɲitsɛ
útočná	uːdotʃnaː
útočném	uːdotʃnɛːm
útočníci	uːtotʃɲiːtsɪ
útočník	ˈuːtotʃɲiːk
útočníka	uːdotʃniːka
útočníka	ˈuːtotʃɲˌiːka
útočníkovo	uːtotʃnːʲikovo
útočníky	uːtotʃnɪkɪ
útočníky	uːtotʃɲiːkɪ
útočníkův	uːtotʃɲiːkuːf
útočný	uːtɔtʃniː
útočný	ʔuːtotʃniː
útočných	ʔuːtotʃniːx
útočí	ˈuːtotʃiː
útočíc	uːtoːtʃiːts
útočíce	ultotʃiːtsɛ
útočícího	uːtotʃiːtsiːɦo
útočícím	uːtotʃɪtsiːm
útrapách	wtrapaːx
útrata	utrata
útratu	ʊtrˈˈatu
útraty	utratɪ
útraty	uːtratɪ
útrob	uːtroːp
útrob	ˈuːtrop
útroby	uːtroby
útroby	uːtrobɪ
útrobách	uːtrobaː
útrpný	utrpniː
útvar	ˈuːtvar
útvaru	utvaru
útěchou	uːcɛxou
útěchu	uːcɛxu
útěchy	uˌtjɛxɪ
útěk	uːcɛk
útěky	uːcɛkɪ
útěkář	uːcɛkaːr̝
útěkáře	uːcɛkaːr̝ɛ
útěkářem	uːcɛkaːr̝ɛm
útěkáři	uːcɛkaːr̝ɪ
útěkářovi	uːcɛkaːr̝ovɪ
útěkářích	uːcɛkaːr̝iːx
útěkářů	uːcɛkaːr̝uː
útěkářům	uːcɛkaːr̝uːm
úvaha	uːvaɦa
úvahu	ˈuːvaɦu
úvalno	uːvaɫno
úvazku	ˈuːvasku
úvazků	ˈuːvaskuː
úvod	uvat
úvod	ˈuːvot
úvodem	ˈuːvɔdɛm
úvodní	uːvoniː
úvodní	ˈuːvodɲiː
úvodních	uːvɔdniːx
úvodními	uːvɔdniːmɪ
úvodu	ˈuːvodu
úvoz	uvos
úvoz	ˈuːvos
úvrať	ʔuːvrac
úváděním	uvaːɟɛniːm
úvěr	uvjɛr
úvěr	uːvjɛr
úvěrový	uːvjɛroviː
úvěru	uvjɛru
úzce	uztsɛ
úzce	uːstsɛ
úzce souviset	uːstsɛsouvɪsɛt
územní	uːzɛmɲiː
územních	ʊzɛmɲiːx
územního	uːzɛmɲiːɦo
územního	uːzɛmˈniːɦo
území	ʔuːzæmiː
území	ʔuːzɛmiː
územím	ɔkzɛmʲiːm
úzkokolejka	uːskokolɛjka
úzkorozchodná	uːskorotsxodnaː
úzkost	ˈuːskost
úzkostlivost	uzkostlɪvost
úzkou	ˈuːskou
úzký	ˈuːskiː
úzkým	uzkiːm
úzus	ˈuːzus
úča	utʃa
úča	ˈuːtʃa
účast	ˈuːtʃast
účastnice	ʔuːtʃastɲɪtsɛ
účastník	uːtʃastnɪk
účastník	ˈuːtʃastɲiːk
účastníka	uːtʃastnˈiːka
účastníka	ˈuːtʃastɲˌiːka
účastníky	uːtʃastɲiːkɪ
účastníků	ˈuːtʃastɲˌiːkuː
účastníkův	uːtʃastɲiːkuːf
účel	uːtʃɛl
účelovka	uːtʃɛlofka
účelovky	uːtʃɛlofkɪ
účelová	uːtʃɛlovaː
účelový	uːtʃɛloviː
účelový	uːtʃɛlovjiː
účelům	uːtʃɛluːm
účes	utʃas
účes	utʃes
účes	uːtʃɛs
účet	uːtʃɛt
účetnictví	ʔuːtʃɛtɲɪtstviː
účetní	ʔuːtʃɛtɲiː
účetních	uːtʃɛtɲiːx
účet za zboží	uːtʃɛtzasboʒiː
účin	utʃɛn
účinek	uːtʃɪnɛk
účinek léku	uːtʃɪnɛklɛku
účinek záření	ˈuːtʃɪnɛkzaːr̝ɛɲiː
účinkovat	ʔuːtʃɪnkovat
účinnost	uːtʃɪnost
účinný	uːtʃɪniː
účko	ˈuːtʃko
účte	uːtʃtɛ
účtech	uːtʃtɛx
účtem	ʔuːtʃtɛm
účtenka	uːtʃtɛnka
účtenka	ˈuːtʃtɛnka
účtenkami	uːtʃtɛnkamɪ
účtenkový	uːtʃtɛnkoviː
účtenkách	uːtʃtɛnkaːx
účtovaly	uːtʃtovalɪ
účtový	uːtʃtˈoviː
účtu	ʔuːtʃtu
účty	uːtʃtɪ
účtárenský	uːtʃtaːrɛnskiː
účtě	uːtʃcɛ
účtů	ˈuːtʃtuː
účtům	ˈuːtʃtuːm
úřad	ˈuːr̝at
úřadech	uːr̝adɛx
úřadovna	uːzadovna
úřadu	ˈuːr̝adu
úřady	uːr̝adɪ
úřadů	ˈuːr̝aduː
úřednictvo	ʔuːr̝ɛdɲɪtstvo
úřední	uːr̝ɛdɲiː
úředník	uːhr̝ɛdniːk
úředník	uːr̝ɛdɲiːk
úředníky	uːr̝ɛdɲiːkɪ
úředníkův	uːr̝ɛdɲiːkuːf
úředním	uːr̝ɛdɲim
úšlapek	ʊfʃlapɛk
úštěcký	uːʃcɛtskiː
úžas	ˈuːʒas
úžasem	uːʒasɛm
úžasný	uʒasnˈiː
úžasný	ˈuːʒasniː
úžasně	uʒasɲɛ
úžasně	uːʒasɲɛ
úžeh	ʔuːʒɛx
úžera	ʔuːʒɛra
úžerník	ʔuːʒɛrɲiːk
úžinách	uːʒinaːx
ý	iˈiˈ
č	tʃa
č	tʃø
ča-ča	tʃatʃa
čabajka	tʃˈabajka
čabraka	tʃˈabraka
čacký	tʃˈatskiː
čad	tʃot
čad	tʃˈat
čadivý	tʃaɟɪviː
čadské jezero	tʃatskɛːjɛzɛrɔ
čadský	tʃˈatskiː
čahoun	tʃaɦoun
čaj	tʃɑj
čaj	tʃˈaj
čaje	tʃajɛ
čajní	tʃˈajɲiː
čajník	tʃajɲiːk
čajník	tʃˈajɲiːk
čajovka	tʃˈajofka
čajovna	tʃˈajovna
čajovník	tʃajovɲiːk
čajovník	tʃˈajovɲiːk
čajovníkové plantáže	tʃajovɲikovɛːplantaːʒɛ
čajový	tʃajovjiː
čajový	tʃˈajoviː
čakov	tʃakɔf
čalamáda	tʃˈalamˌaːda
čalounový	tʃalounoviː
čalouník	tʃalouɲiːk
čalouníkův	tʃalouɲiːkuːf
čalouněné sedadlo	tʃalouɲɛnɛːsɛdadlo
čamara	tʃˈamara
čamburina	tʃamburɪna
čamburína	tʃˈamburˌiːna
čamrda	tʃamrda
čamrdář	tʃamrdaːr̝
čapek	tʃapet
čapek	tʃapɛk
čapka	tʃˈapka
čapková	tʃˈapkovaː
čapák	tʃˈapaːk
čapí	tʃapji
čapí	tʃˈapiː
čar	tʃˈar
čardáš	tʃˈardaːʃ
čarodky	tʃarotkɪ
čaroděj	tʃaroɟɛj
čaroděj	tʃarˈoɟɛj
čarodějnice	tʃaroɟɛjɲɪtsɛ
čarodějník	tʃaroɟɛjɲiːk
čarostřelkyně	tʃarostr̝ɛlkɪɲɛ
čarou	tʃarou
čarovat	tʃaravat
čas	tʃˈas
čase	tʃasɛ
časný	tʃasɲiː
časný	tʃˈasniː
časně	tʃasɲɛ
časomíra	tʃˈasomˌiːra
časopis	tʃasapes
časopis	tʃasopɪs
časopisecky	tʃasopɪsɛtski
časopisecký	tʃasupɪsɛtskiː
časoprostor	tʃˈasoprˌostor
časoprostorový	tʃˈasoprˌostorˌoviː
časosběrný	tʃasozbjɛrniː
časoslovný	tʃˈasoslˌovniː
časoslovo	tʃˈasoslˌovo
časovat	tʃˈasovat
časovka	tʃˈasofka
časování	tʃˈasovˌaːɲiː
časováních	tʃˈasovˌaːɲiːx
časováním	tʃˈasovˌaːɲiːm
časováními	tʃasovaːɲiːmɪ
časová prodleva	tʃasofaːprodlɛva
časové	tʃasovɛː
časové	tʃaʃovɛː
časového	kʃasovɛːɦo
časový	tʃasovíː
časový	tʃˈasoviː
časovým	tʃasɔviːm
časový spínač	tʃasovˈiːspiːnatʃ
časta	tʃˈasta
často	tʃastɔ
často	tʃˈasto
častost	tʃastost
často má	tʃasttomaː
často zadržoval	tʃastouzadrʒoval
často závisí	tʃastotʃzaːvɪsiː
častušce	tʃastuʃtsɛ
častuška	tʃˈastuʃka
časty	tʃastɪ
častá	tʃˈastaː
časté	tʃastɛ
časté	tʃastɛː
časté střetnutí	tʃastɛːstr̝ɛtnuːtiː
častý	tʃaˈsˈte
častý	tʃˈastiː
častěji	tʃastjɛji
častější	tʃascɛjʃiː
času	tʃasˈo
času	tʃˈasu
časy	tʃasɛ
časák	tʃˈasaːk
časů	tʃasˈu
časům	tʃˈasuːm
čatní	tʃatniː
čau	tʃao
čau	tʃau
čauky	tʃaukɪ
čauves!	tʃauvas
čauš	tʃauʃ
čavisov	tʃavjsov
čač	tʃˈatʃ
čača	tʃˈatʃa
čačo	tʃˈatʃo
čaňa	tʃˈaɲa
čech	tʃek
čech	tʃɛx
čecha	tʃɛxa
čechami	tʃɛxamɪ
čechem	tʃɛxɛm
čechie	tʃɛxɪjɛ
čechismus	tʃɛxɪsmus
čechoameričan	tʃɛxoamɛrɪtʃan
čechoameričanka	tʃɛxoamɛrɪtʃanka
čechoslovák	tʃɛxoslovaːk
čechov	tʃɛxof
čechova	tʃɛxova
čechovi	tʃɛxovɪ
čechovovi	tʃɛxovovɪ
čechovovy	tʃɛxovovɪ
čechovy	tʃɛxovɪ
čechovův	tʃɛxovuːf
čechrat	tʃɛxrat
čechu	tʃɛxu
čechy	tʃɛxɪ
čechy	tʃˈexi
čechyně	tʃɛxɪɲɛ
čechách	tʃɛxaːx
čechám	tʃɛxaːm
čechřice	tʃɛxr̝ɪtsɛ
čechů	tʃɛxuː
čechův	tʃɛxuːf
čedar	tʃedar
čedič	tʃɛɟɪtʃ
čedičový	tʃɛɟɪtʃoviː
čedok	tʃɛdok
čedok	tʃɛdɔk
čeho	tʃɛɦo
čeho	tʃˈeho
čehokoliv	tʃɛɦɔkolɪf
čehý	tʃɛɦiː
čejka	tʃɛjka
čejčí	tʃɛjtʃiː
čekací	tʃakatsiː
čekaje	tʃɛkajɛ
čekají	tʃɛkaj
čekají	tʃɛkaɟiː
čekal	tʃakal
čekali	tʃakali
čekali	tʃakalɪ
čekali	tʃɛkalɪ
čekalo	tʃɛkalo
čekalo zklamání	tʃɛkalosklamaːniː
čekaly	tʃɛkalɪ
čekanka	tʃekanka
čekanka	tʃɛkanka
čekankový	tʃɛkankoviː
čekaná	tʃakana
čekat	tʃakat
čekat	tʃɛkat
čekatel	tʃakatɛl
čekat marně	tʃɛkatmarɲɛ
čekat rodinu	tʃɛkatroɟɪnu
čekav	tʃɛkaf
čekejte	tʃakajta
čekista	tʃekista
čekuláda	tʃɛkulaːda
čekuládu	tʃɛkulaːdu
čekám	tʃakam
čekáme	tʃakame
čekáme	tʃɛkaːmɛ
čekání	tʃɛˈkɑːnˌiː˧
čekárna	tʃɛkaːrna
čekárny	tʃɛkaːrnɪ
čeká na prahu	tʃɛkaːnapraɦu
čel	tʃɛl
čela	tʃɪlɑ
čeladná	tʃɛladna
čele	tʃɛlɛ
čeledi	tʃalɛɟi
čeledník	tʃɛlɛdɲiːk
čeledín	tʃɛlɛɟiːn
čelem	tʃɛlem
čelen	tʃɛlɛn
čeleď	tʃalɛtɕ
čeleď	tʃɛlɛc
čelil	tʃɛlɪl
čelist	tʃialest
čelist	tʃɛlɪst
čelistnatci	tʃɛlɪstnattsɪ
čelistní	tʃɛlɪstɲiː
čelit	tʃelɛt
čelit	tʃɛlɪt
čelní	tʃɛlɲiː
čelně	tʃɛlɲɛ
čelo	tʃlo
čelo	tʃɛlo
čelovka	tʃɛlofka
čeložnice	tʃaloʒɲitsɛ
čeládka	tʃaˈlatka
čelákovice	tʃɛlaːkɔvɪtsɛ
čelí	tʃɛliː
čelíme	tʃɛliːmɛ
čelíčko	tʃɛliːtʃko
čem	tʃɛm
čemeřice	tʃɛmɛr̝ɪtsɛ
čemu	tʃɛm
čemž	tʃam
čenich	tʃɛɲɪx
čenichat	tʃɛniːxat
čenichat	tʃɛɲɪxat
čenichati	tʃɛɲɪxacɪ
čenský	tʃɛnskiː
čenstochová	tʃɛnstoxovaː
čeněk	tʃeˈnʲek
čepec	tʃapets
čepec	ʃapets
čepel	tʃɛpɛl
čepelka	tʃɛpɛlkɐ
čepice	tʃɛpɪtsɛ
čepici	tʃɛpɛtsʲɪ
čepička	tʃɛpiːtʃka
čepička	tʃɛpɪtʃka
čepovat	tʃɛpoˈbat
čepovka	tʃɛpovka
čepový ventil	tʃɛpoviːvɛntɪl
čepák	tʃɛpaːk
čepáček	tʃɛpaːtʃɛk
čepí	tʃɛpɪ
čerchov	tʃɛrxof
čerchov	tʃɛrxɔv
čermák	tʃɛrmaːk
čermákovi	tʃɛrmaːkovɪ
černi	tʃɛrɲɪ
černice	tʃɛrnʲitsɛ
černigov	tʃɛrɲɪgof
černihiv	tʃɛrɲɪɦɪf
černo	tʃɛrno
černobarevný	tʃɛrnobaɾɛvniː
černobyl	tʃɛrnobɪl
černobylský	tʃɛrnobɪlskiː
černobílý	tʃɛrnobiːliː
černobílý	tʃɛrnobɪːliː
černoch	tʃɛrnox
černochův	tʃɛrnoxuːf
černohorka	tʃɛrnoɦorka
černohorský	tʃɛrnoɦorskiː
černokabátník	tʃɛrnokabaːtɲiːk
černoknižník	tʃɛrnokɲɪʒɲiːk
černokněžník	tʃɛrnogɲɛʒniːk
černokněžník	tʃɛrnokɲɛʒɲiːk
černomořskou	tʃɛrnomor̝skou
černomořský	tʃɛrnomor̝skiː
černoočka	tʃɛrnootʃka
černoprdelník	tʃɛrnoprdɛlɲiːk
černosrstý	tʃɛrnosrstiː
černotín	tʃɛrnɔtiːn
černoušku	tʃɛrnouʃku
černozemní	tʃɛrnozɛmɲiː
černočerný	tʃɛrnotʃɛrniː
černoška	tʃɛrnoʃka
černoška	tʃɛrnɔʃka
černucha	tsɛrnuxa
černá	tʃɛrna
černá	tʃɛrnaː
černé	tʃɛrnɛː
černí	tʃɛrɲiː
černíkov	tʃɛrɲikof
černý	tʃerni
černý	tʃɛrniː
černými	tʃerniːme
černě	tʃernʲa
černě	tʃɛrnɛ
čerokízsky	tʃɛrokiːskɪ
čerpací	tʃɛrpatsiː
čerpadlo	tʃɛrpadlo
čerpat	tʃɛrpat
čerpačka	tʃɛrpatʃka
čerstvou	tʃɛrstvou
čerstvá	tʃɛrstvaː
čerství	tʃɛrstviː
čerství	tʃɛrstvíː
čerstvý	tʃɛrstvijː
čerstvý	tʃɛrstviː
čerstvě	tʃɛrstvɛ
čert	tʃɛrt
čerta	tʃɛrta
čertovina	tʃɛrtovɪna
čertovský	tʃartovskiː
čertovy obrázky	tʃɛrtovɪobraːskɪ
čertyně	tʃɛrtɪɲæ
čertův	tʃɛrtuːf
červ	tʃɛrf
červen	tʃɛrvɛn
červenají	tʃɛrvɛnajˈiː
červenat	tʃɛrvɛnat
července	tɕɛrvɛntsɛ
července	tʃɛrvɛntsɛ
červenci	tʃɛrvɛntsɪ
červencový	tʃɛrvɛntsoviː
červenec	tʃɛrvɑnɛts
červenec	tʃɛrvɛnɛts
červenka	tʃɛrvɛnka
červenobílém	tʃɛrvɛnobiːlɛːm
červenobílý	tʃɛrvɛnobiːliː
červenohorský	tʃɛrvɛnoɦorskiː
červenolící	tʃɛrvɛnoliːtsiː
červenou	tʃɛrvɛnou
červená	tʃɛrvɛnaː
červená	tʃɛrvɛnɑː
červenáček	tʃɛrvɛnaːtʃɛk
červené	tʃɛrvɛnɛː
červené	tʃɛrˈvɛnæ
červený	tʃɛrvɛniː
červeně	tʃɛrvɛɲɛ
červeň	tʃɛrvɛɲ
červivý	tʃarvɪviː
červivý	tʃɛrvɪviː
června	tʃɛrvna
červnový	tʃɛrvnoviː
červnu	tʃɛrvnu
červnu	tʃɛrvnˈu
červotoč	tʃɛrvototʃ
červovitý	tʃɛrvovɪtiː
červánky	tʃɛrvaːnkɪ
červíček	tʃɛrvɪtʃɛk
čerčany	tʃɛrtʃani
čerň	tʃernʲi
čerň	tʃɛrɲ
česat	tʃasat
česat	tʃɛsa
českem	tʃɛskɛm
česko	tʃɛsko
česko	tʃɛsku
česko	tʃɛskɔ
česko	tʃɛstko
česko-slovensko-polsko-maďarský	tʃɛskoslovɛnskopolskomaɟarskiː
česko-slovenský	tʃɛskoslovɛnskiː
česko-slovenský	tʃɛskoslovɛnskˈiː
českobudějovicko	tʃɛskobuɟɛjovɪtsko
českobudějovického	tʃɛskobuɟɛjovɪtskɛːɦo
českobudějovický	tʃɛskobuɟɛjovɪtskiː
českokrumlovsko	tʃɛskokrumlofsko
českokrumlovský	tʃɛskokrumlofskiː
českolipska	tʃɛskolɪpska
českolipsko	tʃɛskolɪpsko
českolipsku	tʃɛskolɪpsku
českolipský	tʃɛskolɪpskiː
českomoravský	tʃɛskomorafskiː
československo	tʃɛskoslovɛnsko
československo	tʃɛskoslovɛnsk�a
československo-francouzský	tʃɛskoslovɛnskofrantsouskiː
československo-sovětský	tʃɛskoslovɛnskosovjɛtskiː
československou	tʃɛskoslovɛnskou
československu	tʃɛskoslovɛnsku
československy	tʃɛskoslovɛnskɪ
československé	tʃɛskoslovɛnskɛː
československého	tʃɛskoslovɛnskɛːɦo
československého	tʃɛstkoslovɛnskɛːɦo
československý	tʃɛskoslovɛnskiː
československý	tʃɛskoslovɛnskɛ
českoslovenština	tʃɛskoslovɛnʃcɪna
českoslovenští	tʃɛskoslovɛnʃciː
českotřebovský	tʃɛskotr̝ɛbofskiː
českou	tʃɛskou
česku	tʃɛsku
česky	tʃeskɪ
česky	tʃɛski
česky	tʃɛskɪ
česká	tʃɛskaː
české	tʃɛskɛ
české	tʃɛskɛː
českého	tʃɛskɛːɦo
českém	tʃɛskɛːm
českému	tʃɛskɛːmu
český	tʃɛskiː
českých	tʃɛskiːx
českými	tʃɛskiːmɪ
česlavův	tʃɛslavuːf
česlo	tʃɛslo
česnek	tʃasne
česnek	tʃɛsnɛk
česnekový	tʃɛsnɛkoviː
česnekář	tʃɛsnɛkaːr̝
česnečka	tʃɛsnɛtʃka
čest	tʃɛst
čestmír	tʃɛstmiːr
čestmírův	tʃɛstmiːruːf
čestný	tʃɛstniː
čestný	tʃɛstˈniː
čestným	tʃɛstniːm
čet	tʃæt
čet	tʃɛt
