ༀ	om 
སྒྲུབ་པའི་རྟགས་མཚན་དངོས་སུ་བསྟན་པ་དང	drubpé taktsen ngö su tenpa dang
སྒྲུབ་པའི་རྫས་ལ་བཀྲག་ཅིག་སྟོན	drubpé dzé la trak chik tön
སྒྲུབ་པའི་སྨོན་ལམ་བཅོ་བརྒྱད་འགྲུབ་གྱུར་ཅིག	drubpé mönlam chobgyé drub gyur chik
སྒྲུབ་པོ་བདག་ཅག་འཁོར་དང་བཅས་རྣམས་ལ	drubpo dakchak khor dangché nam la
སྒྲུབ་བརྒྱུད་གངས་རིའི་སྤོ་ལ་ལེགས་འགྱིངས་ཤིང	drubgyü gangri po la lek gying shing
སྒྲུབ་བརྒྱུད་གྲུབ་ཆེན་བློ་གྲོས་རིན་ཆེན་གྱི	drubgyü drubchen lodrö rinchen gyi
སྒྲུབ་བརྒྱུད་བསྟན་འཛིན་གསུམ་ལ་གསོལ་བ་འདེབས	drubgyü tendzin sum la solwa dep
སྒྲུབ་བརྒྱུད་བསྟན་འཛིན་མཆོག་རྣམས་ཞབས་བརྟན་ཅིང	drubgyü tendzin chok nam zhabten ching
སྒྲུབ་བརྒྱུད་བསྟན་འཛིན་སྟག་ལུང་ཐང་པ་དངོས	drubgyü tendzin taklung tangpa ngö
སྒྲུབ་བརྒྱུད་བླ་རུ་འདེགས་མཛད་རྟག་བཞུགས་གསོལ	drubgyü la ru dek dzé tak zhuk sol
སྒྲུབ་བརྒྱུད་རིང་ལུགས་སྟོན་གྱི་འབྲས་བཞིན་སྨིན	drubgyü ringluk töngyi dré zhin min
སྒྲུབ་བརྒྱུད་རྒྱ་མཚོའི་དབུས་ན་རབ་མཐོ་ཞིང	drubgyü gyatsö ü na rab to zhing
སྒྲུབ་བརྒྱུད་རྒྱ་མཚོའི་དབུས་ན་རབ་མཐོ་ཞིང་	drubgyü gyatsö ü na rab to zhing
སྒྲུབ་བརྒྱུད་ཤིང་རྟ་ཆེ་བརྒྱད་རིང་ལུགས་ཀྱི	drubgyü shingta ché gyé ringluk kyi
སྒྲུབ་བརྒྱུད་ཤིང་རྟ་ཆེ་བརྒྱད་རྒྱས་གྱུར་ཅིག	drubgyü shingta ché gyé gyé gyur chik
སྒྲུབ་བརྒྱུད་ཤིང་རྟ་ཆེ་བརྒྱད་ལ་སོགས་པ	drubgyü shingta ché gyé lasokpa
སྒྲུབ་བརྒྱུད་ཤིང་རྟ་བརྒྱད་ཅེས་ཡོངས་གྲགས་པའི	drubgyü shingta gyé ché yong drakpé
སྒྲུབ་བརྒྱུད་ཤིང་རྟ་སྤྱི་དང་ཞི་བྱེད་སོགས	drubgyü shingta chi dang zhijé sok
སྒྲུབ་མཆོག་བདག་ལ་དབང་བཞི་བསྐུར༔	drub chok dak la wang zhi kur
སྒྲུབ་མཆོག་བདག་ལ་དབང་བཞི་བསྐུར༔	drup chok dak la wang zhi kur
སྒྲུབ་མཆོག་བདག་ལ་དབང་བཞི་སྐུར༔	drub chok dak la wang zhi kur
སྒྲུབ་མཆོག་རྣམས་ལ་དབང་བཞི་སྐུར༔	drup chok nam la wang zhi kur
སྒྲུབ་རྫས་གཉན་པོ་གཞུང་བཞིན་བཀྲམ་ལགས་ན༔	drubdzé nyenpo zhung zhin tram lak na
སྒྲུབ་རྫས་འཆི་མེད་བདུད་རྩིར་བསྒྱུར༔	drubdzé chimé dütsir gyur
སྒྲུབ་རྫས་འཆི་མེད་བདུད་རྩིར་སྒྱུར༔	drubdzé chimé dütsir gyur
སྒྲུབ་ལ་ཕྱི་ནང་གསང་བའི་བར་ཆད་ཞི	drub lachi nang sangwé barché zhi
སྒྲུབ་ལ་བར་གཅོད་ཐུགས་རྒྱུད་དཀྲུགས་པ་ཡི༔	drub la barchö tukgyü trukpa yi
སྒྲུབ་ལ་བར་ཆད་མེད་པ་དང	drub la barché mepa dang
སྒྲུབ་ལ་བར་ཆད་མེད་པར་བྱིན་གྱིས་རློབས༔	drub la barché mepar jingyi lob
སྒྲུབ་ལ་བརྩོན་ཞིང་དམ་ཆོས་འཕེལ་བ་དང	drub la tsön zhing damchö pelwa dang
སྒྲུབ་ལ་མི་ཚེ་ཕུད་ན་ཡང	drub la mitsé pü na yang
སྒྲུབ་ལ་འདོད་དགུ་སྩོལ་བའི་ཡི་དམ་ལྷ༔	drub la dögu tsolwé yidam lha
སྒྲུབ་སྡེ་བཀའ་བརྒྱད་རྒྱུད་སྡེ་ཕྱི་ནང	drubdé kagyé gyüdé chinang
སྒྲུབ་སྡེ་བརྒྱད་དང་འབར་མ་མ་ནིང་སོགས	drubdé gyé dang bar mama ning sok
སྒྲུབ་སྡེ་བརྒྱད་ལ་མངོན་པར་བྱང་ཆུབ་ནས	drubdé gyé la ngönpar changchub né
སྒྲེང་མཛད་དཔལ་ལྡན་བླ་མར་གསོལ་བ་འདེབས	dreng dzé palden lamar solwa deb
སྒྲོ	zgro
སྒྲོ་གླེང་ཞིབ་མོའི་བསྟན་པའི་གསལ་བྱེད་སྦར	dro leng zhipmöi tenpé sal je bar
སྒྲོ་འདོགས་ཐམས་ཅད་སེམས་ལ་ཆོད་པར་ཤོག	drondok tamché sem la chöpar shok
སྒྲོ་སྐུར་མཐའ་བྲལ་ཚོགས་གཉིས་ལམ་མཆོག་གིས	drokur tadral tsok nyi lam chok gi
སྒྲོག་མཁས་རྗེ་བཙུན་མ་ལ་གསོལ་བ་འདེབས	drok khé jetsün ma la solwa dep
སྒྲོན་དྲུག་འཇའ་ཟེར་ཐིག་ལེའི་འདོད་ཡོན་བཀྲ༔	drön druk jazer tiklé döyön tra
སྒྲོན་མེའི་རྒྱལ་པོ་རྩལ་བརྟན་དོན་གྲུབ་དགོངས	drönmé gyalpo tsalten döndrup gong
སྒྲོལ་གིང་རྡོ་རྗེ་ལེགས་པ་མཆེད་འཁོར་བཅས	drol ging dorjé lekpa ché khor ché
སྒྲོལ་ཅིག་བདག་འཛིན་ཉོན་མོངས་དུག་ལྔ་སྒྲོལ	drol chik dakdzin nyönmong duk nga drol
སྒྲོལ་ཕྱིར་ཕྲིན་ལས་སྣ་ཚོགས་སྟོན༔	drol chir trinlé natsok tön
སྒྲོལ་བའི་ཐབས་མཁས་སྙིང་རྗེའི་མཐུ	drolwé tabkhé nyingjé tu
སྒྲོལ་མ་ཉེར་གཅིག་གནས་བརྟན་འཕགས་པའི་ཚོགས	drolma nyerchik neten pakpé tsok
སྒྲོལ་མ་ཉེར་གཅིག་འབུམ་ཕྲག་མཁའ་འགྲོས་བསྐོར༔	drolma nyer chik bum trak khandrö kor
སྒྲོལ་མ་དྲག་བྱེད་ཆེན་མོར་གསོལ་བ་འདེབས	drolma drak jé chenmor solwa deb
སྒྲོལ་མ་མྱུར་མ་དཔའ་མོར་གསོལ་བ་འདེབས	drolma nyurma pamor solwa deb
སྒྲོལ་མ་རྒྱལ་བ་ཀུན་ཡུམ་མར	drolma gyalwa kün yum mar
སྒྲོལ་མཛད་རྒྱལ་བ་རིན་ཆེན་གཙུག་ཏོར་ཅན	drol dzé gyalwa rinchen tsuktor chen
སྒྲོལ་མའི་ཐུགས་རྗེས་རྟག་ཏུ་རྗེས་བཟུང་ནས	drolmé tukjé taktu jezung né
སྒྲོལ་མས་ཞལ་གཟིགས་མཆོག་གི་དངོས་གྲུབ་བརྙེས༔	drolmé zhalzik chok gi ngödrub nyé
སྒྲོལ་མས་ལུང་བསྟན་གངས་ཅན་དཔལ་དུ་བྱོན	drolmé lungten gangchen pal du jön
སྔ	hŋa
སྔ	zŋa
སྔ	ŋa˥˥
སྔ	ŋ̊a˥˧
སྔ་དྲོ	zŋadro
སྔ་དྲོ	ŋa˥˥ʈʂo˥˥
སྔ་དྲོ་བདེ་ལེགས	zŋadrobdeleks
སྔ་དྲོ་བདེ་ལེགས	ŋa˥˥ʈʂo˥˥te˩˨le˥˨
སྔ་ཕྱིར་མནོས་ཤིང་གཉེར་དུ་སྨྲས་སོ་འཚལ	ngachir nö shing nyer du mé so tsal
སྔ་ཕྱིར་མནོས་ཤིང་གཉེར་དུ་སྨྲས་སོ་འཚལ༔	ngachir nö shing nyer du mé so tsal
སྔ་མ་ལྟ་བུ་རྡོ་རྗེའི་གདན་ལ་འཁོད	ngama tabu dorjé den la khö
སྔ་འགྱུར་གྲུབ་མཐའ་ཆོས་ལུགས་སྣ་ཚོགས་ཀྱིས	ngagyur drubta chöluk natsok kyi
སྔ་འགྱུར་ཆོས་སྐྱོང་སྲུང་མའི་བདེན་སྟོབས་ཀྱིས	ngagyur chökyong sungmé den tob kyi
སྔ་འགྱུར་བཀའ་གཏེར་བསྟན་པ་རྒྱ་མཚོའི་བདག	ngagyur kater tenpa gyatsö dak
སྔ་འགྱུར་བཀའ་གཏེར་ཡོངས་རྫོགས་ལེགས་གསན་ཅིང	ngagyur kater yongdzok lek sen ching
སྔ་འགྱུར་བཀའ་བབ་སོ་ཟུར་གནུབས་གསུམ་ལས	ngagyur kabab so zur nub sum lé
སྔ་འགྱུར་བཀར་གཏེར་ཕྲིན་སྒྲུབ་ཕྱག་བཞེས་བཟང	ngagyur kar ter trin drub chak zhé zang
སྔ་འགྱུར་བརྒྱུད་པ་ལའང་གསོལ་བ་འདེབས	ngagyur gyüpa la ang solwa deb
སྔ་འགྱུར་བསྟ༵ན་པ་བཀའ་གཏེར་འཁོར་ལོ་ཆེ	ngagyur
སྔ་འགྱུར་བསྟ༵ན་པ་བཀའ་གཏེར་འཁོར་ལོ་ཆེ	ngagyur 
སྔ་འགྱུར་བསྟན་པའི་ཉི་མ་ནུབ་རིར་གཞོལ	ngagyur tenpé nyima nub rir zhol
སྔ་འགྱུར་བསྟན་པའི་ཉི་མ་རོང་ཟོམ་པ	ngagyur tenpé nyima rong zompa
སྔ་འགྱུར་བསྟན་པའི་བདག་པོ་བསམ་ཡས་པ	ngagyur tenpé dakpo samyé pa
སྔ་འགྱུར་བསྟན་པའི་བརྒྱུད་འཛིན་ལས༵་གླིང༵་གི	ngagyur tenpé gyü dzin leling gi
སྔ་འགྱུར་བསྟན་པའི་མགོན་དུ་འབྱོན་ནས་ཀྱང	ngagyur tenpé gön du jön né kyang
སྔ་འགྱུར་བསྟན་པའི་མེ་རོ་སློངས་གྱུར་ཅིག	ngagyur tenpé mé ro long gyur chik
སྔ་འགྱུར་བསྟན་པའི་རྒྱལ་མཚན་སྤྲུལ་པའི་སྐུ	ngagyur tenpé
སྔ་འགྱུར་བསྟན་པའི་རྩ་བ་མདོ་སྒྱུ་སེམས	ngagyur tenpé tsawa do gyu sem
སྔ་འགྱུར་བསྟན་པའི་ཤིང་རྟ་བཀའ་འགྱུར་པ	ngagyur tenpé shingta ka gyurpa
སྔ་འགྱུར་བསྟན་པའི་སྙིང་པོ་རྫོགས་པ་ཆེ	ngagyur tenpé nyingpo dzogpa ché
སྔ་འགྱུར་བསྟན་ལ་འཁུ་བའི་ལོག་འདྲེན་རིགས	ngagyur ten la khuwé lokdren rik
སྔ་འགྱུར་བསྟན་སྲོག་མཐུད་མཛད་པ	ngagyur ten sok tü dzepa
སྔ་འགྱུར་མདོ་སྔགས་ཟབ་རྒྱས་ཆོས་ཀྱི་མཛོད	ngagyur do ngak zabgyé chö kyi dzö
སྔ་འགྱུར་རིག་འཛིན་གྱི་གཙུག་རྒྱན	ngagyur rigdzin gyi tsukgyen
སྔ་འགྱུར་རྩ་གསུམ་ལྷ་ཚོགས་དགོངས་སུ་གསོལ	ngagyur tsa sum lhatsok gong su sol
སྔ་འགྱུར་ཤིང་རྟའི་དཔལ་ལས་དྲངས་པ་ཡི	ngagyur shingté pal lé drangpa yi
སྔགས་ཀྱི་གཡས་སུ་བསྐོར་བ་ལས༔	ngak kyi yé su korwa lé
སྔགས་ཀྱི་དངོས་གྲུབ་བསྩལ་ནས་ཀྱང	ngak kyi ngödrub tsal né kyang
སྔགས་ཀྱི་ཕྲེང་བ་སྒྲར་བཅས་འཕྲོས	ngak kyi trengwa drar ché trö
སྔགས་ཀྱི་ཕྲེང་བས་གཡས་སུ་འཁོར༔	ngak kyi trengwé yé su khor
སྔགས་ཀྱི་ཕྲེང་བས་བསྐོར་བ་ལ	ngak kyi trengwé korwa la
སྔགས་ཀྱི་ཕྲེང་བས་བསྐོར་བ་ལས	ngak kyi trengwé korwa lé
སྔགས་ཀྱི་ཕྲེང་བས་བསྐོར་བ་ལས༔	ngak kyi trengwé korwa lé
སྔགས་ཀྱི་ཕྲེང་བས་བསྐོར་ལས་འོད་ཟེར་འཕྲོས༔	ngak kyi trengwé kor lé özer trö
སྔགས་ཀྱི་བསྙེན་པ་གྲངས་ལས་ཆད་པ་དང	ngak kyi nyenpa drang lé chépa dang
སྔགས་ཀྱི་འོད་ཟེར་རྣམས་ཟླུམ་པོར་འཁྱིལ་བའི་གུར་ཁང་དུ་བདག་གཞན་བསྲུང་བྱ་ཐམས་ཅད་ཚུད་པར་གྱུར	ngak kyi özer nam dumpor khyilwé gurkhang du dakzhen sungja tamché tsüpar gyur
སྔགས་ཀྱི་ལམ་ལས་དངོས་གྲུབ་མཆོག་བརྙེས་ཤིང	ngak kyi lam lé ngödrub chok nyé shing
སྔགས་ཀྱིས་བསྐོར་བའི་འོད་ཟེར་གྱིས༔	ngak kyi korwé özer gyi
སྔགས་ཀྱིས་མཚན་པས་ནམ་མཁའ་གང	ngak kyi tsenpé namkha gang
སྔགས་དང་ཏིང་འཛིན་བདེན་གཉིས་ནུས་སྟོབས་ཀྱིས	ngak dang tingdzin den nyi nü tob kyi
སྔགས་དང་འོད་ཟེར་བདུད་རྩིའི་རྒྱུན	ngak dang özer dütsi gyün
སྔགས་ནི་ལས་ཅན་སྤྲུལ་པའི་ངོར༔	ngak ni léchen trulpé ngor
སྔགས་པའི་ཆ་ལུགས་གསང་གོས་བེར་ཕྱམ་ཅན	ngakpé chaluk sang gö ber chamchen
སྔགས་པས་འདི་དག་སྤངས་ནས་ནི	ngakpé didak pang né ni
སྔགས་པས་འབད་དེ་གཟུང་བར་བྱ	ngakpé bé dé zungwar ja
སྔགས་ཕྲེང་གཉིས་པ་རེ་ཆད་པ	ngak treng nyipa ré chepa
སྔགས་ཕྲེང་བསྐོར་ལས་འོད་འཕྲོས་པས	ngak treng kor lé ö tröpé
སྔགས་ཕྲེང་མགལ་མེ་བཞིན་དུ་འཁོར༔	ngak treng galmé zhindu khor
སྔགས་ཕྲེང་འཁོར་བའི་འོད་ཟེར་གྱིས༔	ngak treng khorwé özer gyi
སྔགས་ཕྲེང་འགལ་མེ་བཞིན་དུ་འཁོར༔	ngak treng galmé zhindu khor
སྔགས་ཕྲེང་འཕྲོས་ཤིང་ཞི་ཁྲོའི་ལྷའི	ngak treng trö shing zhi trö lhé
སྔགས་ཕྲེང་ལུ་གུ་རྒྱུད་དུ་ཐོན༔	ngak treng lugu gyü du tön
སྔགས་ཕྲེང་སྐར་མའི་ཕྲེང་བ་ལྟར༔	ngak treng karmé trengwa tar
སྔགས་བདག་རལ་གཅིག་མ་ཡི་ཞལ་བསྟན་ནས	ngak dak ral chik ma yi zhal ten né
སྔགས་བརྒྱུད་རྒྱ་མཚོའི་བཤད་སྒྲུབ་ཕྱོགས་བརྒྱར་སྤེལ	ngak gyü gyatsö shedrub chok gyar pel
སྔགས་འཆང་བདག་ཅག་ཕྱོགས་ལས་རྣམ་པར་རྒྱལ	ngakchang dakchak chok lé nampar gyal
སྔགས་འཆང་རྡོ་རྗེ་བདུད་འཇོམས་ལ་གསོལ་བ་འདེབས	ngak chang dorjé düdjom la solwa dep
སྔགས་འཆང་ཧཱུྃ་ནག་མེ་འབར་ལ་གསོལ་བ་འདེབས	ngakchang hung nak mebar la solwa deb
སྔགས་འདི་བཟླས་པ་ཙམ་གྱིས་སྲི་ཅན་དྲག་པོ་དྭངས་ཤིང་༔ཤི་ཁ་བྱེ་བ་སྲི་ལས་ཐར་བར་འགྱུར་རོ༔དེ་སྐད་ཅེས་བཀའ་བསྩལ་པ་དང་རིག་འཛིན་དང་བྱང་ཆུབ་སེམས་དཔའི་ཚོགས་ཡི་རངས་ཏེ༔བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་ལ་མངོན་པར་བསྟོད་དོ༔	ngak di depa tsam gyi sichen drakpo dang shing shi kha jewa si lé tarwar gyur ro deké ché ka tsalpa dang rigdzin dang changchub sempé tsok yirang té chomdendé kyi sungpa la ngönpar tö do
སྔགས་རིག་འཛིན་གྲུབ་པ་བསམ་ལས་འདས	ngak rigdzin drubpa sam lé dé
སྔགས་རིགས་འཛིན་པ་གཟན་དཀར་སྤྲུལ་པའི་སྐུ	ngak rikdzin pa zen kar trulpé ku
སྔགས་རྒྱུད་སྤྱི་དང་ནང་རྒྱུད་ཡོ་ག་གསུམ	ngak gyü chi dang nanggyü yoga sum
སྔགས་ལ་ཞུགས་ནས་འདུལ་བར་གུས་པ་ལྷོད	ngak la zhuk né dulwar güpa lhö
སྔགས་ལ་སྤྱོད་པའི་རྟེན་ཅན་དུ	ngak la chöpé tenchen du
སྔགས་ལས་འོད་འཕྲོས་དོན་གཉིས་བྱས༔	ngak lé ö trö dön nyi ché
སྔགས་ལས་འོད་འཕྲོས་འབྱུང་བའི་སྒྲ་ལ་སོགས༔	ngak lé ö trö jungwé dra lasok
སྔགས་སྐྱེས་རྡོ་རྗེ་བཙུན་མོའི་བསམ་གཏན་གྱི་དགའ་མ	ngak kyé dorjé tsünmö samten gyi ga ma
སྔགས་སྤྱོད་དོན་དུ་གཏོར་མ་འདི	ngakchö döndu torma di
སྔགས་སྲུང་ཁྱབ་འཇུག་དམ་ཅན་རྡོ་རྗེ་ལེགས	ngaksung khyabjuk damchen dorjé lek
སྔགས་སྲུང་ཨེ་ཀ་ཛཱ་ཊི་ལ	ngaksung ekadzati la
སྔར་བཞིན་དར་རྒྱས་ལོངས་སུ་སྤྱོད་པ་ཡི	ngar zhin dargyé long su chöpa yi
སྔར་བྱིན་པའི་མེ་ཏོག་དེ་ཉིད་ལྷག་པའི་ལྷ་ལ་འབུལ་བའི་མོས་པས་མེ་ཏོག་དཀྱིལ་འཁོར་དུ་འདོར་བཞིན་དུ་འདིའི་རྗེས་ཟློས	ngar jinpé metok denyi lhakpé lha la bulwé möpé metok kyilkhor du dor zhindu di jé dö
སྔར་མ་གྲགས་པ་མི་ཕྱུགས་དལ་ཡམས་ནད	ngar madrakpa mi chuk dalyam né
སྔར་མ་བྱུང་བའི་འཛམ་གླིང་འཕོ་འགྱུར་གང	ngar majungwé dzamling pogyur gang
སྔར་འདྲིས་འོད་གསལ་མ་བུ་སྤྲད	ngar dri ösal ma bu tré
སྔར་ཡང་བྱོན་དང་སླད་ནས་འབྱོན་འགྱུར་གྱི	ngar yang jön dang lé né jön gyur gyi
སྔོ་ལྗང་ཞལ་གཅིག་ཕྱག་གཉིས་མྱུར་ཞི་དཔལ༔	ngo jang zhal chik chak nyi nyur zhi pal
སྔོན་གནས་རྗེས་དྲན་རིགས་བདག་བླ་མ་བཙལ	ngön né jedren rikdak lama tsal
སྔོན་གནས་རྗེས་སུ་དྲན་པའི་ཐུགས་མངའ་བ	ngön né jesu drenpé tuk ngawa
སྔོན་གྱི་ཇི་ལྟར་རྟགས་བསྟན་བཞིན༔	ngön gyi jitar tak ten zhin
སྔོན་གྱི་ཐུགས་དམ་གཉན་པོ་ཉེར་དགོངས་ཏེ	ngön gyi tukdam nyenpo nyer gong té
སྔོན་གྱི་ཐུགས་དམ་དུས་ལ་བབ་ལགས་ན	ngön gyi tukdam dü la bab lak na
སྔོན་གྱི་ཐུགས་དམ་བསྐང་བའི་ཕྱིར༔	ngön gyi tukdam kangwé chir
སྔོན་གྱི་ཐུགས་དམ་རྗེས་དགོངས་ཏེ༔	ngön gyi tukdam jé gong té
སྔོན་གྱི་ཐུགས་བསྐྱེད་དམ་བཅའ་ཆེན་པོ་ཡིས	ngön gyi tukkyé damcha chenpo yi
སྔོན་གྱི་དམ་བཅའ་ཉེར་དགོངས་ནས	ngön gyi damcha nyer gong né
སྔོན་གྱི་དམ་བཅའ་ཐུགས་བསྐྱེད་སྨོན་ལམ་དྲན	ngön gyi damcha tukkyé mönlam dren
སྔོན་གྱི་དམ་བཅའ་མ་བསྙེལ་བར	ngön gyi damcha manyelwar
སྔོན་གྱི་དམ་ཚིག་ཆེན་པོ་སྐོང༔	ngön gyi damtsik chenpo kong
སྔོན་གྱི་དམ་ཚིག་ཇི་བཞིན་དུ	ngön gyi damtsik jizhin du
སྔོན་གྱི་བསགས་རྒྱབ་མེད་པ	ngön gyi sak gyab mepa
སྔོན་གྱི་ཞལ་བཞེས་བཞིན་དུ་ཐུགས་རྗེས་གཟིགས	ngön gyi zhalzhé zhindu tukjé zik
སྔོན་གྱི་རིག་འཛིན་ཐམས་ཅད་ཀྱིས༔	ngön gyi rigdzin tamché kyi
སྔོན་གྱི་རྒྱལ་བ་རྣམས་ཀྱིས་མ་གྲོལ་བའི	ngön gyi gyalwa nam kyi madrolwé
སྔོན་གྱི་ལན་ཆགས་ཐམས་ཅད་བྱང་གྱུར་ཅིག༔	ngön gyi lenchak tamché jang gyur chik
སྔོན་གྱི་སྡིག་ལས་ཡང་དག་འདའ་བགྱིད་ཅིང	ngön gyi dik lé yangdak da gyi ching
སྔོན་གྱི་སྡིག་ལས་ཡང་དག་འདའ་བགྱིད་ཅིང༌	ngön gyi dik lé yangdak da gyi ching
སྔོན་གྱིས་རིགས་སད་གཏེར་གྱི་སྲུང་མ་ཡིས	ngön gyi rig sé ter gyi sungma yi
སྔོན་ཆད་ཁྱེད་ཀྱི་བཀའ་ལས་འདས	ngönché khyé kyi ka lé dé
སྔོན་ཆད་ཇི་ལྟར་དམ་བཅས་པའི༔	ngönché jitar damchepé
སྔོན་ཆད་ཐོས་སོ་ཅོག་གིས་མཚོན	ngönché tö so chok gi tsön
སྔོན་ཆད་མི་དགེ་བགྱིས་པ་ལ	ngönché mi gé gyipa la
སྔོན་ཆད་ལྗོངས་འདིར་ཆོས་ཀྱི་སྤྱན་ལྡན་པ	ngönché jong dir chökyi chen denpa
སྔོན་ཆད་ས་སྟེང་མ་བྱོན་ཆོས་རྟེན་གྱི	ngönché sateng majön chö ten gyi
སྔོན་དུ་གང་འོང་གཏོལ་མེད་པས	ngöndu gang ong tolmepé
སྔོན་ནས་འབྲེལ་བའི་ཡི་དམ་ལྷ	ngön né drelwé yidam lha
སྔོན་པོ	zŋonpo
སྔོན་པོ	ŋø̃˥˥po˥˥
སྔོན་བསགས་བསོད་ནམས་ཡོད་ན་འབད་མེད་འབྱོར	ngön sak sönam yö na bemé jor
སྔོན་བསུ་རྗེས་གཅོད་མེད་པར་དེངས	ngönsu jechö mepar deng
སྔོན་བསུ་རྗེས་དཔྱོད་བློ་ཡིས་བཅོས་མི་གཞུག༔	ngönsu jé chö lo yi chö mi zhuk
སྔོན་བསུ་རྗེས་སྐྱོལ་གཡེལ་མེད	ngönsu jé kyol yelmé
སྔོན་བསྐལ་མང་ཚོགས་བསགས་ལག་རྗེས་ཏེ	ngön kal mang tsok sak lak jé té
སྔོན་བྱུང་འབྲེལ་བའི་ལས་ཀྱི་འཕྲོ་བཙན་ན	ngön jung drelwé lé kyi tro tsen na
སྔོན་བྱུང་འབྲེལ་བའི་ལས་ཀྱི་འཕྲོ་བཙན་ན༔	ngön jung drelwé lé kyi tro tsen na
སྔོན་བྱོན་གྲུབ་ཐོབ་གོང་མའི་རྣམ་ཐར་བཞིན	ngön jön drubtob gongmé namtar zhin
སྔོན་བྱོན་ཇོ་བོ་ཡབ་སྲས་རྣམ་ཐར་དང	ngön jön jowo yabsé namtar dang
སྔོན་བྱོན་དམ་པའི་རྣམ་ཐར་ཡིད་ཡུལ་ལ་བཅིང་སྟེ	ngön chön dampé namtar yi tül la ching té
སྔོན་བྱོན་ལོ་པཎ་རྣམས་ཀྱི་ཐུགས་བསྐྱེད་བཞིན	ngön chön lo pen nam kyi tuk kyé zhin
སྔོན་བྱོན་སངས་རྒྱས་ཀུན་གྱི་རྣམ་རོལ་འཕྲུལ	ngön jön sangye kün gyi namrol trul
སྔོན་བྱོན་སངས་རྒྱས་ཀྱི་སྤྲུལ་པ༔	ngön jön sangye kyi trulpa
སྔོན་བྱོན་སངས་རྒྱས་རབས་བདུན་རིང་བསྲེལ་གྱི	ngön jön sangye rab dün ring sel gyi
སྔོན་མེད་གདམས་ཟབ་མཁའ་འགྲོའི་གསང་མཛོད་བདག	ngönmé dam zab khandrö sangdzö dak
སྔོན་མེད་ཉི་མ་གསར་པའི་དགེ་མཚན་ཅན	ngönmé nyima sarpé getsen chen
སྔོན་མོ་ཨིཎྜ་ནི་ལའི་མདངས་ལྡན་མ	ngönmo indanilé dangden ma
སྔོན་ཚེ་གཡར་དམ་བཅས་པ་བཞིན༔	ngöntsé yardam chepa zhin
སྔོན་ཚེ་ཇི་ལྟར་ཁས་བླངས་བཞིན༔	ngöntsé jitar khelang zhin
སྔོན་ཚེ་ཐུབ་དབང་བྱང་སེམས་སྙིང་སྟོབས་ཆེ	ngön tsé tubwang chang sem nying tob ché
སྔོན་ཚེ་དབང་དྲག་པདྨ་ཧེ་རུ་ཀས	ngöntsé wang drak pema heruké
སྔོན་ཚེ་དབང་བོའི་ཏོག་གི་སྤྱན་སྔ་རུ	ngöntsé wangwö tok gi chen nga ru
སྔོན་ཚེ་བཅོམ་ལྡན་ཐུབ་པའི་དབང་པོ་ལ༔	ngöntsé chomden tubpé wangpo la
སྔོན་ཚེ་ཞལ་བཞེས་དམ་ལ་མ་འདའ་བར༔	ngöntsé zhalzhé dam la madawar
སྔོན་ཚེ་འཕགས་ཡུལ་དགྲ་བཅོམ་ས་གི་ལྷ	ngön tsé pak yul drachom sa gi lha
སྔོན་ཚེ་རང་བྱུང་མཚོ་སྐྱེས་རྡོ་རྗེ་ཉིད	ngöntsé rangjung tsokyé dorjé nyi
སྔོན་ཚེ་རྒྱལ་ཀུན་རྟ་ཕག་སྐུར་བཞེངས་ནས	ngöntsé gyal kün ta pak kur zheng né
སྔོན་ཚེ་རྒྱལ་དབང་པདྨ་ཀ་ར་དང	ngöntsé gyalwang pema kara dang
སྔོན་ཚེ་རྒྱལ་བ་རྣམས་ཀྱིས་མ་བསྒྲལ་བའི	ngöntsé gyalwa nam kyi madralwé
སྔོན་ཚེ་རྣམ་དག་ཐུགས་བསྐྱེད་སྨོན་ལམ་མཐུས	ngöntsé namdak tukkyé mönlam tü
སྔོན་ཚེ་ལས་ལོག་སྡིག་པ་བྱས་པས་ནོངས	ngöntsé lé lok dikpa jepé nong
སྔོན་ཚེ་ལས་ལོག་སྡིག་པ་བྱས་པས་ནོངས༔	ngöntsé lé lok dikpa jepé nong
སྔོན་ཚེ་སྟོན་པས་བྱིན་རླབས་རྫས་མཆོག་བརྒྱད	ngöntsé tönpé jinlab dzé chok gyé
སྔོན་ཚེ་སློབ་དཔོན་མཚོ་སྐྱེས་རྡོ་རྗེ་དང	ngöntsé lobpön tsokyé dorjé dang
སྔོན་ཚེ་ཨོ་རྒྱན་ཆེན་པོའི་སྤྱན་སྔ་རུ	ngöntsé orgyen chenpö chen nga ru
སྔོན་ཞིག་གནས་འདིར་འཇམ་དཔལ་བློ་ལྡན་དེ་མཆོག་སྲེད	ngön zhik né dir jampal loden dé choksé
སྔོན་ཞིག་དགྲ་ལྟར་སྣང་བ་དུག་ལྔ་ཡི་རྟོག་པ	ngön zhik dra tar nangwa duk nga yi tokpa
སྔོན་འཇུག	zŋonⁿdʑuk
སྔོན་འཇུག	ŋø̃˥˥tɕuː˥˨
སྔོན་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཤཱཀྱ་ཐུབ་པ་ལ	ngön yangdakpar dzokpé sangye shakya tubpa la
